chrom	start	end	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach	raw_start	raw_end	raw_mid	raw_span
chr1p_1	430000	440000	254	357	250	140	269	551	201	266	413	591	691	641	226	196	164	248	254	254	254
chr1p_1	440000	450000	154	271	47	168	239	191	107	168	377	127	263	356	182	144	107	154	154	154	154
chr1p_1	450000	460000	167	249	250	155	201	220	110	239	219	127	414	572	141	111	93	167	167	167	167
chr1p_1	460000	470000	108	181	41	58	132	123	62	128	143	69	161	241	120	96	46	108	108	108	108
chr1p_1	470000	480000	74	119	195	67	86	66	70	100	134	48	154	266	66	46	20	74	74	74	74
chr1p_1	490000	500000	100	185	34	18	105	119	45	176	180	20	136	117	157	67	24	99	95	95	100
chr1p_1	530000	540000	111	203	63	116	166	148	133	164	151	111	159	332	138	108	47	111	111	111	111
chr1p_1	540000	550000	152	271	88	206	195	205	189	213	289	118	234	484	203	180	115	152	152	152	152
chr1p_1	550000	560000	223	551	75	141	235	328	136	347	337	90	307	246	270	257	93	223	157	184	223
chr1p_1	560000	570000	980	2009	339	703	1168	1204	516	1400	1473	342	1209	1084	1255	1031	293	914	976	953	980
chr1p_1	570000	580000	272	468	103	186	312	301	189	352	356	152	319	469	342	339	152	268	268	264	272
chr1p_1	580000	590000	598	927	206	480	648	636	436	765	737	386	697	954	633	620	259	594	598	598	598
chr1p_1	590000	600000	73	147	9	24	112	95	11	110	146	9	75	55	132	82	22	73	67	72	73
chr1p_1	600000	610000	307	440	93	123	416	369	135	405	472	106	383	326	321	261	82	301	293	297	307
chr1p_1	610000	620000	159	289	55	71	219	177	100	219	256	56	215	186	208	165	44	145	157	149	159
chr1p_1	620000	630000	153	209	12	44	193	203	41	177	253	13	176	74	215	137	13	151	153	152	153
chr1p_1	650000	660000	415	562	259	466	554	489	456	535	635	259	501	1031	503	333	190	415	407	413	415
chr1p_1	660000	670000	224	440	134	211	354	339	211	342	367	147	290	433	265	224	118	216	220	216	224
chr1p_1	680000	690000	130	219	36	108	139	145	109	201	180	47	139	168	163	106	51	130	123	126	130
chr1p_1	690000	700000	245	424	136	176	360	411	126	425	392	104	342	531	344	234	78	238	244	241	245
chr1p_1	700000	710000	313	530	151	220	384	421	262	361	430	171	404	567	441	247	140	312	312	313	313
chr1p_1	760000	770000	82	107	139	42	136	95	46	93	104	35	177	90	104	57	77	82	82	82	82
chr1p_1	770000	780000	67	107	40	62	101	105	36	98	141	27	110	88	83	76	31	67	67	67	67
chr1p_1	780000	790000	105	216	81	71	168	179	79	137	164	68	188	253	164	100	40	105	99	105	105
chr1p_1	790000	800000	172	345	158	208	259	220	215	238	293	153	281	423	212	219	75	166	172	166	172
chr1p_1	800000	810000	131	263	140	164	210	166	149	186	198	117	248	401	164	131	87	131	131	131	131
chr1p_1	830000	840000	85	122	10	24	98	118	33	118	142	18	108	53	78	70	7	83	85	83	85
chr1p_1	840000	850000	188	350	93	161	264	291	113	287	351	102	316	401	217	188	81	188	183	186	188
chr1p_1	850000	860000	247	374	172	176	379	293	170	361	375	148	359	630	248	228	145	242	247	244	247
chr1p_1	860000	870000	102	153	74	90	155	109	91	116	195	88	174	299	86	98	65	102	100	102	102
chr1p_1	870000	880000	121	203	70	114	196	196	77	181	262	64	275	202	125	137	52	119	120	119	121
chr1p_1	880000	890000	180	311	161	201	289	258	132	219	379	107	346	322	241	195	80	179	180	179	180
chr1p_1	890000	900000	273	520	169	444	324	310	348	306	391	192	503	750	249	219	198	273	273	273	273
chr1p_1	900000	910000	102	164	68	108	109	94	70	123	166	41	118	185	112	76	47	102	96	99	102
chr1p_1	910000	920000	393	543	207	337	553	510	366	461	627	175	457	665	516	324	162	387	393	390	393
chr1p_1	920000	930000	154	219	87	233	305	263	284	273	381	138	208	433	287	194	150	154	147	149	154
chr1p_1	930000	940000	575	701	240	543	745	602	630	761	921	320	626	1212	672	531	231	568	571	572	575
chr1p_1	940000	950000	295	497	88	205	376	361	254	409	514	116	333	482	373	267	89	291	294	291	295
chr1p_1	950000	960000	199	319	20	91	189	222	89	268	336	35	225	158	245	172	23	198	192	199	199
chr1p_1	970000	980000	191	292	24	33	302	247	47	261	265	25	223	103	273	214	27	191	190	190	191
chr1p_1	980000	990000	214	296	41	98	276	260	107	289	335	59	262	171	269	179	40	213	212	213	214
chr1p_1	990000	1000000	172	254	42	126	228	198	122	225	277	58	223	255	209	150	71	170	162	166	172
chr1p_1	1000000	1010000	68	96	10	33	101	103	54	89	100	20	111	98	73	85	5	58	68	63	68
chr1p_1	1020000	1030000	52	89	35	68	74	71	61	66	90	39	60	131	81	70	28	52	52	52	52
chr1p_1	1050000	1060000	170	230	71	125	256	221	118	249	232	77	256	261	200	141	52	168	161	162	170
chr1p_1	1070000	1080000	192	271	116	227	309	328	221	310	333	161	261	449	230	235	97	192	184	191	192
chr1p_1	1080000	1090000	172	289	48	193	262	268	168	221	275	84	217	327	192	175	56	164	172	165	172
chr1p_1	1090000	1100000	254	449	152	268	308	318	207	376	349	146	308	463	326	266	122	254	250	253	254
chr1p_1	1100000	1110000	409	646	188	366	528	523	365	599	599	217	451	762	433	356	240	405	403	404	409
chr1p_1	1110000	1120000	427	619	191	348	550	547	330	529	529	197	525	687	411	323	232	421	427	423	427
chr1p_1	1120000	1130000	62	159	33	26	101	107	64	132	89	39	97	118	119	74	20	62	62	62	62
chr1p_1	1130000	1140000	112	163	27	57	138	115	45	153	156	27	120	124	140	146	21	112	109	111	112
chr1p_1	1140000	1150000	262	464	83	197	327	358	180	306	414	147	352	380	363	250	112	259	261	260	262
chr1p_1	1150000	1160000	333	538	124	347	335	372	226	480	439	150	324	618	443	301	130	332	328	331	333
chr1p_1	1160000	1170000	208	295	122	207	203	237	166	268	236	115	195	411	212	200	110	203	208	204	208
chr1p_1	1170000	1180000	71	123	47	144	84	80	147	103	90	79	86	252	112	71	90	71	68	71	71
chr1p_1	1180000	1190000	143	253	237	234	207	239	241	234	212	180	214	648	216	149	213	140	137	134	143
chr1p_1	1190000	1200000	165	220	149	270	234	227	190	233	200	181	193	513	142	131	200	159	164	165	165
chr1p_1	1200000	1210000	153	203	59	99	178	149	125	181	219	52	182	209	178	151	96	152	140	144	153
chr1p_1	1210000	1220000	152	235	54	100	218	156	93	174	266	66	174	174	191	137	63	139	152	147	152
chr1p_1	1220000	1230000	92	122	60	53	156	165	74	136	147	59	139	148	155	118	23	92	92	92	92
chr1p_1	1240000	1250000	221	258	88	147	220	240	175	270	307	92	227	330	256	198	107	221	218	220	221
chr1p_1	1250000	1260000	336	472	198	284	452	382	330	395	509	135	317	529	469	302	201	333	329	329	336
chr1p_1	1260000	1270000	355	517	163	311	471	450	297	438	514	127	405	574	395	357	183	348	354	352	355
chr1p_1	1270000	1280000	133	206	10	24	107	152	13	161	161	5	119	32	132	133	6	132	133	133	133
chr1p_1	1280000	1290000	176	224	48	107	164	174	176	218	171	94	190	236	148	153	85	176	169	171	176
chr1p_1	1290000	1300000	164	280	59	72	178	231	81	214	189	57	194	198	154	150	37	157	164	162	164
chr1p_1	1300000	1310000	250	394	75	249	313	265	169	358	431	146	321	368	316	271	93	250	250	250	250
chr1p_1	1310000	1320000	213	344	64	102	241	246	98	266	285	91	259	297	222	255	66	213	210	211	213
chr1p_1	1320000	1330000	148	246	58	78	156	150	58	163	188	111	151	184	153	170	47	145	148	147	148
chr1p_1	1360000	1370000	80	62	30	73	76	69	71	82	115	41	70	141	98	62	55	76	80	80	80
