Geneid	SRR5085169
YOL081W	71
YOL052C	16
YOR285W	14
YOR270C	195
YOR115C	14
YOL103W	23
YOL063C	15
YOR231W	11
YOR021C	73
YOL038W	29
YOL124C	18
YOR212W	23
YOL120C	1187
YOR335C	134
snR58	20
YOL122C	23
YOR157C	36
YOR093C	15
YOL065C	10
YOR207C	69
YOL005C	29
YOL020W	25
YOR038C	11
YOR303W	47
YOR052C	19
YOL039W	131
YOL090W	33
YOR271C	44
YOR108W	50
snR9	16
YOR216C	40
YOR099W	125
YOR001W	21
YOR204W	68
YOR209C	68
YOR048C	44
YOR227W	26
YOR112W	22
YOR251C	14
YOR119C	32
YOL151W	25
YOR330C	14
YOR142W	21
YOR002W	29
YOR194C	20
YOR298C-A	35
YOR014W	31
YOR346W	41
YOR336W	20
YOR122C	44
YOR256C	28
YOR196C	14
YOR369C	662
YOR296W	18
YOR260W	36
YOR316C	13
YOR326W	149
YOL036W	14
YOR332W	60
YOL002C	16
YOR243C	78
YOL056W	28
YOR098C	12
YOL076W	25
YOR188W	20
YOR069W	14
YOR124C	34
YOR057W	15
YOL127W	451
YOR239W	36
YOR317W	35
YOR370C	29
YOR211C	14
YOR191W	28
YOL064C	19
YOL049W	30
YOR043W	28
YOL059W	31
YOR375C	63
snR35	25
YOL013C	13
YOR272W	43
YOL016C	19
YOR007C	151
YOR361C	247
YOL158C	23
YOR315W	22
YOR234C	96
YOR283W	37
YOL045W	15
YOR360C	14
YOL097C	79
YOR164C	39
YOR175C	59
YOR086C	72
YOR155C	28
YOL030W	34
YOR323C	65
YOL010W	14
YOR118W	21
YOR128C	58
YOL125W	22
YOL004W	39
YOR033C	17
YOL070C	13
YOR116C	78
YOR145C	42
YOL109W	126
YOR078W	25
YOR131C	17
YOR168W	147
YOR241W	17
YOR153W	84
YOL145C	50
YOR322C	14
YOL031C	16
YOR261C	225
YOR293W	165
YOR067C	15
YOR312C	428
YOR094W	11
YOL105C	10
YOR197W	29
YOR262W	10
YOR167C	521
YOR127W	16
YOR184W	43
YOR150W	16
YOR340C	22
YOR354C	21
YOR217W	39
YOL006C	30
YOR259C	55
YOR222W	25
YOL051W	15
YOR091W	25
YOL022C	39
YOL078W	21
YOL098C	89
YOR171C	19
YOL089C	12
YOR095C	41
YOR046C	32
YOL112W	16
YOR141C	26
YOL143C	32
YOR172W	11
YOR101W	24
YOR056C	24
YOR246C	40
YOR042W	22
YOR176W	16
YOR310C	210
YOR063W	2050
YOL129W	21
YOL092W	28
YOL061W	35
YOR232W	70
YOR219C	16
YOR182C	39
YOR110W	16
YOL130W	19
YOL021C	41
YOL077W-A	10
YOR291W	15
YOL077C	65
YOR123C	25
YOR362C	28
YOL057W	47
YOR321W	11
YOL139C	137
YOR287C	12
YOR198C	67
YOR034C	14
YOL115W	17
YOL096C	19
YOR020C	65
YOR133W	43
YOR356W	28
YOR357C	15
YOR276W	48
YOR344C	26
YOR329C	16
YOL040C	205
YOR051C	85
YOR073W	10
YOL018C	23
YOR087W	25
YOL086C	2073
YOR165W	31
YOL068C	34
YOR138C	15
YOL121C	122
YOL126C	34
YOR080W	16
YOR109W	50
YOR147W	12
YOR254C	77
YOL080C	10
YOR136W	37
YOR195W	29
YOL123W	36
YOR337W	19
YOR304W	30
YOR074C	13
YOR117W	84
YOL066C	14
YOR151C	210
YOR187W	61
YOR355W	28
YOR290C	24
YOL060C	14
YOL041C	35
YOR299W	14
YOR096W	440
YOR301W	19
YOR076C	14
YOR061W	36
YOR371C	11
YOL062C	26
YOR027W	45
RME2	11
YGR162W	147
YGR005C	14
YGL160W	18
YGL097W	27
YGL028C	26
YGL021W	30
YGR167W	32
YGL228W	40
YGR086C	123
YGL145W	19
YGR098C	31
YGR172C	9
YGL026C	76
YGL213C	14
YGL256W	12
YGL012W	67
YGL082W	14
YGR274C	19
YGL037C	93
YGL252C	18
YGR260W	67
YGR159C	156
YGL040C	28
YGR130C	11
YGR029W	24
YGR038W	17
YGR008C	9
YGL094C	22
YGR125W	23
YGR279C	257
YGL022W	153
YGR271W	33
YGR031W	17
YGL113W	11
YGL084C	18
YGL196W	11
YGR157W	75
YGR085C	137
YGL169W	16
YGR187C	24
YGL167C	39
YGL068W	27
YGL014W	17
YGL100W	12
YGR211W	80
YGR270W	38
YGR204W	79
YGR266W	23
YGL070C	25
YGL225W	61
YGL120C	66
YGR252W	13
YGL106W	12
YGR284C	27
YGR032W	18
YGR208W	25
YGL016W	35
YGR255C	25
YGR200C	51
YGR191W	22
YGL227W	8
YGR081C	19
YGR148C	102
YGR276C	21
YGL224C	12
YGL020C	19
YGL189C	77
YGR210C	18
YGL115W	149
YGL105W	88
YGR026W	25
YGR278W	13
YGR262C	14
YGL200C	116
YGL186C	15
YGR198W	17
YGL058W	13
YGL055W	190
YGL151W	18
YGR103W	94
YGL013C	24
YGL076C	286
YGR094W	228
YGR175C	92
YGL008C	1507
YGR108W	36
YGR218W	76
YGL009C	196
YGL095C	11
YGL137W	74
YGR001C	17
YGL173C	96
YGL086W	30
YGR223C	13
YGR285C	174
YGL207W	93
YGR261C	37
YGL140C	27
YGL078C	103
YGR196C	13
YGL197W	17
YGL159W	10
YGR286C	10
snR48	27
YGL035C	28
YGR009C	12
YGR034W	399
YGR118W	261
YGR277C	22
YGL142C	11
YGL253W	293
YGL049C	14
YGL202W	83
YGR037C	41
YGL077C	27
YGR245C	76
YGL244W	19
YGL187C	18
YGR180C	217
YGR116W	134
YGR202C	25
YGL150C	33
YGR214W	336
YGR007W	12
YGR083C	27
YGL038C	13
YGR244C	22
YGR106C	96
YGR209C	78
YGR003W	18
YGR170W	15
YGR246C	32
YGL123W	749
YGL099W	26
YGL233W	31
YGL056C	14
YGR240C	193
YGR020C	29
YGR100W	18
YGR231C	37
YGR145W	51
YGL011C	39
YGL122C	22
YGR216C	11
YGR047C	26
YGR282C	176
YGL036W	26
YGR192C	2729
YGL191W	26
YGR013W	18
YGR123C	21
YGL163C	8
YGL092W	62
YGR132C	16
YGR128C	41
YGL246C	19
YGL190C	19
YGR033C	21
YGL112C	31
YGL001C	15
YGL093W	12
YGR027C	165
YGR124W	261
YGL103W	369
YGL062W	27
snR39	13
YGL161C	43
YGR184C	52
YGR055W	20
YGL054C	36
YGR090W	55
YGL198W	12
YGR071C	12
YGL195W	141
YGL206C	96
YGR060W	68
YGL257C	21
YGL023C	20
YGL201C	23
YGL241W	25
YGR199W	23
YGL111W	23
snR39B	28
YGR155W	214
YGL114W	15
YGL255W	25
YGR233C	12
YGR092W	23
YGL171W	36
YGL029W	18
YGL147C	536
YGR178C	35
YGL203C	30
YGL048C	79
YGR207C	17
YGR093W	16
YGR119C	42
YGR061C	142
YGR280C	20
YGL031C	324
YGR117C	20
YGR254W	554
YGL164C	10
YGR264C	202
YGL234W	155
YGL238W	81
YGR185C	45
YGR189C	50
YGL221C	47
YGL135W	159
YGR253C	42
YGL101W	20
YGR271C-A	14
YGR267C	18
YGR234W	243
YGL141W	17
YGL245W	184
YGL215W	21
YGR229C	39
YGR135W	52
YGL139W	19
YGL172W	15
YGL027C	37
YGL019W	22
YGR017W	41
YGR193C	13
YGL030W	333
YGL148W	110
YGR281W	42
YGR078C	11
YGL133W	21
YGR295C	11
YGR048W	13
YGR054W	23
YGL006W	33
YGL232W	29
YGL157W	31
YGR014W	22
YLL050C	214
YLR075W	495
YLR025W	15
YLR049C	14
YLR032W	13
YLR321C	26
YLR247C	30
YLR167W	1721
YLR220W	20
YLR272C	15
YLR180W	105
YLR250W	71
YLR253W	15
YLR390W-A	38
YLR117C	15
YLR110C	395
YLR069C	17
YLR008C	20
YLR231C	41
YLR264W	153
YLR103C	16
YLR228C	17
YLL036C	37
snR61	36
YLR056W	153
YLR429W	67
YLR310C	44
YLR342W	264
YLR017W	27
YLR304C	66
YLR027C	83
YLR214W	75
YLR378C	61
YLL008W	64
YLR449W	61
YLR089C	14
YLR190W	18
YLR045C	6
YLR285W	32
YLR276C	74
YLR077W	29
YLR301W	39
YLR427W	33
YLR150W	469
YLL021W	32
YLR153C	62
YLR014C	23
YLR096W	24
YLR033W	27
YLR278C	16
YLR266C	15
YLR007W	11
YLL015W	36
YLR058C	218
YLR325C	142
YLR074C	23
YLL001W	21
YLR409C	47
YLR256W	60
YLR186W	26
YLR143W	13
YLR197W	242
YLL034C	47
YLL023C	11
YLR065C	14
YLL031C	26
YLR419W	23
YLR405W	16
YLR093C	13
YLR370C	28
YLL026W	126
YLR114C	38
YLR146C	14
YLR333C	88
YLL043W	19
YLR336C	44
YLR430W	48
YLR436C	25
YLR347C	41
YLR113W	35
YLR196W	73
YLR163C	15
YLR129W	101
YLR173W	12
YLR259C	65
YLR401C	24
YLR185W	171
YLR060W	110
YLL029W	23
YLR432W	51
YLR166C	30
YLR383W	16
YLR044C	1983
YLR293C	55
YLR192C	32
YLR300W	82
YLR448W	123
snR44	30
YLR367W	111
YLR309C	67
YLR299W	10
YLR029C	515
YLR373C	22
YLR066W	27
YLR175W	182
YLL051C	11
YLR314C	48
YLR019W	15
YLR361C	8
YLR389C	44
YLR270W	16
YLR223C	24
YLR195C	33
YLR398C	34
YLR418C	42
YLR109W	129
YLR106C	130
YLR083C	40
YLR274W	36
YLR413W	90
YLR340W	745
YLR452C	41
YLR372W	75
YLR363C	14
YLR207W	22
YLR188W	37
YLR328W	13
YLR241W	20
snR30	12
YLR287C	33
YLR410W	33
YLR397C	15
YLR120C	23
YLR335W	22
YLR399C	56
YLR388W	56
YLR249W	2218
YLL010C	14
YLR133W	13
YLL011W	27
YLR384C	84
YLR203C	9
YLR450W	29
YLR291C	21
YLR344W	130
YLR447C	120
YLR435W	29
YLR084C	34
YLR229C	29
YLR048W	171
YLR086W	36
YLL041C	20
YLR330W	45
YLR244C	64
YLR258W	24
YLR172C	27
YLR268W	20
YLR420W	53
YLL035W	11
YLL009C	13
YLR406C	180
YLR138W	27
YLR295C	13
YLR248W	28
YLR002C	75
YLR189C	19
YLR206W	19
YLL018C	66
YLR350W	17
YLR257W	22
YLR375W	23
YLR287C-A	15
YLR003C	19
YLR355C	251
YLR441C	606
YLR028C	74
YLR043C	102
YLR243W	19
YLR148W	16
YLR199C	16
YLR351C	36
YLR130C	33
YLR024C	20
YLR380W	18
YLR061W	191
YLR386W	22
YLR387C	12
YLR422W	19
YLR354C	130
YLL039C	79
YLR208W	40
YLR115W	14
YLR005W	21
YLR454W	35
YLR305C	36
YLL048C	68
YLL024C	164
YLR009W	16
YLR057W	18
YLR348C	28
YLR179C	47
YLR371W	25
YLR222C	35
YLR440C	19
YLR421C	16
YLL027W	12
YLR292C	23
YLR016C	11
YLR359W	252
YLL013C	20
YLR320W	12
YLL045C	391
YLR071C	27
YLR286C	107
YLL004W	13
YLR100W	89
YLR088W	14
YLR216C	88
YLL040C	59
YPL217C	52
YPR139C	17
YPR169W	30
YPL009C	33
YPL183C	57
YPL179W	15
YPR103W	50
YPL244C	17
YPR156C	13
YPL240C	94
YPL111W	26
YPR119W	14
YPL218W	87
YPL198W	74
YPL006W	12
YPR161C	13
YPL145C	46
YPR181C	50
YPR171W	11
YPR122W	25
YPL091W	64
YPL137C	14
YPL163C	32
YPR069C	44
YPR072W	26
YPL175W	28
YPL125W	31
YPL090C	460
YPR198W	11
YPR106W	11
YPL270W	15
YPR058W	27
YPL004C	62
YPR110C	63
YPR149W	88
YPR009W	11
YPR118W	56
YPR019W	22
YPL144W	15
YPL045W	43
YPL263C	37
YPR124W	20
YPR004C	14
YPR080W	156
YPR033C	57
YPL210C	54
YPL155C	14
YPL225W	49
YPL081W	96
YPL266W	22
YPR108W	32
YPL058C	45
YPR088C	42
YPL254W	10
YPR129W	15
YPR113W	26
YPL160W	213
YPL169C	13
YPR115W	10
YPL184C	28
YPR189W	24
YPL246C	17
YPL020C	8
YPL061W	159
YPR112C	56
YPR148C	45
YPL131W	304
YPL012W	66
YPL010W	52
YPR173C	33
YPR024W	53
YPR191W	17
YPL063W	38
YPR166C	22
YPL231W	251
YPL129W	18
YPR164W	23
YPL019C	101
YPL022W	34
YPL211W	25
YPL040C	11
YPR159W	63
YPL227C	15
YPL234C	49
YPL015C	13
YPR035W	148
YPR037C	24
YPL135W	18
YPL112C	23
YPL154C	55
YPR074C	183
YPR133C	46
YPR070W	14
YPL176C	45
YPL220W	92
YPL032C	17
YPR185W	23
YPR145W	280
YPL178W	15
YPL013C	23
YPR028W	55
YPR089W	34
YPL075W	25
YPR062W	30
YPR125W	16
YPL221W	28
YPR073C	15
YPL262W	29
snR45	28
YPR036W	212
YPL031C	16
YPL237W	106
YPL053C	37
YPL085W	25
YPR104C	22
YPR190C	19
YPL043W	59
YPL105C	33
YPR132W	222
YPR137W	29
YPL190C	25
YPL241C	15
YPR043W	127
YPL157W	32
YPL177C	16
YPR165W	53
YPL037C	87
YPL101W	24
YPL256C	23
YPR023C	19
YPL093W	61
YPL118W	19
YPL239W	33
YPL128C	11
YPL188W	21
YPL207W	61
YPR021C	27
YPL143W	232
YPL126W	97
YPR187W	50
YPR182W	18
YPL242C	95
YPR086W	25
YPR117W	22
YPL086C	81
YPR105C	47
YPL094C	22
YPR176C	13
YPR163C	100
YPR160W	20
YPL235W	30
YPR144C	62
YPL249C-A	160
YPL260W	37
YPR095C	11
YPR010C	189
YPL268W	21
YPL206C	16
YPR055W	14
YPL243W	57
YPL232W	35
YPR041W	213
YPL048W	62
YPL117C	26
YPL273W	41
YPR097W	26
YPL274W	17
YPL050C	31
YPR114W	11
YPR175W	11
YPL079W	240
YPL150W	14
YPL226W	156
YPL115C	18
YPL170W	21
YPL245W	42
YPR048W	22
YPR102C	72
YPR133W-A	19
YPL146C	51
YPL082C	37
YPR183W	32
YPL249C	14
YPR016C	45
YPR029C	53
YPL106C	208
YPL212C	30
YPL078C	47
YPL195W	35
YPR060C	15
YPL199C	24
YPL228W	19
YPL259C	19
YPL028W	136
YPR031W	29
YMR027W	31
YMR290C	167
YMR091C	33
YML088W	16
YML125C	67
YMR318C	103
YMR266W	41
YML057W	19
YMR105C	13
YMR012W	88
YMR202W	78
YMR083W	57
YML085C	60
YMR304W	26
YMR308C	96
YML001W	27
YMR319C	25
YML075C	21
YML073C	209
YMR149W	34
YMR260C	82
YML056C	109
YML091C	20
YMR199W	13
YML127W	25
YMR246W	165
YMR120C	139
YML049C	21
YMR302C	11
YML060W	29
YMR080C	39
YMR079W	15
YMR100W	16
YMR183C	25
YML074C	59
YMR157C	11
YMR110C	14
YMR300C	55
YMR031C	28
YMR200W	13
YMR297W	118
YML026C	235
YMR143W	95
YML069W	61
YMR211W	12
YMR142C	335
YMR203W	45
YMR089C	31
YMR099C	37
YML115C	21
snR11	15
YML012W	46
YML100W	16
YML099C	20
YML123C	74
YMR207C	24
YMR011W	91
YML008C	78
YMR109W	23
YMR004W	18
YMR216C	32
YMR272C	87
YML104C	21
YML058W	46
YML063W	578
YMR008C	35
YMR014W	24
YMR208W	21
YML028W	368
YMR285C	12
YMR189W	47
YML128C	11
YML022W	23
YMR119W	23
YMR215W	38
YMR277W	22
YMR033W	30
YMR305C	112
YMR237W	22
YMR162C	42
YMR158W	17
YMR241W	25
YMR205C	179
YMR235C	72
YMR047C	27
YMR259C	50
YMR261C	22
YML010W	50
YMR126C	18
YML081W	27
YMR221C	16
YML097C	18
YMR295C	19
YML080W	18
YMR058W	52
YMR076C	25
YMR242C	364
YMR309C	118
YML096W	13
YML016C	23
YMR178W	13
YML109W	13
YML106W	90
YML052W	42
YMR218C	21
YMR315W	15
YML121W	24
YMR217W	111
YMR298W	27
YMR289W	14
YML048W	27
snR77	23
YML046W	21
YML004C	32
YMR229C	188
YMR301C	21
YMR276W	20
YMR002W	26
YMR176W	36
YMR198W	13
YMR006C	53
tQ(CUG)M	13
YML093W	50
YMR116C	2149
YMR196W	23
YML053C	10
YMR070W	14
YMR219W	22
YMR123W	17
YMR019W	10
YMR010W	14
YML126C	106
YMR270C	16
YMR108W	65
YML111W	23
YMR278W	20
YMR185W	31
YMR258C	23
YMR029C	25
YMR092C	51
YMR122W-A	27
YMR220W	36
YML031W	58
YMR078C	14
YMR223W	21
YMR214W	14
YML117W	39
snR24	22
YMR226C	174
YML110C	35
YML007W	15
YMR264W	25
YMR037C	11
YML024W	366
YMR130W	11
YMR054W	21
YMR194W	45
YMR074C	29
YML065W	25
YMR243C	83
YMR145C	95
YML071C	10
YMR015C	33
YML070W	17
YMR125W	70
YML072C	92
YML105C	17
YML124C	46
YMR102C	17
YMR128W	47
YMR039C	24
YMR230W	104
YMR267W	19
YMR247C	46
YMR152W	15
YMR251W-A	47
YMR146C	81
YMR032W	17
YMR153W	10
YMR282C	24
YMR062C	22
YMR038C	24
YMR049C	60
snR54	187
YML051W	13
YMR314W	54
YML034W	30
YMR131C	92
YML103C	101
YMR186W	805
YML059C	30
YML086C	34
YMR212C	41
YMR296C	14
YMR061W	28
YMR288W	16
YML130C	33
YML035C	36
YMR093W	24
YMR307W	675
YMR129W	40
YBL055C	18
YBR115C	40
YBR031W	151
YBL037W	14
YBL022C	80
YBR234C	20
YBR247C	20
YBR227C	15
YBR218C	62
YBR244W	15
YBR160W	10
YBR083W	19
YBR158W	82
YBR229C	25
YBR042C	16
YBR143C	158
YBR039W	36
YBL067C	20
YBR087W	21
YBR121C	199
YBR026C	20
YBR177C	21
YBR271W	11
YBR084W	141
YBR245C	34
YBR059C	26
YBR068C	51
YBR041W	21
YBL082C	22
YBL002W	87
YBL098W	71
YBR207W	23
YBR155W	32
YBR237W	11
YBR149W	27
YBR246W	17
YBR023C	40
YBL064C	17
YBL007C	45
YBL091C	23
YBR142W	50
YBR067C	74
YBR010W	97
YBL054W	33
YBR025C	113
YBL027W	275
YBR034C	58
YBR101C	42
YBL010C	11
YBR053C	30
YBL042C	63
YBL039C	92
YBL003C	131
YBR069C	59
YBR009C	69
YBR081C	30
YBR146W	18
YBL028C	17
YBR043C	22
YBR092C	51
YBR126C	41
YBR086C	75
YBR281C	28
YBR159W	36
YBR118W	258
YBL004W	93
YBL015W	18
YBR038W	21
YBR058C	23
YBL087C	195
YBR003W	17
LSR1	64
YBR200W	12
YBR248C	35
YBL047C	46
YBL092W	263
YBR199W	45
YBR139W	19
YBR054W	27
YBR111C	25
YBL001C	62
YBR110W	12
YBL036C	23
YBL076C	328
YBR256C	31
YBR189W	704
YBR011C	105
YBL041W	25
YBL040C	11
YBR082C	43
YBR061C	14
YBL016W	18
YBR175W	11
YBR029C	42
YBR222C	22
YBR162C	98
YBL033C	13
YBR263W	84
YBR272C	16
YBR084C-A	209
YBR106W	98
YBR166C	11
YBR109C	41
YBR255W	15
YBR205W	22
YBR130C	15
YBR122C	17
YBR202W	13
YBR001C	16
YBR288C	57
YBL072C	384
YBR103W	24
YBL024W	44
YBR102C	10
YBL051C	17
YBR196C	400
YBR236C	9
YBR276C	23
YBR036C	38
YBR079C	113
YBR017C	31
YBL023C	32
YBR127C	126
YBR035C	58
YBL017C	53
YBR195C	26
YBR221C	57
YBL045C	32
YBR154C	17
YBR273C	15
YBR048W	216
YBR104W	14
YBL079W	55
YBR265W	23
YBR249C	63
YBR170C	14
YBR133C	15
YBR275C	16
YBL085W	12
YBL052C	25
YBL009W	16
YBR283C	44
YBR198C	20
YBL056W	56
YBL099W	94
YBR242W	18
YBR181C	259
YBR052C	35
YBR093C	13
YBR049C	23
YBR056W	32
YBL030C	104
YBR151W	25
YBL105C	17
YBL102W	23
YBL011W	26
YBR235W	17
YBR015C	22
YBR055C	20
YBR088C	32
YBR164C	34
YBL020W	10
YBR208C	29
YBR172C	21
YBR286W	141
YBL061C	23
YBR267W	18
YBL032W	42
YBR191W	222
YBR074W	18
YBR187W	35
YBL035C	17
YBR073W	35
YBR260C	17
YBR279W	24
YBR078W	238
YBR028C	13
YBR129C	16
YBL050W	37
YBR080C	29
YBL058W	27
YBR140C	53
YNR017W	16
YNL306W	15
YNL288W	14
YNL137C	25
YNL030W	156
YNL297C	26
YNL102W	32
YNL099C	44
YNL182C	20
YNL180C	17
YNR001C	22
YNL091W	27
YNL221C	25
YNR052C	17
YNL061W	45
YNL121C	55
YNR055C	21
YNL119W	19
YNL310C	19
YNL126W	17
YNL301C	108
YNL263C	31
YNL059C	25
YNL044W	41
YNL067W	265
YNL104C	46
YNL169C	18
YNL268W	28
YNL162W	158
YNL257C	29
YNL229C	24
YNL248C	39
YNR051C	42
YNL190W	24
YNL080C	13
YNL145W	18
YNL323W	25
YNL048W	20
YNL273W	15
YNL055C	57
YNR013C	18
YNL041C	27
YNL008C	32
YNR015W	28
YNL313C	41
YNL035C	10
YNL007C	26
YNL002C	50
YNL311C	20
YNL291C	23
YNL087W	111
YNL217W	20
YNR028W	37
YNL192W	27
YNL071W	79
YNL308C	32
YNL239W	44
YNR067C	38
YNL294C	11
YNL280C	42
YNL075W	24
YNL261W	21
YNR021W	107
YNL201C	29
YNR033W	10
YNL123W	37
YNR016C	344
YNL178W	1135
YNL065W	12
YNR043W	20
YNL021W	16
YNL251C	23
snR40	97
YNL299W	21
snR19	35
YNL163C	42
YNL118C	40
YNL189W	99
YNL290W	41
YNL227C	20
YNL004W	24
YNL233W	15
YNL155W	24
YNL177C	20
YNL098C	28
YNL049C	18
YNL031C	136
YNR030W	17
YNL038W	19
YNL090W	25
YNL151C	12
YNR038W	32
YNL307C	29
YNL131W	39
YNL175C	58
YNL022C	26
YNL183C	19
YNL238W	22
YNL154C	55
YNL267W	35
YNL209W	246
YNL066W	54
YNR054C	26
YNR031C	30
YNL110C	24
YNL262W	26
YNL256W	20
YNR029C	12
YNL023C	17
YNL186W	22
YNL153C	14
YNL088W	81
YNL216W	26
YNL181W	19
YNL064C	41
YNL322C	18
YNL168C	23
YNL259C	20
YNL037C	34
YNL085W	54
YNL255C	386
YNL070W	15
YNL271C	26
YNL327W	66
YNL281W	58
YNL156C	45
YNL166C	8
YNL069C	456
YNR050C	67
YNL138W	39
YNL302C	146
YNL045W	64
YNL207W	39
YNR011C	18
YNL241C	51
YNL112W	268
YNL115C	11
YNL073W	14
YNL101W	11
YNL084C	27
YNL208W	30
YNL010W	129
YNL134C	63
YNR053C	68
YNL231C	21
YNL258C	27
YNL081C	16
YNL287W	114
YNL096C	94
YNL139C	43
YNL113W	62
YNL016W	36
YNL330C	33
YNL172W	14
YNL132W	48
YNR035C	29
YNL160W	38
YNL141W	74
YNL161W	22
