sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_parvorder	taxonomic_superfamily	taxonomic_subfamily	taxonomic_suborder	match_comment	taxonomic_superorder	taxonomic_subclass	taxonomic_varietas	taxonomic_subkingdom	taxonomic_tribe	taxonomic_subphylum	taxonomic_infraorder
contaminated.rna.q1	Aureoboletus projectellus	0.917575	101/400	90	2.050649999999999e-218	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Boletineae; Boletaceae; Xerocomoideae; Aureoboletus; projectellus		Aureoboletus projectellus	Aureoboletus	Boletaceae	Boletales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		285715		./rcn/refseq-NG-285715-PRJNA39195-.-.-.-Boletellus_projectellus.fna			Xerocomoideae	Boletineae			Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Collybia tuberosa	0.917575	101/400	90	2.050649999999999e-218	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Tricholomataceae; Collybia; tuberosa		Collybia tuberosa	Collybia	Tricholomataceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		88288		./rcn/refseq-NG-88288-PRJNA39195-.-.-.-Collybia_tuberosa.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Basidiobolus ranarum	0.917575	101/400	84	2.050649999999999e-218	Eukaryota; Opisthokonta; Fungi; Zoopagomycota; Entomophthoromycotina; Basidiobolomycetes; Basidiobolales; Basidiobolaceae; Basidiobolus; ranarum		Basidiobolus ranarum	Basidiobolus	Basidiobolaceae	Basidiobolales	Basidiobolomycetes	Zoopagomycota	Fungi	Eukaryota				PRJNA39195		34480		./rcn/refseq-NG-34480-PRJNA39195-.-.-.-Basidiobolus_ranarum.fna											Entomophthoromycotina	
contaminated.rna.q1	Rhizophlyctis rosea	0.917004	100/400	84	8.948789999999995e-216	Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Chytridiomycetes; Rhizophlyctidales; Rhizophlyctidaceae; Rhizophlyctis; rosea		Rhizophlyctis rosea	Rhizophlyctis	Rhizophlyctidaceae	Rhizophlyctidales	Chytridiomycetes	Chytridiomycota	Fungi	Eukaryota				PRJNA39195		64517		./rcn/refseq-NG-64517-PRJNA39195-.-.-.-Rhizophlyctis_rosea.fna												
contaminated.rna.q1	Ascobolus carbonarius	0.917004	100/400	76	8.948789999999995e-216	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Ascobolaceae; Ascobolus; carbonarius		Ascobolus carbonarius	Ascobolus	Ascobolaceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		265117		./rcn/refseq-NG-265117-PRJNA39195-.-.-.-Ascobolus_carbonarius.fna									Dikarya		Pezizomycotina	
contaminated.rna.q1	Gymnopus dryophilus	0.916428	99/400	90	3.853629999999998e-213	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Gymnopus; dryophilus		Gymnopus dryophilus	Gymnopus	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		206318		./rcn/refseq-NG-206318-PRJNA39195-.-.-.-Gymnopus_dryophilus.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Cladochytrium replicatum	0.916428	99/400	86	3.853629999999998e-213	Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Chytridiomycetes; Cladochytriales; Cladochytriaceae; Cladochytrium; replicatum		Cladochytrium replicatum	Cladochytrium	Cladochytriaceae	Cladochytriales	Chytridiomycetes	Chytridiomycota	Fungi	Eukaryota				PRJNA39195		109936		./rcn/refseq-NG-109936-PRJNA39195-.-.-.-Cladochytrium_replicatum.fna												
contaminated.rna.q1	Hyaloraphidium curvatum	0.916428	99/400	76	3.853629999999998e-213	Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Monoblepharidomycetes; Monoblepharidales; incertae sedis; Hyaloraphidium; curvatum		Hyaloraphidium curvatum	Hyaloraphidium		Monoblepharidales	Monoblepharidomycetes	Chytridiomycota	Fungi	Eukaryota				PRJNA39195		82268		./rcn/refseq-NG-82268-PRJNA39195-.-.-.-Hyaloraphidium_curvatum.fna												
contaminated.rna.q1	Corynespora cassiicola	0.914667	96/400	92	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Corynesporascaceae; Corynespora; cassiicola		Corynespora cassiicola	Corynespora	Corynesporascaceae	Pleosporales	Dothideomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		59586		./rcn/refseq-NG-59586-PRJNA39195-.-.-.-Corynespora_cassiicola.fna							Pleosporomycetidae		Dikarya		Pezizomycotina	
contaminated.rna.q1	Pleuroflammula flammea	0.914667	96/400	90	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Strophariaceae; Pleuroflammula; flammea		Pleuroflammula flammea	Pleuroflammula	Strophariaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		179844		./rcn/refseq-NG-179844-PRJNA39195-.-.-.-Pleuroflammula_flammea.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Cortinarius sodagnitus	0.914667	96/400	90	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Cortinariaceae; Cortinarius; sodagnitus		Cortinarius sodagnitus	Cortinarius	Cortinariaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		201461		./rcn/refseq-NG-201461-PRJNA39195-.-.-.-Cortinarius_sodagnitus.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Flammulina velutipes	0.914667	96/400	90	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Physalacriaceae; Flammulina; velutipes		Flammulina velutipes	Flammulina	Physalacriaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		38945		./rcn/refseq-NG-38945-PRJNA39195-.-.-.-Flammulina_velutipes.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Coprinus comatus	0.914667	96/400	90	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Agaricaceae; Coprinus; comatus		Coprinus comatus	Coprinus	Agaricaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		56187		./rcn/refseq-NG-56187-PRJNA39195-.-.-.-Coprinus_comatus.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Taphrina wiesneri	0.914667	96/400	85	2.839209999999999e-205	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Taphrinomycetes; Taphrinales; Taphrinaceae; Taphrina; wiesneri		Taphrina wiesneri	Taphrina	Taphrinaceae	Taphrinales	Taphrinomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		5012		./rcn/refseq-NG-5012-PRJNA39195-.-.-.-Taphrina_wiesneri.fna									Dikarya		Taphrinomycotina	
contaminated.rna.q1	Mycetinis alliaceus	0.914069	95/400	90	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Mycetinis; alliaceus		Mycetinis alliaceus	Mycetinis	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		139086		./rcn/refseq-NG-139086-PRJNA39195-.-.-.-Marasmius_alliaceus.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Pluteus romellii	0.914069	95/400	90	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Pluteaceae; Pluteus; romellii		Pluteus romellii	Pluteus	Pluteaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		181532		./rcn/refseq-NG-181532-PRJNA39195-.-.-.-Pluteus_romellii.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Exidia uvapassa	0.914069	95/400	90	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; incertae sedis; Auriculariales; Exidiaceae; Exidia; uvapassa		Exidia uvapassa	Exidia	Exidiaceae	Auriculariales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		283492		./rcn/refseq-NG-283492-PRJNA39195-.-.-.-Exidia_uvapassa.fna									Dikarya		Agaricomycotina	
contaminated.rna.q1	Entoloma prunuloides	0.914069	95/400	90	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Entolomataceae; Entoloma; prunuloides		Entoloma prunuloides	Entoloma	Entolomataceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		285439		./rcn/refseq-NG-285439-PRJNA39195-.-.-.-Entoloma_prunuloides.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Piptocephalis corymbifera	0.914069	95/400	89	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Zoopagomycota; Zoopagomycotina; Zoopagales; Piptocephalidaceae; Piptocephalis; corymbifera		Piptocephalis corymbifera	Piptocephalis	Piptocephalidaceae	Zoopagales		Zoopagomycota	Fungi	Eukaryota				PRJNA39195		78917		./rcn/refseq-NG-78917-PRJNA39195-.-.-.-Piptocephalis_corymbifera.fna											Zoopagomycotina	
contaminated.rna.q1	Polychytrium aggregatum	0.914069	95/400	85	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Chytridiomycota; Chytridiomycetes; Polychytriales; incertae sedis; Polychytrium; aggregatum		Polychytrium aggregatum	Polychytrium		Polychytriales	Chytridiomycetes	Chytridiomycota	Fungi	Eukaryota				PRJNA39195		110093		./rcn/refseq-NG-110093-PRJNA39195-.-.-.-Polychytrium_aggregatum.fna												
contaminated.rna.q1	Marcelleina persoonii	0.914069	95/400	84	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pyronemataceae; Marcelleina; persoonii		Marcelleina persoonii	Marcelleina	Pyronemataceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		173108		./rcn/refseq-NG-173108-PRJNA39195-.-.-.-Marcelleina_persoonii.fna									Dikarya		Pezizomycotina	
contaminated.rna.q1	Funneliformis mosseae	0.914069	95/400	84	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Mucoromycota; Glomeromycotina; Glomeromycetes; Glomerales; Glomeraceae; Funneliformis; mosseae		Funneliformis mosseae	Funneliformis	Glomeraceae	Glomerales	Glomeromycetes	Mucoromycota	Fungi	Eukaryota				PRJNA39195		27381		./rcn/refseq-NG-27381-PRJNA39195-.-.-.-Funneliformis_mosseae.fna											Glomeromycotina	
contaminated.rna.q1	Rozella allomycis	0.914069	95/400	84	1.1583499999999994e-202	Eukaryota; Opisthokonta; Fungi; Cryptomycota; Rozella; allomycis		Rozella allomycis	Rozella				Cryptomycota	Fungi	Eukaryota				PRJNA39195		281847		./rcn/refseq-NG-281847-PRJNA39195-.-.-.-Rozella_allomycis.fna												
contaminated.rna.q1	Rhodocollybia maculata	0.913465	94/400	90	4.6614099999999987e-200	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Rhodocollybia; maculata		Rhodocollybia maculata	Rhodocollybia	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		71918		./rcn/refseq-NG-71918-PRJNA39195-.-.-.-Rhodocollybia_maculata.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Paraglomus occultum	0.913465	94/400	89	4.6614099999999987e-200	Eukaryota; Opisthokonta; Fungi; Mucoromycota; Glomeromycotina; Glomeromycetes; Paraglomerales; Paraglomeraceae; Paraglomus; occultum		Paraglomus occultum	Paraglomus	Paraglomeraceae	Paraglomerales	Glomeromycetes	Mucoromycota	Fungi	Eukaryota				PRJNA39195		144539		./rcn/refseq-NG-144539-PRJNA39195-.-.-.-Paraglomus_occultum.fna											Glomeromycotina	
contaminated.rna.q1	Lycoperdon pyriforme	0.913465	94/400	89	4.6614099999999987e-200	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Lycoperdaceae; Lycoperdon; pyriforme		Lycoperdon pyriforme	Lycoperdon	Lycoperdaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		5428		./rcn/refseq-NG-5428-PRJNA39195-.-.-.-Lycoperdon_pyriforme.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Saitoella complicata	0.913465	94/400	84	4.6614099999999987e-200	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; Taphrinomycotina; incertae sedis; Saitoella; complicata		Saitoella complicata	Saitoella				Ascomycota	Fungi	Eukaryota				PRJNA39195		5606		./rcn/refseq-NG-5606-PRJNA39195-.-.-.-Saitoella_complicata.fna									Dikarya		Taphrinomycotina	
contaminated.rna.q1	Grifola sordulenta	0.912854	93/400	90	1.850039999999999e-197	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; incertae sedis; Polyporales; Grifolaceae; Grifola; sordulenta		Grifola sordulenta	Grifola	Grifolaceae	Polyporales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		172312		./rcn/refseq-NG-172312-PRJNA39195-.-.-.-Grifola_sordulenta.fna									Dikarya		Agaricomycotina	
contaminated.rna.q1	Pleurotus ostreatus	0.912854	93/400	90	1.850039999999999e-197	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Pleurotaceae; Pleurotus; ostreatus		Pleurotus ostreatus	Pleurotus	Pleurotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		5322		./rcn/refseq-NG-5322-PRJNA39195-.-.-.-Pleurotus_ostreatus.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Gyromitra californica	0.912854	93/400	84	1.850039999999999e-197	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Discinaceae; Gyromitra; californica		Gyromitra californica	Gyromitra	Discinaceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		265115		./rcn/refseq-NG-265115-PRJNA39195-.-.-.-Gyromitra_californica.fna									Dikarya		Pezizomycotina	
contaminated.rna.q1	Leptosphaerulina australis	0.9122379999999999	92/400	94	7.240799999999997e-195	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Leptosphaerulina; australis		Leptosphaerulina australis	Leptosphaerulina	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		318710		./rcn/refseq-NG-318710-PRJNA39195-.-.-.-Leptosphaerulina_australis.fna				Pleosporineae			Pleosporomycetidae		Dikarya		Pezizomycotina	
contaminated.rna.q1	Anthracophyllum archeri	0.9122379999999999	92/400	90	7.240799999999997e-195	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Omphalotaceae; Anthracophyllum; archeri		Anthracophyllum archeri	Anthracophyllum	Omphalotaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		293801		./rcn/refseq-NG-293801-PRJNA39195-.-.-.-Anthracophyllum_archeri.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Chamaeota sinica	0.9122379999999999	92/400	90	7.240799999999997e-195	Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Pluteaceae; Chamaeota; sinica		Chamaeota sinica	Chamaeota	Pluteaceae	Agaricales	Agaricomycetes	Basidiomycota	Fungi	Eukaryota				PRJNA39195		334534		./rcn/refseq-NG-334534-PRJNA39195-.-.-.-Chamaeota_sinica.fna							Agaricomycetidae		Dikarya		Agaricomycotina	
contaminated.rna.q1	Peziza vesiculosa	0.9122379999999999	92/400	85	7.240799999999997e-195	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pezizaceae; Peziza; vesiculosa		Peziza vesiculosa	Peziza	Pezizaceae	Pezizales	Pezizomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		47203		./rcn/refseq-NG-47203-PRJNA39195-.-.-.-Peziza_vesiculosa.fna									Dikarya		Pezizomycotina	
contaminated.rna.q1	Friedmanniomyces simplex	0.9122379999999999	92/400	79	7.240799999999997e-195	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Dothideomycetidae; Capnodiales; Teratosphaeriaceae; Friedmanniomyces; simplex		Friedmanniomyces simplex	Friedmanniomyces	Teratosphaeriaceae	Capnodiales	Dothideomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		329884		./rcn/refseq-NG-329884-PRJNA39195-.-.-.-Friedmanniomyces_simplex.fna							Dothideomycetidae		Dikarya		Pezizomycotina	
contaminated.rna.q1	Capra hircus	0.9122379999999999	92/400	26	7.240799999999997e-195	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra; hircus		Capra hircus	Capra	Bovidae		Mammalia	Chordata	Metazoa	Eukaryota						9925		./rcn/refseq-NG-9925-.-.-.-.-Capra_hircus.fna			Caprinae	Ruminantia		Laurasiatheria					Craniata	Pecora
contaminated.rna.q1	Boeremia exigua var. exigua	0.911615	91/400	92	2.794409999999999e-192	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Didymellaceae; Boeremia; exigua; var. exigua		Boeremia exigua	Boeremia	Didymellaceae	Pleosporales	Dothideomycetes	Ascomycota	Fungi	Eukaryota				PRJNA39195		79605		./rcn/refseq-NG-79605-PRJNA39195-.-.-.-Boeremia_exigua_var._exigua.fna				Pleosporineae			Pleosporomycetidae	Boeremia exigua var. exigua	Dikarya		Pezizomycotina	
