rank	gene_id	gene_name	gene_type	n_isoforms	gene_tpm_A	gene_tpm_B	gene_num_A	gene_num_B	max_abs_dIF	sum_abs_dIF	fisher_pvalue	top2_total_reads	iso_pos_tx	iso_pos_tpm_A	iso_pos_tpm_B	iso_pos_num_A	iso_pos_num_B	iso_neg_tx	iso_neg_tpm_A	iso_neg_tpm_B	iso_neg_num_A	iso_neg_num_B
47	ENSG00000020633.19	RUNX3	protein_coding	5	93.418484	52.868180	40.999	46.000	0.471653	1.484486	2.79975e-18	63.084	ENST00000308873.11	0.000000	18.114589	0.000	25.647	ENST00000479341.1	44.061124	0.000000	0.635	0.000
48	ENSG00000117859.19	OSBPL9	protein_coding	27	365.176886	282.675093	35.000	37.001	0.212025	0.616234	5.21581e-18	61.662	ENST00000486942.5	0.008481	35.443877	0.007	28.470	ENST00000524620.1	330.077932	195.571499	1.808	1.000
49	ENSG00000166181.13	API5	protein_coding	11	55.180937	44.822475	40.000	39.000	0.616033	1.349584	5.78528e-18	69.899	ENST00000378852.7	0.000000	27.612116	0.000	33.712	ENST00000531273.6	26.226188	1.445858	34.416	1.771
50	ENSG00000101846.9	STS	protein_coding	6	13.040209	15.381185	31.000	34.000	0.971498	1.942996	9.41903e-18	65.000	ENST00000217961.5	0.000000	14.942770	0.000	33.027	ENST00000666110.2	13.040209	0.438397	31.000	0.973
51	ENSG00000113407.14	TARS1	protein_coding	16	483.520794	63.758634	48.999	53.972	0.878850	1.857137	1.64717e-17	83.252	ENST00000265112.8	0.644278	56.119261	0.589	47.906	ENST00000627006.2	321.834332	0.000000	0.771	0.000
52	ENSG00000189057.11	FAM111B	protein_coding	6	26.539818	46.209413	31.000	35.000	1.000000	2.000000	1.80775e-17	58.799	ENST00000343597.4	0.000000	24.223466	0.000	27.799	ENST00000411426.1	26.539817	0.000000	31.000	0.000
53	ENSG00000108946.17	PRKAR1A	protein_coding	25	117.755883	75.628473	60.000	52.000	0.351921	1.223383	2.066e-17	58.972	ENST00000589480.6	0.000000	26.615224	0.000	32.072	ENST00000585608.5	31.963973	0.000000	7.216	0.000
54	ENSG00000068366.21	ACSL4	protein_coding	18	47.512915	63.936790	73.000	60.000	0.521989	1.408296	2.10774e-17	111.487	ENST00000672282.1	0.000000	25.550223	0.000	39.191	ENST00000672401.1	32.097101	9.817839	56.237	16.059
55	ENSG00000197451.12	HNRNPAB	protein_coding	8	113.060458	72.004854	56.999	36.000	0.665566	1.999963	2.43262e-17	63.252	ENST00000355836.9	0.000000	43.488233	0.000	20.723	ENST00000506339.5	75.251127	0.001253	42.528	0.001
56	ENSG00000090861.17	AARS1	protein_coding	42	76.225750	51.029876	45.000	39.001	0.667070	1.350193	4.27618e-17	59.491	ENST00000676211.1	0.000000	34.040512	0.000	36.929	ENST00000261772.13	18.752353	0.000000	22.562	0.000
57	ENSG00000196419.13	XRCC6	protein_coding	8	170.108250	275.770813	89.000	85.000	0.512151	1.024302	5.53544e-17	166.317	ENST00000464116.2	46.906108	149.745121	1.930	5.753	ENST00000360079.8	123.202142	58.492771	87.070	38.593
58	ENSG00000196498.15	NCOR2	protein_coding	22	47.549727	101.602690	33.000	39.999	0.248926	1.252294	7.12688e-17	56.664	ENST00000542565.1	0.000000	25.291597	0.000	4.421	ENST00000542927.5	10.128316	0.000000	2.210	0.000
59	ENSG00000197102.14	DYNC1H1	protein_coding	64	20.953472	55.008081	52.999	49.002	0.331703	1.543071	7.79289e-17	58.091	ENST00000554854.1	0.000000	18.246369	0.000	3.029	ENST00000680715.1	6.460871	0.000378	34.243	0.002
60	ENSG00000197312.13	DDI2	protein_coding	8	6.395338	16.351250	25.001	36.775	0.989139	1.990013	1.0071e-16	56.685	ENST00000480945.6	0.031735	8.669527	0.125	31.830	ENST00000711098.1	6.326077	0.000512	24.728	0.002
61	ENSG00000131236.18	CAP1	protein_coding	19	241.902237	703.100471	105.836	106.934	0.484214	1.065839	1.08231e-16	168.164	ENST00000446031.1	59.593092	513.661527	0.692	5.569	ENST00000479759.5	69.674565	57.310240	16.782	12.887
62	ENSG00000107263.19	RAPGEF1	protein_coding	8	79.376245	41.509669	50.001	44.999	0.458636	1.451973	1.25243e-16	60.107	ENST00000372189.7	0.000000	19.037823	0.000	39.152	ENST00000438647.3	32.058745	2.303727	4.091	0.274
63	ENSG00000118680.14	MYL12B	protein_coding	5	120.031983	165.713293	41.119	46.265	0.835306	1.670612	1.28878e-16	87.384	ENST00000400175.9	4.876322	145.153445	1.427	39.649	ENST00000237500.10	115.155661	20.559848	39.692	6.616
64	ENSG00000151726.16	ACSL1	protein_coding	16	27.339893	36.685344	35.000	42.000	0.899056	1.798112	1.29951e-16	73.507	ENST00000454703.6	0.000000	28.557900	0.000	34.081	ENST00000505492.2	27.339893	3.703172	35.000	4.426
65	ENSG00000124422.12	USP22	protein_coding	11	68.223781	63.648916	31.000	31.566	0.274961	0.947706	1.35411e-16	56.295	ENST00000537526.6	0.000000	17.500987	0.000	29.151	ENST00000261497.9	14.557797	0.000000	27.144	0.000
66	ENSG00000104320.15	NBN	protein_coding	38	47.734754	32.551012	44.900	46.644	0.549224	1.863817	2.61483e-16	55.287	ENST00000523444.2	0.000000	17.877781	0.000	28.191	ENST00000409330.5	16.797146	0.000000	27.096	0.000
67	ENSG00000198492.16	YTHDF2	protein_coding	9	49.052319	31.853750	28.000	28.000	0.999910	1.999820	2.61483e-16	55.189	ENST00000373812.8	0.004423	31.853750	0.004	28.000	ENST00000541996.5	29.165371	0.000000	27.185	0.000
68	ENSG00000152332.16	UHMK1	protein_coding	4	16.835174	23.081822	52.000	65.000	0.773045	1.546089	2.63214e-16	92.099	ENST00000545294.5	3.818883	14.458932	11.342	40.091	ENST00000489294.2	13.016291	0.002672	40.658	0.008
69	ENSG00000153827.15	TRIP12	protein_coding	30	146.685823	135.687881	78.000	92.000	0.231483	0.984579	5.3265e-16	54.804	ENST00000470302.5	32.121899	47.044562	2.874	3.930	ENST00000428959.5	34.708445	0.696745	4.376	0.082
70	ENSG00000080603.17	SRCAP	protein_coding	5	8.088632	6.073550	31.744	24.949	0.999999	1.999998	5.94109e-16	53.457	ENST00000411466.7	0.000008	6.073550	0.000	24.949	ENST00000262518.9	6.581162	0.000000	28.508	0.000
71	ENSG00000064666.15	CNN2	protein_coding	12	102.033649	63.453077	28.071	37.546	0.785866	2.000000	7.68726e-16	55.065	ENST00000263097.9	0.000000	49.865609	0.000	33.375	ENST00000606983.5	56.139142	0.000000	6.083	0.000
72	ENSG00000152102.18	FAM168B	protein_coding	2	19.465197	23.104691	37.000	42.000	0.817369	1.634739	8.38382e-16	79.000	ENST00000389915.4	0.000000	18.885066	0.000	34.512	ENST00000409185.5	19.465197	4.219625	37.000	7.488
73	ENSG00000120694.20	HSPH1	protein_coding	9	70.230977	90.178460	36.000	40.000	0.356066	0.892253	9.2087e-16	53.354	ENST00000630972.2	0.000000	19.368186	0.000	22.664	ENST00000602786.5	25.051890	0.057790	30.624	0.066
74	ENSG00000143603.19	KCNN3	protein_coding	5	24.622047	16.294073	30.000	37.000	0.427160	1.233578	9.2087e-16	54.259	ENST00000618040.4	0.000002	6.960175	0.000	31.417	ENST00000515643.1	10.453703	0.000000	1.113	0.000
75	ENSG00000125944.22	HNRNPR	protein_coding	13	48.404936	66.994541	42.001	55.000	0.754636	1.509272	1.01041e-15	69.881	ENST00000374616.7	0.000000	33.161892	0.000	28.530	ENST00000374612.5	40.144329	5.005013	37.040	4.311
76	ENSG00000101445.10	PPP1R16B	protein_coding	4	380.483617	34.468282	86.000	73.000	0.954498	1.908996	1.04054e-15	155.387	ENST00000299824.6	17.312719	34.468282	39.275	73.000	ENST00000463749.1	343.669818	0.000000	3.613	0.000
77	ENSG00000173692.14	PSMD1	protein_coding	37	58.714513	94.726071	33.999	33.001	0.485253	1.605886	1.06657e-15	58.383	ENST00000467792.1	0.000000	45.966065	0.000	3.143	ENST00000679034.1	28.156019	0.000000	29.880	0.000
78	ENSG00000100883.13	SRP54	protein_coding	23	51.965040	41.748956	38.000	26.000	0.999986	1.999972	1.5699e-15	56.698	ENST00000678477.1	0.000000	29.554774	0.000	18.698	ENST00000216774.11	51.964325	0.000000	38.000	0.000
79	ENSG00000079785.16	DDX1	protein_coding	24	34.684199	44.832354	28.000	34.999	0.999214	1.999803	1.98005e-15	54.552	ENST00000678594.1	0.000001	44.797128	0.000	34.972	ENST00000677437.1	23.863421	0.004421	19.577	0.003
80	ENSG00000131238.18	PPT1	protein_coding	19	108.360460	83.557721	39.001	26.000	0.440983	1.146212	5.20856e-15	51.934	ENST00000530076.6	0.000000	36.847520	0.000	21.065	ENST00000642050.2	40.199580	0.000000	30.869	0.000
81	ENSG00000141367.14	CLTC	protein_coding	29	86.747913	129.167481	152.000	168.002	0.298825	1.482251	5.27172e-15	156.383	ENST00000714180.1	0.023779	38.467741	0.053	80.765	ENST00000714243.1	25.952444	0.044642	57.630	0.093
82	ENSG00000117724.15	CENPF	protein_coding	8	7.510512	11.724212	21.000	32.000	0.775144	2.000000	7.93685e-15	51.785	ENST00000706765.1	0.000000	9.087953	0.000	31.550	ENST00000366955.8	5.338514	0.000001	20.235	0.000
83	ENSG00000196628.20	TCF4	protein_coding	93	43.125654	29.675426	32.001	31.999	0.355226	1.700994	8.22716e-15	50.135	ENST00000637169.2	0.000000	10.138881	0.000	26.097	ENST00000563760.5	15.319354	0.000000	3.505	0.000
84	ENSG00000150093.20	ITGB1	protein_coding	36	43.478463	25.408387	32.001	27.859	0.879719	1.759437	9.25555e-15	50.884	ENST00000488427.2	0.000085	22.352280	0.000	27.235	ENST00000488494.6	17.826398	0.208890	23.393	0.256
85	ENSG00000100628.12	ASB2	protein_coding	10	64.227517	38.414479	32.001	29.000	0.838401	1.676801	1.12676e-14	50.704	ENST00000315988.8	0.000000	32.206724	0.000	28.299	ENST00000555019.6	25.168339	0.000000	22.405	0.000
86	ENSG00000100503.27	NIN	protein_coding	31	28.900199	148.587959	71.000	59.999	0.650196	1.734996	1.74397e-14	77.207	ENST00000673852.1	0.000000	64.950049	0.000	1.629	ENST00000706705.1	18.790808	0.000000	54.276	0.000
87	ENSG00000140575.13	IQGAP1	protein_coding	18	124.656913	106.081838	81.001	81.001	0.337446	1.102540	2.22506e-14	146.301	ENST00000560373.1	22.253434	54.734370	0.840	1.929	ENST00000559674.1	57.573004	16.906827	6.521	1.788
88	ENSG00000028137.19	TNFRSF1B	protein_coding	4	26.523242	35.688793	27.000	32.000	0.697013	1.862653	2.53269e-14	57.783	ENST00000492361.1	1.821446	26.817193	2.292	31.503	ENST00000376259.7	18.487056	0.000000	23.988	0.000
89	ENSG00000171988.20	JMJD1C	protein_coding	11	15.420846	12.421089	24.000	31.001	0.813630	1.999962	2.56082e-14	49.472	ENST00000542921.5	0.000000	10.106172	0.000	28.136	ENST00000402544.5	7.281754	0.000239	21.335	0.001
90	ENSG00000156030.14	MIDEAS	protein_coding	10	9.326919	48.577398	21.001	34.000	0.790287	1.999943	2.56082e-14	48.442	ENST00000478847.1	0.000000	28.257356	0.000	2.091	ENST00000394071.6	7.370940	0.000000	20.790	0.000
91	ENSG00000077235.18	GTF3C1	protein_coding	13	23.850837	14.268969	22.001	27.999	0.809601	1.827039	2.56082e-14	48.173	ENST00000561623.5	0.000000	11.552177	0.000	27.544	ENST00000567843.1	15.662605	1.113207	1.325	0.088
92	ENSG00000139697.14	SBNO1	protein_coding	3	6.091539	6.081161	25.000	22.999	0.999984	1.999968	3.23021e-14	47.999	ENST00000420886.6	0.000000	6.081009	0.000	22.999	ENST00000267176.8	6.091539	0.000096	25.000	0.000
93	ENSG00000089157.16	RPLP0	protein_coding	27	2584.386517	3180.027233	414.063	438.599	0.140739	0.323381	3.28727e-14	603.948	ENST00000547211.5	410.629320	892.100316	82.317	166.959	ENST00000392514.9	705.814472	420.935490	227.824	126.848
94	ENSG00000123505.20	AMD1	protein_coding	9	41.551837	47.998744	42.000	35.001	0.667559	1.852029	3.58411e-14	51.381	ENST00000368876.2	0.000135	18.461232	0.000	18.154	ENST00000368885.8	27.738311	0.000000	33.227	0.000
95	ENSG00000166734.20	GOLM2	protein_coding	12	26.088112	37.008645	30.000	21.000	0.811239	1.650969	5.30457e-14	49.013	ENST00000650436.1	0.000000	15.289011	0.000	19.259	ENST00000299957.11	21.163683	0.000000	29.754	0.000
96	ENSG00000147140.17	NONO	protein_coding	40	194.410174	262.580565	70.000	65.999	0.280319	0.927795	5.75941e-14	79.961	ENST00000486613.6	10.371787	56.346199	1.194	6.057	ENST00000454976.2	70.981358	22.264861	34.032	9.966
97	ENSG00000310517.1	CAST	protein_coding	60	65.276527	80.766163	40.323	37.284	0.450224	1.518250	7.96701e-14	47.408	ENST00000348386.7	0.000000	36.362832	0.000	25.914	ENST00000504465.5	27.293067	0.000000	21.494	0.000
98	ENSG00000168374.11	ARF4	protein_coding	9	86.001462	65.277940	29.000	30.000	0.648721	2.000000	1.02433e-13	47.265	ENST00000486310.5	0.000000	42.347150	0.000	20.164	ENST00000303436.11	53.332451	0.000000	27.101	0.000
99	ENSG00000167895.16	TMC8	protein_coding	16	40.288572	33.734939	22.000	31.000	0.534676	1.774116	1.02433e-13	46.877	ENST00000318430.10	0.000000	18.037249	0.000	26.548	ENST00000591003.1	20.145626	0.000000	0.564	0.000
