column	rank	gene	z_vs_others	expression	marker_label	specificity	stability
endodermis	26	TraesCS3D03G0402600	44.356795	730.170000	9Endodermis		
endodermis	27	TraesCS4D03G0741000	44.311022	19.870000			
endodermis	28	TraesCS6B03G0815900	44.166450	257.900000	9Endodermis		
endodermis	29	TraesCS3B03G0508400	44.087457	584.720000	9Endodermis		
endodermis	30	TraesCS1D03G0909900	44.002686	5.530000			
endodermis	31	TraesCS5D03G0745900	43.961219	13.650000			
endodermis	32	TraesCS2D03G0321300	43.156447	646.570000	9Endodermis_11Endodermis/Phloem		
endodermis	33	TraesCS3D03G0402000	42.897545	2.760000			
endodermis	34	TraesCS1D03G0755500	42.619502	44.740000	NA		
endodermis	35	TraesCS4B03G0618700	42.609858	9.500000			
endodermis	36	TraesCS3A03G0429700	42.538154	826.040000	9Endodermis	specific	stable
endodermis	37	TraesCS2A03G0398600	42.129859	6.220000			
endodermis	38	TraesCS1B03G0907700	40.626279	9.330000			
endodermis	39	TraesCS5B03G0837200	40.621678	23.150000			
endodermis	40	TraesCS2D03G0692900	40.349423	275.520000	9Endodermis		
endodermis	41	TraesCS6D03G0764800	39.951780	50.610000	9Endodermis		
endodermis	42	TraesCS2D03G0265800	39.926562	54.760000	9Endodermis	specific	stable
endodermis	43	TraesCS2B03G1018700	39.444038	46.120000	NA		
endodermis	44	TraesCS2D03G0102600LC	39.332203	4.490000			
endodermis	45	TraesCS4A03G0083900	39.083297	20.900000			
endodermis	46	TraesCS3B03G0507800	38.872188	187.080000			
endodermis	47	TraesCS4A03G0996400	38.764266	14.860000			
endodermis	48	TraesCS4A03G1229600	38.722456	4.490000			
endodermis	49	TraesCS5D03G0077900	37.638472	24.530000			
endodermis	50	TraesCS1B03G0907000	37.564595	206.600000			
epidermis	1	TraesCS2B03G0105900	55.973985	6.360000			
epidermis	2	TraesCS4A03G0849100	54.937398	7.110000	NA		
epidermis	3	TraesCS7D03G0182300	47.376154	1.500000			
epidermis	4	TraesCS4D03G0644900	33.338005	1.800000			
epidermis	5	TraesCS7B03G0062100	31.668161	3.810000			
epidermis	6	TraesCS1A03G0070400	28.638550	3.440000			
epidermis	7	TraesCS6B03G0295000	28.614516	6.360000			
epidermis	8	TraesCS5B03G1106800LC	28.196538	1.720000			
epidermis	9	TraesCS3D03G0655100	27.787898	35.680000	7Epidermis		
epidermis	10	TraesCS2B03G0426800	26.906820	115.120000			
epidermis	11	TraesCS2A03G0309200	26.621963	215.810000			
epidermis	12	TraesCS6B03G0107200	22.653846	2.020000			
epidermis	13	TraesCS3B03G1335000	22.652228	1.940000			
epidermis	14	TraesCS1B03G0078400	22.472553	2.690000			
epidermis	15	TraesCS3A03G0007400	21.033878	1.570000			
epidermis	16	TraesCS2B03G1540200	21.014387	204.140000	7Epidermis	specific	stable
epidermis	17	TraesCS3D03G0008900	20.908762	1.650000			
epidermis	18	TraesCS1A03G0757100	20.081833	2.320000			
epidermis	19	TraesCS2B03G0427000	19.985177	5.690000			
epidermis	20	TraesCS6B03G0242600	19.964492	72.630000			
epidermis	21	TraesCS2D03G0324500	19.952193	651.920000			
epidermis	22	TraesCS3B03G0013800	19.733144	2.920000			
epidermis	23	TraesCS2B03G0426900	19.517173	111.610000			
epidermis	24	TraesCS1D03G0362900	19.441605	32.390000			
epidermis	25	TraesCS4B03G0919800	19.305431	7.260000			
epidermis	26	TraesCS6B03G0870300	18.693434	2.390000			
epidermis	27	TraesCS1A03G0871400	18.326000	7.930000			
epidermis	28	TraesCS1A03G0045800	18.134065	16.830000			
epidermis	29	TraesCS6B03G0295400	18.014484	1.800000			
epidermis	30	TraesCS7B03G1286700	17.951998	104.650000			
epidermis	31	TraesCS1A03G0389400LC	17.874337	5.540000			
epidermis	32	TraesCS2D03G0324600	17.863170	1.940000			
epidermis	33	TraesCS4D03G0829100LC	17.721466	8.750000			
epidermis	34	TraesCS6B03G0203900	17.543975	1.570000			
epidermis	35	TraesCS1D03G0147200	17.458883	13.320000			
epidermis	36	TraesCS6D03G0075600	17.333948	2.620000			
epidermis	37	TraesCS3A03G1126300	16.731656	2.920000			
epidermis	38	TraesCS3B03G0004000	16.649051	28.280000			
epidermis	39	TraesCS7D03G1300600	16.473603	41.740000			
epidermis	40	TraesCS7B03G0980100	16.153378	19.750000			
epidermis	41	TraesCS3B03G0814900	15.842080	29.620000	NA		
epidermis	42	TraesCS6D03G0618000	15.788809	7.330000			
epidermis	43	TraesCS3D03G1065100LC	15.751677	4.490000			
epidermis	44	TraesCS1D03G0725800	15.740076	9.800000			
epidermis	45	TraesCS7D03G0300800	15.676300	13.170000			
epidermis	46	TraesCS6D03G0618200	15.515154	2.690000			
epidermis	47	TraesCS7B03G0203800	15.423622	2.540000			
epidermis	48	TraesCS1B03G0338400	15.233543	11.150000			
epidermis	49	TraesCS2D03G0324400	15.191420	316.500000			
epidermis	50	TraesCS6B03G0028000	15.151612	2.470000			
meristems	1	TraesCS4A03G0057300	44.995505	5.530000			
meristems	2	TraesCS2B03G1415800LC	41.514611	4.200000			
meristems	3	TraesCS7B03G0817300	38.244886	3.340000			
meristems	4	TraesCS2D03G0932600	34.989618	11.930000			
meristems	5	TraesCS7A03G0284300	33.319153	193.950000			
meristems	6	TraesCS3A03G0081800	29.779036	9.540000			
meristems	7	TraesCS2B03G1107000	25.792077	41.790000			
meristems	8	TraesCS5B03G1079900	24.817616	14.790000			
meristems	9	TraesCS3A03G0196000	24.009655	94.640000			
meristems	10	TraesCS6D03G0187000	23.858294	45.030000			
meristems	11	TraesCS2A03G1188300	23.411894	9.350000			
meristems	12	TraesCS3D03G0615800	23.245846	108.470000			
meristems	13	TraesCS6B03G0239600LC	22.638384	4.290000			
meristems	14	TraesCS7A03G0988800	22.120156	3.910000			
meristems	15	TraesCS1A03G0595700	21.592560	3.430000			
meristems	16	TraesCS5B03G1165900	21.203218	10.110000			
meristems	17	TraesCS5D03G0996100	21.095748	6.580000			
meristems	18	TraesCSU03G0093300	20.793118	19.460000			
meristems	19	TraesCS7B03G1060900	20.492876	145.100000			
meristems	20	TraesCS3D03G0422000	20.103056	1.720000			
meristems	21	TraesCS6B03G0173000	20.094780	52.850000			
meristems	22	TraesCS6A03G0123400LC	19.702678	79.280000			
meristems	23	TraesCS3B03G0974400	19.699862	200.440000			
meristems	24	TraesCS5B03G0141400LC	19.205458	8.300000			
meristems	25	TraesCS3A03G0867100LC	19.105152	15.740000			
meristems	26	TraesCS1A03G0730400	18.695956	646.340000			
meristems	27	TraesCS7B03G0163200	18.692548	49.320000			
meristems	28	TraesCS7A03G1053000	18.528393	3.050000			
meristems	29	TraesCS2B03G1234900	18.450636	4.390000			
meristems	30	TraesCS7A03G0284700	18.356546	14.880000	NA		
meristems	31	TraesCS1B03G0834000	17.999612	201.110000			
meristems	32	TraesCS6B03G0184300	17.936509	320.930000			
meristems	33	TraesCS2D03G0716000	17.825201	100.080000			
meristems	34	TraesCS5A03G1098200	17.585167	13.930000			
meristems	35	TraesCS6A03G0175500	17.379130	85.570000			
meristems	36	TraesCS6B03G0194600LC	17.286047	58.580000			
meristems	37	TraesCS1B03G1024600	17.043518	198.340000	3Meristems		
meristems	38	TraesCS3D03G0764500	16.999146	1.720000			
meristems	39	TraesCS6B03G0284500	16.808303	526.330000			
meristems	40	TraesCS5D03G0259500	16.768332	127.840000	3Meristems		
meristems	41	TraesCS5D03G0153800	16.747661	18.600000			
meristems	42	TraesCS7A03G0345400	16.738389	100.930000			
meristems	43	TraesCS7D03G1013000	16.662047	85.380000			
meristems	44	TraesCS7D03G0261900	16.399826	145.770000			
meristems	45	TraesCS7B03G0898700	16.302418	121.540000			
meristems	46	TraesCS5A03G0131000	16.222309	30.150000			
meristems	47	TraesCS6A03G0141200	16.071601	582.710000			
meristems	48	TraesCS1B03G1030300	16.070057	20.030000			
meristems	49	TraesCS5A03G0728100	15.655571	289.830000			
meristems	50	TraesCS7D03G0407000	15.582239	193.000000			
pericycle	1	TraesCS2D03G1129100	210.393464	19.160000			
pericycle	2	TraesCS6D03G0907400	185.936942	6.440000			
pericycle	3	TraesCS2B03G0179100	178.508977	13.580000	NA		
pericycle	4	TraesCS7D03G0510900LC	157.836335	3.480000			
pericycle	5	TraesCS5D03G0569300	150.278993	169.610000	6Pericycle		
pericycle	6	TraesCS7D03G0390800	129.736657	16.020000			
pericycle	7	TraesCS3B03G1323800	126.718717	102.390000	6Pericycle		
pericycle	8	TraesCS7B03G0206500	122.561787	57.470000			
pericycle	9	TraesCS5D03G1206300	115.017798	24.730000	NA		
pericycle	10	TraesCS1A03G0207300	114.657806	60.780000			
pericycle	11	TraesCS7B03G0206300	101.371760	27.510000			
pericycle	12	TraesCS4B03G0319600	99.038507	9.750000			
pericycle	13	TraesCS1D03G0637900	97.590032	9.930000			
pericycle	14	TraesCS4B03G0208000	94.801282	22.640000			
pericycle	15	TraesCS4B03G0238600	94.069561	190.160000	6Pericycle		
pericycle	16	TraesCS3A03G0842500	93.654717	14.110000			
pericycle	17	TraesCS4D03G0264900LC	90.824684	80.280000			
pericycle	18	TraesCS7A03G0406300	88.462884	40.750000			
pericycle	19	TraesCS3A03G0764300	88.449942	8.530000			
pericycle	20	TraesCS1B03G0187300	85.155343	185.460000			
pericycle	21	TraesCS3D03G0571600	80.009710	6.970000			
pericycle	22	TraesCS2B03G1372800	78.411749	45.100000	6Pericycle		
pericycle	23	TraesCS3A03G0624800	78.135299	5.920000			
pericycle	24	TraesCS5B03G0639200	77.122248	112.670000			
pericycle	25	TraesCS4A03G0786200	76.187995	85.680000	6Pericycle	specific	stable
pericycle	26	TraesCS2D03G0999400	74.264466	171.010000			
pericycle	27	TraesCS5B03G0622500	74.260279	113.370000	6Pericycle		
pericycle	28	TraesCS3B03G1089700	72.842359	10.270000			
pericycle	29	TraesCS3A03G1152200	72.039756	15.500000			
pericycle	30	TraesCS3A03G0866200	71.873686	6.090000			
pericycle	31	TraesCS2D03G0677400	70.574685	7.660000			
pericycle	32	TraesCS1B03G0697900	69.981013	107.790000	6Pericycle		
pericycle	33	TraesCS2B03G1183500	69.764711	292.730000			
pericycle	34	TraesCS5B03G1367500	68.939280	31.690000	NA		
pericycle	35	TraesCS5B03G1132000	68.870381	34.480000			
pericycle	36	TraesCS4A03G1099000	67.324371	24.380000			
pericycle	37	TraesCS1D03G0200100LC	65.965086	82.720000			
pericycle	38	TraesCS7D03G1073500	65.902002	9.230000			
pericycle	39	TraesCS7A03G0794900	65.264208	7.140000			
pericycle	40	TraesCS2D03G0821400	65.162534	8.360000			
pericycle	41	TraesCS5B03G0138900	64.303128	405.920000			
pericycle	42	TraesCS4A03G0793200	63.767813	22.810000	NA		
pericycle	43	TraesCS2B03G0347800	63.704955	4.880000			
pericycle	44	TraesCS2A03G1058900	63.380123	240.840000			
pericycle	45	TraesCS5D03G1199300	63.260666	97.000000	6Pericycle		
pericycle	46	TraesCS1D03G0200000LC	62.266912	22.640000			
pericycle	47	TraesCS6D03G0541800	61.747656	22.810000			
pericycle	48	TraesCS7B03G0633300	61.353355	20.550000			
pericycle	49	TraesCS4B03G0758500	61.188257	32.040000	NA		
pericycle	50	TraesCS2B03G1117900LC	60.869107	52.420000			
phloem	1	TraesCS7D03G0264400	15598.169501	343.150000	13Phloem		
phloem	2	TraesCS6B03G0810000	11891.020139	911.030000	13Phloem		
phloem	3	TraesCS6D03G0555500	11149.306172	315.360000	13Phloem		
phloem	4	TraesCS1B03G0715800LC	8275.960652	820.410000			
phloem	5	TraesCS1D03G0349200	7458.208775	234.400000			
phloem	6	TraesCS7D03G1119700	7414.570185	163.120000			
phloem	7	TraesCS2B03G0197500	7135.717899	875.990000	13Phloem	specific	stable
phloem	8	TraesCS1B03G0450900	6855.841968	470.010000	13Phloem		
phloem	9	TraesCS3B03G0742300	6717.325222	1440.250000	13Phloem		
phloem	10	TraesCS3A03G1157200	6078.512308	839.740000	13Phloem	specific	stable
phloem	11	TraesCS3D03G0721900	5633.812686	1484.960000	13Phloem		
phloem	12	TraesCS3A03G0782300	5572.505145	1555.040000	13Phloem	specific	stable
phloem	13	TraesCS4B03G0030200	5432.573986	840.950000	13Phloem		
phloem	14	TraesCS4A03G0061200LC	5367.927076	337.110000			
phloem	15	TraesCS5D03G0156400	5028.821800	366.100000	13Phloem		
phloem	16	TraesCS4A03G0687000	4926.182567	462.760000	13Phloem	specific	stable
phloem	17	TraesCS1D03G0884600	4741.406651	1584.030000	13Phloem		
phloem	18	TraesCS3A03G0709800	4664.505097	773.290000			
phloem	19	TraesCS3B03G0900500	4581.716819	2010.550000	13Phloem		
phloem	20	TraesCS3B03G1380200	4486.103448	867.530000	13Phloem		
phloem	21	TraesCS6A03G0666600	4428.545196	1349.630000	13Phloem	specific	stable
phloem	22	TraesCS4B03G0108300	4281.548156	444.640000	13Phloem		
phloem	23	TraesCS1B03G1177400	4206.224688	224.740000	13Phloem	specific	stable
phloem	24	TraesCS6B03G0398800	4163.322366	702.000000	13Phloem		
phloem	25	TraesCS7A03G0498400	4091.663642	161.910000			
phloem	26	TraesCS2D03G0137900	4088.156580	601.720000	13Phloem		
phloem	27	TraesCS7B03G0047600	4060.367236	350.400000	13Phloem		
phloem	28	TraesCS1B03G1064900	4054.340132	192.110000	13Phloem		
phloem	29	TraesCS3A03G0654700	3931.775242	1317.010000	13Phloem	specific	stable
phloem	30	TraesCS5D03G0557600	3789.882947	900.160000	13Phloem		
phloem	31	TraesCS4A03G0754700	3646.490650	884.450000	13Phloem	specific	stable
phloem	32	TraesCS6B03G0270900	3505.899347	810.740000			
phloem	33	TraesCS7A03G1090700LC	3498.234023	109.950000			
phloem	34	TraesCS1A03G0906900	3422.704682	1298.880000	13Phloem	specific	stable
phloem	35	TraesCS1A03G0015600	3417.093520	96.660000			
phloem	36	TraesCS7D03G0386800	3331.533600	94.240000	13Phloem	specific	stable
phloem	37	TraesCS1D03G0587800	3275.481767	805.910000			
phloem	38	TraesCS4D03G0091800	3272.958532	680.250000	13Phloem		
phloem	39	TraesCS3B03G0761200	3203.547272	90.620000			
phloem	40	TraesCS3D03G1105300	3178.419695	631.920000	13Phloem		
phloem	41	TraesCS2A03G0976200	3136.874039	219.900000	13Phloem	specific	stable
phloem	42	TraesCS1A03G0361700	3018.361019	567.880000	13Phloem	specific	stable
phloem	43	TraesCS7A03G0285400	2994.371127	175.200000	13Phloem	specific	stable
phloem	44	TraesCS1B03G1064100	2990.001024	84.580000			
phloem	45	TraesCS5B03G0158100	2918.455176	126.870000	13Phloem		
phloem	46	TraesCS7B03G1048800	2900.728352	114.790000			
phloem	47	TraesCS2A03G0782700	2900.728352	114.790000	NA		
phloem	48	TraesCS3A03G0103400	2853.501332	234.400000	13Phloem	specific	stable
phloem	49	TraesCS5A03G0133800	2722.538852	155.870000	13Phloem	specific	stable
phloem	50	TraesCS5D03G0077500LC	2605.334935	73.700000			
provascular	1	TraesCS2D03G1174800	38.462914	92.320000			
provascular	2	TraesCS4A03G0791800	38.409327	7.770000			
provascular	3	TraesCS4D03G0722400	29.230763	2.230000			
provascular	4	TraesCS2B03G0509600	27.860133	10.980000			
provascular	5	TraesCS2B03G1391100LC	26.924174	12.680000			
provascular	6	TraesCS5D03G0712900	22.422980	22.590000			
provascular	7	TraesCS4D03G0722300LC	21.495952	1.610000			
provascular	8	TraesCS5D03G1205200	19.938076	21.250000			
provascular	9	TraesCS5B03G0785100	19.608638	15.980000			
provascular	10	TraesCS5B03G1359800	18.671125	3.570000			
provascular	11	TraesCS4B03G0246700	18.202287	5.450000			
provascular	12	TraesCS5D03G0011200LC	18.050048	5.890000			
provascular	13	TraesCS2D03G0683900	18.042467	3.570000			
provascular	14	TraesCS4A03G0792100	17.638850	3.040000			
provascular	15	TraesCS2D03G1174600LC	15.967057	11.700000			
provascular	16	TraesCS3B03G0434600	15.821226	48.120000			
provascular	17	TraesCS2D03G0400500	15.573664	58.210000			
provascular	18	TraesCS5A03G0751700	15.058887	29.550000			
provascular	19	TraesCS6B03G0824300	14.764696	2.950000			
provascular	20	TraesCS5D03G1205400	14.693802	3.040000			
provascular	21	TraesCS5D03G1205100	14.643941	8.040000			
provascular	22	TraesCS3B03G0001400	14.606548	7.950000			
provascular	23	TraesCS2D03G1174700	14.427613	17.320000			
provascular	24	TraesCS3A03G0359800	13.880019	36.690000			
provascular	25	TraesCS7B03G0287400	13.814869	75.090000			
provascular	26	TraesCS2A03G0217900	13.814404	13.390000			
provascular	27	TraesCS7B03G0301100	13.813889	11.340000			
provascular	28	TraesCS2D03G0851500	13.443257	3.660000			
provascular	29	TraesCS5A03G0110200	13.290493	10.710000			
provascular	30	TraesCS5A03G0741900	13.277280	10.270000			
provascular	31	TraesCS7A03G0562100	13.131963	9.640000			
provascular	32	TraesCS6A03G0851500	13.116820	5.890000			
provascular	33	TraesCS6D03G0660700	12.714107	17.500000			
provascular	34	TraesCS2D03G1305500	12.287700	243.560000			
provascular	35	TraesCS7D03G0472300	12.257961	10.000000			
provascular	36	TraesCS7A03G0562600	11.800393	16.520000			
provascular	37	TraesCS7D03G0517600	11.659233	14.640000			
provascular	38	TraesCS1B03G0050600	11.286883	282.490000			
provascular	39	TraesCS2B03G1474900	11.265011	1.700000			
provascular	40	TraesCS3A03G1028000LC	11.239425	9.550000			
provascular	41	TraesCS2D03G1315900	11.208805	41.160000			
provascular	42	TraesCS7B03G0303000	11.195073	5.800000			
provascular	43	TraesCS5A03G0651300	11.168715	523.810000			
provascular	44	TraesCS5D03G0346300	11.028984	338.380000	4ProvascularCells_14RootCap		
provascular	45	TraesCS5D03G0836000	11.018263	21.160000			
provascular	46	TraesCS1B03G1125700	10.909656	4.020000			
provascular	47	TraesCS5D03G0267800	10.854988	3.120000			
provascular	48	TraesCS7A03G0475200	10.592639	80.090000			
provascular	49	TraesCS5D03G0223900	10.331522	5.270000			
provascular	50	TraesCS5B03G0359300	10.141088	179.720000	4ProvascularCells_14RootCap		
root_cap	1	TraesCS2D03G0971100	3569.976492	328.750000			
root_cap	2	TraesCS3A03G0756500	2347.944698	262.050000	14RootCap	specific	stable
root_cap	3	TraesCS3B03G1464500	2063.677552	209.640000	14RootCap		
root_cap	4	TraesCS3D03G1163700	1991.511294	203.920000			
root_cap	5	TraesCS7D03G0226600	1944.426371	642.260000			
root_cap	6	TraesCS2A03G1032100	1916.456517	105.770000			
root_cap	7	TraesCS3D03G1163600	1611.390861	249.660000	14RootCap		
root_cap	8	TraesCS2D03G0971700	1506.023915	140.080000			
root_cap	9	TraesCS6B03G0167500	1406.692308	121.970000			
root_cap	10	TraesCS2B03G0809300	1296.657060	73.370000			
root_cap	11	TraesCS6A03G0118600	1199.916013	90.530000			
root_cap	12	TraesCS1B03G0058000	1087.215563	226.790000	14RootCap		
root_cap	13	TraesCS3B03G1468200	1058.630392	64.800000			
root_cap	14	TraesCS2D03G1025100	1013.444508	132.450000	14RootCap		
root_cap	15	TraesCS2B03G1214600	925.227897	136.260000	14RootCap		
root_cap	16	TraesCS3A03G0390700	918.770475	74.330000	14RootCap	specific	stable
root_cap	17	TraesCS2B03G1153200	911.839658	167.710000			
root_cap	18	TraesCS3A03G1224300	907.949503	252.520000	14RootCap	specific	stable
root_cap	19	TraesCS2B03G0809800	906.461904	56.220000			
root_cap	20	TraesCS3D03G0118800	868.751391	40.970000			
root_cap	21	TraesCS3B03G1268400	837.003593	341.140000	14RootCap		
root_cap	22	TraesCS1A03G0053300	790.831482	277.290000	14RootCap	specific	stable
root_cap	23	TraesCS2A03G1032300	762.107405	283.010000			
root_cap	24	TraesCS3A03G1226700	661.707077	149.610000			
root_cap	25	TraesCS2A03G1083300	642.551590	110.540000	14RootCap	specific	stable
root_cap	26	TraesCS3B03G1464600	620.277924	226.790000	14RootCap		
root_cap	27	TraesCS3A03G1224100	608.261449	107.680000	14RootCap	specific	stable
root_cap	28	TraesCS3B03G0864600	596.435312	305.880000	14RootCap		
root_cap	29	TraesCS3B03G0460700	592.151804	73.370000			
root_cap	30	TraesCS5D03G0743100	570.344011	30.490000			
root_cap	31	TraesCS3B03G1468100	569.550512	61.940000			
root_cap	32	TraesCS4D03G0681700	554.754642	67.660000			
root_cap	33	TraesCS2A03G0733100	546.463695	25.730000			
root_cap	34	TraesCS3B03G0113900	542.682145	20.960000			
root_cap	35	TraesCS3D03G0053600	522.863080	37.160000			
root_cap	36	TraesCS4D03G0681500	445.557331	45.740000			
root_cap	37	TraesCS3D03G0361400	437.076161	50.500000			
root_cap	38	TraesCS1D03G0043400	428.125965	303.020000	14RootCap		
root_cap	39	TraesCS2D03G0971800	425.505952	153.420000			
root_cap	40	TraesCS2A03G1031900	391.295215	29.540000			
root_cap	41	TraesCS4D03G0755100	380.112895	39.070000			
root_cap	42	TraesCS4B03G0667800	369.075411	29.540000	NA		
root_cap	43	TraesCS7D03G0912700	361.297339	17.150000			
root_cap	44	TraesCS4D03G0590800	356.631244	27.630000	14RootCap		
root_cap	45	TraesCS3D03G0382600	341.143387	332.560000	14RootCap		
root_cap	46	TraesCS4B03G0667900	286.349424	36.210000			
root_cap	47	TraesCS2D03G0676200	271.157939	46.690000			
root_cap	48	TraesCS7A03G0910800	269.256275	61.940000	14RootCap	specific	stable
root_cap	49	TraesCS3D03G0697200	255.451307	323.030000	14RootCap		
root_cap	50	TraesCS3D03G1163500	245.465798	281.110000	14RootCap		
root_hair	1	TraesCS4A03G0625000	227.294269	239.170000			
root_hair	2	TraesCS5B03G0996100	224.657926	4.950000			
root_hair	3	TraesCS2D03G0322000	205.239831	8.950000			
root_hair	4	TraesCS2D03G0029000LC	198.171703	8.250000			
root_hair	5	TraesCS4D03G0146200	172.457329	398.460000			
root_hair	6	TraesCS7D03G0043000	163.896370	230.220000			
root_hair	7	TraesCS4B03G0983100	163.829201	72.340000			
root_hair	8	TraesCS4D03G0146400	150.759784	667.320000			
root_hair	9	TraesCS4A03G0624900	149.564230	96.140000	8RootHair	specific	stable
root_hair	10	TraesCS3D03G0204600	149.519585	90.010000			
root_hair	11	TraesCS1A03G0547600	148.976482	689.230000	8RootHair	specific	stable
root_hair	12	TraesCS4D03G0760400	147.466362	81.530000	8RootHair		
root_hair	13	TraesCS2D03G0321900	146.721980	261.080000			
root_hair	14	TraesCS3D03G0008600	145.720117	6.600000			
root_hair	15	TraesCS5D03G0903400	141.283380	5.890000			
root_hair	16	TraesCS2A03G0821300	140.892149	96.610000	8RootHair	specific	stable
root_hair	17	TraesCS4B03G0645800	124.168673	5.180000			
root_hair	18	TraesCS7D03G0992000	123.103168	45.010000			
root_hair	19	TraesCS3D03G0068300	119.907001	7.070000			
root_hair	20	TraesCS2D03G1111200	117.410485	26.860000			
root_hair	21	TraesCS4B03G0178500	115.330920	1126.100000	8RootHair		
root_hair	22	TraesCSU03G0016400	114.683297	1792.480000			
root_hair	23	TraesCS2A03G0295100	114.631332	78.470000	8RootHair	specific	stable
root_hair	24	TraesCS4D03G0146500	114.223741	446.060000	8RootHair		
