species	rank	gene_id	gene_symbol	gene_biotype	unique_molecules
human	49	ENSG00000198727.2	MT-CYB	protein_coding	5
human	50	ENSG00000120129.7	DUSP1	protein_coding	5
human	51	ENSG00000198840.2	MT-ND3	protein_coding	5
human	52	ENSG00000125148.8	MT2A	protein_coding	5
human	53	ENSG00000150991.17	UBC	protein_coding	4
human	54	ENSG00000156482.12	RPL30	protein_coding	4
human	55	ENSG00000136732.17	GYPC	protein_coding	4
human	56	ENSG00000087460.29	GNAS	protein_coding	4
human	57	ENSG00000198763.3	MT-ND2	protein_coding	4
human	58	ENSG00000143774.19	GUK1	protein_coding	4
human	59	ENSG00000022840.17	RNF10	protein_coding	4
human	60	ENSG00000138326.22	RPS24	protein_coding	4
human	61	ENSG00000170345.12	FOS	protein_coding	4
human	62	ENSG00000030582.20	GRN	protein_coding	4
human	63	ENSG00000147403.19	RPL10	protein_coding	4
human	64	ENSG00000109475.19	RPL34	protein_coding	4
human	65	ENSG00000034510.7	TMSB10	protein_coding	4
human	66	ENSG00000115738.11	ID2	protein_coding	4
human	67	ENSG00000105372.9	RPS19	protein_coding	4
human	68	ENSG00000131469.16	RPL27	protein_coding	4
human	69	ENSG00000167815.13	PRDX2	protein_coding	4
human	70	ENSG00000198876.14	DCAF12	protein_coding	3
human	71	ENSG00000137193.15	PIM1	protein_coding	3
human	72	ENSG00000158856.19	DMTN	protein_coding	3
human	73	ENSG00000110700.8	RPS13	protein_coding	3
human	74	ENSG00000198258.12	UBL5	protein_coding	3
human	75	ENSG00000112335.16	SNX3	protein_coding	3
human	76	ENSG00000105402.8	NAPA	protein_coding	3
human	77	ENSG00000118816.13	CCNI	protein_coding	3
human	78	ENSG00000150867.15	PIP4K2A	protein_coding	3
human	79	ENSG00000088986.12	DYNLL1	protein_coding	3
human	80	ENSG00000182512.6	GLRX5	protein_coding	3
human	81	ENSG00000166848.8	TERF2IP	protein_coding	3
human	82	ENSG00000198886.2	MT-ND4	protein_coding	3
human	83	ENSG00000198692.11	EIF1AY	protein_coding	3
human	84	ENSG00000131981.17	LGALS3	protein_coding	3
human	85	ENSG00000134419.16	RPS15A	protein_coding	3
human	86	ENSG00000143761.18	ARF1	protein_coding	3
human	87	ENSG00000162244.13	RPL29	protein_coding	3
human	88	ENSG00000099785.12	MARCHF2	protein_coding	3
human	89	ENSG00000137154.14	RPS6	protein_coding	3
human	90	ENSG00000101160.16	CTSZ	protein_coding	3
human	91	ENSG00000282017.1	NA	protein_coding	3
human	92	ENSG00000167283.10	ATP5MG	protein_coding	3
human	93	ENSG00000108107.16	RPL28	protein_coding	3
human	94	ENSG00000163131.13	CTSS	protein_coding	3
human	95	ENSG00000142676.15	RPL11	protein_coding	3
human	96	ENSG00000134294.15	SLC38A2	protein_coding	3
human	97	ENSG00000021355.14	SERPINB1	protein_coding	3
human	98	ENSG00000197956.11	S100A6	protein_coding	3
human	99	ENSG00000130066.17	SAT1	protein_coding	3
human	100	ENSG00000149273.16	RPS3	protein_coding	3
mouse	1	ENSMUSG00000024653.3	SCGB1A1	protein_coding	3670
mouse	2	ENSMUSG00000064370.1	MT-CYTB	protein_coding	383
mouse	3	ENSMUSG00000062825.16	ACTG1	protein_coding	311
mouse	4	ENSMUSG00000016559.15	H3F3B	protein_coding	274
mouse	5	ENSMUSG00000022097.5	SFTPC	protein_coding	266
mouse	6	ENSMUSG00000030342.9	CD9	protein_coding	235
mouse	7	ENSMUSG00000064363.1	MT-ND4	protein_coding	222
mouse	8	ENSMUSG00000064345.1	MT-ND2	protein_coding	213
mouse	9	ENSMUSG00000023043.8	KRT18	protein_coding	198
mouse	10	ENSMUSG00000030669.14	CALCA	protein_coding	180
mouse	11	ENSMUSG00000024661.8	FTH1	protein_coding	175
mouse	12	ENSMUSG00000060126.15	TPT1	protein_coding	175
mouse	13	ENSMUSG00000033061.16	RESP18	protein_coding	168
mouse	14	ENSMUSG00000049775.17	TMSB4X	protein_coding	160
mouse	15	ENSMUSG00000029580.15	ACTB	protein_coding	143
mouse	16	ENSMUSG00000037742.15	EEF1A1	protein_coding	141
mouse	17	ENSMUSG00000021250.14	FOS	protein_coding	140
mouse	18	ENSMUSG00000064341.1	MT-ND1	protein_coding	131
mouse	19	ENSMUSG00000049382.11	KRT8	protein_coding	126
mouse	20	ENSMUSG00000071076.9	JUND	protein_coding	123
mouse	21	ENSMUSG00000008348.10	UBC	protein_coding	122
mouse	22	ENSMUSG00000109916.2	2410039M03RIK	unprocessed_pseudogene	121
mouse	23	ENSMUSG00000052684.6	JUN	protein_coding	118
mouse	24	ENSMUSG00000067786.17	NNAT	protein_coding	116
mouse	25	ENSMUSG00000093674.8	RPL41	protein_coding	114
mouse	26	ENSMUSG00000025290.18	RPS24	protein_coding	111
mouse	27	ENSMUSG00000030218.3	MGP	protein_coding	108
mouse	28	ENSMUSG00000035530.14	EIF1	protein_coding	105
mouse	29	ENSMUSG00000038418.9	EGR1	protein_coding	101
mouse	30	ENSMUSG00000026628.14	ATF3	protein_coding	99
mouse	31	ENSMUSG00000024608.12	RPS14	protein_coding	93
mouse	32	ENSMUSG00000020719.15	DDX5	protein_coding	92
mouse	33	ENSMUSG00000030098.16	GRIP2	protein_coding	88
mouse	34	ENSMUSG00000023944.15	HSP90AB1	protein_coding	87
mouse	35	ENSMUSG00000044041.5	KRT13	protein_coding	86
mouse	36	ENSMUSG00000050708.17	FTL1	protein_coding	85
mouse	37	ENSMUSG00000028081.7	RPS3A1	protein_coding	83
mouse	38	ENSMUSG00000017723.12	WFDC2	protein_coding	81
mouse	39	ENSMUSG00000007892.9	RPLP1	protein_coding	80
mouse	40	ENSMUSG00000026238.15	PTMA	protein_coding	79
mouse	41	ENSMUSG00000001175.17	CALM1	protein_coding	78
mouse	42	ENSMUSG00000030744.14	RPS3	protein_coding	75
mouse	43	ENSMUSG00000003970.10	RPL8	protein_coding	74
mouse	44	ENSMUSG00000057841.6	RPL32	protein_coding	74
mouse	45	ENSMUSG00000020423.7	BTG2	protein_coding	72
mouse	46	ENSMUSG00000059668.7	KRT4	protein_coding	70
mouse	47	ENSMUSG00000053560.6	IER2	protein_coding	69
mouse	48	ENSMUSG00000027447.7	CST3	protein_coding	69
mouse	49	ENSMUSG00000052837.8	JUNB	protein_coding	66
mouse	50	ENSMUSG00000045394.10	EPCAM	protein_coding	65
mouse	51	ENSMUSG00000021789.15	SFTPA1	protein_coding	65
mouse	52	ENSMUSG00000012848.16	RPS5	protein_coding	64
mouse	53	ENSMUSG00000039001.13	RPS21	protein_coding	63
mouse	54	ENSMUSG00000026879.15	GSN	protein_coding	63
mouse	55	ENSMUSG00000000078.8	KLF6	protein_coding	62
mouse	56	ENSMUSG00000045392.9	OR5M3B	protein_coding	62
mouse	57	ENSMUSG00000022108.9	ITM2B	protein_coding	62
mouse	58	ENSMUSG00000027523.21	GNAS	protein_coding	57
mouse	59	ENSMUSG00000015932.9	DSTN	protein_coding	55
mouse	60	ENSMUSG00000071415.7	RPL23	protein_coding	54
mouse	61	ENSMUSG00000060743.13	H3F3A	protein_coding	52
mouse	62	ENSMUSG00000060938.15	RPL26	protein_coding	50
mouse	63	ENSMUSG00000047501.4	CLDN4	protein_coding	50
mouse	64	ENSMUSG00000060636.15	RPL35A	protein_coding	49
mouse	65	ENSMUSG00000003429.12	RPS11	protein_coding	48
mouse	66	ENSMUSG00000038791.15	SCGB3A2	protein_coding	48
mouse	67	ENSMUSG00000026864.14	HSPA5	protein_coding	47
mouse	68	ENSMUSG00000019505.8	UBB	protein_coding	47
mouse	69	ENSMUSG00000040152.9	THBS1	protein_coding	45
mouse	70	ENSMUSG00000031765.9	MT1	protein_coding	43
mouse	71	ENSMUSG00000027533.11	FABP5	protein_coding	43
mouse	72	ENSMUSG00000025794.10	RPL14	protein_coding	43
mouse	73	ENSMUSG00000034892.9	RPS29	protein_coding	43
mouse	74	ENSMUSG00000071866.13	PPIA	protein_coding	43
mouse	75	ENSMUSG00000074199.8	KRTDAP	protein_coding	43
mouse	76	ENSMUSG00000070493.4	CHCHD2	protein_coding	42
mouse	77	ENSMUSG00000049643.16	2310022A10RIK	protein_coding	42
mouse	78	ENSMUSG00000003545.4	FOSB	protein_coding	42
mouse	79	ENSMUSG00000063457.15	RPS15	protein_coding	41
mouse	80	ENSMUSG00000024659.16	ANXA1	protein_coding	41
mouse	81	ENSMUSG00000001627.13	IFRD1	protein_coding	40
mouse	82	ENSMUSG00000006333.15	RPS9	protein_coding	40
mouse	83	ENSMUSG00000029838.12	PTN	protein_coding	40
mouse	84	ENSMUSG00000018569.13	CLDN7	protein_coding	40
mouse	85	ENSMUSG00000031320.10	RPS4X	protein_coding	39
mouse	86	ENSMUSG00000069516.9	LYZ2	protein_coding	39
mouse	87	ENSMUSG00000079641.4	RPL39	protein_coding	38
mouse	88	ENSMUSG00000042682.11	SELENOK	protein_coding	37
mouse	89	ENSMUSG00000031757.8	MT4	protein_coding	37
mouse	90	ENSMUSG00000064367.1	MT-ND5	protein_coding	36
mouse	91	ENSMUSG00000032399.9	RPL4	protein_coding	36
mouse	92	ENSMUSG00000025508.14	RPLP2	protein_coding	35
mouse	93	ENSMUSG00000064351.1	MT-CO1	protein_coding	35
mouse	94	ENSMUSG00000023039.18	KRT7	protein_coding	35
mouse	95	ENSMUSG00000056201.10	CFL1	protein_coding	35
mouse	96	ENSMUSG00000090841.3	MYL6	protein_coding	35
mouse	97	ENSMUSG00000018171.10	VMP1	protein_coding	35
mouse	98	ENSMUSG00000027620.17	RBM39	protein_coding	34
mouse	99	ENSMUSG00000046330.11	RPL37A	protein_coding	34
mouse	100	ENSMUSG00000026185.9	IGFBP5	protein_coding	34
pig	1	ENSSSCG00000036002.3	TGIF2	protein_coding	635
pig	2	ENSSSCG00000018082.1	COX3	protein_coding	591
pig	3	ENSSSCG00000018078.1	COX2	protein_coding	547
pig	4	ENSSSCG00000018075.1	COX1	protein_coding	490
pig	5	ENSSSCG00000009668.6	CLU	protein_coding	296
pig	6	ENSSSCG00000018081.1	ATP6	protein_coding	289
pig	7	ENSSSCG00000004970.5	RPLP1	protein_coding	243
pig	8	ENSSSCG00000008245.5	TMSB10	protein_coding	236
pig	9	ENSSSCG00000055221.1	NA	protein_coding	209
pig	10	ENSSSCG00000018094.3	CYTB	protein_coding	207
pig	11	ENSSSCG00000029289.4	NA	protein_coding	202
pig	12	ENSSSCG00000039460.3	RPL28	protein_coding	201
pig	13	ENSSSCG00000040470.3	RPS20	protein_coding	201
pig	14	ENSSSCG00000004177.4	RPS12	protein_coding	167
pig	15	ENSSSCG00000018087.3	ND4	protein_coding	161
pig	16	ENSSSCG00000033697.3	NA	protein_coding	159
pig	17	ENSSSCG00000018065.4	ND1	protein_coding	156
pig	18	ENSSSCG00000054578.1	RPS14	protein_coding	148
pig	19	ENSSSCG00000003930.5	RPS8	protein_coding	145
pig	20	ENSSSCG00000038507.3	RPS29	protein_coding	139
pig	21	ENSSSCG00000003042.5	RPS19	protein_coding	139
pig	22	ENSSSCG00000036014.3	RPLP0	protein_coding	134
pig	23	ENSSSCG00000033310.2	NA	protein_coding	134
pig	24	ENSSSCG00000018069.4	ND2	protein_coding	129
pig	25	ENSSSCG00000013597.5	NA	protein_coding	124
pig	26	ENSSSCG00000033169.3	RPS15	protein_coding	120
pig	27	ENSSSCG00000031088.3	RPS7	protein_coding	118
pig	28	ENSSSCG00000012842.5	RPLP2	protein_coding	117
pig	29	ENSSSCG00000037274.2	PTMA	protein_coding	114
pig	30	ENSSSCG00000014540.5	NA	protein_coding	114
pig	31	ENSSSCG00000031838.3	NA	protein_coding	112
pig	32	ENSSSCG00000034227.3	RPL35	protein_coding	109
pig	33	ENSSSCG00000021337.4	PRM1	protein_coding	107
pig	34	ENSSSCG00000021825.4	RPS21	protein_coding	102
pig	35	ENSSSCG00000037236.3	RPSA	protein_coding	101
pig	36	ENSSSCG00000035904.3	NA	protein_coding	101
pig	37	ENSSSCG00000033326.3	RPL37	protein_coding	98
pig	38	ENSSSCG00000024974.4	NA	protein_coding	90
pig	39	ENSSSCG00000035811.3	RPL32	protein_coding	89
pig	40	ENSSSCG00000060493.1	NA	protein_coding	88
pig	41	ENSSSCG00000002535.5	HSP90AA1	protein_coding	88
pig	42	ENSSSCG00000018033.4	UBB	protein_coding	86
pig	43	ENSSSCG00000014569.5	NA	protein_coding	84
pig	44	ENSSSCG00000001502.5	RPS18	protein_coding	82
pig	45	ENSSSCG00000038880.3	RPL23	protein_coding	82
pig	46	ENSSSCG00000036716.3	RPL37A	protein_coding	79
pig	47	ENSSSCG00000029830.5	NA	protein_coding	78
pig	48	ENSSSCG00000034617.3	RPS27A	protein_coding	77
pig	49	ENSSSCG00000035768.3	RPS15A	protein_coding	77
pig	50	ENSSSCG00000039544.3	NA	protein_coding	76
pig	51	ENSSSCG00000009146.5	RPL34	protein_coding	74
pig	52	ENSSSCG00000056610.1	NA	protein_coding	74
pig	53	ENSSSCG00000053292.1	UBA52	protein_coding	73
pig	54	ENSSSCG00000003165.5	RPS11	protein_coding	73
pig	55	ENSSSCG00000030849.4	RPL39	protein_coding	71
pig	56	ENSSSCG00000027057.4	FAU	protein_coding	70
pig	57	ENSSSCG00000029724.4	RACK1	protein_coding	70
pig	58	ENSSSCG00000007123.5	NA	protein_coding	70
pig	59	ENSSSCG00000052671.1	NA	protein_coding	69
pig	60	ENSSSCG00000035997.3	RPL10	protein_coding	69
pig	61	ENSSSCG00000027358.4	RPS17	protein_coding	68
pig	62	ENSSSCG00000053807.1	RPS26	protein_coding	68
pig	63	ENSSSCG00000018084.3	ND3	protein_coding	67
pig	64	ENSSSCG00000017509.5	NA	protein_coding	66
pig	65	ENSSSCG00000059007.1	RPL36	protein_coding	65
pig	66	ENSSSCG00000030921.4	APOA1	protein_coding	63
pig	67	ENSSSCG00000024260.4	RPL11	protein_coding	62
pig	68	ENSSSCG00000037575.3	FKBP14	protein_coding	62
pig	69	ENSSSCG00000008433.5	CALM2	protein_coding	61
pig	70	ENSSSCG00000040273.3	RPL35A	protein_coding	61
pig	71	ENSSSCG00000036296.3	RPS25	protein_coding	61
pig	72	ENSSSCG00000027573.4	NA	protein_coding	60
pig	73	ENSSSCG00000013889.5	NA	protein_coding	58
pig	74	ENSSSCG00000014855.5	RPS3	protein_coding	58
pig	75	ENSSSCG00000006899.5	RPL5	protein_coding	57
pig	76	ENSSSCG00000037030.2	RPL15	protein_coding	57
pig	77	ENSSSCG00000032111.3	RPL7	protein_coding	57
pig	78	ENSSSCG00000039130.3	RPL6	protein_coding	57
pig	79	ENSSSCG00000035080.3	RPL23A	protein_coding	56
pig	80	ENSSSCG00000008061.5	ELOB	protein_coding	54
pig	81	ENSSSCG00000028355.4	ACTG1	protein_coding	53
pig	82	ENSSSCG00000006081.5	RPL30	protein_coding	53
pig	83	ENSSSCG00000017239.5	RPL38	protein_coding	52
pig	84	ENSSSCG00000004002.5	RPS5	protein_coding	52
pig	85	ENSSSCG00000030278.4	MLLT11	protein_coding	52
pig	86	ENSSSCG00000028485.5	YBX1	protein_coding	52
pig	87	ENSSSCG00000029785.4	RPS9	protein_coding	51
pig	88	ENSSSCG00000013381.5	RPS13	protein_coding	50
pig	89	ENSSSCG00000033854.3	LGALS1	protein_coding	49
pig	90	ENSSSCG00000001701.5	HSP90AB1	protein_coding	48
pig	91	ENSSSCG00000025928.4	RPL18	protein_coding	48
pig	92	ENSSSCG00000009327.5	NA	protein_coding	46
pig	93	ENSSSCG00000011069.5	ODAD2	protein_coding	46
pig	94	ENSSSCG00000028850.4	RPL26	protein_coding	46
pig	95	ENSSSCG00000020817.4	RPS16	protein_coding	46
pig	96	ENSSSCG00000011952.5	RPL24	protein_coding	46
pig	97	ENSSSCG00000009019.5	RPS3A	protein_coding	46
pig	98	ENSSSCG00000001543.5	RPL10A	protein_coding	45
pig	99	ENSSSCG00000009622.5	POLR3D	protein_coding	45
pig	100	ENSSSCG00000031912.3	JUN	protein_coding	44
