species	rank	gene_id	gene_symbol	gene_biotype	unique_molecules
human	42	ENSG00000125148.8	MT2A	protein_coding	31
human	43	ENSG00000144713.14	RPL32	protein_coding	30
human	44	ENSG00000172331.13	BPGM	protein_coding	30
human	45	ENSG00000282017.1	NA	protein_coding	30
human	46	ENSG00000124098.10	FAM210B	protein_coding	29
human	47	ENSG00000266412.7	NCOA4	protein_coding	29
human	48	ENSG00000156482.12	RPL30	protein_coding	28
human	49	ENSG00000145741.17	BTF3	protein_coding	28
human	50	ENSG00000196154.13	S100A4	protein_coding	28
human	51	ENSG00000142669.16	SH3BGRL3	protein_coding	27
human	52	ENSG00000177606.9	JUN	protein_coding	26
human	53	ENSG00000182899.18	RPL35A	protein_coding	25
human	54	ENSG00000198840.2	MT-ND3	protein_coding	25
human	55	ENSG00000130522.6	JUND	protein_coding	24
human	56	ENSG00000136732.17	GYPC	protein_coding	23
human	57	ENSG00000100225.19	FBXO7	protein_coding	23
human	58	ENSG00000187837.5	H1-2	protein_coding	23
human	59	ENSG00000022840.17	RNF10	protein_coding	23
human	60	ENSG00000198886.2	MT-ND4	protein_coding	23
human	61	ENSG00000177600.11	RPLP2	protein_coding	22
human	62	ENSG00000142534.8	RPS11	protein_coding	22
human	63	ENSG00000131981.17	LGALS3	protein_coding	22
human	64	ENSG00000034510.7	TMSB10	protein_coding	22
human	65	ENSG00000112335.16	SNX3	protein_coding	21
human	66	ENSG00000138326.22	RPS24	protein_coding	21
human	67	ENSG00000198727.2	MT-CYB	protein_coding	21
human	68	ENSG00000167526.16	RPL13	protein_coding	21
human	69	ENSG00000198888.2	MT-ND1	protein_coding	21
human	70	ENSG00000110700.8	RPS13	protein_coding	20
human	71	ENSG00000132819.17	RBM38	protein_coding	20
human	72	ENSG00000197956.11	S100A6	protein_coding	20
human	73	ENSG00000085265.13	FCN1	protein_coding	20
human	74	ENSG00000109475.19	RPL34	protein_coding	19
human	75	ENSG00000198918.9	RPL39	protein_coding	19
human	76	ENSG00000103342.14	GSPT1	protein_coding	19
human	77	ENSG00000198876.14	DCAF12	protein_coding	19
human	78	ENSG00000177156.12	TALDO1	protein_coding	19
human	79	ENSG00000108107.16	RPL28	protein_coding	19
human	80	ENSG00000198763.3	MT-ND2	protein_coding	19
human	81	ENSG00000145592.15	RPL37	protein_coding	18
human	82	ENSG00000134419.16	RPS15A	protein_coding	18
human	83	ENSG00000107262.26	BAG1	protein_coding	18
human	84	ENSG00000161016.19	RPL8	protein_coding	17
human	85	ENSG00000092841.20	MYL6	protein_coding	17
human	86	ENSG00000198692.11	EIF1AY	protein_coding	17
human	87	ENSG00000249072.1	NA	processed_pseudogene	17
human	88	ENSG00000057757.11	PITHD1	protein_coding	16
human	89	ENSG00000142676.15	RPL11	protein_coding	16
human	90	ENSG00000113811.12	SELENOK	protein_coding	16
human	91	ENSG00000119950.21	MXI1	protein_coding	16
human	92	ENSG00000130830.16	MPP1	protein_coding	16
human	93	ENSG00000167815.13	PRDX2	protein_coding	16
human	94	ENSG00000170345.12	FOS	protein_coding	16
human	95	ENSG00000026025.17	VIM	protein_coding	16
human	96	ENSG00000162244.13	RPL29	protein_coding	15
human	97	ENSG00000164587.14	RPS14	protein_coding	15
human	98	ENSG00000228474.7	OST4	protein_coding	15
human	99	ENSG00000213741.12	RPS29	protein_coding	15
human	100	ENSG00000107521.22	HPS1	protein_coding	15
mouse	1	ENSMUSG00000024653.3	SCGB1A1	protein_coding	20189
mouse	2	ENSMUSG00000064370.1	MT-CYTB	protein_coding	2120
mouse	3	ENSMUSG00000062825.16	ACTG1	protein_coding	1755
mouse	4	ENSMUSG00000016559.15	H3F3B	protein_coding	1558
mouse	5	ENSMUSG00000030342.9	CD9	protein_coding	1324
mouse	6	ENSMUSG00000022097.5	SFTPC	protein_coding	1320
mouse	7	ENSMUSG00000064345.1	MT-ND2	protein_coding	1252
mouse	8	ENSMUSG00000064363.1	MT-ND4	protein_coding	1211
mouse	9	ENSMUSG00000023043.8	KRT18	protein_coding	1151
mouse	10	ENSMUSG00000030669.14	CALCA	protein_coding	1023
mouse	11	ENSMUSG00000024661.8	FTH1	protein_coding	1009
mouse	12	ENSMUSG00000033061.16	RESP18	protein_coding	886
mouse	13	ENSMUSG00000029580.15	ACTB	protein_coding	883
mouse	14	ENSMUSG00000060126.15	TPT1	protein_coding	883
mouse	15	ENSMUSG00000008348.10	UBC	protein_coding	841
mouse	16	ENSMUSG00000049775.17	TMSB4X	protein_coding	826
mouse	17	ENSMUSG00000064341.1	MT-ND1	protein_coding	808
mouse	18	ENSMUSG00000049382.11	KRT8	protein_coding	757
mouse	19	ENSMUSG00000037742.15	EEF1A1	protein_coding	754
mouse	20	ENSMUSG00000021250.14	FOS	protein_coding	701
mouse	21	ENSMUSG00000052684.6	JUN	protein_coding	684
mouse	22	ENSMUSG00000071076.9	JUND	protein_coding	636
mouse	23	ENSMUSG00000025290.18	RPS24	protein_coding	597
mouse	24	ENSMUSG00000093674.8	RPL41	protein_coding	595
mouse	25	ENSMUSG00000109916.2	2410039M03RIK	unprocessed_pseudogene	592
mouse	26	ENSMUSG00000030098.16	GRIP2	protein_coding	584
mouse	27	ENSMUSG00000067786.17	NNAT	protein_coding	582
mouse	28	ENSMUSG00000035530.14	EIF1	protein_coding	568
mouse	29	ENSMUSG00000026628.14	ATF3	protein_coding	550
mouse	30	ENSMUSG00000023944.15	HSP90AB1	protein_coding	535
mouse	31	ENSMUSG00000030218.3	MGP	protein_coding	531
mouse	32	ENSMUSG00000020423.7	BTG2	protein_coding	491
mouse	33	ENSMUSG00000026238.15	PTMA	protein_coding	483
mouse	34	ENSMUSG00000017723.12	WFDC2	protein_coding	483
mouse	35	ENSMUSG00000024608.12	RPS14	protein_coding	480
mouse	36	ENSMUSG00000038418.9	EGR1	protein_coding	480
mouse	37	ENSMUSG00000020719.15	DDX5	protein_coding	469
mouse	38	ENSMUSG00000001175.17	CALM1	protein_coding	464
mouse	39	ENSMUSG00000050708.17	FTL1	protein_coding	449
mouse	40	ENSMUSG00000057841.6	RPL32	protein_coding	439
mouse	41	ENSMUSG00000039001.13	RPS21	protein_coding	431
mouse	42	ENSMUSG00000044041.5	KRT13	protein_coding	423
mouse	43	ENSMUSG00000007892.9	RPLP1	protein_coding	412
mouse	44	ENSMUSG00000052837.8	JUNB	protein_coding	399
mouse	45	ENSMUSG00000053560.6	IER2	protein_coding	389
mouse	46	ENSMUSG00000028081.7	RPS3A1	protein_coding	381
mouse	47	ENSMUSG00000045394.10	EPCAM	protein_coding	381
mouse	48	ENSMUSG00000003970.10	RPL8	protein_coding	372
mouse	49	ENSMUSG00000045392.9	OR5M3B	protein_coding	365
mouse	50	ENSMUSG00000021789.15	SFTPA1	protein_coding	359
mouse	51	ENSMUSG00000059668.7	KRT4	protein_coding	358
mouse	52	ENSMUSG00000026879.15	GSN	protein_coding	355
mouse	53	ENSMUSG00000027447.7	CST3	protein_coding	349
mouse	54	ENSMUSG00000030744.14	RPS3	protein_coding	345
mouse	55	ENSMUSG00000000078.8	KLF6	protein_coding	343
mouse	56	ENSMUSG00000027523.21	GNAS	protein_coding	343
mouse	57	ENSMUSG00000022108.9	ITM2B	protein_coding	328
mouse	58	ENSMUSG00000012848.16	RPS5	protein_coding	320
mouse	59	ENSMUSG00000060743.13	H3F3A	protein_coding	314
mouse	60	ENSMUSG00000015932.9	DSTN	protein_coding	308
mouse	61	ENSMUSG00000060938.15	RPL26	protein_coding	302
mouse	62	ENSMUSG00000047501.4	CLDN4	protein_coding	281
mouse	63	ENSMUSG00000071415.7	RPL23	protein_coding	280
mouse	64	ENSMUSG00000003545.4	FOSB	protein_coding	279
mouse	65	ENSMUSG00000038791.15	SCGB3A2	protein_coding	272
mouse	66	ENSMUSG00000019505.8	UBB	protein_coding	271
mouse	67	ENSMUSG00000031765.9	MT1	protein_coding	270
mouse	68	ENSMUSG00000070493.4	CHCHD2	protein_coding	263
mouse	69	ENSMUSG00000031320.10	RPS4X	protein_coding	261
mouse	70	ENSMUSG00000027533.11	FABP5	protein_coding	253
mouse	71	ENSMUSG00000034892.9	RPS29	protein_coding	252
mouse	72	ENSMUSG00000060636.15	RPL35A	protein_coding	246
mouse	73	ENSMUSG00000079641.4	RPL39	protein_coding	244
mouse	74	ENSMUSG00000040152.9	THBS1	protein_coding	238
mouse	75	ENSMUSG00000071866.13	PPIA	protein_coding	234
mouse	76	ENSMUSG00000003429.12	RPS11	protein_coding	230
mouse	77	ENSMUSG00000049643.16	2310022A10RIK	protein_coding	228
mouse	78	ENSMUSG00000064351.1	MT-CO1	protein_coding	220
mouse	79	ENSMUSG00000023236.8	SCG5	protein_coding	219
mouse	80	ENSMUSG00000006333.15	RPS9	protein_coding	216
mouse	81	ENSMUSG00000020372.16	RACK1	protein_coding	216
mouse	82	ENSMUSG00000046330.11	RPL37A	protein_coding	215
mouse	83	ENSMUSG00000063457.15	RPS15	protein_coding	214
mouse	84	ENSMUSG00000018569.13	CLDN7	protein_coding	212
mouse	85	ENSMUSG00000029838.12	PTN	protein_coding	211
mouse	86	ENSMUSG00000031757.8	MT4	protein_coding	209
mouse	87	ENSMUSG00000026864.14	HSPA5	protein_coding	207
mouse	88	ENSMUSG00000025794.10	RPL14	protein_coding	206
mouse	89	ENSMUSG00000035885.6	COX8A	protein_coding	205
mouse	90	ENSMUSG00000021270.14	HSP90AA1	protein_coding	204
mouse	91	ENSMUSG00000069516.9	LYZ2	protein_coding	203
mouse	92	ENSMUSG00000064367.1	MT-ND5	protein_coding	200
mouse	93	ENSMUSG00000074199.8	KRTDAP	protein_coding	200
mouse	94	ENSMUSG00000025150.11	CBR2	protein_coding	195
mouse	95	ENSMUSG00000031722.11	HP	protein_coding	191
mouse	96	ENSMUSG00000072235.7	TUBA1A	protein_coding	191
mouse	97	ENSMUSG00000024659.16	ANXA1	protein_coding	191
mouse	98	ENSMUSG00000001627.13	IFRD1	protein_coding	191
mouse	99	ENSMUSG00000056201.10	CFL1	protein_coding	180
mouse	100	ENSMUSG00000090841.3	MYL6	protein_coding	177
pig	1	ENSSSCG00000018082.1	COX3	protein_coding	3689
pig	2	ENSSSCG00000036002.3	TGIF2	protein_coding	3634
pig	3	ENSSSCG00000018078.1	COX2	protein_coding	2969
pig	4	ENSSSCG00000018075.1	COX1	protein_coding	2946
pig	5	ENSSSCG00000009668.6	CLU	protein_coding	1797
pig	6	ENSSSCG00000018081.1	ATP6	protein_coding	1717
pig	7	ENSSSCG00000004970.5	RPLP1	protein_coding	1396
pig	8	ENSSSCG00000008245.5	TMSB10	protein_coding	1337
pig	9	ENSSSCG00000055221.1	NA	protein_coding	1331
pig	10	ENSSSCG00000018094.3	CYTB	protein_coding	1256
pig	11	ENSSSCG00000040470.3	RPS20	protein_coding	1175
pig	12	ENSSSCG00000029289.4	NA	protein_coding	1156
pig	13	ENSSSCG00000039460.3	RPL28	protein_coding	1064
pig	14	ENSSSCG00000004177.4	RPS12	protein_coding	1006
pig	15	ENSSSCG00000018065.4	ND1	protein_coding	969
pig	16	ENSSSCG00000033697.3	NA	protein_coding	901
pig	17	ENSSSCG00000054578.1	RPS14	protein_coding	899
pig	18	ENSSSCG00000003042.5	RPS19	protein_coding	889
pig	19	ENSSSCG00000033169.3	RPS15	protein_coding	849
pig	20	ENSSSCG00000003930.5	RPS8	protein_coding	820
pig	21	ENSSSCG00000038507.3	RPS29	protein_coding	795
pig	22	ENSSSCG00000018087.3	ND4	protein_coding	789
pig	23	ENSSSCG00000018069.4	ND2	protein_coding	769
pig	24	ENSSSCG00000036014.3	RPLP0	protein_coding	710
pig	25	ENSSSCG00000033310.2	NA	protein_coding	694
pig	26	ENSSSCG00000021825.4	RPS21	protein_coding	690
pig	27	ENSSSCG00000037274.2	PTMA	protein_coding	687
pig	28	ENSSSCG00000035904.3	NA	protein_coding	683
pig	29	ENSSSCG00000021337.4	PRM1	protein_coding	677
pig	30	ENSSSCG00000031088.3	RPS7	protein_coding	660
pig	31	ENSSSCG00000014540.5	NA	protein_coding	656
pig	32	ENSSSCG00000012842.5	RPLP2	protein_coding	655
pig	33	ENSSSCG00000013597.5	NA	protein_coding	646
pig	34	ENSSSCG00000034227.3	RPL35	protein_coding	640
pig	35	ENSSSCG00000037236.3	RPSA	protein_coding	606
pig	36	ENSSSCG00000014569.5	NA	protein_coding	594
pig	37	ENSSSCG00000031838.3	NA	protein_coding	587
pig	38	ENSSSCG00000033326.3	RPL37	protein_coding	584
pig	39	ENSSSCG00000018033.4	UBB	protein_coding	555
pig	40	ENSSSCG00000001502.5	RPS18	protein_coding	540
pig	41	ENSSSCG00000035811.3	RPL32	protein_coding	536
pig	42	ENSSSCG00000002535.5	HSP90AA1	protein_coding	535
pig	43	ENSSSCG00000024974.4	NA	protein_coding	526
pig	44	ENSSSCG00000034617.3	RPS27A	protein_coding	524
pig	45	ENSSSCG00000035768.3	RPS15A	protein_coding	501
pig	46	ENSSSCG00000038880.3	RPL23	protein_coding	495
pig	47	ENSSSCG00000009146.5	RPL34	protein_coding	490
pig	48	ENSSSCG00000059007.1	RPL36	protein_coding	478
pig	49	ENSSSCG00000060493.1	NA	protein_coding	463
pig	50	ENSSSCG00000056610.1	NA	protein_coding	451
pig	51	ENSSSCG00000036716.3	RPL37A	protein_coding	450
pig	52	ENSSSCG00000029830.5	NA	protein_coding	447
pig	53	ENSSSCG00000053807.1	RPS26	protein_coding	418
pig	54	ENSSSCG00000030849.4	RPL39	protein_coding	398
pig	55	ENSSSCG00000007123.5	NA	protein_coding	398
pig	56	ENSSSCG00000027573.4	NA	protein_coding	397
pig	57	ENSSSCG00000035997.3	RPL10	protein_coding	397
pig	58	ENSSSCG00000052671.1	NA	protein_coding	390
pig	59	ENSSSCG00000053292.1	UBA52	protein_coding	385
pig	60	ENSSSCG00000039130.3	RPL6	protein_coding	384
pig	61	ENSSSCG00000027057.4	FAU	protein_coding	382
pig	62	ENSSSCG00000017509.5	NA	protein_coding	377
pig	63	ENSSSCG00000036296.3	RPS25	protein_coding	375
pig	64	ENSSSCG00000003165.5	RPS11	protein_coding	373
pig	65	ENSSSCG00000024260.4	RPL11	protein_coding	369
pig	66	ENSSSCG00000017239.5	RPL38	protein_coding	366
pig	67	ENSSSCG00000018084.3	ND3	protein_coding	359
pig	68	ENSSSCG00000029724.4	RACK1	protein_coding	358
pig	69	ENSSSCG00000035080.3	RPL23A	protein_coding	356
pig	70	ENSSSCG00000040273.3	RPL35A	protein_coding	349
pig	71	ENSSSCG00000030921.4	APOA1	protein_coding	345
pig	72	ENSSSCG00000027358.4	RPS17	protein_coding	344
pig	73	ENSSSCG00000004002.5	RPS5	protein_coding	344
pig	74	ENSSSCG00000032111.3	RPL7	protein_coding	341
pig	75	ENSSSCG00000001701.5	HSP90AB1	protein_coding	331
pig	76	ENSSSCG00000009327.5	NA	protein_coding	330
pig	77	ENSSSCG00000054047.1	RPL22	protein_coding	324
pig	78	ENSSSCG00000016179.2	TNP1	protein_coding	323
pig	79	ENSSSCG00000039544.3	NA	protein_coding	321
pig	80	ENSSSCG00000028485.5	YBX1	protein_coding	319
pig	81	ENSSSCG00000011069.5	ODAD2	protein_coding	318
pig	82	ENSSSCG00000006081.5	RPL30	protein_coding	315
pig	83	ENSSSCG00000008433.5	CALM2	protein_coding	311
pig	84	ENSSSCG00000037030.2	RPL15	protein_coding	310
pig	85	ENSSSCG00000037575.3	FKBP14	protein_coding	309
pig	86	ENSSSCG00000028355.4	ACTG1	protein_coding	306
pig	87	ENSSSCG00000014855.5	RPS3	protein_coding	306
pig	88	ENSSSCG00000013889.5	NA	protein_coding	304
pig	89	ENSSSCG00000028850.4	RPL26	protein_coding	302
pig	90	ENSSSCG00000025928.4	RPL18	protein_coding	291
pig	91	ENSSSCG00000008061.5	ELOB	protein_coding	291
pig	92	ENSSSCG00000037360.2	CST3	protein_coding	291
pig	93	ENSSSCG00000029785.4	RPS9	protein_coding	278
pig	94	ENSSSCG00000020817.4	RPS16	protein_coding	276
pig	95	ENSSSCG00000009019.5	RPS3A	protein_coding	274
pig	96	ENSSSCG00000013381.5	RPS13	protein_coding	274
pig	97	ENSSSCG00000009622.5	POLR3D	protein_coding	273
pig	98	ENSSSCG00000033854.3	LGALS1	protein_coding	269
pig	99	ENSSSCG00000030278.4	MLLT11	protein_coding	267
pig	100	ENSSSCG00000011952.5	RPL24	protein_coding	266
