Name	Length	EffectiveLength	TPM	NumReads
chr3_KI270779v1_alt	205312	205062.000	0.000000	0.000
chr3_KI270780v1_alt	224108	223858.000	0.000000	0.000
chr3_KI270781v1_alt	113034	112784.000	0.000000	0.000
chr3_KI270782v1_alt	162429	162179.000	0.000000	0.000
chr3_KI270783v1_alt	109187	108937.000	0.000000	0.000
chr3_KI270784v1_alt	184404	184154.000	0.000000	0.000
chr3_KI270895v1_alt	162896	162646.000	0.000000	0.000
chr3_KI270924v1_alt	166540	166290.000	17.916683	1.917
chr3_KI270934v1_alt	163458	163208.000	0.000000	0.000
chr3_KI270935v1_alt	197351	197101.000	0.000000	0.000
chr3_KI270936v1_alt	164170	163920.000	0.000000	0.000
chr3_KI270937v1_alt	165607	165357.000	0.000000	0.000
chr4	190214555	190214305.000	217.834366	26663.733
chr4_GL000008v2_random	209709	209459.000	7.519022	1.013
chr4_GL000257v2_alt	586476	586226.000	63.801825	24.069
chr4_GL383527v1_alt	164536	164286.000	0.000000	0.000
chr4_GL383528v1_alt	376187	375937.000	0.000000	0.000
chr4_KI270785v1_alt	119912	119662.000	0.000000	0.000
chr4_KI270786v1_alt	244096	243846.000	0.000000	0.000
chr4_KI270787v1_alt	111943	111693.000	0.000000	0.000
chr4_KI270788v1_alt	158965	158715.000	0.000000	0.000
chr4_KI270789v1_alt	205944	205694.000	0.000000	0.000
chr4_KI270790v1_alt	220246	219996.000	0.000000	0.000
chr4_KI270896v1_alt	378547	378297.000	0.000000	0.000
chr4_KI270925v1_alt	555799	555549.000	0.000000	0.000
chr5	181538259	181538009.000	364.120956	42536.782
chr5_GL000208v1_random	92689	92439.000	0.000000	0.000
chr5_GL339449v2_alt	1612928	1612678.000	45.879638	47.612
chr5_GL383530v1_alt	101241	100991.000	0.000000	0.000
chr5_GL383531v1_alt	173459	173209.000	0.000000	0.000
chr5_GL383532v1_alt	82728	82478.000	0.000000	0.000
chr5_GL949742v1_alt	226852	226602.000	0.000000	0.000
chr5_KI270791v1_alt	195710	195460.000	603.472780	75.904
chr5_KI270792v1_alt	179043	178793.000	162.243112	18.667
chr5_KI270793v1_alt	126136	125886.000	0.000000	0.000
chr5_KI270794v1_alt	164558	164308.000	0.000000	0.000
chr5_KI270795v1_alt	131892	131642.000	191.731279	16.242
chr5_KI270796v1_alt	172708	172458.000	0.000000	0.000
chr5_KI270897v1_alt	1144418	1144168.000	6.189655	4.557
chr5_KI270898v1_alt	130957	130707.000	0.000000	0.000
chr6	170805979	170805729.000	364.396013	40052.298
chr6_GL000250v2_alt	4672374	4672124.000	0.000000	0.000
chr6_GL000251v2_alt	4795265	4795015.000	1953.657045	6028.228
chr6_GL000252v2_alt	4604811	4604561.000	150.431269	445.736
chr6_GL000253v2_alt	4677643	4677393.000	308.892826	929.743
chr6_GL000254v2_alt	4827813	4827563.000	1697.188939	5272.414
chr6_GL000255v2_alt	4606388	4606138.000	1270.161553	3764.847
chr6_GL000256v2_alt	4929269	4929019.000	239.962315	761.123
chr6_GL383533v1_alt	124736	124486.000	519.158016	41.588
chr6_KB021644v2_alt	185823	185573.000	0.000000	0.000
chr6_KI270758v1_alt	76752	76502.000	25350.647810	1247.996
chr6_KI270797v1_alt	197536	197286.000	0.000000	0.000
chr6_KI270798v1_alt	271782	271532.000	0.000000	0.000
chr6_KI270799v1_alt	152148	151898.000	0.000000	0.000
chr6_KI270800v1_alt	175808	175558.000	205.309738	23.194
chr6_KI270801v1_alt	870480	870230.000	0.000000	0.000
chr6_KI270802v1_alt	75005	74755.000	0.000000	0.000
chr7	159345973	159345723.000	429.399787	44030.501
chr7_GL383534v2_alt	119183	118933.000	1752.290380	134.110
chr7_KI270803v1_alt	1111570	1111320.000	0.000000	0.000
chr7_KI270804v1_alt	157952	157702.000	0.000000	0.000
chr7_KI270805v1_alt	209988	209738.000	0.000000	0.000
chr7_KI270806v1_alt	158166	157916.000	770.843023	78.333
chr7_KI270807v1_alt	126434	126184.000	0.000000	0.000
chr7_KI270808v1_alt	271455	271205.000	0.000000	0.000
chr7_KI270809v1_alt	209586	209336.000	0.000000	0.000
chr7_KI270899v1_alt	190869	190619.000	0.000000	0.000
chr8	145138636	145138386.000	233.918758	21847.348
chr8_KI270810v1_alt	374415	374165.000	0.000000	0.000
chr8_KI270811v1_alt	292436	292186.000	0.000000	0.000
chr8_KI270812v1_alt	282736	282486.000	0.000000	0.000
chr8_KI270813v1_alt	300230	299980.000	0.000000	0.000
chr8_KI270814v1_alt	141812	141562.000	0.000000	0.000
chr8_KI270815v1_alt	132244	131994.000	0.000000	0.000
chr8_KI270816v1_alt	305841	305591.000	1107.282638	217.746
chr8_KI270817v1_alt	158983	158733.000	2043.408841	208.725
chr8_KI270818v1_alt	145606	145356.000	0.000000	0.000
chr8_KI270819v1_alt	133535	133285.000	0.000000	0.000
chr8_KI270820v1_alt	36640	36390.000	0.000000	0.000
chr8_KI270821v1_alt	985506	985256.000	0.000000	0.000
chr8_KI270822v1_alt	624492	624242.000	0.000000	0.000
chr8_KI270900v1_alt	318687	318437.000	0.000000	0.000
chr8_KI270901v1_alt	136959	136709.000	0.000000	0.000
chr8_KI270926v1_alt	229282	229032.000	0.000000	0.000
chr9	138394717	138394467.000	379.850357	33828.493
chr9_KI270717v1_random	40062	39812.000	0.000000	0.000
chr9_KI270718v1_random	38054	37804.000	0.000000	0.000
chr9_KI270719v1_random	176845	176595.000	0.000000	0.000
chr9_KI270720v1_random	39050	38800.000	0.000000	0.000
chr9_GL383539v1_alt	162988	162738.000	2471.189611	258.789
chr9_GL383540v1_alt	71551	71301.000	0.000000	0.000
chr9_GL383541v1_alt	171286	171036.000	0.000000	0.000
chr9_GL383542v1_alt	60032	59782.000	0.000000	0.000
chr9_KI270823v1_alt	439082	438832.000	0.000000	0.000
chr10	133797422	133797172.000	300.530811	25875.415
chr10_GL383545v1_alt	179254	179004.000	0.000000	0.000
chr10_GL383546v1_alt	309802	309552.000	168.298263	33.525
chr10_KI270824v1_alt	181496	181246.000	0.000000	0.000
chr10_KI270825v1_alt	188315	188065.000	0.000000	0.000
chr11	135086622	135086372.000	442.200065	38439.854
chr11_KI270721v1_random	100316	100066.000	0.000000	0.000
chr11_GL383547v1_alt	154407	154157.000	0.000000	0.000
chr11_JH159136v1_alt	200998	200748.000	0.000000	0.000
chr11_JH159137v1_alt	191409	191159.000	0.000000	0.000
chr11_KI270826v1_alt	186169	185919.000	0.000000	0.000
chr11_KI270827v1_alt	67707	67457.000	0.000000	0.000
chr11_KI270829v1_alt	204059	203809.000	0.000000	0.000
chr11_KI270830v1_alt	177092	176842.000	0.000000	0.000
chr11_KI270831v1_alt	296895	296645.000	274.485469	52.397
chr11_KI270832v1_alt	210133	209883.000	870.578671	117.581
chr11_KI270902v1_alt	106711	106461.000	0.000000	0.000
chr11_KI270903v1_alt	214625	214375.000	0.000000	0.000
chr11_KI270927v1_alt	218612	218362.000	0.000000	0.000
chr12	133275309	133275059.000	565.583222	48506.148
chr12_GL383549v1_alt	120804	120554.000	0.000000	0.000
chr12_GL383550v2_alt	169178	168928.000	0.000000	0.000
chr12_GL383551v1_alt	184319	184069.000	0.000000	0.000
chr12_GL383552v1_alt	138655	138405.000	0.000000	0.000
chr12_GL383553v2_alt	152874	152624.000	0.000000	0.000
chr12_GL877875v1_alt	167313	167063.000	0.000000	0.000
chr12_GL877876v1_alt	408271	408021.000	0.000000	0.000
chr12_KI270833v1_alt	76061	75811.000	0.000000	0.000
chr12_KI270834v1_alt	119498	119248.000	0.000000	0.000
chr12_KI270835v1_alt	238139	237889.000	264.016397	40.416
chr12_KI270836v1_alt	56134	55884.000	0.000000	0.000
chr12_KI270837v1_alt	40090	39840.000	0.000000	0.000
chr12_KI270904v1_alt	572349	572099.000	0.000000	0.000
chr13	114364328	114364078.000	196.783950	14482.072
chr13_KI270838v1_alt	306913	306663.000	0.000000	0.000
chr13_KI270839v1_alt	180306	180056.000	0.000000	0.000
chr13_KI270840v1_alt	191684	191434.000	0.000000	0.000
chr13_KI270841v1_alt	169134	168884.000	0.000000	0.000
chr13_KI270842v1_alt	37287	37037.000	0.000000	0.000
chr13_KI270843v1_alt	103832	103582.000	0.000000	0.000
chr14	107043718	107043468.000	326.918336	22519.090
chr14_GL000009v2_random	201709	201459.000	0.000000	0.000
chr14_GL000194v1_random	191469	191219.000	8.764421	1.078
chr14_GL000225v1_random	211173	210923.000	0.000000	0.000
chr14_KI270722v1_random	194050	193800.000	0.000000	0.000
chr14_KI270723v1_random	38115	37865.000	41.040312	1.000
chr14_KI270724v1_random	39555	39305.000	0.000000	0.000
chr14_KI270725v1_random	172810	172560.000	0.000000	0.000
chr14_KI270726v1_random	43739	43489.000	6562.564401	183.656
chr14_KI270844v1_alt	322166	321916.000	0.000000	0.000
chr14_KI270845v1_alt	180703	180453.000	0.000000	0.000
chr14_KI270846v1_alt	1351393	1351143.000	14965.274424	13011.800
chr14_KI270847v1_alt	1511111	1510861.000	343.427705	333.896
chr15	101991189	101990939.000	351.805228	23089.539
chr15_KI270727v1_random	448248	447998.000	24.074417	6.940
chr15_GL383554v1_alt	296527	296277.000	0.000000	0.000
chr15_GL383555v2_alt	388773	388523.000	0.000000	0.000
chr15_KI270848v1_alt	327382	327132.000	0.000000	0.000
chr15_KI270849v1_alt	244917	244667.000	29137.419002	4587.519
chr15_KI270850v1_alt	430880	430630.000	5022.156370	1391.701
chr15_KI270851v1_alt	263054	262804.000	13.927792	2.355
chr15_KI270852v1_alt	478999	478749.000	0.000000	0.000
chr15_KI270905v1_alt	5161414	5161164.000	18.885089	62.722
chr15_KI270906v1_alt	196384	196134.000	0.000000	0.000
chr16	90338345	90338095.000	441.157389	25645.778
chr16_KI270728v1_random	1872759	1872509.000	0.000000	0.000
chr16_GL383556v1_alt	192462	192212.000	0.000000	0.000
chr16_GL383557v1_alt	89672	89422.000	106.810278	6.146
chr16_KI270853v1_alt	2659700	2659450.000	17.884220	30.606
chr16_KI270854v1_alt	134193	133943.000	0.000000	0.000
chr16_KI270855v1_alt	232857	232607.000	471.031560	70.506
chr16_KI270856v1_alt	63982	63732.000	0.000000	0.000
chr17	83257441	83257191.000	777.690033	41665.795
chr17_GL000205v2_random	185591	185341.000	430.059446	51.292
chr17_KI270729v1_random	280839	280589.000	0.000000	0.000
chr17_KI270730v1_random	112551	112301.000	0.000000	0.000
chr17_GL000258v2_alt	1821992	1821742.000	2.175665	2.551
chr17_GL383563v3_alt	375691	375441.000	0.000000	0.000
chr17_GL383564v2_alt	133151	132901.000	0.000000	0.000
chr17_GL383565v1_alt	223995	223745.000	0.000000	0.000
chr17_GL383566v1_alt	90219	89969.000	0.000000	0.000
chr17_JH159146v1_alt	278131	277881.000	0.000000	0.000
chr17_JH159147v1_alt	70345	70095.000	0.000000	0.000
chr17_JH159148v1_alt	88070	87820.000	0.000000	0.000
chr17_KI270857v1_alt	2877074	2876824.000	7.193358	13.317
chr17_KI270858v1_alt	235827	235577.000	0.000000	0.000
chr17_KI270859v1_alt	108763	108513.000	0.000000	0.000
chr17_KI270860v1_alt	178921	178671.000	0.000000	0.000
chr17_KI270861v1_alt	196688	196438.000	2749.460183	347.556
chr17_KI270862v1_alt	391357	391107.000	1006.518465	253.320
chr17_KI270907v1_alt	137721	137471.000	0.000000	0.000
chr17_KI270908v1_alt	1423190	1422940.000	0.000000	0.000
chr17_KI270909v1_alt	325800	325550.000	200.542283	42.012
chr17_KI270910v1_alt	157099	156849.000	0.000000	0.000
chr18	80373285	80373035.000	178.655158	9240.114
chr18_GL383567v1_alt	289831	289581.000	0.000000	0.000
chr18_GL383568v1_alt	104552	104302.000	0.000000	0.000
chr18_GL383569v1_alt	167950	167700.000	0.000000	0.000
chr18_GL383570v1_alt	164789	164539.000	0.000000	0.000
chr18_GL383571v1_alt	198278	198028.000	0.000000	0.000
chr18_GL383572v1_alt	159547	159297.000	0.000000	0.000
chr18_KI270863v1_alt	167999	167749.000	0.000000	0.000
chr18_KI270864v1_alt	111737	111487.000	0.000000	0.000
chr18_KI270911v1_alt	157710	157460.000	0.000000	0.000
chr18_KI270912v1_alt	174061	173811.000	0.000000	0.000
chr19	58617616	58617366.000	942.242918	35541.894
chr19_GL000209v2_alt	177381	177131.000	0.000000	0.000
chr19_GL383573v1_alt	385657	385407.000	0.000000	0.000
chr19_GL383574v1_alt	155864	155614.000	298.833915	29.925
chr19_GL383575v2_alt	170222	169972.000	0.000000	0.000
chr19_GL383576v1_alt	188024	187774.000	0.000000	0.000
chr19_GL949746v1_alt	987716	987466.000	6.520563	4.143
chr19_GL949747v2_alt	729520	729270.000	0.000000	0.000
chr19_GL949748v2_alt	1064304	1064054.000	0.000000	0.000
chr19_GL949749v2_alt	1091841	1091591.000	0.000000	0.000
chr19_GL949750v2_alt	1066390	1066140.000	0.000000	0.000
chr19_GL949751v2_alt	1002683	1002433.000	0.000000	0.000
chr19_GL949752v1_alt	987100	986850.000	48.729537	30.945
chr19_GL949753v2_alt	796479	796229.000	0.000000	0.000
chr19_KI270865v1_alt	52969	52719.000	0.000000	0.000
chr19_KI270866v1_alt	43156	42906.000	2255.798228	62.283
chr19_KI270867v1_alt	233762	233512.000	124.240877	18.669
chr19_KI270868v1_alt	61734	61484.000	174.209520	6.893
chr19_KI270882v1_alt	248807	248557.000	0.000000	0.000
chr19_KI270883v1_alt	170399	170149.000	0.000000	0.000
chr19_KI270884v1_alt	157053	156803.000	0.000000	0.000
chr19_KI270885v1_alt	171027	170777.000	0.000000	0.000
chr19_KI270886v1_alt	204239	203989.000	0.000000	0.000
chr19_KI270887v1_alt	209512	209262.000	0.000000	0.000
chr19_KI270888v1_alt	155532	155282.000	0.000000	0.000
chr19_KI270889v1_alt	170698	170448.000	0.000000	0.000
chr19_KI270890v1_alt	184499	184249.000	0.000000	0.000
chr19_KI270891v1_alt	170680	170430.000	0.000000	0.000
chr19_KI270914v1_alt	205194	204944.000	0.000000	0.000
chr19_KI270915v1_alt	170665	170415.000	0.000000	0.000
chr19_KI270916v1_alt	184516	184266.000	0.000000	0.000
chr19_KI270917v1_alt	190932	190682.000	0.000000	0.000
chr19_KI270918v1_alt	123111	122861.000	0.000000	0.000
chr19_KI270919v1_alt	170701	170451.000	0.000000	0.000
chr19_KI270920v1_alt	198005	197755.000	0.000000	0.000
chr19_KI270921v1_alt	282224	281974.000	0.000000	0.000
chr19_KI270922v1_alt	187935	187685.000	0.000000	0.000
chr19_KI270923v1_alt	189352	189102.000	0.000000	0.000
chr19_KI270929v1_alt	186203	185953.000	0.000000	0.000
chr19_KI270930v1_alt	200773	200523.000	0.000000	0.000
chr19_KI270931v1_alt	170148	169898.000	0.000000	0.000
chr19_KI270932v1_alt	215732	215482.000	0.000000	0.000
chr19_KI270933v1_alt	170537	170287.000	0.000000	0.000
chr19_KI270938v1_alt	1066800	1066550.000	0.000000	0.000
chr20	64444167	64443917.000	408.717133	16949.472
chr20_GL383577v2_alt	128386	128136.000	0.000000	0.000
chr20_KI270869v1_alt	118774	118524.000	0.000000	0.000
chr20_KI270870v1_alt	183433	183183.000	0.000000	0.000
chr20_KI270871v1_alt	58661	58411.000	0.000000	0.000
chr21	46709983	46709733.000	219.299925	6591.697
chr21_GL383578v2_alt	63917	63667.000	0.000000	0.000
chr21_GL383579v2_alt	201197	200947.000	0.000000	0.000
chr21_GL383580v2_alt	74653	74403.000	0.000000	0.000
chr21_GL383581v2_alt	116689	116439.000	1002.292458	75.101
chr21_KI270872v1_alt	82692	82442.000	720.350297	38.216
chr21_KI270873v1_alt	143900	143650.000	0.000000	0.000
chr21_KI270874v1_alt	166743	166493.000	0.000000	0.000
chr22	50818468	50818218.000	481.812093	15756.092
chr22_KI270731v1_random	150754	150504.000	0.000000	0.000
chr22_KI270732v1_random	41543	41293.000	0.000000	0.000
chr22_KI270733v1_random	179772	179522.000	18177.386404	2099.909
chr22_KI270734v1_random	165050	164800.000	0.000000	0.000
chr22_KI270735v1_random	42811	42561.000	0.000000	0.000
chr22_KI270736v1_random	181920	181670.000	0.000000	0.000
chr22_KI270737v1_random	103838	103588.000	0.000000	0.000
chr22_KI270738v1_random	99375	99125.000	0.000000	0.000
chr22_KI270739v1_random	73985	73735.000	0.000000	0.000
chr22_GL383582v2_alt	162811	162561.000	984.256203	102.962
chr22_GL383583v2_alt	96924	96674.000	0.000000	0.000
chr22_KB663609v1_alt	74013	73763.000	3042.598260	144.422
chr22_KI270875v1_alt	259914	259664.000	0.000000	0.000
chr22_KI270876v1_alt	263666	263416.000	1704.591258	288.944
chr22_KI270877v1_alt	101331	101081.000	0.000000	0.000
chr22_KI270878v1_alt	186262	186012.000	914.548696	109.471
chr22_KI270879v1_alt	304135	303885.000	1048.058320	204.949
chr22_KI270928v1_alt	176103	175853.000	0.000000	0.000
chrX	156040895	156040645.000	314.375910	31567.369
chrX_KI270880v1_alt	284869	284619.000	5.629835	1.031
chrX_KI270881v1_alt	144206	143956.000	0.000000	0.000
chrX_KI270913v1_alt	274009	273759.000	11.156540	1.965
chrY	57227415	57227165.000	9.924389	365.475
chrY_KI270740v1_random	37240	36990.000	0.000000	0.000
chrM	16569	16319.000	708818.426175	7443.547
chrUn_GL000195v1	182896	182646.000	461.020291	54.185
chrUn_GL000213v1	164239	163989.000	0.000000	0.000
chrUn_GL000214v1	137718	137468.000	35.096272	3.105
chrUn_GL000216v2	176608	176358.000	0.000000	0.000
chrUn_GL000218v1	161147	160897.000	116.552013	12.068
chrUn_GL000219v1	179198	178948.000	336.989454	38.806
chrUn_GL000220v1	161802	161552.000	144800.069379	15053.327
chrUn_GL000224v1	179693	179443.000	0.000000	0.000
chrUn_GL000226v1	15008	14758.000	0.000000	0.000
chrUn_KI270302v1	2274	2024.000	0.000000	0.000
chrUn_KI270303v1	1942	1692.000	0.000000	0.000
chrUn_KI270304v1	2165	1915.000	0.000000	0.000
chrUn_KI270305v1	1472	1222.000	0.000000	0.000
chrUn_KI270310v1	1201	951.000	0.000000	0.000
chrUn_KI270311v1	12399	12149.000	0.000000	0.000
chrUn_KI270312v1	998	748.000	0.000000	0.000
chrUn_KI270315v1	2276	2026.000	0.000000	0.000
chrUn_KI270316v1	1444	1194.000	0.000000	0.000
chrUn_KI270317v1	37690	37440.000	0.000000	0.000
chrUn_KI270320v1	4416	4166.000	0.000000	0.000
chrUn_KI270322v1	21476	21226.000	0.000000	0.000
chrUn_KI270329v1	1040	790.000	0.000000	0.000
chrUn_KI270330v1	1652	1402.000	0.000000	0.000
chrUn_KI270333v1	2699	2449.000	0.000000	0.000
chrUn_KI270334v1	1368	1118.000	0.000000	0.000
chrUn_KI270335v1	1048	798.000	0.000000	0.000
chrUn_KI270336v1	1026	776.000	0.000000	0.000
chrUn_KI270337v1	1121	871.000	0.000000	0.000
chrUn_KI270338v1	1428	1178.000	0.000000	0.000
chrUn_KI270340v1	1428	1178.000	0.000000	0.000
chrUn_KI270362v1	3530	3280.000	0.000000	0.000
chrUn_KI270363v1	1803	1553.000	0.000000	0.000
chrUn_KI270364v1	2855	2605.000	0.000000	0.000
chrUn_KI270366v1	8320	8070.000	0.000000	0.000
chrUn_KI270371v1	2805	2555.000	0.000000	0.000
chrUn_KI270372v1	1650	1400.000	0.000000	0.000
chrUn_KI270373v1	1451	1201.000	0.000000	0.000
chrUn_KI270374v1	2656	2406.000	0.000000	0.000
chrUn_KI270375v1	2378	2128.000	0.000000	0.000
chrUn_KI270376v1	1136	886.000	0.000000	0.000
chrUn_KI270378v1	1048	798.000	0.000000	0.000
chrUn_KI270379v1	1045	795.000	0.000000	0.000
chrUn_KI270381v1	1930	1680.000	0.000000	0.000
chrUn_KI270382v1	4215	3965.000	0.000000	0.000
chrUn_KI270383v1	1750	1500.000	0.000000	0.000
chrUn_KI270384v1	1658	1408.000	0.000000	0.000
chrUn_KI270385v1	990	740.000	0.000000	0.000
chrUn_KI270386v1	1788	1538.000	0.000000	0.000
chrUn_KI270387v1	1537	1287.000	0.000000	0.000
chrUn_KI270388v1	1216	966.000	0.000000	0.000
chrUn_KI270389v1	1298	1048.000	0.000000	0.000
chrUn_KI270390v1	2387	2137.000	0.000000	0.000
chrUn_KI270391v1	1484	1234.000	0.000000	0.000
chrUn_KI270392v1	971	721.000	0.000000	0.000
chrUn_KI270393v1	1308	1058.000	0.000000	0.000
chrUn_KI270394v1	970	720.000	0.000000	0.000
chrUn_KI270395v1	1143	893.000	0.000000	0.000
chrUn_KI270396v1	1880	1630.000	0.000000	0.000
chrUn_KI270411v1	2646	2396.000	0.000000	0.000
chrUn_KI270412v1	1179	929.000	0.000000	0.000
chrUn_KI270414v1	2489	2239.000	0.000000	0.000
chrUn_KI270417v1	2043	1793.000	0.000000	0.000
chrUn_KI270418v1	2145	1895.000	0.000000	0.000
chrUn_KI270419v1	1029	779.000	0.000000	0.000
chrUn_KI270420v1	2321	2071.000	0.000000	0.000
chrUn_KI270422v1	1445	1195.000	0.000000	0.000
chrUn_KI270423v1	981	731.000	0.000000	0.000
chrUn_KI270424v1	2140	1890.000	0.000000	0.000
chrUn_KI270425v1	1884	1634.000	0.000000	0.000
chrUn_KI270429v1	1361	1111.000	0.000000	0.000
chrUn_KI270435v1	92983	92733.000	0.000000	0.000
chrUn_KI270438v1	112505	112255.000	0.000000	0.000
chrUn_KI270442v1	392061	391811.000	5.005774	1.262
chrUn_KI270448v1	7992	7742.000	0.000000	0.000
chrUn_KI270465v1	1774	1524.000	0.000000	0.000
chrUn_KI270466v1	1233	983.000	0.000000	0.000
chrUn_KI270467v1	3920	3670.000	0.000000	0.000
chrUn_KI270468v1	4055	3805.000	0.000000	0.000
chrUn_KI270507v1	5353	5103.000	0.000000	0.000
chrUn_KI270508v1	1951	1701.000	0.000000	0.000
chrUn_KI270509v1	2318	2068.000	0.000000	0.000
chrUn_KI270510v1	2415	2165.000	0.000000	0.000
chrUn_KI270511v1	8127	7877.000	0.000000	0.000
chrUn_KI270512v1	22689	22439.000	0.000000	0.000
chrUn_KI270515v1	6361	6111.000	0.000000	0.000
chrUn_KI270516v1	1300	1050.000	0.000000	0.000
chrUn_KI270517v1	3253	3003.000	0.000000	0.000
chrUn_KI270518v1	2186	1936.000	0.000000	0.000
chrUn_KI270519v1	138126	137876.000	0.000000	0.000
chrUn_KI270521v1	7642	7392.000	0.000000	0.000
chrUn_KI270522v1	5674	5424.000	0.000000	0.000
chrUn_KI270528v1	2983	2733.000	0.000000	0.000
chrUn_KI270529v1	1899	1649.000	0.000000	0.000
chrUn_KI270530v1	2168	1918.000	0.000000	0.000
chrUn_KI270538v1	91309	91059.000	0.000000	0.000
chrUn_KI270539v1	993	743.000	0.000000	0.000
chrUn_KI270544v1	1202	952.000	0.000000	0.000
chrUn_KI270548v1	1599	1349.000	0.000000	0.000
chrUn_KI270579v1	31033	30783.000	0.000000	0.000
chrUn_KI270580v1	1553	1303.000	0.000000	0.000
chrUn_KI270581v1	7046	6796.000	0.000000	0.000
chrUn_KI270582v1	6504	6254.000	0.000000	0.000
chrUn_KI270583v1	1400	1150.000	0.000000	0.000
chrUn_KI270584v1	4513	4263.000	0.000000	0.000
chrUn_KI270587v1	2969	2719.000	0.000000	0.000
chrUn_KI270588v1	6158	5908.000	0.000000	0.000
chrUn_KI270589v1	44474	44224.000	0.000000	0.000
chrUn_KI270590v1	4685	4435.000	0.000000	0.000
chrUn_KI270591v1	5796	5546.000	0.000000	0.000
chrUn_KI270593v1	3041	2791.000	0.000000	0.000
chrUn_KI270741v1	157432	157182.000	0.000000	0.000
chrUn_KI270742v1	186739	186489.000	27.318667	3.278
chrUn_KI270743v1	210658	210408.000	0.000000	0.000
chrUn_KI270744v1	168472	168222.000	0.000000	0.000
chrUn_KI270745v1	41891	41641.000	0.000000	0.000
chrUn_KI270746v1	66486	66236.000	0.000000	0.000
chrUn_KI270747v1	198735	198485.000	0.000000	0.000
chrUn_KI270748v1	93321	93071.000	0.000000	0.000
chrUn_KI270749v1	158759	158509.000	0.000000	0.000
chrUn_KI270750v1	148850	148600.000	0.000000	0.000
chrUn_KI270751v1	150742	150492.000	0.000000	0.000
chrUn_KI270752v1	27745	27495.000	0.000000	0.000
chrUn_KI270753v1	62944	62694.000	0.000000	0.000
chrUn_KI270754v1	40191	39941.000	0.000000	0.000
chrUn_KI270755v1	36723	36473.000	0.000000	0.000
chrUn_KI270756v1	79590	79340.000	0.000000	0.000
chrUn_KI270757v1	71251	71001.000	0.000000	0.000
