chrom	length	bases	mean	min	max
chr6_GL000252v2_alt_region	4604811	150	0.00	0	1
chr6_GL000253v2_alt	4677643	600	0.00	0	1
chr6_GL000253v2_alt_region	4677643	600	0.00	0	1
chr6_GL000254v2_alt	4827813	150	0.00	0	1
chr6_GL000254v2_alt_region	4827813	150	0.00	0	1
chr6_GL000255v2_alt	4606388	1041	0.00	0	1
chr6_GL000255v2_alt_region	4606388	1041	0.00	0	1
chr6_GL000256v2_alt	4929269	441	0.00	0	1
chr6_GL000256v2_alt_region	4929269	441	0.00	0	1
chr6_KI270800v1_alt	175808	150	0.00	0	1
chr6_KI270800v1_alt_region	175808	150	0.00	0	1
chr7	159345973	35538	0.00	0	4
chr7_region	159345973	35538	0.00	0	4
chr8	145138636	17821	0.00	0	2
chr8_region	145138636	17821	0.00	0	2
chr8_KI270813v1_alt	300230	750	0.00	0	2
chr8_KI270813v1_alt_region	300230	750	0.00	0	2
chr9	138394717	97634	0.00	0	5
chr9_region	138394717	97634	0.00	0	5
chr9_KI270717v1_random	40062	1050	0.03	0	1
chr9_KI270717v1_random_region	40062	1050	0.03	0	1
chr9_KI270718v1_random	38054	150	0.00	0	1
chr9_KI270718v1_random_region	38054	150	0.00	0	1
chr9_KI270719v1_random	176845	449	0.00	0	1
chr9_KI270719v1_random_region	176845	449	0.00	0	1
chr9_KI270720v1_random	39050	3875	0.10	0	2
chr9_KI270720v1_random_region	39050	3875	0.10	0	2
chr9_GL383541v1_alt	171286	150	0.00	0	1
chr9_GL383541v1_alt_region	171286	150	0.00	0	1
chr9_KI270823v1_alt	439082	300	0.00	0	1
chr9_KI270823v1_alt_region	439082	300	0.00	0	1
chr10	133797422	39647	0.00	0	6
chr10_region	133797422	39647	0.00	0	6
chr10_KI270824v1_alt	181496	4174	0.02	0	2
chr10_KI270824v1_alt_region	181496	4174	0.02	0	2
chr11	135086622	14781	0.00	0	2
chr11_region	135086622	14781	0.00	0	2
chr11_GL383547v1_alt	154407	150	0.00	0	1
chr11_GL383547v1_alt_region	154407	150	0.00	0	1
chr12	133275309	19389	0.00	0	3
chr12_region	133275309	19389	0.00	0	3
chr12_GL383551v1_alt	184319	150	0.00	0	1
chr12_GL383551v1_alt_region	184319	150	0.00	0	1
chr12_GL383553v2_alt	152874	289	0.00	0	1
chr12_GL383553v2_alt_region	152874	289	0.00	0	1
chr12_GL877876v1_alt	408271	450	0.00	0	1
chr12_GL877876v1_alt_region	408271	450	0.00	0	1
chr13	114364328	42609	0.00	0	4
chr13_region	114364328	42609	0.00	0	4
chr13_KI270839v1_alt	180306	149	0.00	0	1
chr13_KI270839v1_alt_region	180306	149	0.00	0	1
chr13_KI270840v1_alt	191684	150	0.00	0	1
chr13_KI270840v1_alt_region	191684	150	0.00	0	1
chr14	107043718	912637	0.01	0	9
chr14_region	107043718	912637	0.01	0	9
chr14_GL000009v2_random	201709	13124	0.07	0	7
chr14_GL000009v2_random_region	201709	13124	0.07	0	7
chr14_GL000194v1_random	191469	5970	0.03	0	4
chr14_GL000194v1_random_region	191469	5970	0.03	0	4
chr14_GL000225v1_random	211173	4040	0.02	0	3
chr14_GL000225v1_random_region	211173	4040	0.02	0	3
chr14_KI270722v1_random	194050	25073	0.13	0	4
chr14_KI270722v1_random_region	194050	25073	0.13	0	4
chr14_KI270725v1_random	172810	27031	0.16	0	3
chr14_KI270725v1_random_region	172810	27031	0.16	0	3
chr15	101991189	37355	0.00	0	4
chr15_region	101991189	37355	0.00	0	4
chr15_KI270727v1_random	448248	1638	0.00	0	1
chr15_KI270727v1_random_region	448248	1638	0.00	0	1
chr15_KI270852v1_alt	478999	444	0.00	0	1
chr15_KI270852v1_alt_region	478999	444	0.00	0	1
chr15_KI270905v1_alt	5161414	896	0.00	0	1
chr15_KI270905v1_alt_region	5161414	896	0.00	0	1
chr16	90338345	34165	0.00	0	4
chr16_region	90338345	34165	0.00	0	4
chr16_KI270728v1_random	1872759	14109	0.01	0	3
chr16_KI270728v1_random_region	1872759	14109	0.01	0	3
chr16_GL383556v1_alt	192462	445	0.00	0	1
chr16_GL383556v1_alt_region	192462	445	0.00	0	1
chr17	83257441	16325	0.00	0	3
chr17_region	83257441	16325	0.00	0	3
chr17_KI270729v1_random	280839	450	0.00	0	1
chr17_KI270729v1_random_region	280839	450	0.00	0	1
chr17_GL000258v2_alt	1821992	300	0.00	0	1
chr17_GL000258v2_alt_region	1821992	300	0.00	0	1
chr17_KI270857v1_alt	2877074	299	0.00	0	1
chr17_KI270857v1_alt_region	2877074	299	0.00	0	1
chr18	80373285	26222	0.00	0	3
chr18_region	80373285	26222	0.00	0	3
chr18_GL383568v1_alt	104552	150	0.00	0	1
chr18_GL383568v1_alt_region	104552	150	0.00	0	1
chr18_GL383570v1_alt	164789	150	0.00	0	1
chr18_GL383570v1_alt_region	164789	150	0.00	0	1
chr19	58617616	11984	0.00	0	3
chr19_region	58617616	11984	0.00	0	3
chr19_GL383575v2_alt	170222	900	0.01	0	2
chr19_GL383575v2_alt_region	170222	900	0.01	0	2
chr19_GL383576v1_alt	188024	1040	0.01	0	2
chr19_GL383576v1_alt_region	188024	1040	0.01	0	2
chr20	64444167	84541	0.00	0	4
chr20_region	64444167	84541	0.00	0	4
chr20_KI270869v1_alt	118774	150	0.00	0	1
chr20_KI270869v1_alt_region	118774	150	0.00	0	1
chr21	46709983	318794	0.01	0	9
chr21_region	46709983	318794	0.01	0	9
chr21_GL383579v2_alt	201197	300	0.00	0	1
chr21_GL383579v2_alt_region	201197	300	0.00	0	1
chr22	50818468	146845187	2.89	0	18
chr22_region	50818468	146845187	2.89	0	18
chr22_KI270731v1_random	150754	243643	1.62	0	9
chr22_KI270731v1_random_region	150754	243643	1.62	0	9
chr22_KI270732v1_random	41543	5096	0.12	0	6
chr22_KI270732v1_random_region	41543	5096	0.12	0	6
chr22_KI270734v1_random	165050	214002	1.30	0	9
chr22_KI270734v1_random_region	165050	214002	1.30	0	9
chr22_KI270737v1_random	103838	113290	1.09	0	8
chr22_KI270737v1_random_region	103838	113290	1.09	0	8
chr22_KI270738v1_random	99375	2581	0.03	0	3
chr22_KI270738v1_random_region	99375	2581	0.03	0	3
chr22_KI270739v1_random	73985	98792	1.34	0	8
chr22_KI270739v1_random_region	73985	98792	1.34	0	8
chr22_GL383582v2_alt	162811	195660	1.20	0	8
chr22_GL383582v2_alt_region	162811	195660	1.20	0	8
chr22_GL383583v2_alt	96924	200211	2.07	0	8
chr22_GL383583v2_alt_region	96924	200211	2.07	0	8
chr22_KB663609v1_alt	74013	69963	0.95	0	6
chr22_KB663609v1_alt_region	74013	69963	0.95	0	6
chr22_KI270875v1_alt	259914	473619	1.82	0	10
chr22_KI270875v1_alt_region	259914	473619	1.82	0	10
chr22_KI270876v1_alt	263666	500662	1.90	0	9
chr22_KI270876v1_alt_region	263666	500662	1.90	0	9
chr22_KI270877v1_alt	101331	177609	1.75	0	9
chr22_KI270877v1_alt_region	101331	177609	1.75	0	9
chr22_KI270878v1_alt	186262	287575	1.54	0	10
chr22_KI270878v1_alt_region	186262	287575	1.54	0	10
chr22_KI270879v1_alt	304135	495979	1.63	0	10
chr22_KI270879v1_alt_region	304135	495979	1.63	0	10
chr22_KI270928v1_alt	176103	213364	1.21	0	6
chr22_KI270928v1_alt_region	176103	213364	1.21	0	6
chrX	156040895	23598	0.00	0	2
chrX_region	156040895	23598	0.00	0	2
chrY	57227415	29027	0.00	0	4
chrY_region	57227415	29027	0.00	0	4
chrUn_GL000213v1	164239	1200	0.01	0	2
chrUn_GL000213v1_region	164239	1200	0.01	0	2
chrUn_GL000214v1	137718	7185	0.05	0	3
chrUn_GL000214v1_region	137718	7185	0.05	0	3
chrUn_GL000216v2	176608	900	0.01	0	1
chrUn_GL000216v2_region	176608	900	0.01	0	1
chrUn_GL000218v1	161147	4880	0.03	0	2
chrUn_GL000218v1_region	161147	4880	0.03	0	2
chrUn_GL000219v1	179198	6108	0.03	0	3
chrUn_GL000219v1_region	179198	6108	0.03	0	3
chrUn_GL000220v1	161802	296	0.00	0	1
chrUn_GL000220v1_region	161802	296	0.00	0	1
chrUn_GL000224v1	179693	5465	0.03	0	3
chrUn_GL000224v1_region	179693	5465	0.03	0	3
chrUn_KI270375v1	2378	396	0.17	0	2
chrUn_KI270375v1_region	2378	396	0.17	0	2
chrUn_KI270435v1	92983	6732	0.07	0	4
chrUn_KI270435v1_region	92983	6732	0.07	0	4
chrUn_KI270438v1	112505	600	0.01	0	2
chrUn_KI270438v1_region	112505	600	0.01	0	2
chrUn_KI270442v1	392061	11721	0.03	0	4
chrUn_KI270442v1_region	392061	11721	0.03	0	4
chrUn_KI270519v1	138126	1700	0.01	0	2
chrUn_KI270519v1_region	138126	1700	0.01	0	2
chrUn_KI270538v1	91309	168	0.00	0	1
chrUn_KI270538v1_region	91309	168	0.00	0	1
chrUn_KI270579v1	31033	299	0.01	0	1
chrUn_KI270579v1_region	31033	299	0.01	0	1
chrUn_KI270581v1	7046	15300	2.17	0	7
chrUn_KI270581v1_region	7046	15300	2.17	0	7
chrUn_KI270583v1	1400	300	0.21	0	1
chrUn_KI270583v1_region	1400	300	0.21	0	1
chrUn_KI270741v1	157432	150	0.00	0	1
chrUn_KI270741v1_region	157432	150	0.00	0	1
chrUn_KI270742v1	186739	46770	0.25	0	6
chrUn_KI270742v1_region	186739	46770	0.25	0	6
chrUn_KI270743v1	210658	43728	0.21	0	6
chrUn_KI270743v1_region	210658	43728	0.21	0	6
chrUn_KI270744v1	168472	3891	0.02	0	2
chrUn_KI270744v1_region	168472	3891	0.02	0	2
chrUn_KI270745v1	41891	300	0.01	0	1
chrUn_KI270745v1_region	41891	300	0.01	0	1
chrUn_KI270746v1	66486	900	0.01	0	2
chrUn_KI270746v1_region	66486	900	0.01	0	2
chrUn_KI270747v1	198735	1643	0.01	0	2
chrUn_KI270747v1_region	198735	1643	0.01	0	2
chrUn_KI270749v1	158759	19754	0.12	0	2
chrUn_KI270749v1_region	158759	19754	0.12	0	2
chrUn_KI270751v1	150742	9561	0.06	0	3
chrUn_KI270751v1_region	150742	9561	0.06	0	3
chrUn_KI270757v1	71251	450	0.01	0	3
chrUn_KI270757v1_region	71251	450	0.01	0	3
total	3144577783	152668889	0.05	0	18
total_region	3144577783	152668889	0.05	0	18
