rank	gene_id	gene_symbol	annotated_transcripts	active_transcripts	count_a	count_b	tpm_a	tpm_b	tv_count	tv_tpm	js_count	g_stat	max_share_shift	robust_score
72	ENSG00000163131.12	CTSS	19	6	50.999000	55.000000	124.605247	181.488509	0.897109	0.877895	0.816923	119.633571	0.440855	6.269361
73	ENSG00000090861.17	AARS1	42	3	45.000000	39.000000	62.696447	61.226392	1.000000	1.000000	1.000000	116.019790	1.000000	6.244998
74	ENSG00000166181.13	API5	11	3	40.000000	39.000000	63.991425	54.403820	1.000000	1.000000	1.000000	109.504596	1.000000	6.244998
75	ENSG00000055917.17	PUM2	10	2	39.000000	44.000000	28.739686	35.090891	1.000000	1.000000	1.000000	114.761045	1.000000	6.244998
76	ENSG00000156515.25	HK1	30	3	39.000000	41.000000	92.082772	59.104769	1.000000	1.000000	1.000000	110.853544	1.000000	6.244998
77	ENSG00000089597.18	GANAB	17	4	39.000000	41.000000	52.135218	101.723710	1.000000	1.000000	1.000000	110.853544	0.906732	6.244998
78	ENSG00000155506.19	LARP1	20	3	63.000000	61.000000	39.265206	63.482661	0.798033	0.864702	0.607450	104.752002	0.798033	6.232835
79	ENSG00000092820.19	EZR	3	2	84.000000	99.000000	129.501377	170.073952	0.676737	0.675491	0.469302	115.804648	0.676737	6.190976
80	ENSG00000184007.22	PTP4A2	20	6	79.000000	73.000000	245.017228	315.568395	0.730051	0.722320	0.547684	114.329733	0.533975	6.171503
81	ENSG00000082641.16	NFE2L1	23	4	38.000000	43.000000	38.254216	65.275637	1.000000	1.000000	1.000000	111.981005	0.745581	6.164414
82	ENSG00000153113.24	CAST	59	8	40.000000	38.000000	82.829623	97.202750	1.000000	1.000000	1.000000	108.079672	0.606475	6.164414
83	ENSG00000141279.18	NPEPPS	41	7	37.823000	44.000000	46.733769	56.987931	1.000000	1.000000	1.000000	112.964004	0.511068	6.150041
84	ENSG00000104824.18	HNRNPL	15	4	55.008000	51.600000	135.601203	151.890358	0.855603	0.866256	0.738126	108.646601	0.780505	6.146064
85	ENSG00000144028.15	SNRNP200	9	3	83.000000	85.000000	95.203026	59.149610	0.673952	0.823167	0.466477	108.979498	0.673952	6.139993
86	ENSG00000152102.18	FAM168B	2	2	37.000000	42.000000	31.744280	39.142017	1.000000	1.000000	1.000000	109.200587	1.000000	6.082763
87	ENSG00000168918.14	INPP5D	14	3	37.000000	43.000000	34.357792	51.504241	1.000000	1.000000	1.000000	110.453126	1.000000	6.082763
88	ENSG00000136758.20	YME1L1	8	2	52.000000	37.000000	56.998069	46.115678	1.000000	1.000000	1.000000	120.840002	1.000000	6.082763
89	ENSG00000175061.20	SNHG29	62	8	94.000000	91.001000	576.023982	524.877957	0.679363	0.630046	0.492951	126.763546	0.534049	6.010286
90	ENSG00000120694.20	HSPH1	9	5	36.000000	40.000000	47.105792	57.571600	1.000000	1.000000	1.000000	105.147748	0.945417	6.000000
91	ENSG00000105835.13	NAMPT	49	7	55.001000	55.704000	189.124778	126.436958	0.805992	0.902291	0.713028	109.372875	0.375557	5.977454
92	ENSG00000118680.14	MYL12B	5	2	40.992000	46.995000	193.949113	289.859936	0.928673	0.938795	0.810899	97.809476	0.928673	5.945830
93	ENSG00000113712.19	CSNK1A1	17	6	38.000000	35.000000	74.029214	59.682157	1.000000	1.000000	1.000000	101.076166	0.659257	5.916080
94	ENSG00000048828.18	FAM120A	7	2	45.000000	35.000000	41.607624	34.445241	1.000000	1.000000	1.000000	109.650273	1.000000	5.916080
95	ENSG00000117859.19	OSBPL9	27	5	35.000000	37.000000	64.241819	86.427622	1.000000	1.000000	1.000000	99.757631	0.768486	5.916080
96	ENSG00000101266.19	CSNK2A1	48	8	41.000000	34.961000	93.397974	117.727235	1.000000	1.000000	1.000000	104.823690	0.462716	5.912783
97	ENSG00000124795.17	DEK	12	3	62.000000	45.000000	101.673091	119.246893	0.874742	0.885907	0.760679	108.924416	0.874742	5.867947
98	ENSG00000197442.11	MAP3K5	3	2	34.000000	39.000000	29.931335	35.753146	1.000000	1.000000	1.000000	100.856754	1.000000	5.830952
99	ENSG00000112118.20	MCM3	6	2	46.000000	34.000000	70.514767	55.542244	1.000000	1.000000	1.000000	109.096737	1.000000	5.830952
100	ENSG00000135905.21	DOCK10	18	4	34.000000	44.000000	20.904222	44.755327	1.000000	1.000000	1.000000	106.845374	1.000000	5.830952
101	ENSG00000085224.23	ATRX	25	6	33.999000	34.000000	26.263497	18.102744	1.000000	1.000000	1.000000	94.266630	0.963147	5.830866
102	ENSG00000147140.17	NONO	40	5	70.001000	66.000000	156.008300	149.141997	0.804288	0.713343	0.727250	137.263572	0.804288	5.795222
103	ENSG00000172071.15	EIF2AK3	24	6	48.000000	33.000000	60.621021	50.916569	1.000000	1.000000	1.000000	109.495967	0.743917	5.744563
104	ENSG00000126012.13	KDM5C	23	5	34.000000	33.000000	28.503194	49.302624	1.000000	1.000000	1.000000	92.866796	0.861333	5.744563
105	ENSG00000102158.22	MAGT1	13	3	36.000000	33.000000	72.907034	41.996782	1.000000	1.000000	1.000000	95.523835	1.000000	5.744563
106	ENSG00000196498.15	NCOR2	22	4	33.000000	40.000000	23.328402	62.623192	1.000000	1.000000	1.000000	100.527223	0.962364	5.744563
107	ENSG00000198836.11	OPA1	31	4	34.000000	33.000000	31.432528	37.856780	1.000000	1.000000	1.000000	92.866796	0.736303	5.744563
108	ENSG00000173692.14	PSMD1	37	3	34.000000	33.000000	48.827481	55.263916	1.000000	1.000000	1.000000	92.866796	1.000000	5.744563
109	ENSG00000204463.14	BAG6	33	5	33.000000	40.000000	41.307814	84.011567	1.000000	1.000000	1.000000	100.527223	1.000000	5.744563
110	ENSG00000204256.14	BRD2	25	6	59.000000	52.001000	185.909945	77.097948	0.795525	0.899707	0.689942	105.259972	0.380085	5.736671
111	ENSG00000138674.17	SEC31A	41	5	47.000000	52.000000	51.240032	140.710211	0.825936	0.829612	0.658897	91.024721	0.779660	5.662333
112	ENSG00000100280.17	AP1B1	8	4	32.000000	35.000000	60.125790	43.349785	1.000000	1.000000	1.000000	92.747349	0.911563	5.656854
113	ENSG00000012124.17	CD22	34	6	41.000000	32.000000	69.055813	157.456337	1.000000	1.000000	1.000000	100.087071	0.769875	5.656854
114	ENSG00000122884.13	P4HA1	6	2	32.000000	36.000000	55.806811	69.778704	1.000000	1.000000	1.000000	94.032587	1.000000	5.656854
115	ENSG00000115310.19	RTN4	14	5	32.000000	46.000000	114.800825	93.965229	1.000000	1.000000	1.000000	105.604471	0.736565	5.656854
116	ENSG00000182670.14	TTC3	26	5	40.000000	32.000000	37.856655	20.424464	1.000000	1.000000	1.000000	98.922467	0.800375	5.656854
117	ENSG00000124201.15	ZNFX1	6	3	32.000000	32.000000	28.636373	22.210515	1.000000	1.000000	1.000000	88.722839	1.000000	5.656854
118	ENSG00000051108.15	HERPUD1	19	5	80.000000	85.999000	449.339455	364.669110	0.896673	0.630864	0.845072	194.033562	0.871987	5.642618
119	ENSG00000110321.19	EIF4G2	31	6	231.000000	264.999000	316.704797	532.449038	0.370296	0.562482	0.224407	150.246119	0.326503	5.628008
120	ENSG00000114942.14	EEF1B2	11	3	112.000000	115.000000	867.055821	930.411090	0.560452	0.529520	0.361044	113.129711	0.560452	5.603911
121	ENSG00000197111.16	PCBP2	26	9	109.000000	109.803000	353.595157	411.800676	0.571479	0.535507	0.431332	130.898723	0.507431	5.590855
122	ENSG00000114062.22	UBE3A	33	7	36.000000	31.001000	119.681104	56.726387	1.000000	1.000000	1.000000	92.509782	0.763111	5.567854
123	ENSG00000064666.15	CNN2	12	2	31.000000	39.000000	72.035328	99.238986	1.000000	1.000000	1.000000	96.124319	1.000000	5.567764
124	ENSG00000112851.16	ERBIN	30	2	31.000000	37.000000	21.703999	29.498512	1.000000	1.000000	1.000000	93.737916	1.000000	5.567764
125	ENSG00000189057.11	FAM111B	6	3	31.000000	35.000000	43.281730	54.846103	1.000000	1.000000	1.000000	91.252855	1.000000	5.567764
126	ENSG00000005302.19	MSL3	50	8	39.000000	31.000000	97.084614	73.891303	1.000000	1.000000	1.000000	96.124319	0.642387	5.567764
127	ENSG00000101846.9	STS	6	3	31.000000	34.000000	22.523266	26.199005	1.000000	1.000000	1.000000	89.970623	1.000000	5.567764
128	ENSG00000124422.12	USP22	11	2	31.000000	33.000000	27.113520	33.741384	1.000000	1.000000	1.000000	88.660329	1.000000	5.567764
129	ENSG00000150093.20	ITGB1	36	3	32.000000	31.000000	38.266063	43.331626	1.000000	1.000000	1.000000	87.320671	1.000000	5.567764
130	ENSG00000253352.10	TUG1	20	6	41.000000	30.295000	30.057181	32.153940	1.000000	1.000000	1.000000	97.222397	0.671585	5.504089
131	ENSG00000145833.16	DDX46	12	3	30.000000	33.000000	36.290641	44.046536	1.000000	1.000000	1.000000	87.193634	1.000000	5.477226
132	ENSG00000167325.15	RRM1	14	4	39.000000	30.000000	70.403985	169.575942	1.000000	1.000000	1.000000	94.477046	0.975949	5.477226
133	ENSG00000166888.12	STAT6	25	5	30.000000	39.001000	37.890716	65.928710	1.000000	1.000000	1.000000	94.478187	0.966667	5.477226
134	ENSG00000136279.21	DBNL	22	6	33.000000	30.000000	119.410592	86.448300	1.000000	1.000000	1.000000	87.193634	0.618091	5.477226
135	ENSG00000142599.20	RERE	22	4	31.000000	30.000000	17.259141	55.215391	1.000000	1.000000	1.000000	84.547562	1.000000	5.477226
136	ENSG00000281649.3	EBLN3P	23	4	30.000000	31.000000	40.692853	69.293283	1.000000	1.000000	1.000000	84.547562	0.927774	5.477226
137	ENSG00000131236.18	CAP1	19	4	106.000000	107.000000	244.682693	256.830103	0.531245	0.631264	0.350997	103.778755	0.480161	5.469505
138	ENSG00000263001.8	GTF2I	24	6	52.967000	62.755000	67.852429	96.959344	0.750586	0.782843	0.668329	106.057738	0.688758	5.462644
139	ENSG00000198589.15	LRBA	23	5	69.001000	60.000000	43.665289	29.784263	0.702280	0.788965	0.696173	124.027158	0.689883	5.439835
140	ENSG00000100906.12	NFKBIA	21	3	49.000000	44.000000	161.703592	163.371225	0.818636	0.819696	0.634616	82.496625	0.818636	5.430219
141	ENSG00000145901.16	TNIP1	21	6	128.000000	102.001000	230.950980	331.200285	0.533859	0.574039	0.381682	117.605548	0.387733	5.391742
142	ENSG00000149781.14	FERMT3	42	5	34.000000	29.000000	67.150898	61.958410	1.000000	1.000000	1.000000	86.939302	0.861235	5.385165
143	ENSG00000162434.14	JAK1	31	3	29.000000	33.000000	26.888620	33.400927	1.000000	1.000000	1.000000	85.692007	1.000000	5.385165
144	ENSG00000179295.19	PTPN11	16	3	40.000000	29.000000	37.358449	24.392181	1.000000	1.000000	1.000000	93.893183	1.000000	5.385165
145	ENSG00000165025.15	SYK	5	2	41.000000	29.000000	37.499817	29.563941	1.000000	1.000000	1.000000	94.973266	1.000000	5.385165
146	ENSG00000147162.15	OGT	21	5	28.999000	42.000000	27.764537	36.225163	1.000000	1.000000	1.000000	96.031346	0.794500	5.385072
147	ENSG00000105568.19	PPP2R1A	22	5	48.999000	57.000000	153.578320	173.692549	0.933060	0.765806	0.924447	135.330538	0.888105	5.360587
148	ENSG00000151726.16	ACSL1	16	2	35.000000	42.000000	44.586511	59.929957	0.904667	0.904806	0.766421	80.296119	0.904667	5.352080
149	ENSG00000101445.10	PPP1R16B	4	2	86.000000	73.000000	62.835412	58.703410	0.625942	0.631959	0.419705	89.838225	0.625942	5.348050
150	ENSG00000104904.12	OAZ1	11	6	108.000000	110.648000	619.687074	924.610119	0.512096	0.604998	0.430111	130.209629	0.481084	5.321862
151	ENSG00000109670.17	FBXW7	21	7	51.000000	57.000000	72.004293	169.883637	0.745123	0.923320	0.679062	101.156031	0.541333	5.321241
152	ENSG00000130726.12	TRIM28	15	7	49.000000	53.000000	200.536311	216.105881	0.759735	0.805227	0.758018	107.070540	0.532472	5.318143
153	ENSG00000185787.15	MORF4L1	23	5	87.001000	81.001000	340.155978	364.338143	0.590051	0.764342	0.451096	104.336878	0.357436	5.310489
154	ENSG00000115053.17	NCL	24	8	222.999000	188.999000	417.732303	388.308958	0.391442	0.385982	0.304841	175.278440	0.371028	5.306367
155	ENSG00000138095.20	LRPPRC	71	6	66.000000	75.001000	62.747463	82.474774	0.652911	0.695508	0.532780	103.017606	0.594072	5.304276
156	ENSG00000089006.17	SNX5	19	10	30.000000	33.001000	144.807769	94.882650	0.967849	0.985325	0.950296	82.817542	0.405503	5.301130
157	ENSG00000079785.16	DDX1	24	2	28.000000	35.000000	55.662350	75.033777	1.000000	1.000000	1.000000	86.557159	1.000000	5.291503
158	ENSG00000100697.17	DICER1	33	3	41.000000	28.000000	17.544329	13.388176	1.000000	1.000000	1.000000	93.190336	1.000000	5.291503
159	ENSG00000130816.17	DNMT1	52	4	39.000000	28.000000	59.625387	185.709374	1.000000	1.000000	1.000000	91.067550	0.897436	5.291503
160	ENSG00000077150.21	NFKB2	20	3	28.000000	31.000000	43.792283	101.338274	1.000000	1.000000	1.000000	81.638759	1.000000	5.291503
161	ENSG00000067057.19	PFKP	17	2	28.000000	34.000000	47.082245	69.147289	1.000000	1.000000	1.000000	85.368696	1.000000	5.291503
162	ENSG00000183291.18	SELENOF	7	4	38.000000	28.000000	127.868413	231.968939	1.000000	1.000000	1.000000	89.974425	0.799079	5.291503
163	ENSG00000181555.22	SETD2	26	7	36.989000	28.000000	33.345947	17.569952	1.000000	1.000000	1.000000	88.846569	0.748893	5.291503
164	ENSG00000198492.16	YTHDF2	9	2	28.000000	28.000000	48.989180	54.250564	1.000000	1.000000	1.000000	77.632484	1.000000	5.291503
165	ENSG00000005483.23	KMT2E	23	6	28.000000	31.000000	23.172059	36.520192	1.000000	1.000000	1.000000	81.638759	0.844000	5.291503
166	ENSG00000214022.12	REPIN1	19	7	28.000000	29.000000	76.205722	80.953937	1.000000	1.000000	1.000000	79.001234	0.841586	5.291503
167	ENSG00000110713.18	NUP98	36	5	28.000000	37.000000	30.631373	34.456658	1.000000	1.000000	1.000000	88.858967	0.701919	5.291503
168	ENSG00000156738.18	MS4A1	12	6	98.000000	128.000000	199.613714	329.998528	0.534061	0.594311	0.284368	85.813549	0.518796	5.286936
169	ENSG00000108559.13	NUP88	33	5	27.269000	35.000000	22.549295	152.980807	1.000000	1.000000	1.000000	85.360841	1.000000	5.221973
170	ENSG00000160633.13	SAFB	14	3	34.329000	27.263000	53.651794	50.369045	1.000000	1.000000	1.000000	84.572224	1.000000	5.221398
171	ENSG00000145907.16	G3BP1	78	8	66.000000	75.000000	115.547163	869.154417	0.641697	0.936366	0.637445	124.256982	0.384653	5.213171
172	ENSG00000120948.19	TARDBP	38	9	33.999000	37.000000	151.840943	268.867962	0.892026	0.934106	0.841252	82.813704	0.616489	5.201286
173	ENSG00000100823.12	APEX1	20	5	28.000000	27.000000	134.499664	114.638621	1.000000	1.000000	1.000000	76.228007	0.933407	5.196152
174	ENSG00000197312.13	DDI2	8	2	27.000000	38.000000	11.264679	17.627086	1.000000	1.000000	1.000000	88.238606	1.000000	5.196152
175	ENSG00000100393.15	EP300	14	2	27.000000	31.000000	14.510387	17.563305	1.000000	1.000000	1.000000	80.128992	1.000000	5.196152
176	ENSG00000113161.17	HMGCR	18	4	27.000000	30.000000	27.251049	51.245226	1.000000	1.000000	1.000000	78.860811	1.000000	5.196152
177	ENSG00000084676.16	NCOA1	11	2	27.000000	35.000000	16.569753	25.710875	1.000000	1.000000	1.000000	84.915109	1.000000	5.196152
178	ENSG00000104805.17	NUCB1	30	3	30.000000	27.000000	69.963962	66.497824	1.000000	1.000000	1.000000	78.860811	1.000000	5.196152
179	ENSG00000110075.15	PPP6R3	26	2	34.000000	27.000000	32.322417	27.073818	1.000000	1.000000	1.000000	83.758905	1.000000	5.196152
180	ENSG00000198677.13	SKIC3	63	3	36.000000	27.000000	28.681788	27.107471	1.000000	1.000000	1.000000	86.046421	1.000000	5.196152
181	ENSG00000028137.19	TNFRSF1B	4	2	27.000000	32.000000	33.934970	46.393522	1.000000	1.000000	1.000000	81.367130	1.000000	5.196152
182	ENSG00000136448.13	NMT1	19	6	27.000000	33.000000	75.745056	73.011538	1.000000	1.000000	1.000000	82.576658	0.605091	5.196152
183	ENSG00000109685.19	NSD2	31	10	27.000000	27.999000	74.740290	49.222778	1.000000	1.000000	1.000000	76.226657	0.610915	5.196152
184	ENSG00000048740.19	CELF2	17	6	26.999000	34.999000	29.840471	46.923007	1.000000	1.000000	1.000000	84.912303	0.547465	5.196056
185	ENSG00000058673.17	ZC3H11A	15	3	38.188000	26.815000	37.121141	22.865025	1.000000	1.000000	1.000000	88.113181	1.000000	5.178320
186	ENSG00000068366.21	ACSL4	18	3	73.000000	60.000000	67.250121	65.241502	0.667700	0.681805	0.546039	101.157962	0.667700	5.171982
187	ENSG00000136167.15	LCP1	8	3	679.000000	657.000000	989.529830	934.389873	0.201385	0.301541	0.083984	154.727641	0.201385	5.161913
188	ENSG00000147526.20	TACC1	29	3	109.000000	128.000000	62.614063	116.417589	0.494039	0.642533	0.306571	97.527135	0.494039	5.157919
189	ENSG00000234741.10	GAS5	91	7	30.000000	28.002000	268.593210	305.446824	0.964400	0.979838	0.963538	77.408609	0.476767	5.103307
