#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
ADAMTSL2	ENSG00000197859	ENST00000953002	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953003	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953004	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953005	protein_coding	0	3	0	0	0	0	0	0	0	0	3
ADAMTSL2	ENSG00000197859	ENST00000953006	protein_coding	0	3	0	0	0	0	0	0	0	0	3
AK1	ENSG00000106992	ENST00000223836	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000373156	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000644144	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904238	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904239	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904240	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904241	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904242	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904243	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000904244	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000937831	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954052	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954053	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954054	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954055	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954056	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954057	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954058	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954059	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954060	protein_coding	0	1	0	0	0	0	0	0	0	0	1
AK1	ENSG00000106992	ENST00000954061	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ALDOB	ENSG00000136872	ENST00000647789	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000648064	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000648758	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903775	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903776	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903777	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903778	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903779	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903780	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903781	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903782	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903783	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903784	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903785	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903786	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903787	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903788	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903789	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903790	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ALDOB	ENSG00000136872	ENST00000903791	protein_coding	0	0	0	1	1	0	0	0	0	0	0
ANKRD18B	ENSG00000230453	ENST00000290943	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ANKRD18B	ENSG00000230453	ENST00000357927	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ANKRD18B	ENSG00000230453	ENST00000684830	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ANKRD18B	ENSG00000230453	ENST00000703206	protein_coding	0	0	0	1	0	0	1	0	0	0	0
APTX	ENSG00000137074	ENST00000309615	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000379813	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000379817	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000379819	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000379825	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000397172	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000436040	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000463596	protein_coding	0	0	0	2	0	1	1	0	0	0	0
APTX	ENSG00000137074	ENST00000468275	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000476858	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000477119	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000672438	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000673248	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000673416	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000673598	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000868582	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000868583	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000868584	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000868585	protein_coding	0	0	0	2	0	1	1	0	0	0	0
APTX	ENSG00000137074	ENST00000916450	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000969748	protein_coding	0	0	0	2	0	0	2	0	0	0	0
APTX	ENSG00000137074	ENST00000969749	protein_coding	0	0	0	2	0	0	2	0	0	0	0
AQP3	ENSG00000165272	ENST00000297991	protein_coding	0	1	0	1	0	0	1	0	0	0	1
AQP3	ENSG00000165272	ENST00000645858	protein_coding	0	1	0	1	0	0	1	0	0	0	1
AQP3	ENSG00000165272	ENST00000969970	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ASB6	ENSG00000148331	ENST00000277458	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ASB6	ENSG00000148331	ENST00000277459	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ASB6	ENSG00000148331	ENST00000450050	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ASB6	ENSG00000148331	ENST00000936076	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ASTN2	ENSG00000148219	ENST00000288520	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000313400	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000341734	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000361209	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000361477	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000373986	protein_coding	0	0	0	1	0	0	1	0	0	0	0
ASTN2	ENSG00000148219	ENST00000417725	protein_coding	0	0	1	0	0	0	0	1	0	0	0
ASTN2	ENSG00000148219	ENST00000882685	protein_coding	0	0	0	1	0	0	1	0	0	0	0
BRD10	ENSG00000183354	ENST00000381461	protein_coding	0	1	0	1	0	0	2	0	1	0	0
BRD10	ENSG00000183354	ENST00000399933	protein_coding	0	1	0	1	0	0	2	0	1	0	0
BRD10	ENSG00000183354	ENST00000513355	protein_coding	0	0	0	1	0	0	1	0	0	0	0
C9orf152	ENSG00000188959	ENST00000400613	protein_coding	0	1	0	0	0	0	0	0	0	0	1
CCDC183	ENSG00000213213	ENST00000338005	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CDC14B	ENSG00000081377	ENST00000375240	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000375241	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000375242	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000415608	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000452280	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000463569	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000481149	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000856416	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000856417	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000856418	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000937053	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000937054	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDC14B	ENSG00000081377	ENST00000937055	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000349780	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000360190	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000360822	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000416449	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000425647	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000687279	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000687633	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000688512	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000690646	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000693728	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000862947	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000862948	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000862949	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDK5RAP2	ENSG00000136861	ENST00000963700	protein_coding	0	0	2	2	0	0	2	2	0	0	0
CDKN2A	ENSG00000147889	ENST00000304494	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CFAP157	ENSG00000160401	ENST00000373295	protein_coding	0	1	0	0	0	0	0	0	0	0	1
CFAP157	ENSG00000160401	ENST00000614677	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CIZ1	ENSG00000148337	ENST00000277465	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000357558	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000372938	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000372948	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000372954	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000415526	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000538431	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000629610	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000634901	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000651955	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866500	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866501	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866502	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866503	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866504	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866505	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866506	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866507	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866508	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866509	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866510	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866511	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866512	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000866513	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000937742	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000937743	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000965482	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000965483	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000965484	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000965485	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CIZ1	ENSG00000148337	ENST00000965486	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CNTLN	ENSG00000044459	ENST00000380647	protein_coding	0	1	0	0	0	0	0	0	0	0	1
CNTLN	ENSG00000044459	ENST00000918050	protein_coding	0	1	0	0	0	0	0	0	0	0	1
CNTNAP3	ENSG00000106714	ENST00000297668	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000358144	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000377656	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000377659	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865307	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865308	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865309	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865310	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865311	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000865312	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000924961	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000924962	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000941983	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000941984	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3	ENSG00000106714	ENST00000941985	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CNTNAP3	ENSG00000106714	ENST00000941986	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000276974	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000341990	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000377561	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000612828	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000617422	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000902379	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000902380	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000955695	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000955696	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000955697	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000955698	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CNTNAP3B	ENSG00000154529	ENST00000955699	protein_coding	0	0	1	0	0	0	0	1	0	0	0
CTNNAL1	ENSG00000119326	ENST00000325551	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000374593	protein_coding	0	0	0	1	1	0	0	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000374595	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000863428	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000916573	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964500	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964501	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964502	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964503	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964504	protein_coding	0	0	0	1	0	0	1	0	0	0	0
CTNNAL1	ENSG00000119326	ENST00000964505	protein_coding	0	0	0	1	0	0	1	0	0	0	0
DDX31	ENSG00000125485	ENST00000372159	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000893390	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000893391	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000893392	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000893393	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000919392	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DDX31	ENSG00000125485	ENST00000919393	protein_coding	0	0	1	0	0	0	0	1	0	0	0
DMRT1	ENSG00000137090	ENST00000382276	protein_coding	0	1	0	0	0	0	1	0	1	0	0
DMRT1	ENSG00000137090	ENST00000569227	protein_coding	0	1	0	0	0	0	1	0	1	0	0
DOCK8	ENSG00000107099	ENST00000382329	protein_coding	0	2	0	2	0	0	2	0	0	0	2
DOCK8	ENSG00000107099	ENST00000432829	protein_coding	0	2	0	2	0	0	2	0	0	0	2
DOCK8	ENSG00000107099	ENST00000453981	protein_coding	0	2	0	2	0	0	2	0	0	0	2
DOCK8	ENSG00000107099	ENST00000469391	protein_coding	0	2	0	2	0	0	2	0	0	0	2
DPM2	ENSG00000136908	ENST00000314392	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DPM2	ENSG00000136908	ENST00000898429	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DPM2	ENSG00000136908	ENST00000898430	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DPM2	ENSG00000136908	ENST00000911993	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DPM2	ENSG00000136908	ENST00000911994	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DPM2	ENSG00000136908	ENST00000957588	protein_coding	0	1	1	0	0	0	0	1	0	0	1
DYNC2I2	ENSG00000119333	ENST00000372715	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000854292	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000854293	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000925010	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000925011	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000946364	protein_coding	0	1	0	0	0	0	0	0	0	0	1
DYNC2I2	ENSG00000119333	ENST00000946365	protein_coding	0	1	0	0	0	0	0	0	0	0	1
ELP1	ENSG00000070061	ENST00000374647	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000537196	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000674535	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000674938	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000674948	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000675052	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000675406	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000675825	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000676237	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000676416	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000861104	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000933696	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ELP1	ENSG00000070061	ENST00000933697	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ENSG00000285130	ENSG00000285130	ENST00000642889	protein_coding	0	0	1	0	0	0	0	1	0	0	0
ENSG00000285245	ENSG00000285245	ENST00000647146	protein_coding	0	1	0	1	0	0	1	0	0	0	1
ENTPD8	ENSG00000188833	ENST00000344119	protein_coding	0	0	1	0	0	0	0	1	0	0	0
