gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
STXBP1	6812	NM_001374315.2	false	false	8	7.5572e+01	381	1.0586e-01	8.5550e-07	1.0000e+00	1.6134e-21	1.6006e-12	5	7.3198e+01	369	6.8308e-02	8.1340e-07	1.0000e+00	8.5705e-23	1.2608e-13	3.5000e-02	1.4400e-01	NA	NA	7.9711e+00	6.7538e+00	340	7.5999e+02	3654	4.4738e-01	2.2147e-06	4.0800e-01	4.8900e-01	1.5235e+01	5.5636e+00	NA	NA	NA	NA	234	2.8129e+02	1039	8.3189e-01	1.5922e-06	7.4700e-01	9.2700e-01	2.8195e+00	1.5367e+00	[]	NA	NA	NA	NA	NA
STXBP1	6812	NM_003165.6	false	false	8	8.0299e+01	405	9.9628e-02	8.8405e-07	1.0000e+00	3.7993e-23	1.5129e-13	5	7.7925e+01	393	6.4164e-02	8.4195e-07	1.0000e+00	2.0182e-24	1.1918e-14	3.3000e-02	1.3500e-01	NA	NA	8.2611e+00	6.9995e+00	359	8.1594e+02	3891	4.3998e-01	5.1080e-06	4.0300e-01	4.8000e-01	1.5997e+01	5.8419e+00	83	2.9980e+02	1478	2.7685e-01	254	3.0322e+02	1108	8.3767e-01	1.7946e-06	7.5500e-01	9.2900e-01	2.8267e+00	1.5407e+00	[]	NA	NA	NA	NA	NA
STXBP1	ENSG00000136854	ENST00000373299	true	true	3	7.8242e+01	395	3.8343e-02	8.5849e-07	1.0000e+00	7.3790e-26	9.1504e-16	3	7.8242e+01	395	3.8343e-02	8.5849e-07	1.0000e+00	6.7252e-26	8.7462e-16	1.6000e-02	9.9000e-02	49	0	8.5063e+00	7.2072e+00	347	7.9977e+02	3826	4.3387e-01	5.2708e-06	3.9600e-01	4.7400e-01	1.6010e+01	5.8468e+00	86	3.1949e+02	1585	2.6918e-01	255	3.0041e+02	1092	8.4884e-01	1.8445e-06	7.6500e-01	9.4200e-01	2.6199e+00	1.4280e+00	[]	2	protein_coding	chr9	1782	19
STXBP1	ENSG00000136854	ENST00000373302	false	false	8	8.0299e+01	405	9.9628e-02	8.8405e-07	1.0000e+00	3.7993e-23	1.5129e-13	5	7.7925e+01	393	6.4164e-02	8.4195e-07	1.0000e+00	2.0182e-24	1.1918e-14	3.3000e-02	1.3500e-01	NA	NA	8.2611e+00	6.9995e+00	359	8.1594e+02	3891	4.3998e-01	5.1080e-06	4.0300e-01	4.8000e-01	1.5997e+01	5.8419e+00	83	2.9980e+02	1478	2.7685e-01	254	3.0322e+02	1108	8.3767e-01	1.7946e-06	7.5500e-01	9.2900e-01	2.8267e+00	1.5407e+00	[]	1	protein_coding	chr9	1809	19
STXBP1	ENSG00000136854	ENST00000476182	false	false	0	9.8353e-01	6	0.0000e+00	1.6754e-08	3.9355e-01	1.0431e-01	5.0214e-01	0	9.8353e-01	6	0.0000e+00	1.6754e-08	4.0631e-01	9.8157e-02	4.9553e-01	0.0000e+00	1.7270e+00	NA	NA	9.9173e-01	8.4028e-01	12	1.0477e+01	49	1.1454e+00	1.6609e-07	7.3000e-01	1.7680e+00	-4.7067e-01	-1.7189e-01	NA	NA	NA	NA	7	4.6646e+00	22	1.5007e+00	8.2578e-08	7.9400e-01	1.9320e+00	-1.0813e+00	-5.8937e-01	[]	2	protein_coding	chr9	66	2
STXBP1	ENSG00000136854	ENST00000494254	false	false	3	1.4235e+01	68	2.1075e-01	1.9549e-07	9.3560e-01	7.6359e-04	6.3636e-02	3	1.4235e+01	68	2.1075e-01	1.9549e-07	9.3830e-01	6.9795e-04	6.1001e-02	9.5000e-02	5.4500e-01	NA	NA	2.9778e+00	2.5230e+00	85	1.6994e+02	786	5.0018e-01	2.7094e-06	4.1900e-01	5.9900e-01	6.5158e+00	2.3795e+00	25	6.2637e+01	269	3.9913e-01	51	5.9270e+01	225	8.6047e-01	9.0371e-07	6.8600e-01	1.0870e+00	1.0742e+00	5.8548e-01	[]	2	protein_coding	chr9	357	4
STXBP1	ENSG00000136854	ENST00000496504	false	false	0	7.3737e+00	39	0.0000e+00	2.2624e-07	9.4852e-01	1.5836e-03	4.9892e-02	0	7.3737e+00	39	0.0000e+00	2.2624e-07	9.5075e-01	1.4467e-03	4.7801e-02	0.0000e+00	4.0600e-01	NA	NA	2.7155e+00	2.3008e+00	45	9.9080e+01	478	4.5418e-01	1.3341e-06	3.5700e-01	5.8200e-01	5.4331e+00	1.9841e+00	16	5.7137e+01	258	2.8003e-01	35	4.1587e+01	153	8.4162e-01	7.5413e-07	6.4200e-01	1.1160e+00	1.0214e+00	5.5669e-01	[]	2	protein_coding	chr9	223	2
STXBP1	ENSG00000136854	ENST00000625363	false	false	0	2.1526e+01	113	0.0000e+00	4.2937e-07	9.9995e-01	2.2320e-08	4.5087e-05	0	2.0428e+01	107	0.0000e+00	4.1021e-07	9.9993e-01	4.8566e-08	7.4514e-05	0.0000e+00	1.4600e-01	NA	NA	4.5198e+00	3.8295e+00	73	1.9659e+02	987	3.7134e-01	2.7753e-06	3.0600e-01	4.5100e-01	8.8144e+00	3.2190e+00	13	7.4318e+01	396	1.7492e-01	71	7.3606e+01	270	9.6459e-01	1.1914e-06	7.9600e-01	1.1750e+00	3.0377e-01	1.6557e-01	[]	2	protein_coding	chr9	448	6
STXBP1	ENSG00000136854	ENST00000626333	false	false	0	2.1220e+01	112	0.0000e+00	4.2359e-07	9.9995e-01	2.8436e-08	5.2509e-05	0	2.0123e+01	106	0.0000e+00	4.0443e-07	9.9991e-01	6.1873e-08	8.6780e-05	0.0000e+00	1.4800e-01	NA	NA	4.4859e+00	3.8008e+00	69	1.9402e+02	974	3.5563e-01	2.7732e-06	2.9200e-01	4.3500e-01	8.9755e+00	3.2778e+00	13	7.4318e+01	396	1.7492e-01	71	7.2950e+01	266	9.7327e-01	1.1914e-06	8.0300e-01	1.1860e+00	2.2828e-01	1.2442e-01	[]	2	protein_coding	chr9	441	6
STXBP1	ENSG00000136854	ENST00000626539	false	false	3	7.7171e+01	388	3.8874e-02	8.5758e-07	1.0000e+00	1.7245e-25	1.5611e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	2	protein_coding	chr9	1740	18
STXBP1	ENSG00000136854	ENST00000627871	false	false	1	1.6120e+01	82	6.2035e-02	3.6730e-07	9.9771e-01	7.8248e-06	2.2773e-03	0	1.1729e+01	60	0.0000e+00	2.8931e-07	9.9426e-01	4.7838e-05	5.6881e-03	0.0000e+00	2.5500e-01	NA	NA	3.4248e+00	2.9018e+00	47	1.3635e+02	657	3.4471e-01	2.2399e-06	2.7200e-01	4.4000e-01	7.6517e+00	2.7944e+00	12	5.6561e+01	302	2.1216e-01	50	5.2269e+01	193	9.5658e-01	9.5863e-07	7.6100e-01	1.2110e+00	3.1390e-01	1.7109e-01	[]	2	protein_coding	chr9	302	4
STXBP1	ENSG00000136854	ENST00000630492	false	false	0	1.6559e+01	88	0.0000e+00	2.5867e-07	9.9946e-01	1.1452e-06	5.3719e-04	0	1.4712e+01	78	0.0000e+00	2.2636e-07	9.9871e-01	4.5117e-06	1.2895e-03	0.0000e+00	2.0300e-01	NA	NA	3.8357e+00	3.2499e+00	51	1.3947e+02	679	3.6566e-01	2.2402e-06	2.9100e-01	4.6200e-01	7.4916e+00	2.7359e+00	13	5.4200e+01	278	2.3985e-01	47	5.0244e+01	179	9.3544e-01	1.0202e-06	7.3900e-01	1.1930e+00	4.5764e-01	2.4943e-01	[]	2	protein_coding	chr9	308	5
STXBP1	ENSG00000136854	ENST00000635950	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	331	7.6925e+02	3652	4.3029e-01	4.8551e-06	3.9200e-01	4.7100e-01	1.5801e+01	5.7705e+00	92	2.7700e+02	1341	3.3213e-01	242	2.8724e+02	1038	8.4251e-01	1.7946e-06	7.5800e-01	9.3700e-01	2.6692e+00	1.4548e+00	["no_exp_lof"]	2	nonsense_mediated_decay	chr9	1722	19
STXBP1	ENSG00000136854	ENST00000636509	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184	4.8011e+02	2352	3.8325e-01	3.9561e-06	3.3900e-01	4.3300e-01	1.3514e+01	4.9352e+00	50	1.9310e+02	994	2.5894e-01	149	1.8243e+02	663	8.1677e-01	1.5805e-06	7.1400e-01	9.3600e-01	2.4748e+00	1.3489e+00	["no_exp_lof"]	2	nonsense_mediated_decay	chr9	1080	13
STXBP1	ENSG00000136854	ENST00000636962	false	false	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	1.0200e-25	8.8616e-16	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	9.2963e-26	8.4702e-16	1.0000e-02	8.3000e-02	NA	NA	8.4794e+00	7.1845e+00	331	7.6925e+02	3652	4.3029e-01	4.8551e-06	3.9200e-01	4.7100e-01	1.5801e+01	5.7705e+00	92	2.7700e+02	1341	3.3213e-01	242	2.8724e+02	1038	8.4251e-01	1.7946e-06	7.5800e-01	9.3700e-01	2.6692e+00	1.4548e+00	[]	2	protein_coding	chr9	1722	19
STXBP1	ENSG00000136854	ENST00000637060	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83	1.5349e+02	734	5.4074e-01	2.5723e-06	4.5200e-01	6.4900e-01	5.6900e+00	2.0779e+00	11	3.6335e+01	193	3.0274e-01	38	5.6713e+01	221	6.7004e-01	1.0660e-06	5.1600e-01	8.7800e-01	2.4849e+00	1.3544e+00	["no_exp_lof"]	2	nonsense_mediated_decay	chr9	378	7
STXBP1	ENSG00000136854	ENST00000637173	false	false	3	7.7921e+01	392	3.8501e-02	8.7073e-07	1.0000e+00	9.5178e-26	1.0740e-15	3	7.6074e+01	382	3.9435e-02	8.3842e-07	1.0000e+00	3.7524e-25	2.5800e-15	1.7000e-02	1.0200e-01	NA	NA	8.3781e+00	7.0986e+00	332	7.8507e+02	3756	4.2289e-01	5.2294e-06	3.8600e-01	4.6300e-01	1.6170e+01	5.9052e+00	85	3.1801e+02	1575	2.6728e-01	247	2.9540e+02	1068	8.3615e-01	1.8202e-06	7.5300e-01	9.2900e-01	2.8161e+00	1.5349e+00	[]	2	protein_coding	chr9	1740	18
STXBP1	ENSG00000136854	ENST00000637464	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	7.1093e+01	353	4.5011e-01	1.1322e-06	3.3900e-01	6.0500e-01	4.6365e+00	1.6932e+00	7	2.6821e+01	138	2.6099e-01	22	2.2541e+01	88	9.7598e-01	4.1096e-07	6.9600e-01	1.3930e+00	1.1402e-01	6.2147e-02	["no_exp_lof"]	2	nonsense_mediated_decay	chr9	207	4
STXBP1	ENSG00000136854	ENST00000637521	false	false	8	7.9228e+01	398	1.0097e-01	8.8314e-07	1.0000e+00	8.8791e-23	2.5811e-13	5	7.5757e+01	380	6.6001e-02	8.2187e-07	1.0000e+00	1.1261e-23	3.5157e-14	3.3000e-02	1.3900e-01	NA	NA	8.1294e+00	6.8879e+00	344	8.0124e+02	3821	4.2933e-01	5.0697e-06	3.9200e-01	4.6900e-01	1.6153e+01	5.8992e+00	81	2.9705e+02	1458	2.7269e-01	246	2.9821e+02	1084	8.2491e-01	1.7702e-06	7.4300e-01	9.1700e-01	3.0236e+00	1.6480e+00	[]	2	protein_coding	chr9	1767	18
STXBP1	ENSG00000136854	ENST00000637953	false	false	3	7.7017e+01	387	3.8952e-02	8.6263e-07	1.0000e+00	1.9491e-25	1.6861e-15	2	7.5847e+01	381	2.6369e-02	8.4195e-07	1.0000e+00	9.2963e-26	8.4702e-16	1.0000e-02	8.3000e-02	NA	NA	8.4794e+00	7.1845e+00	331	7.6925e+02	3652	4.3029e-01	4.8552e-06	3.9200e-01	4.7100e-01	1.5801e+01	5.7705e+00	91	2.7729e+02	1343	3.2817e-01	242	2.8724e+02	1038	8.4251e-01	1.7946e-06	7.5800e-01	9.3700e-01	2.6692e+00	1.4548e+00	[]	2	protein_coding	chr9	1731	19
STXBP1	ENSG00000136854	ENST00000647107	false	false	5	7.5988e+01	379	6.5799e-02	8.2080e-07	1.0000e+00	1.0283e-23	3.2769e-14	5	7.5988e+01	379	6.5799e-02	8.2080e-07	1.0000e+00	9.3722e-24	3.1321e-14	3.3000e-02	1.3800e-01	NA	NA	8.1436e+00	6.8999e+00	321	7.6371e+02	3633	4.2032e-01	5.1011e-06	3.8300e-01	4.6100e-01	1.6020e+01	5.8503e+00	97	2.7998e+02	1366	3.4645e-01	235	2.8675e+02	1035	8.1954e-01	1.7671e-06	7.3600e-01	9.1300e-01	3.0559e+00	1.6656e+00	[]	2	protein_coding	chr9	1739	19
STXBP1	ENSG00000136854	ENST00000650920	false	false	8	7.9978e+01	402	1.0003e-01	8.8314e-07	1.0000e+00	4.9006e-23	1.7757e-13	5	7.5757e+01	380	6.6001e-02	8.2187e-07	1.0000e+00	1.1261e-23	3.5157e-14	3.3000e-02	1.3900e-01	NA	NA	8.1294e+00	6.8879e+00	344	8.0124e+02	3821	4.2933e-01	5.0697e-06	3.9200e-01	4.6900e-01	1.6153e+01	5.8992e+00	81	2.9705e+02	1458	2.7269e-01	246	2.9821e+02	1084	8.2491e-01	1.7702e-06	7.4300e-01	9.1700e-01	3.0236e+00	1.6480e+00	[]	2	protein_coding	chr9	1767	18
