tissue	marker	gene_id	gene_name	seq	start	counts_by_sample
Brain	SNAP25	AMEX60DD035766	SNAP25	chr4q	663341448	531,1316,428,395,848,778,429,416,724,244,556,961,479,239,539
Brain	SNAP25	AMEX60DD035767	SNAP25	chr4q	663357418	567,3729,1046,301,1373,733,1024,382,927,288,590,1610,736,319,895
Brain	DCX	AMEX60DD037111	DCX	chr5p	162074344	799,2514,953,302,1557,1766,855,656,1358,283,1075,1244,1493,623,995
Brain	PLP1	AMEX60DD037780	PLP1	chr5p	613377916	349,859,229,387,587,627,284,359,636,118,521,715,480,279,247
Brain	GAD1	AMEX60DD038559	LOC112109099 [nr]|GAD1 [hs]	chr5p	1069303468	491,867,483,189,1361,434,639,312,598,240,428,563,1231,127,390
Brain	MBP	AMEX60DD039196	MBP.L [nr]|MBP [hs]	chr5q	188094910	1527,2209,1766,565,4332,1043,1921,698,2630,779,1429,2179,2037,2090,1894
Brain	AQP4	AMEX60DD039570	AQP4	chr5q	422205675	407,958,923,314,631,682,456,360,558,139,1533,890,761,189,256
Brain	AQP4	AMEX60DD039700	AQP4	chr5q	529158327	381,846,566,338,1194,866,395,324,566,103,1277,620,686,171,243
Brain	AQP4	AMEX60DD040003	LOC115085484 [nr]|AQP4 [hs]	chr5q	741398682	825,472,174,144,6376,371,252,286,1813,55,550,468,584,155,258
Brain	MAP2	AMEX60DD055368	MAP2	chr9q	316905741	377,972,201,184,508,415,280,312,559,178,305,517,333,249,273
Brain	NEUROD1	AMEX60DD055547	NEUROD1 [nr]	chr9q	396368019	222,703,288,221,405,333,331,268,434,139,346,868,445,121,186
Brain	GAD1	AMEX60DD055654	GAD1	chr9q	454052635	1002,3424,722,502,2311,959,1065,643,1423,486,1254,1348,1706,440,833
Cloaca	PAX8	AMEX60DD001281	PAX8	chr10p	556565328	388,813,277,328,942,765,464,1827,750,241,600,895,1406,315,348
Cloaca	GKN1	AMEX60DD001405	LOC115469338 [nr]|GKN1 [hs]	chr10p	610906342	252,528,338,200,623,484,362,311,581,115,385,532,404,144,212
Cloaca	GKN1	AMEX60DD001407	LOC115469338 [nr]|GKN1 [hs]	chr10p	611242529	386,700,280,260,502,403,366,287,528,164,381,740,401,186,202
Cloaca	GKN1	AMEX60DD001408	LOC115469338 [nr]|GKN1 [hs]	chr10p	611419623	370,394,3456,245,545,377,747,327,573,184,582,819,417,158,318
Cloaca	GKN1	AMEX60DD001409	GKN1.2.L [nr]|GKN1 [hs]	chr10p	611797664	276,420,249,456,581,464,465,315,547,145,358,582,287,185,132
Cloaca	GKN1	AMEX60DD001410	GKN1	chr10p	611843568	334,460,475,340,622,533,962,406,686,164,452,718,340,162,201
Cloaca	GKN1	AMEX60DD001412	LOC115091618 [nr]|GKN1 [hs]	chr10p	612025068	291,402,880,276,435,355,328,288,503,134,358,535,357,104,139
Cloaca	GKN1	AMEX60DD001414	AB205_0084520 [nr]|GKN1 [hs]	chr10p	612398731	522,497,440,268,998,1763,374,415,730,295,632,644,752,130,265
Cloaca	CLDN18	AMEX60DD002375	CLDN18.S [nr]|CLDN18 [hs]	chr10q	83869827	408,415,3425,266,474,409,394,224,586,131,345,598,490,235,177
Cloaca	CHIA	AMEX60DD009134	LOC115074464 [nr]|CHIA [hs]	chr13p	220699783	215,307,1164,196,348,0,211,184,461,165,294,549,158,130,142
Cloaca	CHIA	AMEX60DD009138	CHIA	chr13p	220970766	227,379,1718,245,342,0,262,326,562,208,341,619,325,186,210
Cloaca	CHIA	AMEX60DD009139	CHIA [hs]	chr13p	221020114	281,508,1773,304,631,0,312,312,616,313,595,918,506,332,231
Cloaca	CHIA	AMEX60DD009140	CHIA.S [nr]|CHIA [hs]	chr13p	221021560	281,508,1773,304,631,0,312,312,616,313,595,918,506,332,231
Cloaca	CHIA	AMEX60DD009143	LOC115074467 [nr]|CHIA [hs]	chr13p	221127067	59,93,160,51,84,0,59,85,105,64,84,140,77,46,39
Cloaca	CHIA	AMEX60DD009144	LOC115074467 [nr]|CHIA [hs]	chr13p	221307000	158,207,1062,190,308,0,146,166,362,82,184,399,155,84,115
Cloaca	CHIA	AMEX60DD009148	LOC103271472 [nr]|CHIA [hs]	chr13p	221561735	203,391,245,209,299,0,260,268,469,129,312,2634,296,162,187
Cloaca	CHIA	AMEX60DD009153	CHIT1 [nr]|CHIA [hs]	chr13p	222085414	46,69,44,54,192,0,56,46,129,53,293,125,38,106,49
Cloaca	CHIA	AMEX60DD009154	LOC115074466 [nr]|CHIA [hs]	chr13p	222335618	113,185,107,209,186,0,119,244,278,91,153,1991,143,82,66
Cloaca	KRT19	AMEX60DD010095	LOC108787112 [nr]|KRT19 [hs]	chr13q	301517320	209,355,114,315,337,0,220,190,357,135,330,548,263,96,176
Cloaca	KRT19	AMEX60DD010100	AB205_0156120 [nr]|KRT19 [hs]	chr13q	302406530	2102,912,1982,786,2667,0,1923,549,1535,378,2457,1487,2328,154,2007
Cloaca	MUC1	AMEX60DD014852	MUC1	chr1p	665873972	967,677,2124,527,1128,636,943,828,633,143,1557,2146,3211,203,1162
Cloaca	HOXA13	AMEX60DD021953	HOXA13	chr2p	873462411	2635,740,503,315,1613,1098,691,665,2156,290,1058,913,2358,549,2358
Cloaca	GATA5	AMEX60DD026945	GATA5	chr3p	201935825	1729,1164,4845,300,1179,2695,3491,557,942,475,2167,1389,1076,275,705
Cloaca	KRT18	AMEX60DD029807	KRT18	chr3q	529769361	713,565,1504,328,625,1120,1231,606,783,733,1217,1558,1367,218,1396
Cloaca	KRT8	AMEX60DD029811	K8 [nr]|KRT8 [hs]	chr3q	530644213	153,154,315,42,190,307,295,204,195,118,258,345,363,30,249
Cloaca	EPCAM	AMEX60DD035908	EPCAM.S [nr]|EPCAM [hs]	chr4q	787659558	1205,779,708,288,4250,449,1830,819,2009,268,1365,1176,3197,263,1373
Cloaca	KRT19	AMEX60DD038184	LOC115084509 [nr]|KRT19 [hs]	chr5p	855700851	321,610,156,304,1225,359,370,308,641,229,377,689,394,289,178
Cloaca	KRT19	AMEX60DD038192	LOC115084509 [nr]|KRT19 [hs]	chr5p	856475409	159,215,159,120,946,187,187,154,529,31,231,346,199,149,96
Cloaca	KRT8	AMEX60DD049404	LOC108786844 [nr]|KRT8 [hs]	chr7q	712882450	98,184,75,45,203,111,90,99,160,28,113,97,116,34,31
Cloaca	KRT8	AMEX60DD049406	LOC108786844 [nr]|KRT8 [hs]	chr7q	715321286	100,288,107,68,328,165,98,157,162,26,133,169,161,65,55
Cloaca	KRT18	AMEX60DD050768	LOC102682806 [nr]|KRT18 [hs]	chr8p	209488242	690,696,463,360,1170,725,551,567,655,216,916,939,991,256,424
Cloaca	KRT18	AMEX60DD056257	LOC115474785 [nr]|KRT18 [hs]	chr9q	891029149	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Cloaca	KRT8	AMEX60DD056258	LOC108783876 [nr]|KRT8 [hs]	chr9q	891169248	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
GallBladder	ANXA4	AMEX60DD001400	ANXA4	chr10p	607667826	1492,770,1836,493,3208,1964,2144,1112,1843,1299,2087,1844,2815,1480,2078
GallBladder	CFTR	AMEX60DD006327	CFTR [hs]	chr12p	46958697	322,442,226,473,479,380,762,351,459,133,620,920,467,113,331
GallBladder	CFTR	AMEX60DD006329	CFTR [nr]	chr12p	47869387	223,379,169,282,294,253,422,258,429,149,306,647,285,165,87
GallBladder	KRT19	AMEX60DD010095	LOC108787112 [nr]|KRT19 [hs]	chr13q	301517320	209,355,114,315,337,0,220,190,357,135,330,548,263,96,176
GallBladder	KRT19	AMEX60DD010100	AB205_0156120 [nr]|KRT19 [hs]	chr13q	302406530	2102,912,1982,786,2667,0,1923,549,1535,378,2457,1487,2328,154,2007
GallBladder	MUC1	AMEX60DD014852	MUC1	chr1p	665873972	967,677,2124,527,1128,636,943,828,633,143,1557,2146,3211,203,1162
GallBladder	SLC4A2	AMEX60DD026202	SLC4A2	chr2q	1375756395	372,542,228,414,488,499,369,478,455,149,418,714,875,187,202
GallBladder	KRT18	AMEX60DD029807	KRT18	chr3q	529769361	713,565,1504,328,625,1120,1231,606,783,733,1217,1558,1367,218,1396
GallBladder	KRT8	AMEX60DD029811	K8 [nr]|KRT8 [hs]	chr3q	530644213	153,154,315,42,190,307,295,204,195,118,258,345,363,30,249
GallBladder	SOX9	AMEX60DD031236	SOX9	chr3q	1207722897	2998,3884,5546,926,7068,3906,4688,2744,4510,1016,5506,4642,8502,752,3666
GallBladder	KRT19	AMEX60DD038184	LOC115084509 [nr]|KRT19 [hs]	chr5p	855700851	321,610,156,304,1225,359,370,308,641,229,377,689,394,289,178
GallBladder	KRT19	AMEX60DD038192	LOC115084509 [nr]|KRT19 [hs]	chr5p	856475409	159,215,159,120,946,187,187,154,529,31,231,346,199,149,96
GallBladder	SPP1	AMEX60DD043904	SPP1 [nr]	chr6q	42566462	329,531,340,242,636,556,325,378,601,277,479,1008,711,391,234
GallBladder	SPP1	AMEX60DD043905	SPP1 [nr]	chr6q	42747869	312,407,153,190,378,348,233,277,389,89,263,492,300,182,77
GallBladder	KRT8	AMEX60DD049404	LOC108786844 [nr]|KRT8 [hs]	chr7q	712882450	98,184,75,45,203,111,90,99,160,28,113,97,116,34,31
GallBladder	KRT8	AMEX60DD049406	LOC108786844 [nr]|KRT8 [hs]	chr7q	715321286	100,288,107,68,328,165,98,157,162,26,133,169,161,65,55
GallBladder	KRT18	AMEX60DD050768	LOC102682806 [nr]|KRT18 [hs]	chr8p	209488242	690,696,463,360,1170,725,551,567,655,216,916,939,991,256,424
GallBladder	KRT18	AMEX60DD056257	LOC115474785 [nr]|KRT18 [hs]	chr9q	891029149	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
GallBladder	KRT8	AMEX60DD056258	LOC108783876 [nr]|KRT8 [hs]	chr9q	891169248	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Gill	CFTR	AMEX60DD006327	CFTR [hs]	chr12p	46958697	322,442,226,473,479,380,762,351,459,133,620,920,467,113,331
Gill	CFTR	AMEX60DD006329	CFTR [nr]	chr12p	47869387	223,379,169,282,294,253,422,258,429,149,306,647,285,165,87
Gill	MPEG1	AMEX60DD007152	LOC115074683 [nr]|MPEG1 [hs]	chr12q	192827006	75,41,32,29,207,0,73,60,127,32,85,53,193,39,54
Gill	MPEG1	AMEX60DD007158	LOC115074683 [nr]|MPEG1 [hs]	chr12q	194723859	714,235,666,102,1462,0,737,300,922,346,744,387,1235,257,625
Gill	MPEG1	AMEX60DD007219	MPEG1	chr12q	214910239	153,84,46,46,1104,0,115,55,519,35,126,145,72,44,150
Gill	MPEG1	AMEX60DD007220	MPEG1	chr12q	215067930	283,407,166,202,628,0,377,270,801,310,341,545,313,1101,235
Gill	KRT19	AMEX60DD010095	LOC108787112 [nr]|KRT19 [hs]	chr13q	301517320	209,355,114,315,337,0,220,190,357,135,330,548,263,96,176
Gill	KRT19	AMEX60DD010100	AB205_0156120 [nr]|KRT19 [hs]	chr13q	302406530	2102,912,1982,786,2667,0,1923,549,1535,378,2457,1487,2328,154,2007
Gill	SLC12A2	AMEX60DD014607	LOC102360278 [nr]|SLC12A2 [hs]	chr1p	582693819	226,291,78,126,273,246,144,204,243,92,265,330,226,105,150
Gill	SLC12A2	AMEX60DD014608	SLC12A2	chr1p	583477934	703,1930,496,361,1160,972,686,705,1064,214,935,1182,1192,391,394
Gill	FCGBP	AMEX60DD015999	LOC113122824 [nr]|FCGBP [hs]	chr1p	1111194340	264,463,138,228,442,335,162,220,435,155,325,493,244,171,143
Gill	FCGBP	AMEX60DD016003	LOC115640043 [nr]|FCGBP [hs]	chr1p	1112719410	336,458,162,258,481,430,180,321,566,87,357,734,405,195,117
Gill	FCGBP	AMEX60DD016007	LOC114022472 [nr]|FCGBP [hs]	chr1p	1113742162	342,551,193,197,437,583,216,296,522,144,429,496,673,204,79
Gill	FCGBP	AMEX60DD016011	LOC115075650 [nr]|FCGBP [hs]	chr1p	1114275269	232,370,128,225,347,341,214,530,329,79,349,409,9342,142,87
Gill	FCGBP	AMEX60DD016028	LOC101942353 [nr]|FCGBP [hs]	chr1p	1118163944	121,237,95,145,339,393,163,157,211,79,336,372,147,72,91
Gill	FCGBP	AMEX60DD016029	LOC108697889 [nr]|FCGBP [hs]	chr1p	1118191235	309,463,209,384,731,647,354,319,394,216,592,757,225,119,178
Gill	FCGBP	AMEX60DD016030	LOC115640043 [nr]|FCGBP [hs]	chr1p	1118234516	205,285,268,333,515,418,393,319,282,176,451,859,335,69,263
Gill	FCGBP	AMEX60DD016031	LOC115075650 [nr]|FCGBP [hs]	chr1p	1119221449	565,630,1964,398,2716,690,1593,512,840,376,843,1356,642,135,1815
Gill	FCGBP	AMEX60DD016032	LOC115476928 [nr]|FCGBP [hs]	chr1p	1119572694	232,271,97,173,1997,249,102,144,335,88,234,392,197,82,135
Gill	FCGBP	AMEX60DD016033	LOC115476807 [nr]|FCGBP [hs]	chr1p	1121062995	925,615,210,250,5025,460,185,331,967,100,411,566,310,288,254
Gill	FCGBP	AMEX60DD016122	LOC102944485 [nr]|FCGBP [hs]	chr1p	1149248347	212,360,186,204,301,413,336,183,377,118,256,970,206,122,146
Gill	FCGBP	AMEX60DD016125	LOC101950624 [nr]|FCGBP [hs]	chr1p	1149420057	270,474,145,198,421,455,226,274,534,140,355,610,260,214,83
Gill	FOXJ1	AMEX60DD020274	LOC102358567 [nr]|FOXJ1 [hs]	chr2p	44960205	260,416,123,326,366,216,149,196,395,137,230,583,227,147,131
Gill	FCGBP	AMEX60DD023254	FCGBP [hs]	chr2q	57354501	415,521,287,392,552,587,329,387,581,314,535,1296,404,386,152
Gill	KRT18	AMEX60DD029807	KRT18	chr3q	529769361	713,565,1504,328,625,1120,1231,606,783,733,1217,1558,1367,218,1396
Gill	KRT8	AMEX60DD029811	K8 [nr]|KRT8 [hs]	chr3q	530644213	153,154,315,42,190,307,295,204,195,118,258,345,363,30,249
Gill	FOXJ1	AMEX60DD030832	FOXJ1	chr3q	1009763604	1024,845,413,672,1347,611,1629,1495,819,467,1038,1353,1055,267,883
Gill	EPCAM	AMEX60DD035908	EPCAM.S [nr]|EPCAM [hs]	chr4q	787659558	1205,779,708,288,4250,449,1830,819,2009,268,1365,1176,3197,263,1373
Gill	KRT19	AMEX60DD038184	LOC115084509 [nr]|KRT19 [hs]	chr5p	855700851	321,610,156,304,1225,359,370,308,641,229,377,689,394,289,178
Gill	KRT19	AMEX60DD038192	LOC115084509 [nr]|KRT19 [hs]	chr5p	856475409	159,215,159,120,946,187,187,154,529,31,231,346,199,149,96
Gill	AQP4	AMEX60DD039570	AQP4	chr5q	422205675	407,958,923,314,631,682,456,360,558,139,1533,890,761,189,256
Gill	AQP4	AMEX60DD039700	AQP4	chr5q	529158327	381,846,566,338,1194,866,395,324,566,103,1277,620,686,171,243
Gill	AQP4	AMEX60DD040003	LOC115085484 [nr]|AQP4 [hs]	chr5q	741398682	825,472,174,144,6376,371,252,286,1813,55,550,468,584,155,258
Gill	SLC12A2	AMEX60DD042919	SLC12A2.L [nr]|SLC12A2 [hs]	chr6p	947701064	2135,3845,2730,638,5834,4262,2737,1575,3731,1283,4384,2708,4285,3575,2328
Gill	SLC12A2	AMEX60DD042920	SLC12A2 [hs]	chr6p	947914167	315,945,308,438,744,477,389,410,780,197,592,662,480,311,245
Gill	SLC12A2	AMEX60DD042921	NKCC1 [nr]|SLC12A2 [hs]	chr6p	947996831	361,930,364,273,991,599,410,399,819,195,509,629,486,252,190
Gill	KRT8	AMEX60DD049404	LOC108786844 [nr]|KRT8 [hs]	chr7q	712882450	98,184,75,45,203,111,90,99,160,28,113,97,116,34,31
Gill	KRT8	AMEX60DD049406	LOC108786844 [nr]|KRT8 [hs]	chr7q	715321286	100,288,107,68,328,165,98,157,162,26,133,169,161,65,55
Gill	KRT18	AMEX60DD050768	LOC102682806 [nr]|KRT18 [hs]	chr8p	209488242	690,696,463,360,1170,725,551,567,655,216,916,939,991,256,424
Gill	KRT18	AMEX60DD056257	LOC115474785 [nr]|KRT18 [hs]	chr9q	891029149	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Gill	KRT8	AMEX60DD056258	LOC108783876 [nr]|KRT8 [hs]	chr9q	891169248	1529,1633,1976,541,4028,1366,1444,1389,1696,467,2224,1456,4540,830,1523
Heart	ACTC1	AMEX60DD001068	NUP133 [nr]|ACTC1 [hs]	chr10p	452218744	563,853,403,298,1069,819,620,575,1023,380,747,1040,1013,658,497
Heart	ACTC1	AMEX60DD001069	NUP133 [nr]|ACTC1 [hs]	chr10p	452226941	648,907,537,298,1098,863,591,577,1094,317,868,1036,1150,561,545
Heart	LRRC10	AMEX60DD006511	LRRC10	chr12p	145618315	324,373,257,206,406,2000,340,277,445,166,298,552,291,159,211
Heart	TNNT2	AMEX60DD008609	TNNT2	chr13p	64949164	475,325,347,226,503,0,258,310,423,120,648,569,430,121,491
Heart	MYH6	AMEX60DD009525	LOC115458003 [nr]|MYH6 [hs]	chr13q	72204986	253,550,129,259,382,0,154,229,466,144,277,424,285,132,147
Heart	ACTC1	AMEX60DD012164	NUP133 [nr]|ACTC1 [hs]	chr14q	378642882	383,687,676,362,1044,0,940,391,932,213,807,906,430,338,793
Heart	TNNI3	AMEX60DD017438	TNNI3	chr1q	219818509	286,615,504,297,638,2626,421,396,563,184,407,604,393,210,499
Heart	MYL3	AMEX60DD020542	MYL3 [nr]	chr2p	166371964	352,599,270,199,581,2621,256,359,671,144,388,536,350,163,486
Heart	MYH7	AMEX60DD021093	LOC111671084 [nr]|MYH7 [hs]	chr2p	422551739	233,306,150,210,329,352,192,262,321,120,296,498,246,141,135
Heart	MYH7	AMEX60DD021099	MYH7 [hs]	chr2p	422860880	299,375,126,195,459,364,230,317,512,125,391,517,317,190,136
Heart	MYH7	AMEX60DD021105	LOC111671084 [nr]|MYH7 [hs]	chr2p	423078816	308,298,140,130,337,289,142,222,417,100,255,528,312,185,105
Heart	MYH7	AMEX60DD021106	LOC114787060 [nr]|MYH7 [hs]	chr2p	423416870	146,191,61,167,161,168,112,159,221,77,150,242,196,47,77
Heart	TTN	AMEX60DD024607	TTN [nr]	chr2q	769692292	283,413,133,234,371,342,259,334,420,151,327,588,242,196,94
Heart	CKM	AMEX60DD024851	CKM	chr2q	882848057	365,596,284,356,1085,2602,363,327,964,210,482,614,387,173,223
Heart	ACTC1	AMEX60DD025304	NUP133 [nr]|ACTC1 [hs]	chr2q	1052522524	367,853,269,352,894,2526,440,433,770,235,606,821,424,298,381
Heart	GATA5	AMEX60DD026945	GATA5	chr3p	201935825	1729,1164,4845,300,1179,2695,3491,557,942,475,2167,1389,1076,275,705
Heart	NKX2-5	AMEX60DD028732	NKX2-5	chr3q	83984189	252,473,191,188,597,2497,354,225,543,96,332,612,165,154,156
Heart	MYH6	AMEX60DD030549	MYHC [nr]|MYH6 [hs]	chr3q	876764324	536,780,298,313,894,735,464,530,863,263,665,945,485,351,237
Heart	MYH7	AMEX60DD030551	MYH7 [nr]|MYH8 [hs]	chr3q	877065196	280,468,160,161,567,451,285,344,639,107,341,614,323,211,187
Heart	MYH7	AMEX60DD030552	MYH7 [nr]|MYH2 [hs]	chr3q	877406864	435,651,403,363,797,708,726,462,857,205,515,886,565,323,330
Heart	GATA4	AMEX60DD032827	GATA4	chr4p	177662937	1762,1056,3356,374,1628,8657,3331,699,1299,2408,1424,4264,1084,437,567
Heart	ACTC1	AMEX60DD034544	NUP133 [nr]|ACTC1 [hs]	chr4p	1172789186	348,716,420,240,866,990,797,593,976,355,571,920,774,175,500
Heart	TTN	AMEX60DD055563	LOC108701391 [nr]|TTN [hs]	chr9q	404649780	134,196,73,125,298,979,173,94,292,70,117,272,140,40,112
Heart	TTN	AMEX60DD055565	TTN	chr9q	404752660	389,541,219,230,776,2085,336,361,904,164,473,717,478,260,188
Heart	TTN	AMEX60DD055566	TTN	chr9q	404755619	389,541,219,230,776,2085,336,361,904,164,473,717,478,260,188
Heart	TTN	AMEX60DD055567	TTN [hs]	chr9q	404761452	413,522,198,187,732,2041,325,384,832,129,448,630,510,262,205
Heart	TTN	AMEX60DD055568	TTN	chr9q	404800986	332,403,164,206,570,1553,225,239,698,139,435,539,353,185,177
Heart	TTN	AMEX60DD055569	TTN	chr9q	404876516	463,521,172,267,758,2368,325,392,932,140,407,690,433,215,184
Heart	TTN	AMEX60DD055570	TTN	chr9q	404929952	273,403,183,222,573,1728,272,321,806,92,390,558,450,224,195
Intestine	ALPI	AMEX60DD003064	LOC101938013 [nr]|ALPI [hs]	chr10q	454550435	573,610,1369,410,1358,751,1179,442,949,394,1250,920,897,411,1391
Intestine	ALPI	AMEX60DD003065	LOC115479234 [nr]|ALPI [hs]	chr10q	454854518	292,552,332,292,563,474,2583,282,497,344,419,691,364,218,296
Intestine	MUC2	AMEX60DD004438	MUC2	chr11q	210581602	312,550,205,330,488,387,812,344,485,106,572,528,379,126,1918
Intestine	MUC2	AMEX60DD004439	MUC2	chr11q	210763926	192,275,108,249,269,275,392,146,277,121,176,380,199,92,1212
Intestine	MUC2	AMEX60DD004449	LOC102075266 [nr]|MUC2 [hs]	chr11q	213953307	355,518,149,212,444,451,191,250,514,90,370,517,289,173,148
Intestine	MUC2	AMEX60DD004465	LOC115079411 [nr]|MUC2 [hs]	chr11q	217819667	236,446,171,391,354,389,224,314,446,130,329,491,242,171,156
Intestine	MUC2	AMEX60DD004470	LOC115469672 [nr]|MUC2 [hs]	chr11q	221121737	393,523,325,205,929,689,368,389,639,241,805,541,373,474,335
Intestine	MUC2	AMEX60DD004489	LOC115079098 [nr]|MUC2 [hs]	chr11q	228634613	216,222,151,124,208,219,132,177,334,61,200,290,165,67,81
Intestine	ACE	AMEX60DD009707	ACE [nr]	chr13q	149868120	46,89,64,41,55,0,400,87,60,22,46,95,34,34,22
Intestine	ACE	AMEX60DD009729	ACE [nr]|DCP1 [hs]	chr13q	160830666	206,464,214,307,394,0,1660,581,509,226,462,512,234,264,144
Intestine	APOA4	AMEX60DD018142	LOC114667284 [nr]|APOA4 [hs]	chr1q	536205589	276,544,177,294,322,321,2538,778,476,188,330,611,289,209,258
Intestine	VIL1	AMEX60DD021285	VILL [nr]|VIL1 [hs]	chr2p	512211516	472,527,255,315,1072,367,318,479,664,165,509,829,803,154,359
Intestine	VIL1	AMEX60DD021287	VILL [nr]|VIL1 [hs]	chr2p	512689706	1845,1490,1382,603,5256,1109,911,1269,2235,273,1711,1712,3045,374,1429
Intestine	CDX2	AMEX60DD030142	CDX1 [nr]|CDX2 [hs]	chr3q	670518168	310,674,355,263,693,479,2481,295,623,167,395,699,453,185,1841
Intestine	APOB	AMEX60DD033071	APOB	chr4p	293580321	376,523,333,270,495,459,2728,1008,394,845,441,508,760,195,385
