chrom	size	rows	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
chr5p_1	426831707	38687	11321380.0	18846300.0	8072431.0	8798060.0	18299397.0	15497506.0	11249993.0	11748345.0	18731900.0	6288432.0	14831976.0	22875417.0	16666187.0	8983941.0	7105057.0
chr5p_2	426831706	38090	10541878.0	17837704.0	7078801.0	8287831.0	15563817.0	14210521.0	9833113.0	10805831.0	16654679.0	5267478.0	12973902.0	20324350.0	14313344.0	7001768.0	6284202.0
chr5p_3	426831596	37982	10914139.0	18040813.0	8642734.0	9111597.0	16362760.0	20609586.0	17638933.0	13309341.0	17090322.0	12952240.0	13139808.0	22042798.0	13274860.0	6411195.0	8774061.0
chr5q_1	428774587	37872	9745580.0	17380495.0	6568245.0	8555329.0	13781860.0	12565401.0	8942680.0	10142891.0	15631572.0	5108500.0	11614502.0	19358715.0	13421832.0	6260350.0	6067269.0
chr5q_2	429974533	38718	10918828.0	19075722.0	7195295.0	8623074.0	16546775.0	14415960.0	10421346.0	11307541.0	17628510.0	5540472.0	13297479.0	21327902.0	14702432.0	7485532.0	6790971.0
chr5q_3	427574494	39387	11886787.0	19923775.0	8436996.0	9450656.0	19608865.0	15843326.0	12196205.0	13079096.0	19721396.0	6931633.0	15426666.0	24642900.0	17524276.0	9450659.0	7858541.0
chr6p_1	487648000	43706	13319950.0	21786292.0	9697348.0	10006923.0	21756586.0	19444271.0	14906241.0	14818003.0	21989288.0	8607165.0	17785108.0	27066376.0	19711149.0	10628056.0	9179226.0
chr6p_2	487340720	44447	12652549.0	20710468.0	8653251.0	10117872.0	19234255.0	16613191.0	12417236.0	13316903.0	20749788.0	6762519.0	15859033.0	25056854.0	17103706.0	8948696.0	8071552.0
chr6p_3	488454265	44854	12115870.0	20419162.0	8258538.0	10440863.0	18302913.0	16322150.0	11804149.0	12828361.0	19993476.0	6606537.0	15061660.0	24203625.0	16982548.0	7811428.0	7996406.0
chr6q_1	406754180	36430	9385769.0	16252505.0	6425594.0	8349775.0	13789180.0	12747314.0	9125811.0	10007746.0	15206350.0	5120367.0	11297930.0	18690759.0	12625727.0	5974768.0	6075043.0
chr6q_2	406754180	36322	9932946.0	17350689.0	6659569.0	8284454.0	14470609.0	13216015.0	9521529.0	10653987.0	16184775.0	5086240.0	12206463.0	19692818.0	13157205.0	6380579.0	5943685.0
chr6q_3	406426200	37021	10489172.0	17610026.0	7205930.0	8131519.0	16432217.0	14215672.0	10350179.0	11345325.0	17381108.0	5417767.0	13621781.0	21041057.0	14654811.0	7441625.0	6453921.0
chr6q_4	407082068	36278	10684155.0	18206049.0	7561890.0	8043400.0	17762459.0	14632887.0	11126689.0	12202661.0	17937461.0	6206044.0	14371745.0	21304156.0	15898730.0	8902746.0	7031937.0
chr7p_1	454816000	42183	12610056.0	21319970.0	8916335.0	10043473.0	20007390.0	17269091.0	13414599.0	13616339.0	20891041.0	7511469.0	15845590.0	25297730.0	17350188.0	9200419.0	8385751.0
chr7p_2	453204774	41773	11492978.0	20156113.0	7612509.0	9644101.0	17004533.0	15409082.0	10788368.0	12268499.0	18346522.0	6173241.0	14063911.0	22809818.0	15666334.0	7700515.0	7183877.0
chr7q_1	361141120	31710	7760089.0	13469424.0	4925361.0	6638623.0	10605721.0	9996136.0	6595407.0	7848658.0	11530817.0	3527130.0	8924535.0	14008318.0	9620550.0	4279368.0	4230068.0
chr7q_2	361125120	31626	8629209.0	15005330.0	5503061.0	6469212.0	12547339.0	10952075.0	7879503.0	9203857.0	14152416.0	4212317.0	10153980.0	15424186.0	11877693.0	5840376.0	4986077.0
chr7q_3	361661018	32942	10011171.0	16662563.0	6375798.0	6836262.0	14605136.0	12214949.0	9096610.0	10753193.0	16442953.0	4855121.0	11950929.0	17807881.0	14159805.0	7667544.0	5570635.0
chr8p_1	373592000	34395	9924569.0	15627679.0	7473432.0	8658480.0	16874737.0	13772198.0	10622923.0	10555207.0	16519688.0	6024738.0	12955441.0	21453274.0	14427278.0	7368450.0	7304439.0
chr8p_2	372325890	33923	9200452.0	15208536.0	6470170.0	8219133.0	14187474.0	12723022.0	9270547.0	9809957.0	15158692.0	5181844.0	11478310.0	19138600.0	12660191.0	6159786.0	6321260.0
chr8q_1	444800000	40685	11252177.0	19537845.0	7647997.0	9453457.0	17004253.0	15133404.0	10830050.0	11738264.0	18101108.0	6027747.0	13794686.0	22612638.0	15034875.0	7242280.0	7420831.0
chr8q_2	441575962	40719	12082192.0	20646388.0	8245793.0	9697187.0	18881376.0	16826812.0	11931665.0	12958337.0	19547970.0	6472296.0	15545667.0	24190782.0	16398240.0	8645313.0	7656618.0
chr9p	455256413	40191	10262879.0	16788259.0	7256630.0	9419294.0	16552249.0	14405733.0	10465445.0	10991399.0	17949129.0	6210709.0	12844228.0	22169054.0	14360999.0	7414808.0	7428752.0
chr9q_1	501319040	46295	13585197.0	22781454.0	9356865.0	11411834.0	21533782.0	18317972.0	14014952.0	14319821.0	22812914.0	7845999.0	16670943.0	27470649.0	18956365.0	9354978.0	9406986.0
chr9q_2	501318953	46003	13836744.0	23976213.0	9229692.0	10211450.0	21654859.0	17917415.0	13570153.0	15056026.0	22820211.0	7271567.0	17455917.0	26346968.0	19368243.0	10356948.0	8536292.0
chr10p_1	360758667	32698	10046358.0	15810307.0	7171475.0	7898872.0	16622153.0	13594137.0	10584536.0	10765442.0	16726225.0	5893332.0	12769327.0	20457663.0	14989200.0	7744738.0	6982372.0
chr10p_2	361398613	33372	9906559.0	15449663.0	6781693.0	7878870.0	15770491.0	13058396.0	9948421.0	10163259.0	16093481.0	5315855.0	12218316.0	19782291.0	13112703.0	6923153.0	6515360.0
chr10p_3	360118621	32876	8971224.0	14338006.0	5796317.0	7470929.0	12982822.0	11522068.0	8326575.0	9162509.0	13967278.0	4497090.0	10768421.0	17406755.0	11455189.0	5717587.0	5289789.0
chr10q	525957290	47530	12859426.0	20047206.0	8647957.0	10816850.0	19530339.0	17086115.0	12479947.0	13223052.0	20489230.0	7010034.0	15782700.0	26078137.0	16923999.0	8778271.0	8123048.0
chr11p	305732125	27932	7312789.0	12184715.0	5707122.0	7144422.0	12177101.0	10312308.0	7815026.0	8260435.0	12828696.0	4716485.0	9615244.0	16590717.0	10984349.0	5564802.0	5606390.0
chr11q_1	360796800	33359	9597968.0	15231450.0	6432929.0	8013100.0	14280247.0	12580619.0	8931869.0	9984361.0	15709872.0	5241066.0	11524808.0	18944834.0	12759272.0	6291828.0	6167944.0
chr11q_2	359030720	32589	9486870.0	15736860.0	6363935.0	7326988.0	14794988.0	12342778.0	8725694.0	9565433.0	15137923.0	4731725.0	11325330.0	18195186.0	12068839.0	6251800.0	5614152.0
chr11q_3	359913741	32817	10048563.0	15731116.0	7182071.0	7774365.0	16689432.0	13568095.0	10127972.0	10725995.0	16657386.0	5821523.0	12762710.0	20809686.0	13814220.0	7564691.0	6770222.0
chr12p	289110169	26437	7162610.0	12120525.0	4992395.0	6116071.0	10974409.0	9707967.0	6643923.0	7586333.0	11515788.0	4121945.0	8853244.0	14733807.0	10360433.0	5004968.0	4634180.0
chr12q_1	428956920	39235	11319431.0	18745820.0	7720965.0	9429283.0	17112863.0	28481.0	10828539.0	12214111.0	18571275.0	6274363.0	13712496.0	22351798.0	15360063.0	7761364.0	7269432.0
chr12q_2	428956802	39401	11618975.0	19125730.0	8241735.0	9225713.0	18767720.0	0.0	11755092.0	12562902.0	18951362.0	6531821.0	14626525.0	24195282.0	15859911.0	8660628.0	7470460.0
chr13p	241817284	21292	5726200.0	9149189.0	4416891.0	5137865.0	9566409.0	0.0	5810589.0	6313379.0	9514230.0	3724516.0	7434361.0	12356776.0	9043243.0	4502275.0	4308633.0
chr13q	483343317	43221	11683919.0	19928468.0	8868050.0	10974771.0	20080763.0	0.0	12758907.0	12859898.0	21034881.0	7669956.0	15126069.0	25298879.0	16170567.0	8545070.0	9130183.0
chr14p	184706515	16523	4359757.0	6836611.0	3324365.0	3983117.0	7070330.0	0.0	4283294.0	4977026.0	7250583.0	2809719.0	5581288.0	9409203.0	6976788.0	3514064.0	3163440.0
chr14q	436437773	39283	10229938.0	16630550.0	7418374.0	9937329.0	16318072.0	0.0	10521787.0	10882866.0	17766767.0	6393706.0	12621190.0	22425207.0	13939557.0	7083886.0	7445068.0
