chr2	88857160	88857683	ENST00000390237.2	100	-	88857360	88857683	2,0,0	1	523,	0,	CDS=88857360:88857683;CDSphase=2;geneID=ENSG00000211592.8;gene_name=IGKC
chr6	73517514	73521373	ENST00000490569.6	100	-	73517514	73521373	0,0,0	7	420,581,151,297,180,174,374,	0,515,1183,1417,1822,2368,3485,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517514	73521840	ENST00000331523.7	100	-	73517809	73520026	0,0,0	8	420,235,257,151,297,180,174,334,	0,515,839,1183,1417,1822,2368,3992,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517514	73521900	ENST00000356303.7	100	-	73517809	73520026	0,0,0	8	420,235,257,151,297,180,174,169,	0,515,839,1183,1417,1822,2368,4217,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73518811	ENST00000679031.1	100	-	73517518	73518811	0,0,0	2	1092,114,	0,1179,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73521031	ENST00000488500.2	100	-	73517518	73521031	0,0,0	7	416,235,257,531,180,174,32,	0,511,835,1179,1818,2364,3481,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73521032	ENST00000491404.2	100	-	73517518	73521032	0,0,0	7	416,235,257,151,297,720,33,	0,511,835,1179,1413,1818,3481,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73523815	ENST00000455918.2	100	-	73517809	73520026	0,0,0	8	416,235,257,151,297,180,174,369,	0,511,835,1179,1413,1818,2364,5928,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73523837	ENST00000677236.1	100	-	73517809	73520026	0,0,0	8	416,235,257,151,297,180,174,113,	0,511,835,1179,1413,1818,2364,6206,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517518	73525587	ENST00000678702.1	100	-	73517809	73520026	0,0,0	8	416,235,257,151,297,180,174,111,	0,511,835,1179,1413,1818,2364,7958,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517520	73521032	ENST00000495333.6	100	-	73517520	73521032	0,0,0	7	414,235,257,151,585,174,33,	0,509,833,1177,1411,2362,3479,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517521	73521032	ENST00000678703.1	100	-	73517809	73520026	0,0,0	8	413,235,257,151,297,171,174,33,	0,508,832,1176,1410,1815,2361,3478,	CDS=73517809:73520026;CDSphase=0;geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73517770	73519760	ENST00000678041.1	100	-	73517770	73519760	0,0,0	5	164,581,151,297,424,	0,259,927,1161,1566,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73518249	73520992	ENST00000677062.1	100	-	73518249	73520992	0,0,0	5	361,151,297,180,1110,	0,448,682,1087,1633,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr6	73519409	73521031	ENST00000678143.1	100	-	73519409	73521031	0,0,0	2	647,670,	0,952,	geneID=ENSG00000156508.19;gene_name=EEF1A1
chr7	5526408	5530601	ENST00000674681.1	100	-	5527747	5529657	0,0,0	6	1483,182,439,240,150,60,	0,1595,1872,2752,3126,4133,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527146	5529949	ENST00000642480.2	100	-	5527747	5529657	0,0,0	5	745,182,439,240,415,	0,857,1134,2014,2388,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527146	5530581	ENST00000676397.1	100	-	5527982	5529657	0,0,0	6	721,217,439,240,129,58,	0,822,1134,2014,2388,3377,	CDS=5527982:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527146	5530604	ENST00000473257.3	100	-	5527747	5529394	0,0,0	5	745,182,439,240,81,	0,857,1134,2014,3377,	CDS=5527747:5529394;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527146	5530604	ENST00000676189.1	100	-	5528625	5529657	0,0,0	6	745,182,427,251,129,81,	0,857,1134,2003,2388,3377,	CDS=5528625:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527146	5530604	ENST00000676319.1	100	-	5527747	5529657	0,0,0	3	637,93,81,	0,2424,3377,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527147	5530601	ENST00000646664.1	100	-	5527747	5529657	0,0,0	6	744,182,439,240,129,78,	0,856,1133,2013,2387,3376,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527150	5528098	ENST00000464611.1	100	-	5527747	5528098	2,0,0	3	461,159,95,	0,582,853,	CDS=5527747:5528098;CDSphase=2;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527151	5530590	ENST00000477812.2	100	-	5527151	5530590	0,0,0	5	740,182,779,503,67,	0,852,1129,2009,3372,	geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527151	5563902	ENST00000675515.1	100	-	5527747	5529657	0,0,0	6	740,182,439,240,129,189,	0,852,1129,2009,2383,36562,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527155	5530601	ENST00000425660.5	100	-	5529044	5529657	0,0,0	7	736,182,439,41,240,129,78,	0,848,1125,1863,2005,2379,3368,	CDS=5529044:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527155	5530601	ENST00000462494.5	100	-	5527155	5530601	0,0,0	5	736,182,1120,129,78,	0,848,1125,2379,3368,	geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527535	5530602	ENST00000493945.6	100	-	5527747	5529657	0,0,0	6	356,182,439,240,199,79,	0,468,745,1625,1999,2988,	CDS=5527747:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5527797	5530627	ENST00000432588.6	100	-	5527982	5529657	0,0,0	5	388,439,240,129,104,	0,483,1363,1737,2726,	CDS=5527982:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5528010	5530597	ENST00000645576.1	100	-	5528010	5529657	0,0,0	5	175,391,240,129,74,	0,270,1150,1524,2513,	CDS=5528010:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5528149	5530604	ENST00000647275.1	100	-	5528149	5528716	0,0,0	3	36,439,81,	0,131,2374,	CDS=5528149:5528716;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5528716	5530601	ENST00000484841.6	100	-	5528716	5530601	0,0,0	5	3,41,240,199,78,	0,302,444,818,1807,	geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5528933	5530600	ENST00000645025.1	100	-	5528933	5530600	0,0,0	4	126,240,129,77,	0,227,601,1590,	geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5529066	5530583	ENST00000480301.1	100	-	5529066	5530583	0,0,0	2	597,60,	0,1457,	geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5529215	5562828	ENST00000443528.5	100	-	5529215	5529657	0,0,0	3	185,129,255,	0,319,33358,	CDS=5529215:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5529234	5529982	ENST00000417101.2	100	-	5529234	5529657	0,0,0	3	166,129,177,	0,300,571,	CDS=5529234:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5529281	5562790	ENST00000414620.1	100	-	5529281	5529657	0,0,0	4	119,129,96,217,	0,253,11394,33292,	CDS=5529281:5529657;CDSphase=0;geneID=ENSG00000075624.17;gene_name=ACTB
chr7	5561851	5562716	ENST00000646584.1	100	-	5561851	5562716	0,0,0	2	98,327,	0,538,	geneID=ENSG00000075624.17;gene_name=ACTB
