0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
MACROD2	THSD7B	SYNE2	SYNE2	FOXP2	DISC1	CDH12	CNGB3	GLUL	KCNMA1	ANKS1B	PLCB1	CNTN1	DOK6	IL1RAPL1	CNTNAP2	RGS7	RGS7	HS6ST3	NRG3	UNC13C	CDH20	SLC4A10	NETO1	UNC13D	NRXN3	SDK1	KIAA1217	ADGRL2	NAV3	GRIK1	DMD
USH2A	USH2A	USH2A	HCN1	KIAA1217	ARMC9	CA10	DST	STAC2	NEBL	DPP10	RALYL	NRG3	ZNF804B	MEG3	MDGA2	FMN2	MACROD2	DSCAM	SNTG1	IQCJ-SCHIP1	ZPBP	CSMD3	LRP1B	AC002467.1	DGKI	KCNMA1	TMTC2	SPOCK3	PRKG1	PLCB4	CNKSR2
GPC6	CNGB1	PDE6G	PDE6G	NAV2	USH2A	CADPS	PRELID2	AKAP12	NRG3	CADPS	MEG8	STXBP5L	ADGRL2	SYNPR	DAB1	NAV3	RYR2	GRIA4	SAMSN1	SAMSN1	KIRREL3	DOK6	CDH20	NXPH2	SLIT2	PHACTR1	CDH12	CADPS	KIAA1217	SGCD	GPC6
HCN1	SAG	SAG	SAG	DACH1	IMPG2	AL033504.1	MSR1	WIF1	KHDRBS2	NRG1	RYR2	NRXN3	PTPRG	FRMD5	CTNND2	SNTG2	CADPS	DLGAP1	ADARB2	PTPRD	NEBL	GRM7	SLIT2	AC006445.3	LSAMP	FAM155A	UNC13C	PTPRM	GLUL	NTNG1	PPEF2
SAG	PTPN13	GPC6	GPC6	KAZN	HCN1	RGS7	AC011586.2	FOXP2	TAFA4	RIMS1	ATRNL1	SLC24A2	NCKAP5	GRM8	MYT1L	ZEB2	PRKCA	LSAMP	IQCJ-SCHIP1	KCNMA1	CNTNAP5	SAMSN1	GALNT13	PCDH15	NETO1	RGS7	ROBO2	PTPRD	FOXP2	NRG3	AC044810.2
PDE6G	TMEM108	TMEM108	USH2A	ADGRL3	LDLRAD4	DAB1	LINC02343	KIAA1217	NCKAP5	DST	CNTNAP2	PDE1C	FRMD3	CTNND2	TFAP2B	FAM155A	MTUS2	DTNA	CNTNAP2	DST	DST	ADGRB3	GRM5	NXPH1	DST	NFIA	SAMSN1	TRPM1	GPX3	CA10	TTC39C
AC044810.2	AC044810.2	DISC1	RP1	SPOCK1	GPC6	TRPM1	ARR3	GABRG3-AS1	UNC13C	NEBL	RBFOX1	PCDH15	PCDH9	SNTG1	ASIC2	NRG1	DOK6	DAB1	CADPS	EYS	NRG1	NETO1	SAMSN1	GRIK1	KCNIP4	DPP6	DOK6	CTNNA2	CTNNA2	PDZRN4	SYNE2
TMEM108	GPC6	AC044810.2	TMEM108	HKDC1	ARHGAP10	ROBO2	PRR16	GPM6A	NETO1	CNTNAP2	PRKG1	IQCJ-SCHIP1	CDH20	NRXN1	LHFPL6	GRIP1	EDIL3	ANKS1B	ZNF804A	SLC4A10	RIMS1	ASIC2	MACROD2	IL17B	ADGRB3	LSAMP	MDGA2	RASGEF1B	DACH1	DOK6	MPP4
DISC1	DISC1	PRPH2	AC044810.2	RLBP1	THSD7B	MTUS2	LDLRAD4	MYO3A	DOK6	TAFA4	EBF1	MACROD2	MCC	CNTNAP2	NRXN1	NEBL	ROBO2	TENM2	AL358335.2	PLOD2	GABRB3	CNTN4	UNC5D	IL17D	KCNB2	AC073050.1	MCC	NETO1	SLC1A3	ZNF804A	ARMC9
TTC39C	TTC39C	PTPN13	PPEF2	GABRG3-AS1	PRELID2	EDIL3	GRK7	PIP5K1B	CNTN1	PLCB4	GRIA4	EPB41L3	GABRR2	XKR4	FRMD5	DOCK10	AL033504.1	ZFPM2	TRPM1	GRM5	CSMD3	DGKB	KHDRBS2	AC068774.1	TENM3	PLCL1	HS3ST4	LRRC4C	TRDN	NXPH1	USH2A
