NCBI GeneID	Gene Type	Common Name	Description	Symbol	Synonyms	Taxonomic ID	Taxonomic Name
100222391	PROTEIN_CODING	zebra finch	sonic hedgehog signaling molecule	SHH		59729	Taeniopygia guttata
113649169	PROTEIN_CODING	yellow catfish	sonic hedgehog signaling molecule a	shha	shh	1234273	Tachysurus fulvidraco
122159619	PROTEIN_CODING	Greater sage-grouse	sonic hedgehog signaling molecule	SHH		9002	Centrocercus urophasianus
133276836	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		889875	Pezoporus flaviventris
102062749	PROTEIN_CODING	white-throated sparrow	sonic hedgehog signaling molecule	SHH		44394	Zonotrichia albicollis
121932871	PROTEIN_CODING	fence lizard	sonic hedgehog signaling molecule	SHH		8520	Sceloporus undulatus
146275032	PROTEIN_CODING	Japanese smelt	sonic hedgehog signaling molecule a	shha		182223	Hypomesus nipponensis
101606922	PROTEIN_CODING	lesser Egyptian jerboa	sonic hedgehog signaling molecule	Shh		51337	Jaculus jaculus
109306891	PROTEIN_CODING	Australian saltwater crocodile	sonic hedgehog signaling molecule	SHH		8502	Crocodylus porosus
141265079	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		111132	Phyllobates terribilis
308682203	PROTEIN_CODING	rudd	sonic hedgehog signaling molecule a	shha		58319	Scardinius erythrophthalmus
108230333	PROTEIN_CODING	mangrove rivulus	sonic hedgehog signaling molecule a	shha	shh	37003	Kryptolebias marmoratus
113122017	PROTEIN_CODING	zig-zag eel	sonic hedgehog signaling molecule a	shha	shh	205130	Mastacembelus armatus
104926923	PROTEIN_CODING	large yellow croaker	sonic hedgehog signaling molecule a	shha	shh	215358	Larimichthys crocea
114453176	PROTEIN_CODING	Indian glassy fish	sonic hedgehog signaling molecule a	shha	shh	210632	Parambassis ranga
101622073	PROTEIN_CODING	star-nosed mole	sonic hedgehog signaling molecule	SHH		143302	Condylura cristata
144040001	PROTEIN_CODING	mother-of-pearl pipefish	sonic hedgehog signaling molecule a	shha		642989	Vanacampus margaritifer
116965616	PROTEIN_CODING	common barn owl	sonic hedgehog signaling molecule	SHH		56313	Tyto alba
118098283	PROTEIN_CODING	Pacific halibut	sonic hedgehog signaling molecule a	shha		195615	Hippoglossus stenolepis
117508530	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		390379	Thalassophryne amazonica
129040701	PROTEIN_CODING	Bornean orangutan	sonic hedgehog signaling molecule	SHH		9600	Pongo pygmaeus
127482519	PROTEIN_CODING	White-collared manakin	sonic hedgehog signaling molecule	SHH		415023	Manacus candei
129680913	PROTEIN_CODING	fat sand rat	sonic hedgehog signaling molecule	Shh		48139	Psammomys obesus
141807417	PROTEIN_CODING	threespot wrasse	sonic hedgehog signaling molecule a	shha		147232	Halichoeres trimaculatus
109629475	PROTEIN_CODING	Japanese flounder	sonic hedgehog signaling molecule a	shha	shh	8255	Paralichthys olivaceus
103188357	PROTEIN_CODING	elephant shark	sonic hedgehog signaling molecule a	shha	shh	7868	Callorhinchus milii
110170075	PROTEIN_CODING	great blue-spotted mudskipper	sonic hedgehog signaling molecule a	shha	shh	150288	Boleophthalmus pectinirostris
131472862	PROTEIN_CODING	common sole	sonic hedgehog signaling molecule a	shha		90069	Solea solea
309514981	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		140051	Podarcis vaucheri
306905581	PROTEIN_CODING	stone loach	sonic hedgehog signaling molecule a	shha		135647	Barbatula barbatula
108785020	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		125878	Nanorana parkeri
112308317	PROTEIN_CODING	common vampire bat	sonic hedgehog signaling molecule	SHH		9430	Desmodus rotundus
113596760	PROTEIN_CODING	cheetah	sonic hedgehog signaling molecule	SHH		32536	Acinonyx jubatus
130376869	PROTEIN_CODING	walleye pollock	sonic hedgehog signaling molecule a	shha		1042646	Gadus chalcogrammus
101327467	PROTEIN_CODING	common bottlenose dolphin	sonic hedgehog signaling molecule	SHH		9739	Tursiops truncatus
127045060	PROTEIN_CODING	Mexican gopher tortoise	sonic hedgehog signaling molecule	SHH		286002	Gopherus flavomarginatus
133625510	PROTEIN_CODING	speckled mousebird	sonic hedgehog signaling molecule	SHH		57412	Colius striatus
144610594	PROTEIN_CODING	white-bellied softnose skate	sonic hedgehog signaling molecule a	shha		667116	Rhinoraja longicauda
103456900	PROTEIN_CODING	guppy	sonic hedgehog signaling molecule a	shha	shh	8081	Poecilia reticulata
105019360	PROTEIN_CODING	northern pike	sonic hedgehog signaling molecule a	shha	shh	8010	Esox lucius
115339789	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		223781	Aquila chrysaetos chrysaetos
121488899	PROTEIN_CODING	Arctic fox	sonic hedgehog signaling molecule	SHH		494514	Vulpes lagopus
121688770	PROTEIN_CODING	American shad	sonic hedgehog signaling molecule a	shha		34773	Alosa sapidissima
101034605	PROTEIN_CODING	Bolivian squirrel monkey	sonic hedgehog signaling molecule	SHH		27679	Saimiri boliviensis
121628499	PROTEIN_CODING	Boeseman's rainbowfish	sonic hedgehog signaling molecule a	shha		1250792	Melanotaenia boesemani
124991984	PROTEIN_CODING	gray squirrel	sonic hedgehog signaling molecule	Shh		30640	Sciurus carolinensis
311039303	PROTEIN_CODING	minispotted lanternfish	sonic hedgehog signaling molecule a	shha		1090481	Gymnoscopelus microlampas
114853419	PROTEIN_CODING	Siamese fighting fish	sonic hedgehog signaling molecule a	shha	shh	158456	Betta splendens
118374086	PROTEIN_CODING	chum salmon	sonic hedgehog signaling molecule a	shha		8018	Oncorhynchus keta
130484868	PROTEIN_CODING	tarantolino	sonic hedgehog signaling molecule	SHH		460621	Euleptes europaea
132015525	PROTEIN_CODING	black-footed ferret	sonic hedgehog signaling molecule	SHH		77151	Mustela nigripes
311288487	PROTEIN_CODING	roach minnow	sonic hedgehog signaling molecule a	shha		48668	Rutilus rutilus
119039271	PROTEIN_CODING	Jamaican fruit-eating bat	sonic hedgehog signaling molecule	SHH		9417	Artibeus jamaicensis
109252339	PROTEIN_CODING	leopard	sonic hedgehog signaling molecule	SHH		9691	Panthera pardus
117264422	PROTEIN_CODING	giant grouper	sonic hedgehog signaling molecule a	shha		310571	Epinephelus lanceolatus
125081422	PROTEIN_CODING	Eurasian river otter	sonic hedgehog signaling molecule	SHH		9657	Lutra lutra
122824116	PROTEIN_CODING	western mosquitofish	sonic hedgehog signaling molecule a	shha		33528	Gambusia affinis
131962049	PROTEIN_CODING	black sea bass	sonic hedgehog signaling molecule a	shha		184440	Centropristis striata
307026533	PROTEIN_CODING	marbled rockcod	sonic hedgehog signaling molecule a	shha		101497	Notothenia rossii
310790609	PROTEIN_CODING	crested bigscale	sonic hedgehog signaling molecule a	shha		88708	Poromitra crassiceps
134311275	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		2290929	Trichomycterus rosablanca
395615	PROTEIN_CODING	chicken	sonic hedgehog	SHH	ShhNC	9031	Gallus gallus
140561802	PROTEIN_CODING	dorado	sonic hedgehog signaling molecule a	shha		930266	Salminus brasiliensis
133127086	PROTEIN_CODING	European conger	sonic hedgehog signaling molecule a	shha		82655	Conger conger
128935633	PROTEIN_CODING	California towhee	sonic hedgehog signaling molecule	SHH		40204	Melozone crissalis
119480802	PROTEIN_CODING	honeycomb rockfish	sonic hedgehog signaling molecule a	shha		72105	Sebastes umbrosus
137768654	PROTEIN_CODING	grey whale	sonic hedgehog signaling molecule	SHH		9764	Eschrichtius robustus
144260760	PROTEIN_CODING	hawksbill sea turtle	sonic hedgehog signaling molecule	SHH		27787	Eretmochelys imbricata
102977789	PROTEIN_CODING	sperm whale	sonic hedgehog signaling molecule	SHH		9755	Physeter macrocephalus
118620273	PROTEIN_CODING	Pallas's mastiff bat	sonic hedgehog signaling molecule	SHH		27622	Molossus molossus
146081083	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		326986	Crinia signifera
130042684	PROTEIN_CODING	smoky shrew	sonic hedgehog signaling molecule	SHH		62283	Sorex fumeus
108267066	PROTEIN_CODING	channel catfish	sonic hedgehog signaling molecule a	shha	shh	7998	Ictalurus punctatus
123788743	PROTEIN_CODING	American black bear	sonic hedgehog signaling molecule	SHH		9643	Ursus americanus
135403830	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		415032	Pseudopipra pipra
310727003	PROTEIN_CODING	Aristotle's catfish	sonic hedgehog signaling molecule a	shha		933932	Silurus aristotelis
115799560	PROTEIN_CODING	flier cichlid	sonic hedgehog signaling molecule a	shha	shh	63155	Archocentrus centrarchus
102780316	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		32507	Neolamprologus brichardi
139649332	PROTEIN_CODING	redfish	sonic hedgehog signaling molecule a	shha		166261	Centroberyx affinis
106520994	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha	shh	52670	Austrofundulus limnaeus
131355466	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		337641	Hemibagrus wyckioides
128150542	PROTEIN_CODING	harpy eagle	sonic hedgehog signaling molecule	SHH		202280	Harpia harpyja
144537246	PROTEIN_CODING	walleye	sonic hedgehog signaling molecule a	shha		283036	Sander vitreus
112395781	PROTEIN_CODING	Yangtze finless porpoise	sonic hedgehog signaling molecule	SHH		1706337	Neophocaena asiaeorientalis asiaeorientalis
127677222	PROTEIN_CODING	European woodmouse	sonic hedgehog signaling molecule	Shh		10129	Apodemus sylvaticus
112967770	PROTEIN_CODING	Okarito brown kiwi	sonic hedgehog signaling molecule	SHH		308060	Apteryx rowi
308125494	PROTEIN_CODING	shanny	sonic hedgehog signaling molecule a	shha		56720	Lipophrys pholis
113029850	PROTEIN_CODING	eastern happy	sonic hedgehog signaling molecule a	shha	shh	8154	Astatotilapia calliptera
147187194	PROTEIN_CODING	long-snouted seahorse	sonic hedgehog signaling molecule a	shha		109282	Hippocampus guttulatus
111857636	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		1676925	Paramormyrops kingsleyae
113162794	PROTEIN_CODING	climbing perch	sonic hedgehog signaling molecule a	shha	shh	64144	Anabas testudineus
116809362	PROTEIN_CODING	silvery gibbon	sonic hedgehog signaling molecule	SHH		81572	Hylobates moloch
134455140	PROTEIN_CODING	European anchovy	sonic hedgehog signaling molecule a	shha		184585	Engraulis encrasicolus
142652991	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		43563	Rhinoderma darwinii
116384922	PROTEIN_CODING	wolf-eel	sonic hedgehog signaling molecule a	shha	shh	433405	Anarrhichthys ocellatus
309666378	PROTEIN_CODING	Fin whale	sonic hedgehog signaling molecule	SHH		9770	Balaenoptera physalus
122904187	PROTEIN_CODING	American mink	sonic hedgehog signaling molecule	SHH		452646	Neogale vison
311431636	PROTEIN_CODING	common pochard	sonic hedgehog signaling molecule	SHH		219593	Aythya ferina
103530121	PROTEIN_CODING	Anna's hummingbird	sonic hedgehog signaling molecule	SHH		9244	Calypte anna
129173905	PROTEIN_CODING	ringed pipefish	sonic hedgehog signaling molecule a	shha		161453	Dunckerocampus dactyliophorus
133143931	PROTEIN_CODING	broad-nosed pipefish	sonic hedgehog signaling molecule a	shha		161592	Syngnathus typhle
138684469	PROTEIN_CODING	white-tailed eagle	sonic hedgehog signaling molecule	SHH		8969	Haliaeetus albicilla
140194783	PROTEIN_CODING	giant manta	sonic hedgehog signaling molecule a	shha		1983395	Mobula birostris
116045345	PROTEIN_CODING	pikeperch	sonic hedgehog signaling molecule a	shha	shh	283035	Sander lucioperca
110560215	PROTEIN_CODING	Mongolian gerbil	sonic hedgehog signaling molecule	Shh		10047	Meriones unguiculatus
130875455	PROTEIN_CODING	European snow vole	sonic hedgehog signaling molecule	Shh		269649	Chionomys nivalis
106492687	PROTEIN_CODING	North Island brown kiwi	sonic hedgehog signaling molecule	SHH		2696672	Apteryx mantelli
142600623	PROTEIN_CODING	East African grey crowned-crane	sonic hedgehog signaling molecule	SHH		100784	Balearica regulorum gibbericeps
309556990	PROTEIN_CODING	pool frog	sonic hedgehog signaling molecule	SHH		45623	Pelophylax lessonae
105573097	PROTEIN_CODING	sooty mangabey	sonic hedgehog signaling molecule	SHH		9531	Cercocebus atys
141144348	PROTEIN_CODING	American bullfrog	sonic hedgehog signaling molecule	SHH		8400	Aquarana catesbeiana
120877607	PROTEIN_CODING	scimitar-horned oryx	sonic hedgehog signaling molecule	SHH		59534	Oryx dammah
141014703	PROTEIN_CODING	red seabream	sonic hedgehog signaling molecule a	shha		143350	Pagrus major
107524916	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		291302	Miniopterus natalensis
127516702	PROTEIN_CODING	grass carp	sonic hedgehog signaling molecule a	shha		7959	Ctenopharyngodon idella
132815838	PROTEIN_CODING	epaulette shark	sonic hedgehog signaling molecule a	shha		170820	Hemiscyllium ocellatum
133210134	PROTEIN_CODING	Bourke's parrot	sonic hedgehog signaling molecule	SHH		309878	Neopsephotus bourkii
134560173	PROTEIN_CODING	tawny-flanked prinia	sonic hedgehog signaling molecule	SHH		208062	Prinia subflava
135985913	PROTEIN_CODING	Nicobar pigeon	sonic hedgehog signaling molecule	SHH		187106	Caloenas nicobarica
132242584	PROTEIN_CODING	Daubenton's bat	sonic hedgehog signaling molecule	SHH		98922	Myotis daubentonii
136299331	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		190680	Chamaea fasciata
142052389	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		126867	Phalacrocorax aristotelis
116625639	PROTEIN_CODING	harbor seal	sonic hedgehog signaling molecule	SHH		9720	Phoca vitulina
132677618	PROTEIN_CODING	jaguar	sonic hedgehog signaling molecule	SHH		9690	Panthera onca
138377333	PROTEIN_CODING	Bennett's brown lemur	sonic hedgehog signaling molecule	SHH		859984	Eulemur rufifrons
109997560	PROTEIN_CODING	ballan wrasse	sonic hedgehog signaling molecule a	shha	shh	56723	Labrus bergylta
128833155	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		2991368	Malaclemys terrapin pileata
139590815	PROTEIN_CODING	tricolored blackbird	sonic hedgehog signaling molecule	SHH		9191	Agelaius tricolor
120396688	PROTEIN_CODING	Reeves's turtle	sonic hedgehog signaling molecule	SHH		260615	Mauremys reevesii
127194676	PROTEIN_CODING	golden spiny mouse	sonic hedgehog signaling molecule	Shh		60746	Acomys russatus
138569723	PROTEIN_CODING	axolotl	sonic hedgehog signaling molecule	SHH		8296	Ambystoma mexicanum
100732014	PROTEIN_CODING	domestic guinea pig	sonic hedgehog signaling molecule	Shh		10141	Cavia porcellus
122189476	PROTEIN_CODING	white-tailed ptarmigan	sonic hedgehog signaling molecule	SHH		30410	Lagopus leucura
104477296	PROTEIN_CODING	Macqueen's bustard	sonic hedgehog signaling molecule	SHH		187382	Chlamydotis macqueenii
121527387	PROTEIN_CODING	humphead wrasse	sonic hedgehog signaling molecule a	shha		241271	Cheilinus undulatus
114627085	PROTEIN_CODING		sonic hedgehog signaling molecule	Shh		491861	Grammomys surdaster
132395363	PROTEIN_CODING	Atlantic stingray	sonic hedgehog signaling molecule a	shha		79690	Hypanus sabinus
306770880	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		446457	Telmatherina bonti
311205878	PROTEIN_CODING	common moorhen	sonic hedgehog signaling molecule	SHH		9123	Gallinula chloropus
147127319	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		1914718	Filicampus tigris
146307636	PROTEIN_CODING	crimson snapper	sonic hedgehog signaling molecule a	shha		211835	Lutjanus erythropterus
131762376	PROTEIN_CODING	pygmy sperm whale	sonic hedgehog signaling molecule	SHH		27615	Kogia breviceps
132079946	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		2857394	Ammospiza nelsoni
137788707	PROTEIN_CODING	woolly sculpin	sonic hedgehog signaling molecule a	shha		304258	Clinocottus analis
140331524	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		30357	Pyxicephalus adspersus
308077643	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		948025	Gymnoscopelus braueri
104666156	PROTEIN_CODING	golden snub-nosed monkey	sonic hedgehog signaling molecule	SHH		61622	Rhinopithecus roxellana
116672387	PROTEIN_CODING	orangethroat darter	sonic hedgehog signaling molecule a	shha	shh	54343	Etheostoma spectabile
446055	PROTEIN_CODING	torafugu	sonic hedgehog signaling molecule a	shha	shh	31033	Takifugu rubripes
109961432	PROTEIN_CODING	swamp eel	sonic hedgehog signaling molecule a	shha	shh	43700	Monopterus albus
118684217	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		84834	Molothrus ater
125154159	PROTEIN_CODING	fishing cat	sonic hedgehog signaling molecule	SHH		61388	Prionailurus viverrinus
115195834	PROTEIN_CODING	river trout	sonic hedgehog signaling molecule a	shha		8032	Salmo trutta
100995872	PROTEIN_CODING	pygmy chimpanzee	sonic hedgehog signaling molecule	SHH		9597	Pan paniscus
133246692	PROTEIN_CODING	banteng	sonic hedgehog signaling molecule	SHH		9906	Bos javanicus
115569557	PROTEIN_CODING	gilthead seabream	sonic hedgehog signaling molecule a	shha	shh	8175	Sparus aurata
126951534	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		257877	Macaca thibetana thibetana
127168210	PROTEIN_CODING	rohu	sonic hedgehog signaling molecule a	shha		84645	Labeo rohita
137444888	PROTEIN_CODING	acorn woodpecker	sonic hedgehog signaling molecule	SHH		211600	Melanerpes formicivorus
117720757	PROTEIN_CODING	Nile rat	sonic hedgehog signaling molecule	Shh		61156	Arvicanthis niloticus
147373385	PROTEIN_CODING	domestic yak	sonic hedgehog signaling molecule	SHH		30521	Bos grunniens
104874951	PROTEIN_CODING	Damara mole-rat	sonic hedgehog signaling molecule	Shh		885580	Fukomys damarensis
111176269	PROTEIN_CODING	beluga whale	sonic hedgehog signaling molecule	SHH		9749	Delphinapterus leucas
118260147	PROTEIN_CODING	black swan	sonic hedgehog signaling molecule	SHH		8868	Cygnus atratus
115304189	PROTEIN_CODING	meerkat	sonic hedgehog signaling molecule	SHH		37032	Suricata suricatta
103812722	PROTEIN_CODING	Common canary	sonic hedgehog signaling molecule	SHH		9135	Serinus canaria
108499479	PROTEIN_CODING	blue-crowned manakin	sonic hedgehog signaling molecule	SHH		321398	Lepidothrix coronata
104348933	PROTEIN_CODING	cuckoo roller	sonic hedgehog signaling molecule	SHH		188344	Leptosomus discolor
136711697	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		2972642	Amia ocellicauda
101534025	PROTEIN_CODING	American pika	sonic hedgehog signaling molecule	SHH		9978	Ochotona princeps
121338100	PROTEIN_CODING	white-rumped snowfinch	sonic hedgehog signaling molecule	SHH		356909	Onychostruthus taczanowskii
129071477	PROTEIN_CODING		sonic hedgehog signaling molecule	SHH		1884717	Pteronotus mesoamericanus
109923465	PROTEIN_CODING	whale shark	sonic hedgehog signaling molecule a	shha		259920	Rhincodon typus
137852115	PROTEIN_CODING	northern pintail	sonic hedgehog signaling molecule	SHH		28680	Anas acuta
118521216	PROTEIN_CODING	gray seal	sonic hedgehog signaling molecule	SHH		9711	Halichoerus grypus
122757969	PROTEIN_CODING	Senegalese sole	sonic hedgehog signaling molecule a	shha		28829	Solea senegalensis
100546709	PROTEIN_CODING	turkey	sonic hedgehog signaling molecule	SHH		9103	Meleagris gallopavo
141759827	PROTEIN_CODING	Acadian redfish	sonic hedgehog signaling molecule a	shha		394691	Sebastes fasciatus
132122896	PROTEIN_CODING	crucian carp	sonic hedgehog signaling molecule a	shha		217509	Carassius carassius
109291235	PROTEIN_CODING	Gharial	sonic hedgehog signaling molecule	SHH		94835	Gavialis gangeticus
120582128	PROTEIN_CODING	Indian flying fox	sonic hedgehog signaling molecule	SHH		143291	Pteropus medius
308715842	PROTEIN_CODING	Eurasian crane	sonic hedgehog signaling molecule	SHH		40816	Grus grus
106823318	PROTEIN_CODING	donkey	sonic hedgehog signaling molecule	SHH		9793	Equus asinus
103559504	PROTEIN_CODING	Przewalski's horse	sonic hedgehog signaling molecule	SHH		9798	Equus przewalskii
139532007	PROTEIN_CODING	Arctic char	sonic hedgehog signaling molecule a	shha		8036	Salvelinus alpinus
116759433	PROTEIN_CODING	vaquita	sonic hedgehog signaling molecule	SHH		42100	Phocoena sinus
124049776	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		75038	Scatophagus argus
139264006	PROTEIN_CODING		sonic hedgehog signaling molecule a	shha		55135	Pristiophorus japonicus
118225055	PROTEIN_CODING	European eel	sonic hedgehog signaling molecule a	shha		7936	Anguilla anguilla
118852186	PROTEIN_CODING	common brushtail	sonic hedgehog signaling molecule	SHH		9337	Trichosurus vulpecula
123973582	PROTEIN_CODING	smallmouth bass	sonic hedgehog signaling molecule a	shha		147949	Micropterus dolomieu
308306868	PROTEIN_CODING	lantern fish	sonic hedgehog signaling molecule a	shha		473322	Nannobrachium achirus
100481788	PROTEIN_CODING	giant panda	sonic hedgehog signaling molecule	SHH		9646	Ailuropoda melanoleuca
127381531	PROTEIN_CODING	common swift	sonic hedgehog signaling molecule	SHH		8895	Apus apus
128331968	PROTEIN_CODING	graceful crag lizard	sonic hedgehog signaling molecule	SHH		884348	Hemicordylus capensis
142839140	PROTEIN_CODING	meadow vole	sonic hedgehog signaling molecule	Shh		10058	Microtus pennsylvanicus
101935657	PROTEIN_CODING	western painted turtle	sonic hedgehog signaling molecule	SHH		8478	Chrysemys picta bellii
118162426	PROTEIN_CODING	ruddy duck	sonic hedgehog signaling molecule	SHH		8884	Oxyura jamaicensis
140599648	PROTEIN_CODING	red fox	sonic hedgehog signaling molecule	SHH		9627	Vulpes vulpes
145384654	PROTEIN_CODING	blonde ray	sonic hedgehog signaling molecule a	shha		223862	Raja brachyura
307155162	PROTEIN_CODING	European chub	sonic hedgehog signaling molecule a	shha		8284	Squalius cephalus
113949679	PROTEIN_CODING	White-ruffed manakin	sonic hedgehog signaling molecule	SHH		415028	Corapipo altera
132317226	PROTEIN_CODING	red-throated loon	sonic hedgehog signaling molecule	SHH		37040	Gavia stellata
133096577	PROTEIN_CODING	North Atlantic right whale	sonic hedgehog signaling molecule	SHH		27606	Eubalaena glacialis
