Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	2	minus	210080524	210080785		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	3	minus	210077476	210077817		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	4	minus	210074464	210074536		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	5	minus	210074203	210074344		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	1	minus	170854124	170854764		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	2	minus	170848595	170848856		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	3	minus	170844125	170846014		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	1	minus	195268882	195269522		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	2	minus	195263369	195263630		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	3	minus	195257022	195260810		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	1	minus	155811823	155812463		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	2	minus	155806296	155806557		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	3	minus	155799980	155803726		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	1	minus	156994967	156995607		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	2	minus	156989440	156989701		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	3	minus	156983127	156986870		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	2	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	3	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	4	minus	155799980	155800245		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_060931.1	1	minus	156992137	156992307		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_060931.1	2	minus	156989855	156989983		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_060931.1	3	minus	156989440	156989701		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_060931.1	4	minus	156983127	156983392		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_000007.14	2	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_000007.14	3	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_000007.14	4	minus	155800458	155800667		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_000007.14	5	minus	155799980	155800245		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_060931.1	1	minus	156992137	156992307		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_060931.1	2	minus	156989855	156989983		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_060931.1	3	minus	156989440	156989701		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_060931.1	4	minus	156983605	156983814		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132318.2						10	ENST00000441114.5	NC_060931.1	5	minus	156983127	156983392		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	1038	transcript variant 3										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_000007.14	2	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_000007.14	3	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_000007.14	4	minus	155800458	155800597		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_000007.14	5	minus	155799980	155800245		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_060931.1	1	minus	156992137	156992307		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_060931.1	2	minus	156989855	156989983		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_060931.1	3	minus	156989440	156989701		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_060931.1	4	minus	156983605	156983744		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NR_132319.2						10	ENST00000435425.1	NC_060931.1	5	minus	156983127	156983392		minus	156983127	156992307	Chromosome 7 Alternate T2T-CHM13v2.0	968	transcript variant 4										NON_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516479.3	XM_011516479.3		plus	262	1389	10		NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4309	transcript variant X2	XP_011514781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516479.3	XM_011516479.3		plus	262	1389	10		NC_000007.14	2	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4309	transcript variant X2	XP_011514781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516479.3	XM_011516479.3		plus	262	1389	10		NC_000007.14	3	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4309	transcript variant X2	XP_011514781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516479.3	XM_011516479.3		plus	262	1389	10		NC_000007.14	4	minus	155799980	155803726		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4309	transcript variant X2	XP_011514781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516480.3	XM_011516480.3		plus	560	1687	10		NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4607	transcript variant X1	XP_011514782.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516480.3	XM_011516480.3		plus	560	1687	10		NC_000007.14	2	minus	155807125	155807422		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4607	transcript variant X1	XP_011514782.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516480.3	XM_011516480.3		plus	560	1687	10		NC_000007.14	3	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4607	transcript variant X1	XP_011514782.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516480.3	XM_011516480.3		plus	560	1687	10		NC_000007.14	4	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4607	transcript variant X1	XP_011514782.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_011516480.3	XM_011516480.3		plus	560	1687	10		NC_000007.14	5	minus	155799980	155803726		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4607	transcript variant X1	XP_011514782.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_047420718.1	XM_047420718.1		plus	211	1260	10		NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4180	transcript variant X3	XP_047276674.1		isoform X2	349				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_047420718.1	XM_047420718.1		plus	211	1260	10		NC_000007.14	2	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4180	transcript variant X3	XP_047276674.1		isoform X2	349				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_047420718.1	XM_047420718.1		plus	211	1260	10		NC_000007.14	3	minus	155799980	155803726		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4180	transcript variant X3	XP_047276674.1		isoform X2	349				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_054358806.1	XM_054358806.1		plus	520	1647	10		NC_060931.1	1	minus	156992137	156992565		minus	156983127	156992565	Chromosome 7 Alternate T2T-CHM13v2.0	4564	transcript variant X4	XP_054214781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_054358806.1	XM_054358806.1		plus	520	1647	10		NC_060931.1	2	minus	156989855	156989983		minus	156983127	156992565	Chromosome 7 Alternate T2T-CHM13v2.0	4564	transcript variant X4	XP_054214781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_054358806.1	XM_054358806.1		plus	520	1647	10		NC_060931.1	3	minus	156989440	156989701		minus	156983127	156992565	Chromosome 7 Alternate T2T-CHM13v2.0	4564	transcript variant X4	XP_054214781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	XM_054358806.1	XM_054358806.1		plus	520	1647	10		NC_060931.1	4	minus	156983127	156986870		minus	156983127	156992565	Chromosome 7 Alternate T2T-CHM13v2.0	4564	transcript variant X4	XP_054214781.1		isoform X1	375				sonic hedgehog protein		PROTEIN_CODING_MODEL
