"Supplementary Table 16. Results from DEPICT gene prioritization analysis. Within each height-associated locus, genes were prioritized using the Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of that locus. The DEPICT method prioritizes genes within a given associated loci based on the genes’ functional similarity to genes from other height-associated loci. Genes that are highly similar to genes from other loci obtain low prioritization P-values. Prioritization P-values are adjusted for the number of genes in the given and significance was set at FDR<0.05. Table lists also the biological evidence for each prioritized gene: 1) DEPICT gene set evidence (Supplementary Table 14); 2) OMIM evidence (Supplementary Table 9); 3) GRAIL evidence (Supplementary Table 13); 4) and 5) rodent growth plate evidence&; 6) Jackson Lab evidence was obtained by matching Gene column entries to Jackson Lab database (http://www.informatics.jax.org/) on genes reported to have either ""growth/size"", ""limb/tail/digit"" or ""skeleton"" phenotype; 7) eQTL evidence#; 8) nsSNP evidence (Supplementary Table 7) and 9) distance evidence (Supplementary Table 1). Only genes that were significantly prioritized (FDR<0.05) are listed.

#eQTL lists obtained from Westra et al. 2013 (ref. 21)
&Gene sets obtained from Lui et al. 2012 (ref. 28)"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19
rs7284476	22	38093011	38172563	1	ENSG00000100106	TRIOBP	Yes	1e-16	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	5
rs2074977	19	3359616	3463603	1	ENSG00000141905	NFIC	No	1e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs7551732	1	89149905	89458636	4	ENSG00000065243	PKN2	No	1e-16	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs2149163-rs3927536	9	16416404	16870841	1	ENSG00000173068	BNC2	No	1e-16	Yes	No	No	No	Yes	Yes	Yes	No	No	Yes	5
rs2164968	12	65563351	65882024	3	ENSG00000174106	LEMD3	No	1e-16	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	5
rs1348002	15	89054790	89089906	1	ENSG00000140543	DET1	No	1e-16	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs16994718	4	38665817	38702663	1	ENSG00000109787	KLF3	Yes	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	No	Yes	5
rs301901	5	36876861	37753537	4	ENSG00000164190	NIPBL	Yes	1e-16	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	5
rs11779459	8	123793633	123986750	1	ENSG00000178764	ZHX2	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs3790086	16	69598997	69975644	3	ENSG00000198373	WWP2	Yes	1e-16	Yes	No	No	Yes	No	No	Yes	Yes	No	Yes	5
rs11880992	19	2100993	2232577	2	ENSG00000104885	DOT1L	No	1e-16	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs11835818	12	122457328	122688018	4	ENSG00000175727	MLXIP	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	Yes	No	4
rs1478610	17	79373540	79433357	1	ENSG00000171282	BAHCC1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs6020202	20	48599536	48605423	1	ENSG00000124216	SNAI1	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs975210	15	70340129	70390515	1	ENSG00000140332	TLE3	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs17264185	15	66874528	67074338	2	ENSG00000137834	SMAD6	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs12330322	3	72423744	72496069	1	ENSG00000163602	RYBP	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs17081935	4	57774042	57931769	4	ENSG00000084093	REST	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	Yes	No	4
rs10958476-rs6999671	8	56685701	57131357	6	ENSG00000181690	PLAG1	No	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	No	No	4
rs9858528	3	183353356	183398733	1	ENSG00000114796	KLHL24	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs564914	1	47799469	47906363	4	ENSG00000186564	FOXD2	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs17807185	7	77166592	77586818	5	ENSG00000127947	PTPN12	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	Yes	No	No	4
rs17807185	7	77166592	77586818	5	ENSG00000187257	RSBN1L	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs12882130	14	103851701	104003410	3	ENSG00000075413	MARK3	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs199515	17	43699267	44896082	9	ENSG00000120071	KIAA1267	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	Yes	No	4
rs10401193	19	19287712	19626838	10	ENSG00000167491	GATAD2A	Yes	1e-16	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs584828	17	38465436	38613983	4	ENSG00000131759	RARA	Yes	1e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs2059877	19	48111453	48206534	1	ENSG00000063169	GLTSCR1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs2093210	14	60863187	61191066	4	ENSG00000126778	SIX1	No	1e-16	Yes	No	No	No	No	Yes	Yes	Yes	No	No	4
rs12120956	1	113009163	113243368	4	ENSG00000155363	MOV10	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs960006	16	4800815	4987136	6	ENSG00000118900	UBN1	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs479744	6	108881038	109005977	1	ENSG00000118689	FOXO3	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs3790086	16	69598997	69975644	3	ENSG00000102908	NFAT5	Yes	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	No	No	4
rs11855014	15	85747141	86292586	2	ENSG00000170776	AKAP13	Yes	1e-16	Yes	No	Yes	No	Yes	No	Yes	No	No	No	4
rs2298265	1	151227179	151300191	4	ENSG00000143373	ZNF687	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs1861908	12	27932953	27955973	1	ENSG00000087448	KLHDC5	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs9217	17	7362685	7417933	2	ENSG00000181222	POLR2A	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs4986172	17	43186335	43247406	4	ENSG00000186834	HEXIM1	No	1e-16	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs13416119	2	42396490	42721237	3	ENSG00000143924	EML4	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1966913	16	67311413	68263162	31	ENSG00000072736	NFATC3	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs1966913	16	67311413	68263162	31	ENSG00000102974	CTCF	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17450430	20	47538275	47905797	6	ENSG00000124214	STAU1	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs12209223-rs6903448	6	76005626	76629254	4	ENSG00000112701	SENP6	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs7043114	9	95087766	95650975	8	ENSG00000185963	BICD2	No	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs9880211	3	135684515	136668665	7	ENSG00000118007	STAG1	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2662027	5	56215429	56267502	1	ENSG00000155545	MIER3	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2044124-rs2070776	17	61699801	62050278	14	ENSG00000198909	MAP3K3	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17349981	15	82334119	82338482	1	ENSG00000183496	MEX3B	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs12904334	15	72114632	73852355	14	ENSG00000166233	ARIH1	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs12639764	4	106067032	106395238	2	ENSG00000168769	TET2	No	1e-16	Yes	No	No	No	No	No	Yes	No	Yes	No	3
rs632124	11	118620034	118661858	1	ENSG00000110367	DDX6	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs16968242	15	76507696	77329673	5	ENSG00000117906	RCN2	Yes	1e-16	Yes	No	No	Yes	No	No	Yes	No	No	No	3
rs10877030	12	58213710	58290265	2	ENSG00000175215	CTDSP2	Yes	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17603945	6	7107830	7347679	2	ENSG00000124782	RREB1	No	1e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs14062	18	19321281	19450918	2	ENSG00000101752	MIB1	Yes	1e-16	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs6962887	7	135046547	135194875	1	ENSG00000080802	CNOT4	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs11616067	12	116395711	116715143	1	ENSG00000123066	MED13L	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs11156098	6	157099063	157530401	1	ENSG00000049618	ARID1B	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs17792664	14	21819631	21979517	6	ENSG00000100888	CHD8	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1562975	4	109459346	109541616	1	ENSG00000234492	-	Yes	1e-16	Yes	No	No	No	No	No	No	No	No	Yes	2
rs3014219	1	45809555	46642160	13	ENSG00000159592	GPBP1L1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3763631	9	35749203	35854844	7	ENSG00000107185	RGP1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6439168	3	128997671	129045068	3	ENSG00000184897	H1FX	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs316618	15	41523037	41806085	8	ENSG00000137815	RTF1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs8073371	17	46018889	46507594	9	ENSG00000108468	CBX1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2275325	1	203764782	203839678	2	ENSG00000058673	ZC3H11A	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1966913	16	67311413	68263162	31	ENSG00000159792	PSKH1	Yes	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11880124	19	42470734	42732353	8	ENSG00000105732	ZNF574	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000163939	PBRM1	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs9880211	3	135684515	136668665	7	ENSG00000174579	MSL2	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs3767627-rs7534365	1	149856010	149982686	6	ENSG00000163113	OTUD7B	No	1e-16	Yes	No	No	No	No	No	No	No	No	Yes	2
rs2093210	14	60863187	61191066	4	ENSG00000100625	SIX4	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs7561273	2	23608088	24392509	8	ENSG00000119778	ATAD2B	No	1e-16	Yes	No	No	No	No	No	Yes	No	No	No	2
rs11236294	11	74407474	74729938	6	ENSG00000166439	RNF169	No	1e-16	Yes	No	No	No	No	No	No	No	No	No	1
rs564914	1	47799469	47906363	4	ENSG00000237424	-	Yes	1e-16	Yes	No	No	No	No	No	No	No	No	No	1
rs1329393-rs4448343-rs817300	9	98205262	98279339	1	ENSG00000185920	PTCH1	No	1.11e-16	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	7
rs11659752	18	77155772	77289325	1	ENSG00000131196	NFATC1	Yes	1.11e-16	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	5
rs3923086	17	63524685	63557765	1	ENSG00000168646	AXIN2	Yes	2.22e-16	Yes	No	Yes	No	No	Yes	Yes	Yes	No	Yes	6
rs6584575	10	105348285	105677963	2	ENSG00000107957	SH3PXD2A	Yes	2.22e-16	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs17140875	7	19060614	19185876	3	ENSG00000122691	TWIST1	No	3.33e-16	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No	5
rs11783655	8	144989321	145086940	3	ENSG00000178209	PLEC	Yes	3.33e-16	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	5
rs6540834	1	214530851	214725792	1	ENSG00000152104	PTPN14	Yes	3.33e-16	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2166898	2	121493199	121750229	1	ENSG00000074047	GLI2	Yes	4.44e-16	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	7
rs6504389	17	46626232	46683776	4	ENSG00000120093	HOXB3	No	4.44e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs960006	16	4800815	4987136	6	ENSG00000103199	ZNF500	Yes	6.66e-16	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs6688100	1	160160285	160398468	8	ENSG00000162738	VANGL2	Yes	8.88e-16	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs7899004	10	104221149	104474164	5	ENSG00000107882	SUFU	Yes	1.11e-15	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs6504389	17	46626232	46683776	4	ENSG00000108511	HOXB6	No	1.33e-15	Yes	No	Yes	No	No	Yes	Yes	No	No	No	4
rs4746769	10	70090931	70231879	3	ENSG00000096746	HNRNPH3	Yes	1.67e-15	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1420023	12	12813825	12944400	3	ENSG00000111276	CDKN1B	Yes	2e-15	Yes	No	Yes	No	No	No	Yes	Yes	No	No	4
rs2510396	11	68080077	68382802	2	ENSG00000110075	PPP6R3	Yes	2e-15	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs1544196	1	224102741	226595780	4	ENSG00000162923	WDR26	Yes	2.22e-15	Yes	No	No	No	No	No	Yes	No	No	No	2
rs4605213	17	49254786	49337524	1	ENSG00000011258	MBTD1	No	2.44e-15	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs10401193	19	19287712	19626838	10	ENSG00000129933	MAU2	Yes	3.33e-15	Yes	No	No	Yes	No	No	Yes	Yes	No	No	4
rs8073177	17	7452208	7475287	2	ENSG00000161956	SENP3	Yes	3.77e-15	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000168268	NT5DC2	No	5.11e-15	Yes	No	No	No	Yes	No	Yes	Yes	No	No	4
rs10948222	6	44777054	45518818	2	ENSG00000124813	RUNX2	No	5.55e-15	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	7
rs1047014	6	19837617	19840915	1	ENSG00000172201	ID4	No	6.33e-15	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs3812591	9	139270029	139372141	5	ENSG00000148396	SEC16A	No	7.77e-15	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs6462432	7	32535038	33078516	2	ENSG00000170852	KBTBD2	Yes	7.99e-15	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs1815314-rs1923367	10	80828792	81205383	3	ENSG00000108175	ZMIZ1	No	9.99e-15	Yes	No	No	No	No	No	Yes	No	No	No	2
rs13183624-rs7731703	5	32689176	32791819	1	ENSG00000113389	NPR3	No	1.07e-14	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs1658351	3	57994127	58157982	1	ENSG00000136068	FLNB	Yes	1.11e-14	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	8
rs2737220	8	116420724	116821899	1	ENSG00000104447	TRPS1	Yes	1.14e-14	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	8
rs3767627-rs7534365	1	149856010	149982686	6	ENSG00000143368	SF3B4	No	1.2e-14	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000163930	BAP1	No	1.53e-14	Yes	No	No	No	No	No	Yes	No	No	No	2
rs12615742-rs17511102-rs6544089	2	37869032	37965611	1	ENSG00000163171	CDC42EP3	No	1.57e-14	Yes	No	No	No	Yes	No	Yes	No	No	Yes	4
rs12538407	7	23349828	23571660	2	ENSG00000136231	IGF2BP3	No	1.73e-14	Yes	No	Yes	No	No	No	Yes	No	No	No	3
rs2099745-rs6485978	11	12695969	12966298	1	ENSG00000187079	TEAD1	No	2.11e-14	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs7033940	9	6328349	6507054	3	ENSG00000147854	UHRF2	Yes	4.2e-14	Yes	No	No	No	No	No	No	No	No	No	1
rs273945	7	137559725	137686813	1	ENSG00000182158	CREB3L2	Yes	5.22e-14	Yes	No	No	No	No	Yes	Yes	No	No	Yes	4
rs4725061	7	7680342	8133902	2	ENSG00000106415	GLCCI1	Yes	6e-14	Yes	No	No	No	No	No	No	No	No	Yes	2
rs17163588	1	26377795	26605299	7	ENSG00000142675	CNKSR1	No	1e-13	Yes	No	Yes	No	Yes	No	Yes	No	No	No	4
rs1950500	14	24834879	24848810	1	ENSG00000100968	NFATC4	No	1.13e-13	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs6714546-rs6751657-rs7605699	2	33172039	33624576	1	ENSG00000049323	LTBP1	No	1.41e-13	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	6
rs780094	2	27505260	27858041	14	ENSG00000115216	NRBP1	Yes	1.57e-13	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs936339	3	142025449	142608045	5	ENSG00000114127	XRN1	Yes	1.67e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs6911389	6	143857982	144152322	1	ENSG00000112419	PHACTR2	Yes	1.73e-13	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs2240919-rs2581830	3	52279841	53164478	23	ENSG00000164091	WDR82	No	1.97e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2072153	17	47366568	47439835	1	ENSG00000198740	ZNF652	No	2.22e-13	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs11642612	16	29911700	30134827	17	ENSG00000169592	INO80E	Yes	2.26e-13	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs26024	5	127593601	127994878	1	ENSG00000138829	FBN2	Yes	2.36e-13	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	7
rs11245515	10	126676421	126849739	1	ENSG00000175029	CTBP2	Yes	2.4e-13	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs13133465	4	146031990	146101313	1	ENSG00000164164	OTUD4	No	2.49e-13	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs4868645	5	175874629	175965026	2	ENSG00000146083	RNF44	No	3.07e-13	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs16895130	6	41762107	42018095	4	ENSG00000164663	USP49	Yes	3.13e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1966913	16	67311413	68263162	31	ENSG00000168286	THAP11	Yes	3.89e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2034172	3	55499743	55523973	1	ENSG00000114251	WNT5A	Yes	4.31e-13	Yes	No	Yes	No	Yes	Yes	Yes	No	No	Yes	6
rs960006	16	4800815	4987136	6	ENSG00000140632	GLYR1	Yes	4.94e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1996422	4	48485360	49064098	6	ENSG00000075539	FRYL	Yes	8.66e-13	Yes	No	No	No	No	No	Yes	No	No	No	2
rs10990303	9	98520892	98638259	1	ENSG00000175611	-	No	1.09e-12	Yes	No	No	No	No	No	No	No	No	Yes	2
rs497273	12	121124672	121352926	5	ENSG00000175970	UNC119B	Yes	1.27e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs2044124-rs2070776	17	61699801	62050278	14	ENSG00000108604	SMARCD2	No	1.35e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs10401193	19	19287712	19626838	10	ENSG00000064490	RFXANK	Yes	1.39e-12	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs13150868	4	152041431	152149182	1	ENSG00000109686	SH3D19	Yes	2e-12	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs6061231	20	60883011	60982341	4	ENSG00000130702	LAMA5	Yes	2.2e-12	Yes	No	Yes	No	No	Yes	Yes	Yes	No	No	5
rs11642612	16	29911700	30134827	17	ENSG00000149923	PPP4C	Yes	2.3e-12	Yes	No	No	No	Yes	No	Yes	No	No	No	3
rs6696239	1	227751236	227968927	3	ENSG00000181450	ZNF678	No	2.39e-12	Yes	No	No	No	No	No	Yes	No	No	Yes	3
rs7899004	10	104221149	104474164	5	ENSG00000171206	TRIM8	Yes	2.51e-12	Yes	No	No	No	No	No	Yes	Yes	No	Yes	4
rs2811594	1	92940319	93427079	5	ENSG00000067208	EVI5	No	2.6e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs1346490-rs891088	19	7112266	7294011	1	ENSG00000171105	INSR	No	2.68e-12	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs9816693	3	37903451	38048679	2	ENSG00000144677	CTDSPL	Yes	2.73e-12	Yes	No	No	No	No	No	Yes	Yes	No	No	3
rs3915129	3	41236328	42003922	2	ENSG00000168036	CTNNB1	Yes	3.49e-12	Yes	No	Yes	No	No	Yes	Yes	Yes	No	Yes	6
rs7980687	12	123468027	123834988	4	ENSG00000139697	SBNO1	No	3.84e-12	Yes	No	No	No	No	No	Yes	No	Yes	Yes	4
rs2046158	1	86194916	86622626	1	ENSG00000171502	COL24A1	Yes	4.03e-12	Yes	No	Yes	No	No	No	Yes	No	No	Yes	4
rs11144688-rs958225	9	78505560	78977255	1	ENSG00000099139	PCSK5	No	4.47e-12	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes	5
rs8102380	19	10713121	10942586	4	ENSG00000079805	DNM2	Yes	5.16e-12	Yes	No	No	Yes	No	No	Yes	No	No	No	3
rs389663	6	117639374	117923691	2	ENSG00000047932	GOPC	No	5.16e-12	Yes	No	No	No	No	No	Yes	No	No	No	2
rs314263	6	105404923	105531207	1	ENSG00000187772	LIN28B	No	5.87e-12	Yes	No	No	No	No	No	Yes	No	No	Yes	3
