section	field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13
novel_junctions_by_gene	17	ENSG00000271793	ENSG00000271793	2	2	1							
novel_junctions_by_gene	18	ZSCAN23	ENSG00000187987	1	1	1							
novel_junctions_by_gene	19	ZRANB3	ENSG00000121988	1	1	1							
novel_junctions_by_gene	20	ZNRF2	ENSG00000180233	1	1	1							
novel_junctions_by_gene	21	ZNF92	ENSG00000146757	1	1	1							
novel_junctions_by_gene	22	ZNF816-ZNF321P	ENSG00000221874	1	1	1							
novel_junctions_by_gene	23	ZNF816	ENSG00000180257	1	1	1							
novel_junctions_by_gene	24	ZNF532	ENSG00000074657	1	1	1							
novel_junctions_by_gene	25	ZNF335	ENSG00000198026	1	1	1							
novel_junctions_by_gene	26	ZNF254	ENSG00000213096	1	1	1							
novel_junctions_by_gene	27	ZNF217	ENSG00000171940	1	1	1							
novel_junctions_by_gene	28	ZNF20	ENSG00000132010	1	1	1							
novel_junctions_by_gene	29	ZNF169	ENSG00000175787	1	1	1							
novel_junctions_by_gene	30	ZG16B	ENSG00000162078	1	1	1							
novel_junctions_by_gene	31	ZC3H12A	ENSG00000163874	1	1	1							
novel_junctions_by_gene	32	ZBTB7A	ENSG00000178951	1	1	1							
novel_junctions_by_gene	33	ZBTB25	ENSG00000089775	1	1	1							
novel_junctions_by_gene	34	XRRA1	ENSG00000166435	1	1	1							
novel_junctions_by_gene	35	XPC	ENSG00000154767	1	1	1							
novel_junctions_by_gene	36	WNK1	ENSG00000060237	1	1	1							
novel_junctions_by_gene	37	WDR11	ENSG00000120008	1	1	1							
novel_junctions_by_gene	38	WDHD1	ENSG00000198554	1	1	1							
novel_junctions_by_gene	39	VRK1	ENSG00000100749	1	1	1							
novel_junctions_by_gene	40	VPS52	ENSG00000223501	1	1	1							
novel_junctions_by_gene	41	VCF2	ENSG00000182518	1	1	1							
novel_junctions_by_gene	42	VAT1	ENSG00000108828	1	1	1							
novel_junctions_by_gene	43	TYW3	ENSG00000162623	1	1	1							
novel_junctions_by_gene	44	TTC32	ENSG00000183891	1	1	1							
novel_junctions_by_gene	45	TRIM56	ENSG00000169871	1	1	1							
novel_junctions_by_gene	46	TRERF1	ENSG00000124496	1	1	1							
novel_junctions_by_gene	47	TRANK1	ENSG00000168016	1	1	1							
novel_junctions_by_gene	48	TRAF1	ENSG00000056558	1	1	1							
novel_junctions_by_gene	49	TNFRSF13B	ENSG00000240505	1	1	1							
novel_junctions_by_gene	50	TMED7-TICAM2	ENSG00000251201	1	1	1							
top_observed_novel_junctions	rank	symbols	chrom	intron_start	intron_end	support	known	reads					
top_observed_novel_junctions	1		chr14	105741796	105741892	174	no	READ_1132,READ_1193,READ_4069,READ_6647,READ_6833					
top_observed_novel_junctions	2		chr14	105742223	105742340	133	no	READ_1722,READ_2739,READ_3187,READ_3355,READ_5597					
top_observed_novel_junctions	3		chr14	105742386	105742776	131	no	READ_1722,READ_3187,READ_5597,READ_7563,READ_8844					
top_observed_novel_junctions	4		chr2	88857684	88860885	104	no	READ_231,READ_2265,READ_3159,READ_3176,READ_3231					
top_observed_novel_junctions	5		chr2	88860928	89040228	76	no	READ_3159,READ_5005,READ_11872,READ_16183,READ_16453					
top_observed_novel_junctions	6		chr2	88857684	88861220	74	no	READ_2240,READ_2676,READ_3180,READ_3208,READ_6543					
top_observed_novel_junctions	7		chr2	88857684	88861885	63	no	READ_6874,READ_9665,READ_11139,READ_11728,READ_16363					
top_observed_novel_junctions	8		chr2	89040520	89040643	57	no	READ_1627,READ_6611,READ_11108,READ_17458,READ_20690					
top_observed_novel_junctions	9		chr14	105743071	105864214	51	no	READ_1468,READ_8635,READ_17310,READ_19094,READ_30963					
top_observed_novel_junctions	10		chr14	106737417	106737501	48	no	READ_3953,READ_15840,READ_17193,READ_18522,READ_21373					
top_observed_novel_junctions	11	DNAJC25-GNG10,GNG10	chr9	111661716	111664536	40	no	READ_12946,READ_21699,READ_21904,READ_22149,READ_22196					
top_observed_novel_junctions	12	DNAJC25-GNG10,GNG10	chr9	111664590	111666814	33	no	READ_4175,READ_26841,READ_27419,READ_29063,READ_37539					
top_observed_novel_junctions	13		chr2	88857684	88861524	30	no	READ_1012,READ_4265,READ_6121,READ_29071,READ_48567					
top_observed_novel_junctions	14		chr14	105855235	105855479	30	no	READ_2002,READ_4651,READ_15521,READ_18939,READ_23621					
top_observed_novel_junctions	15		chr6	29889435	29896756	23	no	READ_6902,READ_22841,READ_35976,READ_38386,READ_42113					
top_observed_novel_junctions	16		chr2	88947497	88992604	23	no	READ_14440,READ_17972,READ_21201,READ_39665,READ_39815					
top_observed_novel_junctions	17		chr2	88885621	88885839	17	no	READ_3804,READ_9784,READ_11422,READ_12811,READ_55445					
top_observed_novel_junctions	18		chr17	16440254	16441073	17	no	READ_5247,READ_9697,READ_14556,READ_41430,READ_42296					
top_observed_novel_junctions	19		chr14	105855816	105855905	17	no	READ_16568,READ_26943,READ_31038,READ_34320,READ_57886					
top_observed_novel_junctions	20		chr14	105854738	105854916	14	no	READ_3199,READ_44359,READ_53689,READ_76014,READ_77031					
top_observed_novel_junctions	21		chr2	90038994	90039180	11	no	READ_1584,READ_55218,READ_82460,READ_90624,READ_107177					
top_observed_novel_junctions	22		chr2	88861263	89009996	11	no	READ_2022,READ_9113,READ_52117,READ_58997,READ_78091					
top_observed_novel_junctions	23		chr2	88861258	89045983	11	no	READ_49270,READ_57849,READ_65139,READ_67562,READ_73561					
top_observed_novel_junctions	24		chr14	105851975	105852147	11	no	READ_9194,READ_37152,READ_72294,READ_83248,READ_87873					
top_observed_novel_junctions	25		chr6	32554972	32584108	10	no	READ_17938,READ_61127,READ_81901,READ_125463,READ_142384					
top_observed_novel_junctions	26		chr6	29888225	29888466	10	no	READ_720,READ_48554,READ_53140,READ_65235,READ_76908					
top_observed_novel_junctions	27		chr17	16439415	16440184	10	no	READ_5782,READ_38326,READ_47059,READ_52633,READ_100930					
top_observed_novel_junctions	28		chr14	105769560	105769656	10	no	READ_25452,READ_36081,READ_83501,READ_90746,READ_113366					
top_observed_novel_junctions	29		chr2	88860928	89040237	9	no	READ_14513,READ_40582,READ_58909,READ_62250,READ_79466					
top_observed_novel_junctions	30		chr14	105769987	105770104	9	no	READ_20569,READ_28593,READ_34680,READ_38531,READ_118109					
top_observed_novel_junctions	31	DIPK1A,RPL5	chr1	92837631	92840550	9	no	READ_16615,READ_27886,READ_40408,READ_41425,READ_75474					
top_observed_novel_junctions	32		chr17	16441131	16441367	8	no	READ_9068,READ_14556,READ_27415,READ_29097,READ_66031					
top_observed_novel_junctions	33		chr14	105864251	105886038	8	no	READ_83305,READ_91615,READ_99343,READ_135375,READ_147927					
top_observed_novel_junctions	34		chr14	105852264	105854404	8	no	READ_62589,READ_80348,READ_126887,READ_141024,READ_153850					
top_observed_novel_junctions	35		chr2	88861557	88947294	7	no	READ_1012,READ_113702,READ_143493,READ_150962,READ_158912					
top_observed_novel_junctions	36		chr14	106268913	106360198	7	no	READ_31931,READ_34391,READ_173280,READ_173895,READ_179566					
top_observed_novel_junctions	37		chr14	105856218	105865406	7	no	READ_56785,READ_66638,READ_84163,READ_96135,READ_134949					
top_observed_novel_junctions	38		chr14	105770720	105771111	7	no	READ_29453,READ_45584,READ_50116,READ_99432,READ_129103					
top_observed_novel_junctions	39		KI270726.1	26127	26229	7	no	READ_6706,READ_52670,READ_56527,READ_89243,READ_147332					
top_observed_novel_junctions	40		chr6	32517753	32580246	6	no	READ_67037,READ_71403,READ_94427,READ_143211,READ_179355					
top_observed_novel_junctions	41		chr6	31271143	31356236	6	no	READ_4964,READ_86731,READ_91607,READ_111524,READ_125408					
top_observed_novel_junctions	42		chr22	22758787	22758903	6	no	READ_31002,READ_91269,READ_111246,READ_124991,READ_154309					
top_observed_novel_junctions	43	UBC	chr12	124912884	124913111	6	no	READ_29223,READ_63616,READ_114441,READ_116861,READ_136281					
top_observed_novel_junctions	44		chr21	25569922	25573892	5	no	READ_2697,READ_16950,READ_101850,READ_145497,READ_191430					
top_observed_novel_junctions	45		chr21	25562258	25569836	5	no	READ_72477,READ_75377,READ_83702,READ_110863,READ_130304					
top_observed_novel_junctions	46		chr20	49279209	49280484	5	no	READ_18903,READ_20793,READ_92708,READ_135277,READ_149148					
top_observed_novel_junctions	47		chr20	49278717	49279103	5	no	READ_16771,READ_63229,READ_63787,READ_100292,READ_130312					
top_observed_novel_junctions	48	HNRNPM	chr19	8462582	8463592	5	no	READ_42646,READ_44728,READ_101416,READ_181514,READ_196626					
top_observed_novel_junctions	49		chr14	106360004	106470477	5	no	READ_56285,READ_75984,READ_142634,READ_145416,READ_176284					
top_observed_novel_junctions	50		chr14	106005402	106005486	5	no	READ_10566,READ_44281,READ_52366,READ_72171,READ_72865					
top_observed_novel_junctions	51		chr14	105770338	105770668	5	no	READ_5095,READ_27449,READ_80264,READ_97259,READ_120438					
top_observed_novel_junctions	52		chr14	105770150	105770292	5	no	READ_5095,READ_20569,READ_118109,READ_168040,READ_168252					
top_observed_novel_junctions	53		chr14	22547779	22549637	5	no	READ_33566,READ_127222,READ_144226,READ_191029,READ_197840					
top_observed_novel_junctions	54		chr1	173866207	173866527	5	no	READ_16331,READ_52852,READ_68257,READ_84007,READ_178694					
top_observed_novel_junctions	55		chr6	31463280	31463370	4	no	READ_1185,READ_8059,READ_129972,READ_138639					
top_observed_novel_junctions	56		chr6	29888225	30007317	4	no	READ_30467,READ_51953,READ_77773,READ_157529					
top_observed_novel_junctions	57		chr22	22905026	22906341	4	no	READ_78480,READ_126138,READ_139640,READ_164406					
top_observed_novel_junctions	58		chr22	22759208	22904985	4	no	READ_78480,READ_126138,READ_139640,READ_164406					
top_observed_novel_junctions	59		chr14	106360098	106360198	4	no	READ_94648,READ_114361,READ_148996,READ_156543					
top_observed_novel_junctions	60	UBC	chr12	124913191	124913646	4	no	READ_21204,READ_97458,READ_153958,READ_197126					
top_observed_novel_junctions	61	UBC	chr12	124913093	124913320	4	no	READ_73403,READ_89259,READ_128211,READ_164024					
top_observed_novel_junctions	62		chr1	173865895	173866176	4	no	READ_16331,READ_48377,READ_99792,READ_178694					
top_observed_novel_junctions	63		chr1	173865548	173865856	4	no	READ_48377,READ_70316,READ_99792,READ_121907					
top_observed_novel_junctions	64		chr1	173865283	173865470	4	no	READ_16592,READ_40826,READ_64880,READ_94048					
top_observed_novel_junctions	65		chr1	173864076	173864256	4	no	READ_48242,READ_145648,READ_153608,READ_193823					
top_observed_novel_junctions	66		chr6	31837436	31839542	3	no	READ_26702,READ_28894,READ_181533					
top_observed_novel_junctions	67		chr6	30261480	30261586	3	no	READ_11704,READ_67428,READ_131015					
top_observed_novel_junctions	68		chr4	118279138	118279388	3	no	READ_11337,READ_74360,READ_172920					
top_observed_novel_junctions	69		chr22	22759209	22904988	3	no	READ_5694,READ_86671,READ_114129					
top_observed_novel_junctions	70		chr2	89914404	90100596	3	no	READ_115019,READ_129623,READ_183803					
top_observed_novel_junctions	71		chr2	89100155	89100279	3	no	READ_24238,READ_183019,READ_190468					
top_observed_novel_junctions	72		chr14	105865460	106005088	3	no	READ_52136,READ_122927,READ_145602					
top_observed_novel_junctions	73		chr14	105856218	105863197	3	no	READ_95165,READ_111748,READ_152608					
top_observed_novel_junctions	74		chr14	105856218	105861313	3	no	READ_66837,READ_106134,READ_189119					
top_observed_novel_junctions	75		chr14	105771406	105864214	3	no	READ_24253,READ_54822,READ_188198					
top_observed_novel_junctions	76		chr14	105737846	105740062	3	no	READ_52243,READ_95032,READ_123058					
top_observed_novel_junctions	77	UBC	chr12	124913304	124913531	3	no	READ_131243,READ_151598,READ_166416					
top_observed_novel_junctions	78		chr1	173866797	173866990	3	no	READ_5003,READ_6362,READ_152382					
top_observed_novel_junctions	79		chr1	173866568	173866760	3	no	READ_6362,READ_52852,READ_68257					
top_observed_novel_junctions	80		chr1	173864507	173864674	3	no	READ_4863,READ_30318,READ_111037					
minimap2_stderr	text	[M::mm_idx_gen::43.756*1.79] collected minimizers\n[M::mm_idx_gen::60.098*2.36] sorted minimizers\n[M::main::60.098*2.36] loaded/built the index for 194 target sequence(s)\n[M::mm_mapopt_update::62.451*2.31] mid_occ = 767\n[M::mm_idx_stat] kmer size: 15; skip: 5; is_hpc: 0; #seq: 194\n[M::mm_idx_stat::64.118*2.28] distinct minimizers: 167225302 (35.42% are singletons); average occurrences: 6.036; average spacing: 3.071; total length: 3099750718\n[M::worker_pipeline::69.675*2.36] mapped 200414 sequences\n[M::main] Version: 2.31-r1302\n[M::main] CMD: minimap2 -ax splice:sr --secondary=no -t 4 GRCh38.primary_assembly.genome.fa /jetstream2/scratch/main/jobs/79096155/inputs/dataset_7d004d70-db5d-417f-a4c4-b18b7203d19e.dat\n[M::main] Real time: 70.091 sec; CPU: 164.718 sec; Peak RSS: 18.535 GB\n											
