sample	top_taxonomy_name	identity	shared_hashes	median_multiplicity	pvalue	full_taxonomy	taxonomic_subspecies	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_kingdom	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_subfamily	taxonomic_subphylum	match_comment	taxonomic_superfamily	taxonomic_parvorder	taxonomic_suborder	taxonomic_infraorder	taxonomic_superorder
unmapped	Pongo pygmaeus	0.867302	41/400	3	1.35333e-118	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo; pygmaeus		Pongo pygmaeus	Pongo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11817		9600		./rcn/refseq-NC-9600-PRJNA11817-.-.-.-Pongo_pygmaeus.fna	Ponginae	Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Pongo abelii	0.865964	40/400	3	2.717429999999999e-115	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo; abelii		Pongo abelii	Pongo	Hominidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11865		9601		./rcn/refseq-NC-9601-PRJNA11865-.-.-.-Pongo_abelii.fna	Ponginae	Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Moloney murine sarcoma virus	0.8645950000000001	39/400	1	5.308669999999998e-112	Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus; Mammalian gammaretrovirus group; Replication defective viruses; Moloney murine sarcoma virus		Moloney murine sarcoma virus	Gammaretrovirus	Retroviridae					Viruses				PRJNA14721		11809		./rcn/refseq-NC-11809-PRJNA14721-.-.-.-Moloney_murine_sarcoma_virus.fna	Orthoretrovirinae							
unmapped	Hylobates agilis	0.863193	38/400	3	1.0083599999999997e-108	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Hylobates; agilis		Hylobates agilis	Hylobates	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA48017		9579		./rcn/refseq-NC-9579-PRJNA48017-.-.-.-Hylobates_agilis.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Nomascus leucogenys	0.860281	36/400	3	3.3353799999999992e-102	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus; leucogenys		Nomascus leucogenys	Nomascus	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA214388		61853		./rcn/refseq-NC-61853-PRJNA214388-.-.-.-Nomascus_leucogenys.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Nomascus siki	0.8587670000000001	35/400	3	5.8000399999999985e-99	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus; siki		Nomascus siki	Nomascus	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA48035		9586		./rcn/refseq-NC-9586-PRJNA48035-.-.-.-Nomascus_siki.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Hylobates pileatus	0.850533	30/400	4	5.7038499999999985e-83	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Hylobates; pileatus		Hylobates pileatus	Hylobates	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA48023		9589		./rcn/refseq-NC-9589-PRJNA48023-.-.-.-Hylobates_pileatus.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Symphalangus syndactylus	0.850533	30/400	3	5.7038499999999985e-83	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Symphalangus; syndactylus		Symphalangus syndactylus	Symphalangus	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA48027		9590		./rcn/refseq-NC-9590-PRJNA48027-.-.-.-Symphalangus_syndactylus.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Nomascus gabriellae	0.846874	28/400	3	1.1177099999999998e-76	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus; gabriellae		Nomascus gabriellae	Nomascus	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA177286		61852		./rcn/refseq-NC-61852-PRJNA177286-.-.-.-Nomascus_gabriellae.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	[Clostridium] cellulolyticum	0.84296	26/400	1	1.8829299999999996e-70	Bacteria; Terrabacteria group; Firmicutes; Clostridia; les; Ruminococcaceae; Ruminiclostridium; [Clostridium] cellulolyticum		[Clostridium] cellulolyticum	Ruminiclostridium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria				PRJNA33175		1521		./rcn/refseq-NG-1521-PRJNA33175-.-.-.-_Clostridium_cellulolyticum.fna								
unmapped	Hylobates lar	0.8408959999999999	25/400	3	2.3017499999999995e-67	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Hylobates; lar		Hylobates lar	Hylobates	Hylobatidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11864		9580		./rcn/refseq-NC-9580-PRJNA11864-.-.-.-Hylobates_lar.fna		Craniata		Hominoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Allochrocebus lhoesti	0.836526	23/400	2	3.0286499999999995e-61	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Allochrocebus; lhoesti		Allochrocebus lhoesti	Allochrocebus	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA244218		100224		./rcn/refseq-NC-100224-PRJNA244218-.-.-.-Cercopithecus_lhoesti.fna	Cercopithecinae	Craniata		Cercopithecoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	[Clostridium] clariflavum DSM 19732	0.834205	22/400	2	3.2491700000000004e-58	Bacteria; Terrabacteria group; Firmicutes; Clostridia; les; Ruminococcaceae; Ruminiclostridium; [Clostridium] clariflavum; DSM 19732		[Clostridium] clariflavum	Ruminiclostridium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes		Bacteria				PRJNA188943		720554		./rcn/refseq-NG-720554-PRJNA188943-.-.-.-_Clostridium_clariflavum_DSM_19732.fna								
unmapped	Macaca nigra	0.8317829999999999	21/400	5	3.3254e-55	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca; nigra		Macaca nigra	Macaca	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA272050		54600		./rcn/refseq-NC-54600-PRJNA272050-.-.-.-Macaca_nigra.fna	Cercopithecinae	Craniata		Cercopithecoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Lophocebus aterrimus	0.8317829999999999	21/400	4	3.3254e-55	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Lophocebus; aterrimus		Lophocebus aterrimus	Lophocebus	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA214378		75566		./rcn/refseq-NC-75566-PRJNA214378-.-.-.-Lophocebus_aterrimus.fna	Cercopithecinae	Craniata		Cercopithecoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Papio hamadryas	0.8317829999999999	21/400	3	3.3254e-55	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio; hamadryas		Papio hamadryas	Papio	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA11851		9557		./rcn/refseq-NC-9557-PRJNA11851-.-.-.-Papio_hamadryas.fna	Cercopithecinae	Craniata		Cercopithecoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Chlorocebus sabaeus	0.8317829999999999	21/400	2	3.3254e-55	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus; sabaeus		Chlorocebus sabaeus	Chlorocebus	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa	Eukaryota				PRJNA16891		60711		./rcn/refseq-NC-60711-PRJNA16891-.-.-.-Chlorocebus_sabaeus.fna	Cercopithecinae	Craniata		Cercopithecoidea	Catarrhini	Haplorrhini	Simiiformes	Euarchontoglires
unmapped	Thermoanaerobacterium saccharolyticum JW/SL-YS485	0.8317829999999999	21/400	1	3.3254e-55	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Thermoanaerobacterales; Family III. Incertae Sedis; Thermoanaerobacterium; saccharolyticum; JW/SL-YS485		Thermoanaerobacterium saccharolyticum	Thermoanaerobacterium	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes		Bacteria				PRJNA33175		1094508		./rcn/refseq-NG-1094508-PRJNA33175-.-.-.-Thermoanaerobacterium_saccharolyticum_JW_SL_YS485.fna								
unmapped	Syntrophothermus lipocalidus	0.8317829999999999	21/400	1	3.3254e-55	Bacteria; Terrabacteria group; Firmicutes; Clostridia; les; Syntrophomonadaceae; Syntrophothermus; lipocalidus		Syntrophothermus lipocalidus	Syntrophothermus	Syntrophomonadaceae	Clostridiales	Clostridia	Firmicutes		Bacteria				PRJNA33175		86170		./rcn/refseq-NG-86170-PRJNA33175-.-.-.-Syntrophothermus_lipocalidus.fna								
unmapped	Syntrophothermus lipocalidus	0.8317829999999999	21/400	1	3.3254e-55	Bacteria; Terrabacteria group; Firmicutes; Clostridia; les; Syntrophomonadaceae; Syntrophothermus; lipocalidus		Syntrophothermus lipocalidus	Syntrophothermus	Syntrophomonadaceae	Clostridiales	Clostridia	Firmicutes		Bacteria				PRJNA33175		86170		./rcn/refseq-NR-86170-PRJNA33175-.-.-.-Syntrophothermus_lipocalidus.fna								
