section	metric	value
tss_profile	-14000	22357,34154,31172,0.87001914
tss_profile	-13500	22357,34013,31768,0.85710139
tss_profile	-13000	22357,33394,31136,0.85896906
tss_profile	-12500	22357,33380,30285,0.87442038
tss_profile	-12000	22358,33964,31288,0.86498513
tss_profile	-11500	22358,33832,30946,0.86919648
tss_profile	-11000	22359,34888,31013,0.88428103
tss_profile	-10500	22359,34292,31250,0.87071888
tss_profile	-10000	22359,33861,31012,0.86843553
tss_profile	-9500	22359,34413,30976,0.87762924
tss_profile	-9000	22359,33641,31810,0.85070732
tss_profile	-8500	22359,34063,31701,0.85906182
tss_profile	-8000	22359,33376,31390,0.85412857
tss_profile	-7500	22359,33297,31086,0.85838255
tss_profile	-7000	22359,33681,32329,0.84224079
tss_profile	-6500	22359,33711,32215,0.84466928
tss_profile	-6000	22359,32885,32573,0.82613756
tss_profile	-5500	22359,32677,32602,0.8225396
tss_profile	-5000	22359,32257,32503,0.81791624
tss_profile	-4500	22359,33121,32468,0.83145083
tss_profile	-4000	22359,33586,32287,0.8415389
tss_profile	-3500	22359,32204,32818,0.81188883
tss_profile	-3000	22359,32212,33450,0.80170539
tss_profile	-2500	22359,31779,33952,0.78740877
tss_profile	-2000	22359,32530,35384,0.776239
tss_profile	-1500	22359,32966,38382,0.73955741
tss_profile	-1000	22359,35485,43309,0.70938516
tss_profile	-500	22359,34216,51129,0.6134313
tss_profile	0	22359,30750,53066,0.55978433
tss_profile	500	22359,33933,47047,0.64965524
tss_profile	1000	22359,32573,43443,0.67216365
tss_profile	1500	22359,29940,38741,0.69455261
tss_profile	2000	22359,29358,35932,0.72371637
tss_profile	2500	22359,29940,35361,0.73994016
tss_profile	3000	22359,29381,33644,0.75716614
tss_profile	3500	22359,29588,34105,0.75325127
tss_profile	4000	22359,29842,32797,0.77707446
tss_profile	4500	22359,30225,33696,0.76871791
tss_profile	5000	22359,30151,32792,0.78175381
tss_profile	5500	22359,30808,32525,0.79585805
tss_profile	6000	22359,30665,32753,0.79003292
tss_profile	6500	22359,30246,31938,0.79701541
tss_profile	7000	22359,30449,31379,0.8094593
tss_profile	7500	22359,31079,32100,0.80692969
tss_profile	8000	22359,30952,31513,0.81488224
tss_profile	8500	22359,30991,31916,0.8086712
tss_profile	9000	22359,31271,31266,0.82400957
tss_profile	9500	22359,30905,31811,0.8091274
tss_profile	10000	22359,31640,32104,0.81533366
tss_profile	10500	22359,31042,31890,0.80988041
tss_profile	11000	22359,31331,32498,0.80413096
tss_profile	11500	22359,31516,32082,0.81383079
tss_profile	12000	22359,32339,32152,0.82507076
tss_profile	12500	22359,31127,31770,0.81319188
tss_profile	13000	22359,31871,31778,0.82436651
tss_profile	13500	22359,33013,31990,0.83803584
tss_profile	14000	22359,32779,32078,0.83297833
tss_profile	14500	22359,32342,31267,0.84044754
tss_profile	15000	22359,32820,31131,0.85021943
tss_profile	15500	22359,32094,31816,0.82710351
tss_profile	16000	22359,32972,31351,0.84863044
tss_profile	16500	22359,31775,32025,0.81870652
tss_profile	17000	22359,32612,31839,0.83457316
tss_profile	17500	22358,33257,31746,0.84599552
tss_profile	18000	22358,31871,31262,0.83329582
tss_profile	18500	22358,32627,31781,0.83580411
tss_profile	19000	22358,32436,31780,0.8329181
tss_profile	19500	22358,32114,31940,0.82528056
tss_profile	20000	22357,31607,31502,0.82507844
