idx	label	Rod_fold_avg_lfc	abs_Rod_fold_avg_lfc
56	1	0.0008460045	0.0008460045
57	0	0.0025089264	0.0025089264
58	0	0.1716363877	0.1716363877
59	1	-0.0338462815	0.0338462815
60	0	0.0380869880	0.0380869880
61	1	-0.0262002945	0.0262002945
62	0	0.0275650974	0.0275650974
63	1	0.0603516586	0.0603516586
64	0	0.0145380972	0.0145380972
65	1	-0.0133317951	0.0133317951
66	1	-0.0052094460	0.0052094460
67	0	-0.0054951669	0.0054951669
68	0	0.0073192595	0.0073192595
69	1	-0.0072791101	0.0072791101
70	1	0.0024065017	0.0024065017
71	0	-0.0212004669	0.0212004669
72	1	0.0500682816	0.0500682816
73	0	-0.0223635677	0.0223635677
74	1	0.0345538147	0.0345538147
75	0	0.0256750099	0.0256750099
76	1	0.0288279541	0.0288279541
77	0	-0.0062747956	0.0062747956
78	1	-0.0530734062	0.0530734062
79	0	0.0315371528	0.0315371528
80	1	0.0145038608	0.0145038608
81	0	0.1048100442	0.1048100442
82	0	0.0113637922	0.0113637922
83	1	-0.0273506157	0.0273506157
84	0	0.0263752937	0.0263752937
85	1	-0.0079743387	0.0079743387
86	0	0.0056062699	0.0056062699
87	1	0.0322418213	0.0322418213
88	1	0.0563162789	0.0563162789
89	0	-0.0064953803	0.0064953803
90	0	0.0013324737	0.0013324737
91	1	-0.0253200531	0.0253200531
92	0	0.0186954495	0.0186954495
93	1	0.0429475792	0.0429475792
94	0	-0.0010655404	0.0010655404
95	1	0.0105493544	0.0105493544
96	1	0.0120036127	0.0120036127
97	0	0.0534447655	0.0534447655
98	1	-0.0006075859	0.0006075859
99	0	0.0251452439	0.0251452439
100	1	0.0137106897	0.0137106897
101	0	-0.0080630304	0.0080630304
102	1	-0.0052079200	0.0052079200
103	0	0.0326896682	0.0326896682
104	1	0.0000547409	0.0000547409
105	0	0.0351156220	0.0351156220
106	0	0.0017718315	0.0017718315
107	1	-0.0054592132	0.0054592132
108	1	0.0310778618	0.0310778618
109	0	0.0018726349	0.0018726349
110	0	-0.0131173134	0.0131173134
111	1	0.0155777931	0.0155777931
112	1	0.0001260757	0.0001260757
113	0	0.0028247833	0.0028247833
114	1	-0.0034705163	0.0034705163
115	0	-0.0465243347	0.0465243347
116	1	0.0178585052	0.0178585052
117	0	-0.0072419168	0.0072419168
118	0	-0.1282970458	0.1282970458
119	1	0.0148511883	0.0148511883
120	0	0.0332098007	0.0332098007
121	1	-0.0095195770	0.0095195770
122	1	0.0247826576	0.0247826576
123	0	-0.0035881996	0.0035881996
124	0	-0.0118542667	0.0118542667
125	0	-0.0119130136	0.0119130136
126	1	0.0074715614	0.0074715614
127	1	-0.0197181702	0.0197181702
128	1	-0.0146405222	0.0146405222
129	0	-0.0089635849	0.0089635849
130	1	-0.0013443946	0.0013443946
131	0	-0.0012405396	0.0012405396
132	0	0.0175246242	0.0175246242
133	1	0.0142896650	0.0142896650
134	0	0.0205061920	0.0205061920
135	1	0.0315450653	0.0315450653
136	0	-0.0150821684	0.0150821684
137	1	-0.4321236610	0.4321236610
138	0	0.0083015440	0.0083015440
139	1	-0.1097291932	0.1097291932
140	1	0.0067345621	0.0067345621
141	0	-0.0021445274	0.0021445274
142	1	-0.1089094132	0.1089094132
143	0	0.0080400463	0.0080400463
144	0	0.0053438186	0.0053438186
145	1	-0.1326762140	0.1326762140
146	1	0.0076230047	0.0076230047
147	0	0.0011140823	0.0011140823
148	0	-0.0095409397	0.0095409397
149	1	-0.0995138139	0.0995138139
150	1	-0.0108010294	0.0108010294
151	0	-0.0050741197	0.0050741197
152	0	0.0114556309	0.0114556309
153	1	-0.0405184738	0.0405184738
154	0	-0.0214316361	0.0214316361
155	1	-0.0737959892	0.0737959892
156	0	-0.0063546179	0.0063546179
157	1	-0.0296634678	0.0296634678
158	0	0.0037963868	0.0037963868
159	1	-0.2564764023	0.2564764023
160	0	0.0037641525	0.0037641525
161	1	0.0103805540	0.0103805540
162	1	-0.0138682369	0.0138682369
163	0	0.1676736772	0.1676736772
164	1	0.0061910627	0.0061910627
165	0	-0.0146468161	0.0146468161
166	0	0.0040569305	0.0040569305
167	1	-0.0717900246	0.0717900246
168	0	0.0346428864	0.0346428864
169	1	0.0150637627	0.0150637627
170	1	-0.0298228264	0.0298228264
171	0	0.0251611713	0.0251611713
172	1	-0.0311279297	0.0311279297
173	0	-0.0050683976	0.0050683976
174	1	-0.0855797753	0.0855797753
175	0	-0.0025552749	0.0025552749
176	0	-0.0053593637	0.0053593637
177	1	-0.0872282982	0.0872282982
178	0	0.0050140382	0.0050140382
179	1	-0.0293671601	0.0293671601
180	1	-0.0267601963	0.0267601963
181	0	0.0189274792	0.0189274792
182	1	-0.0061075212	0.0061075212
183	0	0.0433897004	0.0433897004
184	0	-0.0316083916	0.0316083916
185	1	-0.0202696808	0.0202696808
186	1	-0.0369859710	0.0369859710
187	0	-0.0145967482	0.0145967482
188	0	0.0307200439	0.0307200439
189	1	0.4678056836	0.4678056836
190	1	-0.0125503540	0.0125503540
191	0	-0.0014516830	0.0014516830
192	0	0.0174130443	0.0174130443
193	1	-0.1095805168	0.1095805168
194	0	-0.0658941269	0.0658941269
195	1	-0.0092478748	0.0092478748
196	1	0.0077383043	0.0077383043
197	0	0.0113548283	0.0113548283
198	1	-0.0049054148	0.0049054148
199	0	-0.0354728699	0.0354728699
200	1	-0.0444261543	0.0444261543
201	0	0.0072384835	0.0072384835
202	0	-0.0013965607	0.0013965607
203	1	-0.0067826272	0.0067826272
204	0	-0.0099533079	0.0099533079
205	1	0.0192685127	0.0192685127
206	1	0.0192685127	0.0192685127
207	0	0.0046173097	0.0046173097
208	1	0.0121163372	0.0121163372
209	0	0.0140229221	0.0140229221
210	1	0.0087274555	0.0087274555
211	0	0.0076551437	0.0076551437
212	0	-0.0112545015	0.0112545015
213	1	-0.0176949501	0.0176949501
214	0	-0.0886008292	0.0886008292
215	1	0.3430003226	0.3430003226
216	1	-0.0222291946	0.0222291946
217	0	0.0011728287	0.0011728287
218	1	0.0577435493	0.0577435493
219	0	0.0374500267	0.0374500267
220	0	-0.0051305769	0.0051305769
221	1	0.0039389608	0.0039389608
222	1	-0.0859247223	0.0859247223
223	0	-0.0116266254	0.0116266254
224	1	-0.0081063267	0.0081063267
225	0	0.0021116256	0.0021116256
226	1	0.0211607926	0.0211607926
227	0	0.0051059723	0.0051059723
228	0	0.0145576475	0.0145576475
229	1	0.0561283119	0.0561283119
230	0	-0.0227661133	0.0227661133
231	1	-0.0419754013	0.0419754013
232	1	0.0027894974	0.0027894974
233	0	0.0088006016	0.0088006016
234	1	-0.0333719254	0.0333719254
235	0	-0.0040645599	0.0040645599
236	0	0.0823722854	0.0823722854
237	1	0.0112174992	0.0112174992
238	0	0.0022706031	0.0022706031
239	1	-0.0063289641	0.0063289641
240	0	0.0014694214	0.0014694214
241	1	0.0023997307	0.0023997307
242	1	0.0885078460	0.0885078460
243	0	0.1330149621	0.1330149621
244	0	0.0496959686	0.0496959686
245	1	0.0145089151	0.0145089151
246	0	-0.0093504908	0.0093504908
247	1	-0.3442663252	0.3442663252
248	0	0.0063833236	0.0063833236
249	1	-0.7011958361	0.7011958361
250	0	0.0028097152	0.0028097152
251	1	0.0143710133	0.0143710133
252	0	0.0068490980	0.0068490980
253	1	0.0399514213	0.0399514213
254	1	0.0471493714	0.0471493714
255	0	0.0217965133	0.0217965133
256	1	-0.0089496616	0.0089496616
257	0	0.0130852703	0.0130852703
258	1	0.0498800278	0.0498800278
259	0	-0.0199963562	0.0199963562
260	1	0.0242173187	0.0242173187
261	0	0.0097449301	0.0097449301
262	0	-0.0706652626	0.0706652626
263	0	-0.0249038693	0.0249038693
264	1	-0.1649971008	0.1649971008
265	1	-0.1649971008	0.1649971008
266	1	-0.1649971008	0.1649971008
267	0	0.0023314476	0.0023314476
268	0	-0.0120262150	0.0120262150
269	1	0.0414085388	0.0414085388
270	0	0.0376699455	0.0376699455
271	1	0.0217000954	0.0217000954
272	1	-0.0007843971	0.0007843971
273	0	0.0089913364	0.0089913364
274	1	-0.0038743019	0.0038743019
275	0	0.0288848877	0.0288848877
276	1	-0.0041554449	0.0041554449
277	0	0.0236044880	0.0236044880
278	1	0.0282210354	0.0282210354
279	0	0.0284664147	0.0284664147
280	1	0.0128990170	0.0128990170
281	0	0.0036657334	0.0036657334
282	0	-0.0113790510	0.0113790510
283	1	0.0095091816	0.0095091816
284	0	-0.0185880661	0.0185880661
285	1	0.0124772070	0.0124772070
286	1	0.2871587873	0.2871587873
287	0	0.0152239799	0.0152239799
289	1	-0.0660151467	0.0660151467
290	0	-0.0242643356	0.0242643356
291	1	0.0056373598	0.0056373598
292	0	0.0356134400	0.0356134400
293	1	0.0509537682	0.0509537682
294	0	0.0270219799	0.0270219799
295	1	-0.0022634505	0.0022634505
296	0	0.0125635145	0.0125635145
297	1	-0.0386348739	0.0386348739
298	0	-0.0011921882	0.0011921882
299	1	-0.0450766571	0.0450766571
300	1	0.0067743300	0.0067743300
301	0	0.1879660636	0.1879660636
302	1	-0.0431582443	0.0431582443
303	0	-0.0159701351	0.0159701351
304	0	-0.0224710461	0.0224710461
305	1	0.0868462548	0.0868462548
306	0	0.0031233788	0.0031233788
307	1	-0.4304715097	0.4304715097
308	1	-0.0053601265	0.0053601265
309	0	0.0099748615	0.0099748615
310	1	-0.3713498116	0.3713498116
311	0	-0.0024601936	0.0024601936
312	0	-0.0868679062	0.0868679062
313	1	-0.0056814193	0.0056814193
314	0	0.0102677345	0.0102677345
315	1	-0.0573254600	0.0573254600
316	1	-0.0870828629	0.0870828629
317	0	-0.0028244019	0.0028244019
318	1	-0.0301971436	0.0301971436
319	0	0.0138202664	0.0138202664
320	0	-0.0115995407	0.0115995407
321	1	-0.5731868744	0.5731868744
322	0	-0.0002139092	0.0002139092
323	0	0.0115631102	0.0115631102
324	1	-0.0430148132	0.0430148132
325	1	-0.0143338200	0.0143338200
326	1	0.1042621583	0.1042621583
327	0	0.0021570206	0.0021570206
328	1	0.0018754959	0.0018754959
329	0	-0.0058935164	0.0058935164
330	1	-0.0586557388	0.0586557388
331	0	-0.0173005108	0.0173005108
332	1	0.0426864624	0.0426864624
333	0	0.0045903204	0.0045903204
334	1	-0.0000113487	0.0000113487
335	0	-0.0084054945	0.0084054945
336	1	-0.0028820038	0.0028820038
337	0	0.0104612354	0.0104612354
338	0	0.0059944154	0.0059944154
339	1	0.0389953628	0.0389953628
340	0	0.0005291939	0.0005291939
341	1	-0.0159837715	0.0159837715
342	1	-0.0013355255	0.0013355255
343	0	0.0464553833	0.0464553833
344	1	-0.0235421173	0.0235421173
345	0	-0.0195890423	0.0195890423
346	0	-0.0125312805	0.0125312805
347	1	-0.0254660603	0.0254660603
348	0	-0.0039309980	0.0039309980
349	1	0.0149238585	0.0149238585
350	1	0.0066205980	0.0066205980
351	0	0.0070364950	0.0070364950
352	0	0.0225147251	0.0225147251
353	1	-0.0005262375	0.0005262375
354	0	0.0184908863	0.0184908863
355	1	0.0063359262	0.0063359262
356	0	0.0142998695	0.0142998695
357	1	-0.0164235123	0.0164235123
358	0	0.0089376448	0.0089376448
359	1	-0.2805896699	0.2805896699
360	0	-0.0028756142	0.0028756142
361	1	-0.0011990548	0.0011990548
362	0	-0.0117635727	0.0117635727
363	1	0.2757121921	0.2757121921
364	1	-0.0173840523	0.0173840523
365	0	-0.0007490158	0.0007490158
366	0	0.0099308016	0.0099308016
367	0	0.0126993181	0.0126993181
368	1	0.0045351982	0.0045351982
369	1	-0.0776843056	0.0776843056
370	1	0.0175790787	0.0175790787
371	0	0.0033473969	0.0033473969
372	0	-0.0006357193	0.0006357193
373	1	0.0060131075	0.0060131075
374	1	0.0102230068	0.0102230068
375	0	0.0105760572	0.0105760572
376	0	0.1934448183	0.1934448183
377	1	0.1005372033	0.1005372033
378	0	0.0456917770	0.0456917770
379	1	0.0232128147	0.0232128147
380	0	-0.0023268699	0.0023268699
381	1	-0.0231747627	0.0231747627
382	0	-0.0093654636	0.0093654636
383	1	-0.5144400597	0.5144400597
384	1	-0.0154032707	0.0154032707
385	0	-0.0392585769	0.0392585769
386	0	0.0065128328	0.0065128328
387	1	0.0161193851	0.0161193851
388	0	0.0036311150	0.0036311150
389	1	0.0071131708	0.0071131708
390	0	0.0092227934	0.0092227934
391	1	-0.0464221016	0.0464221016
392	1	0.0136568071	0.0136568071
393	0	0.0073717115	0.0073717115
394	0	-0.0109928129	0.0109928129
395	1	0.0091169355	0.0091169355
396	1	0.0003509521	0.0003509521
397	0	-0.0044541359	0.0044541359
398	1	0.0714150444	0.0714150444
399	0	-0.0010007859	0.0010007859
400	0	-0.0065238951	0.0065238951
401	1	-0.2139956504	0.2139956504
402	0	0.0073820115	0.0073820115
403	1	-0.3307968974	0.3307968974
404	1	-0.0043291091	0.0043291091
405	0	-0.0070055006	0.0070055006
406	0	0.0040349960	0.0040349960
407	1	0.0047591208	0.0047591208
408	0	0.0375069603	0.0375069603
409	1	-0.0233250614	0.0233250614
410	0	0.0132569317	0.0132569317
411	1	-0.0101978304	0.0101978304
412	0	-0.0046776771	0.0046776771
413	1	0.0006841660	0.0006841660
414	0	0.1087979302	0.1087979302
415	1	0.0191985127	0.0191985127
416	1	0.1060832962	0.1060832962
417	0	0.0294690132	0.0294690132
418	1	0.0017512322	0.0017512322
419	0	0.0081618307	0.0081618307
420	1	0.1108232513	0.1108232513
421	0	-0.0020851134	0.0020851134
422	0	0.0091258045	0.0091258045
423	1	-0.0113194464	0.0113194464
424	0	0.0070399283	0.0070399283
425	1	-0.0695596710	0.0695596710
426	1	0.0040455819	0.0040455819
427	0	-0.0012330055	0.0012330055
428	0	-0.0016222954	0.0016222954
429	1	0.0040341378	0.0040341378
430	0	-0.0144135477	0.0144135477
431	1	0.0119091989	0.0119091989
432	1	0.0477483757	0.0477483757
433	0	0.0069428445	0.0069428445
434	0	-0.0161894802	0.0161894802
435	1	-0.1017233878	0.1017233878
436	1	0.2147096694	0.2147096694
437	0	-0.0047704699	0.0047704699
438	1	0.0630467385	0.0630467385
439	0	0.0075068474	0.0075068474
440	1	-0.1567660272	0.1567660272
441	0	0.0041714669	0.0041714669
442	0	0.0334436409	0.0334436409
443	1	-0.0045439722	0.0045439722
444	1	-0.1042266861	0.1042266861
445	0	-0.0045619011	0.0045619011
446	1	-0.0146535877	0.0146535877
447	0	0.0026539802	0.0026539802
448	0	0.0044077872	0.0044077872
449	1	0.0133996960	0.0133996960
450	1	0.0443313606	0.0443313606
451	0	-0.0060256957	0.0060256957
452	1	-0.1137701049	0.1137701049
453	0	0.0679862946	0.0679862946
454	0	0.0232719425	0.0232719425
455	1	-0.0215972904	0.0215972904
456	1	0.0609013550	0.0609013550
457	0	-0.0045530321	0.0045530321
458	0	-0.0057339668	0.0057339668
459	1	-0.0031860352	0.0031860352
460	0	-0.0056837080	0.0056837080
461	1	-0.0472026840	0.0472026840
462	1	-0.0277810097	0.0277810097
463	0	0.0066838264	0.0066838264
464	1	0.0552680977	0.0552680977
465	0	0.0205747597	0.0205747597
466	1	-0.0215865131	0.0215865131
467	0	-0.0784611702	0.0784611702
468	1	0.0206434242	0.0206434242
469	0	0.0128796576	0.0128796576
470	1	0.0316984169	0.0316984169
471	1	0.0657444000	0.0657444000
472	0	-0.0050894739	0.0050894739
473	0	0.0101191523	0.0101191523
474	0	-0.0054423334	0.0054423334
475	1	0.0068271635	0.0068271635
476	0	0.0014342308	0.0014342308
477	1	0.0140510555	0.0140510555
478	0	0.0373047814	0.0373047814
479	1	-0.0004171371	0.0004171371
480	1	0.1745553017	0.1745553017
481	0	0.0385383591	0.0385383591
482	0	-0.0093591688	0.0093591688
483	1	0.0010396957	0.0010396957
484	0	0.0031118393	0.0031118393
485	1	-0.0467359535	0.0467359535
486	0	0.0029517175	0.0029517175
487	1	0.0094325067	0.0094325067
488	1	0.0766248703	0.0766248703
489	0	-0.0123004913	0.0123004913
490	1	0.0075244904	0.0075244904
491	0	0.0027025223	0.0027025223
492	0	0.0086990353	0.0086990353
493	1	0.0165095329	0.0165095329
494	1	0.0131492615	0.0131492615
495	0	0.0527746193	0.0527746193
496	0	-0.0140172001	0.0140172001
497	1	-0.0027168274	0.0027168274
498	0	-0.0200567245	0.0200567245
499	1	0.0073168753	0.0073168753
