chrom	length	bases	mean	min	max
chr14_GL000009v2_random_region	201709	8850	0.04	0	5
chr14_GL000194v1_random	191469	2250	0.01	0	2
chr14_GL000194v1_random_region	191469	2250	0.01	0	2
chr14_GL000225v1_random	211173	4650	0.02	0	6
chr14_GL000225v1_random_region	211173	4650	0.02	0	6
chr14_KI270722v1_random	194050	24900	0.13	0	6
chr14_KI270722v1_random_region	194050	24900	0.13	0	6
chr14_KI270725v1_random	172810	32250	0.19	0	7
chr14_KI270725v1_random_region	172810	32250	0.19	0	7
chr14_KI270847v1_alt	1511111	450	0.00	0	2
chr14_KI270847v1_alt_region	1511111	450	0.00	0	2
chr15	101991189	14250	0.00	0	3
chr15_region	101991189	14250	0.00	0	3
chr15_KI270849v1_alt	244917	150	0.00	0	1
chr15_KI270849v1_alt_region	244917	150	0.00	0	1
chr15_KI270905v1_alt	5161414	150	0.00	0	1
chr15_KI270905v1_alt_region	5161414	150	0.00	0	1
chr16	90338345	11400	0.00	0	4
chr16_region	90338345	11400	0.00	0	4
chr16_KI270728v1_random	1872759	7200	0.00	0	3
chr16_KI270728v1_random_region	1872759	7200	0.00	0	3
chr16_KI270853v1_alt	2659700	150	0.00	0	1
chr16_KI270853v1_alt_region	2659700	150	0.00	0	1
chr17	83257441	10200	0.00	0	4
chr17_region	83257441	10200	0.00	0	4
chr17_KI270729v1_random	280839	150	0.00	0	1
chr17_KI270729v1_random_region	280839	150	0.00	0	1
chr17_GL000258v2_alt	1821992	300	0.00	0	2
chr17_GL000258v2_alt_region	1821992	300	0.00	0	2
chr18	80373285	10200	0.00	0	3
chr18_region	80373285	10200	0.00	0	3
chr18_GL383567v1_alt	289831	150	0.00	0	1
chr18_GL383567v1_alt_region	289831	150	0.00	0	1
chr18_GL383570v1_alt	164789	150	0.00	0	1
chr18_GL383570v1_alt_region	164789	150	0.00	0	1
chr19	58617616	11550	0.00	0	5
chr19_region	58617616	11550	0.00	0	5
chr19_GL383573v1_alt	385657	150	0.00	0	1
chr19_GL383573v1_alt_region	385657	150	0.00	0	1
chr19_GL383575v2_alt	170222	1800	0.01	0	4
chr19_GL383575v2_alt_region	170222	1800	0.01	0	4
chr19_GL383576v1_alt	188024	1050	0.01	0	4
chr19_GL383576v1_alt_region	188024	1050	0.01	0	4
chr19_GL949746v1_alt	987716	150	0.00	0	1
chr19_GL949746v1_alt_region	987716	150	0.00	0	1
chr19_GL949751v2_alt	1002683	300	0.00	0	1
chr19_GL949751v2_alt_region	1002683	300	0.00	0	1
chr20	64444167	25800	0.00	0	5
chr20_region	64444167	25800	0.00	0	5
chr21	46709983	317850	0.01	0	10
chr21_region	46709983	317850	0.01	0	10
chr22	50818468	147277650	2.90	0	18
chr22_region	50818468	147277650	2.90	0	18
chr22_KI270731v1_random	150754	271800	1.80	0	11
chr22_KI270731v1_random_region	150754	271800	1.80	0	11
chr22_KI270732v1_random	41543	6300	0.15	0	6
chr22_KI270732v1_random_region	41543	6300	0.15	0	6
chr22_KI270734v1_random	165050	256650	1.55	0	13
chr22_KI270734v1_random_region	165050	256650	1.55	0	13
chr22_KI270737v1_random	103838	114000	1.10	0	8
chr22_KI270737v1_random_region	103838	114000	1.10	0	8
chr22_KI270738v1_random	99375	150	0.00	0	1
chr22_KI270738v1_random_region	99375	150	0.00	0	1
chr22_KI270739v1_random	73985	108300	1.46	0	8
chr22_KI270739v1_random_region	73985	108300	1.46	0	8
chr22_GL383582v2_alt	162811	200850	1.23	0	8
chr22_GL383582v2_alt_region	162811	200850	1.23	0	8
chr22_GL383583v2_alt	96924	187650	1.94	0	8
chr22_GL383583v2_alt_region	96924	187650	1.94	0	8
chr22_KB663609v1_alt	74013	69150	0.93	0	5
chr22_KB663609v1_alt_region	74013	69150	0.93	0	5
chr22_KI270875v1_alt	259914	493200	1.90	0	10
chr22_KI270875v1_alt_region	259914	493200	1.90	0	10
chr22_KI270876v1_alt	263666	498300	1.89	0	9
chr22_KI270876v1_alt_region	263666	498300	1.89	0	9
chr22_KI270877v1_alt	101331	190200	1.88	0	9
chr22_KI270877v1_alt_region	101331	190200	1.88	0	9
chr22_KI270878v1_alt	186262	307800	1.65	0	9
chr22_KI270878v1_alt_region	186262	307800	1.65	0	9
chr22_KI270879v1_alt	304135	513000	1.69	0	10
chr22_KI270879v1_alt_region	304135	513000	1.69	0	10
chr22_KI270928v1_alt	176103	219000	1.24	0	8
chr22_KI270928v1_alt_region	176103	219000	1.24	0	8
chrX	156040895	16350	0.00	0	3
chrX_region	156040895	16350	0.00	0	3
chrY	57227415	6450	0.00	0	4
chrY_region	57227415	6450	0.00	0	4
chrUn_GL000214v1	137718	5700	0.04	0	4
chrUn_GL000214v1_region	137718	5700	0.04	0	4
chrUn_GL000218v1	161147	750	0.00	0	1
chrUn_GL000218v1_region	161147	750	0.00	0	1
chrUn_GL000219v1	179198	300	0.00	0	1
chrUn_GL000219v1_region	179198	300	0.00	0	1
chrUn_GL000224v1	179693	3150	0.02	0	3
chrUn_GL000224v1_region	179693	3150	0.02	0	3
chrUn_KI270330v1	1652	150	0.09	0	1
chrUn_KI270330v1_region	1652	150	0.09	0	1
chrUn_KI270435v1	92983	4200	0.05	0	3
chrUn_KI270435v1_region	92983	4200	0.05	0	3
chrUn_KI270442v1	392061	4950	0.01	0	3
chrUn_KI270442v1_region	392061	4950	0.01	0	3
chrUn_KI270579v1	31033	300	0.01	0	1
chrUn_KI270579v1_region	31033	300	0.01	0	1
chrUn_KI270581v1	7046	14850	2.11	0	6
chrUn_KI270581v1_region	7046	14850	2.11	0	6
chrUn_KI270742v1	186739	55050	0.29	0	7
chrUn_KI270742v1_region	186739	55050	0.29	0	7
chrUn_KI270743v1	210658	57750	0.27	0	6
chrUn_KI270743v1_region	210658	57750	0.27	0	6
chrUn_KI270744v1	168472	3600	0.02	0	3
chrUn_KI270744v1_region	168472	3600	0.02	0	3
chrUn_KI270745v1	41891	300	0.01	0	1
chrUn_KI270745v1_region	41891	300	0.01	0	1
chrUn_KI270746v1	66486	150	0.00	0	1
chrUn_KI270746v1_region	66486	150	0.00	0	1
chrUn_KI270747v1	198735	750	0.00	0	1
chrUn_KI270747v1_region	198735	750	0.00	0	1
chrUn_KI270749v1	158759	26400	0.17	0	6
chrUn_KI270749v1_region	158759	26400	0.17	0	6
chrUn_KI270751v1	150742	7350	0.05	0	4
chrUn_KI270751v1_region	150742	7350	0.05	0	4
total	3138992626	153055200	0.05	0	18
total_region	3138992626	153055200	0.05	0	18
