Table S2. The mean inferCNV of key driver genes in different subtypes	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
ENSG00000157764	BRAF	AT1	7	-0.0180460577985709
ENSG00000253729	PRKDC	AT1	7	-0.0665883643194015
ENSG00000171862	PTEN	AT1	8	-0.348683605677634
ENSG00000133703	KRAS	AT1	8	0.075786172498398
ENSG00000135679	MDM2	AT1	8	-0.136515639310309
ENSG00000141736	ERBB2	AT1	8	-0.108482227334579
ENSG00000239672	NME1	AT1	8	0.163609934082048
ENSG00000124762	CDKN1A	AT1	8	-0.369961107030718
ENSG00000146648	EGFR	AT1	8	0.0385564179204118
ENSG00000105976	MET	AT1	8	0.0202774200419452
ENSG00000157764	BRAF	AT1	8	0.0838417588686227
ENSG00000253729	PRKDC	AT1	8	-0.053188493669891
ENSG00000171862	PTEN	AT1	9	-0.257876779806778
ENSG00000133703	KRAS	AT1	9	-0.220132349075807
ENSG00000135679	MDM2	AT1	9	-0.186098293269928
ENSG00000141736	ERBB2	AT1	9	-0.143222519079837
ENSG00000239672	NME1	AT1	9	-0.00452665067579653
ENSG00000124762	CDKN1A	AT1	9	-0.143222519079837
ENSG00000146648	EGFR	AT1	9	0.305293678826908
ENSG00000105976	MET	AT1	9	-0.427841094348095
ENSG00000157764	BRAF	AT1	9	-0.11013199050103
ENSG00000253729	PRKDC	AT1	9	-0.515340409527684
ENSG00000171862	PTEN	AT1	Non	0.0234432522847535
ENSG00000133703	KRAS	AT1	Non	-0.0444087210225263
ENSG00000135679	MDM2	AT1	Non	-0.00812902212063096
ENSG00000141736	ERBB2	AT1	Non	-0.0404195251574535
ENSG00000239672	NME1	AT1	Non	-9.91719749012589e-07
ENSG00000124762	CDKN1A	AT1	Non	-0.0058808049173693
ENSG00000146648	EGFR	AT1	Non	-0.0471904482542841
ENSG00000105976	MET	AT1	Non	-0.209809912768909
ENSG00000157764	BRAF	AT1	Non	-0.101845904183068
ENSG00000253729	PRKDC	AT1	Non	0.0031353980128408
ENSG00000171862	PTEN	AT2	1	-0.569892568105322
ENSG00000149311	ATM	AT2	1	-0.108494493914934
ENSG00000133703	KRAS	AT2	1	-0.120310690566264
ENSG00000135679	MDM2	AT2	1	-0.127470827006391
ENSG00000141510	TP53	AT2	1	-0.479810129145344
ENSG00000141736	ERBB2	AT2	1	-0.12976117883188
ENSG00000239672	NME1	AT2	1	0.000541966514442807
ENSG00000124762	CDKN1A	AT2	1	-0.158713788307406
ENSG00000047936	ROS1	AT2	1	-0.101571058845985
ENSG00000146648	EGFR	AT2	1	-0.237061430049531
ENSG00000105976	MET	AT2	1	-0.469357328571369
ENSG00000157764	BRAF	AT2	1	-0.0946895326874119
ENSG00000253729	PRKDC	AT2	1	-0.533209173841351
ENSG00000147889	CDKN2A	AT2	1	-0.134925989050755
ENSG00000171862	PTEN	AT2	2	-1.68276616957113
ENSG00000149311	ATM	AT2	2	-0.124260453951051
ENSG00000133703	KRAS	AT2	2	-0.238179724215028
ENSG00000135679	MDM2	AT2	2	-0.22664553683466
ENSG00000141510	TP53	AT2	2	-0.422306151832023
ENSG00000141736	ERBB2	AT2	2	0.0857599651330767
ENSG00000239672	NME1	AT2	2	-0.0459187648682565
ENSG00000124762	CDKN1A	AT2	2	-0.188109718975116
ENSG00000047936	ROS1	AT2	2	-0.0961009333391025
ENSG00000146648	EGFR	AT2	2	2.26112332731466
ENSG00000105976	MET	AT2	2	0.700695835346026
ENSG00000157764	BRAF	AT2	2	0.392005203975404
ENSG00000253729	PRKDC	AT2	2	-0.28515739897414
ENSG00000147889	CDKN2A	AT2	2	-0.35835524491549
ENSG00000171862	PTEN	AT2	3	-0.6342773653007
ENSG00000149311	ATM	AT2	3	0.310347125337172
ENSG00000133703	KRAS	AT2	3	-0.262299458881428
ENSG00000135679	MDM2	AT2	3	-0.104278609922829
ENSG00000141510	TP53	AT2	3	-0.622543245373965
ENSG00000141736	ERBB2	AT2	3	-0.126535873512295
ENSG00000239672	NME1	AT2	3	0.0799949978608452
ENSG00000124762	CDKN1A	AT2	3	-0.19564079084784
ENSG00000047936	ROS1	AT2	3	-0.0539381928719109
ENSG00000146648	EGFR	AT2	3	0.21980693008648
ENSG00000105976	MET	AT2	3	0.249072452621798
ENSG00000157764	BRAF	AT2	3	0.573824599065037
ENSG00000253729	PRKDC	AT2	3	-0.129335404419325
ENSG00000147889	CDKN2A	AT2	3	0.0976936635762397
ENSG00000171862	PTEN	AT2	4	-0.0989573136303209
ENSG00000149311	ATM	AT2	4	-0.0798944332897022
ENSG00000133703	KRAS	AT2	4	0.0146019904984849
ENSG00000135679	MDM2	AT2	4	-0.0799126060740446
ENSG00000141510	TP53	AT2	4	0.102617184370924
ENSG00000141736	ERBB2	AT2	4	-0.0349392222317008
ENSG00000239672	NME1	AT2	4	-0.0534679475254884
ENSG00000124762	CDKN1A	AT2	4	-0.0284079407014431
ENSG00000047936	ROS1	AT2	4	-0.333097293558473
ENSG00000146648	EGFR	AT2	4	0.0489998839899558
ENSG00000105976	MET	AT2	4	-0.0377954292473724
ENSG00000157764	BRAF	AT2	4	-0.0596616580974144
ENSG00000253729	PRKDC	AT2	4	1.19336113266823
ENSG00000147889	CDKN2A	AT2	4	-0.620992178418381
ENSG00000171862	PTEN	AT2	5	-0.255948098826642
ENSG00000149311	ATM	AT2	5	0.0183851504029226
ENSG00000133703	KRAS	AT2	5	0.0694420325472273
ENSG00000135679	MDM2	AT2	5	-0.00300746272153161
ENSG00000141510	TP53	AT2	5	-0.294421345044736
ENSG00000141736	ERBB2	AT2	5	-0.13226338301784
ENSG00000239672	NME1	AT2	5	0.465856024335091
ENSG00000124762	CDKN1A	AT2	5	-0.153694692415339
ENSG00000047936	ROS1	AT2	5	-0.0418625516614892
ENSG00000146648	EGFR	AT2	5	0.090026266302071
ENSG00000105976	MET	AT2	5	0.12212937463419
ENSG00000157764	BRAF	AT2	5	0.100785829008991
ENSG00000253729	PRKDC	AT2	5	-0.0182683498565372
ENSG00000147889	CDKN2A	AT2	5	-0.095913593651994
ENSG00000171862	PTEN	AT2	6	-0.930052502353333
ENSG00000149311	ATM	AT2	6	-0.141050923667807
ENSG00000133703	KRAS	AT2	6	-0.155919756272473
ENSG00000135679	MDM2	AT2	6	-0.0779283247034695
ENSG00000141510	TP53	AT2	6	-0.396024749043719
ENSG00000141736	ERBB2	AT2	6	1.52819352429407
ENSG00000239672	NME1	AT2	6	1.22139191692811
ENSG00000124762	CDKN1A	AT2	6	-0.0694654149152311
ENSG00000047936	ROS1	AT2	6	-0.197175152217632
ENSG00000146648	EGFR	AT2	6	-0.1389175512202
ENSG00000105976	MET	AT2	6	-0.217238553617818
ENSG00000157764	BRAF	AT2	6	-0.16854732822463
ENSG00000253729	PRKDC	AT2	6	-0.144092881992387
ENSG00000147889	CDKN2A	AT2	6	-0.279620716295015
ENSG00000171862	PTEN	AT2	7	-1.10442556801621
ENSG00000149311	ATM	AT2	7	-0.19125762794365
ENSG00000133703	KRAS	AT2	7	-0.377531229631303
ENSG00000135679	MDM2	AT2	7	-0.327385241826279
ENSG00000141510	TP53	AT2	7	-0.186456577193981
ENSG00000141736	ERBB2	AT2	7	0.212830688275859
ENSG00000239672	NME1	AT2	7	0.306182488435895
ENSG00000124762	CDKN1A	AT2	7	0.168092287827605
ENSG00000047936	ROS1	AT2	7	-0.521097758086116
ENSG00000146648	EGFR	AT2	7	1.32404158978112
ENSG00000105976	MET	AT2	7	0.412541631272689
ENSG00000157764	BRAF	AT2	7	0.191770230990252
ENSG00000253729	PRKDC	AT2	7	-0.512401352058061
ENSG00000147889	CDKN2A	AT2	7	-0.213446565492221
ENSG00000171862	PTEN	AT2	8	-1.16219172399625
ENSG00000149311	ATM	AT2	8	-0.347808733847898
ENSG00000133703	KRAS	AT2	8	-0.371312389463213
ENSG00000135679	MDM2	AT2	8	-0.184964951233938
ENSG00000141510	TP53	AT2	8	0.157462565214415
ENSG00000141736	ERBB2	AT2	8	0.150988797545261
ENSG00000239672	NME1	AT2	8	0.24355475704214
ENSG00000124762	CDKN1A	AT2	8	-0.0101978147009199
ENSG00000047936	ROS1	AT2	8	0.0517927445592201
ENSG00000146648	EGFR	AT2	8	-0.030319713764332
ENSG00000105976	MET	AT2	8	-0.108354566898388
ENSG00000157764	BRAF	AT2	8	-0.0969866594988858
ENSG00000253729	PRKDC	AT2	8	-0.0584129147247845
ENSG00000147889	CDKN2A	AT2	8	-0.121580669711892
ENSG00000171862	PTEN	AT2	9	-0.306318287730876
ENSG00000149311	ATM	AT2	9	0.145349330811571
ENSG00000133703	KRAS	AT2	9	-0.116338074396515
ENSG00000135679	MDM2	AT2	9	-0.10719547944664
ENSG00000141510	TP53	AT2	9	-0.0495390941545879
ENSG00000141736	ERBB2	AT2	9	0.404430655584476
ENSG00000239672	NME1	AT2	9	0.420196247771201
ENSG00000124762	CDKN1A	AT2	9	0.0170538805405941
ENSG00000047936	ROS1	AT2	9	-0.174918775675413
ENSG00000146648	EGFR	AT2	9	-0.0591316661272453
ENSG00000105976	MET	AT2	9	-0.0374389376060307
ENSG00000157764	BRAF	AT2	9	-0.00800148674225911
ENSG00000253729	PRKDC	AT2	9	-0.117357644202038
ENSG00000147889	CDKN2A	AT2	9	-0.15110119870177
ENSG00000171862	PTEN	AT2	Non	0.0239179949206772
ENSG00000149311	ATM	AT2	Non	-0.0198018333661595
ENSG00000133703	KRAS	AT2	Non	-0.023290971281416
ENSG00000135679	MDM2	AT2	Non	0.0600583019331995
ENSG00000141510	TP53	AT2	Non	0.0438871837200172
ENSG00000141736	ERBB2	AT2	Non	0.0256408689528259
ENSG00000239672	NME1	AT2	Non	-0.0137466989384791
ENSG00000124762	CDKN1A	AT2	Non	0.00569033521006258
ENSG00000047936	ROS1	AT2	Non	0.0332078365339561
ENSG00000146648	EGFR	AT2	Non	-0.0559810488984686
ENSG00000105976	MET	AT2	Non	-0.0418640325802757
ENSG00000157764	BRAF	AT2	Non	-0.0521098583702662
ENSG00000253729	PRKDC	AT2	Non	0.0214660549958057
ENSG00000147889	CDKN2A	AT2	Non	0.0535964032193492
ENSG00000171862	PTEN	Basal	1	-0.0832045228580591
ENSG00000133703	KRAS	Basal	1	-0.0852212592640502
ENSG00000135679	MDM2	Basal	1	-0.0890478628838453
ENSG00000141510	TP53	Basal	1	-0.132701321056626
ENSG00000239672	NME1	Basal	1	-0.0882538339804844
ENSG00000124762	CDKN1A	Basal	1	-0.077505592972438
ENSG00000146648	EGFR	Basal	1	-0.084048148329755
ENSG00000105976	MET	Basal	1	-0.0629349608453607
ENSG00000253729	PRKDC	Basal	1	-0.0822888659262371
ENSG00000147889	CDKN2A	Basal	1	-0.5156426238135
ENSG00000171862	PTEN	Basal	2	-0.0979285480303004
ENSG00000133703	KRAS	Basal	2	-0.0912879932654101
ENSG00000135679	MDM2	Basal	2	0.172893336569515
ENSG00000141510	TP53	Basal	2	-0.143590371155943
ENSG00000239672	NME1	Basal	2	-0.0979285480303004
ENSG00000124762	CDKN1A	Basal	2	0.0675049556409784
ENSG00000146648	EGFR	Basal	2	-0.0768205900340163
ENSG00000105976	MET	Basal	2	0.05224999723156
ENSG00000253729	PRKDC	Basal	2	-0.101050945029388
ENSG00000147889	CDKN2A	Basal	2	-0.319821434382888
ENSG00000171862	PTEN	Basal	3	-0.141391865216525
ENSG00000133703	KRAS	Basal	3	-0.133149037747138
ENSG00000135679	MDM2	Basal	3	-0.157503224228587
ENSG00000141510	TP53	Basal	3	-0.113459684051625
ENSG00000239672	NME1	Basal	3	-0.141391865216525
ENSG00000124762	CDKN1A	Basal	3	1.49706425876929
ENSG00000146648	EGFR	Basal	3	0.365803151969244
ENSG00000105976	MET	Basal	3	2.5067154144672
ENSG00000253729	PRKDC	Basal	3	-0.184254794942457
ENSG00000147889	CDKN2A	Basal	3	-0.209932186669745
ENSG00000171862	PTEN	Basal	4	-0.0388422315718707
ENSG00000133703	KRAS	Basal	4	-0.068144115407222
ENSG00000135679	MDM2	Basal	4	-0.0507500681869654
ENSG00000141510	TP53	Basal	4	-0.132366552136699
ENSG00000239672	NME1	Basal	4	-0.0614656438472667
ENSG00000124762	CDKN1A	Basal	4	0.211216854083838
ENSG00000146648	EGFR	Basal	4	-0.0268112228350195
ENSG00000105976	MET	Basal	4	-0.038509893669287
ENSG00000253729	PRKDC	Basal	4	-0.00807770383122383
ENSG00000147889	CDKN2A	Basal	4	-1.00659329122728
ENSG00000171862	PTEN	Basal	5	-0.0356376318644333
ENSG00000133703	KRAS	Basal	5	-0.0876285982977513
ENSG00000135679	MDM2	Basal	5	-0.0123486526185829
ENSG00000141510	TP53	Basal	5	-1.43997892895038
ENSG00000239672	NME1	Basal	5	-0.0824070011278629
ENSG00000124762	CDKN1A	Basal	5	0.0076079818286526
ENSG00000146648	EGFR	Basal	5	-0.0668151913178719
ENSG00000105976	MET	Basal	5	-0.0704066866992436
ENSG00000253729	PRKDC	Basal	5	2.13313772949188
ENSG00000147889	CDKN2A	Basal	5	-1.59294714084432
ENSG00000171862	PTEN	Basal	6	-0.112550142573086
ENSG00000133703	KRAS	Basal	6	-0.147081933192222
ENSG00000135679	MDM2	Basal	6	-0.0112640633513191
ENSG00000141510	TP53	Basal	6	-0.2800981173694
ENSG00000239672	NME1	Basal	6	-0.143384704439772
ENSG00000124762	CDKN1A	Basal	6	-0.0662672243593169
ENSG00000146648	EGFR	Basal	6	-0.0823122165279302
ENSG00000105976	MET	Basal	6	1.20551765424871
ENSG00000253729	PRKDC	Basal	6	-0.182298985872691
ENSG00000147889	CDKN2A	Basal	6	-0.516082973930737
ENSG00000171862	PTEN	Basal	7	-0.16454602453199
ENSG00000133703	KRAS	Basal	7	-0.149511434801362
ENSG00000135679	MDM2	Basal	7	-0.153121906446678
ENSG00000141510	TP53	Basal	7	-0.152479375215179
ENSG00000239672	NME1	Basal	7	-0.157118182488196
ENSG00000124762	CDKN1A	Basal	7	-0.157089212277712
ENSG00000146648	EGFR	Basal	7	-0.149554239395827
ENSG00000105976	MET	Basal	7	-0.147806330972851
ENSG00000253729	PRKDC	Basal	7	-0.164337502034617
ENSG00000147889	CDKN2A	Basal	7	-0.824892393308943
ENSG00000171862	PTEN	Basal	Non	-0.103415845713651
ENSG00000133703	KRAS	Basal	Non	-0.0888545656879379
ENSG00000135679	MDM2	Basal	Non	-0.0934721260994552
ENSG00000141510	TP53	Basal	Non	-0.0984410301714264
ENSG00000239672	NME1	Basal	Non	-0.102620751044742
ENSG00000124762	CDKN1A	Basal	Non	-0.0991059120712132
ENSG00000146648	EGFR	Basal	Non	-0.0897351928265111
ENSG00000105976	MET	Basal	Non	-0.0700704363398737
ENSG00000253729	PRKDC	Basal	Non	-0.110397409777824
ENSG00000147889	CDKN2A	Basal	Non	-0.719088350038363
ENSG00000171862	PTEN	Cilia	1	-0.167482411084439
ENSG00000149311	ATM	Cilia	1	0.175308010127375
ENSG00000133703	KRAS	Cilia	1	-0.0623693780029441
ENSG00000135679	MDM2	Cilia	1	-0.00286802272634629
ENSG00000141736	ERBB2	Cilia	1	-0.0718957479649828
ENSG00000239672	NME1	Cilia	1	-0.191029371712792
ENSG00000124762	CDKN1A	Cilia	1	-0.128681578744512
ENSG00000105976	MET	Cilia	1	-0.0338458681561267
ENSG00000157764	BRAF	Cilia	1	-0.128370084320307
ENSG00000253729	PRKDC	Cilia	1	-0.0320407631965568
ENSG00000171862	PTEN	Cilia	2	-0.0432361497104011
ENSG00000149311	ATM	Cilia	2	0.0709508896070414
ENSG00000133703	KRAS	Cilia	2	0.0391981502308912
ENSG00000135679	MDM2	Cilia	2	-0.0565983397160027
ENSG00000141736	ERBB2	Cilia	2	-0.097354941122824
ENSG00000239672	NME1	Cilia	2	0.468710911615882
ENSG00000124762	CDKN1A	Cilia	2	-0.224035892105269
ENSG00000105976	MET	Cilia	2	0.100404840750899
ENSG00000157764	BRAF	Cilia	2	0.0266354734434446
ENSG00000253729	PRKDC	Cilia	2	0.0498833667212912
ENSG00000171862	PTEN	Cilia	3	-0.147635214518907
ENSG00000149311	ATM	Cilia	3	0.100758918578619
ENSG00000133703	KRAS	Cilia	3	-0.096960716443187
ENSG00000135679	MDM2	Cilia	3	0.086963758020815
ENSG00000141736	ERBB2	Cilia	3	1.93567762631789
ENSG00000239672	NME1	Cilia	3	-0.01167360250829
ENSG00000124762	CDKN1A	Cilia	3	0.00897528872059174
ENSG00000105976	MET	Cilia	3	0.0504242447828272
ENSG00000157764	BRAF	Cilia	3	0.0346943521012513
ENSG00000253729	PRKDC	Cilia	3	0.0224702578702844
ENSG00000171862	PTEN	Cilia	4	-0.554391518116411
ENSG00000149311	ATM	Cilia	4	-0.339359250179193
ENSG00000133703	KRAS	Cilia	4	-0.188519725571952
ENSG00000135679	MDM2	Cilia	4	-0.125277275729753
ENSG00000141736	ERBB2	Cilia	4	0.750817064873667
ENSG00000239672	NME1	Cilia	4	0.0672923131456247
ENSG00000124762	CDKN1A	Cilia	4	0.0409635489382668
ENSG00000105976	MET	Cilia	4	-0.134586752420572
ENSG00000157764	BRAF	Cilia	4	-0.226384503441303
ENSG00000253729	PRKDC	Cilia	4	-0.480692757809437
ENSG00000171862	PTEN	Cilia	5	-0.179008572564062
ENSG00000149311	ATM	Cilia	5	0.436511253533793
ENSG00000133703	KRAS	Cilia	5	0.0883081770479839
ENSG00000135679	MDM2	Cilia	5	0.12279173640456
ENSG00000141736	ERBB2	Cilia	5	-0.146805816374052
ENSG00000239672	NME1	Cilia	5	-0.0982227819161604
ENSG00000124762	CDKN1A	Cilia	5	-0.0956797294146772
ENSG00000105976	MET	Cilia	5	0.0394848975534449
ENSG00000157764	BRAF	Cilia	5	0.00201909520455413
ENSG00000253729	PRKDC	Cilia	5	0.105117486043345
ENSG00000171862	PTEN	Cilia	6	-0.813653038173451
ENSG00000149311	ATM	Cilia	6	-0.798170244162222
ENSG00000133703	KRAS	Cilia	6	-0.309416701584404
ENSG00000135679	MDM2	Cilia	6	-0.452625055959427
ENSG00000141736	ERBB2	Cilia	6	0.267874619895306
ENSG00000239672	NME1	Cilia	6	0.00136550655928228
ENSG00000124762	CDKN1A	Cilia	6	0.136142956407059
ENSG00000105976	MET	Cilia	6	-0.0410540001857842
ENSG00000157764	BRAF	Cilia	6	0.171301657603566
ENSG00000253729	PRKDC	Cilia	6	-0.0890893998697359
ENSG00000171862	PTEN	Cilia	7	-0.057604320038588
ENSG00000149311	ATM	Cilia	7	0.103797395848876
ENSG00000133703	KRAS	Cilia	7	-0.0492898502346121
ENSG00000135679	MDM2	Cilia	7	0.207524506714814
ENSG00000141736	ERBB2	Cilia	7	-0.170457760418237
ENSG00000239672	NME1	Cilia	7	-0.0799809955253268
ENSG00000124762	CDKN1A	Cilia	7	-0.155606170575234
ENSG00000105976	MET	Cilia	7	0.14215729191104
ENSG00000157764	BRAF	Cilia	7	0.120836414611808
ENSG00000253729	PRKDC	Cilia	7	0.171805580914364
ENSG00000171862	PTEN	Cilia	8	-0.0905299391005107
ENSG00000149311	ATM	Cilia	8	-0.340687184769318
ENSG00000133703	KRAS	Cilia	8	-0.161866956125672
ENSG00000135679	MDM2	Cilia	8	-0.217004177606551
ENSG00000141736	ERBB2	Cilia	8	-0.0859145009523098
ENSG00000239672	NME1	Cilia	8	-0.0515171053665892
ENSG00000124762	CDKN1A	Cilia	8	0.277799838190991
ENSG00000105976	MET	Cilia	8	-0.0436731832456316
ENSG00000157764	BRAF	Cilia	8	0.116339547172663
ENSG00000253729	PRKDC	Cilia	8	-0.715927557844341
ENSG00000171862	PTEN	Cilia	9	-0.0548523357131283
ENSG00000149311	ATM	Cilia	9	-0.185752865124449
ENSG00000133703	KRAS	Cilia	9	-0.170617671064368
ENSG00000135679	MDM2	Cilia	9	0.1078910338451
ENSG00000141736	ERBB2	Cilia	9	0.125923891612233
ENSG00000239672	NME1	Cilia	9	-0.113265393649019
ENSG00000124762	CDKN1A	Cilia	9	1.46816269148571
ENSG00000105976	MET	Cilia	9	-0.100789412404244
ENSG00000157764	BRAF	Cilia	9	-0.129073913922471
ENSG00000253729	PRKDC	Cilia	9	-0.111349304544047
ENSG00000171862	PTEN	Cilia	Non	-0.0449924079268065
ENSG00000149311	ATM	Cilia	Non	-0.0722768017984889
ENSG00000133703	KRAS	Cilia	Non	-0.0357662759042274
ENSG00000135679	MDM2	Cilia	Non	-0.0128464854942929
ENSG00000141736	ERBB2	Cilia	Non	0.0304036168477399
ENSG00000239672	NME1	Cilia	Non	-0.0570461815504715
ENSG00000124762	CDKN1A	Cilia	Non	0.0415643843400296
ENSG00000105976	MET	Cilia	Non	0.00570613657434152
ENSG00000157764	BRAF	Cilia	Non	-0.0636289886283811
ENSG00000253729	PRKDC	Cilia	Non	0.00311126407746146
ENSG00000171862	PTEN	Club	1	0.0909329458586616
ENSG00000133703	KRAS	Club	1	-0.198074251869509
ENSG00000141736	ERBB2	Club	1	0.129149776469712
ENSG00000239672	NME1	Club	1	-0.0909427053290851
ENSG00000124762	CDKN1A	Club	1	-0.00683007592603347
ENSG00000146648	EGFR	Club	1	0.010651909339375
ENSG00000105976	MET	Club	1	0.123106631563595
ENSG00000253729	PRKDC	Club	1	-0.0870998155960319
ENSG00000171862	PTEN	Club	2	0.180042608922509
ENSG00000133703	KRAS	Club	2	-0.114449248085098
ENSG00000141736	ERBB2	Club	2	-0.258138201567062
ENSG00000239672	NME1	Club	2	-0.370829453159645
ENSG00000124762	CDKN1A	Club	2	-0.0154656950499604
ENSG00000146648	EGFR	Club	2	1.40370957444887
ENSG00000105976	MET	Club	2	0.296126768640275
ENSG00000253729	PRKDC	Club	2	0.206256025566783
ENSG00000171862	PTEN	Club	3	-0.403206543666983
ENSG00000133703	KRAS	Club	3	-0.358028454617812
ENSG00000141736	ERBB2	Club	3	-0.141214884422269
ENSG00000239672	NME1	Club	3	-0.297522470219827
ENSG00000124762	CDKN1A	Club	3	0.00136522262722149
ENSG00000146648	EGFR	Club	3	1.31406974436774
ENSG00000105976	MET	Club	3	0.62462038027513
ENSG00000253729	PRKDC	Club	3	0.128158149472282
ENSG00000171862	PTEN	Club	4	-0.0640912803201123
ENSG00000133703	KRAS	Club	4	-0.358068066713183
ENSG00000141736	ERBB2	Club	4	1.26745089869044
ENSG00000239672	NME1	Club	4	0.354587433469645
ENSG00000124762	CDKN1A	Club	4	-0.1299157300956
ENSG00000146648	EGFR	Club	4	0.250303831968039
ENSG00000105976	MET	Club	4	-0.317421553093581
ENSG00000253729	PRKDC	Club	4	-0.180838935669956
ENSG00000171862	PTEN	Club	5	-0.196442796984394
ENSG00000133703	KRAS	Club	5	-0.0230402288349595
ENSG00000141736	ERBB2	Club	5	0.111050914057134
ENSG00000239672	NME1	Club	5	-0.0740271417616294
ENSG00000124762	CDKN1A	Club	5	-0.0951424205350794
ENSG00000146648	EGFR	Club	5	-0.0908436046788887
ENSG00000105976	MET	Club	5	-0.18989216572985
ENSG00000253729	PRKDC	Club	5	-0.354272398146232
ENSG00000171862	PTEN	Club	6	-0.113480360541457
ENSG00000133703	KRAS	Club	6	-0.0497342617070402
ENSG00000141736	ERBB2	Club	6	-0.187516487432256
ENSG00000239672	NME1	Club	6	0.123234418081808
ENSG00000124762	CDKN1A	Club	6	-0.250781121148212
ENSG00000146648	EGFR	Club	6	0.0925882899027436
ENSG00000105976	MET	Club	6	-0.0445235595835888
ENSG00000253729	PRKDC	Club	6	-0.145935560657935
ENSG00000171862	PTEN	Club	7	-0.187109183702497
ENSG00000133703	KRAS	Club	7	-0.0775118613197317
ENSG00000141736	ERBB2	Club	7	-0.114998765473321
ENSG00000239672	NME1	Club	7	0.0335616691597434
