section	key	value	extra
top_bin	90	148.461000	chr1:156500000-156510000
top_bin	91	148.094000	chr14:24140000-24150000
top_bin	92	148.068000	chr20:57390000-57400000
top_bin	93	147.976000	chr19:790000-800000
top_bin	94	147.399000	chr15:70090000-70100000
top_bin	95	146.875000	chr19:13150000-13160000
top_bin	96	146.534000	chr3:50290000-50300000
top_bin	97	146.114000	chr19:40440000-40450000
top_bin	98	145.918000	chr5:173050000-173060000
top_bin	99	145.852000	chr4:128280000-128290000
top_bin	100	145.813000	chr16:31450000-31460000
