#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr14_KI270725v1_random	1	172810	0	0	0	0	0	0
chr14_KI270726v1_random	1	43739	0	0	0	0	0	0
chr14_KI270844v1_alt	1	322166	0	0	0	0	0	0
chr14_KI270845v1_alt	1	180703	0	0	0	0	0	0
chr14_KI270846v1_alt	1	1351393	0	0	0	0	0	0
chr14_KI270847v1_alt	1	1511111	0	0	0	0	0	0
chr15	1	101991189	0	0	0	0	0	0
chr15_KI270727v1_random	1	448248	0	0	0	0	0	0
chr15_GL383554v1_alt	1	296527	0	0	0	0	0	0
chr15_GL383555v2_alt	1	388773	0	0	0	0	0	0
chr15_KI270848v1_alt	1	327382	0	0	0	0	0	0
chr15_KI270849v1_alt	1	244917	0	0	0	0	0	0
chr15_KI270850v1_alt	1	430880	0	0	0	0	0	0
chr15_KI270851v1_alt	1	263054	0	0	0	0	0	0
chr15_KI270852v1_alt	1	478999	0	0	0	0	0	0
chr15_KI270905v1_alt	1	5161414	0	0	0	0	0	0
chr15_KI270906v1_alt	1	196384	0	0	0	0	0	0
chr16	1	90338345	0	0	0	0	0	0
chr16_KI270728v1_random	1	1872759	0	0	0	0	0	0
chr16_GL383556v1_alt	1	192462	0	0	0	0	0	0
chr16_GL383557v1_alt	1	89672	0	0	0	0	0	0
chr16_KI270853v1_alt	1	2659700	0	0	0	0	0	0
chr16_KI270854v1_alt	1	134193	0	0	0	0	0	0
chr16_KI270855v1_alt	1	232857	0	0	0	0	0	0
chr16_KI270856v1_alt	1	63982	0	0	0	0	0	0
chr17	1	83257441	0	0	0	0	0	0
chr17_GL000205v2_random	1	185591	0	0	0	0	0	0
chr17_KI270729v1_random	1	280839	0	0	0	0	0	0
chr17_KI270730v1_random	1	112551	0	0	0	0	0	0
chr17_GL000258v2_alt	1	1821992	0	0	0	0	0	0
chr17_GL383563v3_alt	1	375691	0	0	0	0	0	0
chr17_GL383564v2_alt	1	133151	0	0	0	0	0	0
chr17_GL383565v1_alt	1	223995	0	0	0	0	0	0
chr17_GL383566v1_alt	1	90219	0	0	0	0	0	0
chr17_JH159146v1_alt	1	278131	0	0	0	0	0	0
chr17_JH159147v1_alt	1	70345	0	0	0	0	0	0
chr17_JH159148v1_alt	1	88070	0	0	0	0	0	0
chr17_KI270857v1_alt	1	2877074	0	0	0	0	0	0
chr17_KI270858v1_alt	1	235827	0	0	0	0	0	0
chr17_KI270859v1_alt	1	108763	0	0	0	0	0	0
chr17_KI270860v1_alt	1	178921	0	0	0	0	0	0
chr17_KI270861v1_alt	1	196688	0	0	0	0	0	0
chr17_KI270862v1_alt	1	391357	0	0	0	0	0	0
chr17_KI270907v1_alt	1	137721	0	0	0	0	0	0
chr17_KI270908v1_alt	1	1423190	0	0	0	0	0	0
chr17_KI270909v1_alt	1	325800	0	0	0	0	0	0
chr17_KI270910v1_alt	1	157099	0	0	0	0	0	0
chr18	1	80373285	0	0	0	0	0	0
chr18_GL383567v1_alt	1	289831	0	0	0	0	0	0
chr18_GL383568v1_alt	1	104552	0	0	0	0	0	0
chr18_GL383569v1_alt	1	167950	0	0	0	0	0	0
chr18_GL383570v1_alt	1	164789	0	0	0	0	0	0
chr18_GL383571v1_alt	1	198278	0	0	0	0	0	0
chr18_GL383572v1_alt	1	159547	0	0	0	0	0	0
chr18_KI270863v1_alt	1	167999	0	0	0	0	0	0
chr18_KI270864v1_alt	1	111737	0	0	0	0	0	0
chr18_KI270911v1_alt	1	157710	0	0	0	0	0	0
chr18_KI270912v1_alt	1	174061	0	0	0	0	0	0
chr19	1	58617616	0	0	0	0	0	0
chr19_GL000209v2_alt	1	177381	0	0	0	0	0	0
chr19_GL383573v1_alt	1	385657	0	0	0	0	0	0
chr19_GL383574v1_alt	1	155864	0	0	0	0	0	0
chr19_GL383575v2_alt	1	170222	0	0	0	0	0	0
chr19_GL383576v1_alt	1	188024	0	0	0	0	0	0
chr19_GL949746v1_alt	1	987716	0	0	0	0	0	0
chr19_GL949747v2_alt	1	729520	0	0	0	0	0	0
chr19_GL949748v2_alt	1	1064304	0	0	0	0	0	0
chr19_GL949749v2_alt	1	1091841	0	0	0	0	0	0
chr19_GL949750v2_alt	1	1066390	0	0	0	0	0	0
chr19_GL949751v2_alt	1	1002683	0	0	0	0	0	0
chr19_GL949752v1_alt	1	987100	0	0	0	0	0	0
chr19_GL949753v2_alt	1	796479	0	0	0	0	0	0
chr19_KI270865v1_alt	1	52969	0	0	0	0	0	0
chr19_KI270866v1_alt	1	43156	0	0	0	0	0	0
chr19_KI270867v1_alt	1	233762	0	0	0	0	0	0
chr19_KI270868v1_alt	1	61734	0	0	0	0	0	0
chr19_KI270882v1_alt	1	248807	0	0	0	0	0	0
chr19_KI270883v1_alt	1	170399	0	0	0	0	0	0
chr19_KI270884v1_alt	1	157053	0	0	0	0	0	0
chr19_KI270885v1_alt	1	171027	0	0	0	0	0	0
chr19_KI270886v1_alt	1	204239	0	0	0	0	0	0
chr19_KI270887v1_alt	1	209512	0	0	0	0	0	0
chr19_KI270888v1_alt	1	155532	0	0	0	0	0	0
chr19_KI270889v1_alt	1	170698	0	0	0	0	0	0
chr19_KI270890v1_alt	1	184499	0	0	0	0	0	0
chr19_KI270891v1_alt	1	170680	0	0	0	0	0	0
chr19_KI270914v1_alt	1	205194	0	0	0	0	0	0
chr19_KI270915v1_alt	1	170665	0	0	0	0	0	0
chr19_KI270916v1_alt	1	184516	0	0	0	0	0	0
chr19_KI270917v1_alt	1	190932	0	0	0	0	0	0
chr19_KI270918v1_alt	1	123111	0	0	0	0	0	0
chr19_KI270919v1_alt	1	170701	0	0	0	0	0	0
chr19_KI270920v1_alt	1	198005	0	0	0	0	0	0
chr19_KI270921v1_alt	1	282224	0	0	0	0	0	0
chr19_KI270922v1_alt	1	187935	0	0	0	0	0	0
chr19_KI270923v1_alt	1	189352	0	0	0	0	0	0
chr19_KI270929v1_alt	1	186203	0	0	0	0	0	0
chr19_KI270930v1_alt	1	200773	0	0	0	0	0	0
chr19_KI270931v1_alt	1	170148	0	0	0	0	0	0
chr19_KI270932v1_alt	1	215732	0	0	0	0	0	0
chr19_KI270933v1_alt	1	170537	0	0	0	0	0	0
chr19_KI270938v1_alt	1	1066800	0	0	0	0	0	0
chr20	1	64444167	0	0	0	0	0	0
chr20_GL383577v2_alt	1	128386	0	0	0	0	0	0
chr20_KI270869v1_alt	1	118774	0	0	0	0	0	0
chr20_KI270870v1_alt	1	183433	0	0	0	0	0	0
chr20_KI270871v1_alt	1	58661	0	0	0	0	0	0
chr21	1	46709983	0	0	0	0	0	0
chr21_GL383578v2_alt	1	63917	0	0	0	0	0	0
chr21_GL383579v2_alt	1	201197	0	0	0	0	0	0
chr21_GL383580v2_alt	1	74653	0	0	0	0	0	0
chr21_GL383581v2_alt	1	116689	0	0	0	0	0	0
chr21_KI270872v1_alt	1	82692	0	0	0	0	0	0
chr21_KI270873v1_alt	1	143900	0	0	0	0	0	0
chr21_KI270874v1_alt	1	166743	0	0	0	0	0	0
chr22_KI270731v1_random	1	150754	0	0	0	0	0	0
chr22_KI270732v1_random	1	41543	0	0	0	0	0	0
chr22_KI270733v1_random	1	179772	0	0	0	0	0	0
chr22_KI270734v1_random	1	165050	0	0	0	0	0	0
chr22_KI270735v1_random	1	42811	0	0	0	0	0	0
chr22_KI270736v1_random	1	181920	0	0	0	0	0	0
chr22_KI270737v1_random	1	103838	0	0	0	0	0	0
chr22_KI270738v1_random	1	99375	0	0	0	0	0	0
chr22_KI270739v1_random	1	73985	0	0	0	0	0	0
chr22_GL383582v2_alt	1	162811	0	0	0	0	0	0
chr22_GL383583v2_alt	1	96924	0	0	0	0	0	0
chr22_KB663609v1_alt	1	74013	0	0	0	0	0	0
chr22_KI270875v1_alt	1	259914	0	0	0	0	0	0
chr22_KI270876v1_alt	1	263666	0	0	0	0	0	0
chr22_KI270877v1_alt	1	101331	0	0	0	0	0	0
chr22_KI270878v1_alt	1	186262	0	0	0	0	0	0
chr22_KI270879v1_alt	1	304135	0	0	0	0	0	0
chr22_KI270928v1_alt	1	176103	0	0	0	0	0	0
chrX	1	156040895	0	0	0	0	0	0
chrX_KI270880v1_alt	1	284869	0	0	0	0	0	0
chrX_KI270881v1_alt	1	144206	0	0	0	0	0	0
chrX_KI270913v1_alt	1	274009	0	0	0	0	0	0
chrY	1	57227415	0	0	0	0	0	0
chrY_KI270740v1_random	1	37240	0	0	0	0	0	0
chrM	1	16569	0	0	0	0	0	0
chrUn_GL000195v1	1	182896	0	0	0	0	0	0
chrUn_GL000213v1	1	164239	0	0	0	0	0	0
chrUn_GL000214v1	1	137718	0	0	0	0	0	0
chrUn_GL000216v2	1	176608	0	0	0	0	0	0
chrUn_GL000218v1	1	161147	0	0	0	0	0	0
chrUn_GL000219v1	1	179198	0	0	0	0	0	0
chrUn_GL000220v1	1	161802	0	0	0	0	0	0
chrUn_GL000224v1	1	179693	0	0	0	0	0	0
chrUn_GL000226v1	1	15008	0	0	0	0	0	0
chrUn_KI270302v1	1	2274	0	0	0	0	0	0
chrUn_KI270303v1	1	1942	0	0	0	0	0	0
chrUn_KI270304v1	1	2165	0	0	0	0	0	0
chrUn_KI270305v1	1	1472	0	0	0	0	0	0
chrUn_KI270310v1	1	1201	0	0	0	0	0	0
chrUn_KI270311v1	1	12399	0	0	0	0	0	0
chrUn_KI270312v1	1	998	0	0	0	0	0	0
chrUn_KI270315v1	1	2276	0	0	0	0	0	0
chrUn_KI270316v1	1	1444	0	0	0	0	0	0
chrUn_KI270317v1	1	37690	0	0	0	0	0	0
chrUn_KI270320v1	1	4416	0	0	0	0	0	0
chrUn_KI270322v1	1	21476	0	0	0	0	0	0
chrUn_KI270329v1	1	1040	0	0	0	0	0	0
chrUn_KI270330v1	1	1652	0	0	0	0	0	0
chrUn_KI270333v1	1	2699	0	0	0	0	0	0
chrUn_KI270334v1	1	1368	0	0	0	0	0	0
chrUn_KI270335v1	1	1048	0	0	0	0	0	0
chrUn_KI270336v1	1	1026	0	0	0	0	0	0
chrUn_KI270337v1	1	1121	0	0	0	0	0	0
chrUn_KI270338v1	1	1428	0	0	0	0	0	0
chrUn_KI270340v1	1	1428	0	0	0	0	0	0
chrUn_KI270362v1	1	3530	0	0	0	0	0	0
chrUn_KI270363v1	1	1803	0	0	0	0	0	0
chrUn_KI270364v1	1	2855	0	0	0	0	0	0
chrUn_KI270366v1	1	8320	0	0	0	0	0	0
chrUn_KI270371v1	1	2805	0	0	0	0	0	0
chrUn_KI270372v1	1	1650	0	0	0	0	0	0
chrUn_KI270373v1	1	1451	0	0	0	0	0	0
chrUn_KI270374v1	1	2656	0	0	0	0	0	0
chrUn_KI270375v1	1	2378	0	0	0	0	0	0
chrUn_KI270376v1	1	1136	0	0	0	0	0	0
chrUn_KI270378v1	1	1048	0	0	0	0	0	0
chrUn_KI270379v1	1	1045	0	0	0	0	0	0
chrUn_KI270381v1	1	1930	0	0	0	0	0	0
chrUn_KI270382v1	1	4215	0	0	0	0	0	0
chrUn_KI270383v1	1	1750	0	0	0	0	0	0
chrUn_KI270384v1	1	1658	0	0	0	0	0	0
chrUn_KI270385v1	1	990	0	0	0	0	0	0
chrUn_KI270386v1	1	1788	0	0	0	0	0	0
chrUn_KI270387v1	1	1537	0	0	0	0	0	0
chrUn_KI270388v1	1	1216	0	0	0	0	0	0
chrUn_KI270389v1	1	1298	0	0	0	0	0	0
chrUn_KI270390v1	1	2387	0	0	0	0	0	0
chrUn_KI270391v1	1	1484	0	0	0	0	0	0
chrUn_KI270392v1	1	971	0	0	0	0	0	0
chrUn_KI270393v1	1	1308	0	0	0	0	0	0
chrUn_KI270394v1	1	970	0	0	0	0	0	0
chrUn_KI270395v1	1	1143	0	0	0	0	0	0
chrUn_KI270396v1	1	1880	0	0	0	0	0	0
chrUn_KI270411v1	1	2646	0	0	0	0	0	0
chrUn_KI270412v1	1	1179	0	0	0	0	0	0
chrUn_KI270414v1	1	2489	0	0	0	0	0	0
chrUn_KI270417v1	1	2043	0	0	0	0	0	0
chrUn_KI270418v1	1	2145	0	0	0	0	0	0
chrUn_KI270419v1	1	1029	0	0	0	0	0	0
chrUn_KI270420v1	1	2321	0	0	0	0	0	0
chrUn_KI270422v1	1	1445	0	0	0	0	0	0
chrUn_KI270423v1	1	981	0	0	0	0	0	0
chrUn_KI270424v1	1	2140	0	0	0	0	0	0
chrUn_KI270425v1	1	1884	0	0	0	0	0	0
chrUn_KI270429v1	1	1361	0	0	0	0	0	0
chrUn_KI270435v1	1	92983	0	0	0	0	0	0
chrUn_KI270438v1	1	112505	0	0	0	0	0	0
chrUn_KI270442v1	1	392061	0	0	0	0	0	0
chrUn_KI270448v1	1	7992	0	0	0	0	0	0
chrUn_KI270465v1	1	1774	0	0	0	0	0	0
chrUn_KI270466v1	1	1233	0	0	0	0	0	0
chrUn_KI270467v1	1	3920	0	0	0	0	0	0
chrUn_KI270468v1	1	4055	0	0	0	0	0	0
chrUn_KI270507v1	1	5353	0	0	0	0	0	0
chrUn_KI270508v1	1	1951	0	0	0	0	0	0
chrUn_KI270509v1	1	2318	0	0	0	0	0	0
chrUn_KI270510v1	1	2415	0	0	0	0	0	0
chrUn_KI270511v1	1	8127	0	0	0	0	0	0
chrUn_KI270512v1	1	22689	0	0	0	0	0	0
chrUn_KI270515v1	1	6361	0	0	0	0	0	0
chrUn_KI270516v1	1	1300	0	0	0	0	0	0
chrUn_KI270517v1	1	3253	0	0	0	0	0	0
chrUn_KI270518v1	1	2186	0	0	0	0	0	0
chrUn_KI270519v1	1	138126	0	0	0	0	0	0
chrUn_KI270521v1	1	7642	0	0	0	0	0	0
chrUn_KI270522v1	1	5674	0	0	0	0	0	0
chrUn_KI270528v1	1	2983	0	0	0	0	0	0
chrUn_KI270529v1	1	1899	0	0	0	0	0	0
chrUn_KI270530v1	1	2168	0	0	0	0	0	0
chrUn_KI270538v1	1	91309	0	0	0	0	0	0
chrUn_KI270539v1	1	993	0	0	0	0	0	0
chrUn_KI270544v1	1	1202	0	0	0	0	0	0
chrUn_KI270548v1	1	1599	0	0	0	0	0	0
chrUn_KI270579v1	1	31033	0	0	0	0	0	0
chrUn_KI270580v1	1	1553	0	0	0	0	0	0
chrUn_KI270581v1	1	7046	0	0	0	0	0	0
chrUn_KI270582v1	1	6504	0	0	0	0	0	0
chrUn_KI270583v1	1	1400	0	0	0	0	0	0
chrUn_KI270584v1	1	4513	0	0	0	0	0	0
chrUn_KI270587v1	1	2969	0	0	0	0	0	0
chrUn_KI270588v1	1	6158	0	0	0	0	0	0
chrUn_KI270589v1	1	44474	0	0	0	0	0	0
chrUn_KI270590v1	1	4685	0	0	0	0	0	0
chrUn_KI270591v1	1	5796	0	0	0	0	0	0
chrUn_KI270593v1	1	3041	0	0	0	0	0	0
chrUn_KI270741v1	1	157432	0	0	0	0	0	0
chrUn_KI270742v1	1	186739	0	0	0	0	0	0
chrUn_KI270743v1	1	210658	0	0	0	0	0	0
chrUn_KI270744v1	1	168472	0	0	0	0	0	0
chrUn_KI270745v1	1	41891	0	0	0	0	0	0
chrUn_KI270746v1	1	66486	0	0	0	0	0	0
chrUn_KI270747v1	1	198735	0	0	0	0	0	0
chrUn_KI270748v1	1	93321	0	0	0	0	0	0
chrUn_KI270749v1	1	158759	0	0	0	0	0	0
chrUn_KI270750v1	1	148850	0	0	0	0	0	0
chrUn_KI270751v1	1	150742	0	0	0	0	0	0
chrUn_KI270752v1	1	27745	0	0	0	0	0	0
chrUn_KI270753v1	1	62944	0	0	0	0	0	0
chrUn_KI270754v1	1	40191	0	0	0	0	0	0
chrUn_KI270755v1	1	36723	0	0	0	0	0	0
chrUn_KI270756v1	1	79590	0	0	0	0	0	0
chrUn_KI270757v1	1	71251	0	0	0	0	0	0
