gene_symbol	gene_id	annotated_isoforms	sampleA_assigned_reads	sampleB_assigned_reads	max_abs_usage_delta	total_variation	robust_score	top_transcript	top_transcript_A_reads	top_transcript_B_reads	top_transcript_A_usage	top_transcript_B_usage	top_transcript_signed_delta_B_minus_A
MCCC2	ENSG00000131844.11	9	27.000000	25.000000	0.173750	0.266938	0.868748	ENST00000340941.6	10.683333	14.235714	0.395679	0.569429	0.173750
MTHFD2	ENSG00000065911.7	10	46.500000	29.333333	0.157778	0.172433	0.854527	ENST00000394053.2	13.683333	13.259921	0.294265	0.452043	0.157778
G3BP1	ENSG00000145907.10	14	59.000000	72.000000	0.110965	0.153832	0.852339	ENST00000394123.3	33.480303	32.867832	0.567463	0.456498	-0.110965
RPLP2	ENSG00000177600.4	8	120.000000	116.000000	0.078908	0.086954	0.849866	ENST00000321153.4	54.385714	61.726190	0.453214	0.532122	0.078908
BZW1	ENSG00000082153.13	13	79.000000	58.000000	0.109554	0.123169	0.834341	ENST00000409600.1	27.905952	26.842063	0.353240	0.462794	0.109554
CDC27	ENSG00000004897.7	20	23.000000	32.923077	0.173519	0.256792	0.832170	ENST00000066544.3	7.733730	16.783150	0.336249	0.509769	0.173519
RPS14	ENSG00000164587.7	7	186.000000	135.000000	0.070988	0.082119	0.824802	ENST00000401695.3	50.042857	26.738095	0.269048	0.198060	-0.070988
BTN3A2	ENSG00000186470.9	19	26.000000	33.000000	0.160121	0.217563	0.816460	ENST00000356386.2	18.483838	18.176263	0.710917	0.550796	-0.160121
SEP15	ENSG00000183291.11	6	35.000000	26.000000	0.155238	0.198297	0.791562	ENST00000401030.3	2.733333	6.066667	0.078095	0.233333	0.155238
FKBP1A	ENSG00000088832.10	8	46.000000	37.000000	0.129574	0.131337	0.788171	ENST00000400137.4	22.130952	22.595238	0.481108	0.610682	0.129574
CCNI	ENSG00000118816.5	10	71.000000	68.000000	0.094415	0.158606	0.778562	ENST00000237654.4	40.316667	45.033333	0.567840	0.662255	0.094415
RPL34	ENSG00000109475.12	7	79.000000	78.000000	0.087943	0.087943	0.776692	ENST00000503574.1	9.595238	16.333333	0.121459	0.209402	0.087943
EDF1	ENSG00000107223.8	3	29.000000	25.000000	0.155172	0.155172	0.775862	ENST00000224073.1	10.000000	12.500000	0.344828	0.500000	0.155172
ST13	ENSG00000100380.8	6	31.000000	42.000000	0.139273	0.145033	0.775439	ENST00000216218.3	18.366667	30.733333	0.592473	0.731746	0.139273
RPS8	ENSG00000142937.7	8	230.000000	195.000000	0.055156	0.061224	0.770213	ENST00000485390.1	50.416667	53.500000	0.219203	0.274359	0.055156
SRSF3	ENSG00000112081.12	3	81.000000	54.000000	0.103909	0.103909	0.763576	ENST00000373715.6	61.833333	46.833333	0.763374	0.867284	0.103909
STAT5B	ENSG00000173757.5	7	26.000000	23.000000	0.156912	0.217670	0.752523	ENST00000293328.3	22.166667	16.000000	0.852564	0.695652	-0.156912
SLC25A36	ENSG00000114120.7	14	20.000000	27.000000	0.166597	0.166597	0.745044	ENST00000446041.2	17.625000	19.295635	0.881250	0.714653	-0.166597
ERO1L	ENSG00000197930.8	10	28.000000	24.500000	0.148724	0.150425	0.736149	ENST00000395686.3	19.550000	20.750000	0.698214	0.846939	0.148724
RBPJ	ENSG00000168214.16	31	31.000000	27.000000	0.141428	0.146716	0.734879	ENST00000342320.4	22.477158	15.758333	0.725070	0.583642	-0.141428
HLA-DQB1	ENSG00000179344.12	8	116.611111	92.208333	0.076117	0.087089	0.730918	ENST00000487676.1	20.058730	22.879762	0.172014	0.248131	0.076117
PARP9	ENSG00000138496.12	7	23.000000	22.000000	0.153755	0.163241	0.721175	ENST00000489652.1	1.133333	4.466667	0.049275	0.203030	0.153755
HNRNPA1P48	ENSG00000224578.3	3	27.000000	30.000000	0.137037	0.137037	0.712065	ENST00000562726.1	17.500000	15.333333	0.648148	0.511111	-0.137037
RASSF6	ENSG00000169435.9	5	57.000000	48.000000	0.102522	0.125914	0.710293	ENST00000307439.5	30.583333	20.833333	0.536550	0.434028	-0.102522
PIM2	ENSG00000102096.9	3	76.000000	90.000000	0.081335	0.081335	0.709065	ENST00000376509.4	64.166667	68.666667	0.844298	0.762963	-0.081335
CAPZA2	ENSG00000198898.8	14	26.000000	22.000000	0.149760	0.176851	0.702436	ENST00000361183.3	9.718254	11.517857	0.373779	0.523539	0.149760
CMPK1	ENSG00000162368.9	5	58.000000	68.000000	0.091447	0.094532	0.696439	ENST00000371873.5	40.900000	41.733333	0.705172	0.613725	-0.091447
TRIM22	ENSG00000132274.11	11	41.000000	36.000000	0.115370	0.128120	0.692218	ENST00000379965.3	20.585714	22.228571	0.502091	0.617460	0.115370
MSI2	ENSG00000153944.6	19	25.000000	26.000000	0.138198	0.188978	0.690989	ENST00000284073.2	18.816667	15.976190	0.752667	0.614469	-0.138198
PEX26	ENSG00000215193.8	4	22.866667	20.200000	0.153651	0.153651	0.690573	ENST00000329627.7	19.833333	14.416667	0.867347	0.713696	-0.153651
BIRC3	ENSG00000023445.9	6	71.000000	100.000000	0.081714	0.090493	0.688531	ENST00000532808.1	28.166667	31.500000	0.396714	0.315000	-0.081714
ARPP19	ENSG00000128989.6	13	54.000000	43.000000	0.104904	0.187343	0.687904	ENST00000566423.1	15.736869	17.042100	0.291423	0.396328	0.104904
SF3B1	ENSG00000115524.11	12	90.000000	97.000000	0.072188	0.105819	0.684834	ENST00000335508.6	57.400000	68.866667	0.637778	0.709966	0.072188
C1QBP	ENSG00000108561.4	7	26.000000	44.000000	0.134178	0.134178	0.684178	ENST00000573204.1	0.500000	6.750000	0.019231	0.153409	0.134178
DHCR24	ENSG00000116133.7	4	40.000000	48.500000	0.107925	0.107925	0.682579	ENST00000436604.1	1.250000	6.750000	0.031250	0.139175	0.107925
RIF1	ENSG00000080345.13	14	32.000000	36.000000	0.120184	0.130601	0.679865	ENST00000243326.5	9.021825	14.476190	0.281932	0.402116	0.120184
GNB1	ENSG00000078369.13	8	69.000000	82.000000	0.081716	0.107785	0.678785	ENST00000378609.4	47.500000	63.150000	0.688406	0.770122	0.081716
SMARCC1	ENSG00000173473.6	8	43.000000	48.000000	0.103319	0.103319	0.677507	ENST00000254480.5	24.000000	31.750000	0.558140	0.661458	0.103319
MPRIP	ENSG00000133030.15	22	36.000000	22.000000	0.143506	0.280688	0.673105	ENST00000313485.6	4.326623	5.801190	0.120184	0.263690	0.143506
LAT2	ENSG00000086730.12	11	35.000000	45.000000	0.112910	0.144014	0.667985	ENST00000490586.1	5.300000	1.733333	0.151429	0.038519	-0.112910
MAP2K1	ENSG00000169032.5	3	22.800000	29.000000	0.139292	0.139292	0.665111	ENST00000566326.1	3.900000	9.000000	0.171053	0.310345	0.139292
STARD4	ENSG00000164211.8	12	34.000000	36.000000	0.113807	0.150817	0.663604	ENST00000296632.3	15.161111	20.150000	0.445915	0.559722	0.113807
SURF4	ENSG00000148248.9	7	49.000000	37.000000	0.108890	0.118910	0.662349	ENST00000371989.3	32.716667	28.733333	0.667687	0.776577	0.108890
CD38	ENSG00000004468.8	5	34.000000	27.000000	0.126816	0.127814	0.658953	ENST00000502843.1	7.250000	2.333333	0.213235	0.086420	-0.126816
EIF4B	ENSG00000063046.13	14	183.916667	174.000000	0.049744	0.056865	0.656166	ENST00000262056.9	107.208550	92.772511	0.582919	0.533175	-0.049744
STK4	ENSG00000101109.7	8	63.000000	51.000000	0.091768	0.097059	0.655353	ENST00000372806.3	36.066667	24.516667	0.572487	0.480719	-0.091768
RPL22	ENSG00000116251.5	8	132.000000	142.000000	0.056936	0.060883	0.654140	ENST00000234875.4	58.100000	54.416667	0.440152	0.383216	-0.056936
CPSF2	ENSG00000165934.8	5	24.000000	34.000000	0.133170	0.133170	0.652397	ENST00000298875.4	16.333333	27.666667	0.680556	0.813725	0.133170
SRPR	ENSG00000182934.7	7	39.000000	50.000000	0.104316	0.104316	0.651455	ENST00000332118.6	22.333333	23.416667	0.572650	0.468333	-0.104316
HIPK2	ENSG00000064393.11	3	100.000000	91.000000	0.068168	0.068168	0.650286	ENST00000406875.3	90.333333	76.000000	0.903333	0.835165	-0.068168
GM2A	ENSG00000196743.4	3	51.000000	34.000000	0.111111	0.111111	0.647884	ENST00000357164.3	48.666667	28.666667	0.954248	0.843137	-0.111111
CYCS	ENSG00000172115.4	4	55.000000	57.000000	0.086683	0.106539	0.642855	ENST00000305786.2	31.416667	37.500000	0.571212	0.657895	0.086683
POU2F2	ENSG00000028277.16	19	27.000000	24.000000	0.131097	0.179480	0.642240	ENST00000389341.5	13.250408	8.631818	0.490756	0.359659	-0.131097
NCOR1	ENSG00000141027.16	27	25.000000	34.000000	0.128343	0.203129	0.641716	ENST00000268712.3	5.087698	11.282937	0.203508	0.331851	0.128343
RPL13A	ENSG00000142541.12	12	387.000000	359.000000	0.033742	0.059270	0.639315	ENST00000488946.1	47.121825	55.825794	0.121762	0.155504	0.033742
PIK3AP1	ENSG00000155629.10	6	54.000000	50.000000	0.090358	0.090358	0.638928	ENST00000339364.5	28.366667	30.783333	0.525309	0.615667	0.090358
CAPZA1	ENSG00000116489.8	6	73.000000	79.000000	0.074504	0.074764	0.636566	ENST00000263168.3	57.416667	56.250000	0.786530	0.712025	-0.074504
RPS26	ENSG00000197728.5	3	40.000000	52.000000	0.100000	0.100000	0.632456	ENST00000548590.1	2.666667	8.666667	0.066667	0.166667	0.100000
MBD2	ENSG00000134046.7	5	50.000000	35.000000	0.106667	0.106667	0.631049	ENST00000256429.3	33.000000	26.833333	0.660000	0.766667	0.106667
NAMPT	ENSG00000105835.7	13	41.000000	45.000000	0.098421	0.115329	0.630204	ENST00000222553.3	24.807540	31.656746	0.605062	0.703483	0.098421
C14ORF166	ENSG00000087302.4	7	39.000000	32.000000	0.110871	0.130088	0.627180	ENST00000261700.3	11.966667	13.366667	0.306838	0.417708	0.110871
FASN	ENSG00000169710.6	6	28.000000	23.000000	0.130435	0.181677	0.625543	ENST00000579758.1	0.000000	3.000000	0.000000	0.130435	0.130435
PSMD3	ENSG00000108344.10	6	31.000000	27.000000	0.120370	0.148447	0.625463	ENST00000264639.4	16.533333	11.150000	0.533333	0.412963	-0.120370
ARNTL2	ENSG00000029153.10	9	24.000000	25.000000	0.126944	0.126944	0.621898	ENST00000544915.1	9.833333	13.416667	0.409722	0.536667	0.126944
HSP90AA1	ENSG00000080824.14	11	284.000000	240.000000	0.040095	0.072385	0.621154	ENST00000334701.7	103.816667	78.109524	0.365552	0.325456	-0.040095
MYH9	ENSG00000100345.16	11	215.000000	244.000000	0.041714	0.057603	0.611652	ENST00000216181.5	186.666667	201.666667	0.868217	0.826503	-0.041714
IFI6	ENSG00000126709.10	3	36.000000	36.000000	0.101852	0.101852	0.611111	ENST00000361157.6	15.333333	19.000000	0.425926	0.527778	0.101852
IMPDH2	ENSG00000178035.7	12	20.000000	22.000000	0.135390	0.226807	0.605481	ENST00000481274.1	0.285714	3.292857	0.014286	0.149675	0.135390
MED1	ENSG00000125686.7	5	24.000000	21.000000	0.131944	0.141865	0.604645	ENST00000300651.6	12.500000	8.166667	0.520833	0.388889	-0.131944
