# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
17	ENSG00000156515.17	HK1	3	39	41	1	1	ENST00000359426	0	1	0	41	0	76.2319	8.80993	1
18	ENSG00000196235.9	SUPT5H	2	45	35	1	1	ENST00000432763	0	1	0	35	0	63.1012	8.58221	1
19	ENSG00000112118.13	MCM3	2	46	34	1	1	ENST00000229854	1	0	46	0	86.5411	0	-8.9661	-1
20	ENSG00000123505.10	AMD1	3	42	34	1	1	ENST00000368885	1	0	42	0	70.217	0	-8.83513	-1
21	ENSG00000179222.13	MAGED1	2	34	34	1	1	ENST00000326587	1	0	34	0	72.5724	0	-8.53102	-1
22	ENSG00000198836.4	OPA1	2	34	33	1	1	ENST00000361828	1	0	34	0	29.5569	0	-8.53102	-1
23	ENSG00000204463.8	BAG6	5	33	40	1	1	ENST00000211379	1	0	33	0	49.8395	0	-8.48807	-1
24	ENSG00000079819.12	EPB41L2	4	34	32	1	1	ENST00000337057	1	0	34	0	43.0742	0	-8.53102	-1
25	ENSG00000085719.7	CPNE3	2	32	37	1	1	ENST00000198765	1	0	32	0	37.8168	0	-8.4438	-1
26	ENSG00000122884.8	P4HA1	2	32	36	1	1	ENST00000307116	1	0	32	0	68.8549	0	-8.4438	-1
27	ENSG00000124422.7	USP22	2	31	33	1	1	ENST00000261497	1	0	31	0	33.271	0	-8.39813	-1
28	ENSG00000150093.14	ITGB1	2	31	31	1	1	ENST00000302278	0	1	0	31	0	57.0437	8.40761	1
29	ENSG00000189057.6	FAM111B	3	31	35	1	1	ENST00000411426	1	0	31	0	53.4014	0	-8.39813	-1
30	ENSG00000142599.13	RERE	4	31	30	1	1	ENST00000337907	1	0	31	0	21.2479	0	-8.39813	-1
31	ENSG00000101126.11	ADNP	2	29	29	1	1	ENST00000396029	0	1	0	29	0	30.231	8.31169	1
32	ENSG00000138363.10	ATIC	2	32	29	1	1	ENST00000236959	0	1	0	29	0	92.1559	8.31169	1
33	ENSG00000165025.10	SYK	2	41	29	1	1	ENST00000375746	1	0	41	0	46.1017	0	-8.80044	-1
34	ENSG00000188352.8	FOCAD	2	29	32	1	1	ENST00000338382	1	0	29	0	28.2309	0	-8.30221	-1
35	ENSG00000077150.13	NFKB2	2	28	31	1	1	ENST00000189444	1	0	28	0	54.0509	0	-8.25175	-1
36	ENSG00000130816.10	DNMT1	2	39	28	1	1	ENST00000540357	1	0	39	0	40.6776	0	-8.72846	-1
37	ENSG00000145703.11	IQGAP2	3	28	45	1	1	ENST00000274364	0	1	0	45	0	50.1806	8.94395	1
38	ENSG00000183291.11	SEP15	3	38	28	1	1	ENST00000331835	1	0	38	0	132.634	0	-8.69108	-1
39	ENSG00000198492.10	YTHDF2	2	28	28	1	1	ENST00000541996	1	0	28	0	60.4678	0	-8.25175	-1
40	ENSG00000160633.8	SAFB	3	34.496	27.391	1	1	ENST00000433404	1	0	34.496	0	66.9551	0	-8.55186	-1
41	ENSG00000013374.11	NUB1	6	32	27	1	1	ENST00000566856	1	0	32	0	59.8014	0	-8.4438	-1
42	ENSG00000084676.11	NCOA1	2	27	35	1	1	ENST00000395856	0	1	0	35	0	33.191	8.58221	1
43	ENSG00000110075.10	PPP6R3	2	34	27	1	1	ENST00000265636	1	0	34	0	39.8797	0	-8.53102	-1
44	ENSG00000134802.13	SLC43A3	3	27	27	1	1	ENST00000395123	0	1	0	27	0	71.0958	8.20893	1
45	ENSG00000055609.13	KMT2C	3	26	28	1	1	ENST00000558084	1	0	26	0	8.34186	0	-8.1452	-1
46	ENSG00000155849.11	ELMO1	3	26	32	1	1	ENST00000310758	1	0	26	0	36.7378	0	-8.1452	-1
47	ENSG00000172466.11	ZNF24	3	38	26	1	1	ENST00000399061	0	1	0	26	0	26.8879	8.15467	1
48	ENSG00000196730.8	DAPK1	3	26	26	1	1	ENST00000408954	1	0	26	0	24.5613	0	-8.1452	-1
49	ENSG00000178252.13	WDR6	3	27	25.704	1	1	ENST00000448293	1	0	27	0	46.02	0	-8.19946	-1
50	ENSG00000068305.13	MEF2A	3	25	27	1	1	ENST00000453228	1	0	25	0	26.0499	0	-8.08882	-1
51	ENSG00000070214.11	SLC44A1	2	36	25	1	1	ENST00000374720	1	0	36	0	18.6992	0	-8.61327	-1
52	ENSG00000101310.10	SEC23B	3	25	28	1	1	ENST00000262544	0	1	0	28	0	59.6938	8.26123	1
53	ENSG00000132305.16	IMMT	3	25	33	1	1	ENST00000254636	0	1	0	33	0	87.1156	8.49755	1
54	ENSG00000065000.11	AP3D1	3	24	26	1	1	ENST00000355272	1	0	24	0	26.7381	0	-8.03015	-1
55	ENSG00000080503.15	SMARCA2	3	24	25	1	1	ENST00000382194	0	1	0	25	0	29.3636	8.09829	1
56	ENSG00000100796.13	SMEK1	3	33	24	1	1	ENST00000554684	0	1	0	24	0	38.8056	8.03962	1
57	ENSG00000110422.7	HIPK3	2	24	27	1	1	ENST00000303296	0	1	0	27	0	23.5298	8.20893	1
58	ENSG00000124406.12	ATP8A1	3	31	24	1	1	ENST00000264449	0	1	0	24	0	18.8104	8.03962	1
59	ENSG00000159592.6	GPBP1L1	2	26	24	1	1	ENST00000290795	1	0	26	0	41.378	0	-8.1452	-1
60	ENSG00000180448.6	HMHA1	4	24	32	1	1	ENST00000313093	1	0	24	0	31.8673	0	-8.03015	-1
61	ENSG00000205937.7	RNPS1	4	24	30	1	1	ENST00000397086	0	1	0	30	0	102.881	8.36045	1
62	ENSG00000095585.12	BLNK	3	23	35	1	1	ENST00000224337	1	0	23	0	79.9123	0	-7.96898	-1
63	ENSG00000132361.12	CLUH	3	29	23	1	1	ENST00000538975	0	1	0	23	0	29.3523	7.97846	1
64	ENSG00000135655.9	USP15	2	23	27	1	1	ENST00000353364	1	0	23	0	27.6717	0	-7.96898	-1
65	ENSG00000135677.6	GNS	2	23	27	1	1	ENST00000258145	0	1	0	27	0	34.5702	8.20893	1
66	ENSG00000162298.12	SYVN1	3	23	26	1	1	ENST00000377190	0	1	0	26	0	57.883	8.15467	1
67	ENSG00000165916.4	PSMC3	3	24	23	1	1	ENST00000602866	0	1	0	23	0	127.76	7.97846	1
68	ENSG00000171603.12	CLSTN1	2	24	23	1	1	ENST00000361311	0	1	0	23	0	32.63	7.97846	1
69	ENSG00000172057.5	ORMDL3	2	28	23	1	1	ENST00000304046	1	0	28	0	80.1905	0	-8.25175	-1
70	ENSG00000198231.8	DDX42	3	32	23	1	1	ENST00000389924	1	0	32	0	46.4597	0	-8.4438	-1
71	ENSG00000198431.11	TXNRD1	3	23	25	1	1	ENST00000397736	1	0	23	0	37.8584	0	-7.96898	-1
72	ENSG00000005889.11	ZFX	3	22	30	1	1	ENST00000379177	0	1	0	30	0	25.6076	8.36045	1
73	ENSG00000033170.12	FUT8	2	24	22	1	1	ENST00000342677	0	1	0	22	0	61.2661	7.91459	1
74	ENSG00000048471.9	SNX29	2	23	22	1	1	ENST00000306030	0	1	0	22	0	20.3252	7.91459	1
75	ENSG00000100225.13	FBXO7	3	30	22	1	1	ENST00000266087	0	1	0	22	0	70.5584	7.91459	1
76	ENSG00000100266.13	PACSIN2	3	24	22	1	1	ENST00000263246	0	1	0	22	0	45.7606	7.91459	1
77	ENSG00000110344.5	UBE4A	2	22	25	1	1	ENST00000252108	1	0	22	0	20.0334	0	-7.90512	-1
78	ENSG00000122674.8	CCZ1	2	22	23	1	1	ENST00000325974	0	1	0	23	0	92.4446	7.97846	1
79	ENSG00000138821.8	SLC39A8	2	22	22	1	1	ENST00000356736	0	1	0	22	0	47.4209	7.91459	1
80	ENSG00000145685.9	LHFPL2	2	23	22	1	1	ENST00000380345	0	1	0	22	0	28.6326	7.91459	1
81	ENSG00000162402.8	USP24	2	23	22	1	1	ENST00000294383	1	0	23	0	11.9027	0	-7.96898	-1
82	ENSG00000167895.10	TMC8	2	22	30	1	1	ENST00000318430	0	1	0	30	0	44.9748	8.36045	1
83	ENSG00000184216.7	IRAK1	3	22	29	1	1	ENST00000369980	1	0	22	0	34.3254	0	-7.90512	-1
84	ENSG00000196914.4	ARHGEF12	2	22	23	1	1	ENST00000397843	0	1	0	23	0	15.247	7.97846	1
85	ENSG00000099290.11	FAM21A	2	21.099	21.232	1	1	ENST00000282633	0	1	0	21.232	0	32.9297	7.86354	1
86	ENSG00000100342.16	APOL1	3	28	21	1	1	ENST00000319136	1	0	28	0	54.2671	0	-8.25175	-1
87	ENSG00000116604.13	MEF2D	3	21	21	1	1	ENST00000368240	1	0	21	0	19.9868	0	-7.83829	-1
88	ENSG00000127616.13	SMARCA4	3	21	29	1	1	ENST00000358026	1	0	21	0	20.2032	0	-7.83829	-1
89	ENSG00000140750.12	ARHGAP17	3	21	41	1	1	ENST00000303665	1	0	21	0	37.6982	0	-7.83829	-1
90	ENSG00000156030.8	ELMSAN1	3	21	34	1	1	ENST00000394071	1	0	21	0	14.9814	0	-7.83829	-1
91	ENSG00000168827.10	GFM1	2	21	22	1	1	ENST00000478254	1	0	21	0	34.7596	0	-7.83829	-1
92	ENSG00000169180.7	XPO6	2	30	21	1	1	ENST00000304658	0	1	0	21	0	31.3993	7.84776	1
93	ENSG00000173230.11	GOLGB1	3	21	39	1	1	ENST00000393667	1	0	21	0	10.2234	0	-7.83829	-1
94	ENSG00000177731.11	FLII	3	23	21	1	1	ENST00000327031	0	1	0	21	0	32.0445	7.84776	1
95	ENSG00000184743.8	ATL3	2	23	21	1	1	ENST00000332645	0	1	0	21	0	19.587	7.84776	1
96	ENSG00000083168.5	KAT6A	2	20	22	1	1	ENST00000265713	1	0	20	0	11.9731	0	-7.76821	-1
97	ENSG00000133706.13	LARS	2	22	20	1	1	ENST00000274562	1	0	22	0	33.3207	0	-7.90512	-1
98	ENSG00000144118.9	RALB	3	26	20	1	1	ENST00000272519	0	1	0	20	0	59.5798	7.77768	1
99	ENSG00000164305.13	CASP3	2	24	20	1	1	ENST00000308394	1	0	24	0	52.7921	0	-8.03015	-1
100	ENSG00000171109.14	MFN1	3	20	24.771	1	1	ENST00000357390	1	0	20	0	36.7826	0	-7.76821	-1
101	ENSG00000185728.12	YTHDF3	2	20	25	1	1	ENST00000539294	1	0	20	0	21.741	0	-7.76821	-1
102	ENSG00000196591.7	HDAC2	3	25	20	1	1	ENST00000519108	1	0	25	0	76.14	0	-8.08882	-1
103	ENSG00000125944.14	HNRNPR	4	42	55	1	1	ENST00000374612	1	0	42	0	91.5924	0	-8.83513	-1
104	ENSG00000120694.15	HSPH1	4	35	39.001	1	1	ENST00000602786	1	0	35	0	57.6106	0	-8.57273	-1
105	ENSG00000145833.11	DDX46	3	30	33	1	1	ENST00000354283	1	0	30	0	44.7757	0	-8.35097	-1
106	ENSG00000171988.13	JMJD1C	3	24	31	1	1	ENST00000402544	1	0	24	0	15.7125	0	-8.03015	-1
107	ENSG00000120899.13	PTK2B	5	69.001	62	0.971952	1	ENST00000420218	0	0.971952	0	60.261	0	101.982	9.36451	0.971952
108	ENSG00000182718.12	ANXA2	4	36	27	0.969306	1	ENST00000451270	0.969306	0	34.895	0	156.946	0	-8.56841	-0.969306
109	ENSG00000196498.9	NCOR2	4	33	40	0.962758	1	ENST00000405201	0.962758	0	31.771	0	20.4435	0	-8.43347	-0.962758
110	ENSG00000126012.7	KDM5C	4	34	33	0.955545	1	ENST00000375401	0	0.955545	0	31.533	0	34.0254	8.43214	0.955545
111	ENSG00000138674.12	SEC31A	6	47	52.001	0.954809	1	ENST00000448323	0.954809	0	44.876	0	60.0057	0	-8.93049	-0.954809
112	ENSG00000005483.15	KMT2E	6	27	30	0.941556	1	ENST00000311117	0.941556	0	25.422	0	20.4552	0	-8.11288	-0.941556
113	ENSG00000100823.7	APEX1	4	27	27	0.941519	1	ENST00000216714	0	0.941519	0	25.421	0	128.507	8.1223	0.941519
114	ENSG00000119383.15	PPP2R4	4	20	29	0.93605	1	ENST00000393370	0.93605	0	18.721	0	40.1208	0	-7.67332	-0.93605
115	ENSG00000102606.13	ARHGEF7	5	25	28	0.93288	1	ENST00000375736	0.93288	0	23.322	0	25.994	0	-7.98896	-0.93288
116	ENSG00000126457.16	PRMT1	3	30	35	0.929	0.929	ENST00000391851	0.929	0	27.87	0	129.955	0	-8.24506	-0.929
117	ENSG00000214022.7	REPIN1	4	27	28	0.926593	1	ENST00000397281	0.926593	0	25.018	0	43.8335	0	-8.08985	-0.926593
118	ENSG00000118680.8	MYL12B	2	41.995	46.998	0.923231	0.923231	ENST00000400175	0	0.923231	0	43.39	0	349.244	8.89149	0.923231
119	ENSG00000170142.7	UBE2E1	4	28	38	0.921357	1	ENST00000306627	0.921357	0	25.798	0	109.039	0	-8.13399	-0.921357
120	ENSG00000140157.10	NIPA2	3	20	24	0.915792	0.915792	ENST00000398013	0	0.915792	0	21.979	0	67.5405	7.91321	0.915792
121	ENSG00000145675.10	PIK3R1	5	30	35	0.914167	1	ENST00000274335	0.914167	0	27.425	0	23.6332	0	-8.22191	-0.914167
122	ENSG00000182149.16	IST1	3	25	27	0.89436	0.89436	ENST00000456820	0.89436	0	22.359	0	66.9121	0	-7.92837	-0.89436
123	ENSG00000196313.7	POM121	3	22.515	24.144	0.879902	0.879902	ENST00000257622	0.879902	0	19.811	0	18.3729	0	-7.75458	-0.879902
124	ENSG00000081237.14	PTPRC	4	63	52	0.874175	0.890731	ENST00000442510	0.983444	0.109269	61.957	5.682	67.1996	7.21292	-3.41637	-0.874175
125	ENSG00000100600.10	LGMN	4	28	23	0.867913	1	ENST00000334869	0	0.867913	0	19.962	0	68.9883	7.77495	0.867913
126	ENSG00000168066.16	SF1	3	56	66	0.866268	0.866268	ENST00000377394	0.866268	0	48.511	0	99.2907	0	-9.04263	-0.866268
127	ENSG00000123562.12	MORF4L2	5	24	23	0.865125	1	ENST00000360458	0.865125	0	20.763	0	70.3075	0	-7.82199	-0.865125
128	ENSG00000164919.6	COX6C	2	23	30	0.859565	0.859565	ENST00000522934	0.140435	1	3.23	30	55.1832	599.808	3.18867	0.859565
129	ENSG00000129515.14	SNX6	4	26	26	0.857615	1	ENST00000396534	0	0.857615	0	22.298	0	50.2695	7.93392	0.857615
130	ENSG00000134910.8	STT3A	3	34	37	0.857147	0.857147	ENST00000529196	0.857147	0	29.143	0	72.1774	0	-8.30929	-0.857147
131	ENSG00000089094.12	KDM2B	6	20	24	0.848708	1	ENST00000377069	0	0.848708	0	20.369	0	25.545	7.80394	0.848708
132	ENSG00000196419.8	XRCC6	3	89	85	0.848169	0.848169	ENST00000405878	0.848169	0	75.487	0	206.322	0	-9.67957	-0.848169
133	ENSG00000104133.10	SPG11	4	22	23	0.847	1	ENST00000261866	0	0.847	0	19.481	0	16.1509	7.73992	0.847
134	ENSG00000124783.8	SSR1	4	73.001	64	0.845422	0.854249	ENST00000397511	0	0.845422	0	54.107	0	112.582	9.20934	0.845422
135	ENSG00000156171.10	DRAM2	3	25.68	25	0.84148	0.84148	ENST00000539140	0	0.84148	0	21.037	0	80.3607	7.85028	0.84148
136	ENSG00000131051.16	RBM39	6	28	33	0.836821	0.843924	ENST00000361162	0.836821	0	23.431	0	48.3855	0	-7.99566	-0.836821
137	ENSG00000162607.8	USP1	2	30	25	0.8311	0.8311	ENST00000339950	0.1689	1	5.067	25	7.20971	41.6311	2.2915	0.8311
138	ENSG00000100883.7	SRP54	2	38	26	0.824346	0.824346	ENST00000216774	1	0.175654	38	4.567	99.8189	14.0396	-3.02203	-0.824346
139	ENSG00000164574.11	GALNT10	2	20	34	0.8238	0.8238	ENST00000297107	0.1762	1	3.524	34	3.28873	37.1375	3.24639	0.8238
140	ENSG00000140350.11	ANP32A	3	28	39	0.814214	0.814214	ENST00000465139	0.814214	0	22.798	0	55.483	0	-7.95631	-0.814214
141	ENSG00000186635.10	ARAP1	4	26	25	0.810462	1	ENST00000334211	0.810462	0	21.072	0	23.9363	0	-7.8432	-0.810462
142	ENSG00000177889.5	UBE2N	4	32	37	0.809351	1	ENST00000318066	0	0.809351	0	29.946	0	54.6044	8.35786	0.809351
143	ENSG00000134824.9	FADS2	2	44	35	0.803636	0.803636	ENST00000257261	0.803636	0	35.36	0	69.4407	0	-8.58745	-0.803636
144	ENSG00000133961.15	NUMB	3	22	25	0.802	0.802	ENST00000554546	0.802	0	17.644	0	28.0133	0	-7.58828	-0.802
145	ENSG00000100243.16	CYB5R3	2	23	36	0.795957	0.795957	ENST00000352397	0.204043	1	4.693	36	13.3477	119.834	2.92453	0.795957
146	ENSG00000159399.5	HK2	2	36	29	0.791778	0.791778	ENST00000290573	0.208222	1	7.496	29	7.23468	32.7602	1.94829	0.791778
147	ENSG00000038274.12	MAT2B	2	33	24	0.791485	0.791485	ENST00000280969	0.208515	1	6.881	24	18.5598	75.7652	1.79815	0.791485
148	ENSG00000154310.12	TNIK	4	27	34	0.790844	0.860029	ENST00000436636	0.930815	0.139971	25.132	4.759	19.9327	4.4176	-2.36907	-0.790844
149	ENSG00000137804.8	NUSAP1	4	39	28	0.781357	1	ENST00000560747	0	0.781357	0	21.878	0	68.0349	7.9066	0.781357
150	ENSG00000166197.12	NOLC1	3	24	40	0.778292	0.778292	ENST00000605788	0.778292	0	18.679	0	27.0388	0	-7.6701	-0.778292
151	ENSG00000115310.13	RTN4	5	32	46	0.777565	1	ENST00000317610	0	0.777565	0	35.768	0	107.114	8.61345	0.777565
152	ENSG00000185627.13	PSMD13	5	27	25	0.77552	0.912444	ENST00000382671	0	0.77552	0	19.388	0	97.6109	7.73305	0.77552
153	ENSG00000134954.10	ETS1	4	102	111	0.774054	1	ENST00000535549	0	0.774054	0	85.92	0	123.382	9.87562	0.774054
154	ENSG00000172534.9	HCFC1	2	27	30	0.765433	0.765433	ENST00000369984	0	0.765433	0	22.963	0	17.6296	7.97614	0.765433
155	ENSG00000163659.8	TIPARP	3	29	21	0.76369	0.76369	ENST00000542783	0.76369	0	22.147	0	34.4042	0	-7.91468	-0.76369
156	ENSG00000117859.14	OSBPL9	5	35	37	0.763571	1	ENST00000462759	0.763571	0	26.725	0	56.8613	0	-8.18474	-0.763571
157	ENSG00000151726.9	ACSL1	3	35	42	0.759476	0.759476	ENST00000454703	0	0.759476	0	31.898	0	58.7651	8.44869	0.759476
158	ENSG00000120733.9	KDM3B	3	29	28	0.758964	0.758964	ENST00000510866	0	0.758964	0	21.251	0	21.8244	7.86482	0.758964
159	ENSG00000158941.12	CCAR2	4	23.446	26.904	0.752713	0.752713	ENST00000308511	1	0.247287	23.446	6.653	27.1479	9.0162	-1.7937	-0.752713
160	ENSG00000111679.12	PTPN6	3	63	64	0.751609	0.751609	ENST00000399448	0	0.751609	0	48.103	0	157.187	9.03996	0.751609
161	ENSG00000152558.10	TMEM123	3	34	37	0.750811	0.750811	ENST00000398136	1	0.249189	34	9.22	54.4348	17.2771	-1.86284	-0.750811
162	ENSG00000196712.12	NF1	3	24	21	0.750333	0.750333	ENST00000579081	0.750333	0	18.008	0	11.2417	0	-7.61758	-0.750333
163	ENSG00000048828.12	FAM120A	2	45	35	0.7494	0.7494	ENST00000277165	0.2506	1	11.277	35	12.3471	44.8501	1.63551	0.7494
164	ENSG00000082641.11	NFE2L1	4	38	43	0.745581	1	ENST00000357480	0	0.745581	0	32.06	0	45.2268	8.45598	0.745581
165	ENSG00000048740.13	CELF2	5	26	35	0.744769	1	ENST00000450189	0.744769	0	19.364	0	13.348	0	-7.72181	-0.744769
166	ENSG00000026297.11	RNASET2	4	35	34	0.740886	0.740886	ENST00000508775	0.740886	0	25.931	0	122.853	0	-8.14138	-0.740886
167	ENSG00000152332.11	UHMK1	2	52	65	0.733788	0.733788	ENST00000538489	0.266212	1	13.843	65	9.00192	49.4717	2.23325	0.733788
168	ENSG00000114353.12	GNAI2	3	67	71	0.733567	0.733567	ENST00000266027	0.733567	0	49.149	0	148.331	0	-9.06145	-0.733567
169	ENSG00000170242.13	USP47	3	25	28	0.726571	0.726571	ENST00000527733	0	0.726571	0	20.344	0	29.686	7.80217	0.726571
170	ENSG00000107959.11	PITRM1	2	20	20	0.72455	0.72455	ENST00000224949	0.27545	1	5.509	20	9.17503	38.9875	1.8523	0.72455
171	ENSG00000176986.10	SEC24C	3	50	46	0.722283	0.722283	ENST00000339365	1	0.277717	50	12.775	62.5124	18.6928	-1.95145	-0.722283
172	ENSG00000014641.13	MDH1	3	44	43	0.722159	0.722159	ENST00000539945	0.722159	0	31.775	0	155.373	0	-8.43365	-0.722159
173	ENSG00000133818.8	RRAS2	4	23.984	22	0.72194	1	ENST00000529237	0.72194	0	17.315	0	89.7719	0	-7.56126	-0.72194
174	ENSG00000066117.10	SMARCD1	2	21	21	0.715286	0.715286	ENST00000381513	0	0.715286	0	15.021	0	31.3689	7.36684	0.715286
175	ENSG00000100888.8	CHD8	3	28	20	0.712429	0.712429	ENST00000430710	0.712429	0	19.948	0	14.8282	0	-7.76448	-0.712429
176	ENSG00000144895.7	EIF2A	2	31	41	0.711634	0.711634	ENST00000383043	0	0.711634	0	29.177	0	152.308	8.32044	0.711634
177	ENSG00000182199.6	SHMT2	4	52	48	0.710042	0.710042	ENST00000553474	0	0.710042	0	34.082	0	140.332	8.54397	0.710042
178	ENSG00000184432.5	COPB2	3	57.001	43	0.707795	0.707795	ENST00000333188	0.292205	1	16.656	43	28.5438	86.2489	1.37291	0.707795
179	ENSG00000138496.12	PARP9	3	25	24	0.70676	0.70676	ENST00000471785	0.70676	0	17.669	0	33.7526	0	-7.59031	-0.70676
180	ENSG00000143420.13	ENSA	4	26.999	24	0.705083	0.767658	ENST00000356527	0	0.705083	0	16.922	0	45.9762	7.53778	0.705083
181	ENSG00000168488.14	ATXN2L	3	35	47.367	0.703929	0.703929	ENST00000570200	0	0.703929	0	33.343	0	61.4464	8.51243	0.703929
182	ENSG00000115355.11	CCDC88A	4	30	24	0.698233	1	ENST00000436346	0.698233	0	20.947	0	11.6769	0	-7.83466	-0.698233
183	ENSG00000079459.8	FDFT1	4	48	42	0.695571	0.695571	ENST00000525900	0	0.695571	0	29.214	0	135.39	8.32226	0.695571
184	ENSG00000109685.13	WHSC1	8	27	28	0.695444	1	ENST00000382891	0.695444	0	18.777	0	13.7394	0	-7.67761	-0.695444
185	ENSG00000115234.6	SNX17	3	23	20	0.692826	0.692826	ENST00000233575	0.692826	0	15.935	0	47.3408	0	-7.4421	-0.692826
186	ENSG00000003056.3	M6PR	5	36.96	36.964	0.689574	0.85368	ENST00000000412	0.14632	0.835894	5.408	30.898	11.5026	76.9115	2.50375	0.689574
187	ENSG00000104763.13	ASAH1	2	25	27	0.68952	0.68952	ENST00000262097	0.31048	1	7.762	27	17.536	71.3972	1.79582	0.68952
188	ENSG00000122359.13	ANXA11	4	49	49	0.687286	0.687286	ENST00000422982	0.312714	1	15.323	49	35.7566	133.828	1.68063	0.687286
189	ENSG00000120438.7	TCP1	4	74	49.106	0.687167	0.687167	ENST00000321394	0	0.687167	0	33.744	0	93.5938	8.52963	0.687167
190	ENSG00000161016.11	RPL8	5	213	189	0.686571	0.686571	ENST00000262584	0	0.686571	0	129.762	0	1023.33	10.4699	0.686571
191	ENSG00000133226.12	SRRM1	2	26	28	0.680679	0.680679	ENST00000323848	1	0.319321	26	8.941	36.8452	14.8301	-1.5209	-0.680679
192	ENSG00000106948.12	AKNA	2	29	25	0.679276	0.679276	ENST00000374075	0.679276	0	19.699	0	21.9277	0	-7.74644	-0.679276
193	ENSG00000114867.15	EIF4G1	4	104	94	0.670823	0.875865	ENST00000392537	0.124135	0.794957	12.91	74.726	13.8192	93.6219	2.53413	0.670823
194	ENSG00000110713.11	NUP98	4	28	37	0.670054	0.670054	ENST00000324932	0	0.670054	0	24.792	0	23.0032	8.08628	0.670054
195	ENSG00000075856.7	SART3	4	25	23	0.66087	0.66087	ENST00000228284	1	0.33913	25	7.8	35.4942	12.9615	-1.65935	-0.66087
196	ENSG00000152601.13	MBNL1	7	95.001	120.998	0.659267	1	ENST00000324210	0	0.659267	0	79.77	0	95.4186	9.76859	0.659267
197	ENSG00000060237.12	WNK1	4	102.001	90	0.659256	0.660811	ENST00000315939	0	0.659256	0	59.333	0	36.2792	9.34215	0.659256
198	ENSG00000136824.14	SMC2	4	31	28	0.65475	1	ENST00000303219	0	0.65475	0	18.333	0	33.635	7.65272	0.65475
199	ENSG00000164733.16	CTSB	3	20	21.074	0.65455	0.65455	ENST00000453527	0.65455	0	13.091	0	39.6203	0	-7.16028	-0.65455
200	ENSG00000164111.10	ANXA5	2	45	54	0.653778	0.653778	ENST00000296511	1	0.346222	45	18.696	158.625	77.1331	-1.25359	-0.653778
201	ENSG00000099331.9	MYO9B	3	42	37	0.651243	0.651243	ENST00000397274	0	0.651243	0	24.096	0	20.6416	8.04536	0.651243
202	ENSG00000106052.9	TAX1BP1	3	31	28	0.649452	0.649452	ENST00000543117	0.649452	0	20.133	0	43.924	0	-7.77773	-0.649452
203	ENSG00000173821.15	RNF213	4	81	78	0.649298	0.649298	ENST00000508628	0.93258	0.283282	75.539	22.096	23.0326	7.88535	-1.75972	-0.649298
204	ENSG00000113712.12	CSNK1A1	6	29.461	34.999	0.648926	1	ENST00000377843	0.648926	0	19.118	0	36.1966	0	-7.70345	-0.648926
