gene_symbol	gene_id	annotated_isoforms	sampleA_assigned_reads	sampleB_assigned_reads	max_abs_usage_delta	total_variation	robust_score	top_transcript	top_transcript_A_reads	top_transcript_B_reads	top_transcript_A_usage	top_transcript_B_usage	top_transcript_signed_delta_B_minus_A
MYH9	ENSG00000100345.16	11	215.000000	244.000000	0.041714	0.057603	0.611652	ENST00000216181.5	186.666667	201.666667	0.868217	0.826503	-0.041714
EIF3A	ENSG00000107581.8	3	78.000000	110.000000	0.066395	0.066395	0.586382	ENST00000369144.3	45.833333	57.333333	0.587607	0.521212	-0.066395
RPL28	ENSG00000108107.8	12	106.000000	112.000000	0.055958	0.095160	0.576121	ENST00000559463.1	18.516162	13.296970	0.174681	0.118723	-0.055958
STT3B	ENSG00000163527.5	7	67.000000	53.000000	0.078978	0.080911	0.574967	ENST00000295770.2	47.366667	33.283333	0.706965	0.627987	-0.078978
RPS15A	ENSG00000134419.11	13	129.625000	144.875000	0.050204	0.102834	0.571584	ENST00000576436.1	7.375000	15.515909	0.056895	0.107099	0.050204
LAPTM5	ENSG00000162511.7	3	358.000000	384.000000	0.030057	0.030057	0.568706	ENST00000464569.1	54.500000	70.000000	0.152235	0.182292	0.030057
RPL18	ENSG00000063177.8	16	110.000000	110.000000	0.053813	0.098393	0.564400	ENST00000084795.5	21.385678	15.466198	0.194415	0.140602	-0.053813
HTT	ENSG00000197386.6	13	56.000000	68.000000	0.075420	0.097129	0.564393	ENST00000355072.5	26.933333	37.833333	0.480952	0.556373	0.075420
BIRC6	ENSG00000115760.9	12	51.000000	60.000000	0.074183	0.101797	0.529773	ENST00000421745.2	33.333333	43.666667	0.653595	0.727778	0.074183
RPL7	ENSG00000147604.9	8	195.000000	247.000000	0.037868	0.058561	0.528794	ENST00000352983.2	38.800000	58.500000	0.198974	0.236842	0.037868
CD79A	ENSG00000105369.5	3	118.000000	112.000000	0.049435	0.049435	0.523171	ENST00000221972.3	72.833333	74.666667	0.617232	0.666667	0.049435
ACTR3	ENSG00000115091.7	9	129.000000	119.000000	0.047310	0.092856	0.516087	ENST00000478928.1	24.250000	28.000000	0.187984	0.235294	0.047310
OAS3	ENSG00000111331.8	7	119.000000	105.000000	0.050233	0.069281	0.514739	ENST00000228928.7	99.666667	82.666667	0.837535	0.787302	-0.050233
RPL37A	ENSG00000197756.5	12	129.000000	133.000000	0.044139	0.098619	0.501320	ENST00000491306.1	26.459524	21.409524	0.205113	0.160974	-0.044139
ACTR2	ENSG00000138071.9	5	160.000000	142.000000	0.041918	0.041918	0.499505	ENST00000260641.5	90.983333	86.700000	0.568646	0.610563	0.041918
SREBF2	ENSG00000198911.7	8	83.166667	63.000000	0.062549	0.071050	0.496467	ENST00000491541.1	11.233333	12.450000	0.135070	0.197619	0.062549
CAND1	ENSG00000111530.8	8	73.000000	52.000000	0.067966	0.088163	0.490112	ENST00000544619.1	17.500000	16.000000	0.239726	0.307692	0.067966
TXNDC5	ENSG00000239264.4	6	122.466667	119.766667	0.044773	0.056847	0.489983	ENST00000379757.4	42.533333	36.233333	0.347305	0.302533	-0.044773
HNRNPA3	ENSG00000170144.14	5	86.000000	73.000000	0.056698	0.081778	0.484428	ENST00000411529.2	31.350000	30.750000	0.364535	0.421233	0.056698
RPS25	ENSG00000118181.6	6	117.800000	124.800000	0.044271	0.053206	0.480500	ENST00000527673.1	61.283333	70.450000	0.520232	0.564503	0.044271
HSPD1	ENSG00000144381.12	15	150.000000	130.000000	0.042111	0.108872	0.480135	ENST00000345042.2	48.927489	36.929437	0.326183	0.284073	-0.042111
ENO1	ENSG00000074800.9	6	562.000000	576.000000	0.020222	0.021716	0.479386	ENST00000464920.1	208.166667	225.000000	0.370403	0.390625	0.020222
MCL1	ENSG00000143384.8	3	118.000000	118.000000	0.043785	0.043785	0.475630	ENST00000464132.1	9.666667	14.833333	0.081921	0.125706	0.043785
CD53	ENSG00000143119.8	6	100.000000	105.000000	0.047143	0.056905	0.471429	ENST00000497404.1	21.333333	17.450000	0.213333	0.166190	-0.047143
SYNCRIP	ENSG00000135316.13	3	71.666667	67.333333	0.057345	0.057345	0.470556	ENST00000355238.6	54.666667	47.500000	0.762791	0.705446	-0.057345
RPL12	ENSG00000197958.8	5	114.000000	113.000000	0.044164	0.059961	0.469466	ENST00000497322.1	17.916667	22.750000	0.157164	0.201327	0.044164
PRKCB	ENSG00000166501.8	10	102.000000	106.000000	0.045967	0.061752	0.464248	ENST00000303531.7	81.750000	80.083333	0.801471	0.755503	-0.045967
VCP	ENSG00000165280.11	7	105.000000	92.000000	0.048137	0.065424	0.461710	ENST00000479300.1	10.000000	4.333333	0.095238	0.047101	-0.048137
RPL37	ENSG00000145592.9	6	114.000000	133.000000	0.043129	0.054302	0.460488	ENST00000507642.1	26.383333	36.516667	0.231433	0.274561	0.043129
SRSF1	ENSG00000136450.8	9	62.388889	65.455556	0.058292	0.100410	0.460425	ENST00000582730.2	30.103968	35.399206	0.482521	0.540813	0.058292
EIF4H	ENSG00000106682.10	5	55.000000	74.000000	0.061892	0.061892	0.459003	ENST00000353999.6	28.600000	33.900000	0.520000	0.458108	-0.061892
SRGN	ENSG00000122862.4	2	246.000000	242.000000	0.029396	0.029396	0.457294	ENST00000242465.3	191.500000	195.500000	0.778455	0.807851	0.029396
KLF13	ENSG00000169926.5	7	57.000000	52.000000	0.062641	0.062641	0.451708	ENST00000307145.3	52.333333	51.000000	0.918129	0.980769	0.062641
MLEC	ENSG00000110917.3	5	59.666667	66.500000	0.058407	0.079472	0.451162	ENST00000228506.3	52.833333	55.000000	0.885475	0.827068	-0.058407
RPL15	ENSG00000174748.14	12	254.000000	217.000000	0.030367	0.066811	0.447330	ENST00000436146.1	39.897222	40.675000	0.157076	0.187442	0.030367
YBX1	ENSG00000065978.13	4	135.000000	123.000000	0.040244	0.040244	0.446326	ENST00000332220.6	12.750000	6.666667	0.094444	0.054201	-0.040244
B2M	ENSG00000166710.13	12	1246.000000	1177.000000	0.012975	0.032056	0.445142	ENST00000559220.1	137.933333	145.566667	0.110701	0.123676	0.012975
IFI44L	ENSG00000137959.11	11	76.000000	71.000000	0.052160	0.097961	0.439510	ENST00000370751.5	27.664683	29.548016	0.364009	0.416169	0.052160
RAD21	ENSG00000164754.8	10	61.000000	56.000000	0.058649	0.062946	0.438889	ENST00000297338.2	37.309524	37.535714	0.611632	0.670281	0.058649
TMED10	ENSG00000170348.4	6	57.000000	55.000000	0.058969	0.109240	0.437323	ENST00000303575.4	36.766667	32.233333	0.645029	0.586061	-0.058969
ARPC5	ENSG00000162704.11	5	73.000000	68.000000	0.052861	0.071287	0.435900	ENST00000294742.6	17.683333	20.066667	0.242237	0.295098	0.052861
WDFY4	ENSG00000128815.13	8	77.000000	56.666667	0.057410	0.093659	0.432169	ENST00000325239.5	33.400000	27.833333	0.433766	0.491176	0.057410
CDV3	ENSG00000091527.11	9	111.000000	118.000000	0.041007	0.066151	0.432037	ENST00000420115.2	55.146825	53.785714	0.496818	0.455811	-0.041007
UBB	ENSG00000170315.9	8	158.800000	136.228571	0.036930	0.046113	0.431036	ENST00000535788.1	31.709524	32.233333	0.199682	0.236612	0.036930
RPL21	ENSG00000122026.6	10	62.000000	73.000000	0.053804	0.167309	0.423655	ENST00000493317.1	8.660714	14.125000	0.139689	0.193493	0.053804
LRPPRC	ENSG00000138095.14	9	62.000000	67.000000	0.053739	0.074113	0.423144	ENST00000260665.7	40.500000	47.366667	0.653226	0.706965	0.053739
PFN1	ENSG00000108518.7	3	250.333333	255.333333	0.026483	0.026483	0.419005	ENST00000572383.1	54.833333	49.166667	0.219041	0.192559	-0.026483
EPS15	ENSG00000085832.12	10	70.000000	56.000000	0.055833	0.086548	0.417818	ENST00000396122.4	15.200000	9.033333	0.217143	0.161310	-0.055833
LPXN	ENSG00000110031.8	5	52.000000	61.000000	0.057797	0.074165	0.416783	ENST00000528489.1	10.933333	9.300000	0.210256	0.152459	-0.057797
SPTBN1	ENSG00000115306.11	6	78.000000	77.000000	0.046787	0.071845	0.410550	ENST00000467371.1	8.000000	11.500000	0.102564	0.149351	0.046787
SET	ENSG00000119335.12	11	97.000000	93.000000	0.042546	0.066261	0.410297	ENST00000372692.4	27.945635	30.750000	0.288099	0.330645	0.042546
PGAM1	ENSG00000171314.8	3	100.000000	117.000000	0.040684	0.040684	0.406838	ENST00000334828.5	72.000000	89.000000	0.720000	0.760684	0.040684
RPL39	ENSG00000198918.7	3	136.000000	118.000000	0.037326	0.037326	0.405459	ENST00000468844.1	49.833333	38.833333	0.366422	0.329096	-0.037326
H2AFZ	ENSG00000164032.7	6	62.000000	66.000000	0.051483	0.080433	0.405374	ENST00000511348.1	13.916667	11.416667	0.224462	0.172980	-0.051483
PAX5	ENSG00000196092.8	16	69.000000	79.000000	0.048796	0.048979	0.405329	ENST00000358127.4	64.700000	70.221934	0.937681	0.888885	-0.048796
WIPF1	ENSG00000115935.12	17	82.000000	98.000000	0.044471	0.097860	0.402699	ENST00000392547.2	40.700000	44.283333	0.496341	0.451871	-0.044471
TNFAIP3	ENSG00000118503.10	5	74.000000	78.000000	0.046778	0.057173	0.402396	ENST00000237289.4	62.000000	69.000000	0.837838	0.884615	0.046778
RPN2	ENSG00000118705.12	8	64.285714	74.285714	0.050077	0.088063	0.401509	ENST00000373632.4	4.050000	8.400000	0.063000	0.113077	0.050077
TLN1	ENSG00000137076.14	9	110.000000	100.000000	0.039879	0.056121	0.398788	ENST00000314888.9	52.016667	43.300000	0.472879	0.433000	-0.039879
PPP1CC	ENSG00000186298.7	10	72.000000	65.000000	0.049329	0.083983	0.397701	ENST00000546904.1	11.591667	7.258333	0.160995	0.111667	-0.049329
CALR	ENSG00000179218.9	7	187.666667	165.000000	0.030929	0.049979	0.397293	ENST00000586760.1	29.833333	31.333333	0.158970	0.189899	0.030929
RPS17L	ENSG00000182774.6	10	67.000000	91.000000	0.048371	0.145436	0.395932	ENST00000561068.1	7.216667	5.400000	0.107711	0.059341	-0.048371
ETS1	ENSG00000134954.10	10	100.000000	108.000000	0.039333	0.062926	0.393333	ENST00000345075.4	25.183333	22.950000	0.251833	0.212500	-0.039333
RPSA	ENSG00000168028.9	10	216.000000	199.000000	0.027725	0.063466	0.391115	ENST00000478027.1	40.650000	31.933333	0.188194	0.160469	-0.027725
CCT6A	ENSG00000146731.6	10	52.000000	69.000000	0.054157	0.080514	0.390534	ENST00000540286.1	10.950000	18.266667	0.210577	0.264734	0.054157
DDX3X	ENSG00000215301.5	6	136.000000	117.000000	0.035973	0.054463	0.389106	ENST00000399959.2	86.666667	70.350000	0.637255	0.601282	-0.035973
UBA52	ENSG00000221983.3	14	78.000000	66.000000	0.047892	0.111712	0.389072	ENST00000599595.1	7.086364	9.156993	0.090851	0.138742	0.047892
CCT8	ENSG00000156261.8	12	58.000000	58.000000	0.050575	0.117036	0.385166	ENST00000496121.1	3.866667	6.800000	0.066667	0.117241	0.050575
CORO1A	ENSG00000102879.11	17	121.600000	117.777778	0.035426	0.071650	0.384458	ENST00000564768.1	6.555159	10.521465	0.053908	0.089333	0.035426
