rank	chrom	start	end	name	qValue
44	chr5	87411965	87413374	Peak_67	1153.52441
45	chr1	170074216	170075113	Peak_68	1152.33936
46	chr10	38355942	38356904	Peak_69	1149.57129
47	chr10	16817005	16818001	Peak_70	1148.98169
48	chr9	62801963	62802901	Peak_71	1146.37329
49	chr18	74291453	74292541	Peak_72	1143.80896
50	chr18	14131966	14132770	Peak_74	1129.60889
51	chr5	115169371	115170717	Peak_75	1120.85278
52	chr13	100673747	100675531	Peak_76	1118.29199
53	chr5	62403348	62404188	Peak_77	1117.27222
54	chr5	129094118	129095475	Peak_78	1115.72363
55	chr3	167734406	167735980	Peak_79	1115.37744
56	chr5	168579053	168580025	Peak_80	1114.34851
57	chr6	122399115	122400340	Peak_81	1109.96692
58	chr12	88035318	88036252	Peak_82	1101.69934
59	chr5	83076892	83078104	Peak_83	1101.01733
60	chr3	98901043	98902159	Peak_84	1100.6123
61	chr13	73058488	73059803	Peak_85	1099.43164
62	chr7	112205788	112207009	Peak_86	1097.34094
63	chr7	121530212	121531182	Peak_87	1097.01538
64	chr7	143620178	143621571	Peak_88	1095.22363
65	chr16	77190255	77191573	Peak_89	1094.87463
66	chr4	155376291	155377262	Peak_90	1092.77832
67	chr7	120950398	120951427	Peak_91	1087.59583
68	chr4	121869799	121870858	Peak_92	1085.2384
69	chr13	95676533	95677771	Peak_94	1083.87109
70	chr11	43680277	43681405	Peak_95	1083.78284
71	chr6	100880779	100881901	Peak_96	1083.22998
72	chr5	115209035	115209758	Peak_97	1080.05078
73	chr4	147616967	147618166	Peak_98	1079.6554
74	chr6	152982623	152983882	Peak_99	1078.8927
75	chr13	72726824	72728229	Peak_100	1078.2251
76	chr13	67229979	67231293	Peak_101	1071.24768
77	chr1	241518856	241520182	Peak_102	1070.92529
78	chr9	79571298	79572276	Peak_103	1069.19629
79	chr5	41903763	41904682	Peak_104	1068.04175
80	chr2	165953302	165954497	Peak_107	1060.96094
81	chr10	56360992	56362025	Peak_108	1058.59924
82	chr4	129093090	129094024	Peak_109	1057.47925
83	chr2	214809006	214810312	Peak_110	1056.61523
84	chr5	123422837	123424049	Peak_111	1053.31055
85	chr7	33128947	33129993	Peak_112	1053.24219
86	chr2	18559789	18561006	Peak_113	1051.62976
87	chr3	27368804	27369699	Peak_114	1049.47644
88	chr11	87037230	87038248	Peak_115	1047.60791
89	chr12	21500963	21502420	Peak_116	1047.25281
90	chr8	103414555	103415723	Peak_117	1044.2229
91	chr4	173333738	173335433	Peak_118	1043.03955
92	chr9	71910285	71911937	Peak_120	1042.14307
93	chr4	83034529	83035501	Peak_121	1040.28748
94	chr5	148383478	148384619	Peak_122	1034.573
95	chr2	207710953	207712322	Peak_123	1033.10339
96	chr1	171781058	171781780	Peak_124	1032.80811
97	chr3	33439532	33441330	Peak_125	1032.68628
98	chr7	143836095	143837551	Peak_126	1030.82776
99	chr8	56211175	56212456	Peak_127	1023.75592
100	chr2	222860730	222861970	Peak_128	1022.84448
101	chr18	79678836	79680388	Peak_129	1021.11224
102	chr6	155313979	155315244	Peak_130	1019.44843
103	chr5	157142309	157143721	Peak_131	1017.96326
104	chr11	14891024	14892608	Peak_132	1017.69641
105	chr3	31531853	31533886	Peak_133	1015.28064
106	chr1	66924469	66925749	Peak_134	1014.68774
107	chr3	168094727	168096596	Peak_135	1012.72107
108	chr21	14382674	14384109	Peak_136	1010.41016
109	chr13	76991369	76992547	Peak_137	1008.88037
110	chr3	27483158	27484940	Peak_138	1008.05298
111	chr8	89901788	89903167	Peak_139	1006.41431
112	chr5	163505151	163506321	Peak_140	1006.30084
113	chr3	179562571	179563785	Peak_141	1001.63953
114	chr12	38316198	38317230	Peak_142	1001.10986
115	chr2	186589643	186590598	Peak_143	999.30872
116	chr6	104859197	104860278	Peak_144	997.97742
117	chr3	97821370	97822572	Peak_145	997.88068
118	chr2	210002023	210003103	Peak_146	995.53015
119	chr6	79536926	79537733	Peak_147	994.51239
120	chr13	94601484	94602411	Peak_148	994.34283
121	chr8	117520082	117521379	Peak_150	993.69135
122	chr13	52651999	52653285	Peak_151	992.98651
123	chr7	108569150	108570722	Peak_152	992.45667
124	chr4	169619919	169621034	Peak_153	992.39166
125	chr6	145963596	145964904	Peak_154	992.22607
126	chr11	13667992	13669537	Peak_155	991.74963
127	chr2	210476214	210477100	Peak_156	991.54852
128	chr8	48949255	48950001	Peak_157	990.31927
129	chr4	127964698	127966151	Peak_159	988.9906
130	chr3	180912021	180913209	Peak_160	988.98193
131	chr5	102295720	102297076	Peak_161	988.67712
132	chr6	142146903	142147670	Peak_162	988.03967
133	chr5	146446817	146447893	Peak_163	987.29681
134	chr3	160564721	160566178	Peak_164	983.51703
135	chr4	154549892	154550829	Peak_165	983.19427
136	chr2	105037425	105038592	Peak_166	981.11328
137	chr4	107719600	107720974	Peak_167	978.25861
138	chr10	3172344	3173502	Peak_168	976.97699
139	chr13	72781283	72782516	Peak_169	976.88708
140	chr2	41840701	41841538	Peak_170	974.58154
141	chr3	167734406	167735980	Peak_171	974.27393
142	chr4	183658576	183659639	Peak_172	974.15723
143	chr1	95233705	95234812	Peak_173	973.2644
144	chr9	75027385	75028751	Peak_174	972.76233
145	chr7	64306712	64307855	Peak_175	972.4176
146	chr11	28107456	28108575	Peak_176	972.27167
147	chr4	128060670	128062407	Peak_177	970.24121
148	chr5	88268365	88269758	Peak_178	969.19275
149	chr11	83156542	83157494	Peak_179	968.30835
150	chr3	36992639	36993901	Peak_180	967.77173
151	chr4	74157717	74158586	Peak_181	966.45392
152	chr8	65633761	65634685	Peak_182	965.44928
153	chr8	106269765	106270759	Peak_183	963.09015
154	chr8	76999896	77001070	Peak_184	962.83075
155	chr1	162790291	162791186	Peak_185	961.94769
156	chr1	193121487	193122715	Peak_186	961.80688
157	chr11	4607731	4608690	Peak_187	960.82465
158	chr11	125111300	125112128	Peak_188	960.33575
159	chr5	83844312	83845222	Peak_189	960.25385
160	chr12	74537292	74538423	Peak_190	960.19604
161	chr3	20185372	20186825	Peak_191	958.42072
162	chr5	43312797	43313972	Peak_192	957.80725
163	chr12	30754218	30755427	Peak_193	956.96075
164	chr11	103108979	103109929	Peak_194	956.32227
165	chr5	146182295	146183200	Peak_195	955.7077
166	chr4	6269307	6270438	Peak_196	954.6073
167	chr8	73971717	73972830	Peak_197	954.50916
168	chr5	44808515	44810014	Peak_198	954.10773
169	chr6	118934207	118935563	Peak_199	951.66949
170	chr6	96521382	96522777	Peak_200	951.57227
171	chr4	82284792	82285451	Peak_202	950.42682
172	chr3	100260607	100261456	Peak_203	950.36249
173	chr11	134252828	134254063	Peak_204	950.34113
174	chr3	158671990	158673085	Peak_205	949.07941
175	chr7	112939288	112940455	Peak_206	947.87384
176	chr7	122143447	122144688	Peak_207	947.46808
177	chr14	81533408	81534289	Peak_208	947.3183
178	chr2	197452918	197454084	Peak_209	946.80084
179	chr1	225777157	225778437	Peak_210	946.79175
180	chr5	127029546	127031343	Peak_211	946.70764
181	chr1	244652599	244653614	Peak_212	946.18945
182	chr3	66997905	66998833	Peak_213	944.97583
183	chr9	7976142	7977159	Peak_214	944.41028
184	chr9	101533202	101534337	Peak_215	942.90149
185	chr6	151451814	151452993	Peak_217	941.58582
186	chr12	88141603	88142986	Peak_218	940.58636
187	chr4	177441431	177443087	Peak_219	939.59607
188	chr14	44961583	44962877	Peak_220	939.17944
189	chr11	103091466	103092700	Peak_221	938.52216
190	chr7	87875728	87877191	Peak_222	936.40674
191	chr18	67515985	67517289	Peak_223	936.30835
192	chr7	108525544	108526779	Peak_225	934.77307
193	chr11	101914655	101915486	Peak_226	933.45862
194	chr6	83859243	83860457	Peak_227	932.26099
195	chr12	71662851	71664638	Peak_228	931.99756
196	chr3	190513423	190514351	Peak_229	931.5556
197	chr1	226939380	226940727	Peak_231	929.82971
198	chr18	70205402	70206421	Peak_232	929.40356
199	chr6	100228532	100229505	Peak_233	928.53351
200	chr1	185156260	185157606	Peak_234	927.52856
201	chr4	99816418	99817134	Peak_235	926.74298
202	chr11	100680909	100681578	Peak_236	926.14471
203	chr8	93754650	93755271	Peak_237	922.72675
204	chr11	94493330	94494522	Peak_238	922.40643
205	chr4	98995012	98996453	Peak_239	921.50507
206	chr2	197804319	197805420	Peak_240	921.47504
207	chr4	176308401	176309505	Peak_241	920.33533
208	chr8	41528727	41529524	Peak_242	919.85846
209	chr1	197146052	197147140	Peak_243	919.7312
210	chr4	107989222	107990470	Peak_244	919.02838
211	chr7	138001441	138002573	Peak_245	918.45978
212	chr7	10973036	10974737	Peak_246	917.77295
213	chr2	215311700	215312725	Peak_247	917.69904
214	chr2	676284	677853	Peak_248	917.36261
215	chr2	189783486	189784980	Peak_249	917.05579
216	chr10	37976096	37977134	Peak_251	916.76263
217	chr3	19946619	19948105	Peak_252	915.32843
218	chr5	115543862	115545293	Peak_253	911.73694
219	chr16	81095787	81096769	Peak_254	911.68671
220	chr13	97432832	97433605	Peak_255	911.06714
221	chr2	226791108	226792117	Peak_256	910.76605
222	chr11	31509152	31510262	Peak_257	910.27325
223	chr5	151770994	151772641	Peak_258	909.65076
224	chr4	158670934	158672813	Peak_259	906.48254
225	chr7	35036784	35038285	Peak_260	905.57953
226	chr4	189940428	189941349	Peak_261	905.349
227	chr3	120741973	120743174	Peak_262	905.32251
228	chr4	139015027	139016455	Peak_263	904.97839
229	chr7	127651400	127652501	Peak_264	904.65228
230	chr6	20319518	20320500	Peak_265	904.50195
231	chr5	7868759	7870075	Peak_266	903.2428
232	chr9	26946706	26947682	Peak_267	903.13379
233	chr8	65644223	65645329	Peak_268	901.8642
234	chr4	39182026	39182964	Peak_269	900.89221
235	chr2	62705012	62706007	Peak_270	900.46149
236	chr7	93231754	93232868	Peak_271	898.17218
237	chr4	13483658	13485309	Peak_272	897.26898
238	chr14	81533408	81534289	Peak_273	896.30231
239	chr2	88691028	88692451	Peak_274	894.612
240	chr6	97669149	97669808	Peak_275	893.87817
241	chr1	86395727	86396817	Peak_276	893.07056
242	chr1	85061743	85062652	Peak_277	892.35852
243	chr12	76083846	76085402	Peak_278	891.78101
244	chr8	56211175	56212456	Peak_279	889.55975
245	chr7	118183310	118184509	Peak_280	888.36029
246	chr5	75336557	75337719	Peak_281	888.1264
247	chr9	20683517	20685008	Peak_282	886.37225
248	chr10	16436371	16437572	Peak_283	885.64569
249	chr6	111872571	111873841	Peak_284	885.61731
250	chr11	27362688	27363772	Peak_285	885.45184
251	chr5	36151062	36152575	Peak_286	884.85052
252	chr8	85219899	85220956	Peak_287	884.61053
253	chr7	56106079	56106972	Peak_288	884.6062
254	chr7	7640225	7641406	Peak_289	883.55573
255	chr9	62837678	62838744	Peak_290	882.76428
256	chr12	98593194	98594229	Peak_291	882.64453
257	chr16	53703570	53704435	Peak_292	882.32135
258	chr6	52284188	52285165	Peak_293	881.20605
259	chr8	85199893	85201228	Peak_294	879.52991
260	chr3	172710598	172711684	Peak_295	879.31244
261	chr16	75516702	75517717	Peak_297	878.83716
262	chr6	116570879	116571846	Peak_298	877.77539
263	chr2	30146308	30148028	Peak_299	876.94971
264	chr2	189440759	189441956	Peak_300	876.75562
265	chr18	54284638	54285562	Peak_301	876.37823
266	chr11	125592001	125593244	Peak_302	875.37195
267	chr4	147683778	147684779	Peak_303	875.02045
268	chr5	21459244	21459987	Peak_304	874.16589
269	chr4	164956691	164957571	Peak_305	873.28314
270	chr10	114173608	114174959	Peak_306	872.56372
271	chr3	5187239	5188456	Peak_307	871.64087
272	chr12	82685714	82687938	Peak_308	871.34845
273	chr11	22624910	22626288	Peak_309	871.29114
274	chr4	121696242	121697928	Peak_310	870.89069
275	chr2	3557888	3559043	Peak_311	870.2132
276	chr5	103119708	103121045	Peak_312	869.92529
277	chr2	200525743	200526716	Peak_313	869.34369
278	chr1	65811932	65812507	Peak_314	867.34161
279	chr4	176065455	176066307	Peak_315	866.84692
280	chr3	156554634	156555712	Peak_316	866.80896
281	chr5	130323687	130324669	Peak_317	866.59253
282	chr5	94793166	94794176	Peak_318	866.09528
283	chr9	78296705	78297852	Peak_319	864.03375
284	chr5	151770994	151772641	Peak_320	862.55225
285	chr4	119454302	119455276	Peak_321	862.44965
286	chr21	14027135	14027922	Peak_322	862.17395
287	chr6	143842755	143843909	Peak_323	862.0603
288	chr13	37058919	37060157	Peak_324	860.08997
289	chr13	44141688	44142562	Peak_325	859.28406
290	chr4	108619912	108621037	Peak_326	858.5188
291	chr5	142769714	142771283	Peak_327	858.38776
292	chr4	176195232	176195999	Peak_328	857.95007
293	chr18	50878431	50880347	Peak_329	857.57111
294	chr7	47979056	47979867	Peak_330	856.64954
295	chr1	244451043	244452405	Peak_331	856.28143
296	chr11	59615196	59616593	Peak_332	855.94861
297	chr7	12210528	12211827	Peak_333	854.91089
298	chr7	64794021	64794901	Peak_334	854.06952
299	chr2	226772471	226773446	Peak_335	853.65106
300	chr11	126268539	126269464	Peak_336	852.84338
301	chr16	78099181	78100280	Peak_337	851.49591
302	chr7	144200848	144201430	Peak_338	851.1792
303	chr11	30342677	30343566	Peak_339	850.57501
304	chr2	62705012	62706007	Peak_340	849.80841
305	chr2	196639383	196640199	Peak_341	849.1485
306	chr4	174282902	174284428	Peak_342	846.99677
307	chr17	13017345	13018691	Peak_343	846.89697
308	chr1	212284642	212286473	Peak_344	846.83447
309	chr4	158670934	158672813	Peak_345	845.55609
310	chr2	100562395	100563619	Peak_346	845.30267
311	chr7	108525544	108526779	Peak_347	844.84497
312	chr7	27662473	27663295	Peak_348	843.33685
313	chr3	66500123	66501576	Peak_349	843.30713
314	chr8	89983789	89984866	Peak_350	842.93195
315	chr9	4792333	4793507	Peak_351	842.75745
316	chr1	193058481	193060129	Peak_352	841.77234
317	chr14	39174682	39175777	Peak_353	841.1228
318	chr5	144170158	144171179	Peak_354	839.57874
319	chr5	43120730	43122127	Peak_355	839.32947
320	chr8	63167949	63169250	Peak_356	838.66626
321	chr12	64403950	64405249	Peak_357	838.62982
322	chr3	42590251	42591210	Peak_358	837.53699
323	chr6	116100398	116101568	Peak_359	837.51569
324	chr13	52011312	52012524	Peak_360	837.48407
325	chr4	146945424	146946287	Peak_361	837.00073
326	chr8	730677	731723	Peak_362	836.79022
327	chr6	159761360	159762931	Peak_363	836.42047
328	chr5	156401947	156403059	Peak_364	836.22308
329	chr3	161220907	161221819	Peak_365	835.67743
330	chr3	155853697	155855078	Peak_366	834.88501
331	chr6	151389750	151391223	Peak_367	833.67535
332	chr10	110918488	110920099	Peak_368	833.50397
333	chr12	75390684	75391623	Peak_369	833.46735
334	chr4	78938877	78939963	Peak_370	829.35333
335	chr3	180601693	180602808	Peak_371	828.33997
336	chr10	130110222	130111802	Peak_372	828.30792
337	chr4	102826713	102828604	Peak_373	828.07849
338	chr7	87344922	87346081	Peak_374	827.72198
339	chr8	38996193	38997591	Peak_375	827.28314
340	chr9	107282539	107284300	Peak_376	826.59503
341	chr8	61714018	61715021	Peak_377	825.7254
342	chr6	71288046	71289716	Peak_378	824.84454
343	chr5	131170546	131171417	Peak_379	824.34314
344	chr8	63038425	63039702	Peak_381	823.72705
345	chr8	119873479	119874372	Peak_382	823.50012
346	chr5	112976228	112977336	Peak_383	822.95618
347	chr10	84139195	84140183	Peak_384	822.5166
348	chr9	15422300	15423351	Peak_385	822.37512
349	chr12	82358114	82359388	Peak_386	821.4978
350	chr12	71754443	71755904	Peak_387	821.19757
351	chr7	65373554	65374336	Peak_388	821.18579
352	chrX	317849	319368	Peak_389	820.49146
353	chr4	55395318	55396644	Peak_390	820.3399
354	chr1	195195224	195196023	Peak_392	819.56195
355	chr1	241639479	241640776	Peak_393	819.36169
356	chr4	155758630	155760290	Peak_394	819.12549
357	chr9	41234335	41235064	Peak_395	818.45483
358	chr3	28348338	28349641	Peak_396	818.39008
359	chr2	54723091	54724093	Peak_397	818.2525
360	chr13	21603499	21604577	Peak_398	817.1524
361	chr18	32470219	32471576	Peak_399	815.03687
362	chr3	36992639	36993901	Peak_400	814.08063
363	chr12	39442328	39443793	Peak_401	813.77997
364	chr1	192808399	192809317	Peak_402	813.69916
365	chr6	152301580	152302590	Peak_403	813.48749
366	chr4	140373284	140374086	Peak_404	813.39569
367	chr8	119638647	119639323	Peak_405	811.73297
368	chr5	86617537	86618614	Peak_406	811.42133
369	chr10	22002812	22004204	Peak_407	811.01794
370	chr5	43312797	43313972	Peak_408	810.37061
371	chr6	69796510	69797431	Peak_409	810.19635
372	chr6	117674870	117676179	Peak_410	810.09955
373	chr5	94111207	94112025	Peak_411	809.6394
374	chr2	175167525	175168859	Peak_412	809.62769
375	chr12	82358114	82359388	Peak_414	807.57343
376	chr12	34021882	34022932	Peak_415	807.2243
377	chr4	88283018	88285248	Peak_416	807.12146
378	chr4	52711935	52713143	Peak_417	806.5824
379	chr10	104268679	104269438	Peak_418	806.27045
380	chr10	61286620	61287404	Peak_419	805.24554
381	chr5	154445327	154447000	Peak_420	804.95972
382	chr5	103258315	103259842	Peak_421	804.88129
383	chr3	25663416	25665512	Peak_422	804.50128
384	chr5	110752004	110753275	Peak_423	804.16168
385	chr2	15142039	15142730	Peak_424	802.91553
386	chr7	87933603	87934929	Peak_425	802.80713
387	chr4	67545214	67545823	Peak_426	802.40283
388	chr1	195195224	195196023	Peak_427	802.17102
389	chr7	149028111	149029138	Peak_429	801.59985
390	chr1	247936889	247937736	Peak_430	801.29041
391	chr5	156401947	156403059	Peak_431	801.12292
392	chr4	176319459	176320830	Peak_432	800.02972
393	chr5	34929163	34930324	Peak_433	799.44604
394	chr9	78235651	78236839	Peak_434	799.04755
395	chr5	148825805	148826906	Peak_435	798.83081
396	chr1	71080543	71081502	Peak_436	798.68683
397	chr3	153160426	153162768	Peak_437	798.29089
398	chr4	83484531	83485600	Peak_438	796.53125
399	chr7	21426837	21427619	Peak_439	796.46051
400	chr20	13638426	13639434	Peak_440	796.33502
401	chr1	230978108	230979369	Peak_441	795.32971
402	chr7	56051152	56052276	Peak_442	795.16779
403	chr5	34914815	34916149	Peak_443	795.1087
404	chr11	123061455	123063093	Peak_444	795.04944
405	chr4	139453046	139454585	Peak_445	794.61719
406	chr5	149960399	149961263	Peak_446	794.22211
407	chr11	30322791	30323538	Peak_447	793.89447
408	chr4	169009390	169010942	Peak_448	793.87231
409	chr1	100249417	100250303	Peak_449	793.3338
410	chr4	101790329	101791497	Peak_450	793.00995
411	chr4	119211996	119213559	Peak_451	792.40808
412	chr2	20446751	20447988	Peak_452	792.09552
413	chr1	247390123	247390789	Peak_453	791.79675
414	chr8	90644937	90646651	Peak_454	791.66931
415	chr4	138241789	138242714	Peak_455	791.46899
416	chr1	246565957	246567129	Peak_456	791.43109
417	chr7	64313584	64314480	Peak_457	791.03058
418	chr12	76763641	76764802	Peak_458	790.93091
419	chr9	75087657	75089239	Peak_459	789.95074
420	chr8	116765885	116767465	Peak_460	789.62164
421	chr3	172750356	172751437	Peak_461	789.17749
422	chr4	67700616	67701805	Peak_462	788.71362
423	chr1	246931041	246932462	Peak_463	788.13361
424	chr1	166839023	166840284	Peak_464	787.83325
425	chr8	86507937	86509002	Peak_465	787.80139
426	chr7	149028111	149029138	Peak_466	787.76099
427	chr4	44677898	44679383	Peak_467	787.71619
428	chr2	74653822	74654731	Peak_469	786.78143
429	chr3	23916490	23917778	Peak_470	786.73016
430	chr6	155313979	155315244	Peak_471	786.67542
431	chr14	60091562	60092498	Peak_472	785.72253
432	chr7	142808517	142809591	Peak_473	785.68365
433	chr5	149357501	149358647	Peak_474	785.67059
434	chr4	141307205	141307746	Peak_475	784.14154
435	chr1	228139780	228140790	Peak_476	784.005
436	chr2	36597406	36598326	Peak_477	783.68738
437	chr14	99480008	99481736	Peak_479	782.44568
438	chr7	65080758	65081678	Peak_480	782.42896
439	chr4	10115891	10117594	Peak_481	781.87628
440	chr2	144331851	144332980	Peak_482	781.48694
441	chr6	79234362	79234985	Peak_483	781.45343
442	chr1	225923656	225924769	Peak_484	781.36755
443	chr7	12686422	12687838	Peak_485	780.79803
444	chr12	14802989	14804046	Peak_486	780.08209
445	chr4	138035649	138036261	Peak_487	780.00775
446	chr12	63779472	63780627	Peak_488	779.19989
447	chr3	88058310	88059640	Peak_489	778.62842
448	chr8	93916205	93917928	Peak_490	778.1427
449	chr7	134646471	134647378	Peak_491	778.02051
450	chr3	16264344	16265485	Peak_492	777.77979
451	chr11	16737940	16739129	Peak_493	777.07458
452	chr11	90222357	90223623	Peak_494	776.67053
453	chr4	99563285	99564238	Peak_495	775.79822
454	chr11	95230601	95231646	Peak_496	775.70532
455	chr5	81971635	81972635	Peak_497	775.51367
456	chr11	18012632	18013754	Peak_498	774.61731
457	chr3	40452752	40453524	Peak_499	774.58539
458	chr1	95072202	95073684	Peak_500	774.01837
459	chr11	123740870	123741878	Peak_501	773.40503
460	chr8	74350078	74350960	Peak_502	771.9519
461	chr3	136861484	136862935	Peak_503	771.79449
462	chrX	1391527	1392899	Peak_504	771.07037
463	chr7	112939288	112940455	Peak_506	770.22339
464	chr1	214602744	214603641	Peak_507	770.10498
465	chr2	239400582	239402041	Peak_508	769.69672
466	chr10	83680341	83681031	Peak_509	769.61591
467	chr5	110738459	110739632	Peak_510	769.39636
468	chr14	54396585	54397597	Peak_511	769.03107
469	chr3	4303169	4304103	Peak_512	768.73511
470	chr14	80959396	80960111	Peak_513	767.93695
471	chr2	67397089	67398220	Peak_514	767.75665
472	chr11	43311573	43312525	Peak_515	767.43561
473	chr14	80930715	80931670	Peak_517	766.42444
474	chr3	81760916	81762041	Peak_518	766.30066
475	chr6	162727154	162728146	Peak_519	766.14685
476	chr1	241847717	241848644	Peak_520	765.45685
477	chr10	27503716	27504831	Peak_522	765.03687
478	chr18	36828362	36829658	Peak_523	764.75024
479	chr8	81685757	81686663	Peak_524	764.17767
480	chr1	84689828	84690982	Peak_526	762.94281
481	chr7	158704477	158705532	Peak_527	762.10443
482	chr2	64750684	64751856	Peak_528	761.33258
483	chr3	160449167	160450303	Peak_529	761.28656
484	chr4	98260147	98262207	Peak_530	760.17194
485	chr2	18559789	18561006	Peak_531	759.67517
486	chr13	38348883	38350375	Peak_532	759.65497
487	chr10	118341777	118342863	Peak_533	759.1394
488	chrX	65534415	65535283	Peak_534	758.97906
489	chr1	192609096	192609871	Peak_536	758.09772
490	chr2	162343696	162344803	Peak_537	757.42151
491	chr18	74147438	74148809	Peak_538	757.10229
492	chr4	189940428	189941349	Peak_539	756.96423
493	chr14	54396585	54397597	Peak_540	756.54938
494	chr5	14809417	14810311	Peak_541	756.53931
495	chr6	52994814	52996315	Peak_542	756.22168
496	chr1	119139939	119141231	Peak_543	756.01953
497	chr5	100534888	100536192	Peak_544	755.96674
498	chr7	149838072	149839047	Peak_545	755.71051
499	chr13	73967500	73968376	Peak_546	755.69482
500	chr3	32684710	32685698	Peak_547	755.46539
501	chr1	225427446	225428935	Peak_548	755.30725
502	chr5	154038235	154039297	Peak_549	754.54236
503	chr10	104231974	104232790	Peak_550	754.43329
504	chr4	48340736	48342234	Peak_551	754.12811
505	chr3	155870063	155871897	Peak_552	753.87079
506	chr4	177441431	177443087	Peak_553	753.8299
507	chr5	160467408	160468428	Peak_554	753.81726
508	chr10	38010392	38011549	Peak_555	753.79974
509	chr13	97222042	97222600	Peak_556	753.65436
510	chr2	36965938	36967180	Peak_557	753.55389
511	chr4	165206903	165208338	Peak_558	753.4552
512	chr10	130110222	130111802	Peak_559	753.42358
513	chrX	107628153	107629176	Peak_560	753.26025
514	chr4	183443801	183445429	Peak_561	753.03705
515	chr1	248837757	248839211	Peak_562	752.50476
516	chr2	55693163	55694093	Peak_563	752.26624
517	chr3	107522567	107523799	Peak_564	752.12421
518	chr4	112231257	112232592	Peak_565	751.88373
519	chr4	83484531	83485600	Peak_566	751.79285
520	chr2	20051331	20052248	Peak_567	750.87842
521	chr1	64864003	64864678	Peak_568	750.2627
522	chr8	18209589	18210671	Peak_569	750.25043
523	chr6	96923908	96925284	Peak_570	749.6684
524	chr1	218284630	218285626	Peak_571	749.24725
525	chr11	83285503	83286755	Peak_572	748.93536
526	chr1	67759732	67760580	Peak_573	748.51685
527	chr10	79444851	79446251	Peak_574	748.19678
528	chr2	121755037	121756014	Peak_575	748.14337
529	chr8	37762157	37763284	Peak_576	748.08655
530	chr13	94548789	94550261	Peak_577	748.0528
531	chr5	108380546	108383006	Peak_578	748.00977
532	chr3	98522183	98523367	Peak_579	747.935
533	chr6	136289682	136290883	Peak_580	747.81519
534	chr3	66220607	66221389	Peak_581	747.14386
535	chr1	186374383	186376141	Peak_582	746.97974
536	chr7	36152603	36153826	Peak_583	746.96423
537	chr12	32678901	32680016	Peak_585	746.49963
538	chr18	68714358	68715583	Peak_586	746.11426
539	chr4	88591834	88593528	Peak_587	745.59351
540	chr3	32106132	32107114	Peak_588	745.25635
541	chr6	153002128	153003520	Peak_589	745.03302
542	chr7	77797930	77799541	Peak_590	745.02576
543	chr10	28676799	28678006	Peak_591	744.84686
544	chr11	78187906	78189149	Peak_592	744.05273
545	chr3	149085836	149086967	Peak_593	743.72046
546	chr3	3179218	3180146	Peak_594	743.60413
547	chr4	119299781	119301108	Peak_596	743.52582
548	chr3	148319067	148319952	Peak_597	743.51624
549	chr11	94973084	94974002	Peak_598	743.29144
550	chr2	20650461	20651765	Peak_599	743.10187
551	chr6	71495930	71496510	Peak_600	743.10034
552	chr6	20401256	20402106	Peak_601	743.07544
553	chr4	47913824	47915111	Peak_602	741.9541
554	chr2	178450066	178451572	Peak_603	741.63147
