#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
BSPRY	BSPRY	NM_001317944.2	protein_coding	0	2	0	0	0	0	0	1	0	0	1	0	1
BSPRY	BSPRY	NM_017688.3	protein_coding	0	2	0	0	0	0	0	1	0	0	1	0	1
C5	C5	NM_001317163.2	protein_coding	0	1	1	7	0	0	0	7	1	0	0	0	1
C5	C5	NM_001317164.2	protein_coding	0	1	1	4	0	0	0	4	1	0	0	0	1
C5	C5	NM_001735.3	protein_coding	0	1	1	7	0	0	0	7	1	0	0	0	1
C8G	C8G	NM_000606.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
C9orf139	C9orf139	NM_207511.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
C9orf152	C9orf152	NM_001012993.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
C9orf43	C9orf43	NM_001278629.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
C9orf43	C9orf43	NM_001278630.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
C9orf43	C9orf43	NM_152786.3	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
C9orf62	C9orf62	NM_173520.2	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
C9orf78	C9orf78	NM_016520.3	protein_coding	0	1	0	4	1	0	0	3	0	0	0	0	1
CACNA1B	CACNA1B	NM_000718.4	protein_coding	0	4	1	4	0	0	0	5	1	0	1	0	3
CACNA1B	CACNA1B	NM_001243812.2	protein_coding	0	3	2	4	0	0	0	5	2	0	1	0	2
CAMSAP1	CAMSAP1	NM_015447.4	protein_coding	0	1	0	2	0	0	0	2	0	0	1	0	1
CARD9	CARD9	NM_052813.5	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
CARD9	CARD9	NM_052814.4	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
CAVIN4	CAVIN4	NM_001018116.2	protein_coding	0	2	0	2	0	0	1	1	0	0	0	0	2
CCDC183	CCDC183	NM_001039374.5	protein_coding	0	0	2	1	0	0	1	0	2	0	0	0	0
CDK5RAP2	CDK5RAP2	NM_001011649.3	protein_coding	0	0	2	9	0	0	2	7	2	0	0	0	0
CDK5RAP2	CDK5RAP2	NM_001272039.1	protein_coding	0	0	2	9	0	0	2	7	2	0	0	0	0
CDK5RAP2	CDK5RAP2	NM_018249.6	protein_coding	0	0	2	9	0	0	2	7	2	0	0	0	0
CEL	CEL	NM_001807.5	protein_coding	0	1	2	1	0	0	0	1	2	0	0	0	1
CFAP157	CFAP157	NM_001012502.3	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1
CFAP77	CFAP77	NM_001282957.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
CFAP77	CFAP77	NM_207417.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
CIZ1	CIZ1	NM_001131015.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_001131016.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_001131017.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_001131018.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_001257975.1	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_001257976.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CIZ1	CIZ1	NM_012127.3	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
CNTRL	CNTRL	NM_001330762.2	protein_coding	0	1	1	4	0	0	0	4	1	0	0	0	1
CNTRL	CNTRL	NM_001369892.1	protein_coding	0	1	1	4	0	0	0	4	1	0	0	0	1
CNTRL	CNTRL	NM_001369893.1	protein_coding	0	1	3	2	0	0	0	2	3	0	0	0	1
CNTRL	CNTRL	NM_001369894.1	protein_coding	0	1	3	2	0	0	0	2	3	0	0	0	1
CNTRL	CNTRL	NM_001369895.1	protein_coding	0	1	2	3	0	0	1	2	2	0	0	0	1
CNTRL	CNTRL	NM_001369896.1	protein_coding	0	0	2	0	0	0	0	0	2	0	0	0	0
CNTRL	CNTRL	NM_007018.5	protein_coding	0	1	3	4	0	0	0	4	3	0	0	0	1
COL15A1	COL15A1	NM_001855.5	protein_coding	0	0	3	0	0	0	0	0	3	0	0	0	0
COL27A1	COL27A1	NM_032888.4	protein_coding	0	2	5	8	0	0	0	8	5	0	0	0	2
COL5A1	COL5A1	NM_000093.5	protein_coding	0	3	0	30	1	0	0	30	0	0	2	0	2
COL5A1	COL5A1	NM_001278074.1	protein_coding	0	3	0	30	1	0	0	30	0	0	2	0	2
COQ4	COQ4	NM_001305942.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
COQ4	COQ4	NM_016035.5	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
CRAT	CRAT	NM_000755.5	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
CRAT	CRAT	NM_001257363.3	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
CRAT	CRAT	NM_001346546.2	protein_coding	0	0	1	1	0	0	1	0	1	0	0	0	0
CRAT	CRAT	NM_001346547.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
CRAT	CRAT	NM_001346548.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
CRAT	CRAT	NM_001346549.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
CRAT	CRAT	NM_004003.4	protein_coding	0	0	1	1	0	0	1	0	1	0	0	0	0
CRB2	CRB2	NM_173689.7	protein_coding	0	2	2	0	0	0	0	0	2	0	0	0	2
CTNNAL1	CTNNAL1	NM_001286974.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
CTNNAL1	CTNNAL1	NM_003798.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
CYLC2	CYLC2	NM_001340.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
DBH	DBH	NM_000787.4	protein_coding	0	2	0	3	0	0	0	3	0	0	1	0	2
DDX31	DDX31	NM_001322340.1	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
DDX31	DDX31	NM_001322341.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
DDX31	DDX31	NM_001322342.1	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
DDX31	DDX31	NM_001322343.1	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
DDX31	DDX31	NM_001322344.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
DDX31	DDX31	NM_022779.8	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
DDX31	DDX31	NM_138620.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
DIPK1B	DIPK1B	NM_152421.4	protein_coding	0	3	1	0	0	0	0	0	1	0	0	0	3
DNM1	DNM1	NM_001005336.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DNM1	DNM1	NM_001288737.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DNM1	DNM1	NM_001288738.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DNM1	DNM1	NM_001288739.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DNM1	DNM1	NM_001374269.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DNM1	DNM1	NM_004408.4	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
DOLPP1	DOLPP1	NM_001135917.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
DOLPP1	DOLPP1	NM_020438.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
DPM2	DPM2	NM_003863.3	protein_coding	0	1	1	0	0	0	0	0	1	0	0	0	1
DPP7	DPP7	NM_013379.3	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
ECPAS	ECPAS	NM_001363756.1	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0
ECPAS	ECPAS	NM_001364929.1	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0
ECPAS	ECPAS	NM_001364930.1	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0
ECPAS	ECPAS	NM_001364931.1	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0
EGFL7	EGFL7	NM_016215.5	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
EGFL7	EGFL7	NM_201446.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
EHMT1	EHMT1	NM_001145527.2	protein_coding	0	3	0	1	0	0	0	1	0	0	1	0	3
EHMT1	EHMT1	NM_001354259.2	protein_coding	0	3	0	1	0	0	0	1	0	0	1	0	3
EHMT1	EHMT1	NM_001354263.2	protein_coding	0	3	0	4	0	0	0	4	0	0	1	0	3
EHMT1	EHMT1	NM_001354611.2	protein_coding	0	3	0	1	0	0	0	1	0	0	1	0	3
EHMT1	EHMT1	NM_001354612.2	protein_coding	0	3	0	1	0	0	0	1	0	0	1	0	3
EHMT1	EHMT1	NM_024757.5	protein_coding	0	3	0	4	0	0	0	4	0	0	1	0	3
ELP1	ELP1	NM_001318360.2	protein_coding	0	1	0	7	0	0	0	7	0	0	0	0	1
ELP1	ELP1	NM_001330749.2	protein_coding	0	1	0	7	0	0	0	7	0	0	0	0	1
ELP1	ELP1	NM_003640.5	protein_coding	0	1	0	7	0	0	0	7	0	0	0	0	1
ENDOG	ENDOG	NM_004435.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
ENG	ENG	NM_000118.3	protein_coding	0	2	0	1	0	0	0	1	0	0	0	0	2
ENG	ENG	NM_001114753.2	protein_coding	0	2	0	1	0	0	0	1	0	0	0	0	2
ENG	ENG	NM_001278138.1	protein_coding	0	1	0	2	0	0	1	1	0	0	0	0	1
ENTPD8	ENTPD8	NM_001033113.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ENTPD8	ENTPD8	NM_198585.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
EPB41L4B	EPB41L4B	NM_018424.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
EPB41L4B	EPB41L4B	NM_019114.4	protein_coding	0	1	1	3	1	0	0	2	1	0	0	0	1
ERP44	ERP44	NM_015051.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
EXD3	EXD3	NM_001286823.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
EXD3	EXD3	NM_017820.5	protein_coding	0	2	3	0	0	0	0	0	3	0	1	0	2
FAM102A	FAM102A	NM_001035254.3	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
FAM102A	FAM102A	NM_203305.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
FAM78A	FAM78A	NM_033387.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
FCN1	FCN1	NM_002003.5	protein_coding	0	1	0	4	2	0	0	2	0	0	0	0	1
FCN2	FCN2	NM_004108.3	protein_coding	0	0	1	4	0	0	1	3	1	0	0	0	0
FCN2	FCN2	NM_015837.2	protein_coding	0	0	1	4	0	0	1	3	1	0	0	0	0
FIBCD1	FIBCD1	NM_001145106.1	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1
FIBCD1	FIBCD1	NM_032843.5	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1
FKBP15	FKBP15	NM_015258.2	protein_coding	0	1	1	3	1	0	0	2	1	0	0	0	1
FNBP1	FNBP1	NM_001363755.1	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
FNBP1	FNBP1	NM_015033.3	protein_coding	0	1	0	2	0	0	0	2	0	0	0	0	1
FOXE1	FOXE1	NM_004473.4	protein_coding	0	1	0	1	1	0	0	0	0	0	0	0	1
FSD1L	FSD1L	NM_001145313.3	protein_coding	0	0	1	7	0	0	0	7	1	0	0	0	0
FSD1L	FSD1L	NM_001287191.1	protein_coding	0	0	1	7	0	0	0	7	1	0	0	0	0
FSD1L	FSD1L	NM_001287192.2	protein_coding	0	0	1	7	0	0	0	7	1	0	0	0	0
FSD1L	FSD1L	NM_001330739.2	protein_coding	0	0	1	7	0	0	0	7	1	0	0	0	0
FSD1L	FSD1L	NM_031919.5	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
FUT7	FUT7	NM_004479.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GABBR2	GABBR2	NM_005458.8	protein_coding	0	5	0	4	0	0	0	6	0	0	2	0	3
GALNT12	GALNT12	NM_024642.5	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GAPVD1	GAPVD1	NM_001282679.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001282680.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001282681.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001330777.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001330778.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354294.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354295.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354296.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354297.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354298.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354299.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354300.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_001354301.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GAPVD1	GAPVD1	NM_015635.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GARNL3	GARNL3	NM_001286779.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GARNL3	GARNL3	NM_032293.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GBGT1	GBGT1	NM_001282629.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
GBGT1	GBGT1	NM_001282632.2	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
GBGT1	GBGT1	NM_001288572.2	protein_coding	0	0	0	3	0	0	1	2	0	0	0	0	0
GBGT1	GBGT1	NM_001288573.2	protein_coding	0	0	0	3	0	0	1	2	0	0	0	0	0
GBGT1	GBGT1	NM_021996.6	protein_coding	0	0	1	2	0	0	0	2	1	0	0	0	0
GFI1B	GFI1B	NM_001135031.2	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
GFI1B	GFI1B	NM_001371908.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
GFI1B	GFI1B	NM_004188.7	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
GLE1	GLE1	NM_001003722.1	protein_coding	0	1	1	3	0	1	1	2	1	0	0	0	0
GLE1	GLE1	NM_001499.2	protein_coding	0	1	1	3	0	1	1	2	1	0	0	0	0
GLT6D1	GLT6D1	NM_182974.3	protein_coding	0	3	0	1	0	0	0	2	0	0	1	0	2
GOLGA1	GOLGA1	NM_002077.4	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0
GOLGA2	GOLGA2	NM_001366244.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GOLGA2	GOLGA2	NM_001366246.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GOLGA2	GOLGA2	NM_004486.5	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GPR107	GPR107	NM_001136557.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
GPR107	GPR107	NM_001136558.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
GPR107	GPR107	NM_001287346.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
GPR107	GPR107	NM_020960.5	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
GPR21	GPR21	NM_005294.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GPSM1	GPSM1	NM_001145638.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GPSM1	GPSM1	NM_001145639.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GPSM1	GPSM1.2	NM_001200003.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
GRIN1	GRIN1	NM_000832.7	protein_coding	0	3	0	3	0	0	0	4	0	0	1	0	2
GRIN1	GRIN1	NM_001185090.2	protein_coding	0	3	0	3	0	0	0	4	0	0	1	0	2
GRIN1	GRIN1	NM_001185091.2	protein_coding	0	3	0	3	0	0	0	4	0	0	1	0	2
GRIN1	GRIN1	NM_007327.4	protein_coding	0	3	0	3	0	0	0	4	0	0	1	0	2
GRIN1	GRIN1	NM_021569.4	protein_coding	0	3	0	3	0	0	0	4	0	0	1	0	2
GRIN3A	GRIN3A	NM_133445.3	protein_coding	0	5	3	6	0	0	0	6	3	0	0	0	5
GSN	GSN	NM_000177.5	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GSN	GSN	NM_001127662.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001127663.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001127664.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001127665.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001127666.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001127667.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001258029.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GSN	GSN	NM_001258030.2	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GSN	GSN	NM_001353053.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353054.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353055.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353056.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353057.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353058.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353059.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353060.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353061.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353062.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353063.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353064.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353065.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353066.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353067.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353068.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353069.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353070.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353071.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353072.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353073.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353074.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353075.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GSN	GSN	NM_001353076.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_001353077.1	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
GSN	GSN	NM_001353078.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GSN	GSN	NM_198252.3	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
GTF3C4	GTF3C4	NM_012204.4	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
HDHD3	HDHD3	NM_001304509.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
HDHD3	HDHD3	NM_001304510.2	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
