query_id	query_length	gene_chain_5to3	query_orientation	gene	qstart	qend	sseqid	sstart	send	pident	alignment_length	mismatches	gap_opens	evalue	bitscore
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MT-ATP6	179	859	ENST00000361899.2|ENSG00000198899.2|-|-|MT-ATP6-201|MT-ATP6|681|protein_coding|	1	681	99.559	681	3	0	0	678.0
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MTATP6P1	179	859	ENST00000514057.1|ENSG00000248527.1|OTTHUMG00000002335.2|OTTHUMT00000006717.2|MTATP6P1-201|MTATP6P1|681|unprocessed_pseudogene|	1	681	98.678	681	9	0	0	672.0
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MTCO3P12	859	1405	ENST00000416718.2|ENSG00000198744.5|OTTHUMG00000002337.2|OTTHUMT00000006719.2|MTCO3P12-201|MTCO3P12|547|unprocessed_pseudogene|	1	547	98.355	547	9	0	0	538.0
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MT-CO3	859	1642	ENST00000362079.2|ENSG00000198938.2|-|-|MT-CO3-201|MT-CO3|784|protein_coding|	1	784	99.872	784	1	0	0	783.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	MYC	1004	1396	ENST00000520751.1|ENSG00000136997.22|OTTHUMG00000128475.10|OTTHUMT00000380692.2|MYC-204|MYC|577|protein_coding_CDS_not_defined|	394	2	100.000	393	0	0	0	393.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	MYC	1005	1396	ENST00000377970.6|ENSG00000136997.22|OTTHUMG00000128475.10|OTTHUMT00000476371.1|MYC-202|MYC|2351|protein_coding|	540	149	100.000	392	0	0	0	392.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	MYC	1016	1396	ENST00000641036.1|ENSG00000136997.22|OTTHUMG00000128475.10|OTTHUMT00000493534.1|MYC-207|MYC|567|protein_coding|	567	187	100.000	381	0	0	0	381.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	ZIC2	671	837	ENST00000490085.5|ENSG00000043355.12|OTTHUMG00000017279.5|OTTHUMT00000045619.1|ZIC2-205|ZIC2|455|protein_coding_CDS_not_defined|	286	120	100.000	167	0	0	0	167.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	ZIC2	671	835	ENST00000468291.1|ENSG00000043355.12|OTTHUMG00000017279.5|OTTHUMT00000045621.1|ZIC2-202|ZIC2|383|protein_coding_CDS_not_defined|	214	50	100.000	165	0	0	0	165.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	SP1	470	675	ENST00000854917.1|ENSG00000185591.11|OTTHUMG00000170047.5|-|SP1-205|SP1|1334|protein_coding|	740	535	100.000	206	0	0	0	206.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	SP1	833	1008	ENST00000327443.9|ENSG00000185591.11|OTTHUMG00000170047.5|OTTHUMT00000407044.2|SP1-201|SP1|7680|protein_coding|	1963	1788	100.000	176	0	0	0	176.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	SP1	833	1007	ENST00000854917.1|ENSG00000185591.11|OTTHUMG00000170047.5|-|SP1-205|SP1|1334|protein_coding|	541	367	100.000	175	0	0	0	175.0
NODE_63_length_1396_cov_39.296654_g60_i0	1396	MYC-ZIC2-SP1-CATSPER4	-	CATSPER4	1	473	ENST00000518899.5|ENSG00000188782.9|OTTHUMG00000003383.4|OTTHUMT00000381674.1|CATSPER4-203|CATSPER4|1831|nonsense_mediated_decay|	1822	1350	100.000	473	0	0	0	473.0
NODE_67_length_1338_cov_31.385392_g5_i2	1338	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	+	IGHV3-30	1	51	ENST00000603660.1|ENSG00000270550.1|OTTHUMG00000188332.2|OTTHUMT00000476921.2|IGHV3-30-201|IGHV3-30|431|IG_V_gene|	147	97	100.000	51	0	0	0	51.0
NODE_67_length_1338_cov_31.385392_g5_i2	1338	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	+	ENSG00000282150	1	51	ENST00000631869.1|ENSG00000282150.1|OTTHUMG00000191135.2|OTTHUMT00000486804.2|ENST00000631869|ENSG00000282150|353|IG_V_gene|	67	17	100.000	51	0	0	0	51.0
NODE_67_length_1338_cov_31.385392_g5_i2	1338	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	+	IGHV3-33	1	51	ENST00000390615.2|ENSG00000211955.2|OTTHUMG00000152077.2|OTTHUMT00000325171.2|IGHV3-33-201|IGHV3-33|431|IG_V_gene|	147	97	100.000	51	0	0	0	51.0
NODE_67_length_1338_cov_31.385392_g5_i2	1338	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	+	IGHV3-43	46	457	ENST00000633040.1|ENSG00000282151.1|OTTHUMG00000191009.2|OTTHUMT00000486496.2|IGHV3-43-202|IGHV3-43|435|IG_V_gene|	18	431	98.068	414	8	0	0	406.0
NODE_67_length_1338_cov_31.385392_g5_i2	1338	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	+	ENSG00000277856	164	457	ENST00000619729.1|ENSG00000277856.1|-|-|ENST00000619729|ENSG00000277856|294|protein_coding|	1	294	99.660	294	1	0	0	293.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DRB1	777	1123	ENST00000328980.11|ENSG00000206306.10|OTTHUMG00000012607.4|OTTHUMT00000035239.4|HLA-DRB1-215|HLA-DRB1|1230|protein_coding|	410	64	97.695	347	8	0	0	339.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	1	918	ENST00000383102.6|ENSG00000230708.10|OTTHUMG00000031346.8|OTTHUMT00000076736.2|HLA-DPB1-246|HLA-DPB1|1560|protein_coding|	1190	273	98.148	918	17	0	0	901.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	1	883	ENST00000399500.6|ENSG00000215048.13|OTTHUMG00000012659.5|OTTHUMT00000035390.2|HLA-DPB1-202|HLA-DPB1|1560|protein_coding|	1190	308	96.376	883	32	0	0	851.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	1	622	ENST00000441857.6|ENSG00000230708.10|OTTHUMG00000031346.8|OTTHUMT00000315152.1|HLA-DPB1-248|HLA-DPB1|1424|protein_coding|	1054	433	98.875	622	7	0	0	615.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	293	918	ENST00000907477.1|ENSG00000223865.13|OTTHUMG00000031076.7|-|HLA-DPB1-223|HLA-DPB1|1415|protein_coding|	863	238	96.805	626	20	0	0	606.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	318	918	ENST00000450474.5|ENSG00000230708.10|OTTHUMG00000031346.8|OTTHUMT00000315157.3|HLA-DPB1-249|HLA-DPB1|688|protein_coding|	688	88	98.336	601	10	0	0	591.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	318	883	ENST00000402095.6|ENSG00000215048.13|OTTHUMG00000012659.5|OTTHUMT00000314516.1|HLA-DPB1-203|HLA-DPB1|688|protein_coding|	688	123	97.173	566	16	0	0	550.0
NODE_99_length_1123_cov_6.165112_g88_i0	1123	HLA-DRB1-HLA-DPB1	-	HLA-DPB1	429	918	ENST00000488413.1|ENSG00000230708.10|OTTHUMG00000031346.8|OTTHUMT00000315156.1|HLA-DPB1-253|HLA-DPB1|775|protein_coding_CDS_not_defined|	775	286	97.959	490	10	0	0	480.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHV3-30	1	51	ENST00000633400.1|ENSG00000282777.1|OTTHUMG00000190985.2|OTTHUMT00000486472.2|IGHV3-30-202|IGHV3-30|431|IG_V_gene|	147	97	100.000	51	0	0	0	51.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	ENSG00000282150	1	51	ENST00000631869.1|ENSG00000282150.1|OTTHUMG00000191135.2|OTTHUMT00000486804.2|ENST00000631869|ENSG00000282150|353|IG_V_gene|	67	17	100.000	51	0	0	0	51.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHV3-33	1	51	ENST00000631807.1|ENSG00000282642.1|OTTHUMG00000190991.2|OTTHUMT00000486478.2|IGHV3-33-202|IGHV3-33|420|IG_V_gene|	134	84	100.000	51	0	0	0	51.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHV3-43	46	457	ENST00000633040.1|ENSG00000282151.1|OTTHUMG00000191009.2|OTTHUMT00000486496.2|IGHV3-43-202|IGHV3-43|435|IG_V_gene|	18	431	98.068	414	8	0	0	406.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	ENSG00000277856	164	457	ENST00000619729.1|ENSG00000277856.1|-|-|ENST00000619729|ENSG00000277856|294|protein_coding|	1	294	99.660	294	1	0	0	293.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHGP	529	822	ENST00000390555.3|ENSG00000253755.1|OTTHUMG00000152493.1|OTTHUMT00000326458.1|IGHGP-201|IGHGP|1178|IG_C_pseudogene|	1	294	95.578	294	13	0	0	281.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHG1	527	1054	ENST00000631539.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486321.1|IGHG1-206|IGHG1|2619|IG_C_gene|	1	528	99.811	528	1	0	0	527.0
NODE_113_length_1054_cov_43.113659_g5_i9	1054	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	+	IGHG1	527	1024	ENST00000631402.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486323.1|IGHG1-204|IGHG1|1022|IG_C_gene|	1	498	99.799	498	1	0	0	497.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	IGHV3-33	1	429	ENST00000390615.2|ENSG00000211955.2|OTTHUMG00000152077.2|OTTHUMT00000325171.2|IGHV3-33-201|IGHV3-33|431|IG_V_gene|	1	429	96.270	429	16	0	0	413.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	IGHV3-30	1	431	ENST00000633400.1|ENSG00000282777.1|OTTHUMG00000190985.2|OTTHUMT00000486472.2|IGHV3-30-202|IGHV3-30|431|IG_V_gene|	1	431	95.824	431	18	0	0	413.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	ENSG00000282150	81	432	ENST00000631869.1|ENSG00000282150.1|OTTHUMG00000191135.2|OTTHUMT00000486804.2|ENST00000631869|ENSG00000282150|353|IG_V_gene|	1	352	97.159	352	10	0	0	342.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	IGHGP	515	808	ENST00000390555.3|ENSG00000253755.1|OTTHUMG00000152493.1|OTTHUMT00000326458.1|IGHGP-201|IGHGP|1178|IG_C_pseudogene|	1	294	95.578	294	13	0	0	281.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	IGHG1	513	1040	ENST00000631466.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486322.1|IGHG1-205|IGHG1|1128|IG_C_gene|	1	528	99.811	528	1	0	0	527.0
NODE_118_length_1040_cov_50.325581_g5_i10	1040	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	+	IGHG1	513	1010	ENST00000631402.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486323.1|IGHG1-204|IGHG1|1022|IG_C_gene|	1	498	99.799	498	1	0	0	497.0
NODE_125_length_1029_cov_54.785276_g5_i11	1029	SNRNP70-IGHGP-IGHG1	+	SNRNP70	1	52	ENST00000544278.2|ENSG00000104852.16|OTTHUMG00000183344.3|OTTHUMT00000466273.1|SNRNP70-203|SNRNP70|3221|retained_intron|	553	502	100.000	52	0	0	0	52.0
NODE_125_length_1029_cov_54.785276_g5_i11	1029	SNRNP70-IGHGP-IGHG1	+	IGHGP	504	797	ENST00000390555.3|ENSG00000253755.1|OTTHUMG00000152493.1|OTTHUMT00000326458.1|IGHGP-201|IGHGP|1178|IG_C_pseudogene|	1	294	95.578	294	13	0	0	281.0
NODE_125_length_1029_cov_54.785276_g5_i11	1029	SNRNP70-IGHGP-IGHG1	+	IGHG1	502	1029	ENST00000631539.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486321.1|IGHG1-206|IGHG1|2619|IG_C_gene|	1	528	99.811	528	1	0	0	527.0
NODE_125_length_1029_cov_54.785276_g5_i11	1029	SNRNP70-IGHGP-IGHG1	+	IGHG1	502	999	ENST00000390542.6|ENSG00000211896.7|OTTHUMG00000152495.2|OTTHUMT00000326505.1|IGHG1-201|IGHG1|1022|IG_C_gene|	1	498	99.799	498	1	0	0	497.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHV3-53	1	412	ENST00000633426.1|ENSG00000282593.1|OTTHUMG00000191026.2|OTTHUMT00000486513.2|IGHV3-53-202|IGHV3-53|571|IG_V_gene|	160	571	98.301	412	7	0	0	405.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHV3-66	1	412	ENST00000632846.1|ENSG00000282045.1|OTTHUMG00000191046.2|OTTHUMT00000486547.2|IGHV3-66-202|IGHV3-66|429|IG_V_gene|	18	429	97.087	412	12	0	0	400.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHV3-66	1	410	ENST00000390632.2|ENSG00000211972.2|OTTHUMG00000151880.2|OTTHUMT00000324225.2|IGHV3-66-201|IGHV3-66|427|IG_V_gene|	18	427	97.073	410	12	0	0	398.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHGP	480	772	ENST00000390555.3|ENSG00000253755.1|OTTHUMG00000152493.1|OTTHUMT00000326458.1|IGHGP-201|IGHGP|1178|IG_C_pseudogene|	2	294	95.904	293	12	0	0	281.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHG3	478	816	ENST00000641136.1|ENSG00000211897.9|OTTHUMG00000152539.2|OTTHUMT00000493677.1|IGHG3-202|IGHG3|2751|IG_C_gene|	1	345	95.942	345	14	0	0	331.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHG1	480	1004	ENST00000631466.1|ENSG00000277633.5|OTTHUMG00000190883.1|OTTHUMT00000486322.1|IGHG1-205|IGHG1|1128|IG_C_gene|	4	528	99.238	525	4	0	0	521.0
NODE_130_length_1004_cov_38.953830_g5_i12	1004	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	+	IGHG1	480	974	ENST00000390542.6|ENSG00000211896.7|OTTHUMG00000152495.2|OTTHUMT00000326505.1|IGHG1-201|IGHG1|1022|IG_C_gene|	4	498	99.192	495	4	0	0	491.0
NODE_134_length_983_cov_3.868026_g119_i0	983	MT-TL1-MT-ND1	-	MT-TL1	923	983	ENST00000386347.1|ENSG00000209082.1|-|-|MT-TL1-201|MT-TL1|75|Mt_tRNA|	75	15	100.000	61	0	0	0	61.0
NODE_134_length_983_cov_3.868026_g119_i0	983	MT-TL1-MT-ND1	-	MT-ND1	1	920	ENST00000361390.2|ENSG00000198888.2|-|-|MT-ND1-201|MT-ND1|956|protein_coding|	920	1	100.000	920	0	0	0	920.0
NODE_138_length_953_cov_109.787140_g123_i0	953	IGKV1-12-IGKV1D-12-IGKC	-	IGKV1-12	566	939	ENST00000632502.1|ENSG00000282694.3|-|-|IGKV1-12-202|IGKV1-12|398|IG_V_gene|	394	21	96.524	374	13	0	0	361.0
NODE_138_length_953_cov_109.787140_g123_i0	953	IGKV1-12-IGKV1D-12-IGKC	-	IGKV1D-12	566	932	ENST00000377032.5|ENSG00000278857.1|OTTHUMG00000188272.2|OTTHUMT00000476804.2|IGKV1D-12-201|IGKV1D-12|371|IG_V_gene|	367	1	95.913	367	15	0	0	352.0
NODE_138_length_953_cov_109.787140_g123_i0	953	IGKV1-12-IGKV1D-12-IGKC	-	IGKC	2	524	ENST00000390237.2|ENSG00000211592.8|OTTHUMG00000151684.1|OTTHUMT00000323482.1|IGKC-201|IGKC|523|IG_C_gene|	523	1	100.000	523	0	0	0	523.0
NODE_139_length_952_cov_86.314095_g123_i1	952	IGKV1-12-IGKV1-16-IGKV1D-16-IGKC	-	IGKV1-12	590	934	ENST00000480492.1|ENSG00000243290.3|OTTHUMG00000151643.2|OTTHUMT00000323392.2|IGKV1-12-201|IGKV1-12|398|IG_V_gene|	370	26	95.072	345	17	0	0	328.0
NODE_139_length_952_cov_86.314095_g123_i1	952	IGKV1-12-IGKV1-16-IGKV1D-16-IGKC	-	IGKV1-16	563	935	ENST00000632011.1|ENSG00000282282.1|-|-|IGKV1-16-202|IGKV1-16|378|IG_V_gene|	377	5	100.000	373	0	0	0	373.0
NODE_139_length_952_cov_86.314095_g123_i1	952	IGKV1-12-IGKV1-16-IGKV1D-16-IGKC	-	IGKV1D-16	563	935	ENST00000492446.1|ENSG00000241244.1|OTTHUMG00000151569.3|OTTHUMT00000323144.3|IGKV1D-16-201|IGKV1D-16|378|IG_V_gene|	377	5	97.587	373	9	0	0	364.0
NODE_139_length_952_cov_86.314095_g123_i1	952	IGKV1-12-IGKV1-16-IGKV1D-16-IGKC	-	IGKC	2	524	ENST00000390237.2|ENSG00000211592.8|OTTHUMG00000151684.1|OTTHUMT00000323482.1|IGKC-201|IGKC|523|IG_C_gene|	523	1	100.000	523	0	0	0	523.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	8	942	ENST00000648006.3|ENSG00000166710.24|OTTHUMG00000131247.4|OTTHUMT00000498664.1|B2M-211|B2M|943|protein_coding|	943	9	100.000	935	0	0	0	935.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	8	776	ENST00000561139.2|ENSG00000166710.24|OTTHUMG00000131247.4|OTTHUMT00000415964.1|B2M-208|B2M|769|nonsense_mediated_decay|	769	1	100.000	769	0	0	0	769.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	8	548	ENST00000623550.1|ENSG00000166710.24|OTTHUMG00000131247.4|OTTHUMT00000415966.1|B2M-210|B2M|2329|retained_intron|	2329	1789	100.000	541	0	0	0	541.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	9	546	ENST00000632449.1|ENSG00000273686.4|OTTHUMG00000191037.1|OTTHUMT00000486535.1|B2M-224|B2M|580|protein_coding_CDS_not_defined|	580	43	99.814	538	1	0	0	537.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	12	853	ENST00000695792.1|ENSG00000166710.24|OTTHUMG00000131247.4|-|B2M-212|B2M|925|protein_coding_CDS_not_defined|	925	84	100.000	842	0	0	0	842.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	86	735	ENST00000349264.10|ENSG00000166710.24|OTTHUMG00000131247.4|OTTHUMT00000415958.1|B2M-201|B2M|732|nonsense_mediated_decay|	732	83	100.000	650	0	0	0	650.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	B2M	449	942	ENST00000561424.5|ENSG00000166710.24|OTTHUMG00000131247.4|OTTHUMT00000415956.1|B2M-209|B2M|604|nonsense_mediated_decay|	510	17	100.000	494	0	0	0	494.0
NODE_142_length_942_cov_72.837262_g126_i0	942	B2M-ENSG00000294961	-	ENSG00000294961	8	494	ENST00000727051.1|ENSG00000294961.1|-|-|ENST00000727051|ENSG00000294961|487|lncRNA|	1	487	100.000	487	0	0	0	487.0
NODE_143_length_942_cov_49.120090_g5_i13	942	IGHJ4-IGHGP-IGHG1	+	IGHJ4	372	415	ENST00000461719.1|ENSG00000240041.1|OTTHUMG00000152454.2|OTTHUMT00000326276.2|IGHJ4-201|IGHJ4|46|IG_J_gene|	3	46	97.727	44	1	0	0	43.0
NODE_143_length_942_cov_49.120090_g5_i13	942	IGHJ4-IGHGP-IGHG1	+	IGHGP	417	710	ENST00000390555.3|ENSG00000253755.1|OTTHUMG00000152493.1|OTTHUMT00000326458.1|IGHGP-201|IGHGP|1178|IG_C_pseudogene|	1	294	95.578	294	13	0	0	281.0
