query_id	query_length	assembly_coverage	query_orientation	gene_chain_5to3	gene_count	combined_gene_coverage	coverage_fraction	gene_intervals
NODE_143_length_942_cov_49.120090_g5_i13	942	49.120	+	IGHJ4-IGHGP-IGHG1	3	571	0.6062	IGHJ4:372-415:44;IGHGP:417-710:294;IGHG1:415-942:528
NODE_147_length_935_cov_86.125566_g123_i2	935	86.126	-	IGKV4-1-IGKC	2	881	0.9422	IGKV4-1:578-935:358;IGKC:2-524:523
NODE_150_length_933_cov_84.719955_g123_i3	933	84.720	-	IGKV3D-11-IGKV3-11-IGKV3-20-IGKV3D-20-IGKC	5	895	0.9593	IGKV3D-11:577-933:357;IGKV3-11:577-933:357;IGKV3-20:562-933:372;IGKV3D-20:562-933:372;IGKC:2-524:523
NODE_153_length_931_cov_107.512500_g123_i4	931	107.513	-	IGKV1-33-IGKV1D-33-IGKC	3	881	0.9463	IGKV1-33:574-931:358;IGKV1D-33:574-931:358;IGKC:2-524:523
NODE_154_length_931_cov_93.387500_g123_i5	931	93.388	-	IGKV1-39-IGKV1D-39-IGKC	3	880	0.9452	IGKV1-39:567-923:357;IGKV1D-39:567-923:357;IGKC:2-524:523
NODE_155_length_930_cov_82.493743_g123_i6	930	82.494	-	IGKV1-39-IGKV1D-39-IGKC	3	872	0.9376	IGKV1-39:582-930:349;IGKV1D-39:582-930:349;IGKC:2-524:523
NODE_165_length_904_cov_5.162954_g143_i0	904	5.163	-	ENSG00000272688-MYL12A-MYL12B	3	904	1.0000	ENSG00000272688:805-904:100;MYL12A:267-904:638;MYL12B:1-796:796
NODE_186_length_860_cov_9.074166_g164_i0	860	9.074	-	IGLV2-8-IGLV2-23-IGLV2-14-IGLC3-IGLC2	5	817	0.9500	IGLV2-8:503-860:358;IGLV2-23:503-860:358;IGLV2-14:494-860:367;IGLC3:1-450:450;IGLC2:1-450:450
NODE_205_length_829_cov_10.407455_g182_i0	829	10.407	-	ENSG00000285625-NACA	2	829	1.0000	ENSG00000285625:782-829:48;NACA:1-829:829
NODE_295_length_687_cov_13.278302_g270_i0	687	13.278	-	CFL1P2-CFL1-RPL29P11-RPL29P26-RPL29P4-RPL29	6	687	1.0000	CFL1P2:639-687:49;CFL1:638-687:50;RPL29P11:119-622:504;RPL29P26:119-595:477;RPL29P4:116-595:480;RPL29:1-642:642
NODE_366_length_615_cov_16.225177_g341_i0	615	16.225	-	RPS10-NUDT3-RPS10P3-RPS10P13-ENSG00000244313-RPS10-UBE2Q1	6	614	0.9984	RPS10-NUDT3:133-615:483;RPS10P3:94-588:495;RPS10P13:91-588:498;ENSG00000244313:91-588:498;RPS10:58-615:558;UBE2Q1:1-56:56
NODE_411_length_574_cov_7.279159_g164_i1	574	7.279	-	IGLV2-8-IGLV2-23-IGLV2-14-IGLL5-IGLC1	5	567	0.9878	IGLV2-8:217-574:358;IGLV2-23:217-574:358;IGLV2-14:207-574:368;IGLL5:1-199:199;IGLC1:1-161:161
NODE_479_length_530_cov_2.647182_g452_i0	530	2.647	-	TYMS-ENOSF1	2	530	1.0000	TYMS:1-530:530;ENOSF1:1-387:387
NODE_536_length_499_cov_2.323661_g509_i0	499	2.324	+	PGM2-ISCU	2	496	0.9940	PGM2:1-51:51;ISCU:55-499:445
NODE_578_length_479_cov_3.175234_g551_i0	479	3.175	+	MT-ND6-MT-ND5	2	479	1.0000	MT-ND6:1-270:270;MT-ND5:271-479:209
NODE_742_length_426_cov_2.101333_g715_i0	426	2.101	+	ANP32A-ENSG00000293367-ANP32AP1-BASP1	4	424	0.9953	ANP32A:1-384:384;ENSG00000293367:1-384:384;ANP32AP1:1-384:384;BASP1:387-426:40
NODE_902_length_388_cov_3.454006_g875_i0	388	3.454	-	HSPE1-MOB4-HSPE1-HSPE1P2-HSPE1P8-HSPE1P3-HSPE1P6-HSPE1P7-HSPE1P5-HSPE1P4	9	388	1.0000	HSPE1-MOB4:154-346:193;HSPE1:1-388:388;HSPE1P2:4-322:319;HSPE1P8:6-105:100;HSPE1P3:1-105:105;HSPE1P6:1-105:105;HSPE1P7:1-105:105;HSPE1P5:1-104:104;HSPE1P4:1-102:102
NODE_1048_length_360_cov_2.245955_g1021_i0	360	2.246	-	UBE2D3-UBE2D2	2	360	1.0000	UBE2D3:279-360:82;UBE2D2:1-360:360
NODE_1062_length_358_cov_2.586319_g1035_i0	358	2.586	+	MT-TE-MT-ND6	2	330	0.9218	MT-TE:29-97:69;MT-ND6:98-358:261
NODE_1128_length_348_cov_4.818182_g1101_i0	348	4.818	-	PRRC2A-CALR-ENSG00000267458	3	348	1.0000	PRRC2A:290-348:59;CALR:1-295:295;ENSG00000267458:1-108:108
NODE_1241_length_331_cov_1.925000_g1214_i0	331	1.925	+	SUMO2P21-SUMO2-CORO1C	3	331	1.0000	SUMO2P21:1-51:51;SUMO2:1-51:51;CORO1C:42-331:290
NODE_1326_length_321_cov_1.692593_g1299_i0	321	1.693	-	CCND2-AS1-ENSG00000285901-CCND2	3	321	1.0000	CCND2-AS1:17-321:212;ENSG00000285901:1-321:317;CCND2:1-321:317
NODE_1419_length_312_cov_2.885057_g1392_i0	312	2.885	+	ENSG00000288663-PFDN5	2	312	1.0000	ENSG00000288663:1-312:312;PFDN5:1-312:312
NODE_1867_length_281_cov_1.795652_g1840_i0	281	1.796	-	CAPZA1-CAPZA1P2-BAZ2B-CTSC	4	281	1.0000	CAPZA1:45-281:237;CAPZA1P2:45-281:237;BAZ2B:45-281:237;CTSC:1-51:51
NODE_1951_length_276_cov_1.564444_g1924_i0	276	1.564	+	TRAJ12-TRAC	2	243	0.8804	TRAJ12:34-93:60;TRAC:94-276:183
NODE_2013_length_273_cov_3.563063_g1986_i0	273	3.563	+	YWHAE-YWHAEP5-ENSG00000298294	3	273	1.0000	YWHAE:1-273:273;YWHAEP5:46-273:228;ENSG00000298294:60-262:203
NODE_2459_length_254_cov_1.847291_g2432_i0	254	1.847	-	RBBP4P1-RBBP4	2	254	1.0000	RBBP4P1:43-254:212;RBBP4:1-254:254
NODE_2995_length_234_cov_1.732240_g2968_i0	234	1.732	-	GABARAP-ENSG00000262526	2	234	1.0000	GABARAP:1-234:234;ENSG00000262526:1-130:130
NODE_4177_length_209_cov_0.911392_g4150_i0	209	0.911	+	ENSG00000296790-NAMA	2	209	1.0000	ENSG00000296790:1-209:209;NAMA:84-209:126
NODE_4508_length_203_cov_1.052632_g4481_i0	203	1.053	-	ADD1-FTH1-ENSG00000303745	3	196	0.9655	ADD1:54-203:150;FTH1:1-46:46;ENSG00000303745:1-46:46
NODE_4708_length_200_cov_0.785235_g4681_i0	200	0.785	-	ENSG00000206567-TTPAL-ENSG00000287264-ENSG00000287085-NLN-CNN2-RN7SL693P-RNF41-TFB1M-ENSG00000267248-TTC3-ODAD3-CCDC88A-KCNMB1-CASC15	15	197	0.9850	ENSG00000206567:118-193:76;TTPAL:109-197:89;ENSG00000287264:100-154:55;ENSG00000287085:78-149:72;NLN:51-150:100;CNN2:51-149:99;RN7SL693P:53-142:90;RNF41:51-127:77;TFB1M:24-130:107;ENSG00000267248:17-66:50;TTC3:1-73:73;ODAD3:8-65:58;CCDC88A:5-65:61;KCNMB1:1-65:65;CASC15:1-49:49
NODE_5478_length_189_cov_0.818841_g5451_i0	189	0.819	+	PCBP1-AS1-MATR3-ENSG00000280023	3	83	0.4392	PCBP1-AS1:58-140:83;MATR3:91-140:50;ENSG00000280023:99-140:42
NODE_5548_length_188_cov_0.927007_g5521_i0	188	0.927	+	ITGB3BP-GNRHR2	2	188	1.0000	ITGB3BP:1-102:102;GNRHR2:84-188:105
NODE_5764_length_185_cov_1.052239_g5737_i0	185	1.052	-	MCM5-ELMO1	2	185	1.0000	MCM5:130-185:56;ELMO1:1-140:140
NODE_6197_length_180_cov_0.790698_g6170_i0	180	0.791	-	AGO3-FTX-CFAP298-ENSG00000287335-ENSG00000307875-PRRG4-ENSG00000280064-SLC5A5-RAB11FIP1-ENSG00000225559-XPO1-TSEN2-ENSG00000273230-LINC01970-ENSG00000301705-TRIM22	16	150	0.8333	AGO3:133-180:48;FTX:133-180:48;CFAP298:133-180:48;ENSG00000287335:133-180:48;ENSG00000307875:133-180:48;PRRG4:133-180:48;ENSG00000280064:133-180:48;SLC5A5:133-180:48;RAB11FIP1:133-180:48;ENSG00000225559:133-180:48;XPO1:133-180:48;TSEN2:133-174:42;ENSG00000273230:119-180:62;LINC01970:115-180:66;ENSG00000301705:35-90:56;TRIM22:20-103:84
NODE_6464_length_178_cov_0.881890_g6437_i0	178	0.882	+	CFLAR-ENSG00000293166-ENSG00000213970-RPS15P5-RPS15P4-RPS15	6	174	0.9775	CFLAR:1-126:126;ENSG00000293166:131-173:43;ENSG00000213970:131-173:43;RPS15P5:131-174:44;RPS15P4:131-178:48;RPS15:131-178:48
NODE_6571_length_177_cov_1.777778_g6544_i0	177	1.778	-	ATP6V1C1-LRP10	2	177	1.0000	ATP6V1C1:120-177:58;LRP10:1-129:129
