Supplementary Table 3. Associations observed at p<5x10-8 and variant features.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
15	Blue.585.42.TBNK.trait3	CD16-CD56 on HLA DR+ NK	3	31860	0.0028	1:161506889,1:161536758,1:161643072
15	f_DC_Trait502	Myeloid DC AC	4	28950	0.0061	1:161460211,1:161508763,1:161526397
15	f_DC_Trait503	Myeloid DC %DC	2	14	0.29	1:161494322,1:161526397
15	f_DC_Trait505	DC AC	2	63	0.13	1:161508617,1:161515326
15	f_DC_Trait508	CD62L- DC AC	5	32303	0.013	1:161410536,1:161508763,1:161513377,1:161515326,1:161563554
15	f_DC_Trait509	CD62L- DC %DC	4	14174	0.067	1:161508763,1:161520931,1:161563554,1:161675517
15	f_DC_Trait512	CD86+ myeloid DC AC	4	18298	0.0027	1:161494322,1:161508763,1:161525613,1:161526397
15	f_DC_Trait513	CD86+ myeloid DC %DC	3	8483	0.004	1:161494322,1:161514542,1:161526397
15	f_DC_Trait515	CD86+ plasmacytoid DC %DC	2	1238	0.02	1:161507448
15	f_DC_Trait516	CD62L- myeloid DC AC	5	26530	0.0085	1:161408556,1:161508763,1:161513377,1:161536758,1:161563554
15	f_DC_Trait517	CD62L- myeloid DC %DC	6	30228	0.015	1:161408556,1:161508617,1:161513377,1:161520931,1:161563554,1:161675517
15	f_DC_Trait519	CD62L- plasmacytoid DC %DC	1	6	0.31	1:161510434
15	f_DC_Trait520	CD62L- CD86+ myeloid DC AC	5	28254	0.002	1:161470042,1:161508617,1:161526397,1:161559032,1:161563554
15	f_DC_Trait521	CD62L- CD86+ myeloid DC %DC	5	22884	0.0041	1:161508617,1:161526397,1:161559032,1:161563554,1:161675517
15	f_DC_Trait522	Plasmacytoid DC %DC	2	14	0.38	1:161494322,1:161520931
15	FSC.cDC.trait2	FSC-A on myeloid DC	2	2108	0.043	1:161515326
15	FSC.TBNK.trait12	FSC-A on HLA DR+ NK	3	5074	0.04	1:161494322,1:161507924,1:161526397
15	MDSC_Trait25	CD33dim HLA DR+ CD11b+ AC	2	795	0.21	1:161479745
15	MDSC_Trait26	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	2	56	0.11	1:161479745
15	MDSC_Trait28	CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	2	79	0.15	1:161479745
15	mono.trait10	CD40 on CD14+ CD16- monocyte	2	130	0.25	1:161479745
15	mono.trait11	CD40 on CD14+ CD16+ monocyte	3	647	0.11	1:161479745,1:161500130,1:161653554
15	mono.trait12	CCR2 on CD14- CD16+ monocyte	1	3	0.58	1:161528012
15	mono.trait17	CD40 on monocytes	1	1	1	1:161479745
15	mono.trait1	CD16 on CD14- CD16+ monocyte	7	7755	0.045	1:161386494,1:161478810,1:161508763,1:161512873,1:161526397,1:161531340,1:161564093
15	mono.trait2	CD64 on CD14+ CD16- monocyte	2	2	0.51	1:161479745,1:161699919
15	mono.trait22	CD40 on CD14- CD16+ monocyte	4	20	0.36	1:161479745,1:161507924,1:161528012,1:161688090
15	mono.trait24	CD64 on CD14- CD16+ monocyte	2	37	0.1	1:161479745,1:161528012
15	mono.trait28	CCR2 on CD14+ CD16+ monocyte	3	526	0.081	1:161442861,1:161479745,1:161528012
15	mono.trait3	CX3CR1 on CD14- CD16-	3	1538	0.055	1:161478751,1:161479745,1:161510516
15	mono.trait33	CX3CR1 on monocyte	2	194	0.24	1:161479745
15	mono.trait35	CX3CR1 on CD14+ CD16+ monocyte	1	1	1	1:161479745
15	mono.trait36	CX3CR1 on CD14+ CD16- monocyte	1	1	0.99	1:161479745
15	mono.trait43	PDL-1 on monocyte	2	49	0.089	1:161479745,1:161492667
15	mono.trait4	PDL-1 on CD14- CD16+ monocyte	4	1299	0.041	1:161479745,1:161488943,1:161500130,1:161540857
15	mono.trait47	CD16 on CD14+ CD16+ monocyte	4	2980	0.023	1:161494322,1:161523674,1:161524789,1:161526397
15	mono.trait48	CD64 on monocyte	2	2	0.5	1:161479745,1:161699919
15	mono.trait50	HLA DR on CD14+ CD16+ monocyte	2	787	0.14	1:161528012
15	mono.trait6	CD64 on CD14+ CD16+ monocyte	2	2	0.5	1:161294274,1:161479745
15	mono.trait7	CX3CR1 on CD14- CD16+ monocyte	3	842	0.074	1:161247444,1:161478810,1:161502849
15	N_MONO_Trait501	CD14- CD16+ monocyte AC	2	270	0.15	1:161528012
15	N_MONO_Trait503	CD14+ CD16+ monocyte AC	3	28	0.15	1:161477028,1:161526397,1:161531340
15	N_MONO_Trait505	CD14- CD16- AC	1	3	0.83	1:161510516
15	N_MONO_Trait514	CD14- CD16+ monocyte %monocyte	2	134	0.074	1:161528012
15	N_MONO_Trait515	CD14+ CD16+ monocyte %monocyte	5	18249	0.0075	1:161470505,1:161521080,1:161526397,1:161528012,1:161744142
15	N_MONO_Trait516	CD14+ CD16- monocyte %monocyte	2	18	0.26	1:161521080,1:161528012
15	N_MONO_Trait517	CD16+ monocyte %monocyte	2	17	0.21	1:161521080,1:161528012
15	Red.660.20.cDC.trait1	CCR2 on myeloid DC	4	3422	0.082	1:161494322,1:161515326,1:161568886,1:161607355
15	Red.660.20.cDC.trait2	CCR2 on CD62L+ myeloid DC	3	24423	0.0073	1:161388960,1:161589982,1:161619363
15	Red.660.20.cDC.trait5	CCR2 on monocyte	3	19373	0.011	1:161479745,1:161623025
15	Red.660.20.MDSC.trait4	CD14  on CD33dim HLA DR+ CD11b+	1	3	0.55	1:161479745
15	Red.780.60.cDC.trait1	CD80 on myeloid DC	2	2012	0.061	1:161526397
15	SSC.TBNK.trait12	SSC-A on HLA DR+ NK	2	3	0.45	1:161494322,1:161526397
15	TB_Trait569	HLA DR+ NK AC	2	11	0.21	1:161514542,1:161533055
15	TB_Trait570	HLA DR+ NK %NK	2	9	0.32	1:161508617,1:161536758
15	TB_Trait571	HLA DR+ NK  %CD3- lymphocyte	2	9	0.22	1:161508617,1:161526397
15	Violet.450.50.cDC.trait3	CD11c on monocyte	1	2	0.94	1:161479745
15	Violet.450.50.cDC.trait4	CD11c on granulocyte	2	304	0.07	1:161479745
15	Violet.450.50.MDSC.trait1	CD11b on CD14+ monocyte	1	1	1	1:161479745
15	Violet.450.50.MDSC.trait3	CD11b on Mo MDSC	1	1	0.95	1:161479745
15	Violet.450.50.MDSC.trait9	CD11b on CD33br HLA DR+ CD14dim	1	2	0.87	1:161479745
15	Violet.510.50.cDC.trait2	HLA DR on myeloid DC	1	2	0.93	1:161515326
15	Violet.510.50.cDC.trait4	HLA DR on DC	1	3	0.77	1:161515326
15	Violet.510.50.TBNK.trait6	HLA DR on HLA DR+ NK	2	12	0.32	1:161514542,1:161520931
16	Blue.530.30.MT.trait10	CD3 on naive CD8br	6	233	0.12	1:167405064,1:167406511,1:167406513,1:167413475,1:167413486,1:167431193
16	Blue.530.30.MT.trait11	CD3 on EM CD8br	7	15015	0.0049	1:167401811,1:167405064,1:167407517,1:167413486,1:167430240,1:167433420,1:167487999
16	Blue.530.30.MT.trait12	CD3 on TD CD8br	4	24474	0.017	1:167405064,1:167405132,1:167430240,1:167457824
16	Blue.530.30.MT.trait3	CD3 on CM CD4+	5	24296	0.012	1:167405064,1:167413475,1:167424924,1:167457824,1:167475871
16	Blue.530.30.MT.trait4	CD3 on Naive CD4+	6	5449	0.038	1:167404078,1:167405064,1:167413486,1:167424924,1:167427062,1:167430240
16	Blue.530.30.MT.trait5	CD3 on EM CD4+	5	27536	0.0043	1:167413475,1:167431193,1:167476446,1:167483306,1:167532878
16	Blue.530.30.MT.trait6	CD3 on TD CD4+	2	1879	0.019	1:167376713,1:167433420
16	Blue.530.30.MT.trait7	CD3 on CD45RA- CD4+	5	18436	0.0025	1:167405064,1:167406513,1:167413475,1:167424924,1:167530334
16	Blue.530.30.MT.trait9	CD3 on CM CD8br	6	21123	0.004	1:167408874,1:167413475,1:167413486,1:167430240,1:167433420,1:167461391
16	Blue.530.30.TBNK.trait4	CD3 on HLA DR+ T cell	3	561	0.012	1:167403844,1:167433420,1:167487880
16	Blue.530.30.TBNK.trait6	CD3 on HLA DR+ CD4+	3	918	0.0096	1:167403844,1:167431193,1:167483306
16	Blue.530.30.TBNK.trait7	CD3 on HLA DR+ CD8br	4	15117	0.0071	1:167401811,1:167403844,1:167432949,1:167479646
16	Blue.530.30.Treg.trait10	CD3 on CD39+ resting Treg	3	8018	0.031	1:167430240,1:167433420,1:167500815
16	Blue.530.30.Treg.trait11	CD3 on activated Treg	5	1156	0.086	1:167405064,1:167413475,1:167424924,1:167483306,1:167497574
16	Blue.530.30.Treg.trait12	CD3 on CD39+ activated Treg	4	1467	0.099	1:167405064,1:167408460,1:167424924,1:167499290
16	Blue.530.30.Treg.trait13	CD3 on secreting Treg	7	22747	0.014	1:167405064,1:167413475,1:167413486,1:167424924,1:167430240,1:167477937,1:167483306
16	Blue.530.30.Treg.trait14	CD3 on CD39+ secreting Treg	4	8325	0.016	1:167405064,1:167424924,1:167483306,1:167497574
16	Blue.530.30.Treg.trait15	CD3 on activated & secreting Treg	6	13959	0.015	1:167405064,1:167413475,1:167424924,1:167430240,1:167483306,1:167497574
16	Blue.530.30.Treg.trait17	CD3 on CD45RA+ CD4+	7	8392	0.0097	1:167405064,1:167406513,1:167413486,1:167424924,1:167427062,1:167430240,1:167443679
16	Blue.530.30.Treg.trait21	CD3 on CD39+ CD4+	5	4801	0.051	1:167405064,1:167413475,1:167424924,1:167483306,1:167497574
16	Blue.530.30.Treg.trait22	CD3 on CD28+ CD4+	5	28175	0.0022	1:167262241,1:167405064,1:167406513,1:167413486,1:167431352
16	Blue.530.30.Treg.trait2	CD3 on CD8br	7	21948	0.0019	1:167400074,1:167401811,1:167405064,1:167425929,1:167430240,1:167433420,1:167461873
16	Blue.530.30.Treg.trait3	CD3 on CD28+ CD45RA- CD8br	7	9434	0.0038	1:167405064,1:167406513,1:167413475,1:167413486,1:167430240,1:167433420,1:167479646
16	Blue.530.30.Treg.trait4	CD3 on CD28+ CD45RA+ CD8br	6	394	0.041	1:167405064,1:167406511,1:167406513,1:167413475,1:167413486,1:167431193
16	Blue.530.30.Treg.trait5	CD3 on CD28- CD8br	4	1714	0.01	1:167405064,1:167405685,1:167420299,1:167430240
16	Blue.530.30.Treg.trait6	CD3 on CD39+ CD8br	5	22994	0.0025	1:167399761,1:167405064,1:167413475,1:167425929,1:167433420
16	Blue.530.30.Treg.trait7	CD3 on CD4+	5	31472	0.0021	1:167262241,1:167405064,1:167406513,1:167413486,1:167431352
16	Blue.530.30.Treg.trait8	CD3 on CD4 Treg	6	2972	0.05	1:167405064,1:167413475,1:167413486,1:167424924,1:167430240,1:167483306
16	Blue.530.30.Treg.trait9	CD3 on resting Treg	6	272	0.1	1:167405064,1:167413475,1:167413486,1:167427170,1:167430240,1:167451602
17	Blue.530.30.cDC.trait1	CD62L on CD62L+ myeloid DC	2	89	0.021	1:169666987,1:169727940
17	Blue.530.30.cDC.trait2	CD62L on CD62L+ plasmacytoid DC	3	8401	0.012	1:169572947,1:169665551
17	Blue.530.30.cDC.trait4	CD62L on monocyte	5	8562	0.0024	1:169577333,1:169662978,1:169685445,1:169708386,1:169722881
17	DC_Trait526	CD62L- monocyte AC	3	24608	0.0043	1:169662742,1:169701466
17	DC_Trait527	CD62L- monocyte %monocyte	5	12202	0.00097	1:169577333,1:169664867,1:169685445,1:169719837,1:169728137
19	f_Treg_Trait503	Resting Treg AC	2	348	0.069	1:198283108,1:198514637
19	f_Treg_Trait504	Resting Treg % CD4 Treg	2	177	0.2	1:198665917
19	f_Treg_Trait528	Activated & secreting Treg %CD4 Treg	2	167	0.2	1:198665917
20	f_Treg_Trait504	Resting Treg % CD4 Treg	2	72	0.084	1:203497175,1:203738566
20	f_Treg_Trait516	Secreting Treg % CD4 Treg	2	51	0.12	1:203517210,1:203738566
20	f_Treg_Trait522	Activated & resting Treg % CD4 Treg	2	43	0.12	1:203517210,1:203738566
20	f_Treg_Trait528	Activated & secreting Treg %CD4 Treg	2	69	0.11	1:203497175,1:203738566
23	Bcells.trait283	CD19 on CD24+ CD27+	2	259	0.011	1:207401680,1:207639979
23	Bcells.trait308	CD19 on IgD+ CD24+	2	304	0.011	1:207438606,1:207639979
23	Bcells.trait309	CD19 on IgD+ CD24-	2	353	0.014	1:207390204,1:207639979
23	Bcells.trait313	CD19 on IgD+ CD38br	2	1129	0.15	1:207639979
23	Bcells.trait314	CD19 on IgD+ CD38dim	2	263	0.0087	1:207395031,1:207516378
23	Bcells.trait322	CD19 on IgD- CD38dim	2	669	0.093	1:207639979,1:207670065
23	Bcells.trait325	CD19 on memory B cell	2	283	0.0078	1:207438606,1:207639979
23	Bcells.trait327	CD19 on naive-mature B cell	2	336	0.0099	1:207390204,1:207639979
23	Bcells.trait328	CD19 on unsw mem	2	271	0.015	1:207438606,1:207639979
23	Bcells.trait331	CD19 on sw mem	2	547	0.079	1:207639979,1:207670065
23	Bcells.trait332	CD19 on IgD+	2	377	0.0074	1:207395031,1:207639979
23	Bcells.trait333	CD19 on transitional	2	822	0.062	1:207639979
23	Blue.585.42.MDSC.trait1	CD34 on HSC	2	488	0.13	1:208092187
27	f_Treg_Trait503	Resting Treg AC	3	1733	0.03	2:38793169,2:38910595,2:38912856
27	f_Treg_Trait504	Resting Treg % CD4 Treg	3	76	0.35	2:38793169,2:38910595,2:38912850
27	f_Treg_Trait505	Resting Treg %CD4	3	68	0.29	2:38793169,2:38910595,2:38912850
27	f_Treg_Trait506	CD39+ resting Treg AC	3	34768	0.007	2:38897249,2:38900569
27	f_Treg_Trait508	CD39+ resting Treg % CD4 Treg	3	28141	0.0051	2:38897249,2:38900569
27	f_Treg_Trait516	Secreting Treg % CD4 Treg	3	98	0.16	2:38792045,2:38910595,2:38912856
27	f_Treg_Trait522	Activated & resting Treg % CD4 Treg	3	97	0.16	2:38792045,2:38910595,2:38912856
27	f_Treg_Trait523	Activated & resting Treg %CD4+	3	4984	0.042	2:38731312,2:38793169,2:38899080
27	f_Treg_Trait528	Activated & secreting Treg %CD4 Treg	3	71	0.39	2:38793169,2:38910595,2:38912850
27	f_Treg_Trait536	CD25hi CD45RA+ CD4 not Treg AC	3	8764	0.034	2:38792045,2:38910595,2:38912856
27	f_Treg_Trait537	CD25hi CD45RA+ CD4 not Treg %CD4+	3	304	0.17	2:38792045,2:38910595,2:38912856
27	f_Treg_Trait538	CD25hi CD45RA+ CD4 not Treg %T cell	3	7657	0.061	2:38792045,2:38910595,2:38912856
27	MT_ry_Trait515	CD45RA- CD4+ %CD4+	3	25042	0.011	2:38793169,2:38901790
27	MT_Trait512	TD CD4+ %CD4+	2	15442	0.013	2:38895920
27	MT_Trait513	TD CD4+ %T cell	2	15682	0.01	2:38895920
27	MT_Trait529	EM CD8br %CD8br	2	97	0.089	2:38897810,2:38925155
27	MT_Trait530	EM CD8br %T cell	1	2628	0.064	2:38887964
27	MT_Trait531	TD CD8br AC	3	10421	0.036	2:38745840,2:38892207,2:38925155
27	MT_Trait532	TD  CD8br %CD8br	4	14181	0.0099	2:38745840,2:38842525,2:38897074,2:38921934
27	MT_Trait533	TD CD8br %T cell	4	23380	0.0064	2:38745840,2:38842525,2:38885324,2:38921934
27	MT_Trait537	CD45RA+ CD8br AC	2	914	0.15	2:38925155
27	MT_Trait538	CD45RA+ CD8br  %CD8br	2	88	0.16	2:38897810,2:38925155
27	MT_Trait539	CD45RA+ CD8br %T cell	2	265	0.041	2:38897810,2:38925155
27	MT_Trait549	EM DN (CD4-CD8-) %DN	2	2229	0.028	2:38899080,2:38920621
27	MT_Trait551	TD DN (CD4-CD8-) AC	2	1566	0.05	2:38920621
27	MT_Trait552	TD DN (CD4-CD8-) %DN	2	903	0.028	2:38899080,2:38920621
27	MT_Trait553	TD DN (CD4-CD8-) %T cell	2	966	0.026	2:38892836,2:38921934
27	Treg_Trait577	CD28+ CD45RA+ CD8dim %T cell	3	24193	0.0053	2:38821513,2:38921934,2:38937018
27	Treg_Trait578	CD28+ CD45RA+ CD8dim %CD8dim	2	1277	0.024	2:38891387,2:38921934
27	Treg_Trait579	CD28+ CD45RA+ CD8dim AC	3	27922	0.0055	2:38874920,2:38894870,2:38921934
27	Violet.450.50.MT.trait1	CD45RA on naive CD4+	6	6211	0.011	2:38793169,2:38859924,2:38899155,2:38910835,2:38925610,2:38927643
27	Violet.450.50.MT.trait2	CD4RA on TD CD4+	3	886	0.034	2:38793169,2:38926918,2:39003961
27	Violet.450.50.MT.trait3	CD45RA on naive CD8br	4	27940	0.018	2:38793169,2:38895956,2:38927643,2:38989443
27	Violet.450.50.MT.trait4	CD45RA on TD CD8br	3	31328	0.0028	2:38821513,2:38921934
27	Violet.450.50.Treg.trait2	CD45RA on resting Treg	3	184	0.15	2:38793169,2:38911037,2:38912850
31	Red.780.60.MT.trait2	CD8 on CM CD8br	2	47	0.058	2:87016506,2:87074650
31	Red.780.60.MT.trait3	CD8 on naive CD8br	3	10447	0.0096	2:87009488,2:87016506,2:87084108
31	Red.780.60.MT.trait4	CD8 on EM CD8br	3	10350	0.025	2:86912104,2:87016506,2:87067354
31	Red.780.60.TBNK.trait1	CD8 on  CD8br	3	3151	0.014	2:87016506,2:87066850,2:87111487
31	Red.780.60.TBNK.trait2	CD8 on NKT	1	30	0.066	2:87022759
31	Red.780.60.TBNK.trait3	CD8 on HLA DR+ CD8br	3	28762	0.0024	2:87009488,2:87012706,2:87084916
31	TB_ry_Trait527	DN (CD4-CD8-) AC	2	9009	0.015	2:87035076
31	TB_ry_Trait528	DN (CD4-CD8-) %T cell	1	25	0.088	2:87019683
31	TB_Trait521	CD4+ CD8dim AC	2	347	0.048	2:87018452,2:87019779
31	TB_Trait522	CD4+ CD8dim %lymphocyte	2	377	0.046	2:87018452,2:87019779
31	TB_Trait523	CD4+ CD8dim %leukocyte	2	378	0.043	2:87018452,2:87019779
31	TB_Trait529	DN (CD4-CD8-) %leukocyte	1	26	0.077	2:87019683
31	TB_Trait554	DN (CD4-CD8-) NKT AC	2	7102	0.017	2:87022759
31	TB_Trait555	DN (CD4-CD8-) NKT %T cell	1	26	0.07	2:87019683
31	TB_Trait556	DN (CD4-CD8-) NKT %lymphocyte	1	26	0.066	2:87019683
31	Violet.510.50.Treg.trait2	CD8 on CD28+ CD45RA- CD8br	5	37199	0.0091	2:86972430,2:87009488,2:87030548,2:87120030
31	Violet.510.50.Treg.trait3	CD8 on CD28+ CD45RA+ CD8br	6	2999	0.091	2:86807856,2:86888371,2:87014203,2:87055969,2:87062483,2:87082679
31	Violet.510.50.Treg.trait4	CD8 on CD28- CD8br	3	1374	0.045	2:86972430,2:87003972,2:87056805
31	Violet.510.50.Treg.trait5	CD8 on CD39+ CD8br	3	24212	0.011	2:87016506,2:87034294,2:87082679
39	f_DC_Trait504	Plasmacytoid DC AC	1	23	0.073	2:136580287
40	MDSC_Trait1	HSC AC	3	13210	0.0052	2:136884679,2:137034783
44	FSC.cDC.trait2	FSC-A on myeloid DC	1	9	0.25	2:203485086
44	SSC.cDC.trait2	SSC-A on myeloid DC	2	1511	0.019	2:203373060,2:203547816
45	Blue.585.42.Treg.trait10	CD28 on CD39+ activated Treg	2	948	0.0099	2:204589281,2:204606774
45	Blue.585.42.Treg.trait11	CD28 on secreting Treg	2	2174	0.0025	2:204609402,2:204648765
45	Blue.585.42.Treg.trait12	CD28 on CD39+ secreting Treg	2	5365	0.022	2:204615888
45	Blue.585.42.Treg.trait13	CD28 on activated & secreting Treg	2	2522	0.0022	2:204589281,2:204596729
45	Blue.585.42.Treg.trait15	CD28 on CD45RA+ CD4+	2	1303	0.013	2:204572057,2:204623481
45	Blue.585.42.Treg.trait18	CD28 on CD45RA- CD4 not Treg	2	996	0.006	2:204571909,2:204596729
45	Blue.585.42.Treg.trait19	CD28 on CD39+ CD4+	2	2222	0.0082	2:204589281,2:204652264
45	Blue.585.42.Treg.trait20	CD28 on CD28+ CD4+	2	839	0.014	2:204623481,2:204631016
45	Blue.585.42.Treg.trait21	CD28 on CD28+ DN (CD4-CD8-)	2	491	0.0068	2:204592344,2:204627500
45	Blue.585.42.Treg.trait2	CD28 on CD28+ CD45RA- CD8br	2	510	0.026	2:204573392,2:204631712
45	Blue.585.42.Treg.trait4	CD28 on CD39+ CD8br	2	3035	0.01	2:204589281
45	Blue.585.42.Treg.trait5	CD28 on CD4+	2	1409	0.0045	2:204623481,2:204643999
45	Blue.585.42.Treg.trait6	CD28 on CD4 Treg	2	2383	0.0021	2:204589281,2:204623481
45	Blue.585.42.Treg.trait7	CD28 on resting Treg	3	34335	0.0017	2:204623481,2:204643999,2:204819225
45	Blue.585.42.Treg.trait9	CD28 on activated Treg	2	2874	0.0019	2:204590008,2:204609402
48	Blue.670.LP.TBNK.trait11	CD45 on NK	2	4075	0.024	2:232290157,2:232446772
48	Red.780.60.MDSC.trait14	CD45 on CD33- HLA DR-	1	10	0.12	2:232290640
52	Bcells.trait537	CD27 on CD24+ CD27+	2	31	0.11	3:32533246,3:32542045
52	Bcells.trait561	CD27 on IgD+ CD24+	2	31	0.36	3:32533246,3:32547447
52	Bcells.trait565	CD27 on IgD- CD38-	2	75	0.093	3:32533246,3:32541553
52	Bcells.trait567	CD27 on IgD- CD38dim	2	23	0.19	3:32533246,3:32541553
52	Bcells.trait570	CD27 on memory B cell	2	37	0.21	3:32533246,3:32547447
52	Bcells.trait571	CD27 on unsw mem	3	7030	0.023	3:32533246,3:32547444
52	Bcells.trait574	CD27 on sw mem	2	25	0.16	3:32514647,3:32533246
56	Bcells.trait537	CD27 on CD24+ CD27+	3	3669	0.027	3:35974621,3:35989693,3:36004719
57	mono.trait33	CX3CR1 on monocyte	4	71	0.14	3:39293757,3:39297238,3:39302659,3:39323163
57	mono.trait35	CX3CR1 on CD14+ CD16+ monocyte	3	2175	0.072	3:39293757,3:39297238
57	mono.trait36	CX3CR1 on CD14+ CD16- monocyte	5	3706	0.12	3:39239651,3:39293757,3:39297238,3:39302659,3:39323163
57	mono.trait7	CX3CR1 on CD14- CD16+ monocyte	4	39315	0.0023	3:39101422,3:39281112,3:39297238,3:39305304
61	Blue.530.30.Treg.trait17	CD3 on CD45RA+ CD4+	2	4724	0.046	3:45947066
62	mono.trait44	CCR2 on CD14- CD16-	2	24199	0.007	3:46402627
62	mono.trait46	CCR2 on CD14+ CD16- monocyte	4	26782	0.045	3:46090600,3:46258902,3:46342635,3:46354492
62	mono.trait52	CCR2 on monocyte	4	36996	0.0032	3:46090600,3:46258902,3:46354492
62	Red.660.20.cDC.trait1	CCR2 on myeloid DC	2	8818	0.0023	3:46310921,3:46368901
62	Red.660.20.cDC.trait2	CCR2 on CD62L+ myeloid DC	2	3732	0.01	3:46279951,3:46368901
62	Red.660.20.cDC.trait3	CCR2 on plasmacytoid DC	3	9843	0.016	3:46391390,3:46527223,3:46627622
62	Red.660.20.cDC.trait4	CCR2 on CD62L+ plasmacytoid DC	3	9771	0.015	3:46394419,3:46527223,3:46627622
62	Red.660.20.cDC.trait5	CCR2 on monocyte	5	41939	0.0018	3:46092347,3:46264618,3:46354492,3:46354619,3:46364860
64	Red.780.60.cDC.trait1	CD80 on myeloid DC	2	15929	0.0083	3:52528292
64	Red.780.60.cDC.trait2	CD80 on CD62L+ myeloid DC	2	74	0.026	3:52503800,3:52532291
64	Red.780.60.cDC.trait5	CD80 on monocyte	3	1558	0.014	3:52529266,3:52552521,3:52769153
71	mono.trait16	HLA DR on CD14- CD16+ monocyte	2	1249	0.17	3:188133439
74	Bcells.trait637	CD38 on IgD+ CD24-	3	11002	0.019	4:15776181,4:15836695
74	Bcells.trait640	CD38 on IgD+ CD38br	2	249	0.071	4:15836695
74	Bcells.trait641	CD38 on IgD+ CD38dim	3	12301	0.027	4:15776181,4:15836695
74	Bcells.trait644	CD38 on IgD- CD38dim	3	16966	0.0055	4:15811276,4:15836695,4:16015816
74	Bcells.trait646	CD38 on naive-mature B cell	3	6241	0.041	4:15833532,4:15836695
74	Bcells.trait649	CD38 on IgD+	2	677	0.12	4:15836695
74	Bcells.trait650	CD38 on transitional	2	61	0.11	4:15836695,4:15910047
79	Blue.780.60.cDC.trait1	CD123 on plasmacytoid DC	2	8975	0.025	4:84161920
79	Blue.780.60.cDC.trait2	CD123 on CD62L+ plasmacytoid DC	2	9012	0.027	4:84161920
79	f_DC_Trait518	CD62L- plasmacytoid DC AC	2	3176	0.047	4:84161920,4:84372449
79	f_DC_Trait519	CD62L- plasmacytoid DC %DC	2	1317	0.11	4:84031695,4:84151427
79	Red.780.60.cDC.trait3	CD80 on plasmacytoid DC	1	17	0.27	4:84161920
79	Red.780.60.cDC.trait4	CD80 on CD62L+ plasmacytoid DC	1	19	0.27	4:84161920
79	SSC.cDC.trait3	SSC-A on plasmacytoid DC	2	7518	0.018	4:84157443
82	Blue.670.LP.Treg.trait4	CD127 on CD28+ CD45RA+ CD8br	3	32093	0.0014	5:35804562,5:35840724
82	Blue.670.LP.Treg.trait7	CD127 on CD45RA+ CD4+	3	30900	0.0013	5:35805339,5:35825474
