alignment	sequence_count	alignment_length	pi_sites	pi_percent	parse_source	phykit_stdout
1157302at2759.faa.mafft	4	247	15	6.0728744939271255	derived_from_count	15 247 6.0729
1161199at2759.faa.mafft	4	358	16	4.4692737430167595	derived_from_count	16 358 4.4693
1173229at2759.faa.mafft	3	597	0	0.0	derived_from_count	0 597 0.0
1178688at2759.faa.mafft	4	229	12	5.240174672489083	derived_from_count	12 229 5.2402
1182451at2759.faa.mafft	4	477	19	3.9832285115303985	derived_from_count	19 477 3.9832
1193442at2759.faa.mafft	4	567	29	5.114638447971781	derived_from_count	29 567 5.1146
1194691at2759.faa.mafft	4	512	27	5.2734375	derived_from_count	27 512 5.2734
1194797at2759.faa.mafft	4	826	47	5.690072639225181	derived_from_count	47 826 5.6901
1197019at2759.faa.mafft	4	254	15	5.905511811023622	derived_from_count	15 254 5.9055
1200489at2759.faa.mafft	4	318	7	2.20125786163522	derived_from_count	7 318 2.2013
1217666at2759.faa.mafft	4	324	20	6.172839506172839	derived_from_count	20 324 6.1728
1220881at2759.faa.mafft	4	514	16	3.11284046692607	derived_from_count	16 514 3.1128
1222562at2759.faa.mafft	4	505	12	2.376237623762376	derived_from_count	12 505 2.3762
1223488at2759.faa.mafft	4	291	13	4.4673539518900345	derived_from_count	13 291 4.4674
1228942at2759.faa.mafft	4	278	24	8.633093525179856	derived_from_count	24 278 8.6331
1233814at2759.faa.mafft	4	334	9	2.694610778443114	derived_from_count	9 334 2.6946
1236198at2759.faa.mafft	4	159	5	3.1446540880503147	derived_from_count	5 159 3.1447
1247641at2759.faa.mafft	4	874	28	3.203661327231121	derived_from_count	28 874 3.2037
1248958at2759.faa.mafft	4	1013	52	5.133267522211254	derived_from_count	52 1013 5.1333
1249159at2759.faa.mafft	4	248	15	6.048387096774194	derived_from_count	15 248 6.0484
1251252at2759.faa.mafft	4	448	6	1.3392857142857142	derived_from_count	6 448 1.3393
1257440at2759.faa.mafft	4	230	12	5.217391304347826	derived_from_count	12 230 5.2174
1258856at2759.faa.mafft	4	1054	59	5.597722960151803	derived_from_count	59 1054 5.5977
1259741at2759.faa.mafft	4	524	20	3.816793893129771	derived_from_count	20 524 3.8168
1260807at2759.faa.mafft	4	1625	15	0.9230769230769231	derived_from_count	15 1625 0.9231
1264469at2759.faa.mafft	4	419	20	4.77326968973747	derived_from_count	20 419 4.7733
1266231at2759.faa.mafft	3	396	0	0.0	derived_from_count	0 396 0.0
1269244at2759.faa.mafft	4	320	9	2.8125	derived_from_count	9 320 2.8125
1269649at2759.faa.mafft	4	320	11	3.4375000000000004	derived_from_count	11 320 3.4375
1275837at2759.faa.mafft	4	364	28	7.6923076923076925	derived_from_count	28 364 7.6923
1284731at2759.faa.mafft	4	309	12	3.8834951456310676	derived_from_count	12 309 3.8835
1287094at2759.faa.mafft	4	244	14	5.737704918032787	derived_from_count	14 244 5.7377
1287401at2759.faa.mafft	3	374	0	0.0	derived_from_count	0 374 0.0
1291729at2759.faa.mafft	4	233	11	4.721030042918455	derived_from_count	11 233 4.721
1304061at2759.faa.mafft	4	282	9	3.1914893617021276	derived_from_count	9 282 3.1915
1309031at2759.faa.mafft	4	1053	34	3.2288698955365627	derived_from_count	34 1053 3.2289
1312453at2759.faa.mafft	4	2093	73	3.487816531294792	derived_from_count	73 2093 3.4878
1314980at2759.faa.mafft	3	1110	0	0.0	derived_from_count	0 1110 0.0
1322299at2759.faa.mafft	4	722	23	3.1855955678670362	derived_from_count	23 722 3.1856
1322642at2759.faa.mafft	3	908	0	0.0	derived_from_count	0 908 0.0
1323575at2759.faa.mafft	4	236	10	4.23728813559322	derived_from_count	10 236 4.2373
1324510at2759.faa.mafft	4	660	23	3.4848484848484853	derived_from_count	23 660 3.4848
1338131at2759.faa.mafft	4	203	13	6.403940886699508	derived_from_count	13 203 6.4039
1339553at2759.faa.mafft	4	559	20	3.5778175313059033	derived_from_count	20 559 3.5778
1342242at2759.faa.mafft	4	549	15	2.73224043715847	derived_from_count	15 549 2.7322
1346165at2759.faa.mafft	4	614	20	3.257328990228013	derived_from_count	20 614 3.2573
1346432at2759.faa.mafft	4	365	15	4.10958904109589	derived_from_count	15 365 4.1096
1348942at2759.faa.mafft	4	482	16	3.319502074688797	derived_from_count	16 482 3.3195
1355894at2759.faa.mafft	4	214	11	5.14018691588785	derived_from_count	11 214 5.1402
1358374at2759.faa.mafft	4	401	11	2.7431421446384037	derived_from_count	11 401 2.7431
1364586at2759.faa.mafft	3	364	0	0.0	derived_from_count	0 364 0.0
1370285at2759.faa.mafft	4	955	34	3.56020942408377	derived_from_count	34 955 3.5602
1370304at2759.faa.mafft	4	1125	29	2.577777777777778	derived_from_count	29 1125 2.5778
1377237at2759.faa.mafft	3	626	0	0.0	derived_from_count	0 626 0.0
1379600at2759.faa.mafft	4	1086	33	3.0386740331491713	derived_from_count	33 1086 3.0387
1380409at2759.faa.mafft	3	220	0	0.0	derived_from_count	0 220 0.0
1382842at2759.faa.mafft	3	322	0	0.0	derived_from_count	0 322 0.0
1395649at2759.faa.mafft	3	295	0	0.0	derived_from_count	0 295 0.0
1398309at2759.faa.mafft	4	186	14	7.526881720430108	derived_from_count	14 186 7.5269
1404162at2759.faa.mafft	4	926	25	2.699784017278618	derived_from_count	25 926 2.6998
1405073at2759.faa.mafft	4	184	10	5.434782608695652	derived_from_count	10 184 5.4348
1405146at2759.faa.mafft	4	266	7	2.631578947368421	derived_from_count	7 266 2.6316
1407446at2759.faa.mafft	4	209	3	1.4354066985645932	derived_from_count	3 209 1.4354
1421503at2759.faa.mafft	4	300	10	3.3333333333333335	derived_from_count	10 300 3.3333
1423847at2759.faa.mafft	4	459	20	4.357298474945534	derived_from_count	20 459 4.3573
142542at2759.faa.mafft	3	2034	0	0.0	derived_from_count	0 2034 0.0
1426075at2759.faa.mafft	4	320	6	1.875	derived_from_count	6 320 1.875
1428265at2759.faa.mafft	4	461	18	3.9045553145336225	derived_from_count	18 461 3.9046
1428854at2759.faa.mafft	4	974	58	5.95482546201232	derived_from_count	58 974 5.9548
1430056at2759.faa.mafft	4	253	10	3.9525691699604746	derived_from_count	10 253 3.9526
1432328at2759.faa.mafft	4	450	13	2.888888888888889	derived_from_count	13 450 2.8889
1434266at2759.faa.mafft	4	393	12	3.0534351145038165	derived_from_count	12 393 3.0534
1440961at2759.faa.mafft	4	581	17	2.9259896729776247	derived_from_count	17 581 2.926
1441854at2759.faa.mafft	4	390	18	4.615384615384616	derived_from_count	18 390 4.6154
1442062at2759.faa.mafft	4	784	22	2.806122448979592	derived_from_count	22 784 2.8061
1445102at2759.faa.mafft	4	303	50	16.5016501650165	derived_from_count	50 303 16.5017
1450538at2759.faa.mafft	4	573	11	1.9197207678883073	derived_from_count	11 573 1.9197
1454155at2759.faa.mafft	4	455	18	3.9560439560439558	derived_from_count	18 455 3.956
1455730at2759.faa.mafft	3	645	0	0.0	derived_from_count	0 645 0.0
1459797at2759.faa.mafft	4	140	5	3.571428571428571	derived_from_count	5 140 3.5714
1474000at2759.faa.mafft	4	480	20	4.166666666666666	derived_from_count	20 480 4.1667
1479417at2759.faa.mafft	2	660	0	0.0	derived_from_count	0 660 0.0
1488235at2759.faa.mafft	4	234	12	5.128205128205128	derived_from_count	12 234 5.1282
1488436at2759.faa.mafft	4	163	5	3.067484662576687	derived_from_count	5 163 3.0675
1490022at2759.faa.mafft	4	236	18	7.627118644067797	derived_from_count	18 236 7.6271
1504863at2759.faa.mafft	4	230	3	1.3043478260869565	derived_from_count	3 230 1.3043
1513531at2759.faa.mafft	4	370	5	1.3513513513513513	derived_from_count	5 370 1.3514
1525971at2759.faa.mafft	4	190	11	5.7894736842105265	derived_from_count	11 190 5.7895
1526152at2759.faa.mafft	2	184	0	0.0	derived_from_count	0 184 0.0
1530008at2759.faa.mafft	4	237	14	5.9071729957805905	derived_from_count	14 237 5.9072
1538526at2759.faa.mafft	4	256	10	3.90625	derived_from_count	10 256 3.9062
1545004at2759.faa.mafft	2	96	0	0.0	derived_from_count	0 96 0.0
1552706at2759.faa.mafft	4	468	4	0.8547008547008548	derived_from_count	4 468 0.8547
1558822at2759.faa.mafft	3	109	0	0.0	derived_from_count	0 109 0.0
156083at2759.faa.mafft	3	2440	0	0.0	derived_from_count	0 2440 0.0
1563319at2759.faa.mafft	2	377	0	0.0	derived_from_count	0 377 0.0
1567796at2759.faa.mafft	4	570	9	1.5789473684210527	derived_from_count	9 570 1.5789
1575179at2759.faa.mafft	4	205	3	1.4634146341463417	derived_from_count	3 205 1.4634
1576404at2759.faa.mafft	4	308	12	3.896103896103896	derived_from_count	12 308 3.8961
1588798at2759.faa.mafft	4	454	15	3.303964757709251	derived_from_count	15 454 3.304
1593937at2759.faa.mafft	4	542	23	4.243542435424354	derived_from_count	23 542 4.2435
160593at2759.faa.mafft	4	2968	162	5.45822102425876	derived_from_count	162 2968 5.4582
1617752at2759.faa.mafft	4	120	2	1.6666666666666667	derived_from_count	2 120 1.6667
1620056at2759.faa.mafft	4	160	10	6.25	derived_from_count	10 160 6.25
1623701at2759.faa.mafft	4	213	12	5.633802816901409	derived_from_count	12 213 5.6338
1626636at2759.faa.mafft	3	261	0	0.0	derived_from_count	0 261 0.0
1633672at2759.faa.mafft	4	118	4	3.389830508474576	derived_from_count	4 118 3.3898
1645187at2759.faa.mafft	4	171	8	4.678362573099415	derived_from_count	8 171 4.6784
166920at2759.faa.mafft	4	1486	79	5.3162853297442805	derived_from_count	79 1486 5.3163
176625at2759.faa.mafft	4	1510	68	4.503311258278146	derived_from_count	68 1510 4.5033
179362at2759.faa.mafft	4	1384	57	4.118497109826589	derived_from_count	57 1384 4.1185
245208at2759.faa.mafft	4	1272	52	4.088050314465408	derived_from_count	52 1272 4.0881
257318at2759.faa.mafft	4	833	28	3.361344537815126	derived_from_count	28 833 3.3613
261328at2759.faa.mafft	3	1549	0	0.0	derived_from_count	0 1549 0.0
261419at2759.faa.mafft	3	1563	0	0.0	derived_from_count	0 1563 0.0
270107at2759.faa.mafft	4	1180	53	4.491525423728813	derived_from_count	53 1180 4.4915
271586at2759.faa.mafft	4	1450	45	3.103448275862069	derived_from_count	45 1450 3.1034
290630at2759.faa.mafft	4	960	48	5.0	derived_from_count	48 960 5.0
293315at2759.faa.mafft	4	1752	66	3.767123287671233	derived_from_count	66 1752 3.7671
296129at2759.faa.mafft	4	1198	68	5.676126878130217	derived_from_count	68 1198 5.6761
299766at2759.faa.mafft	4	1733	43	2.4812463935372184	derived_from_count	43 1733 2.4812
306227at2759.faa.mafft	3	1145	0	0.0	derived_from_count	0 1145 0.0
320059at2759.faa.mafft	4	589	18	3.0560271646859083	derived_from_count	18 589 3.056
324863at2759.faa.mafft	4	1222	60	4.909983633387888	derived_from_count	60 1222 4.91
325552at2759.faa.mafft	4	658	48	7.29483282674772	derived_from_count	48 658 7.2948
330169at2759.faa.mafft	4	700	36	5.142857142857142	derived_from_count	36 700 5.1429
331411at2759.faa.mafft	4	1234	40	3.2414910858995136	derived_from_count	40 1234 3.2415
341721at2759.faa.mafft	4	1136	40	3.5211267605633805	derived_from_count	40 1136 3.5211
345441at2759.faa.mafft	3	585	0	0.0	derived_from_count	0 585 0.0
355408at2759.faa.mafft	4	799	46	5.7571964956195245	derived_from_count	46 799 5.7572
369837at2759.faa.mafft	4	880	50	5.681818181818182	derived_from_count	50 880 5.6818
375960at2759.faa.mafft	4	904	30	3.3185840707964607	derived_from_count	30 904 3.3186
383503at2759.faa.mafft	4	606	28	4.62046204620462	derived_from_count	28 606 4.6205
388820at2759.faa.mafft	4	1258	52	4.133545310015898	derived_from_count	52 1258 4.1335
390348at2759.faa.mafft	4	1158	60	5.181347150259067	derived_from_count	60 1158 5.1813
392369at2759.faa.mafft	4	560	25	4.464285714285714	derived_from_count	25 560 4.4643
39650at2759.faa.mafft	4	2451	115	4.6919624643002855	derived_from_count	115 2451 4.692
396755at2759.faa.mafft	4	1563	59	3.7747920665387076	derived_from_count	59 1563 3.7748
418107at2759.faa.mafft	4	531	32	6.0263653483992465	derived_from_count	32 531 6.0264
426305at2759.faa.mafft	4	925	54	5.837837837837838	derived_from_count	54 925 5.8378
450058at2759.faa.mafft	4	1235	28	2.2672064777327936	derived_from_count	28 1235 2.2672
453044at2759.faa.mafft	4	565	30	5.3097345132743365	derived_from_count	30 565 5.3097
457861at2759.faa.mafft	4	557	14	2.5134649910233393	derived_from_count	14 557 2.5135
464990at2759.faa.mafft	4	762	26	3.4120734908136483	derived_from_count	26 762 3.4121
491869at2759.faa.mafft	2	1208	0	0.0	derived_from_count	0 1208 0.0
513979at2759.faa.mafft	4	846	35	4.137115839243498	derived_from_count	35 846 4.1371
543764at2759.faa.mafft	4	751	34	4.527296937416778	derived_from_count	34 751 4.5273
549762at2759.faa.mafft	3	772	0	0.0	derived_from_count	0 772 0.0
551907at2759.faa.mafft	4	1315	48	3.650190114068441	derived_from_count	48 1315 3.6502
570797at2759.faa.mafft	4	1233	21	1.70316301703163	derived_from_count	21 1233 1.7032
582756at2759.faa.mafft	4	719	34	4.728789986091794	derived_from_count	34 719 4.7288
598949at2759.faa.mafft	4	1186	49	4.1315345699831365	derived_from_count	49 1186 4.1315
604979at2759.faa.mafft	3	668	0	0.0	derived_from_count	0 668 0.0
621827at2759.faa.mafft	4	611	36	5.8919803600654665	derived_from_count	36 611 5.892
625387at2759.faa.mafft	3	1557	0	0.0	derived_from_count	0 1557 0.0
655400at2759.faa.mafft	4	953	28	2.9380902413431267	derived_from_count	28 953 2.9381
664730at2759.faa.mafft	4	539	27	5.009276437847866	derived_from_count	27 539 5.0093
671536at2759.faa.mafft	4	608	26	4.276315789473684	derived_from_count	26 608 4.2763
671846at2759.faa.mafft	4	1041	23	2.2094140249759846	derived_from_count	23 1041 2.2094
673132at2759.faa.mafft	4	502	26	5.179282868525896	derived_from_count	26 502 5.1793
674160at2759.faa.mafft	4	3238	126	3.891290920321186	derived_from_count	126 3238 3.8913
674169at2759.faa.mafft	4	1131	16	1.414677276746242	derived_from_count	16 1131 1.4147
679187at2759.faa.mafft	3	1160	0	0.0	derived_from_count	0 1160 0.0
679771at2759.faa.mafft	3	481	0	0.0	derived_from_count	0 481 0.0
687505at2759.faa.mafft	4	477	18	3.7735849056603774	derived_from_count	18 477 3.7736
692986at2759.faa.mafft	4	1047	32	3.0563514804202483	derived_from_count	32 1047 3.0564
708105at2759.faa.mafft	4	553	21	3.79746835443038	derived_from_count	21 553 3.7975
719531at2759.faa.mafft	4	553	23	4.159132007233273	derived_from_count	23 553 4.1591
720340at2759.faa.mafft	4	508	20	3.937007874015748	derived_from_count	20 508 3.937
721605at2759.faa.mafft	2	394	0	0.0	derived_from_count	0 394 0.0
722805at2759.faa.mafft	4	1701	49	2.880658436213992	derived_from_count	49 1701 2.8807
734341at2759.faa.mafft	4	452	12	2.6548672566371683	derived_from_count	12 452 2.6549
734666at2759.faa.mafft	4	582	31	5.326460481099656	derived_from_count	31 582 5.3265
736068at2759.faa.mafft	4	613	22	3.588907014681892	derived_from_count	22 613 3.5889
751335at2759.faa.mafft	4	641	24	3.74414976599064	derived_from_count	24 641 3.7441
759498at2759.faa.mafft	4	1001	45	4.495504495504496	derived_from_count	45 1001 4.4955
761109at2759.faa.mafft	4	889	27	3.0371203599550056	derived_from_count	27 889 3.0371
768809at2759.faa.mafft	4	581	24	4.130808950086059	derived_from_count	24 581 4.1308
774318at2759.faa.mafft	4	1250	18	1.44	derived_from_count	18 1250 1.44
777920at2759.faa.mafft	4	736	34	4.619565217391304	derived_from_count	34 736 4.6196
779909at2759.faa.mafft	4	408	26	6.372549019607843	derived_from_count	26 408 6.3725
801857at2759.faa.mafft	4	804	25	3.109452736318408	derived_from_count	25 804 3.1095
814241at2759.faa.mafft	4	668	20	2.9940119760479043	derived_from_count	20 668 2.994
817008at2759.faa.mafft	4	494	20	4.048582995951417	derived_from_count	20 494 4.0486
834694at2759.faa.mafft	4	974	31	3.1827515400410675	derived_from_count	31 974 3.1828
836599at2759.faa.mafft	4	645	25	3.875968992248062	derived_from_count	25 645 3.876
83779at2759.faa.mafft	4	720	27	3.75	derived_from_count	27 720 3.75
844748at2759.faa.mafft	3	695	0	0.0	derived_from_count	0 695 0.0
855834at2759.faa.mafft	4	868	30	3.4562211981566824	derived_from_count	30 868 3.4562
858842at2759.faa.mafft	3	993	0	0.0	derived_from_count	0 993 0.0
865202at2759.faa.mafft	4	374	15	4.010695187165775	derived_from_count	15 374 4.0107
866359at2759.faa.mafft	4	365	19	5.205479452054795	derived_from_count	19 365 5.2055
869548at2759.faa.mafft	4	306	17	5.555555555555555	derived_from_count	17 306 5.5556
878143at2759.faa.mafft	4	527	26	4.933586337760911	derived_from_count	26 527 4.9336
87842at2759.faa.mafft	4	1367	44	3.218727139722019	derived_from_count	44 1367 3.2187
887370at2759.faa.mafft	4	842	23	2.7315914489311166	derived_from_count	23 842 2.7316
891751at2759.faa.mafft	4	873	23	2.6345933562428407	derived_from_count	23 873 2.6346
898782at2759.faa.mafft	4	753	23	3.054448871181939	derived_from_count	23 753 3.0544
901894at2759.faa.mafft	4	859	16	1.8626309662398137	derived_from_count	16 859 1.8626
905026at2759.faa.mafft	4	1172	32	2.7303754266211606	derived_from_count	32 1172 2.7304
911863at2759.faa.mafft	4	525	24	4.571428571428571	derived_from_count	24 525 4.5714
917326at2759.faa.mafft	4	808	36	4.455445544554455	derived_from_count	36 808 4.4554
918816at2759.faa.mafft	4	829	24	2.8950542822677927	derived_from_count	24 829 2.8951
919955at2759.faa.mafft	4	407	23	5.651105651105651	derived_from_count	23 407 5.6511
923657at2759.faa.mafft	4	456	22	4.824561403508771	derived_from_count	22 456 4.8246
924753at2759.faa.mafft	4	647	30	4.636785162287481	derived_from_count	30 647 4.6368
931188at2759.faa.mafft	4	685	26	3.795620437956204	derived_from_count	26 685 3.7956
937275at2759.faa.mafft	3	613	0	0.0	derived_from_count	0 613 0.0
937686at2759.faa.mafft	3	596	0	0.0	derived_from_count	0 596 0.0
939345at2759.faa.mafft	4	724	11	1.5193370165745856	derived_from_count	11 724 1.5193
944899at2759.faa.mafft	4	369	21	5.691056910569105	derived_from_count	21 369 5.6911
946128at2759.faa.mafft	4	840	26	3.0952380952380953	derived_from_count	26 840 3.0952
956854at2759.faa.mafft	3	362	0	0.0	derived_from_count	0 362 0.0
97116at2759.faa.mafft	4	1483	76	5.124747134187458	derived_from_count	76 1483 5.1247
973442at2759.faa.mafft	4	748	16	2.13903743315508	derived_from_count	16 748 2.139
974865at2759.faa.mafft	4	429	20	4.662004662004662	derived_from_count	20 429 4.662
975158at2759.faa.mafft	4	605	25	4.132231404958678	derived_from_count	25 605 4.1322
975557at2759.faa.mafft	4	872	21	2.408256880733945	derived_from_count	21 872 2.4083
976469at2759.faa.mafft	3	415	0	0.0	derived_from_count	0 415 0.0
981902at2759.faa.mafft	4	773	20	2.58732212160414	derived_from_count	20 773 2.5873
996662at2759.faa.mafft	4	341	13	3.812316715542522	derived_from_count	13 341 3.8123
