rank	gene_id	HGNC_symbol	sampleA_gene_counts	sampleB_gene_counts	A_only_transcript	A_only_name	A_only_count_A	A_only_count_B	B_only_transcript	B_only_name	B_only_count_A	B_only_count_B	A_only_usage_delta	B_only_usage_delta	switch_support
21	ENSG00000087460.29	GNAS	142.000034	122.000012	ENST00000354359.12	GNAS-207	35.974500	0.000000	ENST00000468895.6	GNAS-226	0.064015	31.936200	0.25334149	-0.26132129	31.936200
22	ENSG00000196498.15	NCOR2	35.000033	41.999995	ENST00000405201.6	NCOR2-202	31.153800	0.000000	ENST00000404621.5	NCOR2-201	0.000305	33.935900	0.89010772	-0.80798898	31.153800
23	ENSG00000179222.18	MAGED1	34.999960	34.000000	ENST00000326587.12	MAGED1-201	30.620400	0.027800	ENST00000375772.7	MAGED1-204	0.000000	33.972200	0.87405192	-0.99918235	30.620400
24	ENSG00000189057.11	FAM111B	31.000002	35.999976	ENST00000411426.1	FAM111B-202	31.000000	0.000000	ENST00000343597.4	FAM111B-201	0.000000	30.363000	0.99999994	-0.84341723	30.363000
25	ENSG00000055917.17	PUM2	38.999990	44.000015	ENST00000338086.9	PUM2-201	29.477200	0.000017	ENST00000361078.7	PUM2-202	0.000000	42.867200	0.75582546	-0.97425422	29.477200
26	ENSG00000147140.17	NONO	71.000000	66.000000	ENST00000373841.5	NONO-202	29.320000	0.000000	ENST00000276079.13	NONO-201	0.000891	51.100000	0.41295775	-0.77422987	29.320000
27	ENSG00000167325.15	RRM1	38.999973	31.000009	ENST00000300738.10	RRM1-201	30.388500	0.000009	ENST00000533349.5	RRM1-212	0.431842	29.000000	0.77919255	-0.92441072	29.000000
28	ENSG00000104320.15	NBN	44.867248	46.596700	ENST00000409330.5	NBN-203	28.842600	0.000000	ENST00000523444.2	NBN-210	0.000000	29.118500	0.64284308	-0.62490477	28.842600
29	ENSG00000198492.16	YTHDF2	27.999998	28.000000	ENST00000541996.5	YTHDF2-208	27.994100	0.000000	ENST00000373812.8	YTHDF2-201	0.005898	28.000000	0.99978935	-0.99978935	27.994100
30	ENSG00000196305.19	IARS1	62.999985	64.999957	ENST00000443024.7	IARS1-203	27.329000	0.000000	ENST00000683192.1	IARS1-222	0.000000	29.047600	0.43379376	-0.44688645	27.329000
31	ENSG00000152601.18	MBNL1	98.000020	121.969350	ENST00000545754.5	MBNL1-224	27.328400	0.000000	ENST00000463374.5	MBNL1-211	0.000000	27.640400	0.27886117	-0.22661759	27.328400
32	ENSG00000119408.17	NEK6	74.999987	54.999977	ENST00000320246.10	NEK6-201	28.827400	0.139107	ENST00000373603.5	NEK6-204	0.000000	27.203700	0.38183618	-0.49461293	27.203700
33	ENSG00000124422.12	USP22	29.000038	32.638843	ENST00000261497.9	USP22-201	27.063300	0.000000	ENST00000537526.6	USP22-206	0.000000	32.289800	0.93321602	-0.98930591	27.063300
34	ENSG00000028137.19	TNFRSF1B	27.000009	32.000000	ENST00000376259.7	TNFRSF1B-201	26.996500	0.000000	ENST00000492361.1	TNFRSF1B-203	0.003509	32.000000	0.99987004	-0.99987004	26.996500
35	ENSG00000171862.16	PTEN	67.921470	91.000036	ENST00000371953.8	PTEN-201	26.976500	0.005636	ENST00000693560.1	PTEN-211	0.000000	34.032900	0.39710998	-0.37398776	26.976500
36	ENSG00000055332.19	EIF2AK2	49.000037	47.999997	ENST00000681516.1	EIF2AK2-214	36.289100	0.000003	ENST00000679979.1	EIF2AK2-209	0.000043	26.968600	0.74059324	-0.56184499	26.968600
37	ENSG00000080603.17	SRCAP	32.000045	26.864600	ENST00000262518.9	SRCAP-201	28.865100	0.000000	ENST00000411466.7	SRCAP-202	0.000031	26.864600	0.90203312	-0.99999903	26.864600
38	ENSG00000111331.14	OAS3	127.000008	112.000081	ENST00000680044.1	OAS3-216	26.757200	0.000000	ENST00000679912.1	OAS3-215	0.000134	37.061100	0.21068660	-0.33090138	26.757200
39	ENSG00000115760.16	BIRC6	55.999974	67.000008	ENST00000648282.1	BIRC6-213	26.694600	0.000000	ENST00000421745.7	BIRC6-201	0.000005	50.847800	0.47668951	-0.75892221	26.694600
40	ENSG00000020633.19	RUNX3	41.999990	46.000058	ENST00000338888.4	RUNX3-202	40.658700	0.000020	ENST00000308873.11	RUNX3-201	0.000000	26.566100	0.96806409	-0.57752319	26.566100
41	ENSG00000130816.17	DNMT1	39.000034	28.000032	ENST00000677250.1	DNMT1-236	30.906500	0.000000	ENST00000677685.1	DNMT1-239	0.000000	26.268100	0.79247368	-0.93814537	26.268100
42	ENSG00000111642.16	CHD4	77.999949	71.000021	ENST00000644289.1	CHD4-225	25.995400	0.000000	ENST00000544040.7	CHD4-206	0.000000	31.636700	0.33327458	-0.44558719	25.995400
43	ENSG00000180628.15	PCGF5	48.999983	27.999987	ENST00000614189.4	PCGF5-205	44.556300	0.027367	ENST00000336126.6	PCGF5-201	0.000029	25.729300	0.90833516	-0.91890340	25.729300
44	ENSG00000150093.20	ITGB1	32.000020	29.058656	ENST00000488494.6	ITGB1-215	25.596200	0.341194	ENST00000488427.2	ITGB1-214	0.000000	28.664800	0.78813919	-0.98644617	25.596200
45	ENSG00000152332.16	UHMK1	53.000000	65.999992	ENST00000489294.2	UHMK1-202	41.365700	0.009992	ENST00000538489.5	UHMK1-203	0.000000	25.335900	0.78033352	-0.38387732	25.335900
46	ENSG00000120694.20	HSPH1	36.999970	40.999964	ENST00000602786.5	HSPH1-206	34.074000	0.218175	ENST00000630972.2	HSPH1-209	0.000000	25.326400	0.91559832	-0.61771762	25.326400
47	ENSG00000196628.20	TCF4	32.000021	32.000013	ENST00000637923.2	TCF4-287	24.802900	0.057442	ENST00000637169.2	TCF4-283	0.000000	27.819200	0.77329504	-0.86934965	24.802900
48	ENSG00000178252.19	WDR6	28.999952	25.741024	ENST00000448293.5	WDR6-207	24.157200	0.000000	ENST00000608424.6	WDR6-220	0.000000	25.395800	0.83300828	-0.98658857	24.157200
49	ENSG00000197312.13	DDI2	24.080460	35.262535	ENST00000711098.1	DDI2-207	23.825700	0.000690	ENST00000480945.6	DDI2-202	0.116682	30.477700	0.98940091	-0.85946275	23.825700
50	ENSG00000145901.17	TNIP1	127.999956	102.999889	ENST00000315050.11	TNIP1-201	26.127300	0.000000	ENST00000522100.6	TNIP1-212	0.000000	23.798900	0.20411960	-0.23105753	23.798900
51	ENSG00000110422.12	HIPK3	26.000002	27.000045	ENST00000379016.7	HIPK3-202	23.624700	0.046455	ENST00000303296.9	HIPK3-201	0.000000	24.756400	0.90692167	-0.91690217	23.624700
52	ENSG00000090861.17	AARS1	44.999990	39.000038	ENST00000261772.13	AARS1-201	23.574500	0.000000	ENST00000676211.1	AARS1-240	0.000000	38.407100	0.52387789	-0.98479648	23.574500
53	ENSG00000153827.15	TRIP12	78.000040	91.999937	ENST00000704585.1	TRIP12-229	29.467700	0.025494	ENST00000704580.1	TRIP12-224	0.461957	23.555800	0.37751373	-0.25011896	23.555800
54	ENSG00000182944.18	EWSR1	51.999990	48.999968	ENST00000397938.7	EWSR1-206	23.548900	0.000000	ENST00000414183.6	EWSR1-208	0.000000	34.918500	0.45286355	-0.71262292	23.548900
55	ENSG00000131467.12	PSME3	42.000050	27.000024	ENST00000441946.6	PSME3-202	24.113900	0.000000	ENST00000590720.6	PSME3-210	0.000000	23.448800	0.57413979	-0.86847330	23.448800
56	ENSG00000171940.14	ZNF217	25.000002	24.000047	ENST00000371471.7	ZNF217-202	23.407000	0.000000	ENST00000302342.3	ZNF217-201	0.000000	23.750200	0.93627993	-0.98958973	23.407000
57	ENSG00000126457.22	PRMT1	31.000050	36.000030	ENST00000391851.8	PRMT1-201	25.266300	0.000000	ENST00000454376.7	PRMT1-202	0.000000	23.313200	0.81504062	-0.64758835	23.313200
58	ENSG00000143603.19	KCNN3	29.999953	37.000002	ENST00000271915.9	KCNN3-201	23.283600	0.000012	ENST00000618040.4	KCNN3-205	0.000004	30.966700	0.77612090	-0.83693767	23.283600
59	ENSG00000139697.14	SBNO1	25.000000	22.999966	ENST00000267176.8	SBNO1-201	25.000000	0.000483	ENST00000420886.6	SBNO1-202	0.000000	22.999200	0.99997899	-0.99996668	22.999200
60	ENSG00000065000.20	AP3D1	24.000045	25.999963	ENST00000643116.3	AP3D1-213	22.964300	0.000000	ENST00000700387.1	AP3D1-220	0.000000	23.498600	0.95684403	-0.90379359	22.964300
61	ENSG00000157601.15	MX1	171.999997	210.000057	ENST00000417963.6	MX1-205	24.716300	0.000000	ENST00000424365.6	MX1-207	0.000000	22.905900	0.14369942	-0.10907568	22.905900
62	ENSG00000167895.16	TMC8	23.000007	31.999971	ENST00000589691.1	TMC8-202	22.901900	0.000000	ENST00000318430.10	TMC8-201	0.000000	27.463500	0.99573447	-0.85823515	22.901900
63	ENSG00000081237.22	PTPRC	62.999981	52.000041	ENST00000442510.8	PTPRC-209	43.032700	0.000000	ENST00000491302.2	PTPRC-212	0.009334	22.631300	0.68305894	-0.43506881	22.631300
64	ENSG00000108559.13	NUP88	37.000034	34.999978	ENST00000572019.2	NUP88-203	22.552400	0.000000	ENST00000700536.1	NUP88-221	0.003291	26.804800	0.60952377	-0.76576297	22.552400
65	ENSG00000102606.20	ARHGEF7	25.999968	28.000000	ENST00000375736.8	ARHGEF7-204	22.482300	0.000000	ENST00000426073.6	ARHGEF7-208	0.002688	24.687600	0.86470492	-0.88159663	22.482300
66	ENSG00000168374.11	ARF4	30.000010	30.999970	ENST00000303436.11	ARF4-201	29.991400	0.000000	ENST00000486310.5	ARF4-204	0.000000	22.313400	0.99971301	-0.71978779	22.313400
67	ENSG00000197694.19	SPTAN1	47.000055	64.000062	ENST00000704203.1	SPTAN1-241	22.157700	0.000000	ENST00000372731.8	SPTAN1-202	0.237176	25.989900	0.47143987	-0.40104550	22.157700
68	ENSG00000145685.14	LHFPL2	25.000000	22.000000	ENST00000515007.6	LHFPL2-207	25.000000	0.000000	ENST00000380345.7	LHFPL2-201	0.000000	22.000000	1.00000000	-1.00000000	22.000000
69	ENSG00000196591.12	HDAC2	26.000020	23.000033	ENST00000519108.5	HDAC2-206	24.869400	0.000000	ENST00000368632.6	HDAC2-201	0.000000	21.934800	0.95651465	-0.95368557	21.934800
70	ENSG00000033170.17	FUT8	24.000000	22.000008	ENST00000674118.1	FUT8-217	24.000000	0.000000	ENST00000342677.10	FUT8-201	0.000000	21.895200	1.00000000	-0.99523600	21.895200
71	ENSG00000143569.20	UBAP2L	36.000003	42.999974	ENST00000343815.10	UBAP2L-202	21.856400	0.004698	ENST00000707139.1	UBAP2L-221	0.000000	28.395900	0.60701292	-0.66037017	21.856400
72	ENSG00000168016.15	TRANK1	23.000050	26.999955	ENST00000645898.2	TRANK1-205	21.766700	0.000755	ENST00000429976.5	TRANK1-201	0.000000	26.999200	0.94634825	-0.99997204	21.766700
73	ENSG00000135677.11	GNS	23.000009	26.999957	ENST00000418919.6	GNS-202	21.531200	0.000000	ENST00000258145.8	GNS-201	0.000000	23.877300	0.93613876	-0.88434584	21.531200
74	ENSG00000109320.14	NFKB1	59.000021	49.000037	ENST00000509165.2	NFKB1-208	53.007900	0.000044	ENST00000697799.1	NFKB1-220	0.000281	21.417000	0.89843777	-0.43707654	21.417000
75	ENSG00000077235.18	GTF3C1	22.000045	27.999955	ENST00000356183.9	GTF3C1-201	21.112500	0.003155	ENST00000561623.5	GTF3C1-202	0.000000	27.996800	0.95954446	-0.99988734	21.112500
76	ENSG00000112992.18	NNT	22.999967	24.000020	ENST00000653251.1	NNT-212	21.032000	0.000000	ENST00000512996.6	NNT-208	0.000000	21.745500	0.91443609	-0.90606174	21.032000
77	ENSG00000131238.18	PPT1	39.000030	26.000030	ENST00000642050.2	PPT1-219	34.169700	0.000002	ENST00000530076.6	PPT1-209	0.000000	21.023100	0.87614541	-0.80857983	21.023100
78	ENSG00000089737.19	DDX24	33.000000	43.000000	ENST00000544005.5	DDX24-201	21.000000	0.000610	ENST00000555054.1	DDX24-204	0.000000	27.654000	0.63634946	-0.64311629	21.000000
79	ENSG00000138674.17	SEC31A	47.434080	52.000010	ENST00000448323.5	SEC31A-208	21.435000	0.000000	ENST00000505472.5	SEC31A-215	0.000000	20.999800	0.45189029	-0.40384223	20.999800
80	ENSG00000156030.14	MIDEAS	20.999969	36.000020	ENST00000394071.6	MIDEAS-202	20.999200	0.000000	ENST00000423556.7	MIDEAS-204	0.000769	33.927700	0.99996337	-0.94239895	20.999200
81	ENSG00000100697.17	DICER1	41.000031	27.999990	ENST00000696733.1	DICER1-217	24.812000	0.000000	ENST00000675540.2	DICER1-215	0.000001	20.967600	0.60517027	-0.74884312	20.967600
82	ENSG00000197451.12	HNRNPAB	57.999948	37.000000	ENST00000506339.5	HNRNPAB-206	55.903300	0.000000	ENST00000355836.9	HNRNPAB-201	0.000000	20.941900	0.96385087	-0.56599730	20.941900
83	ENSG00000079785.16	DDX1	28.000003	35.000020	ENST00000677437.1	DDX1-215	20.873600	0.001538	ENST00000678594.1	DDX1-221	0.000002	34.957700	0.74544169	-0.99879077	20.873600
84	ENSG00000103018.18	CYB5B	45.999981	43.999980	ENST00000515314.7	CYB5B-203	20.831700	0.000616	ENST00000689149.1	CYB5B-213	0.000001	23.609300	0.45284924	-0.53657522	20.831700
85	ENSG00000196586.17	MYO6	35.000029	33.999970	ENST00000369975.6	MYO6-201	22.360200	0.000000	ENST00000671923.1	MYO6-216	0.000081	20.819900	0.63886234	-0.61234823	20.819900
86	ENSG00000108389.10	MTMR4	23.999960	26.999958	ENST00000682306.1	MTMR4-210	20.696200	0.000000	ENST00000323456.9	MTMR4-201	0.000000	26.993400	0.86234310	-0.99975713	20.696200
87	ENSG00000117724.15	CENPF	20.999961	32.000045	ENST00000366955.8	CENPF-201	20.682800	0.000004	ENST00000706765.1	CENPF-207	0.000000	31.999900	0.98489694	-0.99999547	20.682800
88	ENSG00000100503.27	NIN	71.999960	61.000035	ENST00000706705.1	NIN-224	55.189300	0.000000	ENST00000530997.7	NIN-215	0.000000	20.673200	0.76651848	-0.33890472	20.673200
89	ENSG00000085832.18	EPS15	81.000004	65.999980	ENST00000706288.1	EPS15-211	20.655700	0.000000	ENST00000706291.1	EPS15-214	0.370394	28.739000	0.25500863	-0.43086676	20.655700
90	ENSG00000149273.15	RPS3	230.000341	244.000083	ENST00000526248.5	RPS3-206	20.396200	0.000000	ENST00000530721.5	RPS3-216	0.000000	34.851300	0.08867900	-0.14283315	20.396200
91	ENSG00000134802.18	SLC43A3	26.999983	28.000024	ENST00000352187.5	SLC43A3-201	24.545700	0.000000	ENST00000395123.6	SLC43A3-202	0.004842	20.375700	0.90910057	-0.72752363	20.375700
92	ENSG00000187109.15	NAP1L1	188.000080	207.000150	ENST00000393263.7	NAP1L1-201	55.181100	0.014203	ENST00000552147.5	NAP1L1-224	0.000000	20.363100	0.29344775	-0.09837239	20.363100
93	ENSG00000117859.19	OSBPL9	35.000024	35.999960	ENST00000462759.5	OSBPL9-207	34.661800	0.000000	ENST00000486942.5	OSBPL9-213	0.000000	20.223900	0.99033646	-0.56177562	20.223900
94	ENSG00000100883.13	SRP54	39.000004	26.000010	ENST00000216774.11	SRP54-201	39.000000	0.000000	ENST00000678477.1	SRP54-218	0.000000	20.197700	0.99999990	-0.77683432	20.197700
