resolution	bin1	bin2	H1_raw	HFF_raw	H1_distance_median	HFF_distance_median	H1_OE	HFF_OE	log2_H1_over_HFF_OE
5000	7710000	7795000	64	29	17	16	3.6857143	1.7878788	1.0436953
5000	7655000	7715000	18	29	26	20	0.69811321	1.4390244	-1.0435581
5000	7625000	7705000	12	6	17	18	0.71428571	0.35135135	1.0235868
5000	7670000	7790000	25	26	18	9	1.3783784	2.7894737	-1.017021
10000	7630000	7790000	35	35	75	37	0.47019868	0.94666667	-1.009586
5000	7735000	7800000	56	27	24	23.5	2.3061224	1.1458333	1.0090719
5000	7705000	7805000	92	29	19	12	4.7435897	2.36	1.0071924
5000	7660000	7760000	21	27	19	12	1.1025641	2.2	-0.99664099
10000	7650000	7800000	139	126	93	42	1.4919786	2.9764706	-0.99637579
5000	7645000	7790000	15	16	19	10	0.79487179	1.5714286	-0.98328261
5000	7655000	7780000	9	13	19.5	14	0.475	0.93103448	-0.97090709
5000	7720000	7790000	72	28	21	16	3.372093	1.7272727	0.96514844
5000	7625000	7730000	3	5	17.5	14	0.19444444	0.37931034	-0.9640207
5000	7665000	7785000	22	22	18	9	1.2162162	2.3684211	-0.96152585
5000	7640000	7685000	14	22	31.5	25	0.453125	0.88235294	-0.96144676
10000	7720000	7790000	231	98	84	69.5	2.739645	1.4071429	0.96122014
5000	7635000	7665000	25	49	46	47	0.5483871	1.0421053	-0.92623448
5000	7660000	7755000	14	21	15.5	12	0.90625	1.72	-0.92442757
5000	7755000	7785000	106	57	46	47	2.2903226	1.2105263	0.91991637
5000	7715000	7755000	55	28	33	32	1.6567164	0.87692308	0.91780447
5000	7650000	7765000	13	15	20	12	0.65853659	1.24	-0.91300462
5000	7670000	7685000	45	93	103.5	113.5	0.4375	0.82017544	-0.90664952
5000	7665000	7715000	28	12	31	25	0.9047619	0.49019608	0.88417924
5000	7655000	7725000	14	20	21	16	0.6744186	1.2424242	-0.88144164
5000	7655000	7775000	18	17	18	9	1	1.8421053	-0.8813555
5000	7640000	7715000	26	10	18	13	1.4324324	0.77777778	0.88103717
5000	7720000	7780000	72	30	26	20	2.7358491	1.4878049	0.8788033
5000	7630000	7770000	5	9	17	16	0.31428571	0.57575758	-0.87338479
5000	7675000	7705000	81	45	46	47	1.7526882	0.95789474	0.87163031
5000	7705000	7785000	54	31	17	18	3.1142857	1.7027027	0.87107475
5000	7730000	7775000	51	22	31.5	25	1.609375	0.88235294	0.86707277
5000	7640000	7700000	36	15	26	20	1.3773585	0.75609756	0.8652598
5000	7700000	7730000	31	58	46	47	0.67741935	1.2315789	-0.862388
5000	7690000	7755000	43	23	24	23.5	1.7755102	0.97916667	0.8586073
5000	7730000	7755000	99	59	54	58.5	1.8256881	1.0084746	0.85626558
5000	7725000	7780000	57	26	26.5	22	2.1296296	1.1777778	0.85453519
5000	7680000	7805000	74	97	19.5	14	3.725	6.7241379	-0.85210889
5000	7710000	7785000	70	28	18	13	3.8108108	2.1111111	0.85209547
5000	7760000	7800000	45	24	33	32	1.358209	0.75384615	0.84936342
5000	7625000	7725000	6	7	19	12	0.33333333	0.6	-0.84799691
5000	7645000	7710000	50	27	24	23.5	2.0612245	1.1458333	0.84710443
5000	7645000	7800000	34	39	17.5	11	1.9166667	3.4347826	-0.84161934
5000	7660000	7735000	19	25	18	13	1.0540541	1.8888889	-0.84158899
5000	7715000	7790000	62	25	18	13	3.3783784	1.8888889	0.83879308
10000	7640000	7790000	95	77	93	42	1.0213904	1.8235294	-0.8361991
5000	7675000	7795000	46	42	18	9	2.5135135	4.4736842	-0.83175798
5000	7650000	7805000	36	41	17.5	11	2.0277778	3.6086957	-0.83157792
5000	7640000	7790000	32	11	21	13	1.5116279	0.85185185	0.8274286
5000	7635000	7800000	21	19	19	9.5	1.1025641	1.95	-0.82261159
5000	7650000	7785000	19	20	18	10.5	1.0540541	1.8636364	-0.82217153
10000	7710000	7780000	248	116	84	69.5	2.9408284	1.6642857	0.82131948
5000	7675000	7710000	96	49	42	38	2.2705882	1.2857143	0.82049602
5000	7710000	7750000	75	41	33	32	2.2537313	1.2769231	0.81964393
5000	7665000	7780000	26	28	20	12	1.2926829	2.28	-0.81866537
5000	7625000	7785000	7	7	18	10	0.40540541	0.71428571	-0.81713594
5000	7670000	7770000	15	17	19	12	0.79487179	1.4	-0.81663274
5000	7750000	7800000	57	26	31	25	1.8253968	1.0392157	0.81271501
10000	7720000	7800000	275	154	62	61	4.408	2.5121951	0.8111757
10000	7620000	7770000	24	19	93	42	0.26203209	0.45882353	-0.8081959
5000	7670000	7740000	17	23	21	16	0.81395349	1.4242424	-0.80717647
5000	7640000	7690000	33	15	31	25	1.0634921	0.60784314	0.8070383
10000	7720000	7780000	269	125	112	91	2.3955556	1.3715847	0.80451656
5000	7685000	7780000	27	37	15.5	12	1.71875	3	-0.80360279
5000	7625000	7720000	5	7	15.5	12	0.34375	0.6	-0.80360279
5000	7715000	7745000	72	42	46	47	1.5591398	0.89473684	0.80121495
5000	7740000	7790000	52	24	31	25	1.6666667	0.96078431	0.79468109
5000	7700000	7775000	26	33	18	13	1.4324324	2.4814815	-0.7927346
5000	7660000	7785000	23	29	19.5	14	1.175	2.0344828	-0.7920013
