chr	start
chr3	127628057
chr3	149101253
chr3	149104945
chr3	186735563
chr3	186784637
chr3	196284511
chr3	196325399
chr4	1712123
chr4	1731652
chr4	4357295
chr4	4444974
chr4	7655076
chr4	7672186
chr4	7751200
chr4	7761210
chr4	7939007
chr4	7968310
chr4	21702809
chr4	21797117
chr4	48175875
chr4	48249552
chr4	62688819
chr4	62743830
chr4	77143775
chr4	77200874
chr4	77249515
chr4	77303620
chr4	78096102
chr4	78124944
chr4	120291768
chr4	120301214
chr4	141865359
chr4	141923904
chr4	144761305
chr4	144792069
chr4	158858820
chr4	158931795
chr4	183730649
chr4	183741008
chr4	185164132
chr4	185251370
chr4	185253018
chr4	185290593
chr5	15002488
chr5	15009412
chr5	17337343
chr5	17400273
chr5	34511071
chr5	34538273
chr5	55934937
chr5	56021209
chr5	73738856
chr5	73815372
chr5	80351981
chr5	80444198
chr5	115215640
chr5	115277076
chr5	148233731
chr5	148261954
chr5	150971774
chr5	150992584
chr5	151023120
chr5	151047265
chr5	172324557
chr5	172368175
chr5	179604486
chr5	179680605
chr6	6644488
chr6	6659373
chr6	29621024
chr6	29648397
chr6	35002516
chr6	35064219
chr6	36328782
chr6	36396907
chr6	110028617
chr6	110062222
chr6	116813932
chr6	116856364
chr6	170229435
chr6	170268790
chr6	170339054
chr6	170348651
chr7	3157701
chr7	3195052
chr7	22900530
chr7	22929374
chr7	24694986
chr7	24758752
chr7	44954815
chr7	44980050
chr7	47623098
chr7	47670437
chr7	75752152
chr7	75772412
chr7	76946199
chr7	76992035
chr7	77669695
chr7	77741969
chr7	107196926
chr7	107201574
chr7	112085399
chr7	112141477
chr7	140016061
chr7	140059393
chr7	149466558
chr7	149485017
chr7	150657208
chr7	150657722
chr8	638336
chr8	651762
chr8	1897899
chr8	1908147
chr8	9106637
chr8	9169714
chr8	11677904
chr8	11684462
chr8	11722620
chr8	11781041
chr8	53337975
chr8	53372995
chr8	66422286
chr8	66452490
chr8	105106099
chr8	105175996
chr8	125702484
chr8	125793981
chr8	134518611
chr8	134604223
chr8	145099307
chr8	145164517
chr9	188932
chr9	277775
chr9	36154677
chr9	36231419
chr9	80853509
chr9	80856402
chr9	93882307
chr9	93974552
chr9	113366507
chr9	113399046
chr9	136115891
chr9	136127365
chr9	139226618
chr9	139280765
