metric	value
answer	chr22:36400000-36400000,0.0
count_q0	2
count_q0.1	1073
count_q0.25	1325
count_q0.5	1359
count_q0.75	1391
count_q0.9	1414
count_q1.0	1895
start	36400000
end	36400000
start_i	364
end_i	363
base	1358.5
amp_mean	0.0
flank_mean	1486.6
factor	0.0
threshold	1630.2
runs_ge_1.1x	36000000-36500000:5
runs_ge_1.2x	36100000-36400000:3
runs_ge_1.3x	36100000-36300000:2
runs_ge_1.4x	
runs_ge_1.5x	
bin	start	end	count
133	13300000	13400000	0
134	13400000	13500000	0
135	13500000	13600000	0
136	13600000	13700000	0
137	13700000	13800000	0
138	13800000	13900000	0
139	13900000	14000000	0
140	14000000	14100000	0
141	14100000	14200000	0
142	14200000	14300000	0
143	14300000	14400000	0
144	14400000	14500000	0
145	14500000	14600000	0
146	14600000	14700000	0
147	14700000	14800000	0
148	14800000	14900000	0
149	14900000	15000000	0
150	15000000	15100000	0
151	15100000	15200000	496
152	15200000	15300000	1100
153	15300000	15400000	1109
154	15400000	15500000	1194
155	15500000	15600000	1091
156	15600000	15700000	1056
157	15700000	15800000	1074
158	15800000	15900000	1169
159	15900000	16000000	1108
160	16000000	16100000	1260
161	16100000	16200000	1353
162	16200000	16300000	1118
163	16300000	16400000	838
164	16400000	16500000	1376
165	16500000	16600000	1391
166	16600000	16700000	1407
167	16700000	16800000	1322
168	16800000	16900000	1388
169	16900000	17000000	1343
170	17000000	17100000	1347
171	17100000	17200000	1332
172	17200000	17300000	1400
173	17300000	17400000	1361
174	17400000	17500000	1356
175	17500000	17600000	1368
176	17600000	17700000	1335
177	17700000	17800000	1362
178	17800000	17900000	1401
179	17900000	18000000	1285
180	18000000	18100000	1345
181	18100000	18200000	1296
182	18200000	18300000	542
183	18300000	18400000	740
184	18400000	18500000	662
185	18500000	18600000	1391
186	18600000	18700000	841
187	18700000	18800000	1158
188	18800000	18900000	1073
189	18900000	19000000	1196
190	19000000	19100000	1314
191	19100000	19200000	1455
192	19200000	19300000	1366
193	19300000	19400000	1340
194	19400000	19500000	1344
195	19500000	19600000	1372
196	19600000	19700000	1424
197	19700000	19800000	1340
198	19800000	19900000	1400
199	19900000	20000000	1346
200	20000000	20100000	1386
201	20100000	20200000	1396
202	20200000	20300000	1365
203	20300000	20400000	1387
204	20400000	20500000	1440
205	20500000	20600000	1264
206	20600000	20700000	1301
207	20700000	20800000	1380
208	20800000	20900000	1421
209	20900000	21000000	1333
210	21000000	21100000	1365
211	21100000	21200000	1325
212	21200000	21300000	1112
213	21300000	21400000	1326
214	21400000	21500000	1354
215	21500000	21600000	1382
216	21600000	21700000	1391
217	21700000	21800000	1349
218	21800000	21900000	1368
219	21900000	22000000	1356
220	22000000	22100000	1394
221	22100000	22200000	1329
222	22200000	22300000	1346
223	22300000	22400000	1284
224	22400000	22500000	849
225	22500000	22600000	716
226	22600000	22700000	1133
227	22700000	22800000	1359
228	22800000	22900000	1348
229	22900000	23000000	1393
230	23000000	23100000	1392
231	23100000	23200000	1340
232	23200000	23300000	1402
233	23300000	23400000	1074
234	23400000	23500000	777
235	23500000	23600000	1317
236	23600000	23700000	1342
237	23700000	23800000	1128
238	23800000	23900000	698
239	23900000	24000000	850
240	24000000	24100000	1344
241	24100000	24200000	1348
242	24200000	24300000	1379
243	24300000	24400000	1332
244	24400000	24500000	1416
245	24500000	24600000	1349
246	24600000	24700000	1435
247	24700000	24800000	1384
248	24800000	24900000	1367
249	24900000	25000000	1398
250	25000000	25100000	1396
251	25100000	25200000	1375
252	25200000	25300000	1401
253	25300000	25400000	1363
254	25400000	25500000	1387
255	25500000	25600000	1376
256	25600000	25700000	1359
257	25700000	25800000	1300
258	25800000	25900000	1374
259	25900000	26000000	1384
260	26000000	26100000	1341
261	26100000	26200000	1357
262	26200000	26300000	1379
263	26300000	26400000	1382
264	26400000	26500000	1352
265	26500000	26600000	1359
266	26600000	26700000	1399
267	26700000	26800000	1326
268	26800000	26900000	1336
269	26900000	27000000	1375
270	27000000	27100000	1329
271	27100000	27200000	1391
272	27200000	27300000	1426
273	27300000	27400000	1376
274	27400000	27500000	1393
275	27500000	27600000	1397
276	27600000	27700000	1386
277	27700000	27800000	1405
278	27800000	27900000	1400
279	27900000	28000000	1354
280	28000000	28100000	1319
281	28100000	28200000	1344
282	28200000	28300000	1357
283	28300000	28400000	1346
284	28400000	28500000	1361
285	28500000	28600000	1399
286	28600000	28700000	1268
287	28700000	28800000	1350
288	28800000	28900000	1401
289	28900000	29000000	1341
290	29000000	29100000	1349
291	29100000	29200000	1444
292	29200000	29300000	1401
293	29300000	29400000	1386
294	29400000	29500000	1430
295	29500000	29600000	1383
296	29600000	29700000	1333
297	29700000	29800000	1372
298	29800000	29900000	1358
299	29900000	30000000	1373
300	30000000	30100000	1355
301	30100000	30200000	1369
302	30200000	30300000	1405
303	30300000	30400000	1391
304	30400000	30500000	1318
305	30500000	30600000	1385
306	30600000	30700000	1413
307	30700000	30800000	1446
308	30800000	30900000	1409
309	30900000	31000000	1376
310	31000000	31100000	1369
311	31100000	31200000	1395
312	31200000	31300000	1358
313	31300000	31400000	1370
314	31400000	31500000	1369
315	31500000	31600000	1310
316	31600000	31700000	1305
317	31700000	31800000	1415
318	31800000	31900000	1367
319	31900000	32000000	1327
320	32000000	32100000	1328
321	32100000	32200000	1361
322	32200000	32300000	1381
323	32300000	32400000	1437
324	32400000	32500000	1336
325	32500000	32600000	1410
326	32600000	32700000	1346
327	32700000	32800000	1382
328	32800000	32900000	1337
329	32900000	33000000	1304
330	33000000	33100000	1403
331	33100000	33200000	1399
332	33200000	33300000	1352
333	33300000	33400000	1394
334	33400000	33500000	1354
335	33500000	33600000	1282
336	33600000	33700000	1441
337	33700000	33800000	1480
338	33800000	33900000	1412
339	33900000	34000000	1429
340	34000000	34100000	1347
341	34100000	34200000	1362
342	34200000	34300000	1479
343	34300000	34400000	1351
344	34400000	34500000	1453
345	34500000	34600000	1358
346	34600000	34700000	1353
347	34700000	34800000	1389
348	34800000	34900000	1391
349	34900000	35000000	1408
350	35000000	35100000	1358
351	35100000	35200000	1418
352	35200000	35300000	1339
353	35300000	35400000	1309
354	35400000	35500000	1408
355	35500000	35600000	1417
356	35600000	35700000	1247
357	35700000	35800000	749
358	35800000	35900000	680
359	35900000	36000000	1083
360	36000000	36100000	1815
361	36100000	36200000	1895
362	36200000	36300000	1857
363	36300000	36400000	1859
364	36400000	36500000	1367
365	36500000	36600000	1419
366	36600000	36700000	1345
367	36700000	36800000	1270
368	36800000	36900000	956
369	36900000	37000000	1431
370	37000000	37100000	1396
371	37100000	37200000	1437
372	37200000	37300000	1375
373	37300000	37400000	1387
374	37400000	37500000	1377
375	37500000	37600000	1346
376	37600000	37700000	1410
377	37700000	37800000	1391
378	37800000	37900000	1309
379	37900000	38000000	1423
380	38000000	38100000	1415
381	38100000	38200000	1328
382	38200000	38300000	1392
383	38300000	38400000	1347
384	38400000	38500000	1409
385	38500000	38600000	1341
386	38600000	38700000	1414
387	38700000	38800000	1415
388	38800000	38900000	1270
389	38900000	39000000	876
390	39000000	39100000	1226
391	39100000	39200000	1341
392	39200000	39300000	1349
393	39300000	39400000	1396
394	39400000	39500000	1322
395	39500000	39600000	1351
396	39600000	39700000	1384
397	39700000	39800000	1432
398	39800000	39900000	1333
399	39900000	40000000	1426
400	40000000	40100000	1371
401	40100000	40200000	1305
402	40200000	40300000	1345
403	40300000	40400000	1365
404	40400000	40500000	1376
405	40500000	40600000	1337
406	40600000	40700000	1370
407	40700000	40800000	1343
408	40800000	40900000	1400
409	40900000	41000000	1349
410	41000000	41100000	1365
411	41100000	41200000	1328
412	41200000	41300000	1354
413	41300000	41400000	1353
414	41400000	41500000	1366
415	41500000	41600000	1371
416	41600000	41700000	1363
417	41700000	41800000	1298
418	41800000	41900000	1368
419	41900000	42000000	1432
420	42000000	42100000	1156
421	42100000	42200000	529
422	42200000	42300000	927
423	42300000	42400000	1398
424	42400000	42500000	1377
425	42500000	42600000	1373
426	42600000	42700000	1368
427	42700000	42800000	1355
428	42800000	42900000	1382
429	42900000	43000000	1354
430	43000000	43100000	1337
431	43100000	43200000	1312
432	43200000	43300000	1369
433	43300000	43400000	1303
434	43400000	43500000	1350
435	43500000	43600000	1361
436	43600000	43700000	1384
437	43700000	43800000	1384
438	43800000	43900000	1382
439	43900000	44000000	1407
440	44000000	44100000	1312
441	44100000	44200000	1313
442	44200000	44300000	1348
443	44300000	44400000	1375
444	44400000	44500000	1318
445	44500000	44600000	1405
446	44600000	44700000	1314
447	44700000	44800000	1344
448	44800000	44900000	1356
449	44900000	45000000	1387
450	45000000	45100000	1399
451	45100000	45200000	1355
452	45200000	45300000	1410
453	45300000	45400000	1409
454	45400000	45500000	1411
455	45500000	45600000	1356
456	45600000	45700000	1444
457	45700000	45800000	1349
458	45800000	45900000	1407
459	45900000	46000000	1362
460	46000000	46100000	1382
461	46100000	46200000	1365
462	46200000	46300000	1429
463	46300000	46400000	1352
464	46400000	46500000	1340
465	46500000	46600000	1382
466	46600000	46700000	1408
467	46700000	46800000	1378
468	46800000	46900000	1322
469	46900000	47000000	1303
470	47000000	47100000	1378
471	47100000	47200000	1411
472	47200000	47300000	1437
473	47300000	47400000	1388
474	47400000	47500000	1355
475	47500000	47600000	1353
476	47600000	47700000	1382
477	47700000	47800000	1366
478	47800000	47900000	1407
479	47900000	48000000	1348
480	48000000	48100000	1396
481	48100000	48200000	1328
482	48200000	48300000	1367
483	48300000	48400000	1367
484	48400000	48500000	1409
485	48500000	48600000	1396
486	48600000	48700000	1343
487	48700000	48800000	1398
488	48800000	48900000	1360
489	48900000	49000000	1339
490	49000000	49100000	1313
491	49100000	49200000	1413
492	49200000	49300000	1417
493	49300000	49400000	1417
494	49400000	49500000	1417
495	49500000	49600000	1319
496	49600000	49700000	1378
497	49700000	49800000	1405
498	49800000	49900000	1379
499	49900000	50000000	1379
500	50000000	50100000	1342
501	50100000	50200000	1390
502	50200000	50300000	1311
503	50300000	50400000	1392
504	50400000	50500000	1357
505	50500000	50600000	1349
506	50600000	50700000	1353
507	50700000	50800000	1280
508	50800000	50818468	102
