chrom1	start1	end1	chrom2	start2	end2	cstart1	cstart2	c_label	c_size	count	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value	la_exp.donut.qval	la_exp.vertical.qval	la_exp.horizontal.qval	la_exp.lowleft.qval
chr12	76690000	76700000	chr12	76780000	76790000	76686666.66666666	76786666.66666666	717	3	162	79.89665070205318	89.5790417889599	85.35706452918835	78.55343866088633	6.753980867506828e-14	5.286310946600331e-07	5.277279555083417e-07	7.204048369818303e-14
chr12	76820000	76830000	chr12	76920000	76930000	76820000.0	76920000.0	718	1	125	44.91520616500946	75.9255594039375	43.59174949264392	42.922229967890416	2.5982020317950256e-16	7.25243390049356e-05	4.2098441953323996e-16	3.0583727707781767e-16
chr12	76855000	76860000	chr12	76925000	76930000	76845000.0	76925000.0	503	3	64	21.261491788214677	34.06549966648504	20.39365440585904	21.196625666202184	1.601042557750679e-08	0.007916929643925801	2.2849464741224917e-08	1.7285150164975314e-08
chr12	76870000	76880000	chr12	77000000	77010000	76866666.66666666	77003333.33333333	719	3	152	72.65368162488595	100.70925505095612	78.2506678479047	63.338047071066946	4.501800003242836e-11	3.6051890971800106e-05	5.829237095561821e-11	1.1300170817082028e-18
chr12	76945000	76950000	chr12	77010000	77015000	76938333.33333333	77011666.66666666	504	3	50	21.709631831141873	22.46622842563837	22.089200742795647	22.76009013533982	0.0006307148682560481	0.0007989653769529207	0.0007859167937021977	0.00062684994777725
chr12	77150000	77160000	chr12	77320000	77330000	77150000.0	77320000.0	722	1	130	58.54685243330182	61.79827179234978	71.01664085409391	55.04247784261732	2.300071270473255e-11	3.0740105403352807e-11	8.035102812168403e-06	2.417378377631425e-11
chr12	77150000	77160000	chr12	77370000	77380000	77150000.0	77375000.0	723	2	78	36.833810717960304	40.28693154983903	47.208621698026235	36.970181221768286	8.741065305679956e-06	1.23765792501039e-05	0.007559606751598692	8.663152610786755e-06
chr12	77150000	77160000	chr12	77680000	77690000	77150000.0	77675000.0	724	2	81	24.110696638756682	29.254169579331755	27.736888866063985	21.65891711910722	2.268854544798129e-15	2.1276792468133882e-10	2.031645344270039e-10	2.3926887449104537e-15
chr12	77725000	77730000	chr12	77925000	77930000	77722500.0	77923333.33333333	506	12	90	12.203176040116613	16.649523203791652	17.903479021109774	13.791573903158376	1.3746650980110132e-40	1.4492429218895143e-26	1.350760803541355e-26	2.006133754829213e-33
chr12	77990000	78000000	chr12	78580000	78590000	77995000.0	78570000.0	730	4	39	8.878794431607831	10.04975657715394	11.368765628035462	9.665828487412671	5.274709997137364e-08	8.178033896858714e-08	1.4280185841446731e-05	4.8214519053805625e-08
chr12	77995000	78000000	chr12	78115000	78120000	77999285.71428572	78118571.42857142	507	7	58	11.193530345168453	12.800365830695148	14.289157698387694	11.695245362839778	6.04047845219484e-17	9.372933246999455e-13	8.922156802725097e-13	8.132213174393025e-17
chr12	107670000	107680000	chr12	107880000	107890000	107673333.33333331	107883333.33333331	1026	3	148	49.598682611040545	73.56362984041117	56.146790667975594	54.870506709937096	5.795239216229087e-26	6.441378112317633e-10	4.342224800538978e-17	3.1731143283516906e-17
chr12	107690000	107695000	chr12	107755000	107760000	107687500.0	107755000.0	699	2	46	15.493685790746264	15.873229419293486	16.91957349290968	17.628080691139107	3.153051802014696e-07	5.011331471583001e-07	0.00010338390606731541	7.484754956361254e-05
chr12	107760000	107770000	chr12	107880000	107890000	107761818.1818182	107874545.45454544	1027	11	288	74.08629071209124	91.15328751664643	100.76011706341984	81.25252783709021	1.2093803417961787e-68	4.6237385438620535e-49	4.071861788905077e-49	3.443834844687574e-49
chr12	117675000	117680000	chr12	117835000	117840000	117673571.42857142	117842142.85714284	838	8	103	32.21243004890358	52.432930977196506	29.073039304160584	34.81477180104216	1.2969946999321727e-14	8.867502544010197e-05	1.0156248392760996e-20	1.5121579500510354e-14
chr12	127690000	127700000	chr12	128190000	128200000	127690000.0	128190000.0	1309	1	41	14.421867542881065	17.250981764441697	12.746447359803307	18.608425880412824	0.0001338426732173512	0.008590424378508136	0.00019669609446116976	0.004981012767561957
chr12	127700000	127710000	chr12	127920000	127930000	127694000.0	127922000.0	1307	5	95	31.18333739569912	35.834433708470314	39.722660484086674	33.885649737031606	1.5490114709716554e-16	6.373128086867977e-11	6.419280063137789e-11	4.2017784283121326e-11
chr12	127710000	127720000	chr12	128070000	128080000	127702500.0	128062500.0	1308	4	72	29.66402106437825	42.04064881300287	32.154197540288074	34.45686672957757	2.1545957624614788e-07	0.06222747198135839	0.000358922328925242	0.00026315308067903113
chr12	127770000	127780000	chr12	127920000	127930000	127775000.0	127920000.0	1311	2	111	50.37307529575303	56.31168987053445	58.263854359228404	46.598646072486666	2.5004051518468808e-11	3.0768096128823395e-06	3.2073147703853557e-06	2.7304248311322625e-11
chr12	127780000	127790000	chr12	128060000	128070000	127780000.0	128060000.0	1312	1	80	33.3961619509389	45.33438467155933	32.01537551956549	30.048471414508423	2.462448208930485e-06	0.0034065196043933164	3.390178015252889e-06	3.0284509171534495e-10
