offset_start	offset_end	signal_count	control_count	signal_per_million_peak_reads	control_per_million_peak_reads	signal_over_control
-600	-500	102098	16344	0.17541826204635497	0.04650005877119639	3.7724309749693177
-500	-400	103218	16184	0.17734257450587346	0.04604484527368101	3.851518523990818
-400	-300	106537	16525	0.1830450683033215	0.04701501904026067	3.8933317914127263
-300	-200	107546	16280	0.1847786676530127	0.046317973372190235	3.9893513079299714
-200	-100	128344	16596	0.22051246277182102	0.04721702002978312	4.67019016940773
-100	0	138888	15716	0.23862849006928782	0.04471334579344851	5.33685157831003
0	100	140489	15744	0.24137922600472453	0.0447930081555137	5.3887701662432885
100	200	130475	16399	0.22417381085327984	0.0466565384109673	4.80476731639792
200	300	108059	16278	0.18566007148491717	0.04631228320347129	4.008873211221882
300	400	107062	16477	0.1839470897687208	0.046878454991006055	3.9239153637638498
400	500	103171	16127	0.17726182210801866	0.045882675465191154	3.863371529903442
500	600	102517	16514	0.17613816108254984	0.04698372311230648	3.748918761961924
600	700	100591	16467	0.17282903090662788	0.04685000414741134	3.688986459058348
700	800	98835	16667	0.16981198387188284	0.04741902101930557	3.581094257571192
800	900	97180	16672	0.16696846858571937	0.04743324644110292	3.520072546437262
900	1000	94019	16511	0.16153744029595338	0.04697518785922807	3.438782209451453
1000	1100	91670	16340	0.1575015385393383	0.04648867843375851	3.387954741792918
1100	1200	90669	16526	0.15578168427864364	0.04701786412462014	3.3132445971119964
1200	1300	89143	16301	0.1531598085525497	0.04637772014373913	3.3024436750633566
1300	1400	87707	16663	0.1506925650776671	0.04740764068186769	3.17865565360867
1400	1500	85525	16349	0.1469435920538552	0.04651428419299374	3.159106812095987
1500	1600	84643	16526	0.14542819599198442	0.04701786412462014	3.0930413088635667
1600	1700	82777	16376	0.14222215398353666	0.04659110147069947	3.052560456699619
1700	1800	80898	16413	0.1389937762054695	0.0466963695919999	2.9765435176203106
1800	1900	80233	16372	0.1378512156826304	0.04657972113326158	2.9594684624291108
1900	2000	79095	16511	0.13589597677286966	0.04697518785922807	2.8929309911460734
2000	2100	78145	16435	0.1342637474545281	0.04675896144790826	2.8714014019345657
2100	2200	76767	16460	0.13189615587487055	0.04683008855689504	2.8164831615602566
2200	2300	75767	16204	0.13017801975030047	0.04610174696087043	2.823711211221368
2300	2400	75423	16335	0.12958698092344836	0.046474453011961146	2.7883487061181014
2400	2500	74475	16314	0.12795818787735594	0.04641470624041225	2.7568457982816144
2500	2600	73426	16363	0.12615586308268192	0.046554115374026345	2.709875637612637
2600	2700	72596	16114	0.12472981009928878	0.045845689368518024	2.7206442266945174
2700	2800	71509	16306	0.12286219613188111	0.04639194556553649	2.648351877338652
2800	2900	72113	16170	0.12389995035112143	0.046005014092648414	2.6931836191073053
2900	3000	71142	16149	0.1222316401741639	0.04594526732109951	2.6603749918336264
3000	3100	70857	16272	0.12174197137866143	0.046295212697314465	2.629688131570536
3100	3200	69709	16420	0.11976955110765498	0.0467162851825162	2.563764448301624
3200	3300	69708	16246	0.11976783297153042	0.04622124050396822	2.5911860362390757
3300	3400	68852	16255	0.11829710844889844	0.04624684626320346	2.557949741602643
3400	3500	68893	16397	0.1183675520300058	0.04665084824224836	2.5373076051124985
3500	3600	67989	16189	0.11681435697339447	0.04605907069547836	2.536185711294913
3600	3700	67881	16084	0.1166287982719409	0.045760336837733895	2.548687495144682
3700	3800	67883	16093	0.11663223454419004	0.04578594259696913	2.547337194100066
3800	3900	67486	16219	0.11595013450273572	0.0461444232262625	2.5127659291392814
3900	4000	67184	16242	0.11543125739311556	0.04620986016653033	2.497978937333424
4000	4100	67567	16271	0.1160893035288259	0.04629236761295499	2.5077417620855953
4100	4200	66791	16060	0.11475602989615952	0.045692054813106585	2.5115095034693473
4200	4300	66646	16146	0.11450690015809686	0.045936732068021104	2.4927088846577083
4300	4400	66096	16142	0.11356192528958332	0.045925351730583215	2.472750256890437
4400	4500	65463	16139	0.11247434512273047	0.045916816477504806	2.449524025208346
4500	4600	65489	16161	0.1125190166619693	0.04597940833341317	2.447161038829677
4600	4700	65117	16058	0.11187987002362923	0.04568636464438764	2.4488678601258145
4700	4800	64621	16180	0.11102767450584247	0.04603346493624312	2.411890450992926
4800	4900	65087	16031	0.11182832593989213	0.04560954736668192	2.4518622173738884
4900	5000	64015	16217	0.10998648401435301	0.046138733057543554	2.3838210701880236
#summary_abs_0_500_-500_500	signal_count=1173789;control_count=162326;signal_rate=2.0167292835229773e-06;control_rate=4.6183116373551305e-07;ratio=4.3668107349246394
#summary_abs_0_1000_-1000_1000	signal_count=2157914;control_count=327070;signal_rate=3.7075899971154975e-06;control_rate=9.305417414522273e-07;ratio=3.9843349652744617
#summary_abs_0_2000_-2000_2000	signal_count=3864427;control_count=656204;signal_rate=6.639611629463941e-06;control_rate=1.866955737022403e-06;ratio=3.5563840629952046
#summary_abs_0_5000_-5000_5000	signal_count=8045952;control_count=1631103;signal_rate=1.3824040787756802e-05;control_rate=4.640625633986462e-06;ratio=2.978917473220407
#summary_flank_2_5kb_-5000_-2000	signal_count=2096828;control_count=488227;signal_rate=3.6026359338100102e-06;control_rate=1.3890470015715186e-06;ratio=2.593602613687021
#summary_flank_2_5kb_2000_5000	signal_count=2084697;control_count=486672;signal_rate=3.5817932244828504e-06;control_rate=1.3846228953925409e-06;ratio=2.58683662996011
#peaks	12993
#signal_total_canonical_reads	44795356
#control_total_canonical_reads	27051753
#signal_reads_in_summit_windows	8045952
#control_reads_in_summit_windows	1631103
#signal_malformed	0
#control_malformed	0
