sample	top_taxonomy_name	distance	pvalue	matching	full_taxonomy	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_species subgroup	taxonomic_subfamily	taxonomic_species group
FASTQ to FASTA on dataset 26	Euryarchaeota archaeon SCGC AAA286-E23	0.262949	8.03444e-06	3/400	Archaea; Euryarchaeota; unclassified; (miscellaneous); Euryarchaeota archaeon SCGC AAA286-E23	Euryarchaeota archaeon SCGC AAA286-E23					Euryarchaeota	Archaea				PRJNA224116	SAMN02441439	1298898	GCF_000484915.1	./rcn/refseq-NZ-1298898-PRJNA224116-SAMN02441439-GCF_000484915.1-.-Euryarchaeota_archaeon_SCGC_AAA286_E23.fna			
FASTQ to FASTA on dataset 26	Imhoffiella purpurea	0.262949	0.00024865099999999996	3/400	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Imhoffiella; purpurea	Imhoffiella purpurea	Imhoffiella	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN02951921	1249627	GCF_000585215.1	./rcn/refseq-NZ-1249627-PRJNA224116-SAMN02951921-GCF_000585215.1-.-Thiorhodococcus_sp._AK35.fna			
FASTQ to FASTA on dataset 26	Vibrio campbellii	0.262949	0.000285606	3/400	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; harveyi group; Vibrio campbellii	Vibrio campbellii	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMD00019132	680	GCF_000818235.1	./rcn/refseq-NZ-680-PRJNA224116-SAMD00019132-GCF_000818235.1-.-Vibrio_campbellii.fna			Vibrio harveyi group
FASTQ to FASTA on dataset 26	candidate division SR1 bacterium MGEHA	0.262949	3.92592e-05	3/400	Bacteria; unclassified; Bacteria candidate phyla; candidate division SR1; bacterium MGEHA	candidate division SR1 bacterium MGEHA						Bacteria				PRJNA224116	SAMN02470745	1293577	NZ_AOTF	./rcn/refseq-NZ-1293577-PRJNA224116-SAMN02470745-NZ_AOTF-.-candidate_division_SR1_bacterium_MGEHA.fna			
FASTQ to FASTA on dataset 26	Alcanivorax sp. DG881	0.262949	0.00020571900000000001	3/400	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; sp. DG881	Alcanivorax sp. DG881	Alcanivorax	Alcanivoracaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN02436178	236097	GCF_000155615.1	./rcn/refseq-NZ-236097-PRJNA224116-SAMN02436178-GCF_000155615.1-.-Alcanivorax_sp._DG881.fna			
FASTQ to FASTA on dataset 26	Pseudomonas syringae CC1629	0.262949	0.000290661	3/400	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; syringae group; genomosp. 1; Pseudomonas syringae; CC1629	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN02471553	1357282	NZ_AVEE	./rcn/refseq-NZ-1357282-PRJNA224116-SAMN02471553-NZ_AVEE-.-Pseudomonas_syringae_CC1629.fna	Pseudomonas syringae group genomosp. 1		Pseudomonas syringae group
FASTQ to FASTA on dataset 26	Syntrophobotulus glycolicus DSM 8271	0.262949	0.000185308	3/400	Bacteria; Terrabacteria group; Firmicutes; Clostridia; les; Peptococcaceae; Syntrophobotulus; glycolicus; DSM 8271	Syntrophobotulus glycolicus	Syntrophobotulus	Peptococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria				PRJNA224116	SAMN00216969	645991	GCF_000190635.1	./rcn/refseq-NC-645991-PRJNA224116-SAMN00216969-GCF_000190635.1-.-Syntrophobotulus_glycolicus_DSM_8271.fna			
FASTQ to FASTA on dataset 26	Rhizobium leguminosarum bv. trifolii TA1	0.262949	0.00035907	3/400	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; leguminosarum; bv. trifolii; TA1	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN02441074	754521	GCF_000430465.1	./rcn/refseq-NZ-754521-PRJNA224116-SAMN02441074-GCF_000430465.1-.-Rhizobium_leguminosarum_bv._trifolii_TA1.fna			
FASTQ to FASTA on dataset 26	Streptomyces sp. FxanaD5	0.262949	0.000336427	3/400	Bacteria; Terrabacteria group; Actinobacteria; ; Streptomycetales; Streptomycetaceae; Streptomyces; sp. FxanaD5	Streptomyces sp. FxanaD5	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria				PRJNA224116	SAMN02441716	1157639	GCF_000373465.1	./rcn/refseq-NZ-1157639-PRJNA224116-SAMN02441716-GCF_000373465.1-.-Streptomyces_sp._FxanaD5.fna			
FASTQ to FASTA on dataset 26	Rhizobium leguminosarum bv. viciae Ps8	0.262949	0.000335634	3/400	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium; leguminosarum; bv. viciae; Ps8	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria				PRJNA199068	SAMN02441058	1079454	NZ_AQWI	./rcn/refseq-NZ-1079454-PRJNA199068-SAMN02441058-NZ_AQWI-.-Rhizobium_leguminosarum_bv._viciae_Ps8.fna			
