rows	295420
columns	9
column	total	nonzero	frac_nonzero	mean_log1p
AIIamacrine	11836803	279885	0.94741385	2.80484431
Astrocyte	7530916	270142	0.91443369	2.19724193
Cone	48403523	282518	0.95632659	3.79191284
GABAamacrine	37015795	282551	0.95643829	3.98540043
Horizontal	31640818	282550	0.95643491	3.71856326
Microglia	8155368	276957	0.93750254	2.39474441
Mullerglia	94395242	282832	0.95738948	4.39494720
Retinalganglioncell	21014655	282266	0.95547356	3.51066569
Rod	413545691	283153	0.95847607	5.48541100

pair	pearson_raw	pearson_log1p
Microglia,Rod	pearson_raw=0.91360296	pearson_log1p=0.84290601
Cone,Microglia	pearson_raw=0.89753449	pearson_log1p=0.84015508
AIIamacrine,Retinalganglioncell	pearson_raw=0.88292488	pearson_log1p=0.83983403
GABAamacrine,Rod	pearson_raw=0.83378018	pearson_log1p=0.83812055
Cone,GABAamacrine	pearson_raw=0.84458563	pearson_log1p=0.83235959
Horizontal,Microglia	pearson_raw=0.88890914	pearson_log1p=0.82998149
Retinalganglioncell,Rod	pearson_raw=0.79139346	pearson_log1p=0.82487594
AIIamacrine,Microglia	pearson_raw=0.89883529	pearson_log1p=0.82249895
Cone,Retinalganglioncell	pearson_raw=0.80843616	pearson_log1p=0.81966132
AIIamacrine,Cone	pearson_raw=0.84156903	pearson_log1p=0.81235298
GABAamacrine,Microglia	pearson_raw=0.89430312	pearson_log1p=0.80794834
AIIamacrine,Rod	pearson_raw=0.83671741	pearson_log1p=0.80467354
Astrocyte,Cone	pearson_raw=0.85001933	pearson_log1p=0.79981803
AIIamacrine,Astrocyte	pearson_raw=0.87721353	pearson_log1p=0.79788506
Microglia,Retinalganglioncell	pearson_raw=0.85190046	pearson_log1p=0.79495769
Astrocyte,Rod	pearson_raw=0.85467779	pearson_log1p=0.79140300
Astrocyte,Horizontal	pearson_raw=0.85735603	pearson_log1p=0.78576611
Astrocyte,GABAamacrine	pearson_raw=0.86944060	pearson_log1p=0.77554724
Astrocyte,Retinalganglioncell	pearson_raw=0.83770474	pearson_log1p=0.76873246

chromosome_totals
chrom	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
chr1	1134467	734704	4689774	3365329	3003834	782799	9210369	1914980	41133286
chr10	567898	365475	2202111	1784160	1487918	383176	4432717	1018306	18791000
chr11	639683	424168	2653384	2043095	1646351	447640	5392032	1145912	23396172
chr12	582696	356822	2401335	1898247	1614490	405390	4532357	1022445	20539478
chr13	278606	169184	1112361	918948	757055	175735	1971484	556412	8388880
chr14	409158	258673	1763909	1231360	1044709	276518	3257328	707385	15448168
chr15	392115	245812	1658352	1168629	1054223	265426	3060243	692952	14117815
chr16	446024	307807	1942277	1397726	1210557	330226	3910968	762305	17136877
chr17	596339	443715	2763635	1811723	1693564	478028	5647764	985316	25847414
chr18	254230	142381	1019240	829551	665785	157137	1818985	481880	7341499
chr19	588217	405004	2572022	1725077	1603884	479534	5498439	838154	27796883
chr2	879187	553784	3374426	2754812	2348006	586524	6794944	1612580	28081420
chr20	339035	206346	1352181	1039924	902039	229594	2607424	575411	11494993
chr21	134107	81195	492692	441657	368375	96945	1089517	259474	4338756
chr22	256932	185512	1050499	809925	701244	192847	2301661	438470	9890813
chr3	700596	444006	2943941	2269858	1888850	472150	5418456	1314488	23163900
chr4	515811	312735	2078998	1741501	1325206	338268	3943025	1009632	17005865
chr5	612699	373690	2483311	1936464	1677189	390339	4571729	1150297	19808036
chr6	651183	384615	2396431	1971358	1616707	424007	4770487	1133763	18923627
chr7	645032	353627	2377630	1914182	1658338	397051	4472578	1097604	19695663
chr8	486062	294467	2048753	1611453	1393624	330257	3633792	981802	15919625
chr9	486595	344998	2061179	1542559	1316744	347211	4258661	894263	17121960
chrX	240131	142196	965082	808257	662126	168566	1800282	420824	8163561
