sample	exact_phase3_membership	normalized_1000g_sample	normalized_phase3_membership	experiment	bam_accession	md5sum	dataset	filtered_bam_alias
GM18861	0	NA18861	1	ENCSR628PLS	ENCFF419NNO	e21b43e2f908796c2f99d70431041424	/experiments/ENCSR628PLS/	encode-processing-pipeline:48db0a5f-3907-4283-8443-972a00d8d00c-encode-processing-caper_out_v01_21-atac-48db0a5f-3907-4283-8443-972a00d8d00c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF438MGD.trim.srt.nodup.no_chrM_MT.bam
GM18867	0	NA18867	1	ENCSR492FJO	ENCFF500EBK	109938df3e43584eb79c541abb7b668c	/experiments/ENCSR492FJO/	encode-processing-pipeline:e9553a41-73ea-4a66-9ab2-5683701c17d0-encode-processing-caper_out_v01_21-atac-e9553a41-73ea-4a66-9ab2-5683701c17d0-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF192ONT.trim.srt.nodup.no_chrM_MT.bam
GM18868	0	NA18868	1	ENCSR580JBA	ENCFF138ZQZ	bcb8429eec182ef72fdd817adf931875	/experiments/ENCSR580JBA/	encode-processing-pipeline:89c99f3f-f42f-494b-b50e-e3323cabd2e2-encode-processing-caper_out_v01_21-atac-89c99f3f-f42f-494b-b50e-e3323cabd2e2-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF497XOU.trim.srt.nodup.no_chrM_MT.bam
GM18870	0	NA18870	1	ENCSR684KUG	ENCFF475WIM	f63172bd240ef0e01f5df9a350daac18	/experiments/ENCSR684KUG/	encode-processing-pipeline:914bea56-a902-4b90-995f-7c63188eb876-encode-processing-caper_out_v01_21-atac-914bea56-a902-4b90-995f-7c63188eb876-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF839LGB.trim.srt.nodup.no_chrM_MT.bam
GM18873	0	NA18873	1	ENCSR304ZDQ	ENCFF589DFL	448d37aff0a92a77e7650a9463f9e2fb	/experiments/ENCSR304ZDQ/	encode-processing-pipeline:73e67236-878a-490b-a8b9-b223e05fa033-encode-processing-caper_out_v01_21-atac-73e67236-878a-490b-a8b9-b223e05fa033-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF697GRX.trim.srt.nodup.no_chrM_MT.bam
GM18907	0	NA18907	1	ENCSR487QSB	ENCFF292BTS	8774f9c6fb0ce5b7431659317b725269	/experiments/ENCSR487QSB/	encode-processing-pipeline:de3eea07-a05c-46d6-907e-dace6a774966-encode-processing-caper_out_atac-atac-de3eea07-a05c-46d6-907e-dace6a774966-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF147DLJ.trim.srt.nodup.no_chrM_MT.bam
GM18909	0	NA18909	1	ENCSR917WJS	ENCFF572IWC	ea9fa1b8e95dcf7be3543af93120e557	/experiments/ENCSR917WJS/	encode-processing-pipeline:c9d1214b-bac8-4501-ad22-c6da05a7af25-encode-processing-caper_out_v01_21-atac-c9d1214b-bac8-4501-ad22-c6da05a7af25-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF344YVS.trim.srt.nodup.no_chrM_MT.bam
GM19023	0	NA19023	1	ENCSR512FHU	ENCFF949CVL	63a27c8571cb80395f11fec5709b976f	/experiments/ENCSR512FHU/	encode-processing-pipeline:d4a442c9-bc5e-4c06-a7ae-1caabf684fd3-encode-processing-caper_out_v01_21-atac-d4a442c9-bc5e-4c06-a7ae-1caabf684fd3-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF432KFP.trim.srt.nodup.no_chrM_MT.bam
GM19025	0	NA19025	1	ENCSR419UYY	ENCFF462RHM	623a2a1a2cdb41565b8f2e3d81501acf	/experiments/ENCSR419UYY/	encode-processing-pipeline:d4831668-d989-4e8e-8c23-0ac5ab87937d-encode-processing-caper_out_v01_21-atac-d4831668-d989-4e8e-8c23-0ac5ab87937d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF507JJS.trim.srt.nodup.no_chrM_MT.bam
GM19035	0	NA19035	1	ENCSR637MUF	ENCFF237APZ	42a4544e66bb7b7fab851d4b9d8c4ec7	/experiments/ENCSR637MUF/	encode-processing-pipeline:fd5291bf-cf3f-4c5d-a0bc-374c4681eb0a-encode-processing-caper_out_v01_21-atac-fd5291bf-cf3f-4c5d-a0bc-374c4681eb0a-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF428UDM.trim.srt.nodup.no_chrM_MT.bam
GM19043	0	NA19043	1	ENCSR409YCK	ENCFF795UPB	e819bcc97f4366407fc09e7dbae5dcc3	/experiments/ENCSR409YCK/	encode-processing-pipeline:beb7870d-fbdb-48ed-b2a4-5745fc3891d2-encode-processing-caper_out_v01_21-atac-beb7870d-fbdb-48ed-b2a4-5745fc3891d2-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF423UPH.trim.srt.nodup.no_chrM_MT.bam
GM19324	0	NA19324	1	ENCSR425WQW	ENCFF668HHR	ac2262710ccb04a22855dd7b1a1be7bf	/experiments/ENCSR425WQW/	encode-processing-pipeline:cb6cb844-ff3e-44af-a8af-65fe3ddc84ae-encode-processing-caper_out_v01_21-atac-cb6cb844-ff3e-44af-a8af-65fe3ddc84ae-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF794LFB.trim.srt.nodup.no_chrM_MT.bam
GM19328	0	NA19328	1	ENCSR383RDZ	ENCFF413LGS	a361413efd00cc5ab5b923aa36c9a046	/experiments/ENCSR383RDZ/	encode-processing-pipeline:74a6821b-afbc-4557-92aa-731b0840394c-encode-processing-caper_out_v01_21-atac-74a6821b-afbc-4557-92aa-731b0840394c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF747KDF.trim.srt.nodup.no_chrM_MT.bam
GM19351	0	NA19351	1	ENCSR231BZU	ENCFF342KIA	04124dcb69f15d6653a433194c78db2b	/experiments/ENCSR231BZU/	encode-processing-pipeline:767aa189-4bdd-47ff-b70e-e5ee10158970-encode-processing-caper_out_v01_21-atac-767aa189-4bdd-47ff-b70e-e5ee10158970-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF577NJG.trim.srt.nodup.no_chrM_MT.bam
GM19372	0	NA19372	1	ENCSR335JVB	ENCFF301DFZ	67325ceba10b19f26573823859d5bd93	/experiments/ENCSR335JVB/	encode-processing-pipeline:ef8d1e00-2052-4d84-b5ef-fa80c0bcc74d-encode-processing-caper_out_v01_21-atac-ef8d1e00-2052-4d84-b5ef-fa80c0bcc74d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF951LZK.trim.srt.nodup.no_chrM_MT.bam
GM19395	0	NA19395	1	ENCSR372IGW	ENCFF668FJU	ff6a5b50ee18e209238a714caee6897d	/experiments/ENCSR372IGW/	encode-processing-pipeline:4d39ac00-b78a-4054-ab03-ddcf1b6576f3-encode-processing-caper_out_v01_21-atac-4d39ac00-b78a-4054-ab03-ddcf1b6576f3-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF833UQC.trim.srt.nodup.no_chrM_MT.bam
GM19397	0	NA19397	1	ENCSR839IAD	ENCFF593SBD	1da56b9d2456ce4625b67836980a9e31	/experiments/ENCSR839IAD/	encode-processing-pipeline:9fd93e50-0712-40a3-a315-284d9e494596-encode-processing-caper_out_atac-atac-9fd93e50-0712-40a3-a315-284d9e494596-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF294TSO.trim.srt.nodup.no_chrM_MT.bam
GM19438	0	NA19438	1	ENCSR134OSR	ENCFF183OZW	ce56cc29b385fe189ae5dfd75594bdd0	/experiments/ENCSR134OSR/	encode-processing-pipeline:96ba482e-d958-4716-a8c7-d26c295def11-encode-processing-caper_out_v01_21-atac-96ba482e-d958-4716-a8c7-d26c295def11-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF772VHE.trim.srt.nodup.no_chrM_MT.bam
GM19452	0	NA19452	1	ENCSR454UTH	ENCFF955TYL	904317b255b6288158ade0fca5c7eafa	/experiments/ENCSR454UTH/	encode-processing-pipeline:63b6cba2-7612-4aec-b177-5f2d76c307da-encode-processing-caper_out_v01_21-atac-63b6cba2-7612-4aec-b177-5f2d76c307da-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF518LZP.trim.srt.nodup.no_chrM_MT.bam
GM19455	0	NA19455	1	ENCSR706GDQ	ENCFF772BMP	390fdb6ec2ff732c411fd470d4bd0c3b	/experiments/ENCSR706GDQ/	encode-processing-pipeline:5156360a-ec1b-4f19-9161-8c2b5645159c-encode-processing-caper_out_v01_21-atac-5156360a-ec1b-4f19-9161-8c2b5645159c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF995LIP.trim.srt.nodup.no_chrM_MT.bam
GM19463	0	NA19463	1	ENCSR712ZRY	ENCFF575DFU	cb27f91a6d81f8426f74b67ee5df09f0	/experiments/ENCSR712ZRY/	encode-processing-pipeline:90989a80-b3cb-4398-bfd0-329e06133033-encode-processing-caper_out_atac-atac-90989a80-b3cb-4398-bfd0-329e06133033-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF163TJL.trim.srt.nodup.no_chrM_MT.bam
GM19467	0	NA19467	1	ENCSR635CAC	ENCFF152BRZ	d2e0bd5f7cfefcab0e800ae8a0532e08	/experiments/ENCSR635CAC/	encode-processing-pipeline:c5636712-b3e3-4da2-8464-c4712273315c-encode-processing-caper_out_v01_21-atac-c5636712-b3e3-4da2-8464-c4712273315c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF052RQB.trim.srt.nodup.no_chrM_MT.bam
GM19468	0	NA19468	1	ENCSR635AIF	ENCFF362ACE	f69468f5afd408a0aab79c25723464f1	/experiments/ENCSR635AIF/	encode-processing-pipeline:9df93fee-e387-4327-9d07-6aa3bca11dde-encode-processing-caper_out_v01_21-atac-9df93fee-e387-4327-9d07-6aa3bca11dde-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF221QLG.trim.srt.nodup.no_chrM_MT.bam
GM21360	0	NA21360	0	ENCSR105SCQ	ENCFF991ZNJ	f9a565162e80b1074dc90b6b45a3e73b	/experiments/ENCSR105SCQ/	encode-processing-pipeline:ef548536-a8fc-4b8e-9382-f74dce074ccf-encode-processing-caper_out_atac-atac-ef548536-a8fc-4b8e-9382-f74dce074ccf-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF170YQL.trim.srt.nodup.no_chrM_MT.bam
GM21367	0	NA21367	0	ENCSR509JPT	ENCFF476FIQ	2c38fb9fc087b5e81c8506105a96e0b8	/experiments/ENCSR509JPT/	encode-processing-pipeline:83b2e091-cadf-4c00-bbfd-8a85a73cd92c-encode-processing-caper_out_v01_21-atac-83b2e091-cadf-4c00-bbfd-8a85a73cd92c-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF245XGH.trim.srt.nodup.no_chrM_MT.bam
GM21381	0	NA21381	0	ENCSR512YXO	ENCFF717IQY	e1b9fae15f7e5383bb0751d129cd1c64	/experiments/ENCSR512YXO/	encode-processing-pipeline:2f083c02-ed33-4e17-8e58-4a114b87d9b5-encode-processing-caper_out_v01_21-atac-2f083c02-ed33-4e17-8e58-4a114b87d9b5-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF183QIR.trim.srt.nodup.no_chrM_MT.bam
GM21390	0	NA21390	0	ENCSR024WOD	ENCFF373DIW	349b4f96679fce3236912d5141b54fa5	/experiments/ENCSR024WOD/	encode-processing-pipeline:56ae82d5-26a9-4f05-8827-c89077d83c76-encode-processing-caper_out_v01_21-atac-56ae82d5-26a9-4f05-8827-c89077d83c76-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF864DDF.trim.srt.nodup.no_chrM_MT.bam
GM21423	0	NA21423	0	ENCSR902CFR	ENCFF751SRZ	67a3b5b9c6616e69c93c8ce4be67abd7	/experiments/ENCSR902CFR/	encode-processing-pipeline:a4cb3603-6d97-41ad-931a-82e405224762-encode-processing-caper_out_v01_21-atac-a4cb3603-6d97-41ad-931a-82e405224762-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF490QEI.trim.srt.nodup.no_chrM_MT.bam
GM21447	0	NA21447	0	ENCSR424KQH	ENCFF759FWM	331663197b81b92e0e10010c2611e23b	/experiments/ENCSR424KQH/	encode-processing-pipeline:e3f8ba63-fa01-4553-97c8-c5703d2fa570-encode-processing-caper_out_v01_21-atac-e3f8ba63-fa01-4553-97c8-c5703d2fa570-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF342YJW.trim.srt.nodup.no_chrM_MT.bam
GM21515	0	NA21515	0	ENCSR960KGO	ENCFF797EAL	a47d0caf3fd8091ea9d0cd34af6b64f5	/experiments/ENCSR960KGO/	encode-processing-pipeline:e6884733-3f57-423f-91ec-4f8369f6f8e8-encode-processing-caper_out_v01_21-atac-e6884733-3f57-423f-91ec-4f8369f6f8e8-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF539RPL.trim.srt.nodup.no_chrM_MT.bam
GM21526	0	NA21526	0	ENCSR408IVU	ENCFF090VTK	e850c01d72e45d5028eca3f2e79e0719	/experiments/ENCSR408IVU/	encode-processing-pipeline:3aa1415b-82b2-4b69-8777-273d9fdd9a79-encode-processing-caper_out_v01_21-atac-3aa1415b-82b2-4b69-8777-273d9fdd9a79-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF699COI.trim.srt.nodup.no_chrM_MT.bam
GM21528	0	NA21528	0	ENCSR939EVW	ENCFF088VJQ	8a0ecbd445049e734463f77a580e2753	/experiments/ENCSR939EVW/	encode-processing-pipeline:5a2deb5c-ff9c-4110-bb39-d007ff2cf426-encode-processing-caper_out_v01_21-atac-5a2deb5c-ff9c-4110-bb39-d007ff2cf426-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF721AOI.trim.srt.nodup.no_chrM_MT.bam
GM21529	0	NA21529	0	ENCSR954BDA	ENCFF403LDD	5e5fd85b57e4c94c3119f4624e942a17	/experiments/ENCSR954BDA/	encode-processing-pipeline:50b83a4d-267a-45ec-b823-7fefc7ab40d1-encode-processing-caper_out_v01_21-atac-50b83a4d-267a-45ec-b823-7fefc7ab40d1-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF227WUE.trim.srt.nodup.no_chrM_MT.bam
GM21576	0	NA21576	0	ENCSR122NDR	ENCFF557GPJ	42ae55e4d7ee07ff61476592312b6718	/experiments/ENCSR122NDR/	encode-processing-pipeline:107b7f46-7c53-41ce-8c86-e502e989ce5b-encode-processing-caper_out_v01_21-atac-107b7f46-7c53-41ce-8c86-e502e989ce5b-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF247LAB.trim.srt.nodup.no_chrM_MT.bam
GM21619	0	NA21619	0	ENCSR214EIV	ENCFF218LEA	12469850e4f7b5e97e1f1ace4438ac16	/experiments/ENCSR214EIV/	encode-processing-pipeline:b346928f-13c6-47f8-a20b-5dd97c6408b5-encode-processing-caper_out_v01_21-atac-b346928f-13c6-47f8-a20b-5dd97c6408b5-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF318KED.trim.srt.nodup.no_chrM_MT.bam
GM21717	0	NA21717	0	ENCSR422RPD	ENCFF496QAW	391ea0bc74c8f4b5cfb7025b235015e8	/experiments/ENCSR422RPD/	encode-processing-pipeline:c348f384-17d5-4f37-9849-3e4fb2f309a9-encode-processing-caper_out_v01_21-atac-c348f384-17d5-4f37-9849-3e4fb2f309a9-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF982HMD.trim.srt.nodup.no_chrM_MT.bam
GM21723	0	NA21723	0	ENCSR233HSC	ENCFF443RUI	3f9999d6fb1ffdf8138583624ac224c0	/experiments/ENCSR233HSC/	encode-processing-pipeline:c9a498d6-c463-4a31-ae6f-7929d896fc61-encode-processing-caper_out_v01_21-atac-c9a498d6-c463-4a31-ae6f-7929d896fc61-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF147NDK.trim.srt.nodup.no_chrM_MT.bam
GM21737	0	NA21737	0	ENCSR315QWI	ENCFF687END	b6b300599a8cdb317ebbd757ab200746	/experiments/ENCSR315QWI/	encode-processing-pipeline:37ba082c-046e-4b44-ad18-7229e3fd7c8a-encode-processing-caper_out_v01_21-atac-37ba082c-046e-4b44-ad18-7229e3fd7c8a-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF800ALS.trim.srt.nodup.no_chrM_MT.bam
GM21786	0	NA21786	0	ENCSR275LCF	ENCFF621AYF	38e18e350e19fcdb282a7cf59354b1e3	/experiments/ENCSR275LCF/	encode-processing-pipeline:54bb69e4-8c72-4ad3-9369-79b0b6ad7429-encode-processing-caper_out_v01_21-atac-54bb69e4-8c72-4ad3-9369-79b0b6ad7429-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF548FTU.trim.srt.nodup.no_chrM_MT.bam
GM21825	0	NA21825	0	ENCSR641KNU	ENCFF512LHW	4b22fcbf436fbb69419bfbf2388d0392	/experiments/ENCSR641KNU/	encode-processing-pipeline:0775862a-6a7a-4250-8aca-45498a235ecd-encode-processing-caper_out_v01_21-atac-0775862a-6a7a-4250-8aca-45498a235ecd-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF791QRI.trim.srt.nodup.no_chrM_MT.bam
HG02571	1	HG02571	1	ENCSR400ISH	ENCFF030ITR	d709c0152e841bea79d68951b47df427	/experiments/ENCSR400ISH/	encode-processing-pipeline:4b155158-aed5-4a8f-a16a-0982c626c521-encode-processing-caper_out_v01_21-atac-4b155158-aed5-4a8f-a16a-0982c626c521-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF345HTJ.trim.srt.nodup.no_chrM_MT.bam
HG02588	1	HG02588	1	ENCSR189VFC	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e	/experiments/ENCSR189VFC/	encode-processing-pipeline:e5d6fdfe-c17e-4f6d-b525-f142dce7cd63-encode-processing-caper_out_v01_21-atac-e5d6fdfe-c17e-4f6d-b525-f142dce7cd63-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF268KUB.trim.srt.nodup.no_chrM_MT.bam
HG02610	1	HG02610	1	ENCSR905PWV	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18	/experiments/ENCSR905PWV/	encode-processing-pipeline:6ca4e1a6-e9ff-44c9-9254-98e163069473-encode-processing-caper_out_v01_21-atac-6ca4e1a6-e9ff-44c9-9254-98e163069473-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF482QKQ.trim.srt.nodup.no_chrM_MT.bam
HG02623	1	HG02623	1	ENCSR821JHD	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea	/experiments/ENCSR821JHD/	encode-processing-pipeline:17518704-1fda-4ccd-9cf1-43a1ddcb25ff-encode-processing-caper_out_v01_21-atac-17518704-1fda-4ccd-9cf1-43a1ddcb25ff-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF690IKL.trim.srt.nodup.no_chrM_MT.bam
HG02642	1	HG02642	1	ENCSR821QHC	ENCFF705PBQ	4d4e6827add661e394804f575041cd34	/experiments/ENCSR821QHC/	encode-processing-pipeline:cfac1f3a-55d6-4375-a447-248ab76eeb2d-encode-processing-caper_out_v01_21-atac-cfac1f3a-55d6-4375-a447-248ab76eeb2d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF646DYR.trim.srt.nodup.no_chrM_MT.bam
HG02678	1	HG02678	1	ENCSR180HEL	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5	/experiments/ENCSR180HEL/	encode-processing-pipeline:fed072e7-9488-4c8e-89d0-a6520c563911-encode-processing-caper_out_v01_21-atac-fed072e7-9488-4c8e-89d0-a6520c563911-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF740MGQ.trim.srt.nodup.no_chrM_MT.bam
HG02759	1	HG02759	1	ENCSR144ZXR	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7	/experiments/ENCSR144ZXR/	encode-processing-pipeline:ab0aa1ee-cb60-4dc1-9c4e-f9b14b137030-encode-processing-caper_out_v01_21-atac-ab0aa1ee-cb60-4dc1-9c4e-f9b14b137030-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF003XMY.trim.srt.nodup.no_chrM_MT.bam
HG02763	1	HG02763	1	ENCSR404OEO	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e	/experiments/ENCSR404OEO/	encode-processing-pipeline:86d591f1-bd3e-4062-8b65-aa23bd094f09-encode-processing-caper_out_atac-atac-86d591f1-bd3e-4062-8b65-aa23bd094f09-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF711UJA.trim.srt.nodup.no_chrM_MT.bam
HG02798	1	HG02798	1	ENCSR524CPZ	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119	/experiments/ENCSR524CPZ/	encode-processing-pipeline:217fbdea-6426-47d6-a93e-368d72e75b21-encode-processing-caper_out_v01_21-atac-217fbdea-6426-47d6-a93e-368d72e75b21-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF724XKP.trim.srt.nodup.no_chrM_MT.bam
HG02840	1	HG02840	1	ENCSR854ZBA	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591	/experiments/ENCSR854ZBA/	encode-processing-pipeline:fbe78d3f-b33a-4288-a455-f7531fd2b955-encode-processing-caper_out_v01_21-atac-fbe78d3f-b33a-4288-a455-f7531fd2b955-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF726MBY.trim.srt.nodup.no_chrM_MT.bam
HG02852	1	HG02852	1	ENCSR368FYV	ENCFF978QLZ	86d819db9206832fb54853581f63acd1	/experiments/ENCSR368FYV/	encode-processing-pipeline:015643a7-1c06-4749-9153-5771777b3018-encode-processing-caper_out_v01_21-atac-015643a7-1c06-4749-9153-5771777b3018-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF606PPG.trim.srt.nodup.no_chrM_MT.bam
