subset	metric	value	detail
marker	BLAG14001043	-0.5764504168	ref_TN=3.26492;query_EN=341.856;query_TN=211.61
marker	BLAG14000550	-0.5716443204	ref_TN=4.84028;query_EN=2049.76;query_TN=1556.18
marker	BLAG02001996	-0.5663436324	ref_TN=2.19611;query_EN=771.933;query_TN=378.277
marker	BLAG07001001	-0.5593078314	ref_TN=4.07618;query_EN=334.964;query_TN=77.7154
marker	BLAG11000905	-0.5388244117	ref_TN=4.35249;query_EN=618.924;query_TN=167.603
marker	BLAG01001695	0.5316828027	ref_TN=1.31715;query_EN=5.5138;query_TN=14.0449
marker	BLAG03000008	-0.5215503896	ref_TN=2.53363;query_EN=354.262;query_TN=73.97
marker	BLAG13000764	-0.5123048524	ref_TN=6.72195;query_EN=1887.1;query_TN=604.869
marker	BLAG11000450	-0.5072528961	ref_TN=6.36209;query_EN=1597.62;query_TN=892.322
marker	BLAG04000536	-0.4945903708	ref_TN=3.02877;query_EN=300.502;query_TN=273.408
marker	BLAG03002176	-0.4904416095	ref_TN=3.57627;query_EN=923.562;query_TN=492.509
marker	BLAG08001426	0.4882936758	ref_TN=0.575538;query_EN=34.4613;query_TN=326.779
marker	BLAG14000923	-0.4880190908	ref_TN=3.04913;query_EN=355.64;query_TN=59.9251
marker	BLAG16000595	-0.4860803674	ref_TN=3.68012;query_EN=493.485;query_TN=138.577
marker	BLAG14000761	0.4828197597	ref_TN=1.23626;query_EN=41.3535;query_TN=24.3446
marker	BLAG09001124	-0.4785010316	ref_TN=5.47041;query_EN=694.739;query_TN=123.596
marker	BLAG04102207	-0.4662590714	ref_TN=4.16249;query_EN=675.441;query_TN=163.858
marker	BLAG03000831	0.4649774031	ref_TN=1.3904;query_EN=117.168;query_TN=58.9888
marker	BLAG06001412	-0.46250254	ref_TN=3.46675;query_EN=381.831;query_TN=265.918
marker	BLAG06000553	-0.4507826226	ref_TN=6.3302;query_EN=3553.65;query_TN=1686.33
marker	BLAG04000892	0.447064393	ref_TN=0.949395;query_EN=6.89225;query_TN=68.3521
marker	BLAG05000124	-0.4417980411	ref_TN=3.13094;query_EN=510.027;query_TN=186.33
marker	BLAG11101293	-0.4098806236	ref_TN=2.52432;query_EN=216.417;query_TN=35.5805
marker	BLAG07001072	-0.4052755589	ref_TN=2.59264;query_EN=187.469;query_TN=82.397
marker	BLAG07001147	-0.4032713841	ref_TN=3.61063;query_EN=430.077;query_TN=156.367
marker	BLAG02000499	-0.401649111	ref_TN=9.56063;query_EN=1080.71;query_TN=288.39
marker	BLAG19000213	0.395501387	ref_TN=2.67791;query_EN=194.362;query_TN=283.708
marker	BLAG01001672	-0.3933641419	ref_TN=3.04958;query_EN=306.016;query_TN=87.0787
marker	BLAG03000437	-0.3859467884	ref_TN=2.74192;query_EN=359.776;query_TN=250
marker	BLAG17000606	-0.382212241	ref_TN=1.76507;query_EN=216.417;query_TN=44.9438
marker	BLAG08101494	0.3789631021	ref_TN=1.00511;query_EN=20.6768;query_TN=28.0899
marker	BLAG13000425	-0.3758526184	ref_TN=2.40526;query_EN=398.372;query_TN=264.045
marker	BLAG03102288	0.3704632664	ref_TN=0.83124;query_EN=11.0276;query_TN=102.996
