feature_index	gene_id	gene_name	feature_type
104	RPS27	RPS27	Gene Expression
105	ZNF166	ZNF166	Gene Expression
106	TRIM51	TRIM51	Gene Expression
107	ZNF105	ZNF105	Gene Expression
108	SLC2A8	SLC2A8	Gene Expression
109	MAPK10	MAPK10	Gene Expression
110	KRT32	KRT32	Gene Expression
111	FGF8	FGF8	Gene Expression
112	CD102	CD102	Gene Expression
113	ZNF49	ZNF49	Gene Expression
114	CD113	CD113	Gene Expression
115	MAPK2	MAPK2	Gene Expression
116	ZNF423	ZNF423	Gene Expression
117	ZNF237	ZNF237	Gene Expression
118	CD96	CD96	Gene Expression
119	ZNF151	ZNF151	Gene Expression
120	ZNF483	ZNF483	Gene Expression
121	ZNF19	ZNF19	Gene Expression
122	ZNF7	ZNF7	Gene Expression
123	ZNF367	ZNF367	Gene Expression
124	ATP33	ATP33	Gene Expression
125	TRIM53	TRIM53	Gene Expression
126	ZNF210	ZNF210	Gene Expression
127	ZNF206	ZNF206	Gene Expression
128	ZNF377	ZNF377	Gene Expression
129	MAPK1	MAPK1	Gene Expression
130	ZNF55	ZNF55	Gene Expression
131	ZNF2	ZNF2	Gene Expression
132	CD103	CD103	Gene Expression
133	ZNF100	ZNF100	Gene Expression
134	SOX18	SOX18	Gene Expression
135	CD138	CD138	Gene Expression
136	TRIM23	TRIM23	Gene Expression
137	CD126	CD126	Gene Expression
138	ZNF396	ZNF396	Gene Expression
139	CD19	CD19	Gene Expression
140	ZNF388	ZNF388	Gene Expression
141	CD23	CD23	Gene Expression
142	CD65	CD65	Gene Expression
143	HOXA4	HOXA4	Gene Expression
144	ZNF444	ZNF444	Gene Expression
145	RPL30	RPL30	Gene Expression
146	RPL10	RPL10	Gene Expression
147	ZNF285	ZNF285	Gene Expression
148	HOXC5	HOXC5	Gene Expression
149	ZNF288	ZNF288	Gene Expression
150	ZNF195	ZNF195	Gene Expression
151	ZNF463	ZNF463	Gene Expression
152	CD100	CD100	Gene Expression
153	ZNF264	ZNF264	Gene Expression
154	ZNF112	ZNF112	Gene Expression
155	ZNF476	ZNF476	Gene Expression
156	MMP8	MMP8	Gene Expression
157	ZNF176	ZNF176	Gene Expression
158	ZNF114	ZNF114	Gene Expression
159	ZNF479	ZNF479	Gene Expression
160	ZNF445	ZNF445	Gene Expression
161	ZNF126	ZNF126	Gene Expression
162	CD105	CD105	Gene Expression
163	CD118	CD118	Gene Expression
164	RPS20	RPS20	Gene Expression
165	TRIM20	TRIM20	Gene Expression
166	RPL21	RPL21	Gene Expression
167	ZNF426	ZNF426	Gene Expression
168	CXCL14	CXCL14	Gene Expression
169	RPL20	RPL20	Gene Expression
170	CD78	CD78	Gene Expression
171	ZNF127	ZNF127	Gene Expression
172	ZNF107	ZNF107	Gene Expression
173	CCL9	CCL9	Gene Expression
174	TRIM27	TRIM27	Gene Expression
175	CD40	CD40	Gene Expression
176	TRIM69	TRIM69	Gene Expression
177	HOXB9	HOXB9	Gene Expression
178	RPL8	RPL8	Gene Expression
179	CD127	CD127	Gene Expression
180	ZNF149	ZNF149	Gene Expression
181	CD119	CD119	Gene Expression
182	ATP48	ATP48	Gene Expression
183	TRIM25	TRIM25	Gene Expression
184	ZNF184	ZNF184	Gene Expression
185	ATP23	ATP23	Gene Expression
186	RPS23	RPS23	Gene Expression
187	CD33	CD33	Gene Expression
188	ZNF182	ZNF182	Gene Expression
189	CD63	CD63	Gene Expression
190	ATP3	ATP3	Gene Expression
191	TRIM18	TRIM18	Gene Expression
192	ZNF32	ZNF32	Gene Expression
193	TRIM19	TRIM19	Gene Expression
194	SLC1A7	SLC1A7	Gene Expression
195	ZNF230	ZNF230	Gene Expression
196	CD69	CD69	Gene Expression
197	ZNF350	ZNF350	Gene Expression
198	SLC1A2	SLC1A2	Gene Expression
199	ZNF282	ZNF282	Gene Expression
200	SOX4	SOX4	Gene Expression
201	ZNF253	ZNF253	Gene Expression
202	KRT14	KRT14	Gene Expression
203	TRIM22	TRIM22	Gene Expression
204	ZNF428	ZNF428	Gene Expression
205	KRT5	KRT5	Gene Expression
206	ZNF37	ZNF37	Gene Expression
207	KRT36	KRT36	Gene Expression
208	ZNF164	ZNF164	Gene Expression
209	ZNF296	ZNF296	Gene Expression
210	ZNF431	ZNF431	Gene Expression
211	FGF6	FGF6	Gene Expression
212	HOXC7	HOXC7	Gene Expression
213	ZNF56	ZNF56	Gene Expression
214	ZNF365	ZNF365	Gene Expression
215	TRIM65	TRIM65	Gene Expression
216	KRT8	KRT8	Gene Expression
217	ZNF186	ZNF186	Gene Expression
218	ZNF342	ZNF342	Gene Expression
219	CXCL8	CXCL8	Gene Expression
220	ZNF208	ZNF208	Gene Expression
221	ZNF144	ZNF144	Gene Expression
222	SOX1	SOX1	Gene Expression
223	ZNF14	ZNF14	Gene Expression
224	RPL31	RPL31	Gene Expression
225	ZNF113	ZNF113	Gene Expression
226	ZNF466	ZNF466	Gene Expression
227	TRIM74	TRIM74	Gene Expression
228	MMP21	MMP21	Gene Expression
229	ZNF53	ZNF53	Gene Expression
230	ZNF359	ZNF359	Gene Expression
231	ZNF397	ZNF397	Gene Expression
232	RPS13	RPS13	Gene Expression
233	CD20	CD20	Gene Expression
234	CCL11	CCL11	Gene Expression
235	ZNF360	ZNF360	Gene Expression
236	ZNF197	ZNF197	Gene Expression
237	ZNF439	ZNF439	Gene Expression
238	ZNF196	ZNF196	Gene Expression
239	TP53	TP53	Gene Expression
240	ZNF64	ZNF64	Gene Expression
241	ZNF140	ZNF140	Gene Expression
242	FGF15	FGF15	Gene Expression
243	ZNF216	ZNF216	Gene Expression
244	SOX12	SOX12	Gene Expression
245	FGF18	FGF18	Gene Expression
246	KRT3	KRT3	Gene Expression
247	ZNF499	ZNF499	Gene Expression
248	ZNF3	ZNF3	Gene Expression
249	ZNF410	ZNF410	Gene Expression
250	RPS16	RPS16	Gene Expression
251	CD21	CD21	Gene Expression
252	ZNF328	ZNF328	Gene Expression
253	FGF3	FGF3	Gene Expression
254	ZNF261	ZNF261	Gene Expression
255	HOXA10	HOXA10	Gene Expression
256	ZNF115	ZNF115	Gene Expression
257	TRIM57	TRIM57	Gene Expression
258	RPS15	RPS15	Gene Expression
259	ZNF147	ZNF147	Gene Expression
260	ZNF280	ZNF280	Gene Expression
261	RPL34	RPL34	Gene Expression
262	ZNF12	ZNF12	Gene Expression
263	ZNF226	ZNF226	Gene Expression
264	TRIM63	TRIM63	Gene Expression
265	CCL22	CCL22	Gene Expression
266	CD77	CD77	Gene Expression
267	ZNF470	ZNF470	Gene Expression
268	MAPK8	MAPK8	Gene Expression
269	ZNF392	ZNF392	Gene Expression
270	ZNF393	ZNF393	Gene Expression
271	ZNF319	ZNF319	Gene Expression
272	TRIM54	TRIM54	Gene Expression
273	ZNF462	ZNF462	Gene Expression
274	TRIM4	TRIM4	Gene Expression
275	ZNF57	ZNF57	Gene Expression
276	MMP13	MMP13	Gene Expression
277	CCL21	CCL21	Gene Expression
278	ATP47	ATP47	Gene Expression
279	RPL15	RPL15	Gene Expression
280	ZNF136	ZNF136	Gene Expression
281	ZNF339	ZNF339	Gene Expression
282	ZNF401	ZNF401	Gene Expression
283	ZNF39	ZNF39	Gene Expression
284	ATP8	ATP8	Gene Expression
285	ATP18	ATP18	Gene Expression
286	MMP23	MMP23	Gene Expression
287	ZNF4	ZNF4	Gene Expression
288	SOX22	SOX22	Gene Expression
289	SLC2A6	SLC2A6	Gene Expression
290	FGF1	FGF1	Gene Expression
291	ZNF66	ZNF66	Gene Expression
292	ZNF67	ZNF67	Gene Expression
293	ZNF38	ZNF38	Gene Expression
294	ZNF224	ZNF224	Gene Expression
295	CD13	CD13	Gene Expression
296	TRIM17	TRIM17	Gene Expression
297	SLC2A1	SLC2A1	Gene Expression
298	KRT34	KRT34	Gene Expression
299	SOX17	SOX17	Gene Expression
300	HOXC10	HOXC10	Gene Expression
301	ZNF6	ZNF6	Gene Expression
302	CXCL1	CXCL1	Gene Expression
303	ZNF305	ZNF305	Gene Expression
304	HOXC9	HOXC9	Gene Expression
305	ZNF11	ZNF11	Gene Expression
306	CD28	CD28	Gene Expression
307	ZNF109	ZNF109	Gene Expression
308	ZNF10	ZNF10	Gene Expression
309	ZNF192	ZNF192	Gene Expression
310	TRIM12	TRIM12	Gene Expression
311	KRT2	KRT2	Gene Expression
312	ZNF50	ZNF50	Gene Expression
313	TRIM71	TRIM71	Gene Expression
314	ATP17	ATP17	Gene Expression
315	SOX28	SOX28	Gene Expression
316	SLC2A3	SLC2A3	Gene Expression
317	FGF20	FGF20	Gene Expression
318	ZNF403	ZNF403	Gene Expression
319	ZNF119	ZNF119	Gene Expression
320	ATP29	ATP29	Gene Expression
321	RPL14	RPL14	Gene Expression
322	TRIM5	TRIM5	Gene Expression
323	TRIM61	TRIM61	Gene Expression
324	MAPK5	MAPK5	Gene Expression
325	ZNF199	ZNF199	Gene Expression
326	ZNF302	ZNF302	Gene Expression
327	ZNF317	ZNF317	Gene Expression
328	ZNF493	ZNF493	Gene Expression
329	ATP46	ATP46	Gene Expression
330	ZNF417	ZNF417	Gene Expression
331	SLC2A7	SLC2A7	Gene Expression
332	MMP15	MMP15	Gene Expression
333	ZNF212	ZNF212	Gene Expression
334	ZNF87	ZNF87	Gene Expression
335	RPS12	RPS12	Gene Expression
336	MMP16	MMP16	Gene Expression
337	TRIM64	TRIM64	Gene Expression
338	ATP35	ATP35	Gene Expression
339	ZNF163	ZNF163	Gene Expression
340	ZNF425	ZNF425	Gene Expression
341	CD48	CD48	Gene Expression
342	ZNF231	ZNF231	Gene Expression
343	ZNF143	ZNF143	Gene Expression
344	ZNF154	ZNF154	Gene Expression
345	ZNF179	ZNF179	Gene Expression
346	ZNF484	ZNF484	Gene Expression
347	KRT13	KRT13	Gene Expression
348	CD137	CD137	Gene Expression
349	ZNF422	ZNF422	Gene Expression
350	ZNF167	ZNF167	Gene Expression
351	ZNF382	ZNF382	Gene Expression
352	ATP25	ATP25	Gene Expression
353	ZNF80	ZNF80	Gene Expression
354	ZNF399	ZNF399	Gene Expression
355	KRT30	KRT30	Gene Expression
356	ZNF52	ZNF52	Gene Expression
357	ZNF70	ZNF70	Gene Expression
358	ZNF88	ZNF88	Gene Expression
359	ZNF159	ZNF159	Gene Expression
360	ZNF291	ZNF291	Gene Expression
361	ZNF299	ZNF299	Gene Expression
362	ZNF198	ZNF198	Gene Expression
363	RPS8	RPS8	Gene Expression
364	ZNF90	ZNF90	Gene Expression
365	ZNF293	ZNF293	Gene Expression
366	CD17	CD17	Gene Expression
367	CD120	CD120	Gene Expression
368	CD44	CD44	Gene Expression
369	KRT37	KRT37	Gene Expression
370	FN1	FN1	Gene Expression
371	CD41	CD41	Gene Expression
372	TRIM56	TRIM56	Gene Expression
373	ZNF110	ZNF110	Gene Expression
374	ZNF247	ZNF247	Gene Expression
375	CD110	CD110	Gene Expression
376	SLC2A9	SLC2A9	Gene Expression
377	ZNF385	ZNF385	Gene Expression
378	RPS5	RPS5	Gene Expression
379	HOXB4	HOXB4	Gene Expression
380	TRIM38	TRIM38	Gene Expression
381	ZNF205	ZNF205	Gene Expression
382	KRT29	KRT29	Gene Expression
383	ZNF283	ZNF283	Gene Expression
384	KRT38	KRT38	Gene Expression
385	HOXC11	HOXC11	Gene Expression
386	CD9	CD9	Gene Expression
387	TRIM26	TRIM26	Gene Expression
388	ZNF281	ZNF281	Gene Expression
389	SOX10	SOX10	Gene Expression
390	ZNF242	ZNF242	Gene Expression
391	ZNF161	ZNF161	Gene Expression
392	ZNF404	ZNF404	Gene Expression
393	ZNF456	ZNF456	Gene Expression
394	ZNF491	ZNF491	Gene Expression
395	ZNF76	ZNF76	Gene Expression
396	CCL1	CCL1	Gene Expression
397	ZNF324	ZNF324	Gene Expression
398	ZNF366	ZNF366	Gene Expression
399	SLC2A12	SLC2A12	Gene Expression
400	CD10	CD10	Gene Expression
401	ZNF116	ZNF116	Gene Expression
402	TRIM37	TRIM37	Gene Expression
403	ATP40	ATP40	Gene Expression
404	ZNF284	ZNF284	Gene Expression
405	ZNF181	ZNF181	Gene Expression
406	RPS19	RPS19	Gene Expression
407	HOXA9	HOXA9	Gene Expression
408	FGF9	FGF9	Gene Expression
409	ZNF223	ZNF223	Gene Expression
410	ZNF461	ZNF461	Gene Expression
411	TRIM11	TRIM11	Gene Expression
412	ZNF77	ZNF77	Gene Expression
413	ZNF82	ZNF82	Gene Expression
414	ZNF135	ZNF135	Gene Expression
415	ZNF353	ZNF353	Gene Expression
416	CD62	CD62	Gene Expression
417	FGF17	FGF17	Gene Expression
418	ZNF368	ZNF368	Gene Expression
419	SLC2A2	SLC2A2	Gene Expression
420	ZNF490	ZNF490	Gene Expression
421	ZNF345	ZNF345	Gene Expression
422	ATP15	ATP15	Gene Expression
423	ZNF488	ZNF488	Gene Expression
424	TRIM24	TRIM24	Gene Expression
425	ZNF215	ZNF215	Gene Expression
426	HOXA3	HOXA3	Gene Expression
427	ZNF477	ZNF477	Gene Expression
428	ZNF148	ZNF148	Gene Expression
429	ZNF42	ZNF42	Gene Expression
430	ZNF122	ZNF122	Gene Expression
431	KRT21	KRT21	Gene Expression
432	ZNF155	ZNF155	Gene Expression
433	MMP20	MMP20	Gene Expression
434	KRT16	KRT16	Gene Expression
435	MMP10	MMP10	Gene Expression
436	ZNF35	ZNF35	Gene Expression
437	ZNF18	ZNF18	Gene Expression
438	ZNF374	ZNF374	Gene Expression
439	CD3	CD3	Gene Expression
440	CD59	CD59	Gene Expression
441	CD29	CD29	Gene Expression
442	CD117	CD117	Gene Expression
443	ZNF494	ZNF494	Gene Expression
444	ATP9	ATP9	Gene Expression
445	ZNF268	ZNF268	Gene Expression
446	ZNF322	ZNF322	Gene Expression
447	ZNF263	ZNF263	Gene Expression
448	CD142	CD142	Gene Expression
449	ZNF279	ZNF279	Gene Expression
450	CD42	CD42	Gene Expression
451	HOXA7	HOXA7	Gene Expression
452	RPL16	RPL16	Gene Expression
453	ZNF22	ZNF22	Gene Expression
454	ZNF406	ZNF406	Gene Expression
455	CD67	CD67	Gene Expression
456	CCL6	CCL6	Gene Expression
457	GAPDH	GAPDH	Gene Expression
458	CD4	CD4	Gene Expression
459	KRT19	KRT19	Gene Expression
460	RPS6	RPS6	Gene Expression
461	ZNF51	ZNF51	Gene Expression
462	CD76	CD76	Gene Expression
463	ATP16	ATP16	Gene Expression
464	ZNF219	ZNF219	Gene Expression
465	ZNF357	ZNF357	Gene Expression
466	ZNF168	ZNF168	Gene Expression
467	ZNF104	ZNF104	Gene Expression
468	ZNF480	ZNF480	Gene Expression
469	CXCL4	CXCL4	Gene Expression
470	CD122	CD122	Gene Expression
471	RPL37	RPL37	Gene Expression
472	ZNF145	ZNF145	Gene Expression
473	CD133	CD133	Gene Expression
474	TRIM33	TRIM33	Gene Expression
475	ZNF175	ZNF175	Gene Expression
476	CD68	CD68	Gene Expression
477	CCL15	CCL15	Gene Expression
478	ZNF83	ZNF83	Gene Expression
479	ZNF13	ZNF13	Gene Expression
480	ZNF467	ZNF467	Gene Expression
481	KRT6	KRT6	Gene Expression
482	RPS17	RPS17	Gene Expression
483	RPL6	RPL6	Gene Expression
484	ZNF95	ZNF95	Gene Expression
485	ZNF169	ZNF169	Gene Expression
486	ZNF172	ZNF172	Gene Expression
487	CD123	CD123	Gene Expression
488	CD125	CD125	Gene Expression
489	CD45	CD45	Gene Expression
490	TRIM15	TRIM15	Gene Expression
491	ZNF460	ZNF460	Gene Expression
492	ZNF96	ZNF96	Gene Expression
493	PPIA	PPIA	Gene Expression
494	CD89	CD89	Gene Expression
495	ZNF343	ZNF343	Gene Expression
496	ZNF370	ZNF370	Gene Expression
497	ZNF16	ZNF16	Gene Expression
498	ZNF326	ZNF326	Gene Expression
499	CD22	CD22	Gene Expression
500	KRT17	KRT17	Gene Expression
501	ZNF8	ZNF8	Gene Expression
502	ZNF257	ZNF257	Gene Expression
503	ZNF156	ZNF156	Gene Expression
504	TRIM9	TRIM9	Gene Expression
505	FGF11	FGF11	Gene Expression
506	ZNF474	ZNF474	Gene Expression
507	ZNF486	ZNF486	Gene Expression
508	ZNF157	ZNF157	Gene Expression
509	ZNF301	ZNF301	Gene Expression
510	MMP19	MMP19	Gene Expression
511	FGF13	FGF13	Gene Expression
512	CD98	CD98	Gene Expression
513	ZNF323	ZNF323	Gene Expression
514	ZNF277	ZNF277	Gene Expression
515	RPL26	RPL26	Gene Expression
516	ZNF91	ZNF91	Gene Expression
517	CD7	CD7	Gene Expression
518	TRIM60	TRIM60	Gene Expression
519	TRIM31	TRIM31	Gene Expression
520	SOX7	SOX7	Gene Expression
521	ZNF260	ZNF260	Gene Expression
522	KRT33	KRT33	Gene Expression
523	CD39	CD39	Gene Expression
524	ZNF485	ZNF485	Gene Expression
525	CD149	CD149	Gene Expression
526	ZNF333	ZNF333	Gene Expression
527	ZNF468	ZNF468	Gene Expression
528	ZNF162	ZNF162	Gene Expression
529	ZNF232	ZNF232	Gene Expression
530	KRT4	KRT4	Gene Expression
531	ZNF424	ZNF424	Gene Expression
532	ZNF211	ZNF211	Gene Expression
533	ZNF408	ZNF408	Gene Expression
534	ZNF407	ZNF407	Gene Expression
535	ZNF383	ZNF383	Gene Expression
536	ATP27	ATP27	Gene Expression
537	ZNF134	ZNF134	Gene Expression
538	ZNF123	ZNF123	Gene Expression
539	CD11	CD11	Gene Expression
540	ZNF443	ZNF443	Gene Expression
541	TRIM58	TRIM58	Gene Expression
542	ZNF200	ZNF200	Gene Expression
543	ZNF41	ZNF41	Gene Expression
544	ZNF207	ZNF207	Gene Expression
545	KRT10	KRT10	Gene Expression
546	ZNF481	ZNF481	Gene Expression
547	ZNF81	ZNF81	Gene Expression
548	CD107	CD107	Gene Expression
549	HOXA5	HOXA5	Gene Expression
550	TRIM6	TRIM6	Gene Expression
551	SOX27	SOX27	Gene Expression
552	ZNF381	ZNF381	Gene Expression
553	ZNF442	ZNF442	Gene Expression
554	CCL10	CCL10	Gene Expression
555	ZNF347	ZNF347	Gene Expression
556	ZNF390	ZNF390	Gene Expression
557	CD114	CD114	Gene Expression
558	ZNF269	ZNF269	Gene Expression
559	ATP13	ATP13	Gene Expression
560	CD26	CD26	Gene Expression
561	MMP2	MMP2	Gene Expression
562	ZNF180	ZNF180	Gene Expression
563	TRIM55	TRIM55	Gene Expression
564	HOXA1	HOXA1	Gene Expression
565	CD56	CD56	Gene Expression
566	ATP37	ATP37	Gene Expression
567	PKM	PKM	Gene Expression
568	MMP7	MMP7	Gene Expression
569	ZNF244	ZNF244	Gene Expression
570	CD24	CD24	Gene Expression
571	ATP14	ATP14	Gene Expression
572	RPS10	RPS10	Gene Expression
573	HOXC8	HOXC8	Gene Expression
574	KRT27	KRT27	Gene Expression
575	ZNF94	ZNF94	Gene Expression
576	ZNF97	ZNF97	Gene Expression
577	CD101	CD101	Gene Expression
578	TRIM45	TRIM45	Gene Expression
579	PGK1	PGK1	Gene Expression
580	ZNF225	ZNF225	Gene Expression
581	ZNF185	ZNF185	Gene Expression
582	ZNF202	ZNF202	Gene Expression
583	ZNF352	ZNF352	Gene Expression
584	ZNF346	ZNF346	Gene Expression
585	ZNF312	ZNF312	Gene Expression
586	CD93	CD93	Gene Expression
587	CD99	CD99	Gene Expression
588	ZNF376	ZNF376	Gene Expression
589	ZNF108	ZNF108	Gene Expression
590	CD129	CD129	Gene Expression
591	SOX2	SOX2	Gene Expression
592	CD81	CD81	Gene Expression
593	MAPK6	MAPK6	Gene Expression
594	RPS7	RPS7	Gene Expression
595	ZNF98	ZNF98	Gene Expression
596	CD60	CD60	Gene Expression
597	ZNF400	ZNF400	Gene Expression
598	ZNF272	ZNF272	Gene Expression
599	ZNF117	ZNF117	Gene Expression
600	CD94	CD94	Gene Expression
601	ZNF450	ZNF450	Gene Expression
602	FGF7	FGF7	Gene Expression
603	ZNF363	ZNF363	Gene Expression
604	ATP21	ATP21	Gene Expression
605	ZNF327	ZNF327	Gene Expression
606	ZNF23	ZNF23	Gene Expression
607	CD2	CD2	Gene Expression
608	ZNF295	ZNF295	Gene Expression
609	ATP43	ATP43	Gene Expression
610	MAPK3	MAPK3	Gene Expression
611	MAPK14	MAPK14	Gene Expression
612	ZNF89	ZNF89	Gene Expression
613	CD6	CD6	Gene Expression
614	ZNF308	ZNF308	Gene Expression
615	ATP6	ATP6	Gene Expression
616	ZNF330	ZNF330	Gene Expression
617	ZNF496	ZNF496	Gene Expression
618	ZNF248	ZNF248	Gene Expression
619	ZNF356	ZNF356	Gene Expression
620	SOX16	SOX16	Gene Expression
621	RPL7	RPL7	Gene Expression
622	ZNF378	ZNF378	Gene Expression
623	TRIM49	TRIM49	Gene Expression
624	SOX14	SOX14	Gene Expression
625	CXCL15	CXCL15	Gene Expression
626	ZNF30	ZNF30	Gene Expression
627	MMP5	MMP5	Gene Expression
628	ZNF183	ZNF183	Gene Expression
629	CD141	CD141	Gene Expression
630	RPL29	RPL29	Gene Expression
631	KRT22	KRT22	Gene Expression
632	RPL18	RPL18	Gene Expression
633	ZNF138	ZNF138	Gene Expression
634	TRIM62	TRIM62	Gene Expression
635	ZNF259	ZNF259	Gene Expression
636	CD25	CD25	Gene Expression
637	CD46	CD46	Gene Expression
638	TRIM39	TRIM39	Gene Expression
639	ZNF290	ZNF290	Gene Expression
640	ZNF446	ZNF446	Gene Expression
641	ZNF449	ZNF449	Gene Expression
642	ZNF311	ZNF311	Gene Expression
643	CCL16	CCL16	Gene Expression
644	ZNF438	ZNF438	Gene Expression
645	CD87	CD87	Gene Expression
646	ZNF170	ZNF170	Gene Expression
647	ZNF191	ZNF191	Gene Expression
648	ZNF464	ZNF464	Gene Expression
649	CD116	CD116	Gene Expression
650	ZNF63	ZNF63	Gene Expression
651	KRT15	KRT15	Gene Expression
652	CD148	CD148	Gene Expression
653	ZNF451	ZNF451	Gene Expression
654	ZNF235	ZNF235	Gene Expression
655	SOX24	SOX24	Gene Expression
656	SOX25	SOX25	Gene Expression
657	ZNF314	ZNF314	Gene Expression
658	KRT12	KRT12	Gene Expression
659	ZNF84	ZNF84	Gene Expression
660	ZNF220	ZNF220	Gene Expression
661	SLC1A1	SLC1A1	Gene Expression
662	ZNF141	ZNF141	Gene Expression
663	KRT18	KRT18	Gene Expression
664	ZNF26	ZNF26	Gene Expression
665	ZNF389	ZNF389	Gene Expression
666	ZNF34	ZNF34	Gene Expression
667	ZNF437	ZNF437	Gene Expression
668	ZNF441	ZNF441	Gene Expression
669	ZNF44	ZNF44	Gene Expression
670	ZNF58	ZNF58	Gene Expression
671	ZNF213	ZNF213	Gene Expression
672	ZNF214	ZNF214	Gene Expression
673	MDM2	MDM2	Gene Expression
674	ZNF386	ZNF386	Gene Expression
675	ZNF275	ZNF275	Gene Expression
676	CCL19	CCL19	Gene Expression
677	CD130	CD130	Gene Expression
678	ZNF419	ZNF419	Gene Expression
679	CD14	CD14	Gene Expression
680	ZNF375	ZNF375	Gene Expression
681	TRIM2	TRIM2	Gene Expression
682	CD88	CD88	Gene Expression
683	ZNF241	ZNF241	Gene Expression
684	HOXB1	HOXB1	Gene Expression
685	CD5	CD5	Gene Expression
686	ZNF243	ZNF243	Gene Expression
687	ZNF17	ZNF17	Gene Expression
688	CD143	CD143	Gene Expression
689	ATP26	ATP26	Gene Expression
690	ZNF203	ZNF203	Gene Expression
691	TRIM10	TRIM10	Gene Expression
692	ZNF245	ZNF245	Gene Expression
693	CD36	CD36	Gene Expression
694	CD53	CD53	Gene Expression
695	ATP10	ATP10	Gene Expression
696	ZNF472	ZNF472	Gene Expression
697	ZNF384	ZNF384	Gene Expression
698	CD32	CD32	Gene Expression
