section	key	value
unique	count	5713
unique	low_milli_cpm	13,26,39,52,66,79,92,105,118,131,144,157,170,184,197,210,223,236,249,262,275,288,302,315,328,341,354,367,380,393,406,420,433,446,459,472,485,498,511,524,538,551,564,577,590,603,616,629,642,656,669,682,695,708,721,734,747,760,774,787,800,813,826,839,852,865,878,892,905,918,931,944,957,970,983,996,1009,1023,1036,1049,1062,1075,1088,1101,1114,1127,1141,1154,1167,1180,1193,1206,1219,1232,1245,1259,1272,1285,1298,1311,1324,1337,1350,1363,1377,1390,1403,1416,1429,1442,1455,1468,1481,1495,1508,1521,1534,1547,1560,1573,1586,1599,1613,1626,1639,1652,1665,1678,1691,1704,1717,1731,1744,1757,1770,1783,1796,1809,1822,1835,1849,1862,1875,1888,1901,1914,1927,1940,1953,1967,1980,1993,2006,2019,2032,2045,2058,2071,2085,2098,2111,2124,2137,2150,2163,2176,2189,2203,2216,2229,2242,2255,2268,2281,2294,2307,2321,2334,2347,2360,2373,2386,2399,2412,2425,2439,2452,2465,2478,2491,2504,2517,2530,2543,2557,2570,2583,2596,2609,2622
step	p_milli_per_count	39.328	ok_first1000=167;err=8896.000;N=25427176.566
step	p_milli_per_count	11.063	ok_first1000=166;err=2724.000;N=90391394.739
step	p_milli_per_count	78.662	ok_first1000=165;err=19560.000;N=12712618.545
step	p_milli_per_count	52.444	ok_first1000=164;err=13062.000;N=19067958.203
step	p_milli_per_count	10.262	ok_first1000=160;err=2562.000;N=97446891.444
step	p_milli_per_count	78.661	ok_first1000=153;err=19571.000;N=12712780.158
step	p_milli_per_count	78.663	ok_first1000=152;err=19573.000;N=12712456.937
step	p_milli_per_count	32.777	ok_first1000=150;err=7905.000;N=30509198.523
step	p_milli_per_count	65.549	ok_first1000=150;err=15742.000;N=15255762.864
chrom	chr1	sum=95174.161000;nonzero=22603;rows=24896
chrom	chr10	sum=44217.218000;nonzero=13147;rows=13380
chrom	chr11	sum=53594.886000;nonzero=13109;rows=13509
chrom	chr12	sum=49133.362000;nonzero=13096;rows=13328
chrom	chr13	sum=21582.369000;nonzero=9652;rows=11437
chrom	chr14	sum=34288.672000;nonzero=8833;rows=10705
chrom	chr15	sum=30241.999000;nonzero=8085;rows=10200
chrom	chr16	sum=42218.650000;nonzero=7841;rows=9034
chrom	chr17	sum=55914.252000;nonzero=7889;rows=8326
chrom	chr18	sum=17632.690000;nonzero=7541;rows=8038
chrom	chr19	sum=68141.177000;nonzero=5557;rows=5862
chrom	chr2	sum=71942.894000;nonzero=23786;rows=24220
chrom	chr20	sum=27701.950000;nonzero=6185;rows=6445
chrom	chr21	sum=11409.594000;nonzero=3538;rows=4671
chrom	chr22	sum=23819.500000;nonzero=3617;rows=5082
chrom	chr3	sum=55638.471000;nonzero=19577;rows=19830
chrom	chr4	sum=38302.953000;nonzero=18774;rows=19022
chrom	chr5	sum=46915.160000;nonzero=17676;rows=18154
chrom	chr6	sum=53197.237000;nonzero=16865;rows=17081
chrom	chr7	sum=48637.222000;nonzero=15540;rows=15935
chrom	chr8	sum=37702.011000;nonzero=14245;rows=14514
chrom	chr9	sum=40595.770000;nonzero=11548;rows=13840
chrom	chrX	sum=31971.092000;nonzero=14947;rows=15605
chrom	chrY	sum=27.854000;nonzero=261;rows=5723
