	gene_ids
ZNF109	ZNF109
ZNF10	ZNF10
ZNF192	ZNF192
TRIM12	TRIM12
KRT2	KRT2
ZNF50	ZNF50
TRIM71	TRIM71
ATP17	ATP17
SOX28	SOX28
SLC2A3	SLC2A3
FGF20	FGF20
ZNF403	ZNF403
ZNF119	ZNF119
ATP29	ATP29
RPL14	RPL14
TRIM5	TRIM5
TRIM61	TRIM61
MAPK5	MAPK5
ZNF199	ZNF199
ZNF302	ZNF302
ZNF317	ZNF317
ZNF493	ZNF493
ATP46	ATP46
ZNF417	ZNF417
SLC2A7	SLC2A7
MMP15	MMP15
ZNF212	ZNF212
ZNF87	ZNF87
RPS12	RPS12
MMP16	MMP16
TRIM64	TRIM64
ATP35	ATP35
ZNF163	ZNF163
ZNF425	ZNF425
CD48	CD48
ZNF231	ZNF231
ZNF143	ZNF143
ZNF154	ZNF154
ZNF179	ZNF179
ZNF484	ZNF484
KRT13	KRT13
CD137	CD137
ZNF422	ZNF422
ZNF167	ZNF167
ZNF382	ZNF382
ATP25	ATP25
ZNF80	ZNF80
ZNF399	ZNF399
KRT30	KRT30
ZNF52	ZNF52
ZNF70	ZNF70
ZNF88	ZNF88
ZNF159	ZNF159
ZNF291	ZNF291
ZNF299	ZNF299
ZNF198	ZNF198
RPS8	RPS8
ZNF90	ZNF90
ZNF293	ZNF293
CD17	CD17
CD120	CD120
CD44	CD44
KRT37	KRT37
FN1	FN1
CD41	CD41
TRIM56	TRIM56
ZNF110	ZNF110
ZNF247	ZNF247
CD110	CD110
SLC2A9	SLC2A9
ZNF385	ZNF385
RPS5	RPS5
HOXB4	HOXB4
TRIM38	TRIM38
ZNF205	ZNF205
KRT29	KRT29
ZNF283	ZNF283
KRT38	KRT38
HOXC11	HOXC11
CD9	CD9
TRIM26	TRIM26
ZNF281	ZNF281
SOX10	SOX10
ZNF242	ZNF242
ZNF161	ZNF161
ZNF404	ZNF404
ZNF456	ZNF456
ZNF491	ZNF491
ZNF76	ZNF76
CCL1	CCL1
ZNF324	ZNF324
ZNF366	ZNF366
SLC2A12	SLC2A12
CD10	CD10
ZNF116	ZNF116
TRIM37	TRIM37
ATP40	ATP40
ZNF284	ZNF284
ZNF181	ZNF181
RPS19	RPS19
HOXA9	HOXA9
FGF9	FGF9
ZNF223	ZNF223
ZNF461	ZNF461
TRIM11	TRIM11
ZNF77	ZNF77
ZNF82	ZNF82
ZNF135	ZNF135
ZNF353	ZNF353
CD62	CD62
FGF17	FGF17
ZNF368	ZNF368
SLC2A2	SLC2A2
ZNF490	ZNF490
ZNF345	ZNF345
ATP15	ATP15
ZNF488	ZNF488
TRIM24	TRIM24
ZNF215	ZNF215
HOXA3	HOXA3
ZNF477	ZNF477
ZNF148	ZNF148
ZNF42	ZNF42
ZNF122	ZNF122
KRT21	KRT21
ZNF155	ZNF155
MMP20	MMP20
KRT16	KRT16
MMP10	MMP10
ZNF35	ZNF35
ZNF18	ZNF18
ZNF374	ZNF374
CD3	CD3
CD59	CD59
CD29	CD29
CD117	CD117
ZNF494	ZNF494
ATP9	ATP9
ZNF268	ZNF268
ZNF322	ZNF322
ZNF263	ZNF263
CD142	CD142
ZNF279	ZNF279
CD42	CD42
HOXA7	HOXA7
RPL16	RPL16
ZNF22	ZNF22
ZNF406	ZNF406
CD67	CD67
CCL6	CCL6
GAPDH	GAPDH
CD4	CD4
KRT19	KRT19
RPS6	RPS6
ZNF51	ZNF51
CD76	CD76
ATP16	ATP16
ZNF219	ZNF219
ZNF357	ZNF357
ZNF168	ZNF168
ZNF104	ZNF104
ZNF480	ZNF480
CXCL4	CXCL4
CD122	CD122
RPL37	RPL37
ZNF145	ZNF145
CD133	CD133
TRIM33	TRIM33
ZNF175	ZNF175
CD68	CD68
CCL15	CCL15
ZNF83	ZNF83
ZNF13	ZNF13
ZNF467	ZNF467
KRT6	KRT6
RPS17	RPS17
RPL6	RPL6
ZNF95	ZNF95
ZNF169	ZNF169
ZNF172	ZNF172
CD123	CD123
CD125	CD125
CD45	CD45
TRIM15	TRIM15
ZNF460	ZNF460
ZNF96	ZNF96
PPIA	PPIA
CD89	CD89
ZNF343	ZNF343
ZNF370	ZNF370
ZNF16	ZNF16
ZNF326	ZNF326
CD22	CD22
KRT17	KRT17
ZNF8	ZNF8
ZNF257	ZNF257
ZNF156	ZNF156
TRIM9	TRIM9
FGF11	FGF11
ZNF474	ZNF474
ZNF486	ZNF486
ZNF157	ZNF157
ZNF301	ZNF301
MMP19	MMP19
FGF13	FGF13
CD98	CD98
ZNF323	ZNF323
ZNF277	ZNF277
RPL26	RPL26
ZNF91	ZNF91
CD7	CD7
TRIM60	TRIM60
TRIM31	TRIM31
SOX7	SOX7
ZNF260	ZNF260
KRT33	KRT33
CD39	CD39
ZNF485	ZNF485
CD149	CD149
ZNF333	ZNF333
ZNF468	ZNF468
ZNF162	ZNF162
ZNF232	ZNF232
KRT4	KRT4
ZNF424	ZNF424
ZNF211	ZNF211
ZNF408	ZNF408
ZNF407	ZNF407
ZNF383	ZNF383
ATP27	ATP27
ZNF134	ZNF134
ZNF123	ZNF123
CD11	CD11
ZNF443	ZNF443
TRIM58	TRIM58
ZNF200	ZNF200
ZNF41	ZNF41
ZNF207	ZNF207
KRT10	KRT10
ZNF481	ZNF481
ZNF81	ZNF81
CD107	CD107
HOXA5	HOXA5
TRIM6	TRIM6
SOX27	SOX27
ZNF381	ZNF381
ZNF442	ZNF442
CCL10	CCL10
ZNF347	ZNF347
ZNF390	ZNF390
CD114	CD114
ZNF269	ZNF269
ATP13	ATP13
CD26	CD26
MMP2	MMP2
ZNF180	ZNF180
TRIM55	TRIM55
HOXA1	HOXA1
CD56	CD56
ATP37	ATP37
PKM	PKM
MMP7	MMP7
ZNF244	ZNF244
CD24	CD24
ATP14	ATP14
RPS10	RPS10
HOXC8	HOXC8
KRT27	KRT27
ZNF94	ZNF94
ZNF97	ZNF97
CD101	CD101
TRIM45	TRIM45
PGK1	PGK1
ZNF225	ZNF225
ZNF185	ZNF185
ZNF202	ZNF202
ZNF352	ZNF352
ZNF346	ZNF346
ZNF312	ZNF312
CD93	CD93
CD99	CD99
ZNF376	ZNF376
ZNF108	ZNF108
CD129	CD129
SOX2	SOX2
CD81	CD81
MAPK6	MAPK6
RPS7	RPS7
ZNF98	ZNF98
CD60	CD60
ZNF400	ZNF400
ZNF272	ZNF272
ZNF117	ZNF117
CD94	CD94
ZNF450	ZNF450
FGF7	FGF7
ZNF363	ZNF363
ATP21	ATP21
ZNF327	ZNF327
ZNF23	ZNF23
CD2	CD2
ZNF295	ZNF295
ATP43	ATP43
MAPK3	MAPK3
MAPK14	MAPK14
ZNF89	ZNF89
CD6	CD6
ZNF308	ZNF308
ATP6	ATP6
ZNF330	ZNF330
ZNF496	ZNF496
ZNF248	ZNF248
ZNF356	ZNF356
SOX16	SOX16
RPL7	RPL7
ZNF378	ZNF378
TRIM49	TRIM49
SOX14	SOX14
CXCL15	CXCL15
ZNF30	ZNF30
MMP5	MMP5
ZNF183	ZNF183
CD141	CD141
RPL29	RPL29
KRT22	KRT22
RPL18	RPL18
ZNF138	ZNF138
TRIM62	TRIM62
ZNF259	ZNF259
CD25	CD25
CD46	CD46
TRIM39	TRIM39
ZNF290	ZNF290
ZNF446	ZNF446
ZNF449	ZNF449
ZNF311	ZNF311
CCL16	CCL16
ZNF438	ZNF438
CD87	CD87
ZNF170	ZNF170
ZNF191	ZNF191
ZNF464	ZNF464
CD116	CD116
ZNF63	ZNF63
KRT15	KRT15
CD148	CD148
ZNF451	ZNF451
ZNF235	ZNF235
SOX24	SOX24
SOX25	SOX25
ZNF314	ZNF314
KRT12	KRT12
ZNF84	ZNF84
ZNF220	ZNF220
SLC1A1	SLC1A1
ZNF141	ZNF141
KRT18	KRT18
ZNF26	ZNF26
ZNF389	ZNF389
ZNF34	ZNF34
ZNF437	ZNF437
ZNF441	ZNF441
ZNF44	ZNF44
ZNF58	ZNF58
ZNF213	ZNF213
ZNF214	ZNF214
MDM2	MDM2
ZNF386	ZNF386
ZNF275	ZNF275
CCL19	CCL19
CD130	CD130
ZNF419	ZNF419
CD14	CD14
ZNF375	ZNF375
TRIM2	TRIM2
CD88	CD88
ZNF241	ZNF241
HOXB1	HOXB1
CD5	CD5
ZNF243	ZNF243
ZNF17	ZNF17
CD143	CD143
ATP26	ATP26
ZNF203	ZNF203
TRIM10	TRIM10
ZNF245	ZNF245
CD36	CD36
CD53	CD53
ATP10	ATP10
ZNF472	ZNF472
ZNF384	ZNF384
CD32	CD32
CD92	CD92
CD37	CD37
SLC1A3	SLC1A3
CD30	CD30
TRIM8	TRIM8
ZNF498	ZNF498
CD47	CD47
SLC2A10	SLC2A10
CD82	CD82
ZNF124	ZNF124
ZNF43	ZNF43
HOXA8	HOXA8
ZNF358	ZNF358
CD111	CD111
RPL12	RPL12
KRT1	KRT1
ZNF332	ZNF332
ZNF459	ZNF459
MMP3	MMP3
ZNF473	ZNF473
ZNF137	ZNF137
MMP12	MMP12
ZNF344	ZNF344
CCL13	CCL13
ZNF310	ZNF310
ATP2	ATP2
RPS25	RPS25
CD49	CD49
TRIM72	TRIM72
ZNF440	ZNF440
TRIM21	TRIM21
ZNF421	ZNF421
CCL7	CCL7
ZNF129	ZNF129
CD54	CD54
CD124	CD124
TRIM13	TRIM13
ATP5	ATP5
KRT9	KRT9
ZNF1	ZNF1
ZNF258	ZNF258
ZNF320	ZNF320
ZNF387	ZNF387
KRT23	KRT23
CD61	CD61
CD74	CD74
KRT11	KRT11
CD109	CD109
HOXB7	HOXB7
TRIM46	TRIM46
ZNF194	ZNF194
CXCL7	CXCL7
CD83	CD83
ZNF478	ZNF478
CD115	CD115
ZNF329	ZNF329
CD15	CD15
CD145	CD145
ZNF325	ZNF325
HOXA2	HOXA2
CCL24	CCL24
ZNF278	ZNF278
RPS24	RPS24
HOXB6	HOXB6
ATP20	ATP20
ZNF139	ZNF139
MAPK9	MAPK9
RPL39	RPL39
ZNF369	ZNF369
ZNF40	ZNF40
ZNF131	ZNF131
CD27	CD27
SLC2A13	SLC2A13
ZNF33	ZNF33
ZNF336	ZNF336
ATP34	ATP34
ZNF79	ZNF79
ZNF85	ZNF85
CD70	CD70
ZNF74	ZNF74
RPS28	RPS28
ZNF412	ZNF412
ZNF146	ZNF146
LDHA	LDHA
CD136	CD136
ZNF254	ZNF254
HOXB3	HOXB3
VIM	VIM
CD95	CD95
MMP6	MMP6
HOXB8	HOXB8
ZNF5	ZNF5
ZNF394	ZNF394
ZNF454	ZNF454
IL6	IL6
RPL17	RPL17
CXCL2	CXCL2
KRT25	KRT25
CCL26	CCL26
CD55	CD55
ATP31	ATP31
ZNF193	ZNF193
RPS29	RPS29
CD140	CD140
TRIM32	TRIM32
RPL38	RPL38
MMP24	MMP24
RPS11	RPS11
ZNF371	ZNF371
ATP24	ATP24
TRIM42	TRIM42
TRIM35	TRIM35
ZNF61	ZNF61
SOX21	SOX21
RPS22	RPS22
CCL5	CCL5
RPL35	RPL35
ZNF409	ZNF409
ZNF430	ZNF430
ATP41	ATP41
RPS18	RPS18
CD106	CD106
ZNF294	ZNF294
TRIM30	TRIM30
ZNF99	ZNF99
ZNF391	ZNF391
CD135	CD135
CD43	CD43
ZNF492	ZNF492
ZNF189	ZNF189
MAPK7	MAPK7
TRIM50	TRIM50
ZNF418	ZNF418
RPL4	RPL4
ZNF250	ZNF250
KRT24	KRT24
HOXB2	HOXB2
ZNF251	ZNF251
B2M	B2M
ZNF60	ZNF60
ZNF380	ZNF380
ZNF227	ZNF227
ZNF31	ZNF31
ZNF372	ZNF372
RPS2	RPS2
ZNF271	ZNF271
CD75	CD75
TRIM68	TRIM68
ATP22	ATP22
ZNF103	ZNF103
CCL14	CCL14
MALAT1	MALAT1
ACTB	ACTB
ZNF36	ZNF36
CD73	CD73
CD16	CD16
CXCL3	CXCL3
TRIM67	TRIM67
ZNF453	ZNF453
CD72	CD72
TBP	TBP
FGF12	FGF12
KRT26	KRT26
TRIM43	TRIM43
SOX6	SOX6
CD80	CD80
ZNF309	ZNF309
ZNF188	ZNF188
CCL8	CCL8
RPL5	RPL5
ZNF45	ZNF45
CD147	CD147
FGF19	FGF19
ZNF351	ZNF351
HOXC4	HOXC4
ATP28	ATP28
ZNF255	ZNF255
ZNF340	ZNF340
ZNF289	ZNF289
CD1	CD1
ZNF174	ZNF174
ZNF228	ZNF228
ZNF274	ZNF274
ZNF9	ZNF9
FGF4	FGF4
ZNF355	ZNF355
ZNF402	ZNF402
CD84	CD84
ZNF287	ZNF287
ZNF411	ZNF411
ZNF303	ZNF303
FGF21	FGF21
CD104	CD104
CD131	CD131
ZNF497	ZNF497
ZNF262	ZNF262
ZNF413	ZNF413
SLC1A5	SLC1A5
CD35	CD35
ZNF270	ZNF270
ZNF434	ZNF434
SLC1A6	SLC1A6
SOX20	SOX20
ZNF177	ZNF177
SLC2A5	SLC2A5
ZNF482	ZNF482
CD38	CD38
ZNF487	ZNF487
ZNF364	ZNF364
RPL23	RPL23
ZNF298	ZNF298
ZNF209	ZNF209
ZNF292	ZNF292
CD8	CD8
RPL11	RPL11
TRIM41	TRIM41
ZNF71	ZNF71
TRIM73	TRIM73
TRIM70	TRIM70
ZNF233	ZNF233
KRT35	KRT35
CXCL6	CXCL6
ZNF321	ZNF321
ATP32	ATP32
ZNF457	ZNF457
ZNF178	ZNF178
ATP12	ATP12
ZNF318	ZNF318
ZNF435	ZNF435
SLC2A11	SLC2A11
SOX26	SOX26
CXCL5	CXCL5
TRIM52	TRIM52
RPS9	RPS9
ZNF316	ZNF316
ZNF465	ZNF465
ZNF130	ZNF130
ZNF373	ZNF373
ZNF273	ZNF273
ZNF229	ZNF229
ZNF72	ZNF72
CD52	CD52
CD112	CD112
ZNF379	ZNF379
CD12	CD12
ZNF265	ZNF265
TRIM3	TRIM3
ZNF313	ZNF313
ZNF307	ZNF307
CD66	CD66
ZNF427	ZNF427
ZNF93	ZNF93
CCL12	CCL12
SOX11	SOX11
CD71	CD71
KRT28	KRT28
CD86	CD86
CCL18	CCL18
ZNF362	ZNF362
ZNF21	ZNF21
CD144	CD144
RPL32	RPL32
MMP1	MMP1
CD18	CD18
MMP18	MMP18
SLC1A4	SLC1A4
ZNF101	ZNF101
ZNF398	ZNF398
ZNF452	ZNF452
ENO1	ENO1
RPL27	RPL27
HOXA6	HOXA6
ATP36	ATP36
KRT20	KRT20
ZNF160	ZNF160
CD51	CD51
RPL36	RPL36
ZNF46	ZNF46
ZNF448	ZNF448
SOX8	SOX8
SOX19	SOX19
ZNF217	ZNF217
ZNF106	ZNF106
ZNF489	ZNF489
ZNF361	ZNF361
FGF22	FGF22
ZNF349	ZNF349
SOX13	SOX13
ZNF306	ZNF306
MMP9	MMP9
MAPK4	MAPK4
ZNF54	ZNF54
ZNF331	ZNF331
ZNF27	ZNF27
ZNF78	ZNF78
ZNF222	ZNF222
ZNF246	ZNF246
ZNF415	ZNF415
ZNF469	ZNF469
CD121	CD121
TRIM47	TRIM47
SOX23	SOX23
