#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	950426	13	N	N	1	*	*,2,913
contig_685	945353	14	N	N	1	*	685,-953
contig_361	923714	13	N	N	1	*	361,*
contig_337	908476	12	N	N	1	*	*,337,*
contig_765	906717	14	N	N	1	*	1041,765,-976
contig_18	905737	14	N	N	1	*	*,375,18,-850
contig_667	902207	16	N	N	1	*	1022,667,1030
contig_97	901585	15	N	N	1	*	97,1064
contig_846	898233	15	N	N	1	*	-1064,846
contig_787	896627	14	N	N	1	*	787
contig_764	896555	16	N	N	1	*	1041,764,-976
contig_358	878330	13	N	N	1	*	968,358,*
contig_851	852137	15	N	N	1	*	850,851,*
contig_222	832555	14	N	N	1	*	222,223
contig_1035	829335	16	N	N	1	*	740,1035
contig_664	824183	14	N	N	1	*	1021,664,1022
contig_339	821965	15	N	N	1	*	959,339,987
contig_6	815778	14	N	N	1	*	-913,6,*
contig_741	810617	17	N	N	1	*	740,741
contig_305	807551	15	N	N	1	*	*,305,-1030
contig_340	807392	15	N	N	1	*	959,340,987
contig_221	805889	14	N	N	1	*	221,223
contig_663	795037	13	N	N	1	*	1021,663,1022
contig_730	783997	15	N	N	1	*	729,730
contig_296	783081	15	N	N	1	*	947,296
contig_731	776436	14	N	N	1	*	729,731
contig_295	763589	15	N	N	1	*	947,295
contig_199	752559	14	N	N	1	*	1030,199
contig_775	751488	14	N	N	1	*	-774,775,1062
contig_721	750192	15	N	N	1	*	-717,-718,-719,-717,721
contig_440	747150	14	N	N	1	*	-959,440,*
contig_842	746758	15	N	N	1	*	-774,842,1062
contig_362	735992	16	N	N	1	*	972,362
contig_322	731386	14	N	N	1	*	322,-931
contig_401	723168	14	N	N	1	*	399,401,979
contig_363	720899	16	N	N	1	*	972,363
contig_194	719534	13	N	N	1	*	194,-931
contig_189	719240	15	N	N	1	*	1052,189
contig_400	708586	15	N	N	1	*	399,400,979
contig_687	698763	15	N	N	1	*	1024,687,-929
contig_352	698710	15	N	N	1	*	352,*
contig_411	696592	15	N	N	1	*	411
contig_847	695824	15	N	N	1	*	1064,847,*
contig_98	694482	15	N	N	1	*	98,1028
contig_686	685144	15	N	N	1	*	1024,686,-929
contig_324	682479	13	N	N	1	*	-969,324,*
contig_801	679565	16	N	N	1	*	1052,801
contig_230	679235	15	N	N	1	*	230
contig_231	676887	14	N	N	1	*	231
contig_300	661036	14	N	N	1	*	-301,299,-301,299,-301,300,951
contig_99	646993	14	N	N	1	*	99,1028
contig_302	643640	15	N	N	1	*	950,299,302,951
contig_287	619020	15	N	N	1	*	942,287,943
contig_562	604171	32	N	N	2	*	562
contig_156	602021	14	N	N	1	*	156,-1045
contig_187	597602	16	N	N	1	*	187,-1033
contig_286	597299	15	N	N	1	*	942,286,943
contig_102	595843	13	N	N	1	*	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,-1045
contig_696	590489	14	N	N	1	*	-969,696,-306
contig_723	583304	16	N	N	1	*	1033,723
contig_714	582438	15	N	N	1	*	1031,714,1032
contig_200	558921	15	N	N	1	*	-1032,200,-1031
contig_612	510798	14	N	N	1	*	-1009,612,813,1054,813,1054,813,1054
contig_874	505333	15	N	N	1	*	1067,874
contig_873	489489	15	N	N	1	*	1067,873
contig_371	486780	16	N	N	1	*	964,371,*
contig_206	485014	13	N	N	1	*	206,929
contig_666	479672	16	N	N	1	*	*,666,1030
contig_180	474377	14	N	N	1	*	*,-367,180,349
contig_205	472309	15	N	N	1	*	205,929
contig_424	464914	16	N	N	1	*	423,424
contig_425	459536	15	N	N	1	*	423,425
contig_370	439394	15	N	N	1	*	370
contig_597	435778	13	N	N	1	*	1006,597,1007
contig_762	430357	15	N	N	1	*	762,1041
contig_542	427690	29	N	N	2	*	542
contig_596	425940	14	N	N	1	*	1006,596,1007
contig_625	425607	14	N	N	1	*	625
contig_369	421283	15	N	N	1	*	369
contig_616	419442	17	N	N	1	*	616
contig_763	409166	15	N	N	1	*	763,1041
contig_617	409034	15	N	N	1	*	617
contig_624	406701	14	N	N	1	*	624
contig_728	403261	14	N	N	1	*	726,728,729
contig_577	397245	32	N	N	2	*	577
contig_225	395011	15	N	N	1	*	223,225,226
contig_727	393474	13	N	N	1	*	726,727,729
contig_166	391171	15	N	N	1	*	924,-170,-168,-164,-161,-161,166,1053,1053,1053
contig_224	390527	15	N	N	1	*	223,224,226
contig_314	374877	15	N	N	1	*	*,314,*
contig_810	373510	14	N	N	1	*	*,810,*
contig_516	359365	31	N	N	2	*	516
contig_855	352004	15	N	N	1	*	-950,855,1052
contig_665	351395	13	N	N	1	*	1022,665,*
contig_945	341769	14	N	N	1	*	-288,-288,-288,-289,-288,-288,-288,-288,945,*
contig_856	340416	16	N	N	1	*	-950,856,1052
contig_752	335361	16	N	N	1	*	752,1037
contig_443	326202	13	N	N	1	*	987,443,988
contig_753	321583	14	N	N	1	*	753,1037
contig_784	320204	16	N	N	1	*	782,784
contig_309	319529	17	N	N	1	*	309
contig_330	311104	13	N	N	1	*	*,330,1050
contig_783	310967	14	N	N	1	*	782,783
contig_829	304999	16	N	N	1	*	829
contig_828	304556	16	N	N	1	*	828
contig_791	304526	14	N	N	1	*	791,1048
contig_797	301668	17	N	N	1	*	797
contig_355	297934	12	N	N	1	*	*,355,*
contig_551	297154	27	N	N	2	*	551
contig_442	297098	14	N	N	1	*	987,442,988
contig_498	292581	29	N	N	2	*	498
contig_453	291655	15	N	N	1	*	943,453
contig_812	289725	15	N	N	1	*	812,-979
contig_454	288263	15	N	N	1	*	943,454
contig_811	285804	14	N	N	1	*	811,-979
contig_871	280901	14	N	N	1	*	871,1067
contig_328	279987	31	N	N	2	*	327,328
contig_421	271052	16	N	N	1	*	421,423
contig_422	270624	16	N	N	1	*	422,423
contig_872	267784	14	N	N	1	*	872,1067
contig_973	267340	19	Y	N	1	*	973
contig_853	253669	17	N	N	1	*	-782,853
contig_984	250214	27	N	N	2	*	984
contig_649	239033	16	N	N	1	*	1017,649
contig_648	235653	13	N	N	1	*	1017,648
contig_1027	234324	15	N	N	1	*	-947,1027
contig_725	231646	16	N	N	1	*	725,726
contig_497	231510	14	N	N	1	*	998,497
contig_623	231270	15	N	N	1	*	623
contig_690	230357	18	N	N	1	*	-947,690
contig_852	227627	16	N	N	1	*	-782,852
contig_589	226447	16	N	N	1	*	589,1004
contig_724	225261	16	N	N	1	*	724,726
contig_496	220901	14	N	N	1	*	998,496
contig_622	219910	14	N	N	1	*	622
contig_428	213030	16	N	N	1	*	985,428
contig_429	211880	15	N	N	1	*	985,429
contig_732	208777	30	N	N	2	*	732
contig_588	206927	15	N	N	1	*	588,1004
contig_773	206576	15	N	N	1	*	*,773
contig_799	206029	17	N	N	1	*	-972,799
contig_1058	205473	27	N	N	2	*	1058
contig_974	204275	28	N	N	2	*	974
contig_800	204124	14	N	N	1	*	-972,800
contig_744	202381	14	N	N	1	*	744
contig_460	201151	14	N	N	1	*	460
contig_745	199526	14	N	N	1	*	745
contig_981	197054	14	N	N	1	*	-417,981,*
contig_888	194482	3	N	N	1	*	*,888,*
contig_461	190587	16	N	N	1	*	461
contig_768	189559	14	N	N	1	*	768,*
contig_661	189234	15	N	N	1	*	661,1021
contig_997	187551	32	N	N	2	*	997
contig_662	183730	14	N	N	1	*	662,1021
contig_739	182715	14	N	N	1	*	-1031,739,740
contig_508	182640	17	N	N	1	*	508,999
contig_1047	181856	35	N	N	2	*	1047
contig_613	181250	18	N	N	1	*	1009,613,615
contig_614	178254	13	N	N	1	*	1009,614,615
contig_509	177064	14	N	N	1	*	509,999
contig_760	174461	17	N	N	1	*	760
contig_629	174292	16	N	N	1	*	629
contig_1008	174042	28	N	N	2	*	1008
contig_647	171197	15	N	N	1	*	647,1017
contig_761	171149	12	N	N	1	*	761
contig_738	170035	14	N	N	1	*	-1031,738,740
contig_628	169576	16	N	N	1	*	628
contig_776	163601	15	N	N	1	*	774,776,1045
contig_198	158562	14	N	N	1	*	198,1017
contig_598	157091	15	N	N	1	*	1007,598
contig_631	156817	14	N	N	1	*	631
contig_854	156585	16	N	N	1	*	854
contig_835	154660	14	N	N	1	*	835
contig_599	154618	12	N	N	1	*	1007,599
contig_630	153115	12	N	N	1	*	630
contig_777	152929	16	N	N	1	*	774,777,1045
contig_638	147315	29	N	N	2	*	638
contig_655	144628	15	N	N	1	*	1018,655,1019
contig_814	143779	13	N	N	1	*	814,*
contig_831	142678	14	N	N	1	*	831
contig_656	142476	18	N	N	1	*	1018,656,1019
contig_586	141010	14	N	N	1	*	919,586
contig_526	140844	16	N	N	1	*	526
contig_510	140815	13	N	N	1	*	999,510
contig_832	140397	15	N	N	1	*	832
contig_527	138332	15	N	N	1	*	527
contig_917	138107	30	N	N	2	*	917
contig_511	137585	18	N	N	1	*	999,511
contig_22	133780	10	N	N	1	*	*,22
contig_1049	133187	28	N	N	2	*	1049
contig_587	132481	16	N	N	1	*	919,587
contig_1040	131428	29	N	N	2	*	1040
contig_513	131155	16	N	N	1	*	513
contig_604	130653	16	N	N	1	*	604
contig_512	130563	14	N	N	1	*	512
contig_603	130185	14	N	N	1	*	603
contig_963	130185	32	N	N	2	*	963
contig_1066	130119	3	N	N	1	*	*,1066,*
contig_1013	128361	25	N	N	2	*	1013
contig_755	127711	18	N	N	1	*	1037,755
contig_451	127430	15	N	N	1	*	451,942
contig_754	127134	17	N	N	1	*	1037,754
contig_452	125372	14	N	N	1	*	452,942
contig_217	123745	16	N	N	1	*	217,931
contig_994	122281	26	N	N	2	*	994
contig_643	119769	14	N	N	1	*	643,985
contig_644	119697	17	N	N	1	*	644,985
contig_213	119448	15	N	N	1	*	211,213
contig_991	118961	14	N	N	1	*	991
contig_212	118151	17	N	N	1	*	211,212
contig_636	117956	13	N	N	1	*	636
contig_840	117525	14	N	N	1	*	-1033,840,-951
contig_444	114961	16	N	N	1	*	444,989
contig_759	114205	15	N	N	1	*	759
contig_758	113962	17	N	N	1	*	758
contig_1005	113883	31	N	N	2	*	1005
contig_220	113338	3	N	N	1	*	*,220,*
contig_1003	112479	34	N	N	2	*	1003
contig_450	112160	16	N	N	1	*	450
contig_227	111524	15	N	N	1	*	226,227
contig_595	109062	15	N	N	1	*	595,1006
contig_841	108804	15	N	N	1	*	-1033,841,-951
contig_621	108608	30	N	N	2	*	621
contig_232	107440	27	N	N	2	*	232
contig_228	107046	12	N	N	1	*	226,228
contig_594	106349	16	N	N	1	*	594,1006
contig_934	106324	32	N	N	2	*	934
contig_445	105852	15	N	N	1	*	445,989
contig_1011	105757	26	N	N	2	*	1011
contig_975	105620	29	N	N	2	*	975
contig_990	105542	30	N	N	2	*	990
contig_495	104029	14	N	N	1	*	495,998
contig_397	103406	11	N	N	1	*	397,399
contig_494	103159	14	N	N	1	*	494,998
contig_827	102042	29	N	N	2	*	827
contig_464	100870	13	N	N	1	*	464,-955
contig_703	100142	17	N	N	1	*	703,*
contig_894	99737	15	N	N	1	*	-956,894,895
contig_637	98663	15	N	N	1	*	637
contig_843	98173	16	N	N	1	*	843,-1050
contig_958	97534	7	N	N	1	*	958,*
contig_216	96935	16	N	N	1	*	216,931
contig_983	96908	30	N	N	2	*	983
contig_772	96469	21	N	N	1	*	772,937
contig_396	96215	18	N	N	1	*	396,399
contig_465	95951	17	N	N	1	*	465,-955
contig_455	95765	29	N	N	2	*	455
contig_467	95378	14	N	N	1	*	467,996
contig_466	92704	12	N	N	1	*	466,996
contig_459	90884	11	N	N	1	*	459
contig_458	89200	12	N	N	1	*	458
contig_742	88984	36	N	N	2	*	742
contig_591	88289	15	N	N	1	*	1004,591
contig_887	88013	3	N	N	1	*	*,887,*
contig_893	86679	14	N	N	1	*	-956,893,895
contig_1000	86635	33	N	N	2	*	1000
contig_844	86579	14	N	N	1	*	844,-1050
contig_590	86420	18	N	N	1	*	1004,590
contig_1043	86335	30	N	N	2	*	1043
contig_437	86078	34	N	N	2	*	437
contig_404	85675	17	N	N	1	*	412,415,404
contig_311	85623	16	N	N	1	*	-955,311
contig_927	85394	26	N	N	2	*	927
contig_177	84547	14	N	N	1	*	*,-179,177
contig_1016	84341	28	N	N	2	*	1016
contig_654	83332	11	N	N	1	*	654,1018
contig_889	82647	3	N	N	1	*	*,889,*
contig_602	82413	31	N	N	2	*	602
contig_891	82271	3	N	N	1	*	*,891,*
contig_240	81713	19	N	N	1	*	-937,240
contig_1026	81301	28	N	N	2	*	1026
contig_980	79325	28	N	N	2	*	980
contig_1065	79288	3	N	N	1	*	*,1065,*
contig_1020	78938	11	N	N	1	*	1019,1020
contig_580	78458	15	N	N	1	*	580
contig_581	77687	16	N	N	1	*	581
contig_468	76184	11	N	N	1	*	996,468
contig_932	76184	29	N	N	2	*	932
contig_920	75693	25	N	N	2	*	920
contig_610	75043	18	N	N	1	*	610,611,1009
contig_954	74372	18	N	N	1	*	954,955
contig_554	74217	13	N	N	1	*	554
contig_653	74138	11	N	N	1	*	653,1018
contig_555	73902	16	N	N	1	*	555
contig_657	72550	14	N	N	1	*	1019,657
contig_930	70624	27	N	N	2	*	930
contig_992	70248	31	N	N	2	*	992
contig_476	70168	13	N	N	1	*	476
contig_477	69833	13	N	N	1	*	477
contig_447	69309	19	N	N	1	*	989,447
contig_157	69281	3	N	N	1	*	*,157,*
contig_691	68330	30	N	N	2	*	691
contig_1010	68191	29	N	N	2	*	1010
contig_961	66523	3	N	N	1	*	*,961,*
contig_446	66026	14	N	N	1	*	989,446
contig_933	65611	28	N	N	2	*	933
contig_948	64935	35	N	N	2	*	948
contig_658	63469	29	N	N	2	*	658
contig_1044	63060	37	N	N	2	*	1044
contig_1034	63007	31	N	N	2	*	1034
contig_957	62615	31	N	N	2	*	957
contig_274	61998	15	N	N	1	*	274,*
contig_344	61809	3	N	N	1	*	*,344,*
contig_1038	61549	30	N	N	2	*	1038
contig_609	61444	16	N	N	1	*	609,611,1009
contig_946	61123	27	N	N	2	*	946
contig_469	60680	11	N	N	1	*	996,469
contig_993	59612	31	N	N	2	*	993
contig_1014	58706	27	N	N	2	*	1014
contig_928	58618	30	N	N	2	*	928
contig_713	58562	8	N	N	1	*	713,*
contig_978	57795	28	N	N	2	*	978
contig_1039	57656	30	N	N	2	*	1039
contig_544	57257	16	N	N	1	*	544
contig_916	56566	35	N	N	2	*	916
contig_543	55369	13	N	N	1	*	543
contig_995	54928	32	N	N	2	*	995
contig_837	54533	8	N	N	1	*	*,837,*
contig_570	54109	18	N	N	1	*	570
contig_433	53833	10	N	N	1	*	433
contig_982	53757	28	N	N	2	*	982
contig_670	53662	15	N	N	1	*	670
contig_935	52955	29	N	N	2	*	935
contig_1051	52908	31	N	N	2	*	1051
contig_1012	52802	24	N	N	2	*	1012
contig_569	52743	12	N	N	1	*	569
contig_652	51611	24	N	N	2	*	652
contig_669	51370	20	N	N	1	*	669
contig_390	51246	17	N	N	1	*	390
contig_967	51147	28	N	N	2	*	967
contig_391	50382	12	N	N	1	*	391
contig_671	50253	32	N	N	2	*	671
contig_943	49490	32	N	Y	2	*	943
contig_635	49460	14	N	Y	1	446	*,635,*
contig_987	49210	30	N	Y	2	*	987
contig_367	49169	10	N	Y	1	*	367,*
contig_518	48934	16	N	Y	1	306	*,518,*
contig_720	48371	8	N	N	1	*	*,720,*
contig_830	48069	4	N	N	1	*	*,830,*
contig_1048	48030	27	N	Y	2	*	1048
contig_530	47778	13	N	Y	1	412	*,530,*
contig_627	47337	13	N	Y	1	442	*,627,*
contig_912	47084	3	N	N	1	*	*,912,*
contig_976	46721	40	N	Y	3	*	976
contig_626	46516	21	N	Y	1	442	*,626,*
contig_936	46242	8	N	Y	1	*	936,*
contig_1006	45752	33	N	Y	2	*	1006
contig_962	45642	13	N	Y	1	368	*,962,*
contig_968	45580	35	N	Y	2	*	968
contig_859	45113	18	N	Y	1	458	*,859,*
contig_529	45087	14	N	Y	1	412	*,529,*
contig_977	44984	35	N	Y	2	*	977
contig_998	44921	30	N	Y	2	*	998
contig_436	44704	9	N	N	1	*	*,436,*
contig_456	44427	16	N	Y	1	298	*,456,*
contig_525	44213	17	N	Y	1	312	*,525,*
contig_524	44202	16	N	Y	1	312	*,524,*
contig_533	43070	16	N	Y	1	416	*,533,*
contig_333	42761	3	N	N	1	*	*,333,*
contig_380	41987	3	N	N	1	*	*,380,*
contig_956	41510	27	N	Y	2	*	956
contig_457	41328	14	N	Y	1	298	*,457,*
contig_601	41243	17	N	Y	1	334	*,601,*
contig_879	41060	3	N	N	1	*	*,879,*
contig_600	40892	16	N	Y	1	334	*,600,*
contig_1052	40891	29	N	Y	2	*	1052
contig_492	40712	11	N	Y	1	408	*,492,*
contig_955	40686	29	N	Y	2	*	955
contig_903	40657	3	N	N	1	*	*,903,*
contig_1032	40604	30	N	Y	2	*	1032
contig_639	40348	20	N	Y	1	336	*,639,*
contig_878	40280	3	N	N	1	*	*,878,*
contig_640	39574	14	N	Y	1	336	*,640,*
contig_1031	39128	30	N	Y	2	*	1031
contig_534	39087	13	N	Y	1	416	*,534,*
contig_517	38992	13	N	Y	1	306	*,517,*
contig_482	38890	18	N	Y	1	384	*,482,*
contig_929	38808	27	N	Y	2	*	929
contig_858	38634	13	N	Y	1	458	*,858,*
contig_1009	38482	31	N	Y	2	*	1009
contig_979	38412	31	N	Y	2	*	979
contig_746	37488	15	N	Y	1	454	*,746,*
contig_375	37462	5	N	Y	1	*	*,375
contig_531	37185	17	N	Y	1	414	*,531,*
contig_607	37124	13	N	Y	1	440	*,607,*
contig_959	37119	28	N	Y	2	*	959
contig_1028	36719	29	N	Y	2	*	1028
contig_634	36690	16	N	Y	1	446	*,634,*
contig_1069	36352	12	Y	N	1	*	1069
contig_608	36081	12	N	Y	1	440	*,608,*
contig_996	35942	24	N	Y	2	*	996
contig_386	35835	11	N	N	1	*	*,386,*
contig_345	35749	14	N	Y	1	368	*,345,*
contig_1033	35662	27	N	Y	2	*	1033
contig_931	35524	26	N	Y	2	*	931
contig_1001	35495	10	N	Y	1	316	*,1001,*
contig_926	35422	5	N	Y	1	*	*,926
contig_972	35367	23	N	Y	2	*	972
contig_483	35350	17	N	Y	1	384	*,483,*
contig_538	35318	10	N	Y	1	422	*,538,*
contig_493	35145	11	N	Y	1	408	*,493,*
contig_528	35094	20	N	Y	1	316	*,528,*
contig_747	34922	16	N	Y	1	454	*,747,*
contig_532	34804	17	N	Y	1	414	*,532,*
contig_947	34765	34	N	Y	2	*	947
contig_659	34567	19	N	Y	1	340	*,659,*
contig_999	34523	27	N	Y	2	*	999
contig_502	34397	15	N	Y	1	302	*,502,*
contig_501	34276	21	N	Y	1	302	*,501,*
contig_578	34091	14	N	Y	1	332	*,578,*
contig_907	34038	4	N	N	1	*	*,907,*
contig_229	34014	3	N	N	1	*	*,229,*
contig_479	33421	16	N	Y	1	400	*,479,*
contig_366	33161	9	N	N	1	*	-364,366,*
contig_919	33154	31	N	Y	2	*	919
contig_306	32762	57	N	Y	4	*	306
contig_579	32621	17	N	Y	1	332	*,579,*
contig_953	32536	29	N	Y	2	*	953
contig_478	32480	20	N	Y	1	400	*,478,*
contig_795	32368	18	N	Y	1	460	*,795,*
contig_734	32356	18	N	Y	1	348	*,734,*
contig_900	32284	3	N	N	1	*	*,900,*
contig_735	31846	16	N	Y	1	348	*,735,*
contig_1050	31626	23	N	Y	2	*	1050
contig_908	31215	3	N	N	1	*	*,908,*
contig_910	31181	3	N	N	1	*	*,910,*
contig_376	30942	4	N	N	1	*	*,376,*
contig_911	30885	909	Y	N	61	*	911
contig_349	30844	27	N	Y	2	*	349
contig_1007	30826	32	N	Y	2	*	1007
contig_313	30496	3	N	N	1	*	*,313,*
contig_523	30450	18	N	Y	1	314	*,523,*
contig_1037	30318	31	N	Y	2	*	1037
contig_1018	30076	26	N	Y	2	*	1018
contig_1041	30040	28	N	Y	2	*	1041
contig_970	30018	33	N	Y	2	*	970
contig_698	29938	3	N	N	1	*	*,698,*
contig_1004	29906	37	N	Y	2	*	1004
contig_902	29143	6	N	N	1	*	*,902,*
contig_24	28802	9	N	N	1	*	*,24,*
contig_1017	28728	36	N	Y	2	*	1017
