feature	signal	control	note
tss_profile_-1500_-1400	2051	2231	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1500_-1400	539	765	relative to nearest protein-coding gene TSS
tss_profile_-1400_-1300	2095	2398	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1400_-1300	610	758	relative to nearest protein-coding gene TSS
tss_profile_-1300_-1200	2080	2400	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1300_-1200	576	773	relative to nearest protein-coding gene TSS
tss_profile_-1200_-1100	2152	2419	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1200_-1100	611	838	relative to nearest protein-coding gene TSS
tss_profile_-1100_-1000	2111	2400	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1100_-1000	608	772	relative to nearest protein-coding gene TSS
tss_profile_-1000_-900	2217	2468	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1000_-900	625	866	relative to nearest protein-coding gene TSS
tss_profile_-900_-800	2245	2498	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-900_-800	618	862	relative to nearest protein-coding gene TSS
tss_profile_-800_-700	2231	2629	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-800_-700	623	916	relative to nearest protein-coding gene TSS
tss_profile_-700_-600	2146	2636	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-700_-600	598	934	relative to nearest protein-coding gene TSS
tss_profile_-600_-500	2227	2672	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-600_-500	606	965	relative to nearest protein-coding gene TSS
tss_profile_-500_-400	2249	2822	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-500_-400	607	986	relative to nearest protein-coding gene TSS
tss_profile_-400_-300	2304	2885	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-400_-300	634	1087	relative to nearest protein-coding gene TSS
tss_profile_-300_-200	2204	2946	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-300_-200	554	1130	relative to nearest protein-coding gene TSS
tss_profile_-200_-100	2207	2921	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-200_-100	483	1075	relative to nearest protein-coding gene TSS
tss_profile_-100_+0	2298	3302	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-100_+0	480	1200	relative to nearest protein-coding gene TSS
tss_profile_+0_+100	2377	3347	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+0_+100	538	1145	relative to nearest protein-coding gene TSS
tss_profile_+100_+200	2319	3070	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+100_+200	524	1017	relative to nearest protein-coding gene TSS
tss_profile_+200_+300	2298	3029	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+200_+300	562	1031	relative to nearest protein-coding gene TSS
tss_profile_+300_+400	2295	2806	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+300_+400	577	998	relative to nearest protein-coding gene TSS
tss_profile_+400_+500	2291	2876	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+400_+500	610	1016	relative to nearest protein-coding gene TSS
tss_profile_+500_+600	2121	2731	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+500_+600	570	1013	relative to nearest protein-coding gene TSS
tss_profile_+600_+700	2107	2655	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+600_+700	551	976	relative to nearest protein-coding gene TSS
tss_profile_+700_+800	2138	2569	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+700_+800	561	962	relative to nearest protein-coding gene TSS
tss_profile_+800_+900	2059	2550	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+800_+900	521	933	relative to nearest protein-coding gene TSS
tss_profile_+900_+1000	2069	2389	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+900_+1000	545	887	relative to nearest protein-coding gene TSS
tss_profile_+1000_+1100	2059	2342	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1000_+1100	568	929	relative to nearest protein-coding gene TSS
tss_profile_+1100_+1200	2002	2406	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1100_+1200	579	855	relative to nearest protein-coding gene TSS
tss_profile_+1200_+1300	2011	2411	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1200_+1300	502	914	relative to nearest protein-coding gene TSS
tss_profile_+1300_+1400	1874	2272	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1300_+1400	493	789	relative to nearest protein-coding gene TSS
tss_profile_+1400_+1500	1901	2372	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1400_+1500	494	905	relative to nearest protein-coding gene TSS
tss_profile_+1500_+1600	1961	2292	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1500_+1600	544	807	relative to nearest protein-coding gene TSS
tss_profile_+1600_+1700	1957	2233	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1600_+1700	514	774	relative to nearest protein-coding gene TSS
tss_profile_+1700_+1800	1911	2212	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1700_+1800	509	835	relative to nearest protein-coding gene TSS
tss_profile_+1800_+1900	1873	2162	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1800_+1900	545	779	relative to nearest protein-coding gene TSS
tss_profile_+1900_+2000	1790	2228	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_+1900_+2000	538	855	relative to nearest protein-coding gene TSS
bin_1000000_occupied_signal	2959		
bin_1000000_occupied_control	2958		
bin_1000000_entropy_signal	7.9114207		
bin_1000000_entropy_control	7.9072465		
bin_1000000_pearson	0.55389084		
bin_1000000_top_1pct_signal	0.028280413		
bin_1000000_top_1pct_control	0.021444849		
bin_1000000_top_5pct_signal	0.098865676		
bin_1000000_top_5pct_control	0.092258248		
bin_1000000_top_10pct_signal	0.17395436		
bin_1000000_top_10pct_control	0.17018285		
bin_1000000_enriched_bins	422		
bin_1000000_enriched_bin_fraction	0.14256757		
bin_1000000_enriched_signal_read_fraction	0.16425185		
bin_1000000_enriched_runs	221		
bin_1000000_longest_enriched_run_bp	9000000		
bin_1000000_top_signal_1	1962	558	chr19:37000000-38000000
bin_1000000_top_signal_2	1815	586	chr19:36000000-37000000
bin_1000000_top_signal_3	1718	384	chr19:57000000-58000000
bin_1000000_top_signal_4	1296	296	chr19:52000000-53000000
bin_1000000_top_signal_5	1115	586	chr19:44000000-45000000
bin_1000000_top_signal_6	1103	738	chr19:34000000-35000000
bin_1000000_top_signal_7	1063	325	chr19:53000000-54000000
bin_1000000_top_signal_8	1033	348	chr19:56000000-57000000
bin_1000000_top_signal_9	878	471	chr19:31000000-32000000
bin_1000000_top_signal_10	861	811	chr19:40000000-41000000
bin_100000_occupied_signal	29047		
bin_100000_occupied_control	28935		
bin_100000_entropy_signal	10.162224		
bin_100000_entropy_control	10.175431		
bin_100000_pearson	0.35613306		
bin_100000_top_1pct_signal	0.034456698		
bin_100000_top_1pct_control	0.024351063		
bin_100000_top_5pct_signal	0.11494387		
bin_100000_top_5pct_control	0.10208025		
bin_100000_top_10pct_signal	0.1982295		
bin_100000_top_10pct_control	0.18542845		
bin_100000_enriched_bins	5932		
bin_100000_enriched_bin_fraction	0.20335264		
bin_100000_enriched_signal_read_fraction	0.27346537		
bin_100000_enriched_runs	2871		
bin_100000_longest_enriched_run_bp	4600000		
bin_100000_top_signal_1	279	95	chr19:40000000-40100000
bin_100000_top_signal_2	264	73	chr19:36500000-36600000
bin_100000_top_signal_3	263	70	chr19:36600000-36700000
bin_100000_top_signal_4	261	61	chr19:37400000-37500000
bin_100000_top_signal_5	246	50	chr19:58200000-58300000
bin_100000_top_signal_6	240	60	chr19:37600000-37700000
bin_100000_top_signal_7	239	59	chr19:36400000-36500000
bin_100000_top_signal_8	234	61	chr19:36700000-36800000
bin_100000_top_signal_9	227	35	chr12:133000000-133100000
bin_100000_top_signal_10	220	68	chr19:37300000-37400000
