rank	candidate_count_chi2_ge_100_min_reads_50_l1_ge_0_5	gene	chi_square	l1_isoform_fraction_shift	max_isoform_fraction_shift	total_reads_A	total_reads_B	informative_isoforms	n_transcripts
52	59	MYCBP2	114.311960	1.787653	0.724614	63.999000	67.999000	9	29
53	59	PRKAR1A	112.001000	2.000000	0.815981	60.001000	52.000000	5	25
54	59	PRRC2C	112.000000	2.000000	0.982456	55.000000	57.000000	4	13
55	59	EIF4G2	110.671297	0.740591	0.326503	231.001000	264.999000	6	31
56	59	SPTAN1	109.000000	2.000000	0.869152	46.000000	63.000000	6	46
57	59	EEF1B2	108.386723	1.298748	0.649374	112.000000	115.000000	3	10
58	59	NAP1L1	108.007714	0.695393	0.220526	193.001000	210.001000	9	26
59	59	EIF4G1	107.920207	1.382590	0.486901	103.999000	94.000000	4	40
60	59	XPO1	107.898251	1.427143	0.595903	86.999000	82.000000	4	55
61	59	BIRC3	107.633529	1.330460	0.665230	76.000000	100.000000	4	7
62	59	TNFAIP3	107.549290	1.620364	0.810182	77.000000	80.000000	3	9
63	59	NFKB1	104.000000	2.000000	0.868140	57.000000	47.000000	4	25
64	59	MTHFD1	102.897000	2.000000	0.625736	49.897000	53.000000	6	34
65	59	DYNC1H1	102.000000	2.000000	1.000000	53.000000	49.000000	2	64
66	59	RPS10	101.442644	0.645007	0.322503	174.000000	151.893000	3	9
67	59	NONO	100.546974	1.608576	0.804288	70.001000	66.000000	5	40
68	59	MAPKAP1	100.429251	1.874441	0.542220	54.000000	59.000000	7	20
69	59	MX1	100.049778	0.622904	0.175408	170.000000	208.999000	9	48
70	59	COPB2	100.000000	2.000000	0.874561	57.000000	43.000000	4	18
71	59	SNHG29	99.665559	1.358780	0.534072	94.000000	90.999000	8	62
72	59	PCBP2	99.221766	1.142959	0.507431	109.000000	109.803000	9	26
73	59	TMEM30A	99.000000	2.000000	1.000000	49.000000	50.000000	2	9
74	59	PPP2R1A	98.098681	1.866120	0.888105	48.999000	57.000000	5	22
75	59	TMEM131L	98.000000	2.000000	1.000000	52.000000	46.000000	3	8
76	59	EIF2AK2	97.000000	2.000000	0.804224	49.000000	48.000000	4	14
77	59	HLA-A	96.615215	0.289813	0.130147	586.533000	551.925000	9	24
78	59	EWSR1	96.491394	1.955451	0.977725	51.000000	47.999000	6	22
79	59	OAZ1	95.464731	1.024193	0.481084	108.000000	110.648000	6	11
80	59	RAPGEF1	94.005000	2.000000	1.000000	49.005000	45.000000	4	8
81	59	PTEN	93.651005	1.297337	0.408724	67.970000	90.999000	6	22
82	59	RASSF2	93.000000	2.000000	1.000000	48.000000	45.000000	2	3
83	59	DHCR24	92.000000	2.000000	1.000000	41.000000	51.000000	2	12
84	59	TNIP1	91.695969	1.084484	0.343919	128.000000	102.000000	5	20
85	59	CYB5B	91.001000	2.000000	0.768660	47.000000	44.001000	6	17
86	59	PJA2	91.000000	2.000000	1.000000	47.000000	44.000000	3	4
87	59	PTBP1	90.153178	1.940333	0.970167	48.000000	45.000000	4	24
88	59	NBN	89.999000	2.000000	0.941955	44.000000	45.999000	6	38
89	59	G3BP1	89.920310	1.283394	0.384653	66.000000	75.000000	8	78
90	59	LRBA	89.755671	1.404559	0.689883	69.001000	60.000000	5	23
91	59	EZR	89.677051	1.353475	0.676737	84.000000	99.000000	2	3
92	59	YME1L1	89.000000	2.000000	1.000000	52.000000	37.000000	2	8
93	59	BIRC6	88.527969	1.610788	0.805394	55.000000	66.000000	5	15
94	59	PDIA3	88.519277	0.769725	0.376131	123.000000	119.001000	5	33
95	59	CTSS	88.296633	1.794218	0.440855	50.999000	55.000000	6	19
96	59	PTP4A2	87.895071	1.460101	0.533975	79.000000	73.000000	6	20
97	59	RPS3	87.549475	0.568527	0.159382	228.000000	243.999000	8	20
98	59	LMNA	87.000000	2.000000	0.828714	45.000000	42.000000	6	45
99	59	RUNX3	87.000000	2.000000	1.000000	41.000000	46.000000	3	5
100	59	EIF3I	86.000000	2.000000	0.854977	42.000000	44.000000	6	44
