rank	chrom	start	end	strand_code	motif	annotated	unique	multi	total	max_overhang	length
105	chr12	120197463	120198553	2	2	0	33	17	50	53	1091
106	chr9	111666947	111669268	1	1	0	33	8	41	53	2322
107	chr12	120199486	120200729	2	2	0	33	1	34	53	1244
108	chr16	18784824	18788062	2	2	0	33	0	33	51	3239
109	chr11	119017546	119017957	2	2	0	32	5	37	53	412
110	chr1	8870511	8871890	2	2	0	32	3	35	50	1380
111	chr19	49497596	49497916	1	1	0	32	1	33	53	321
112	chr19	41869215	41869698	1	1	0	32	1	33	52	484
113	chr2	88861263	89268002	1	1	0	32	1	33	43	406740
114	chr22	39314209	39314685	2	2	0	32	0	32	53	477
115	chr11	8684893	8685677	1	1	0	32	0	32	53	785
116	chr10	69097232	69103870	1	1	0	32	0	32	53	6639
117	chr17	43000103	43002672	1	1	0	32	0	32	49	2570
118	chr6_GL000254v2_alt	2612813	2612933	2	2	0	31	0	31	53	121
119	chr8	56074160	56074380	2	2	0	31	0	31	53	221
120	chr1	8862946	8863234	2	2	0	31	0	31	52	289
121	chr8	144789963	144790354	2	2	0	31	0	31	52	392
122	chr19	5690601	5691318	1	1	0	31	0	31	52	718
123	chr19	49498047	49499511	1	1	0	31	0	31	52	1465
124	chr16	89562392	89562883	1	1	0	30	2	32	53	492
125	chr19	49490577	49490778	1	1	0	30	1	31	51	202
126	chr9	133350320	133350596	1	1	0	30	0	30	53	277
127	chr19	3981453	3981946	2	2	0	30	0	30	53	494
128	chr5	181242346	181243691	2	2	0	30	0	30	53	1346
129	chr19	39435709	39435847	2	2	0	30	0	30	52	139
130	chr22	39315556	39316705	2	2	0	30	0	30	52	1150
131	chr15	72208892	72209672	2	2	0	30	0	30	51	781
132	chr2	55234205	55234830	1	1	0	29	6	35	53	626
133	chr5	40832574	40834180	2	2	0	29	2	31	53	1607
134	chr16	1962910	1963148	2	2	0	29	1	30	52	239
135	chr17	39204188	39204524	1	1	0	29	0	29	53	337
136	chr15	72207278	72208620	2	4	0	29	0	29	53	1343
137	chr10	78035418	78035510	1	1	0	29	0	29	52	93
138	chr9	133350053	133350239	1	1	0	29	0	29	50	187
139	chr2	101004284	101005958	1	1	0	28	0	28	51	1675
140	chr12	56712909	56713061	2	2	0	28	0	28	50	153
141	chr12	56713191	56713536	2	2	0	28	0	28	49	346
142	chr15	66501913	66502611	2	2	0	27	1	28	53	699
143	chr6	35470352	35470579	1	1	0	27	0	27	53	228
144	chr15	66501505	66501787	2	2	0	27	0	27	53	283
145	chr17	28722900	28723570	1	1	0	27	0	27	53	671
146	chr1	8868058	8870451	2	2	0	27	0	27	53	2394
147	chr17	38850215	38850361	2	2	0	27	0	27	52	147
148	chr19	48966407	48966582	1	1	0	27	0	27	52	176
149	chr12	103937807	103938339	1	1	0	27	0	27	51	533
150	chr3	197951312	197954002	1	1	0	27	0	27	49	2691
151	chrX	154399397	154399486	1	1	0	26	8	34	52	90
152	chr16	89561752	89562334	1	1	0	26	6	32	53	583
153	chr11	62567529	62570964	2	2	0	26	2	28	52	3436
154	chr12	112406038	112406293	2	2	0	26	1	27	46	256
155	chr17	81511109	81511187	2	2	0	26	0	26	53	79
156	chr11	810040	810233	1	1	0	26	0	26	53	194
157	chr11	119018054	119018281	2	2	0	26	0	26	53	228
158	chr5	181241640	181242173	2	4	0	26	0	26	53	534
159	chr11	75401734	75402351	1	1	0	26	0	26	53	618
160	chr8	100715602	100717772	2	2	0	26	0	26	53	2171
161	chr19	48965610	48965769	1	1	0	26	0	26	52	160
162	chr20	62387675	62387842	1	1	0	26	0	26	52	168
163	chr1	8866502	8867116	2	2	0	26	0	26	52	615
164	chr11	17077247	17077428	2	2	0	26	0	26	51	182
165	chr8	98041851	98042644	2	2	0	26	0	26	51	794
166	chr3	40458737	40461406	1	1	0	26	0	26	51	2670
167	chr2	55234963	55235427	1	1	0	26	0	26	49	465
168	chr19	48617424	48617790	2	2	0	26	0	26	48	367
169	chr9	19379619	19380189	2	2	0	26	0	26	39	571
170	chr9	133350728	133351001	1	1	0	25	5	30	53	274
171	chr11	75402447	75404019	1	1	0	25	3	28	53	1573
172	chr19	49489923	49490231	1	1	0	25	2	27	51	309
173	chr2	88857684	88861885	2	2	0	25	1	26	44	4202
174	chr11	62571902	62572583	2	2	0	25	0	25	53	682
175	chr8	144790471	144791276	2	2	0	25	0	25	53	806
176	chr11	65855731	65855934	2	2	0	25	0	25	52	204
177	chr17	41690190	41690781	1	1	0	25	0	25	52	592
178	chr17	74203959	74204129	1	1	0	25	0	25	43	171
179	chr5	82276519	82277692	2	2	0	24	22	46	51	1174
180	chr6_GL000254v2_alt	2697576	2698150	2	2	0	24	19	43	53	575
181	chr5	181238240	181239066	2	2	0	24	0	24	53	827
182	chr12	6867682	6868863	1	1	0	24	0	24	53	1182
183	chr15	72217501	72218943	2	2	0	24	0	24	53	1443
184	chr1	8874918	8878579	2	2	0	24	0	24	53	3662
185	chr15	66502751	66503057	2	2	0	24	0	24	52	307
186	chr1	92833661	92834778	1	1	0	24	0	24	52	1118
187	chr11	18405573	18407116	1	1	0	24	0	24	52	1544
188	chr13	46154887	46156437	2	2	0	24	0	24	52	1551
189	chr10	69088237	69097083	1	1	0	24	0	24	52	8847
190	chr11	123058485	123058631	2	2	0	24	0	24	51	147
191	chr6	132817062	132817479	1	1	0	24	0	24	50	418
192	chr17	16381185	16381901	1	1	0	24	0	24	43	717
193	chr14_KI270846v1_alt	851777	851877	2	2	0	23	22	45	52	101
194	chr20	62387389	62387610	1	1	0	23	1	24	49	222
195	chr8	144791915	144791991	2	2	0	23	0	23	53	77
196	chr17	81512361	81512733	2	2	0	23	0	23	53	373
197	chr19	48615947	48616078	2	2	0	23	0	23	52	132
198	chr6	32641559	32641971	1	1	0	23	0	23	52	413
199	chr1	30735266	30737603	2	2	0	23	0	23	52	2338
200	chr19	39433762	39435606	2	2	0	23	0	23	47	1845
