expected_celltype	gene	chrom	tss	AIIamacrine_logCPM	Astrocyte_logCPM	Cone_logCPM	GABAamacrine_logCPM	Horizontal_logCPM	Microglia_logCPM	Mullerglia_logCPM	Retinalganglioncell_logCPM	Rod_logCPM	best_observed_label
Retinalganglioncell	SLC17A6	chr11	22338381	2.152158	1.431952	1.745901	2.128499	1.946610	1.754771	1.434921	4.187524	1.701244	Retinalganglioncell
Retinalganglioncell	ISL1	chr5	51383448	2.602940	2.844903	2.527973	2.585132	3.386784	2.858244	1.954392	4.664543	1.799496	Retinalganglioncell
Rod	RHO	chr3	129528639	4.731326	4.782857	4.603113	4.251543	4.467683	5.009695	4.905670	4.132574	5.967948	Rod
Rod	NRL	chr14	24114949	5.155277	4.946565	4.996609	4.883402	5.072624	5.169655	5.141528	4.677464	5.500329	Rod
Rod	NR2E3	chr15	71810554	3.653113	4.126308	4.128262	3.703219	3.783791	4.328063	4.120429	3.949643	5.349063	Rod
Rod	GNAT1	chr3	50191610	4.856460	5.257907	5.681523	4.533919	4.791105	5.363628	5.571769	4.414703	6.283426	Rod
Rod	PDE6A	chr5	149944793	4.426327	4.892263	4.537005	4.220279	4.283448	4.829034	4.844621	4.081683	5.677037	Rod
Rod	PDE6B	chr4	625573	4.276181	4.408330	5.009653	4.185542	4.213945	4.640844	4.495779	3.966908	5.684592	Rod
Rod	CNGA1	chr4	48016681	2.785431	3.143085	3.011447	2.470910	2.794834	3.378437	3.425112	2.735569	4.059062	Rod
Rod	SAG	chr2	233307816	3.814481	4.149612	4.595006	3.676227	3.824623	4.408833	4.310081	3.667754	5.504184	Rod
Rod	GNGT1	chr7	93906567	3.238673	3.732066	3.720031	3.016718	3.200530	3.825995	3.625632	3.122327	5.006349	Rod
Rod	ABCA4	chr1	94121148	3.539654	4.089188	4.701610	3.352806	3.726110	4.266342	4.325192	3.271971	5.222348	Rod
