chrom	start	end	ref	perturb	total	z	log2fc
chr4	25993500	25994000	18	284	302	14.4215	3.79249
chr2	163715500	163716000	1	233	234	14.3895	7.13197
chr15	31062500	31063000	2	236	238	14.3844	6.41342
chr2	3294500	3295000	9	257	266	14.3763	4.61016
chr3	138357000	138357500	2	235	237	14.353	6.40731
chr5	121500500	121501000	2	233	235	14.2901	6.39501
chr13	94706500	94707000	4	239	243	14.2831	5.58361
chr6	116128000	116128500	5	242	247	14.2812	5.31206
chr9	2770000	2770500	5	242	247	14.2812	5.31206
chr11	126658000	126658500	4	238	242	14.2516	5.57758
chr15	31079500	31080000	12	259	271	14.1664	4.22539
chr6	125200500	125201000	3	232	235	14.1595	5.90339
chr1	15681000	15681500	22	285	307	14.1172	3.51515
chr9	110088000	110088500	21	282	303	14.107	3.5655
chr3	124448000	124448500	2	227	229	14.0998	6.35745
chr6	127901000	127901500	2	227	229	14.0998	6.35745
chr5	154583500	154584000	2	227	229	14.0998	6.35745
chr17	83026500	83027000	7	242	249	14.0902	4.86461
chr11	92678000	92678500	0	220	220	14.0793	8.63429
chr11	122330500	122331000	3	229	232	14.0638	5.88465
chr2	42546000	42546500	2	225	227	14.0357	6.34471
chr4	38489000	38489500	5	234	239	14.027	5.26367
chr3	138409000	138409500	8	242	250	13.9953	4.68403
chr2	226869000	226869500	2	223	225	13.9714	6.33186
chr5	119079500	119080000	12	252	264	13.944	4.18594
chr9	136934000	136934500	3	224	227	13.9028	5.85287
chr9	70472500	70473000	5	230	235	13.8982	5.23885
chr13	38607000	38607500	2	220	222	13.8744	6.31236
chr20	45283500	45284000	6	232	238	13.8651	5.0103
chr7	6324000	6324500	6	232	238	13.8651	5.0103
chr20	36253500	36254000	0	213	213	13.8535	8.58775
chr5	89012000	89012500	0	213	213	13.8535	8.58775
chr12	43681500	43682000	1	216	217	13.8471	7.02292
chr6	157210000	157210500	1	216	217	13.8471	7.02292
chr11	10509500	10510000	135	524	659	13.8357	1.80231
chr7	5863000	5863500	0	211	211	13.7883	8.57417
chr7	131568500	131569000	1	214	215	13.7818	7.00953
chr3	49704000	49704500	5	226	231	13.7682	5.21359
chr2	192026500	192027000	7	232	239	13.7679	4.80385
chr14	55800500	55801000	0	210	210	13.7556	8.56733
chr7	107041000	107041500	2	216	218	13.7439	6.28595
chr12	26728500	26729000	2	216	218	13.7439	6.28595
chr1	244371500	244372000	4	222	226	13.7372	5.47739
chr7	144248000	144248500	4	222	226	13.7372	5.47739
chr3	19874500	19875000	1	212	213	13.7163	6.99601
chr12	108522500	108523000	1	212	213	13.7163	6.99601
chr10	3295500	3296000	3	218	221	13.7071	5.81379
chr8	66506500	66507000	7	230	237	13.7026	4.79139
chr2	1509000	1509500	0	208	208	13.69	8.55356
chr1	6962500	6963000	17	258	275	13.6881	3.73439
chr8	134687000	134687500	2	214	216	13.6782	6.27256
chr3	134170000	134170500	2	214	216	13.6782	6.27256
chr1	158029000	158029500	10	238	248	13.6767	4.35518
chr1	163263000	163263500	1	210	211	13.6505	6.98237
chr18	50240000	50240500	2	213	215	13.6453	6.26582
chr2	209441500	209442000	2	213	215	13.6453	6.26582
chr2	126655000	126655500	13	245	258	13.626	4.03435
chr10	101834500	101835000	7	227	234	13.604	4.77249
chr8	143928500	143929000	9	232	241	13.5749	4.46281
chr13	34140000	34140500	0	204	204	13.5577	8.52561
chr14	35615500	35616000	0	204	204	13.5577	8.52561
chr7	23391500	23392000	6	222	228	13.5372	4.94688
chr7	1059500	1060000	34	297	331	13.527	2.95788
chr11	46499000	46499500	0	203	203	13.5244	8.51854
chr14	77658000	77658500	1	206	207	13.5178	6.95469
chr1	99635500	99636000	1	206	207	13.5178	6.95469
chr7	140455500	140456000	2	209	211	13.5126	6.23853
chr5	147451000	147451500	2	209	211	13.5126	6.23853
chr6	125432000	125432500	0	202	202	13.4911	8.51143
chr16	4826500	4827000	2	208	210	13.4792	6.23163
chr11	10975000	10975500	2	208	210	13.4792	6.23163
chr10	21314500	21315000	7	223	230	13.4714	4.7469
chr5	127834000	127834500	5	217	222	13.4711	5.1551
chr3	143601000	143601500	1	204	205	13.451	6.94065
chr1	161462500	161463000	102	444	546	13.438	1.96621
chr11	43574500	43575000	5	216	221	13.4377	5.14845
chr12	42240500	42241000	2	206	208	13.4122	6.21773
chr18	35060500	35061000	3	209	212	13.4083	5.75311
chr1	211882500	211883000	3	209	212	13.4083	5.75311
chr8	90669500	90670000	2	205	207	13.3786	6.21072
chr9	7327000	7327500	2	205	207	13.3786	6.21072
chr5	102937500	102938000	8	223	231	13.3729	4.56632
chr7	11150000	11150500	0	198	198	13.3568	8.48265
chr10	22874000	22874500	2	204	206	13.3449	6.20368
chr7	128027500	128028000	16	244	260	13.3186	3.73895
chr2	159644500	159645000	1	200	201	13.3164	6.91215
chr12	115437000	115437500	5	212	217	13.3032	5.12154
chr1	69436500	69437000	0	196	196	13.2892	8.46804
chr3	78540500	78541000	2	202	204	13.2773	6.18951
chr12	68379000	68379500	3	205	208	13.2734	5.7253
chr1	161455000	161455500	124	481	605	13.2516	1.80105
chr6	37348000	37348500	1	198	199	13.2486	6.89769
chr18	79250000	79250500	2	201	203	13.2433	6.18236
chr2	55765500	55766000	2	201	203	13.2433	6.18236
chr9	21830500	21831000	9	222	231	13.2411	4.39939
chr11	2127000	2127500	3	204	207	13.2394	5.71826
chr9	35342500	35343000	4	207	211	13.2369	5.3767
chr20	62606000	62606500	6	213	219	13.2353	4.88731
chr1	61536500	61537000	0	194	194	13.2212	8.45328
chr10	118731500	118732000	1	197	198	13.2145	6.8904
chr7	128198000	128198500	2	200	202	13.2093	6.17519
chr8	105176000	105176500	2	200	202	13.2093	6.17519
chr7	26920000	26920500	2	200	202	13.2093	6.17519
chr1	120307000	120307500	3	203	206	13.2054	5.71119
chr11	79380000	79380500	3	203	206	13.2054	5.71119
chr2	230748000	230748500	3	203	206	13.2054	5.71119
chr2	25912500	25913000	4	206	210	13.2028	5.36973
chr16	72444000	72444500	7	215	222	13.2023	4.69431
chr3	32844000	32844500	1	196	197	13.1804	6.88308
chr18	76361000	76361500	3	202	205	13.1713	5.70408
chr10	47018500	47019000	0	192	192	13.1529	8.43837
chr13	51270500	51271000	3	201	204	13.137	5.69694
chr3	71926500	71927000	1	194	195	13.1118	6.86832
chr3	172301000	172301500	1	194	195	13.1118	6.86832
chr16	67504000	67504500	2	197	199	13.1066	6.15344
chr20	14220000	14220500	3	200	203	13.1027	5.68976
chr11	96181000	96181500	1	193	194	13.0774	6.86088
chr2	69731500	69732000	1	193	194	13.0774	6.86088
chr15	98720000	98720500	2	196	198	13.0722	6.14611
chr18	79300500	79301000	2	196	198	13.0722	6.14611
chr1	161470000	161470500	82	390	472	13.0636	2.09251
chr12	27436000	27436500	3	198	201	13.0339	5.6753
chr2	174332000	174332500	7	210	217	13.0313	4.66044
chr1	146312000	146312500	0	188	188	13.0152	8.40808
chr3	5201500	5202000	2	194	196	13.0031	6.13135
chr2	150050000	150050500	2	194	196	13.0031	6.13135
chr16	3172000	3172500	35	283	318	12.9964	2.84711
chr5	127041000	127041500	13	226	239	12.9906	3.91814
chr10	68310500	68311000	0	187	187	12.9805	8.4004
chr7	96069500	96070000	0	187	187	12.9805	8.4004
chr5	69454500	69455000	1	190	191	12.9737	6.83834
chr8	107407000	107407500	2	193	195	12.9684	6.12392
chr4	99107500	99108000	2	193	195	12.9684	6.12392
chr5	172700000	172700500	8	211	219	12.9647	4.48671
chr5	41070000	41070500	1	189	190	12.9389	6.83075
chr14	55307000	55307500	1	189	190	12.9389	6.83075
chr6	152850500	152851000	2	192	194	12.9337	6.11644
chr5	139212500	139213000	2	192	194	12.9337	6.11644
chr1	148919000	148919500	3	195	198	12.9299	5.65333
chr13	24630500	24631000	1	188	189	12.9041	6.82311
chr6	144870500	144871000	2	191	193	12.8988	6.10893
chr11	104678500	104679000	3	194	197	12.895	5.64593
chr1	220901500	220902000	3	194	197	12.895	5.64593
chr22	19869000	19869500	4	197	201	12.8926	5.30544
chr12	43895500	43896000	0	184	184	12.876	8.37713
chr1	43790000	43790500	2	190	192	12.8638	6.10137
chr6	2944500	2945000	3	193	196	12.86	5.63849
chr7	105257000	105257500	7	205	212	12.8581	4.62576
chr4	176289500	176290000	0	183	183	12.8409	8.36929
chr2	127111000	127111500	2	189	191	12.8288	6.09378
chr6	40727000	40727500	2	189	191	12.8288	6.09378
chr10	99525000	99525500	3	192	195	12.825	5.63102
