rank	gene_id	symbol	total_A	total_B	max_isoform_fraction_delta	l1_isoform_fraction_delta	top_transcripts
18	ENSG00000145287	PLAC8	44.00	44.00	0.1523	0.3777	ENST00000411416:A=0.267,B=0.419;ENST00000311507:A=0.065,B=0.078;ENST00000509973:A=0.064,B=0.043;ENST00000718328:A=0.062,B=0.055;ENST00000718333:A=0.056,B=0.043;ENST00000718322:A=0.048,B=0.050;ENST00000718323:A=0.048,B=0.050;ENST00000505406:A=0.048,B=0.050
19	ENSG00000150867	PIP4K2A	45.00	60.00	0.1456	0.2913	ENST00000376573:A=0.789,B=0.644;ENST00000545335:A=0.052,B=0.124;ENST00000323883:A=0.093,B=0.112;ENST00000422321:A=0.021,B=0.039;ENST00000604912:A=0.019,B=0.037;ENST00000474335:A=0.026,B=0.028;ENST00000432610:A=0.000,B=0.017
20	ENSG00000165934	CPSF2	27.00	36.00	0.1451	0.2901	ENST00000298875:A=0.679,B=0.824;ENST00000555244:A=0.185,B=0.111;ENST00000553427:A=0.086,B=0.046;ENST00000554290:A=0.031,B=0.019;ENST00000556622:A=0.019,B=0.000
21	ENSG00000198898	CAPZA2	28.00	28.00	0.1434	0.3011	ENST00000361183:A=0.506,B=0.649;ENST00000426421:A=0.184,B=0.167;ENST00000449080:A=0.101,B=0.088;ENST00000464669:A=0.065,B=0.026;ENST00000490693:A=0.056,B=0.024;ENST00000417431:A=0.056,B=0.024;ENST00000465607:A=0.012,B=0.009;ENST00000414148:A=0.010,B=0.005
22	ENSG00000118873	RAB3GAP2	28.50	27.50	0.1412	0.3117	ENST00000358951:A=0.121,B=0.262;ENST00000686381:A=0.051,B=0.043;ENST00000685664:A=0.051,B=0.040;ENST00000690373:A=0.051,B=0.042;ENST00000687065:A=0.051,B=0.043;ENST00000687647:A=0.051,B=0.043;ENST00000691661:A=0.049,B=0.042;ENST00000690824:A=0.049,B=0.040
23	ENSG00000196313	POM121	23.71	25.64	0.1408	0.2817	ENST00000627934:A=0.454,B=0.341;ENST00000434423:A=0.349,B=0.321;ENST00000395270:A=0.197,B=0.338
24	ENSG00000137776	SLTM	21.00	24.00	0.1405	0.6221	ENST00000380516:A=0.313,B=0.173;ENST00000492526:A=0.218,B=0.145;ENST00000557924:A=0.190,B=0.153;ENST00000432750:A=0.155,B=0.117;ENST00000493062:A=0.054,B=0.060;ENST00000249736:A=0.000,B=0.042;ENST00000558734:A=0.010,B=0.042;ENST00000560494:A=0.037,B=0.014
25	ENSG00000083642	PDS5B	28.00	34.00	0.1371	0.3382	ENST00000315596:A=0.429,B=0.460;ENST00000450460:A=0.321,B=0.372;ENST00000447833:A=0.152,B=0.015;ENST00000498550:A=0.033,B=0.098;ENST00000474274:A=0.033,B=0.015;ENST00000481616:A=0.024,B=0.010;ENST00000482955:A=0.009,B=0.019;ENST00000493653:A=0.000,B=0.012
26	ENSG00000158615	PPP1R15B	24.80	26.55	0.1361	0.4074	ENST00000367188:A=0.307,B=0.375;ENST00000690849:A=0.287,B=0.205;ENST00000689921:A=0.287,B=0.205;ENST00000693720:A=0.079,B=0.215;ENST00000687263:A=0.040,B=0.000
27	ENSG00000115232	ITGA4	63.42	73.25	0.1359	0.2785	ENST00000397033:A=0.702,B=0.566;ENST00000233573:A=0.102,B=0.152;ENST00000465522:A=0.044,B=0.085;ENST00000476824:A=0.076,B=0.077;ENST00000476089:A=0.013,B=0.032;ENST00000339307:A=0.023,B=0.025;ENST00000490435:A=0.016,B=0.025;ENST00000473002:A=0.011,B=0.023
28	ENSG00000069493	CLEC2D	37.72	22.63	0.1294	0.2835	ENST00000290855:A=0.504,B=0.633;ENST00000444971:A=0.110,B=0.084;ENST00000479877:A=0.074,B=0.053;ENST00000460309:A=0.065,B=0.045;ENST00000325960:A=0.058,B=0.056;ENST00000261340:A=0.039,B=0.047;ENST00000430909:A=0.035,B=0.040;ENST00000261339:A=0.033,B=0.006
29	ENSG00000197045	GMFB	27.00	22.00	0.1283	0.4000	ENST00000554908:A=0.394,B=0.523;ENST00000358056:A=0.406,B=0.477;ENST00000628554:A=0.050,B=0.000;ENST00000554163:A=0.046,B=0.000;ENST00000554247:A=0.030,B=0.000;ENST00000553333:A=0.030,B=0.000;ENST00000554682:A=0.022,B=0.000;ENST00000553566:A=0.015,B=0.000
30	ENSG00000111670	GNPTAB	22.00	31.00	0.1279	0.3155	ENST00000299314:A=0.913,B=0.785;ENST00000549940:A=0.049,B=0.099;ENST00000549194:A=0.000,B=0.040;ENST00000549738:A=0.000,B=0.024;ENST00000550718:A=0.000,B=0.024;ENST00000552681:A=0.000,B=0.019;ENST00000550352:A=0.015,B=0.008;ENST00000392919:A=0.011,B=0.000
31	ENSG00000171791	BCL2	53.62	60.51	0.1277	0.2783	ENST00000589955:A=0.112,B=0.240;ENST00000398117:A=0.195,B=0.206;ENST00000333681:A=0.176,B=0.173;ENST00000678134:A=0.127,B=0.091;ENST00000678349:A=0.127,B=0.107;ENST00000677635:A=0.120,B=0.082;ENST00000678301:A=0.120,B=0.082;ENST00000677227:A=0.021,B=0.016
32	ENSG00000183291	SELENOF	38.00	28.00	0.1274	0.3086	ENST00000331835:A=0.284,B=0.261;ENST00000648872:A=0.275,B=0.148;ENST00000370554:A=0.205,B=0.201;ENST00000401030:A=0.078,B=0.200;ENST00000469566:A=0.139,B=0.171;ENST00000467557:A=0.019,B=0.019
33	ENSG00000164944	VIRMA	30.00	21.00	0.1267	0.3559	ENST00000297591:A=0.383,B=0.432;ENST00000421249:A=0.184,B=0.311;ENST00000522263:A=0.161,B=0.130;ENST00000521080:A=0.139,B=0.083;ENST00000523263:A=0.050,B=0.000;ENST00000522196:A=0.027,B=0.010;ENST00000517624:A=0.027,B=0.010;ENST00000519001:A=0.022,B=0.016
34	ENSG00000130021	PUDP	24.00	24.00	0.1250	0.2500	ENST00000381077:A=0.510,B=0.635;ENST00000412827:A=0.257,B=0.208;ENST00000424830:A=0.156,B=0.135;ENST00000486446:A=0.045,B=0.010;ENST00000498474:A=0.031,B=0.010
35	ENSG00000172115	CYCS	60.07	59.37	0.1243	0.2485	ENST00000305786:A=0.552,B=0.677;ENST00000409409:A=0.219,B=0.155;ENST00000409764:A=0.178,B=0.121;ENST00000413447:A=0.050,B=0.048
36	ENSG00000196743	GM2A	55.00	36.00	0.1242	0.2485	ENST00000357164:A=0.958,B=0.833;ENST00000523466:A=0.030,B=0.097;ENST00000523004:A=0.012,B=0.069
37	ENSG00000140396	NCOA2	31.00	23.00	0.1241	0.2847	ENST00000452400:A=0.586,B=0.710;ENST00000518287:A=0.312,B=0.210;ENST00000518363:A=0.075,B=0.051;ENST00000524223:A=0.011,B=0.029;ENST00000521239:A=0.016,B=0.000
38	ENSG00000109606	DHX15	59.00	44.00	0.1240	0.2480	ENST00000336812:A=0.738,B=0.614;ENST00000508032:A=0.077,B=0.126;ENST00000503562:A=0.059,B=0.080;ENST00000512903:A=0.035,B=0.058;ENST00000513036:A=0.035,B=0.042;ENST00000513092:A=0.025,B=0.034;ENST00000504279:A=0.018,B=0.020;ENST00000511553:A=0.000,B=0.011
39	ENSG00000055044	NOP58	20.50	33.00	0.1236	0.4775	ENST00000264279:A=0.624,B=0.500;ENST00000433543:A=0.171,B=0.056;ENST00000478508:A=0.049,B=0.091;ENST00000488403:A=0.038,B=0.081;ENST00000426814:A=0.012,B=0.065;ENST00000492688:A=0.059,B=0.062;ENST00000472050:A=0.028,B=0.060;ENST00000492740:A=0.000,B=0.034
40	ENSG00000129250	KIF1C	31.00	29.00	0.1229	0.2458	ENST00000320785:A=0.903,B=0.828;ENST00000573815:A=0.032,B=0.155;ENST00000574165:A=0.065,B=0.017
41	ENSG00000247556	OIP5-AS1	40.60	36.70	0.1209	0.3312	ENST00000500949:A=0.533,B=0.412;ENST00000707013:A=0.018,B=0.037;ENST00000707024:A=0.015,B=0.031;ENST00000707008:A=0.020,B=0.028;ENST00000707002:A=0.023,B=0.027;ENST00000558945:A=0.025,B=0.027;ENST00000707005:A=0.023,B=0.025;ENST00000560706:A=0.023,B=0.025
42	ENSG00000123104	ITPR2	62.00	69.00	0.1204	0.2671	ENST00000381340:A=0.789,B=0.909;ENST00000451599:A=0.159,B=0.053;ENST00000540429:A=0.013,B=0.000;ENST00000538984:A=0.005,B=0.010;ENST00000242737:A=0.004,B=0.008;ENST00000545235:A=0.004,B=0.008;ENST00000545902:A=0.008,B=0.000;ENST00000540791:A=0.008,B=0.007
43	ENSG00000175482	POLD4	22.56	23.09	0.1201	0.2649	ENST00000531239:A=0.059,B=0.179;ENST00000312419:A=0.136,B=0.124;ENST00000530584:A=0.121,B=0.117;ENST00000539074:A=0.110,B=0.101;ENST00000528087:A=0.099,B=0.101;ENST00000534515:A=0.096,B=0.094;ENST00000532830:A=0.092,B=0.083;ENST00000529704:A=0.092,B=0.083
44	ENSG00000004468	CD38	34.50	28.57	0.1176	0.2428	ENST00000226279:A=0.688,B=0.685;ENST00000502843:A=0.225,B=0.107;ENST00000511430:A=0.036,B=0.119;ENST00000510674:A=0.029,B=0.058;ENST00000506191:A=0.022,B=0.031
45	ENSG00000100226	GTPBP1	20.14	24.33	0.1162	0.3667	ENST00000216044:A=0.614,B=0.541;ENST00000462332:A=0.190,B=0.110;ENST00000418601:A=0.041,B=0.158;ENST00000458073:A=0.057,B=0.059;ENST00000484657:A=0.026,B=0.055;ENST00000484971:A=0.017,B=0.032;ENST00000460605:A=0.025,B=0.027;ENST00000475959:A=0.000,B=0.014
46	ENSG00000183726	TMEM50A	20.00	22.00	0.1144	0.2288	ENST00000374358:A=0.500,B=0.508;ENST00000480937:A=0.217,B=0.102;ENST00000491936:A=0.100,B=0.144;ENST00000498135:A=0.100,B=0.144;ENST00000468704:A=0.083,B=0.102
47	ENSG00000103035	PSMD7	25.44	28.19	0.1135	0.2638	ENST00000219313:A=0.338,B=0.349;ENST00000568717:A=0.194,B=0.308;ENST00000568615:A=0.171,B=0.142;ENST00000567958:A=0.171,B=0.142;ENST00000566015:A=0.083,B=0.009;ENST00000563150:A=0.043,B=0.051
48	ENSG00000182934	SRPRA	42.00	51.00	0.1125	0.2250	ENST00000332118:A=0.591,B=0.479;ENST00000532259:A=0.313,B=0.335;ENST00000527817:A=0.036,B=0.074;ENST00000532268:A=0.016,B=0.033;ENST00000528744:A=0.016,B=0.033;ENST00000530680:A=0.016,B=0.026;ENST00000531104:A=0.012,B=0.021
49	ENSG00000186635	ARAP1	24.71	24.86	0.1104	0.2353	ENST00000334211:A=0.232,B=0.121;ENST00000393609:A=0.131,B=0.142;ENST00000359373:A=0.131,B=0.142;ENST00000393605:A=0.111,B=0.113;ENST00000465814:A=0.111,B=0.108;ENST00000426523:A=0.098,B=0.109;ENST00000429686:A=0.079,B=0.096;ENST00000495878:A=0.047,B=0.061
50	ENSG00000111912	NCOA7	21.00	23.00	0.1103	0.3327	ENST00000368357:A=0.252,B=0.241;ENST00000392477:A=0.252,B=0.241;ENST00000438495:A=0.149,B=0.222;ENST00000229634:A=0.177,B=0.067;ENST00000444128:A=0.113,B=0.168;ENST00000433571:A=0.040,B=0.007;ENST00000417494:A=0.016,B=0.033;ENST00000419660:A=0.000,B=0.022
