STAR_ANNOTATED_JUNCTION_USAGE_DIAGNOSTIC
sampleA_STAR_junction_rows	31908
sampleB_STAR_junction_rows	31857
sampleA_total_unique_junction_reads	71318
sampleB_total_unique_junction_reads	70827
GENCODE_exon_rows_parsed	5078384
GENCODE_genes_with_junctions	54117
eligible_genes	184

RANKED_GENES
rank	gene_symbol	gene_id	A_annotated_junction_reads	B_annotated_junction_reads	supported_junctions	annotated_junctions	max_abs_junction_fraction_change	JS_divergence	max_change_junction	A_count	B_count	A_fraction	B_fraction
25	RPS12	ENSG00000112306.10	216	152	5	44	0.129873	0.065015	chr6:132816564-132816959:+	70	69	0.324074	0.453947
26	BLOC1S5-TXNDC5	ENSG00000259040.5	56	55	7	12	0.128571	0.086452	chr6:7883267-7884358:-	4	11	0.071429	0.200000
27	UBA52	ENSG00000221983.10	79	59	3	57	0.118644	0.073363	chr19:18571888-18573292:+	0	7	0.000000	0.118644
28	FTH1	ENSG00000167996.18	112	112	3	24	0.116071	0.013100	chr11:61964892-61964986:-	52	39	0.464286	0.348214
29	EIF3E	ENSG00000104408.13	96	87	10	78	0.116020	0.107528	chr8:108203504-108214606:-	1	11	0.010417	0.126437
30	PDIA3	ENSG00000167004.16	68	65	6	44	0.114253	0.035388	chr15:43770330-43770522:+	13	5	0.191176	0.076923
31	HSPA9	ENSG00000113013.18	70	66	7	60	0.112554	0.113798	chr5:138567164-138567454:-	10	2	0.142857	0.030303
32	TPI1	ENSG00000111669.17	135	112	6	55	0.112235	0.027258	chr12:6867682-6868863:+	26	9	0.192593	0.080357
33	RPL18	ENSG00000063177.15	125	125	6	45	0.112000	0.023782	chr19:48615448-48615876:-	12	26	0.096000	0.208000
34	RPL35	ENSG00000136942.17	71	83	3	38	0.109622	0.009441	chr9:124858068-124860182:-	29	43	0.408451	0.518072
35	ATP5F1A	ENSG00000152234.18	98	85	10	58	0.108163	0.036888	chr18:46084655-46086112:-	9	17	0.091837	0.200000
36	JCHAIN	ENSG00000132465.14	155	153	3	12	0.108033	0.016703	chr4:70662216-70666426:-	41	57	0.264516	0.372549
37	CTSH	ENSG00000103811.20	66	60	7	63	0.106061	0.083685	chr15:78923119-78925333:-	4	10	0.060606	0.166667
38	CCT8	ENSG00000156261.15	59	57	3	47	0.105263	0.117281	chr21:29060661-29061252:-	0	6	0.000000	0.105263
39	RPS27A	ENSG00000143947.17	110	125	3	31	0.105091	0.009277	chr2:55234963-55235427:+	43	62	0.390909	0.496000
40	RPL22	ENSG00000116251.13	64	58	2	34	0.102371	0.009167	chr1:6197757-6199561:-	22	14	0.343750	0.241379

TOP_GENE_JUNCTIONS
gene_symbol	gene_id	junction	A_unique	B_unique	A_fraction	B_fraction	abs_fraction_change
DEFB110	ENSG00000203970.4	chr6:50019126-50021880:-	0	63	0.000000	1.000000	1.000000
DEFB110	ENSG00000203970.4	chr6:50009272-50021880:-	120	0	1.000000	0.000000	1.000000
