Chromosome	Pos
2	2_67777324
2	2_68103328
2	2_68127346
2	2_68995840
2	2_69060412
2	2_69143533
2	2_69815071
2	2_69940777
2	2_70574247
2	2_71609980
2	2_74081618
2	2_74605439
2	2_75097166
2	2_75388325
2	2_75442543
2	2_76793601
2	2_76868837
2	2_76929940
2	2_79304249
2	2_79387264
2	2_79980425
2	2_81712849
2	2_81870264
2	2_82880030
2	2_8323783
2	2_84497710
2	2_84701897
2	2_84743223
2	2_8506031
2	2_8506050
2	2_85271992
2	2_86087491
2	2_86159985
2	2_86309719
2	2_86397786
2	2_87010385
2	2_87312387
2	2_87401468
2	2_8778046
2	2_90311310
2	2_90686053
2	2_91672553
2	2_93019434
2	2_9351763
2	2_94047677
2	2_94313470
2	2_98880727
2	2_99198412
20	20_10180820
20	20_13418979
20	20_13437218
20	20_13511772
20	20_13567088
20	20_13568908
20	20_13573190
20	20_13580748
20	20_13584316
20	20_13618850
20	20_13852015
20	20_13854059
20	20_24605
20	20_28645
20	20_31326
20	20_5801313
20	20_73501
20	20_7444906
21	21_11065815
21	21_11076756
21	21_11099104
21	21_11101667
21	21_11140665
21	21_9029826
21	21_9536039
21	21_9796193
22	22_219729
22	22_271591
22	22_3451346
22	22_480748
22	22_8692509
24	24_2464360
24	24_2532799
24	24_2534970
24	24_2749670
24	24_3117481
24	24_3117491
24	24_3452256
24	24_3769182
24	24_3816419
24	24_3844692
24	24_3846130
24	24_3848959
24	24_3872263
24	24_4523478
24	24_4523518
24	24_4575749
24	24_4614626
24	24_4615286
24	24_4615295
25	25_2478955
25	25_333411
25	25_334291
25	25_344393
25	25_5720879
25	25_5963701
25	25_621249
25	25_900657
26	26_10141251
26	26_10361708
26	26_1050629
26	26_10552338
26	26_12256893
26	26_13342363
26	26_13935036
26	26_14013070
26	26_14279121
26	26_14774303
26	26_16454960
26	26_17142202
26	26_18647807
26	26_19314193
26	26_19386367
26	26_19970859
26	26_20658059
26	26_24863947
26	26_24931268
26	26_25549583
26	26_25563411
26	26_25856165
26	26_25940010
26	26_26121644
26	26_2642494
26	26_26565466
26	26_27189466
26	26_27907932
26	26_28349881
26	26_29446564
26	26_29827548
26	26_30018686
26	26_30038577
26	26_30128934
26	26_30201998
26	26_30437754
26	26_31372720
26	26_31522823
26	26_31548018
26	26_31548296
26	26_3188798
26	26_33321086
26	26_3461865
26	26_35032138
26	26_36683035
26	26_37238176
26	26_37247015
26	26_3762274
26	26_39023685
26	26_40332588
26	26_42218038
26	26_42299384
26	26_5083392
26	26_5302914
26	26_5664525
26	26_7138902
26	26_7545005
26	26_7844245
26	26_8098194
26	26_998735
27	27_2378992
27	27_3633870
27	27_3649954
27	27_3689613
27	27_3915240
27	27_3915302
27	27_4039637
27	27_4039666
27	27_4039685
27	27_4121460
27	27_4130757
27	27_4136556
27	27_4146514
28	28_1886208
28	28_1890426
28	28_19555
28	28_71688
28	28_71848
28	28_71969
28	28_7358846
29	29_1566250
29	29_1613757
29	29_1630340
29	29_253040
29	29_3188205
3	3_101153835
3	3_101640842
3	3_105808318
3	3_105882039
3	3_106091440
3	3_107479763
3	3_108650139
3	3_111456742
3	3_112411313
3	3_112504346
3	3_112858508
3	3_112986770
3	3_11341336
3	3_114626272
3	3_119583320
3	3_12383589
3	3_15507738
3	3_16097828
3	3_16964919
3	3_17491453
3	3_18847171
3	3_19241665
3	3_19784820
3	3_20028244
3	3_204040
3	3_214558
3	3_2226835
3	3_22876653
3	3_23119241
3	3_23189217
3	3_23336360
3	3_238291
3	3_23860696
3	3_23961992
3	3_24144157
3	3_24193712
3	3_24926567
3	3_25658631
3	3_26249381
3	3_27128812
3	3_27175914
3	3_28233040
3	3_28268277
3	3_28336727
3	3_28350149
3	3_283903
3	3_28481021
3	3_28648914
3	3_28772112
3	3_28841711
3	3_288525
3	3_2930487
3	3_29370179
3	3_29391861
3	3_29911017
3	3_30120006
3	3_30630984
3	3_32406503
3	3_32632748
3	3_32972372
3	3_33157624
3	3_34548637
3	3_37152509
3	3_38123466
3	3_39145520
3	3_39494422
3	3_39709349
3	3_39882017
3	3_39978630
3	3_40091544
3	3_40553426
3	3_42812263
3	3_43323367
3	3_43714991
3	3_43916630
3	3_44741742
3	3_44820634
3	3_44968244
3	3_47058594
3	3_47521712
3	3_48551838
3	3_48806617
3	3_49270700
3	3_50896357
3	3_51038631
3	3_55923801
3	3_56062848
3	3_5637870
3	3_5637880
3	3_56600367
3	3_58913887
3	3_60057594
3	3_6066150
3	3_61011754
3	3_63976585
3	3_64839544
3	3_65490842
3	3_68000418
3	3_71883696
3	3_73992113
3	3_77022744
3	3_8009707
3	3_80187549
3	3_80738287
3	3_82174337
3	3_82406737
3	3_82447691
3	3_8750509
3	3_8925013
3	3_9045921
3	3_91712681
3	3_91815044
3	3_91899620
3	3_9309468
3	3_93565921
3	3_94052671
3	3_96635828
3	3_96842183
30	30_107614
30	30_11676918
30	30_12126812
30	30_12540228
30	30_12676831
30	30_13936598
30	30_14163164
30	30_15022914
30	30_15242398
30	30_16885283
30	30_17310541
30	30_17389511
30	30_175762
30	30_1772313
30	30_20463615
30	30_20865052
30	30_21205402
30	30_21309473
30	30_21697810
30	30_2563956
30	30_2681871
30	30_2779061
30	30_3287846
30	30_4065280
30	30_5029923
30	30_6182545
30	30_7102421
30	30_7895517
30	30_7952431
30	30_817033
30	30_8560843
30	30_9821933
30	30_9825776
31	31_1852723
31	31_2655224
31	31_2694467
31	31_4690410
31	31_889232
31	31_889255
31	31_972957
33	33_141976
33	33_141977
33	33_155389
33	33_161947
33	33_205617
33	33_383942
35	35_1055956
35	35_1070487
35	35_1196065
35	35_1199003
35	35_1215066
35	35_1215665
35	35_1216640
35	35_1220612
35	35_1236307
35	35_1242363
35	35_1276597
35	35_373306
35	35_874541
37	37_155880
37	37_64767
37	37_86092
39	39_72374
4	4_11381292
4	4_11562771
4	4_11566473
4	4_11575636
4	4_11590590
4	4_11596646
4	4_11597722
4	4_11600363
4	4_11910560
4	4_12288264
4	4_13305758
4	4_1463498
4	4_15739850
4	4_16306925
4	4_23882831
4	4_24054507
4	4_24343598
4	4_24605900
4	4_26942310
4	4_27269752
4	4_29543563
4	4_30479924
4	4_31095362
4	4_32810627
4	4_33752609
4	4_33847442
4	4_3455059
4	4_36081325
4	4_37338968
4	4_37414627
4	4_41114562
4	4_42763055
4	4_43621161
4	4_43968841
4	4_45430850
4	4_47176659
4	4_47754104
4	4_48091017
4	4_48594941
4	4_48884295
4	4_49097229
4	4_49809807
4	4_52161264
4	4_52273787
4	4_52351431
4	4_52404144
4	4_52404320
4	4_53408602
4	4_54168877
4	4_54370
4	4_54488101
4	4_55108971
4	4_55998770
4	4_56165146
4	4_57608
4	4_58818436
4	4_58954672
4	4_59266351
4	4_59653181
4	4_61834657
4	4_62442725
4	4_6343486
4	4_67138870
4	4_67726065
4	4_68598667
4	4_68781387
4	4_6915679
4	4_69199485
4	4_69268001
4	4_71466256
4	4_71534473
4	4_71862558
4	4_74048987
4	4_75042046
4	4_75439541
4	4_75495212
4	4_79999
5	5_10600389
5	5_10813088
5	5_11034775
5	5_11065866
5	5_11698583
5	5_11906457
5	5_12049455
5	5_12558246
5	5_13506238
5	5_14314742
5	5_16395505
5	5_16963439
5	5_17425125
5	5_17674035
5	5_18285916
5	5_19196672
5	5_19875795
5	5_20089737
5	5_20259718
5	5_21043933
5	5_21844588
5	5_22461183
5	5_22867119
5	5_25757456
5	5_25796195
5	5_27392457
5	5_27392464
5	5_29387470
5	5_29553398
5	5_29588380
5	5_30160943
5	5_30269448
5	5_30626576
5	5_32753565
5	5_33433188
5	5_34748676
5	5_35122414
5	5_35230482
5	5_35512685
5	5_35904592
5	5_35952854
5	5_37283817
5	5_37630732
5	5_37844598
5	5_38379245
5	5_39612280
5	5_40575443
5	5_47543412
5	5_47902084
5	5_51999966
5	5_53016528
5	5_53239791
5	5_5343964
5	5_548270
5	5_55125298
5	5_55466755
5	5_5549560
5	5_56961184
5	5_571920
5	5_59362240
5	5_595408
5	5_6001978
5	5_60608508
5	5_61186335
5	5_64212806
5	5_64310051
5	5_64310057
5	5_66639457
5	5_66763149
5	5_66775684
5	5_67132266
5	5_67961871
5	5_68299247
5	5_68555869
5	5_69726513
5	5_71340827
5	5_72278095
5	5_72586377
5	5_75964353
5	5_75968377
5	5_76039330
5	5_76041201
5	5_76049127
5	5_76049364
5	5_76050299
6	6_115479
6	6_115487
6	6_12036333
6	6_12881112
6	6_133115
6	6_140319
6	6_140341
6	6_15379849
6	6_15634834
6	6_15697366
6	6_17893220
6	6_21459405
6	6_22622295
6	6_24592292
6	6_24960161
6	6_25494379
6	6_25585596
6	6_28662071
6	6_29029832
6	6_29116077
6	6_29466107
6	6_29840323
6	6_29979189
6	6_30126329
6	6_30440542
6	6_30895254
6	6_31957419
6	6_32084493
6	6_32467554
6	6_32751618
6	6_33623118
6	6_34056280
6	6_36238375
6	6_38865506
6	6_40790473
6	6_40904632
6	6_4106676
6	6_42512722
6	6_44118093
6	6_4718513
6	6_47665223
6	6_47830308
6	6_50184447
6	6_51541340
6	6_53614389
6	6_55463337
6	6_55847376
6	6_56434464
6	6_57801184
6	6_58083599
6	6_58188546
6	6_62119135
6	6_62302531
6	6_64007534
6	6_64144244
6	6_64145599
6	6_64145645
6	6_64145704
6	6_64576074
6	6_6505070
6	6_65779441
6	6_65984346
6	6_8350190
7	7_10244902
7	7_122167
7	7_14028878
7	7_150396
7	7_15507558
7	7_17106556
7	7_17237248
7	7_18774913
7	7_21648270
7	7_22481547
7	7_23060995
7	7_2608965
7	7_26631195
7	7_28236105
7	7_30412246
7	7_32103117
7	7_32165171
7	7_32895005
7	7_34808073
7	7_35632033
7	7_35735289
7	7_36750927
7	7_37453550
7	7_3915041
7	7_40709557
7	7_40799308
7	7_40799357
7	7_40819997
7	7_40878868
7	7_5562913
7	7_5949936
7	7_5970924
7	7_5991664
7	7_6760831
7	7_7259405
7	7_7721209
7	7_8257383
8	8_10142518
8	8_12616074
8	8_14988177
8	8_16449812
8	8_16679359
8	8_17941154
8	8_18272269
8	8_22155970
8	8_22795827
8	8_22930763
8	8_23521728
8	8_238871
8	8_238880
8	8_238881
8	8_254227
8	8_26612335
8	8_27351321
8	8_29667560
8	8_29968336
8	8_30450820
8	8_32259856
8	8_32333620
8	8_3433809
8	8_35201959
8	8_362424
8	8_5110935
8	8_7742646
8	8_9171564
9	9_10091917
9	9_13194779
9	9_13216317
9	9_13395340
9	9_13490540
9	9_15231259
9	9_17658530
9	9_19904493
9	9_19961857
9	9_20022281
9	9_21813423
9	9_21983514
9	9_24103982
9	9_24390160
9	9_26345560
9	9_26590608
9	9_27163033
9	9_33368766
9	9_3379807
9	9_5010992
9	9_6402132
9	9_6402177
9	9_8719468
W	W_1015484
W	W_1023710
W	W_1049116
W	W_1085272
W	W_1190688
W	W_1190696
W	W_1225816
W	W_142316
W	W_1466065
W	W_1474675
W	W_1488323
W	W_1514978
W	W_1515940
W	W_1542304
W	W_1552027
W	W_1624187
W	W_1796801
W	W_1807578
W	W_1807768
W	W_1923789
W	W_1937468
W	W_2028346
W	W_2033592
W	W_2033609
W	W_2115420
W	W_2200748
W	W_2219685
W	W_2220841
W	W_2390548
W	W_2390566
W	W_2394387
W	W_2398691
W	W_2428757
W	W_2430931
W	W_2504052
W	W_2553299
W	W_2559667
W	W_2601343
W	W_2727787
W	W_2734655
W	W_2745192
W	W_2745277
W	W_2790601
W	W_2792144
W	W_2899201
W	W_29422
W	W_2970335
W	W_304102
W	W_304110
W	W_3093310
W	W_3108787
W	W_3113727
W	W_3128354
W	W_3275881
W	W_329044
W	W_3321274
W	W_3328955
W	W_3357418
W	W_3357585
W	W_3363615
W	W_338616
W	W_3390185
W	W_3425053
W	W_3441700
W	W_3444349
W	W_3473550
W	W_3514672
W	W_3686663
W	W_3709892
W	W_3809296
W	W_3810152
W	W_3823824
W	W_3829878
W	W_3884465
W	W_3919299
W	W_3919386
W	W_3949653
W	W_4011002
W	W_4014645
W	W_4046402
W	W_4046410
W	W_4046418
W	W_4046420
W	W_4046421
W	W_4046423
W	W_4046431
W	W_4046438
W	W_4046446
W	W_4046465
W	W_4078963
W	W_4079673
W	W_4122754
W	W_4136307
W	W_426148
W	W_4263936
W	W_4264002
W	W_4274325
W	W_4274387
W	W_4274468
W	W_4274563
W	W_4469651
W	W_4532922
W	W_4561200
W	W_4603049
W	W_4618274
W	W_4643055
W	W_4646685
W	W_4681052
W	W_4683371
W	W_4709583
W	W_4710368
W	W_4857809
W	W_4860360
W	W_4869364
W	W_4962666
W	W_4975182
W	W_5138322
W	W_5183987
W	W_5302941
W	W_5362284
W	W_5396715
W	W_5501875
W	W_5542732
W	W_5558338
W	W_5559845
W	W_5582305
W	W_5583385
W	W_5773031
W	W_5824733
W	W_5864352
W	W_5889785
W	W_5890947
W	W_5901228
W	W_5907077
W	W_5910734
W	W_5910738
W	W_5912079
W	W_5912111
W	W_5912840
W	W_5933144
W	W_5997431
W	W_6055031
W	W_605577
W	W_617108
W	W_6208472
W	W_6222788
W	W_6332836
W	W_6332990
W	W_6337354
W	W_6338144
W	W_6338201
W	W_6343120
W	W_6343121
W	W_6344831
W	W_6351102
W	W_6362067
W	W_6465203
W	W_6465544
W	W_6515126
W	W_6557806
W	W_6558706
W	W_6571435
W	W_6581000
W	W_6582396
W	W_6582781
W	W_6582969
W	W_6586524
W	W_6598250
W	W_6611131
W	W_6624171
W	W_6664450
W	W_6703896
W	W_6703923
W	W_6703985
W	W_6738426
W	W_724600
W	W_758424
W	W_758510
W	W_76283
W	W_90335
W	W_96330
W	W_96895
W	W_96969
W	W_98381
Z	Z_20566623
Z	Z_21008996
Z	Z_21856644
Z	Z_24814008
Z	Z_25320720
Z	Z_2619297
Z	Z_26974244
Z	Z_27167728
Z	Z_27169604
Z	Z_27169679
Z	Z_28216558
Z	Z_30278069
Z	Z_37465196
Z	Z_3801005
Z	Z_44460705
Z	Z_44462205
Z	Z_44462259
Z	Z_44465174
Z	Z_45919841
Z	Z_45920511
Z	Z_48560242
Z	Z_49553867
Z	Z_51931174
Z	Z_58406842
Z	Z_60539982
Z	Z_60983727
Z	Z_63696839
Z	Z_69564852
Z	Z_69661877
Z	Z_69831025
Z	Z_69834321
Z	Z_69838865
Z	Z_70316253
Z	Z_73389971
Z	Z_73415363
Z	Z_73799435
Z	Z_74528956
Z	Z_75974597
Z	Z_75975270
Z	Z_75975872
Z	Z_76010127
Z	Z_77792569
